"heroes.name.astral_cosmicspeaker","コスミックスピーカー"
"heroes.name.titan_hunter_brachynd","ブラキンド"
"heroes.name.titan_hunter_konradus","コンラドゥス"
"heroes.name.titan_hunter_lumi_and_taiga","ルミ&タイガ"
"heroes.name.titan_hunter_savanna","ダグニー"
"heroes.name.trainer","トレーナー英雄"
"heroes.name.trainer_rainbow","マスタートレーナー"
"heroes.name.tribal_chief","カーガン"
"heroes.name.undead_captain_warrior","サイプリアン"
"heroes.name.undead_female_warrior","サビーナ"
"heroes.name.undead_horned_skeleton","オベロン"
"heroes.name.undead_running_skeleton","タイラム"
"heroes.name.undead_screaming_zombie","シルサス"
"heroes.name.underworld_champion","オバカン"
"heroes.name.valentines_anteros","アンテロース"
"heroes.name.valentines_cupido","クピード"
"heroes.name.valentines_elba","エルバ"
"heroes.name.valentines_eros","エロース"
"heroes.name.valentines_himeros","ヒメロス"
"heroes.name.valentines_kabeiroi","カベイロイ"
"heroes.name.valentines_lempi","レンピ"
"heroes.name.valentines_matchmaker_dodgrom","ドッジロム"
"heroes.name.valentines_phthonus","ファソナス"
"heroes.name.valentines_vernon","ヴァーノン"
"heroes.name.valentines_voluptas","ヴォラプタス"
"heroes.name.valentines_zarola","ザーロラ"
"heroes.name.vampire_king","ヴィクター"
"heroes.name.vampire_lord","ヴラッド"
"heroes.name.vampire_queen","ヴァレリア"
"heroes.name.vegetable_bartholomew","バーソロミュー"
"heroes.name.vegetable_broseph","ブロセフ"
"heroes.name.vegetable_caleb","カレブ"
"heroes.name.vegetable_elsbeth","エルスベス"
"heroes.name.vegetable_indigon","インディゴン"
"heroes.name.vegetable_onwyn","オンウィン"
"heroes.name.vegetable_pineon","ピネオン"
"heroes.name.villain_asterius","アステリオス"
"heroes.name.villain_crystalis","クリスタリス"
"heroes.name.villain_dark_lord","暗黒卿"
"heroes.name.villain_edd","エッド"
"heroes.name.villain_ingolf","インゴルフ"
"heroes.name.villain_isrod","イスロッド"
"heroes.name.villain_karnov","カーノフ"
"heroes.name.villain_sanngrior","サングリオ"
"heroes.name.villain_skrekok","スクレコック"
"heroes.name.villain_toxicandra","トキサンドラ"
"heroes.name.wild_cat_catalina","カタリーナ"
"heroes.name.wild_cat_ferni","フェルニ"
"heroes.name.wild_cat_gitnib","ギットニブ"
"heroes.name.wild_cat_imagus","イマグス"
"heroes.name.wild_cat_lennart","レナート"
"heroes.name.wild_cat_leonie","レオニー"
"heroes.name.wild_cat_marnes","マルネス"
"heroes.name.wild_cat_rajesh","ラジェシュ"
"heroes.name.wild_cat_rawn","ローン"
"heroes.name.wild_cat_savann","サヴァン"
"heroes.name.wild_cat_sharalen","シャー・アレン"
"heroes.name.wild_cat_stravia","ストラヴィア"
"heroes.name.wild_cat_thaffer","サッファー"
"heroes.name.wild_cat_tunes","チューンズ"
"heroes.name.wild_cat_vernix","ヴェルニクス"
"heroes.name.witch_king","ソス アムン"
"heroes.name.wonderland_alice","アリス"
"heroes.name.wonderland_bear","シュラブベアー"
"heroes.name.wonderland_captain","キャプテン ダイヤモンド"
"heroes.name.wonderland_cheshire_cat","チェシャ猫"
"heroes.name.wonderland_duchess","公爵夫人"
"heroes.name.wonderland_hatter","ハッター"
"heroes.name.wonderland_jabberwocky","ジャッバーワック"
"heroes.name.wonderland_king_of_hearts","ハートの王"
"heroes.name.wonderland_knave_of_hearts","ハートのネイヴ"
"heroes.name.wonderland_phoenicus","フェニカス"
"heroes.name.wonderland_queen","ハートの女王"
"heroes.name.wonderland_tweedles","ツイードルス"
"heroes.name.wonderland_white_rabbit","白ウサギ"
"heroes.name.zombie","ゾンビ"
