"heroes.name_fancy.astral_cosmicspeaker","Astronomka astralnych elfów"
"heroes.name_fancy.lionman_barbarian_costume_babysitter","Opiekun leorów"
"heroes.name_fancy.lionman_barbarian_costume_cute","Kreskówkowy Leor"
"heroes.name_fancy.lionman_barbarian_costume_glass","Szklany leor"
"heroes.name_fancy.lionman_barbarian_costume_stylish","Stylowy leor"
"heroes.name_fancy.lizardman_trapper","Wódz jaszczurów"
"heroes.name_fancy.lizardman_trapper_costume_cute","Kreskówkowy wódz"
"heroes.name_fancy.lizardman_trapper_costume_fisher","Wędkarz jaszczurów"
"heroes.name_fancy.lizardman_trapper_costume_glass","Szklany wódz"
"heroes.name_fancy.lizardman_trapper_costume_shaman","Starszyzna jaszczurów"
"heroes.name_fancy.lizardman_warrior","Wojownik jaszczurów"
"heroes.name_fancy.lizardman_warrior_costume_cute","Kreskówkowy wojownik"
"heroes.name_fancy.lizardman_warrior_costume_dinosaur","Przodek jaszczurów"
"heroes.name_fancy.lizardman_warrior_costume_glass","Szklany wojownik"
"heroes.name_fancy.lunar_new_year_baishu","Księżycowy szczur akrobata"
"heroes.name_fancy.lunar_new_year_gongniu","Księżycowy wół strażnik"
"heroes.name_fancy.lunar_new_year_hongyunxing","Księżycowy koń wędrowiec"
"heroes.name_fancy.lunar_new_year_laohu","Księżycowy awanturniczy tygrys"
"heroes.name_fancy.lunar_new_year_laohu_costume_golden","Księżycowy tygrys szczęścia"
"heroes.name_fancy.lunar_new_year_qinglong","Księżycowy smok strateg"
"heroes.name_fancy.lunar_new_year_xiaoqing","Księżycowy wąż muzyk"
"heroes.name_fancy.lunar_new_year_xiaotu","Księżycowy strażniczy królik"
"heroes.name_fancy.lunar_new_year_xiaotu_costume_golden","Księżycowy królik latarni"
"heroes.name_fancy.magic_agrafena","Rektorka"
"heroes.name_fancy.magic_agrafena_costume_dark","Arcy-czarnoksiężniczka"
"heroes.name_fancy.magic_anastasia","Początkująca przywoływaczka"
"heroes.name_fancy.magic_anton","Młody uczeń"
"heroes.name_fancy.magic_becky","Gwiezdna czarodziejka"
"heroes.name_fancy.magic_becky_costume_gothic","Przywoływaczka zmierzchu"
"heroes.name_fancy.magic_camilla","Majsterkowiczka sztuk tajemnych"
"heroes.name_fancy.magic_camilla_costume_flower","Kwiecista majsterkowiczka"
"heroes.name_fancy.magic_carpet_agadh","Zabójca na latającym dywanie"
"heroes.name_fancy.magic_carpet_amelia","Magiczna lotniczka"
"heroes.name_fancy.magic_carpet_bart","Pirat drogowy latających dywanów"
"heroes.name_fancy.magic_carpet_bertha","Twórczyni latających dywanów"
"heroes.name_fancy.magic_carpet_crustee","Magiczny geniusz laboratoryjny"
"heroes.name_fancy.magic_carpet_elyssa","Znawczyni latających dywanów"
"heroes.name_fancy.magic_carpet_jwala","Magmowa magiczna dziewczyna"
"heroes.name_fancy.magic_carpet_kesha","Zaklinaczka z Al-Layl"
"heroes.name_fancy.magic_carpet_lando","Uwodziciel latających dywanów"
"heroes.name_fancy.magic_carpet_lilli","Kociara latających dywanów"
"heroes.name_fancy.magic_carpet_manpip","Nerwowy pilot latających dywanów"
"heroes.name_fancy.magic_carpet_naeem","Drifter latających dywanów"
"heroes.name_fancy.magic_carpet_ragrim","Botanik latających dywanów"
"heroes.name_fancy.magic_carpet_shareef","Niepowstrzymany czarnoksiężnik"
"heroes.name_fancy.magic_carpet_zazha","Uzdrowicielka na latającym dywanie"
"heroes.name_fancy.magic_cristobal","Profesor talizmanów"
"heroes.name_fancy.magic_cristobal_costume_emerald","Profesor zaklęć"
"heroes.name_fancy.magic_dolgoon","Oczytany bibliotekarz"
"heroes.name_fancy.magic_jett","Zwiastunka ofiary"
"heroes.name_fancy.magic_jett_costume_eyes","Zwiastun osądu"
"heroes.name_fancy.magic_kornel","Doświadczony opiekun"
"heroes.name_fancy.magic_lucy","Utalentowana mago-piłkarka"
"heroes.name_fancy.magic_milena","Znawca sztuki magicznej"
"heroes.name_fancy.magic_milena_costume_ice","Nauczycielka lodowych zaklęć"
"heroes.name_fancy.magic_motega","Mistrz ogrodnictwa"
"heroes.name_fancy.magic_nadezhda","Kierowniczka wieży"
"heroes.name_fancy.magic_nadezhda_costume_postmaster","Pocztowa naczelniczka wieży"
"heroes.name_fancy.magic_ray","Czempion boiska"
"heroes.name_fancy.magic_ray_costume_spiky","Czempion Jeżyn"
"heroes.name_fancy.magic_roxia","Miłośniczka starożytnych gryzmołów"
"heroes.name_fancy.magic_sergei","Student wiedzy magicznej"
"heroes.name_fancy.magic_telonius","Leśny centaur"
"heroes.name_fancy.magic_telonius_costume_brew","Barowy centaur"
"heroes.name_fancy.magic_ulius","Dziwaczny czarodziej wynalazca"
"heroes.name_fancy.magic_ulius_costume_buccaneer","Osobliwy tajemny korsarz"
"heroes.name_fancy.magic_vaishali","Mistyczna mistrzyni szachowa"
"heroes.name_fancy.magic_vaishali_costume_chef","Mistyczna mistrzyni ciast"
"heroes.name_fancy.magic_willow","Mistrzyni lewitacji"
"heroes.name_fancy.magitech_sniper","Magitecki strzelec wyborowy"
"heroes.name_fancy.magitech_sniper_costume_cute","Kreskówkowy snajper"
"heroes.name_fancy.magitech_sniper_costume_glass","Szklany snajper"
"heroes.name_fancy.magitech_sniper_costume_steampunk","Steampunkowy snajper"
"heroes.name_fancy.magitech_sniper_costume_stylish","Stylowa snajperka"
"heroes.name_fancy.magitech_sniper_costume_undead","Nieumarła snajperka"
"heroes.name_fancy.mahayoddha_ajay","Wojownik z urumi"
"heroes.name_fancy.mahayoddha_ali","Utalentowany chłopiec na posyłki"
"heroes.name_fancy.mahayoddha_bhairavi_devi","Żartobliwy Thakur"
"heroes.name_fancy.mahayoddha_bhima","Syn Vayu"
"heroes.name_fancy.mahayoddha_bonga","Koszykarz-plecionkarz"
"heroes.name_fancy.mahayoddha_chitrangada","Wojownicza księżniczka Manipury"
"heroes.name_fancy.mahayoddha_devyani","Zaciekła wojownicza księżniczka"
"heroes.name_fancy.mahayoddha_jyoti","Tancerka chari"
"heroes.name_fancy.mahayoddha_meenakshi","Kokosowa chechi"
"heroes.name_fancy.mahayoddha_rafeeq","Przebiegły polityk"
"heroes.name_fancy.mahayoddha_ustad_anand","Królewski artysta"
"heroes.name_fancy.mahayoddha_veer","Dumny zabójca"
"heroes.name_fancy.masquerade_alessia","Wyznawczyni Aradii"
"heroes.name_fancy.masquerade_aradia","Zamaskowana Bogini Guseł"
"heroes.name_fancy.masquerade_carmenta","Zamaskowana Bogini Zaklęć"
"heroes.name_fancy.masquerade_cel","Zamaskowana bogini ziemi"
"heroes.name_fancy.masquerade_februus","Zamaskowany Bóg Oczyszczenia"
"heroes.name_fancy.masquerade_fortuna","Zamaskowana bogini losu"
"heroes.name_fancy.masquerade_fosco","Wyznawca Februusa"
"heroes.name_fancy.masquerade_jana","Zamaskowana Bogini Księżyca"
"heroes.name_fancy.masquerade_jove","Zamaskowany bóg nieba"
"heroes.name_fancy.masquerade_umbria","Zamaskowana bogini cieni"
"heroes.name_fancy.mighty_pet_barkley","Mops Wojny"
"heroes.name_fancy.mighty_pet_bubbles","Naśladowca Sztuki Iluzji"
"heroes.name_fancy.mighty_pet_chomper","Mistrz chomiczych pojedynków"
"heroes.name_fancy.mighty_pet_cinnamon","Król koła podbiegunowego"
"heroes.name_fancy.mighty_pet_cupcake","Szponiasty bandyta"
"heroes.name_fancy.mighty_pet_furdinand","Zbój psiej ekspedycji"
"heroes.name_fancy.mighty_pet_hachiko","Wierny szczeniak"
"heroes.name_fancy.mighty_pet_luna","Sowa Półksiężyca"
"heroes.name_fancy.mighty_pet_ribbit","Gladiator z Żabiego Królestwa"
"heroes.name_fancy.mighty_pet_rufus","Kudłaty Drwal"
"heroes.name_fancy.mighty_pet_snowball","Szponiasty dachowiec"
"heroes.name_fancy.mighty_pet_toto","Psi Baśniarz"
"heroes.name_fancy.mighty_pet_waddles","Kapitan kaczej gwardii"
"heroes.name_fancy.mimic_aether_blue","Wygłodniały skład kosturów"
"heroes.name_fancy.mimic_aether_green","Wygłodniały skład kosturów"
"heroes.name_fancy.mimic_aether_purple","Wygłodniały skład kosturów"
"heroes.name_fancy.mimic_aether_red","Wygłodniały skład kosturów"
"heroes.name_fancy.mimic_aether_yellow","Wygłodniały skład kosturów"
"heroes.name_fancy.mimic_ascension_epic_yellow","Szczerząca się skrytka mniejszego zła"
"heroes.name_fancy.mimic_ascension_item_blue","Szczerząca się skrytka zła"
"heroes.name_fancy.mimic_ascension_item_green","Szczerząca się skrytka zła"
"heroes.name_fancy.mimic_ascension_item_purple","Szczerząca się skrytka zła"
"heroes.name_fancy.mimic_ascension_item_red","Szczerząca się skrytka zła"
"heroes.name_fancy.mimic_ascension_item_yellow","Szczerząca się skrytka zła"
"heroes.name_fancy.mimic_emblem_blue","Przerażająca jednooka skrytka"
"heroes.name_fancy.mimic_emblem_green","Przerażająca jednooka skrytka"
"heroes.name_fancy.mimic_emblem_purple","Przerażająca jednooka skrytka"
"heroes.name_fancy.mimic_emblem_red","Przerażająca jednooka skrytka"
"heroes.name_fancy.mimic_emblem_yellow","Przerażająca jednooka skrytka"
"heroes.name_fancy.mimic_experience_rare_red","Skarb maleńkich ząbków"
"heroes.name_fancy.mimic_training_hero_blue","Skarb tysiąca zębów"
"heroes.name_fancy.mimic_training_hero_green","Skarb tysiąca zębów"
"heroes.name_fancy.mimic_training_hero_purple","Skarb tysiąca zębów"
"heroes.name_fancy.mimic_training_hero_red","Skarb tysiąca zębów"
"heroes.name_fancy.mimic_training_hero_yellow","Skarb tysiąca zębów"
"heroes.name_fancy.mimic_troop_blue","Dar przerażającego arsenału"
"heroes.name_fancy.mimic_troop_green","Dar przerażającego arsenału"
"heroes.name_fancy.mimic_troop_purple","Dar przerażającego arsenału"
"heroes.name_fancy.mimic_troop_red","Dar przerażającego arsenału"
"heroes.name_fancy.mimic_troop_yellow","Dar przerażającego arsenału"
"heroes.name_fancy.monster_hunter_adalinda","Księżniczka łowów"
"heroes.name_fancy.monster_hunter_amund","Twarda Tropicielka"
"heroes.name_fancy.monster_hunter_basil","Mysz łowów"
"heroes.name_fancy.monster_hunter_berit","Berylowa Bokserka"
"heroes.name_fancy.monster_hunter_bogart","Bagienny łowca"
"heroes.name_fancy.monster_hunter_bonecrusher","Wódz srebrnogrzywych"
"heroes.name_fancy.monster_hunter_cedar","Szympansi Mistrz Łańcuchów"
"heroes.name_fancy.monster_hunter_cleaver","Wódz łowów"
"heroes.name_fancy.monster_hunter_dabria","Okultystyczna łowczyni"
"heroes.name_fancy.monster_hunter_dawn","Łowcza minstrelka"
"heroes.name_fancy.monster_hunter_dubhain","Wybraniec boga burz"
"heroes.name_fancy.monster_hunter_ebba","Łowcza najemniczka"
"heroes.name_fancy.monster_hunter_edelaide","Nomadka dziczy"
"heroes.name_fancy.monster_hunter_fianna","Leśna traperka"
"heroes.name_fancy.monster_hunter_goretooth","Dziki łowca"
"heroes.name_fancy.monster_hunter_greel","Wściekły zawadiaka"
"heroes.name_fancy.monster_hunter_hammertusk","Krzepki barbarzyńca z młotem"
"heroes.name_fancy.monster_hunter_hawthorn","Łowczy czeladnik"
"heroes.name_fancy.monster_hunter_hurricane","Szympansi Zabójca"
"heroes.name_fancy.monster_hunter_kai","Łowczy rycerz"
"heroes.name_fancy.monster_hunter_knuckles","Makak Strażnik"
"heroes.name_fancy.monster_hunter_maheegan","Wilczy tropiciel"
"heroes.name_fancy.monster_hunter_malin","Wojowniczka o tytanowych kościach"
"heroes.name_fancy.monster_hunter_meadow","Plemienna łowczyni"
"heroes.name_fancy.monster_hunter_mistweaver","Orangutańska awanturniczka"
"heroes.name_fancy.monster_hunter_njal","Łowca północnego wiatru"
"heroes.name_fancy.monster_hunter_numbskull","Niezdarny szkielet"
"heroes.name_fancy.monster_hunter_otis","Łowca mistrz ostrzy"
"heroes.name_fancy.monster_hunter_revna","Krwawnikowa łowczyni"
"heroes.name_fancy.monster_hunter_ruadh","Głębinowy łowca"
"heroes.name_fancy.monster_hunter_sigyn","Zaklinaczka skorpionów"
"heroes.name_fancy.monster_hunter_sorcha","Wytrwała Łowczyni"
"heroes.name_fancy.monster_hunter_sorrow","Lodowa zjawa"
"heroes.name_fancy.monster_hunter_staintongue","Nieustępliwy łowca"
"heroes.name_fancy.monster_hunter_sune","Malachitowy łowca"
"heroes.name_fancy.monster_hunter_thunderclap","Wściekły Goryl"
"heroes.name_fancy.monster_hunter_thura","Gwiezdna łowczyni"
"heroes.name_fancy.monster_hunter_tremor","Pawiani Mistrz Miecza"
"heroes.name_fancy.monster_hunter_waterpipe","Specjalista od harpunów"
"heroes.name_fancy.moth_auricarc","Strzelecki mistrz ciem"
"heroes.name_fancy.moth_chimister","Ćma laboratoryjna"
"heroes.name_fancy.moth_chunkyroi","Ćmi markiz"
"heroes.name_fancy.moth_furgeant","Ćma moloch"
"heroes.name_fancy.moth_gardered","Wyzywająca ćma"
"heroes.name_fancy.moth_grovevert","Opiekun ciemek"
"heroes.name_fancy.moth_joyvert","Muzyczny ćmi wirtuoz"
"heroes.name_fancy.moth_lilareine","Markizowa ćma"
"heroes.name_fancy.moth_limeboire","Ćmi barman"
"heroes.name_fancy.moth_mortewitch","Ćmiomantka"
"heroes.name_fancy.moth_pepperbleu","Ćmagiczka"
"heroes.name_fancy.moth_rosepetite","Ćmia malarka"
"heroes.name_fancy.moth_satinpimenter","Ćmi kleryk"
"heroes.name_fancy.moth_shyombre","Ćma cienia"
"heroes.name_fancy.moth_tealmoine","Ćma mgły"
"heroes.name_fancy.musketeer_aramis","Romantyczny muszkieter"
"heroes.name_fancy.musketeer_aramis_costume_boulanger","Cukiernik muszkieterów"
"heroes.name_fancy.musketeer_athos","Doświadczony muszkieter"
"heroes.name_fancy.musketeer_athos_costume_farrier","Podkuwacz koni muszkieterów"
"heroes.name_fancy.musketeer_cardinal_richelieu","Obłudny książę"
"heroes.name_fancy.musketeer_constance","Odważna muszkieterka"
"heroes.name_fancy.musketeer_constance_costume_fusilier","Dzielny fizylier"
"heroes.name_fancy.musketeer_dartagnan","Zagorzały muszkieter"
"heroes.name_fancy.musketeer_dartagnan_costume_chimney_sweeper","Zagorzały kominiarz"
"heroes.name_fancy.musketeer_felton","Zdeprawowany zabójca"
"heroes.name_fancy.musketeer_felton_costume_pirate","Bezduszny pirat"
"heroes.name_fancy.musketeer_kitty","Przyjazna florystka"
"heroes.name_fancy.musketeer_kitty_costume_harvester","Przyjazna zbieraczka owoców"
"heroes.name_fancy.musketeer_milady_de_winter","Makiaweliczna złoczyńczyni"
"heroes.name_fancy.musketeer_milady_de_winter_costume_herbalist","Makiaweliczna zielarka"
"heroes.name_fancy.musketeer_planchet","Dzielny giermek"
"heroes.name_fancy.musketeer_planchet_costume_adventurer","Mężny awanturnik"
"heroes.name_fancy.musketeer_porthos","Wesoły muszkieter"
"heroes.name_fancy.musketeer_porthos_costume_merchant","Kupiec muszkieterów"
"heroes.name_fancy.musketeer_queen_anne","Elegancka monarchini"
"heroes.name_fancy.musketeer_rochefort","Bezlitosny łotr"
"heroes.name_fancy.musketeer_rochefort_costume_ratcatcher","Bezwzględny łapacz szczurów"
"heroes.name_fancy.musketeer_villiers","Nadęty książę"
"heroes.name_fancy.musketeer_villiers_costume_jester","Nadęty błazen"
"heroes.name_fancy.mystery_enigmo","Przywołująca enigma"
"heroes.name_fancy.nature_god_balbar","Botanik pustelnik"
"heroes.name_fancy.nature_god_bertila","Zielony rycerz"
"heroes.name_fancy.nature_god_bo_and_runt","Przywódcy stada"
"heroes.name_fancy.nature_god_chloris","Kwiatowy duch"
"heroes.name_fancy.nature_god_cinisia","Mag bitewny Meliad"
"heroes.name_fancy.nature_god_coleston","Niepowstrzymany niziołek"
"heroes.name_fancy.nature_god_florenna","Dostojny elafocentaur"
"heroes.name_fancy.nature_god_leadria","Królowa Wiecznej Wiosny"
"heroes.name_fancy.nature_god_liora","Życzliwy zbój"
"heroes.name_fancy.nature_god_mystia","Hipnotyzująca czarodziejka"
"heroes.name_fancy.nature_god_silvaria","Bóg lasu"
"heroes.name_fancy.nature_god_viselus","Druid zarazy"
"heroes.name_fancy.ninja_amethyst","Skryty zabójca"
"heroes.name_fancy.ninja_ametrine","Ninja Ukrytych Ostrzy"
"heroes.name_fancy.ninja_aurum","Optymistyczna kunoichi"
"heroes.name_fancy.ninja_azurite","Zwiadowca ninja"
"heroes.name_fancy.ninja_chikao","Cichy napastnik"
"heroes.name_fancy.ninja_cobalt","Ninja Morskich Szeptów"
"heroes.name_fancy.ninja_ekanite","Dowódca oddziału shinobi"
"heroes.name_fancy.ninja_garnet","Ninja Żywej Energii"
"heroes.name_fancy.ninja_iga","Mistrz nawałnicy kunai"
"heroes.name_fancy.ninja_ito","Zniewalający shinobi"
"heroes.name_fancy.ninja_jade","Ninja Tańczących Gwiazd"
"heroes.name_fancy.ninja_kinsaishi","Grzmiący mnich ninja"
"heroes.name_fancy.ninja_kushanku","Pięść ułudy"
"heroes.name_fancy.ninja_malum","Bezlitosny shinobi"
"heroes.name_fancy.ninja_mica","Ninja Niemego Krzyku"
"heroes.name_fancy.ninja_morganite","Ninja Znikających Cieni"
"heroes.name_fancy.ninja_myoinni","Najsilniejszy dowódca"
"heroes.name_fancy.ninja_nomad","Cichy egzekutor"
"heroes.name_fancy.ninja_oniwakamaru","Mroczny mnich 999 ostrzy"
"heroes.name_fancy.ninja_onyx","Ninja Nieuchwytnych Wichrów"
"heroes.name_fancy.ninja_osamu","Ninja żelaznej dyscypliny"
"heroes.name_fancy.ninja_peridot","Ninja Śmiertelnych Toksyn"
"heroes.name_fancy.ninja_quartz","Ninja Cichych Grobów"
"heroes.name_fancy.ninja_ruby","Ninja Czerwonych Oni"
"heroes.name_fancy.ninja_sapphire","Ninja Zwodniczych Cieni"
"heroes.name_fancy.ninja_satsui","Mroczna kunoichi"
"heroes.name_fancy.ninja_sawano","Wierna kunoichi"
"heroes.name_fancy.ninja_serandite","Ninja przeszywających płomieni"
"heroes.name_fancy.ninja_shale","Ninja Szybującego Wigoru"
"heroes.name_fancy.ninja_tametomo","Sabotażysta z wielkim łukiem"
"heroes.name_fancy.ninja_topaz","Ninja Perfekcyjnej Precyzji"
"heroes.name_fancy.ninja_tora","Cicha łowczyni"
"heroes.name_fancy.ninja_umeko","Ninja trującego kwiatu"
"heroes.name_fancy.ninja_zircon","Ninja Niemych Fal"
"heroes.name_fancy.nomad_axe_adventurer","Nieustraszony łowca nagród"
"heroes.name_fancy.nomad_axe_adventurer_costume_cute","Kreskówkowy łowca nagród"
"heroes.name_fancy.nomad_axe_adventurer_costume_glass","Szklany łowca głów"
"heroes.name_fancy.nomad_axe_adventurer_costume_magma","Ognisty łowca nagród"
"heroes.name_fancy.nomad_axe_adventurer_costume_stylish","Stylowy łowca nagród"
"heroes.name_fancy.nomad_axe_adventurer_costume_tracker","Dzielny tropiciel"
"heroes.name_fancy.nomad_female_archer","Uzdolniona traperka"
"heroes.name_fancy.nomad_female_assassin","Najeźdźczyni z Piaskomorza"
"heroes.name_fancy.nomad_female_assassin_costume_cute","Najeźdźczyni z Kreskówkowego Morza"
"heroes.name_fancy.nomad_female_assassin_costume_dancer","Tancerka z Piaskomorza"
"heroes.name_fancy.nomad_female_assassin_costume_glass","Najeźdźca ze Szklanego Morza"
"heroes.name_fancy.nomad_female_assassin_costume_poison","Zabójczyni z Piaskomorza"
"heroes.name_fancy.nomad_female_berserker","Smocza kapłanka"
"heroes.name_fancy.nomad_female_berserker_costume_cute","Smoczy kreskówkowy"
"heroes.name_fancy.nomad_female_berserker_costume_glass","Smoczy witraż"
"heroes.name_fancy.nomad_female_berserker_costume_shaman","Smocza szamanka"
"heroes.name_fancy.nomad_female_berserker_costume_sorceress","Smocza czarnoksiężniczka"
"heroes.name_fancy.nomad_female_berserker_costume_stylish","Stylowa kapłanka"
"heroes.name_fancy.nomad_female_captain","Dama z Windemer"
"heroes.name_fancy.nomad_female_captain_costume_cute","Kreskówkowe Windemer"
"heroes.name_fancy.nomad_female_captain_costume_glass","Witraż z Windemer"
"heroes.name_fancy.nomad_female_captain_costume_pirate","Upiorzyca z Windemer"
"heroes.name_fancy.nomad_female_captain_costume_stylish","Stylowa Pani Windemer"
"heroes.name_fancy.nomad_female_captain_costume_thief","Mistrzyni złodziejstwa z Windemer"
"heroes.name_fancy.nomad_female_lord","Kapitan gwardii królewskiej"
"heroes.name_fancy.nomad_female_lord_costume_cute","Kapitan gwardii kreskówkowej"
"heroes.name_fancy.nomad_female_lord_costume_flame","Kapitan Ognia"
"heroes.name_fancy.nomad_female_lord_costume_glass","Kapitan szklanej gwardii"
"heroes.name_fancy.nomad_female_lord_costume_wicked","Przywódczyni nikczemnych"
"heroes.name_fancy.nomad_female_shaman","Władcza szamanka"
"heroes.name_fancy.nomad_female_shaman_costume_cute","Kreskówkowa przodkini"
"heroes.name_fancy.nomad_female_shaman_costume_glass","Władcza witraż"
"heroes.name_fancy.nomad_female_shaman_costume_native","Władczy uzdrowiciel"
"heroes.name_fancy.nomad_female_swordmaster","Pretendentka do tronu"
"heroes.name_fancy.nomad_female_swordmaster_costume_cute","Poszukiwaczka kreskówkowych"
"heroes.name_fancy.nomad_female_swordmaster_costume_glass","Szklana poszukiwaczka"
"heroes.name_fancy.nomad_female_swordmaster_costume_native","Łowca bogów"
"heroes.name_fancy.nomad_female_swordmaster_costume_stylish","Poszukiwaczka stylu"
"heroes.name_fancy.nomad_female_thief","Młoda awanturniczka"
"heroes.name_fancy.nomad_fighter","Kafar"
"heroes.name_fancy.nomad_mage","Mag z Piaskomorza"
"heroes.name_fancy.nomad_mage_costume_cute","Mag z Kreskówkowego Morza"
"heroes.name_fancy.nomad_mage_costume_glass","Nomada ze Szklanego Morza"
"heroes.name_fancy.nomad_mage_costume_goggles","Czarodziej z Piaskomorza"
"heroes.name_fancy.nomad_mage_costume_stylish","Stylowy mag"
"heroes.name_fancy.nomad_scout","Przebiegły najmita"
"heroes.name_fancy.nomad_shaman","Sługa Przedwiecznych"
"heroes.name_fancy.nordic_ancestral_warrior","Mroczny znajda"
"heroes.name_fancy.nordic_ancestral_warrior_costume_corrupted","Dziedzic zła"
"heroes.name_fancy.nordic_ancestral_warrior_costume_cute","Kreskówkowy mrok"
"heroes.name_fancy.nordic_ancestral_warrior_costume_glass","Mroczny witraż"
"heroes.name_fancy.nordic_ancestral_warrior_costume_messenger","Mroczny posłaniec"
"heroes.name_fancy.nordic_ancestral_warrior_costume_stylish","Dziedzic niecnego stylu"
"heroes.name_fancy.nordic_chained_werewolf","Bestia"
"heroes.name_fancy.nordic_chained_werewolf_costume_cute","Dziki kreskówkowy"
"heroes.name_fancy.nordic_chained_werewolf_costume_glass","Zaciekły szklany"
"heroes.name_fancy.nordic_chained_werewolf_costume_raccoon","Czosnkowy złodziej"
"heroes.name_fancy.nordic_female_scout","Dzikie dziewczę"
"heroes.name_fancy.nordic_female_warrior","Waleczna banitka"
"heroes.name_fancy.nordic_ice_enchantress","Protektor Lodostrowia"
"heroes.name_fancy.nordic_ice_enchantress_costume_aqua","Lodowa wiedźma z Lodostrowia"
"heroes.name_fancy.nordic_ice_enchantress_costume_cute","Obrończyni kreskówkowych"
"heroes.name_fancy.nordic_ice_enchantress_costume_glass","Witraż z Lodostrowia"
"heroes.name_fancy.nordic_ice_enchantress_costume_ruler","Władczyni Lodostrowia"
"heroes.name_fancy.nordic_mage","Mag Lodostrowia"
"heroes.name_fancy.nordic_mage_costume_cute","Kreskówkowy z Lodostrowia"
"heroes.name_fancy.nordic_mage_costume_glass","Witraż z Lodostrowia"
"heroes.name_fancy.nordic_mage_costume_hermit","Pustelnik z Lodostrowia"
"heroes.name_fancy.nordic_male_lord","Młot sprawiedliwości"
"heroes.name_fancy.nordic_male_lord_costume_cute","Młot Kreskówkowej Mocy"
"heroes.name_fancy.nordic_male_lord_costume_glass","Szklany młot"
"heroes.name_fancy.nordic_male_lord_costume_injustice","Młot krzywdy"
"heroes.name_fancy.nordic_male_lord_costume_senior","Topór sprawiedliwości"
"heroes.name_fancy.nordic_male_lord_costume_stylish","Paladyn stylu"
"heroes.name_fancy.nordic_swordman","Śmiały szermierz"
"heroes.name_fancy.nordic_swordman_costume_climber","Doskonały wspinacz"
"heroes.name_fancy.nordic_swordman_costume_cute","Kreskówkowy talent"
"heroes.name_fancy.nordic_swordman_costume_glass","Szklany szermierz"
"heroes.name_fancy.nordic_swordman_costume_stylish","Stylowy szermierz"
"heroes.name_fancy.nordic_warrior","Awanturnik lekkoduch"
"heroes.name_fancy.orc_gladiator","Opoka"
"heroes.name_fancy.orc_gladiator_costume_chef","Żeliwny wódz"
"heroes.name_fancy.orc_gladiator_costume_cute","Kreskówkowa niezłomność"
"heroes.name_fancy.orc_gladiator_costume_glass","Odbijacz"
"heroes.name_fancy.orc_gladiator_costume_sage","Wściekły mędrzec"
"heroes.name_fancy.orc_gladiator_costume_stylish","Elegancik"
"heroes.name_fancy.orc_skirmisher","Bękarci wojownik"
"heroes.name_fancy.orc_troopmaster","Głoduch"
"heroes.name_fancy.orc_troopmaster_costume_cute","Wygłodniały kreskówkowy"
"heroes.name_fancy.orc_troopmaster_costume_glass","Wygłodniały witraż"
"heroes.name_fancy.orc_troopmaster_costume_gourmet","Epikuryjczyk"
"heroes.name_fancy.orc_troopmaster_costume_merchant","Chciwcy"
"heroes.name_fancy.orc_warrior","Zawadiaka"
"heroes.name_fancy.orc_warrior_costume_cute","Pierwszy kreskówkowy w boju"
"heroes.name_fancy.orc_warrior_costume_glass","Ostatni rozbity"
"heroes.name_fancy.orc_warrior_costume_urukhai","Ostatni na polu walki"
"heroes.name_fancy.oriental_brawler","Szlachetny obrońca"
"heroes.name_fancy.oriental_brawler_costume_cute","Kreskówkowy awanturnik"
"heroes.name_fancy.oriental_brawler_costume_egypt","Zacny zabijaka"
"heroes.name_fancy.oriental_brawler_costume_glass","Szklany siepacz"
"heroes.name_fancy.oriental_enchanted_monk","Płomień słońca"
"heroes.name_fancy.oriental_enchanted_monk_costume_cute","Kreskówkowy słońca"
"heroes.name_fancy.oriental_enchanted_monk_costume_glass","Witraż słońca"
"heroes.name_fancy.oriental_enchanted_monk_costume_stoneguard","Potęga słońca"
"heroes.name_fancy.oriental_enchanted_monk_costume_stylish","Stylowy mnich słońca"
"heroes.name_fancy.oriental_enchanted_monk_costume_tiger","Gniew słońca"
"heroes.name_fancy.oriental_falconer","Strateg"
"heroes.name_fancy.oriental_falconer_costume_cub","Mistrz tygrysów"
"heroes.name_fancy.oriental_falconer_costume_cute","Kreskówkowy taktyk"
"heroes.name_fancy.oriental_falconer_costume_dodo","Mistrz konserwator"
"heroes.name_fancy.oriental_falconer_costume_glass","Szklany taktyk"
"heroes.name_fancy.oriental_female_guard","Strażnik Shaguadu"
"heroes.name_fancy.oriental_female_guard_costume_cute","Kreskówkowa z Shaguadu"
"heroes.name_fancy.oriental_female_guard_costume_glass","Witraż Shaguadu"
"heroes.name_fancy.oriental_female_guard_costume_soldier","Stróż Shaguadu"
"heroes.name_fancy.oriental_female_mage","Bezinteresowny uzdrowiciel"
"heroes.name_fancy.oriental_female_mage_costume_cute","Kreskówkowa uzdrowicielka"
"heroes.name_fancy.oriental_female_mage_costume_glass","Szklana uzdrowicielka"
"heroes.name_fancy.oriental_female_mage_costume_mender","Wspaniałomyślna uzdrowicielka"
"heroes.name_fancy.oriental_female_mage_costume_stylish","Stylowa uzdrowicielka"
"heroes.name_fancy.oriental_female_mystic","Wybitna uczona"
"heroes.name_fancy.oriental_female_mystic_costume_cute","Kreskówkowa uczona"
"heroes.name_fancy.oriental_female_mystic_costume_glass","Szklana uczona"
"heroes.name_fancy.oriental_female_mystic_costume_magician","Arcymag"
