"herocard.passive_skill.description.addmana.all.allies","Todos los aliados obtienen una pequeña cantidad de maná."
"herocard.passive_skill.description.summononreceiveddamagewiththreshold.slime_big_minion_blue","Si este personaje pierde más de un {DAMAGETHRESHOLD} % de vitalidad máxima de una vez, se autoinvoca un megasecuaz viscoso con un {FAMILIARHEALTHPERCENT} % de VIT y un {FAMILIARATTACK} % de ataque."
"herocard.passive_skill.description.summononreceiveddamagewiththreshold.slime_big_minion_green","Si este personaje pierde más de un {DAMAGETHRESHOLD} % de vitalidad máxima de una vez, se autoinvoca un megasecuaz viscoso con un {FAMILIARHEALTHPERCENT} % de VIT y un {FAMILIARATTACK} % de ataque."
"herocard.passive_skill.description.summononreceiveddamagewiththreshold.slime_big_minion_purple","Si este personaje pierde más de un {DAMAGETHRESHOLD} % de vitalidad máxima de una vez, se autoinvoca un megasecuaz viscoso con un {FAMILIARHEALTHPERCENT} % de VIT y un {FAMILIARATTACK} % de ataque."
"herocard.passive_skill.description.summononreceiveddamagewiththreshold.slime_big_minion_red","Si este personaje pierde más de un {DAMAGETHRESHOLD} % de vitalidad máxima de una vez, se autoinvoca un megasecuaz viscoso con un {FAMILIARHEALTHPERCENT} % de VIT y un {FAMILIARATTACK} % de ataque."
"herocard.passive_skill.description.summononreceiveddamagewiththreshold.slime_big_minion_yellow","Si este personaje pierde más de un {DAMAGETHRESHOLD} % de vitalidad máxima de una vez, se autoinvoca un megasecuaz viscoso con un {FAMILIARHEALTHPERCENT} % de VIT y un {FAMILIARATTACK} % de ataque."
"herocard.passive_skill.description.summononstatuseffectaddition.burn.forest_guardian.statuseffectdebuffs","Cada vez que este personaje recibe el estado alterado de quemadura, invoca un secuaz guardián del bosque que hereda un {FAMILIARHEALTHPERCENT} % de la VIT y un {FAMILIARATTACK} % del ataque de este personaje."
"herocard.passive_skill.description.summononstatuseffectaddition.damageovertime.card_soldier_no_taunt.statuseffectdebuffs","Cada vez que este personaje recibe un estado alterado de daño con el tiempo, invoca un secuaz soldado carta que hereda un {FAMILIARHEALTHPERCENT} % de la VIT y un {FAMILIARATTACK} % del ataque de este personaje."
"herocard.passive_skill.description.summononstatuseffectaddition.defensemodifier.bull.none","Cada vez que este personaje recibe un estado alterado que afecta a la defensa, invoca un secuaz toro que hereda un {FAMILIARHEALTHPERCENT} % de la VIT y un {FAMILIARATTACK} % del ataque de este personaje."
"herocard.passive_skill.description.summononsummon.activates_on_enemy_action.allies.owl.minion","Invoca un secuaz gorrión para el personaje cuando un enemigo invoca cualquier esbirro con una habilidad especial."
"herocard.passive_skill.description.summononsummon.activates_on_enemy_action.enemies.cursed_sapling_parasite.minion","Cuando un enemigo invoca cualquier secuaz mediante una habilidad especial, este personaje le invoca un demonio retoño maldito."
"herocard.passive_skill.description.summononsummon.activates_on_enemy_action.enemies.seedling_parasite.minion","Cuando un enemigo invoca cualquier secuaz mediante una habilidad especial, este personaje le invoca un demonio brote maldito."
"herocard.passive_skill.description.targetstatedependenteffectonspecial.healthboost.all.allies.fixedpower.always.checkstate.all.allies.dance","Si hay aliados bailando cuando este personaje lanza su habilidad especial, potencia la vitalidad de todos los aliados en {HEALTHBOOST}. La vitalidad potenciada puede exceder la VIT máxima."
"herocard.passive_skill.description.taunt","La burla no afecta a la habilidad especial de este personaje."
"herocard.passive_skill.description.tileenhancementonspecial.accuracymodifier.blue","Se reduce un {MODIFIER} % la precisión de los escudos de hielo del tablero cuando este personaje lanza su habilidad especial."
"herocard.passive_skill.description.tileenhancementonspecial.accuracymodifier.green","Se reduce un {MODIFIER} % la precisión de los escudos de naturaleza del tablero cuando este personaje lanza su habilidad especial."
"herocard.passive_skill.description.tileenhancementonspecial.accuracymodifier.purple","Se reduce un {MODIFIER} % la precisión de los escudos oscuros del tablero cuando este personaje lanza su habilidad especial."
"herocard.passive_skill.description.tileenhancementonspecial.accuracymodifier.red","Se reduce un {MODIFIER} % la precisión de los escudos de fuego del tablero cuando este personaje lanza su habilidad especial."
"herocard.passive_skill.description.tileenhancementonspecial.accuracymodifier.yellow","Se reduce un {MODIFIER} % la precisión de los escudos sagrados del tablero cuando este personaje lanza su habilidad especial."
"herocard.passive_skill.description.tileenhancementonspecial.criticalchancemultiplier.blue","Aumenta un {MODIFIER} % la probabilidad de crítico de los escudos de hielo del tablero cuando este personaje lanza su habilidad especial."
"herocard.passive_skill.description.tileenhancementonspecial.criticalchancemultiplier.green","Aumenta un {MODIFIER} % la probabilidad de crítico de los escudos de naturaleza del tablero cuando este personaje lanza su habilidad especial."
"herocard.passive_skill.description.tileenhancementonspecial.criticalchancemultiplier.purple","Aumenta un {MODIFIER} % la probabilidad de crítico de los escudos oscuros del tablero cuando este personaje lanza su habilidad especial."
"herocard.passive_skill.description.tileenhancementonspecial.criticalchancemultiplier.red","Aumenta un {MODIFIER} % la probabilidad de crítico de los escudos de fuego del tablero cuando este personaje lanza su habilidad especial."
"herocard.passive_skill.description.tileenhancementonspecial.criticalchancemultiplier.yellow","Aumenta un {MODIFIER} % la probabilidad de crítico de los escudos sagrados del tablero cuando este personaje lanza su habilidad especial."
"herocard.passive_skill.description.transformstatuseffectonspecialcast.minorbuff.enemies.all.transform_attackmodifier_into_attackmodifier.transform_defensemodifier_into_defensemodifier.transform_managenerationmodifier_into_managenerationmodifier","Cada vez que este personaje usa su habilidad especial, todas las bendiciones descartables que afectan al ataque, la defensa y la regeneración de maná de todos los enemigos se transforman en alteraciones del mismo tipo que no se pueden descartar."
"herocard.passive_skill.description.transformstatuseffectonspecialcast.minordebuff.allies.all.transform_attackmodifier_into_attackmodifier.transform_defensemodifier_into_defensemodifier.transform_managenerationmodifier_into_managenerationmodifier","Cada vez que este personaje usa su habilidad especial, todos los estados alterados descartables que afectan al ataque, la defensa y la regeneración de maná de todos los aliados se transforman en bendiciones del mismo tipo que no se pueden descartar."
"herocard.passive_skill.description.wither.all.enemies","El ataque y la defensa base de todos los enemigos se reducen en {STATINCREASE} cada turno durante {MAXACTIVATIONCOUNT} turnos."
"herocard.passive_skill.inactive","Inactiva: Alcanza el nivel máximo y ascensión completa para activarla."
"herocard.passive_skill.replace.minordebuff.attackmodifier.to.minorbuff.attackmodifier","Alteraciones de ataque a un {ATTACK} % de ataque durante {TURNS} turnos."
"herocard.passive_skill.replace.minordebuff.buffimmunity.to.minorbuff.debuffshield","Alteraciones de inmunidad a bendiciones a inmunidad a alteraciones durante {TURNS} turnos."
"herocard.passive_skill.replace.minordebuff.defensemodifier.to.minorbuff.defensemodifier","Alteraciones de defensa a un {DEFENSE} % de defensa durante {TURNS} turnos."
"herocard.passive_skill.replace.minordebuff.healingmodifier.to.minorbuff.healmultiplier","Reducciones de curación a un {HEALING} % más de curación durante {TURNS} turnos."
"herocard.passive_skill.replace.minordebuff.manaeffect.to.minorbuff.managenerationmodifier","Alteraciones de maná a un {MANAREGEN} % de regeneración de maná durante {TURNS} turnos."
"herocard.passive_skill.replace.minordebuff.receiveddamagemodifier.to.minorbuff.receiveddamagemodifier","Alteraciones de aumento de daño a un {DAMAGEREDUCTION} % de reducción de daño durante {TURNS} turnos."
"herocard.passive_skill.replace.minordebuff.statuseffectreflect.to.minorbuff.reflectminordebuffs","Alteraciones de reflejo de bendiciones a bendiciones de reflejo de alteraciones durante {TURNS} turnos."
"herocard.passive_skill.replace_direct_effect.attackwither","Merma de ataque a crecimiento de ataque: {FIXEDPOWER} de ataque."
"herocard.passive_skill.replace_direct_effect.defensewither","Merma de defensa a crecimiento de defensa: {FIXEDPOWER} de defensa."
"herocard.passive_skill.replace_direct_effect.dispel","Descartes de bendiciones a purificaciones de alteraciones."
"herocard.passive_skill.replace_direct_effect.fiend.stylish_minion","Demonios a secuaces con estilo ({FAMILIARHEALTHPERCENT} % de VIT, {FAMILIARATTACK} % de ataque)."
"herocard.passive_skill.replace_direct_effect.manareduction","Reducciones de maná a un {POWER} % de aumento de maná."
"herocard.passive_skill.sidedependent.sideinfo.heroside","Habilidad pasiva al atacar:"
"herocard.passive_skill.sidedependent.sideinfo.opponentside","Habilidad pasiva al defender:"
"herocard.passive_skill.title.addstatuseffectsonenemyattackbuff","Efecto de estado con bendiciones ofensivas enemigas"
"herocard.passive_skill.title.addstatuseffectsonenemydefensebuff","Efecto de estado con bendiciones defensivas enemigas"
"herocard.passive_skill.title.addstatuseffectsonmanareduction","Efecto de estado al reducirse el maná"
"herocard.passive_skill.title.bleed.effectondamageovertime.activates_on_enemy_action.addmana","Maná con sangrado"
"herocard.passive_skill.title.bleed.effectondamageovertime.activates_on_enemy_action.heal","Curación con sangrado"
"herocard.passive_skill.title.burn.effectondamageovertime.activates_on_enemy_action.addmana","Maná con quemadura"
"herocard.passive_skill.title.bypassfamiliars.minion","Ignora los secuaces"
"herocard.passive_skill.title.bypassfamiliars.minion.bigminion","Ignora los secuaces (superior)"
"herocard.passive_skill.title.caststatuseffectdurationmodifier","Efectos de estado prolongados"
"herocard.passive_skill.title.chargebasedmodifier.managenerationmodifier.dodgemodifier","Ímpetu de vuelo"
"herocard.passive_skill.title.conditionaleffectovertime.addmana.everyturn.while.all.allies.haswither","Maná durante merma"
"herocard.passive_skill.title.conditionaleffectovertime.revival.while.single.allies.hasdeadallies","Resurrección con el tiempo"
"herocard.passive_skill.title.conditionaleffectovertime.usable_once.heal.addmana.everyturn.while.single.allies.lowhealth","Poder de sisu"
"herocard.passive_skill.title.convertincomingdamagetoheal.all.statuseffect","Belleza interior"
"herocard.passive_skill.title.convertincomingdamagetoheal.statuseffect","Belleza interior"
"herocard.passive_skill.title.corrosiveburncoreintrinsicchargeeffectonspecial.activates_on_ally_action.statuseffects.corrosiveburn","Núcleo fundido"
"herocard.passive_skill.title.corrosiveburncoreintrinsicchargeeffectonspecial.statuseffects.corrosiveburn","Núcleo fundido"
"herocard.passive_skill.title.corrosivecoreintrinsicchargeeffectonspecial.statuseffects.corrosivepoison","Núcleo corrosivo"
"herocard.passive_skill.title.corrosivefrostcoreintrinsicchargeeffectonspecial.statuseffects.corrosivefrost","Núcleo ártico"
"herocard.passive_skill.title.criticalmodifier","Modificador crítico"
"herocard.passive_skill.title.criticalmodifiersupportcharacter.troop","Modificador crítico"
"herocard.passive_skill.title.critmodifier","Modificador de probabilidad de crítico"
"herocard.passive_skill.title.damageincreasebyinsanity.troop.specialskill.npcnormalattack","Marca de los mayores"
"herocard.passive_skill.title.dealtdamagemodifieronownedstatuseffect.bloodlily.stacks.enemies.single","Marca sanguinaria"
"herocard.passive_skill.title.dealtdamagemodifieronownedstatuseffect.dance.allstatuseffects.allies.all","Bailarín feroz"
"herocard.passive_skill.title.dealtstrongelementtroopdamage","Maestría con tropas"
"herocard.passive_skill.title.debuffdamagereduction","Reducción del daño de los estados alterados"
"herocard.passive_skill.title.debuffdamagereductionsupportcharacter.troop","Reducción del daño de los estados alterados"
"herocard.passive_skill.title.destructivecoreintrinsicchargeeffectonspecial.damage","Núcleo destructor"
"herocard.passive_skill.title.dispelonownfamiliardeath.minion.minordebuff","Purificación al morir un secuaz"
"herocard.passive_skill.title.dodgespecialdamage","Esquiva el daño de las habilidades especiales"
"herocard.passive_skill.title.doubleeffectonchargedspecial.statuseffects.stackingmanagenerationmodifier.stacks","Acumulación con habilidad especial"
"herocard.passive_skill.title.eatfamiliarsonspecialcast.parasite.allies.single","Destruye demonios con habilidad especiales"
"herocard.passive_skill.title.eatfamiliarswitheffectpereatenfamiliarovertime.addmana","Come secuaces y obtiene maná con el tiempo"
"herocard.passive_skill.title.effectondamagedone.bufftoremove.minordebuff.latest.safe.specialskill.only_criticals.once","Purificación con ataque especial crítico"
"herocard.passive_skill.title.effectondamagedone.healthboost.specialskill.only_criticals.once","Vitalidad potenciada con ataque especial crítico"
"herocard.passive_skill.title.effectondamagedonetohealthiertarget.healthboost.specialskill.once.effectondamagereceivedfromhealthierattacker.addmana.specialskill","Rebelión justificada"
"herocard.passive_skill.title.effectondamagereceived.addmana.specialskill","Maná con daño especial"
"herocard.passive_skill.title.effectondamagereceived.addmana.troop.npcnormalattack.specialskill","Maná al recibir daño"
"herocard.passive_skill.title.effectondamagereceived.damage.specialskill.statuseffectskill.cover","Daño con habilidad especial y daño de cobertura"
"herocard.passive_skill.title.effectondamagereceived.none.specialskill.exclude.statuseffect.stacking_attack_on_damage_received_passive","Ataque acumulado al recibir daño"
"herocard.passive_skill.title.effectondamagereceived.none.specialskill.exclude.statuseffect.stacking_attack_on_damage_received_passive_pve","Ataque acumulado al recibir daño"
"herocard.passive_skill.title.effectondispel.activates_on_ally_action.healthboost.minordebuff.removalreason.dispel.activates_on_dispel_cast.valid_caster_side.allies","Vitalidad potenciada con intento de purificación aliada"
"herocard.passive_skill.title.effectondispel.activates_on_enemy_action.damage.minordebuff.removalreason.dispel.activates_on_dispel_cast.valid_caster_side.enemies","Daño con intento de purificación enemiga"
"herocard.passive_skill.title.effectondispel.addmana.minorbuff","Maná con descarte"
"herocard.passive_skill.title.effectondispel.addmana.minorbuff.removalreason.dispel","Maná con descarte de bendición"
"herocard.passive_skill.title.effectondispel.heal.statuseffectdebuffs.removalreason.dispel.removal.reallocation.expiration","Curación cuando un estado alterado termina o se purifica"
"herocard.passive_skill.title.effectondispel.healthboost.minorbuff.removalreason.dispel","Vitalidad potenciada con descarte de bendición"
"herocard.passive_skill.title.effectonfamiliardamagedone.minion.frost","Escarcha con golpe de secuaz"
"herocard.passive_skill.title.effectonheal.addmana","Maná al recuperar vitalidad"
"herocard.passive_skill.title.effectonheal.heal","Vitalidad extra al recuperar vitalidad"
"herocard.passive_skill.title.effectonhealsupportcharacter.troop.heal","Vitalidad extra"
"herocard.passive_skill.title.effectonmanareduction.statuseffects.attackmodifier","Efecto de estado al reducirse el maná"
"herocard.passive_skill.title.effectonmanareduction.statuseffects.yellowdefensemodifier","Efecto de estado al reducirse el maná"
"herocard.passive_skill.title.effectonresist.activates_on_enemy_action.healthboost.addmana.once","Vitalidad potenciada y maná al resistir"
"herocard.passive_skill.title.effectonspecialcastwitheffecttype.activates_on_enemy_action.addmana.on_healthboost_cast","Maná con habilidad especial que aumenta la vitalidad"
"herocard.passive_skill.title.effectonspecialcastwitheffecttype.activates_on_enemy_action.healthboost.on_healthboost_cast","Vitalidad potenciada con potenciación de vitalidad enemiga"
"herocard.passive_skill.title.effectonspecialchancepermanaspeed","Efectos al usar habilidad especial"
"herocard.passive_skill.title.effectonspecialskilldamagedone.bufftoremove.minordebuff.safe.only_criticals","Purificación con ataque especial crítico"
"herocard.passive_skill.title.effectonspecialskilldamagedone.healthboost.only_criticals","Vitalidad potenciada con ataque especial crítico"
"herocard.passive_skill.title.effectonspecialskilldamagereceived.healthboost.only_criticals","Vitalidad potenciada con ataque especial crítico"
"herocard.passive_skill.title.effectonspecialwithchance.activates_on_enemy_action.healthboost","Vitalidad potenciada con habilidad especial enemiga"
"herocard.passive_skill.title.effectonspecialwithchance.addmana","Maná con habilidad especial"
"herocard.passive_skill.title.effectonspecialwithchance.bufftoremove.minorbuff.latest","Descarte con habilidad especial"
"herocard.passive_skill.title.effectonspecialwithchance.bufftoremove.minordebuff.latest","Purificación con habilidad especial"
"herocard.passive_skill.title.effectonspecialwithchance.damage","Daño con habilidad especial"
"herocard.passive_skill.title.effectonspecialwithchance.heal","Recuperación de vitalidad con habilidad especial"
"herocard.passive_skill.title.effectonspecialwithchance.healthboost","Vitalidad potenciada con habilidad especial"
"herocard.passive_skill.title.effectonspecialwithchance.statuseffects","Efecto de estado con habilidad especial"
"herocard.passive_skill.title.effectonspecialwithchance.statuseffects.bleeding","Sangrado con habilidad especial"
"herocard.passive_skill.title.effectonspecialwithchance.statuseffects.curseofdoom","Maldición con habilidad especial"
"herocard.passive_skill.title.effectonspecialwithchance.statuseffects.damageovertime","Daño con el tiempo con habilidad especial"
"herocard.passive_skill.title.effectonspecialwithchance.statuseffects.extradamageagainstboostedhealth","Daño aumentado contra vitalidad potenciada"
"herocard.passive_skill.title.effectonspecialwithchance.statuseffects.huntersmark","Daño con el tiempo con habilidad especial"
"herocard.passive_skill.title.effectonspecialwithchance.statuseffects.managenerationmodifier","Efecto de estado con habilidad especial"
"herocard.passive_skill.title.effectonspecialwithchance.statuseffects.poison","Veneno con habilidad especial"
"herocard.passive_skill.title.effectonspecialwithchance.statuseffects.possession","Ataque salvaje con habilidad especial"
"herocard.passive_skill.title.effectonspecialwithchance.statuseffects.underwater","Daño con el tiempo con habilidad especial"
"herocard.passive_skill.title.effectonspecialwithmanaspeedthreshold.activates_on_enemy_action.damage.faster.average.once","Daño con habilidad especial enemiga"
"herocard.passive_skill.title.effectonstatuseffectaddition.activates_on_enemy_action.addmana.allbuffs.taunt","Maná con burla"
"herocard.passive_skill.title.effectonstatuseffectaddition.activates_on_enemy_action.addmana.statuseffectbuffs.defensemodifier.once","Maná con bendición de estado de defensa"
"herocard.passive_skill.title.effectonstatuseffectaddition.activates_on_enemy_action.statuseffects.ubertitanstackingattackmodifier.allbuffs.defensemodifier","Efecto de estado con bendiciones defensivas enemigas"
"herocard.passive_skill.title.effectonstatuseffectaddition.activates_on_enemy_action.statuseffects.ubertitanstackingreceiveddamagemodifier.allbuffs.attackmodifier","Efecto de estado con bendiciones ofensivas enemigas"
"herocard.passive_skill.title.effectonstatuseffectaddition.addmana.allbuffs","Maná al recibir una bendición"
"herocard.passive_skill.title.effectonstatuseffectaddition.addmana.alldebuffs","Maná al recibir un estado alterado"
"herocard.passive_skill.title.effectonstatuseffectaddition.heal.allbuffs","Recuperación de vitalidad al recibir una bendición"
"herocard.passive_skill.title.effectonstatuseffectaddition.heal.alldebuffs","Recuperación de vitalidad al recibir un estado alterado"
"herocard.passive_skill.title.effectonstatuseffectaddition.statuseffects.managenerationmodifier.alldebuffs","Bendición de maná al recibir un estado alterado"
"herocard.passive_skill.title.effectonstatuseffectadditionwithchance.addmana.allbuffs","Maná al recibir una bendición"
"herocard.passive_skill.title.effectonstatuseffectadditionwithchance.heal.allbuffs","Recuperación de vitalidad al recibir una bendición"
"herocard.passive_skill.title.effectonstatuseffectremovalbyspecial.activates_on_ally_action.healthboost","Vitalidad potenciada con eliminación de efecto estado"
"herocard.passive_skill.title.effectonstatuseffectremovalbyspecial.activates_on_enemy_action.damage","Daño con eliminación de efecto estado"
"herocard.passive_skill.title.effectovertime.revival","Resurrección con el tiempo"
"herocard.passive_skill.title.effectovertimeperstatuseffect.addmana.everyturn.per.statuseffectbuffs.enemies","Maná por bendición enemiga"
"herocard.passive_skill.title.effectovertimeperstatuseffect.healthboost.everyturn.per.poison.statuseffectdebuffs.enemies","Vitalidad potenciada con Veneno"
"herocard.passive_skill.title.effectsonminionreceived.activates_on_ally_action.addmana.allies.minion","Maná al invocar secuaz"
"herocard.passive_skill.title.effectsonminionreceived.activates_on_ally_action.heal.addmana.allies.minion","Se alía con los familiares"
"herocard.passive_skill.title.effectsonparasitereceived.activates_on_enemy_action.addmana.enemies.parasite","Maná al invocar demonio"
"herocard.passive_skill.title.effectsonparasitereceived.activates_on_enemy_action.damage.enemies.parasite","Ira de las mascotas"
"herocard.passive_skill.title.effectsonparasitereceived.activates_on_enemy_action.healthboost.enemies.parasite","Vitalidad potenciada al invocar demonio"
"herocard.passive_skill.title.familiaraccuracymodifier.all.enemies.minion.bigminion","Ceguera de secuaces"
"herocard.passive_skill.title.familiarcoreintrinsicchargeeffectonspecial.summonfamiliar.construct_minion_core","Núcleo secuaz"
"herocard.passive_skill.title.familiarhealthmodifier.all.enemies.bigminion.decrease","Megasecuaces más débiles"
"herocard.passive_skill.title.familiarhealthmodifier.all.enemies.minion.decrease","Secuaces más débiles"
"herocard.passive_skill.title.familiarsilencer.all.enemies.bigminion","Megasecuaces detenidos"
"herocard.passive_skill.title.familiarsilencer.all.enemies.minion.follower","Secuaces detenidos"
"herocard.passive_skill.title.frost.effectondamageovertime.activates_on_enemy_action.addmana","Maná con escarcha"
"herocard.passive_skill.title.glass_reflect_debuffs","Cristal"
"herocard.passive_skill.title.growth","Crecimiento"
"herocard.passive_skill.title.guaranteedeffectonspecial","Efecto garantizado con habilidad especial"
"herocard.passive_skill.title.healmodifier.all.enemies.decrease","Curación reducida"
"herocard.passive_skill.title.healonheal.heal","Vitalidad extra"
"herocard.passive_skill.title.healonownfamiliardeath.minion","Vitalidad de secuaz muerto"
"herocard.passive_skill.title.healonownfamiliardeath.minion.healthboost","Vitalidad potenciada de secuaz muerto"
"herocard.passive_skill.title.increasedattackperelement.enemies.not.green","Aumento de ataque por cada enemigo que no sea de naturaleza"
"herocard.passive_skill.title.increasedattackperelement.enemies.not.red","Aumento de ataque por cada enemigo que no sea de fuego"
"herocard.passive_skill.title.increaseddamageagainstfamiliars.minion.bigminion","Daño extra a secuaces y megasecuaces"
"herocard.passive_skill.title.increaseddamageagainstminions","Aumento del daño contra secuaces"
"herocard.passive_skill.title.increasedspecialdamageagainsttaunt.taunt","Aumento del daño contra burla"
"herocard.passive_skill.title.increasespecialdamage","Aumento del daño de habilidad especial"
"herocard.passive_skill.title.increasespecialdamage.usable_once","Aumento del daño de habilidad especial"
"herocard.passive_skill.title.increasespecialdamagesupportcharacter.troop","Aumento del daño de habilidad especial"
"herocard.passive_skill.title.insanitydamagereduction","Marca de los mayores"
"herocard.passive_skill.title.iterateeffectonspecial","Probabilidad extra de obtener efectos con habilidad especial"
"herocard.passive_skill.title.league_accuracy_modifier_against_family","Desventaja en liga"
"herocard.passive_skill.title.league_featured_family_resist","Ventaja en liga"
"herocard.passive_skill.title.league_heal_modifier_against_family","Desventaja en liga"
"herocard.passive_skill.title.league_heal_modifier_for_family","Ventaja en liga"
"herocard.passive_skill.title.league_received_damage_modifier_against_non_featured_family","Ventaja en liga"
"herocard.passive_skill.title.managenerationmodifier.all.enemies","Obstaculizar maná"
"herocard.passive_skill.title.manaonownfamiliardeath.minion","Maná al morir un secuaz"
"herocard.passive_skill.title.manaonstatuseffect.debuff","Maná de estados alterados"
"herocard.passive_skill.title.memorizefamiliars.activates_on_enemy_action","Memoriza secuaces y demonios enemigos"
"herocard.passive_skill.title.memorizestatuseffects","Memoriza estados alterados"
"herocard.passive_skill.title.mimic_dread_damage_minions","Temible"
"herocard.passive_skill.title.mimiclootonlevelcompleted","Botín de copia"
"herocard.passive_skill.title.nevermissspecial","Precisión perfecta"
"herocard.passive_skill.title.ransack","Oportunidad de robar"
"herocard.passive_skill.title.reallocatestatuseffectonspecialcast.damage.minorbuff.newest","Roba bendición"
"herocard.passive_skill.title.reallocatestatuseffectonspecialcast.heal.minordebuff.newest","Sentido de caza"
"herocard.passive_skill.title.received_strong_troop_damage_pve","Reducción del daño de tropas"
"herocard.passive_skill.title.receivedstrongelementsupportcharacterdamage","Maestría con tropas"
"herocard.passive_skill.title.receivedstrongelementsupportcharacterdamage.increase.dragon","Aumento de daño de bola de fuego fuerte"
"herocard.passive_skill.title.redirectlethaldamage.enemies.single","Engaño a la muerte"
"herocard.passive_skill.title.remove_growth_from_enemies","Arenga protectora"
"herocard.passive_skill.title.remove_wither_from_allies","Arenga protectora"
"herocard.passive_skill.title.repaircoreintrinsicchargeeffectonspecial.healthboost","Núcleo reparador"
"herocard.passive_skill.title.repeat_special_once","Suerte"
"herocard.passive_skill.title.resist.accuracymodifiers","Resiste ceguera"
"herocard.passive_skill.title.resist.alldebuffs","Resiste los estados alterados"
"herocard.passive_skill.title.resist.alldebuffs.alldebuffs","Resiste todas las alteraciones"
"herocard.passive_skill.title.resist.alldebuffs.manareduction.buffdispels","Resistencia alfa"
"herocard.passive_skill.title.resist.alldefensemodifiers.alldebuffs","Resiste alteración de defensa"
"herocard.passive_skill.title.resist.alldefensemodifiers.defensewither.alldebuffs","Resiste reducción de defensa"
"herocard.passive_skill.title.resist.allmanaeffects.alldebuffs","Resiste alteraciones de maná"
"herocard.passive_skill.title.resist.allmanaeffects.manareduction.alldebuffs","Resiste los efectos negativos de maná"
"herocard.passive_skill.title.resist.allstatuseffectdamage.none","Resiste el daño de los efectos de estado"
"herocard.passive_skill.title.resist.attackdelay","Resiste retraso de ataque"
"herocard.passive_skill.title.resist.attackmodifiers","Resiste alteración de ataque"
"herocard.passive_skill.title.resist.attackmodifiers.allstatuseffectsandstacks","Resiste efectos de estado de ataque"
"herocard.passive_skill.title.resist.attackmodifiers.attackwither.alldebuffs","Resiste reducción de ataque"
"herocard.passive_skill.title.resist.bleed","Resiste Sangrado"
"herocard.passive_skill.title.resist.bleed.with_effect.healthboost.addmana","Resistencia fortalecida contra Sangrado"
"herocard.passive_skill.title.resist.buffdispels","Resiste descartes"
"herocard.passive_skill.title.resist.buffimmunity","Resiste el bloqueo de bendiciones"
"herocard.passive_skill.title.resist.burn","Resiste Quemadura"
"herocard.passive_skill.title.resist.burn.with_effect.healthboost.addmana","Resistencia fortalecida contra Quemadura"
"herocard.passive_skill.title.resist.criticalhits.none","Resiste los golpes críticos"
"herocard.passive_skill.title.resist.defensemodifiers.alldebuffs","Resiste alteración de defensa"
"herocard.passive_skill.title.resist.familiarremoval.familiarsilence.familiarreceivingblocking.minion","Secuaces imparables"
"herocard.passive_skill.title.resist.frost","Resiste Escarcha"
"herocard.passive_skill.title.resist.frost.with_effect.healthboost.addmana","Resistencia fortalecida contra Escarcha"
"herocard.passive_skill.title.resist.healeffects","Resiste las alteraciones de curación"
"herocard.passive_skill.title.resist.healthsteal","Resiste los estados alterados de vitalidad"
"herocard.passive_skill.title.resist.insanity.permanentstatuseffects","Resiste la demencia"
"herocard.passive_skill.title.resist.manadebuffs","Resiste alteraciones de maná"
"herocard.passive_skill.title.resist.manaeffectsandspecialblocking","Resiste las alteraciones de maná y el bloqueo de habilidades especiales"
"herocard.passive_skill.title.resist.managenerationmodifiers.alldebuffs","Resiste alteración de regeneración de maná"
"herocard.passive_skill.title.resist.manareduction","Resiste reducción de maná directa"
"herocard.passive_skill.title.resist.manareduction.none.with_effect.healthboost.addmana","Resistencia fortalecida contra reducción de maná"
"herocard.passive_skill.title.resist.maxhealthreduction","Resiste reducción de vitalidad máxima"
"herocard.passive_skill.title.resist.poison","Resiste Veneno"
"herocard.passive_skill.title.resist.poison.burn.bleed","Resiste Veneno, Quemadura y Sangrado"
"herocard.passive_skill.title.resist.possession.allstatuseffects","Resiste la posesión"
"herocard.passive_skill.title.resist.sand","Resiste Arena"
"herocard.passive_skill.title.resist.specialblocking","Resiste bloqueo de habilidades especiales"
"herocard.passive_skill.title.resist.specialblocking.with_effect.healthboost.addmana","Resistencia fortalecida contra el bloqueo de habilidades especiales"
"herocard.passive_skill.title.resist.stopmanageneration","Resiste la detención de regeneración de maná"
"herocard.passive_skill.title.resist.water","Resiste Agua"
"herocard.passive_skill.title.resist_all_defense_effects","Rasgo:
Estructura flexible"
"herocard.passive_skill.title.resistdebuffsfromfamiliars.minion","Resiste los estados alterados de los secuaces"
"herocard.passive_skill.title.resistfamiliarremoval.minion.bigminion","Resiste la eliminación de los secuaces"
"herocard.passive_skill.title.resistnegativefamiliareffects.minion","Resiste los efectos negativos de los secuaces"
"herocard.passive_skill.title.resistnegativefamiliareffects.minion.bigminion","Resiste los efectos negativos de los secuaces (superior)"
"herocard.passive_skill.title.resistnewfamiliars.parasite","Resiste los demonios"
"herocard.passive_skill.title.resistnewfamiliars.parasite.bigparasite","Resiste los demonios y megademonios"
"herocard.passive_skill.title.resistsupportcharacter.troop.alldebuffs","Resiste los estados alterados"
"herocard.passive_skill.title.revivalchancemodifier.all.enemies","Reducción de la probabilidad de revivir"
"herocard.passive_skill.title.revivalhealthmodifier.all.enemies.excluding.boss","Reducción de vitalidad al revivir"
"herocard.passive_skill.title.revive_chance_nine_lives","Vidas felinas"
"herocard.passive_skill.title.reviveinalternativeformwithinsanitychance","Pacto sobrenatural"
