"heroes.name_fancy.astral_cosmicspeaker","Astral Elf Astronomer"
"heroes.name_fancy.monster_hunter_basil","Mouse of the Hunt"
"heroes.name_fancy.monster_hunter_berit","Berylline Bruiser"
"heroes.name_fancy.monster_hunter_bogart","Marsh Hunter"
"heroes.name_fancy.monster_hunter_bonecrusher","Silverback Chieftain"
"heroes.name_fancy.monster_hunter_cedar","Chimpanzee Chain Champion"
"heroes.name_fancy.monster_hunter_cleaver","Hunting Chieftain"
"heroes.name_fancy.monster_hunter_dabria","Hunter Occultist"
"heroes.name_fancy.monster_hunter_dawn","Hunter Minstrel"
"heroes.name_fancy.monster_hunter_dubhain","The Storm God's Chosen"
"heroes.name_fancy.monster_hunter_ebba","Hunter Mercenary"
"heroes.name_fancy.monster_hunter_edelaide","Nomad of the Wild"
"heroes.name_fancy.monster_hunter_fianna","Forest Trapper"
"heroes.name_fancy.monster_hunter_goretooth","Savage Hunter"
"heroes.name_fancy.monster_hunter_greel","Feral Swashbuckler"
"heroes.name_fancy.monster_hunter_hammertusk","Burly Bashing Barbarian"
"heroes.name_fancy.monster_hunter_hawthorn","Hunter Journeyman"
"heroes.name_fancy.monster_hunter_hurricane","Ape Assassin"
"heroes.name_fancy.monster_hunter_kai","Hunter Knight"
"heroes.name_fancy.monster_hunter_knuckles","Macaque Sentinel"
"heroes.name_fancy.monster_hunter_maheegan","Wolf Tracker"
"heroes.name_fancy.monster_hunter_malin","Titanbone Warrior"
"heroes.name_fancy.monster_hunter_meadow","Tribal Huntress"
"heroes.name_fancy.monster_hunter_mistweaver","Orangutan Brawler"
"heroes.name_fancy.monster_hunter_njal","Hunter of the North Wind"
"heroes.name_fancy.monster_hunter_numbskull","Clumsy Skeleton"
"heroes.name_fancy.monster_hunter_otis","Hunter Blademaster"
"heroes.name_fancy.monster_hunter_revna","Carnelian Hunter"
"heroes.name_fancy.monster_hunter_ruadh","Abyssal Huntsman"
"heroes.name_fancy.monster_hunter_sigyn","Scorpion Handler"
"heroes.name_fancy.monster_hunter_sorcha","Persistent Hunter"
"heroes.name_fancy.monster_hunter_sorrow","Icebound Wraith"
"heroes.name_fancy.monster_hunter_staintongue","Relentless Hunter"
"heroes.name_fancy.monster_hunter_sune","Malachite Hunter"
"heroes.name_fancy.monster_hunter_thunderclap","Enraged Gorilla"
"heroes.name_fancy.monster_hunter_thura","Star-Blessed Hunter"
"heroes.name_fancy.monster_hunter_tremor","Baboon Swordmaster"
"heroes.name_fancy.monster_hunter_waterpipe","Harpoon Engineer"
"heroes.name_fancy.moth_auricarc","The Master Marksmoth"
"heroes.name_fancy.moth_chimister","The Lab Moth"
"heroes.name_fancy.moth_chunkyroi","Marquis Moth"
"heroes.name_fancy.moth_furgeant","The Juggermoth"
"heroes.name_fancy.moth_gardered","The Daremoth"
"heroes.name_fancy.moth_grovevert","Mothling Breeder"
"heroes.name_fancy.moth_joyvert","Music Mothuoso"
"heroes.name_fancy.moth_lilareine","Marquise Moth"
"heroes.name_fancy.moth_limeboire","Moth Barkeeper"
"heroes.name_fancy.moth_mortewitch","The Mothmancer"
"heroes.name_fancy.moth_pepperbleu","The Mothician"
"heroes.name_fancy.moth_rosepetite","Young Moth Painter"
"heroes.name_fancy.moth_satinpimenter","The Clergymoth"
"heroes.name_fancy.moth_shyombre","Shadow Moth"
"heroes.name_fancy.moth_tealmoine","Moth of the Mist"
"heroes.name_fancy.musketeer_aramis","Romantic Musketeer"
"heroes.name_fancy.musketeer_athos","Veteran Musketeer"
"heroes.name_fancy.musketeer_cardinal_richelieu","Duplicitous Duke"
"heroes.name_fancy.musketeer_constance","Courageous Musketeer"
"heroes.name_fancy.musketeer_dartagnan","Ardent Musketeer"
"heroes.name_fancy.musketeer_felton","Depraved Assassin"
"heroes.name_fancy.musketeer_kitty","Friendly Florist"
"heroes.name_fancy.musketeer_milady_de_winter","Machiavellian Villainess"
"heroes.name_fancy.musketeer_planchet","Valiant Valet"
"heroes.name_fancy.musketeer_porthos","Jolly Musketeer"
"heroes.name_fancy.musketeer_queen_anne","Elegant Monarch"
"heroes.name_fancy.musketeer_rochefort","Ruthless Miscreant"
"heroes.name_fancy.musketeer_villiers","Pompous Duke"
"heroes.name_fancy.mystery_enigmo","Summoning Conundrum"
"heroes.name_fancy.nature_god_balbar","Botanist Hermit"
"heroes.name_fancy.nature_god_bertila","The Green Knight"
"heroes.name_fancy.nature_god_bo_and_runt","Leaders of the Pack"
"heroes.name_fancy.nature_god_chloris","Floral Spirit"
"heroes.name_fancy.nature_god_cinisia","Meliai Warmage"
"heroes.name_fancy.nature_god_florenna","Graceful Elaphocentaur"
"heroes.name_fancy.nature_god_leadria","Queen of Eternal Spring"
"heroes.name_fancy.nature_god_liora","The Benevolent Bandit"
"heroes.name_fancy.nature_god_mystia","Mesmerizing Enchantress"
"heroes.name_fancy.nature_god_silvaria","Forest God"
"heroes.name_fancy.nature_god_viselus","Blightwalker Druid"
"heroes.name_fancy.ninja_amethyst","Hidden Assassin"
"heroes.name_fancy.ninja_ametrine","Ninja of Hidden Blades"
"heroes.name_fancy.ninja_aurum","Sanguine Kunoichi"
"heroes.name_fancy.ninja_azurite","Ninja Outlook"
"heroes.name_fancy.ninja_chikao","Silent Striker"
"heroes.name_fancy.ninja_cobalt","Ninja of Whispering Seas"
"heroes.name_fancy.ninja_ekanite","Shinobi Squad Leader"
"heroes.name_fancy.ninja_garnet","Ninja of Soaring Vitality"
"heroes.name_fancy.ninja_iga","Master of Kunai Storm"
"heroes.name_fancy.ninja_ito","Subjugating Shinobi"
"heroes.name_fancy.ninja_jade","Ninja of Dancing Stars"
"heroes.name_fancy.ninja_kinsaishi","Thunderous Ninja Monk"
"heroes.name_fancy.ninja_kushanku","The Fist of Deception"
"heroes.name_fancy.ninja_malum","Ruthless Shinobi"
"heroes.name_fancy.ninja_mica","Ninja of Silent Screams"
"heroes.name_fancy.ninja_morganite","Ninja of Fading Shadows"
"heroes.name_fancy.ninja_myoinni","The Strongest Bannerlord"
"heroes.name_fancy.ninja_nomad","Silent Executioner"
"heroes.name_fancy.ninja_oniwaka","Shadow Monk of 999 Swords"
"heroes.name_fancy.ninja_oniwakamaru","Shadow Monk of 999 Swords"
"heroes.name_fancy.ninja_onyx","Ninja of Elusive Winds"
"heroes.name_fancy.ninja_osamu","Iron Discipline Ninja"
"heroes.name_fancy.ninja_peridot","Ninja of Deadly Toxins"
"heroes.name_fancy.ninja_quartz","Ninja of Quiet Graves"
"heroes.name_fancy.ninja_ruby","The Red Oni Ninja"
"heroes.name_fancy.ninja_sapphire","Ninja of Leaping Shadows"
"heroes.name_fancy.ninja_satsui","Shadowy Kunoichi"
"heroes.name_fancy.ninja_sawano","Faithful Kunoichi"
"heroes.name_fancy.ninja_serandite","Ninja of the Piercing Flames"
"heroes.name_fancy.ninja_shale","Ninja of Flying Vigor"
"heroes.name_fancy.ninja_tametomo","Greatbow Saboteur"
"heroes.name_fancy.ninja_topaz","Ninja of Perfect Precision"
"heroes.name_fancy.ninja_tora","Silent Huntress"
"heroes.name_fancy.ninja_umeko","Poison Flower Ninja"
"heroes.name_fancy.ninja_zircon","Ninja of Silent Waves"
"heroes.name_fancy.nomad_axe_adventurer","Brave Bounty Hunter"
"heroes.name_fancy.nomad_axe_adventurer_costume_cute","Toon Bounty Hunter"
"heroes.name_fancy.nomad_axe_adventurer_costume_glass","Glass Bounty hunter"
"heroes.name_fancy.nomad_axe_adventurer_costume_magma","Fiery Bounty Hunter"
"heroes.name_fancy.nomad_axe_adventurer_costume_tracker","Brave Tracker"
"heroes.name_fancy.nomad_female_archer","Talented Trapper"
"heroes.name_fancy.nomad_female_assassin","Raider from the Sandsea"
"heroes.name_fancy.nomad_female_assassin_costume_cute","Raider from the Toon Sea"
"heroes.name_fancy.nomad_female_assassin_costume_dancer","Dancer from the Sandsea"
"heroes.name_fancy.nomad_female_assassin_costume_glass","Raider from the Glass Sea"
"heroes.name_fancy.nomad_female_assassin_costume_poison","Assassin from the Sandsea"
"heroes.name_fancy.nomad_female_berserker","Priestess of Dragonia"
"heroes.name_fancy.nomad_female_berserker_costume_cute","Toon of Dragonia"
"heroes.name_fancy.nomad_female_berserker_costume_glass","Vitrail of Dragonia"
"heroes.name_fancy.nomad_female_berserker_costume_shaman","Shaman of Dragonia"
"heroes.name_fancy.nomad_female_berserker_costume_sorceress","Sorceress of Dragonia"
"heroes.name_fancy.nomad_female_captain","Lady of Windemer"
"heroes.name_fancy.nomad_female_captain_costume_cute","Toon of Windemer"
"heroes.name_fancy.nomad_female_captain_costume_glass","Vitrail of Windemer"
"heroes.name_fancy.nomad_female_captain_costume_pirate","Terror of Windemer"
"heroes.name_fancy.nomad_female_captain_costume_thief","Master Thief of Windemer"
"heroes.name_fancy.nomad_female_lord","Captain of the Royal Guard"
"heroes.name_fancy.nomad_female_lord_costume_cute","Captain of the Royal Toons"
"heroes.name_fancy.nomad_female_lord_costume_flame","Captain of Fire"
"heroes.name_fancy.nomad_female_lord_costume_glass","Captain of the Glass Guard"
"heroes.name_fancy.nomad_female_lord_costume_wicked","Captain of the Wicked"
"heroes.name_fancy.nomad_female_shaman","Ascendant Shaman"
"heroes.name_fancy.nomad_female_shaman_costume_cute","Ascendant Toon"
"heroes.name_fancy.nomad_female_shaman_costume_glass","Ascendant Vitrail"
"heroes.name_fancy.nomad_female_shaman_costume_native","Ascendant Mender"
"heroes.name_fancy.nomad_female_swordmaster","Seeker of Throne"
"heroes.name_fancy.nomad_female_swordmaster_costume_cute","Seeker of Toons"
"heroes.name_fancy.nomad_female_swordmaster_costume_glass","Seeker of Glass"
"heroes.name_fancy.nomad_female_swordmaster_costume_native","Seeker of Gods"
"heroes.name_fancy.nomad_female_thief","Youthful Traveler"
"heroes.name_fancy.nomad_fighter","Rugged Brawler"
"heroes.name_fancy.nomad_mage","Mage from the Sandsea"
"heroes.name_fancy.nomad_mage_costume_cute","Mage from the Toon Sea"
"heroes.name_fancy.nomad_mage_costume_glass","Nomad from the Glass Sea"
"heroes.name_fancy.nomad_mage_costume_goggles","Wizard from the Sandsea"
"heroes.name_fancy.nomad_scout","Sly Sellsword"
"heroes.name_fancy.nomad_shaman","Servant of the Old Ones"
"heroes.name_fancy.nordic_ancestral_warrior","Dark Orphan"
"heroes.name_fancy.nordic_ancestral_warrior_costume_corrupted","Heir of Evil"
"heroes.name_fancy.nordic_ancestral_warrior_costume_cute","Dark Toon"
"heroes.name_fancy.nordic_ancestral_warrior_costume_glass","Dark Vitrail"
"heroes.name_fancy.nordic_ancestral_warrior_costume_messenger","Dark Messenger"
"heroes.name_fancy.nordic_chained_werewolf","The Ferocious"
"heroes.name_fancy.nordic_chained_werewolf_costume_cute","The Ferocious Toon"
"heroes.name_fancy.nordic_chained_werewolf_costume_glass","The Ferocious Glass"
"heroes.name_fancy.nordic_chained_werewolf_costume_raccoon","Garlic Thief"
"heroes.name_fancy.nordic_female_scout","Fierce Maiden"
"heroes.name_fancy.nordic_female_warrior","Exiled Warrior"
"heroes.name_fancy.nordic_ice_enchantress","Protector of Glaceholm"
"heroes.name_fancy.nordic_ice_enchantress_costume_aqua","Ice Witch of Glaceholm"
"heroes.name_fancy.nordic_ice_enchantress_costume_cute","Protector of Toons"
"heroes.name_fancy.nordic_ice_enchantress_costume_glass","Vitrail of Glaceholm"
"heroes.name_fancy.nordic_ice_enchantress_costume_ruler","Ruler of Glaceholm"
"heroes.name_fancy.nordic_mage","Mage of Glaceholm"
"heroes.name_fancy.nordic_mage_costume_cute","Toon of Glaceholm"
"heroes.name_fancy.nordic_mage_costume_glass","Vitrail of Glaceholm"
"heroes.name_fancy.nordic_mage_costume_hermit","Hermit of Glaceholm"
"heroes.name_fancy.nordic_male_lord","Hammer of Justice"
"heroes.name_fancy.nordic_male_lord_costume_cute","Hammer of Toon Power"
"heroes.name_fancy.nordic_male_lord_costume_glass","Hammer of Glass"
"heroes.name_fancy.nordic_male_lord_costume_injustice","Hammer of Injustice"
"heroes.name_fancy.nordic_male_lord_costume_senior","Axe of Justice"
"heroes.name_fancy.nordic_swordman","Dashing Duelist"
"heroes.name_fancy.nordic_swordman_costume_climber","Clean-Cut Climber"
"heroes.name_fancy.nordic_swordman_costume_cute","Talented Toon"
"heroes.name_fancy.nordic_swordman_costume_glass","Glass Duelist"
"heroes.name_fancy.nordic_warrior","Carefree Adventurer"
"heroes.name_fancy.ommodus","Lawbringer of Owl Tower"
"heroes.name_fancy.orc_gladiator","The Unwavering"
"heroes.name_fancy.orc_gladiator_costume_chef","Cast Iron Chef"
"heroes.name_fancy.orc_gladiator_costume_cute","The Unwavering Toon"
"heroes.name_fancy.orc_gladiator_costume_glass","The Reflecting"
"heroes.name_fancy.orc_gladiator_costume_sage","The Feral Sage"
"heroes.name_fancy.orc_skirmisher","Half-Blood Fighter"
"heroes.name_fancy.orc_troopmaster","The Hungry"
"heroes.name_fancy.orc_troopmaster_costume_cute","The Hungry Toon"
"heroes.name_fancy.orc_troopmaster_costume_glass","The Hungry Vitrail"
"heroes.name_fancy.orc_troopmaster_costume_gourmet","The Epicurean"
"heroes.name_fancy.orc_troopmaster_costume_merchant","The Coveteus"
"heroes.name_fancy.orc_warrior","First in Battle"
"heroes.name_fancy.orc_warrior_costume_cute","First Toon in Battle"
"heroes.name_fancy.orc_warrior_costume_glass","Last to Shatter"
"heroes.name_fancy.orc_warrior_costume_urukhai","Last to Retreat"
"heroes.name_fancy.oriental_brawler","Noble Defender"
"heroes.name_fancy.oriental_brawler_costume_cute","Toon Brawler"
"heroes.name_fancy.oriental_brawler_costume_egypt","Noble Brawler"
"heroes.name_fancy.oriental_brawler_costume_glass","Glass Brawler"
"heroes.name_fancy.oriental_enchanted_monk","Flame of the Sun"
"heroes.name_fancy.oriental_enchanted_monk_costume_cute","Toon of the Sun"
"heroes.name_fancy.oriental_enchanted_monk_costume_glass","Vitrail of the Sun"
"heroes.name_fancy.oriental_enchanted_monk_costume_stoneguard","Might of the Sun"
"heroes.name_fancy.oriental_enchanted_monk_costume_tiger","Fury of the Sun"
"heroes.name_fancy.oriental_falconer","Master Tactician"
"heroes.name_fancy.oriental_falconer_costume_cub","Tiger Master"
"heroes.name_fancy.oriental_falconer_costume_cute","Toon Tactician"
"heroes.name_fancy.oriental_falconer_costume_dodo","Master Conservator"
"heroes.name_fancy.oriental_falconer_costume_glass","Glass Tactician"
"heroes.name_fancy.oriental_female_guard","Ranger of Shaguad"
"heroes.name_fancy.oriental_female_guard_costume_cute","Toon of Shaguad"
"heroes.name_fancy.oriental_female_guard_costume_glass","Vitrail of Shaguad"
"heroes.name_fancy.oriental_female_guard_costume_soldier","Shaguadian Guardian"
"heroes.name_fancy.oriental_female_mage","Selfless Healer"
"heroes.name_fancy.oriental_female_mage_costume_cute","Toon Healer"
"heroes.name_fancy.oriental_female_mage_costume_glass","Glass Healer"
"heroes.name_fancy.oriental_female_mage_costume_mender","Magnanimous Mender"
"heroes.name_fancy.oriental_female_mystic","Scholar Supreme"
"heroes.name_fancy.oriental_female_mystic_costume_cute","Toon Scholar"
"heroes.name_fancy.oriental_female_mystic_costume_glass","Glass Scholar"
"heroes.name_fancy.oriental_female_mystic_costume_magician","Magician Supreme"
"heroes.name_fancy.oriental_female_mystic_costume_scribe","Scribe Supreme"
"heroes.name_fancy.oriental_female_ninja","Ninja Student"
"heroes.name_fancy.oriental_female_templar","Wise General"
"heroes.name_fancy.oriental_female_templar_costume_cute","Toon General"
"heroes.name_fancy.oriental_female_templar_costume_fireworks","Fireworks General"
"heroes.name_fancy.oriental_female_templar_costume_glass","Glass General"
"heroes.name_fancy.oriental_female_templar_costume_kimono","Ceremonial Assassin"
"heroes.name_fancy.oriental_monkey_captain","Monkey Lord"
"heroes.name_fancy.oriental_monkey_captain_costume_cute","Monkey Toon"
"heroes.name_fancy.oriental_monkey_captain_costume_glass","Glass Monkey"
"heroes.name_fancy.oriental_monkey_captain_costume_reveller","Monkey Reveller"
"heroes.name_fancy.oriental_monkey_captain_costume_warrior","Monkey Ronin"
"heroes.name_fancy.oriental_monkey_warrior","Monkey Warrior"
"heroes.name_fancy.oriental_panda_berserker","Branch of Bamboo"
"heroes.name_fancy.oriental_panda_berserker_costume_cute","Branch of Toons"
"heroes.name_fancy.oriental_panda_berserker_costume_farmer","Root of Bamboo"
"heroes.name_fancy.oriental_panda_berserker_costume_glass","Branch of Glass"
"heroes.name_fancy.oriental_panda_scout","Leaf of Bamboo"
"heroes.name_fancy.oriental_panda_warrior","Blade of Bamboo"
"heroes.name_fancy.oriental_panda_warrior_costume_armor","Bark of Bamboo"
"heroes.name_fancy.oriental_panda_warrior_costume_cute","Toon of Bamboo"
"heroes.name_fancy.oriental_panda_warrior_costume_dueller","Bamboo Dueller"
"heroes.name_fancy.oriental_panda_warrior_costume_glass","Blade of Glass"
"heroes.name_fancy.oriental_squire","Smith's Apprentice"
"heroes.name_fancy.oriental_warrior","Foot Soldier"
"heroes.name_fancy.oriental_warrior_king","Unyielding King"
"heroes.name_fancy.oriental_warrior_king_costume_cute","Unyielding Toon"
"heroes.name_fancy.oriental_warrior_king_costume_glass","Unyielding Vitrail"
"heroes.name_fancy.oriental_warrior_king_costume_mage","Unyielding Mage"
"heroes.name_fancy.oriental_warrior_king_costume_roman","King of Sparta"
"heroes.name_fancy.outlaw_chao_gai","Pagoda-Shifting Heavenly King of Water Margin"
"heroes.name_fancy.outlaw_gu_dasao","Female Tiger of Water Margin"
"heroes.name_fancy.outlaw_hu_sanniang","Bright Star of Water Margin"
"heroes.name_fancy.outlaw_li_kui","Iron Ox of Water Margin"
"heroes.name_fancy.outlaw_lin_chong","Panther Head of Water Margin"
"heroes.name_fancy.outlaw_liu_tang","Red-Haired Devil of Water Margin"
"heroes.name_fancy.outlaw_lu_zhishen","Flowery Monk of Water Margin"
"heroes.name_fancy.outlaw_ruan_xiaoqi","Destruction Star of Water Margin"
"heroes.name_fancy.outlaw_shi_jin","Nine Dragon Tattoos of Water Margin"
"heroes.name_fancy.outlaw_song_jiang","Timely Rain of Water Margin"
"heroes.name_fancy.outlaw_sun_erniang","Strong Star of Water Margin"
"heroes.name_fancy.outlaw_wu_song","Tiger-Fighting Hero of Water Margin"
"heroes.name_fancy.outlaw_wu_yong","Knowledge Star of Water Margin"
"heroes.name_fancy.outlaw_xiang_chong","Flying Star of Water Margin"
"heroes.name_fancy.outlaw_zheng_tianshou","Fair-Faced Gentleman of Water Margin"
"heroes.name_fancy.owl_cennius","Hidden Claw of Owl Tower"
"heroes.name_fancy.owl_eron","Minstrel of Owl Tower"
"heroes.name_fancy.owl_featherino","Anxious Rapscallion of Owl Tower"
"heroes.name_fancy.owl_fulvia","Queen of Owl Tower"
"heroes.name_fancy.owl_juliani","Justiciar of Owl Tower"
"heroes.name_fancy.owl_livia","Head Priestess of Owl Tower"
"heroes.name_fancy.owl_lodius","Berserker of Owl Tower"
"heroes.name_fancy.owl_mariol","Courtier of Owl Tower"
"heroes.name_fancy.owl_olbec","Alchemist of Owl Tower"
"heroes.name_fancy.owl_ommodus","Lawbringer of Owl Tower"
"heroes.name_fancy.owl_paeia","Princess of Owl Tower"
"heroes.name_fancy.owl_pertinax","Knight Guardian of Owl Tower"
"heroes.name_fancy.owl_relius","Herbalist of Owl Tower"
"heroes.name_fancy.owl_timius","Royal Vanguard of Owl Tower"
"heroes.name_fancy.owl_verus","Scout Commander of Owl Tower"
"heroes.name_fancy.pirate_anne","Figurehead of Corellia"
"heroes.name_fancy.pirate_boatswain","Boatswain of Corellia"
"heroes.name_fancy.pirate_cabin_boy","Cabin Boy of Corellia"
"heroes.name_fancy.pirate_cabin_boy_costume_paper","Paper Boy at Shore"
"heroes.name_fancy.pirate_commodore_finley","Commodore of Corellia"
"heroes.name_fancy.pirate_commodore_finley_costume_bleak","Bleak Commodore"
"heroes.name_fancy.pirate_dread_captain","Dread Captain of Corellia"
"heroes.name_fancy.pirate_dread_captain_costume_rotten","Rotten Captain of Corellia"
"heroes.name_fancy.pirate_finley","Vindictive Coxswain of Corellia"
"heroes.name_fancy.pirate_first_mate","First Mate of Corellia"
"heroes.name_fancy.pirate_lady","Lady of Corellia"
"heroes.name_fancy.pirate_lady_costume_queen","Rebel Queen"
"heroes.name_fancy.pirate_marie_therese","Voodoo Queen of Corellia"
"heroes.name_fancy.pirate_marie_therese_costume_priestess","Soul-Stealing Priestess"
"heroes.name_fancy.pirate_sally","Mascot of Corellia"
"heroes.name_fancy.pirate_swashbuckler","Buccaneer Captain of Corellia"
"heroes.name_fancy.pirate_vodnik","Fisherman of Corellia"
"heroes.name_fancy.rabbit_blue","Guardian of Springvale"
"heroes.name_fancy.rabbit_blue_costume_riftbreaker","Rift Breaker"
"heroes.name_fancy.rabbit_green","Champion of Springvale"
"heroes.name_fancy.rabbit_green_costume_egg_hunter","Egg Hunter of Springvale"
"heroes.name_fancy.rabbit_red","Squire of Springvale"
"heroes.name_fancy.royal_female_knight","Willful Champion"
"heroes.name_fancy.royal_female_knight_costume_cute","Toon Champion"
"heroes.name_fancy.royal_female_knight_costume_glass","Glass Champion"
"heroes.name_fancy.royal_female_knight_costume_prospector","Willful Prospector"
"heroes.name_fancy.royal_female_knight_costume_winter","Viking Champion"
"heroes.name_fancy.royal_knight","Protector Knight"
"heroes.name_fancy.royal_knight_commander","Wielder of Frostmorrow"
"heroes.name_fancy.royal_knight_commander_costume_cute","Toon Frostmorrow"
"heroes.name_fancy.royal_knight_commander_costume_glass","Vitrail of Frostmorrow"
"heroes.name_fancy.royal_knight_commander_costume_gryphon","Commander Frostmorrow"
"heroes.name_fancy.royal_knight_commander_costume_king","King Frostmorrow"
"heroes.name_fancy.royal_knight_costume_blacksmith","Brave Blacksmith"
"heroes.name_fancy.royal_knight_costume_cute","Toon Knight"
"heroes.name_fancy.royal_knight_costume_glass","Glass Knight"
"heroes.name_fancy.royal_pikeman","Serious Guardsman"
"heroes.name_fancy.s2_ariel","Princess of Atlantis"
"heroes.name_fancy.s2_ariel_costume_enchanter","Enchanter of Atlantis"
"heroes.name_fancy.s2_atlantean_robot","Watcher of Atlantis"
"heroes.name_fancy.s2_atlantean_robot_costume_sentinel","Atlantean Sentinel"
"heroes.name_fancy.s2_chameleon_bruiser","Chameleon Warrior"
"heroes.name_fancy.s2_chameleon_chief","Chameleon General"
"heroes.name_fancy.s2_chameleon_chief_costume_heavyweight","World Heavyweight Champion"
"heroes.name_fancy.s2_chameleon_mage","Chameleon Shaman"
"heroes.name_fancy.s2_chameleon_mage_costume_alchemist","Chameleon Alchemist"
"heroes.name_fancy.s2_croc_man","Swamp Thug"
"heroes.name_fancy.s2_cursed_samurai","Cursed Warlord"
"heroes.name_fancy.s2_cursed_samurai_costume_beetle","Beetle Samurai"
"heroes.name_fancy.s2_demon_master","Daimyo of Deceit"
"heroes.name_fancy.s2_demon_master_costume_steppe","Khevtuul of Guile"
"heroes.name_fancy.s2_fiji_mermaid","Shallows Hunter"
"heroes.name_fancy.s2_fiji_mermaid_costume_hunter","Shallows Pursuer"
"heroes.name_fancy.s2_fox_girl","Nine-tailed Spirit"
"heroes.name_fancy.s2_fox_girl_costume_white_kitsune","White Kitsune Spirit"
"heroes.name_fancy.s2_ghost_woman","Lone Ghost"
"heroes.name_fancy.s2_ghost_woman_costume_yurei","Lonesome Yurei"
"heroes.name_fancy.s2_hammerhead_hulk","Savage Butcher"
"heroes.name_fancy.s2_hammerhead_hulk_costume_emerald","Savage Blademaster"
"heroes.name_fancy.s2_junglehunter","Prince of the Jungle"
"heroes.name_fancy.s2_junglehunter_costume_party","Prince of the Lūʻau"
"heroes.name_fancy.s2_lantern_ghost","Lantern Yokai"
"heroes.name_fancy.s2_mercenary_woman","Magnificent Mercenary"
"heroes.name_fancy.s2_mercenary_woman_costume_dancer","Magnificent Hula Dancer"
"heroes.name_fancy.s2_merman","Merman of Atlantis"
"heroes.name_fancy.s2_merman_costume_leutenant","Lieutenant of Atlantis"
"heroes.name_fancy.s2_merwoman","Mermaid of Atlantis"
"heroes.name_fancy.s2_merwoman_costume_emissary","Emissary of Atlantis"
"heroes.name_fancy.s2_noble_lady","Fatal Beauty"
"heroes.name_fancy.s2_noble_lady_costume_warrior","Blazing Beauty"
"heroes.name_fancy.s2_oceanus","Titan of Sea"
"heroes.name_fancy.s2_poseidon","Ruler of Atlantis"
"heroes.name_fancy.s2_poseidon_costume_slayer","Slayer of Atlantis"
"heroes.name_fancy.s2_proteus","Mage of Atlantis"
"heroes.name_fancy.s2_proteus_costume_farseer","Farseer of Atlantis"
"heroes.name_fancy.s2_rugged_fisherman","Valiant Fisherman"
"heroes.name_fancy.s2_rugged_fisherman_costume_sake_master","Bold Brewmaster"
"heroes.name_fancy.s2_skyllaros","Guardian of Atlantis"
"heroes.name_fancy.s2_skyllaros_costume_reef","Guardian of the Reef"
"heroes.name_fancy.s2_straw_demon","Straw Demon"
"heroes.name_fancy.s2_tanuki_raccoon","Dauntless Deceiver"
"heroes.name_fancy.s2_tanuki_raccoon_costume_merchant","Fearless Merchant"
"heroes.name_fancy.s2_tethys","Goddess of all Rivers"
"heroes.name_fancy.s2_triton","Captain of Atlantis"
"heroes.name_fancy.s2_triton_costume_champion","Champion of Atlantis"
"heroes.name_fancy.s2_ursena","Empress of the Depths"
"heroes.name_fancy.s2_ursena_costume_reef","Deadly Reef Queen"
"heroes.name_fancy.s3_agnes","Courageous Villager"
"heroes.name_fancy.s3_alfrike","Queen of Svartalfheim"
"heroes.name_fancy.s3_alfrike_costume_hatter","Hatter of Svartalfheim"
"heroes.name_fancy.s3_almur","Shadowblade of Svartalfheim"
"heroes.name_fancy.s3_almur_costume_lord","Lord of Svartalfheim"
"heroes.name_fancy.s3_anwindr","Cursed Viking Bruiser"
"heroes.name_fancy.s3_baldur","Luminous God"
"heroes.name_fancy.s3_baldur_costume_fiery","Fiery God"
"heroes.name_fancy.s3_bera","Princess of the Dísir"
"heroes.name_fancy.s3_bera_costume_conjurer","Conjurer of the Dísir"
"heroes.name_fancy.s3_bjorn","Brave Villager"
"heroes.name_fancy.s3_bjorn_costume_viking","Brave Soldier"
"heroes.name_fancy.s3_brynhild","Shieldmaiden of Valkyries"
"heroes.name_fancy.s3_by_ulf","Cursed Viking Brawler"
"heroes.name_fancy.s3_ei_dunn","Cursed Viking Battler"
"heroes.name_fancy.s3_ei_dunn_costume_shield","Ferocious Viking Battler"
"heroes.name_fancy.s3_fenrir","Leader of Niflheim"
"heroes.name_fancy.s3_fenrir_costume_guardian","Guardian of Niflheim"
"heroes.name_fancy.s3_freya","Lady of the Slain"
"heroes.name_fancy.s3_freya_costume_witch","Witch of the Fallen"
"heroes.name_fancy.s3_frigg","Goddess of Foresight"
"heroes.name_fancy.s3_frigg_costume_clairvoyance","Goddess of Clairvoyance"
"heroes.name_fancy.s3_fura","Poisoner of Svartalfheim"
"heroes.name_fancy.s3_fura_costume_herbalist","Herbalist of Svartalfheim"
"heroes.name_fancy.s3_gefjon","Goddess of Harvest"
"heroes.name_fancy.s3_gefjon_costume_wilderness","Goddess of the Wild"
"heroes.name_fancy.s3_grevle","Cunning Badger"
"heroes.name_fancy.s3_gullinbursti","Golden Boar"
"heroes.name_fancy.s3_gullinbursti_costume_toxic","Unchained Boar"
"heroes.name_fancy.s3_heimdall","Vigilant Watchman"
"heroes.name_fancy.s3_heimdall_costume_dreaded","Dreaded Watchman"
"heroes.name_fancy.s3_jarvur","Wolverine Pugilist"
"heroes.name_fancy.s3_jott","Barbaric Ice Giant"
"heroes.name_fancy.s3_kvasir","Beekeeper of Alfheim"
"heroes.name_fancy.s3_kvasir_costume_captain","Bee Captain of Alfheim"
"heroes.name_fancy.s3_loki_female","Trickster Goddess"
