"specials.name.a_cozy_break","Pause agréable"
"specials.name.ice_and_slice","Entaille glaciale"
"specials.name.ice_boom","Explosion de glace"
"specials.name.ice_cold_order","Ordre de glace"
"specials.name.ice_cream_smash","Frappe de crème glacée"
"specials.name.ice_treatment","Traitement glacial"
"specials.name.iceberg_aura","Aura de l'iceberg"
"specials.name.iceberg_crush","Ecrasement d'iceberg"
"specials.name.iceberg_havoc","Chaos de l'iceberg"
"specials.name.icebound_howl","Hurlement des glaces"
"specials.name.icebound_ritual","Rituel de glace"
"specials.name.icecold_finisher","Mise à mort gelée"
"specials.name.icehammer_smash","Coup du marteau-glace"
"specials.name.iceshatter","Bris de glace"
"specials.name.icy_axes","Haches glaciales"
"specials.name.icy_mandibles","Mandibules de glace"
"specials.name.icy_resilience","Résistance glacée"
"specials.name.ill_bring_you_back","Promesse de sauvetage"
"specials.name.ill_fated_experiment","Expérience malheureuse"
"specials.name.ill_fated_recovery","Récupération funeste"
"specials.name.imaginary_increments","Incréments imaginaires"
"specials.name.immortal_annihilator","Annihilateur immortel"
"specials.name.immortal_annihilator_deadly","Annihilateur immortel"
"specials.name.immortal_punisher","Châtiment éternel"
"specials.name.impairing_strike","Frappe de détérioration"
"specials.name.impale_and_devour","Empaler et dévorer"
"specials.name.impeccable_charge","Charge impeccable"
"specials.name.impeding_bolts","Éclairs d'entrave"
"specials.name.impervious_formation","Formation imperturbable"
"specials.name.impossible_groove","Groove impossible"
"specials.name.impossible_riddle","Énigme impossible"
"specials.name.incite_ki","Incitation du Ki"
"specials.name.incite_ki2","Incitation du Ki"
"specials.name.indestructible_claw","Griffe indestructible"
"specials.name.indifferent_blade","Lame indifférente"
"specials.name.inevitable_demise","Trépas inévitable"
"specials.name.infernal_chops","Taillades infernales"
"specials.name.infernal_drumstorm","Roulement de tambour infernal"
"specials.name.infernal_flames","Flammes infernales"
"specials.name.infernal_jaws","Mâchoire infernale"
"specials.name.ink_bomb","Bombe de glace"
"specials.name.innovative_lunge","Frappe innovante"
"specials.name.insidious_goo","Substance sournoise"
"specials.name.inspiring_fencing","Joute exaltante"
"specials.name.insurmountable_flux","Courant insurmontable"
"specials.name.intimidating_stance","Posture d'intimidation"
"specials.name.invigorating_pollen","Pollen revigorant"
"specials.name.invigorating_soup","Soupe revigorante"
"specials.name.invisible_strike","Frappe invisible"
"specials.name.iron_discipline_cut","Taillade disciplinée"
"specials.name.iron_rocket_fist","Poing fusée de fer"
"specials.name.ironbound_fury","Furie métallique"
"specials.name.jab_and_hook","Jab et crochet"
"specials.name.jack_of_owl_trades","Jack le hibou marchant"
"specials.name.jackal_strike","Frappe du chacal"
"specials.name.jade_blades","Lames de jade"
"specials.name.jaw_clamp","Pièges envahissants"
"specials.name.jaws_of_the_river","Dents de la rivière"
"specials.name.jewel_of_the_deep","Joyau des profondeurs"
"specials.name.join_in_joyful_song","Unisson joyeux"
"specials.name.joyful_noise","Bruit joyeux"
"specials.name.joyful_palette","Palette joyeuse"
"specials.name.judgement_of_goo","Jugement gluant"
"specials.name.judgment_and_penance","Jugement et pénitence"
"specials.name.judgment_of_sun","Jugement du soleil"
"specials.name.juggling_trials","Épreuves de jonglage"
"specials.name.jungle_fury","Fureur de la jungle"
"specials.name.jungle_riposte","Riposte de la jungle"
"specials.name.jungle_slash","Coup des marécages"
"specials.name.just_a_flesh_wound","Juste une petite égratignure"
"specials.name.karnov","Rossée totale"
"specials.name.katana_rain","Pluie de katanas"
"specials.name.katana_rain_pve","Pluie de katanas"
"specials.name.keep_the_peace","Préservation de la paix"
"specials.name.keyknife_typhoon","Typhon de la clé tranchante"
"specials.name.khans_order","Ordre du Khan"
"specials.name.kindled_carpet","Tapis embrasé"
"specials.name.kings_blood_poisoning","Nuit du chagrin"
"specials.name.kings_curse","Tempête de sable"
"specials.name.kings_curse_pve","Tempête de sable"
"specials.name.kings_feast","Festin royal"
"specials.name.kite_of_endurance","Cerf-volante endurant"
"specials.name.kitten_stampede","Ruée de chatons"
"specials.name.knights_armor","Armure de chevalier"
"specials.name.knights_fury","Fureur de chevalier"
"specials.name.knights_parry","Parade de chevalier"
"specials.name.kong_smash","Frappe de Kong"
"specials.name.kunai_assault","Assaut de kunaïs"
"specials.name.lacerating_leap","Saut tranchant"
"specials.name.lacerating_letters","Lettres lacérantes"
"specials.name.lacerating_whip","Fouet lacérant"
"specials.name.ladys_charm","Charme féminin"
"specials.name.ladys_flowers","Les fleurs de la dame"
"specials.name.lament_of_the_hunt","Lamentation du chasseur"
"specials.name.lance_of_avarice","Lance de l'avidité"
"specials.name.lance_of_torment","Lance du tourment"
"specials.name.lance_thrust","Coup de lance"
"specials.name.landslide","Glissement de terrain"
"specials.name.lantern_of_insanity","Lanterne de folie"
"specials.name.larva_prescription","Prescription larvaire"
"specials.name.lash_of_the_whip","Coup de fouet"
"specials.name.lasso_of_love","Lasso d'amour"
"specials.name.last_words","Derniers mots"
"specials.name.laundry_day","Jour de lessive"
"specials.name.lava_blast","Coulée de lave"
"specials.name.lava_spit","Crachat de lave"
"specials.name.lava_splash_dragon_pve","Éclat de feu d'esprit"
"specials.name.lavablow","Assaut enflammé"
"specials.name.lavablow_pve","Assaut enflammé"
"specials.name.lavaslash","Lave coupante"
"specials.name.leaf_blast","Déflagration de feuilles"
"specials.name.leafglow_bloom","Floraison merveilleuse"
"specials.name.leaping_attack","Attaque bondissante"
"specials.name.leeching_saw","Scie d'absorption"
"specials.name.leeching_stars","Étoiles d'absorption"
"specials.name.leeching_worms","Vers parasites"
"specials.name.legacy_of_darkness","Héritage des ténèbres"
"specials.name.legerdemain","Prestidigitation"
"specials.name.legerdemain_heart","Croix"
"specials.name.legerdemain_joker","Étoiles"
"specials.name.legerdemain_skull","Crâne"
"specials.name.legions_of_darkness","Légions des ténèbres"
"specials.name.legions_of_tyrant","Légions du tyran"
"specials.name.lesson_in_clear_focus_pve","Leçon : concentration"
"specials.name.lesson_in_expecting_the_unexpected_pve","Leçon : attendre l'inattendu"
"specials.name.lesson_in_fire_safety_pve","Leçon : sécurité contre le feu"
"specials.name.lesson_in_remaining_hydrated_pve","Leçon : bien s'hydrater"
"specials.name.lesson_in_staying_cool_pve","Leçon : rester cool"
"specials.name.lethal_needles","Aiguilles fatales"
"specials.name.lethal_needles2","Aiguilles fatales"
"specials.name.levitating_lunchbox_deluxe","Déjeuner volant de luxe"
"specials.name.lifeforce_leech","Saignée de vitalité"
"specials.name.light_barrier_dragon_pve","Barrière de lumière"
"specials.name.light_grenades","Grenades de lumière"
"specials.name.light_grenades2","Grenades de lumière"
"specials.name.light_my_fire","Mise à feu"
"specials.name.lightning_charge","Charge foudroyante"
"specials.name.lightning_stream","Torrent d'éclairs"
"specials.name.lightning_stream2","Torrent d'éclairs"
"specials.name.lightning_ultimatum","Ultimatum foudroyant"
"specials.name.lightning_ultimatum_pve","Ultimatum foudroyant"
"specials.name.litter_of_kittens","Portée de chatons"
"specials.name.liturgy_of_the_fallen","Liturgie des déchus"
"specials.name.looking_for_love","Quête d'amour"
"specials.name.lookouts_refreshment","Boisson du guetteur"
"specials.name.loom_of_destruction","Métier à détruire"
"specials.name.lord_of_the_jungle","Seigneur de la jungle"
"specials.name.lords_blood_poisoning","Aube du chagrin"
"specials.name.love_at_first_sight","Coup de foudre"
"specials.name.love_conquers_all","Amour invincible"
"specials.name.love_conquers_all_pve","Amour invincible"
"specials.name.loving_queen","Reine aimante"
"specials.name.lucky_coin","Pièce porte-bonheur"
"specials.name.lucky_fu_jow_pai","Fu Jow Pai chanceux"
"specials.name.lucky_nine","Neuf porte-bonheur"
"specials.name.luminescent_electrocution","Électrocution lumineuse"
"specials.name.luminous_lance","Lance lumineuse"
"specials.name.lunar_blessing","Bénédiction de la lune"
"specials.name.lunar_blessing_moon_beam","Rayon de lune"
"specials.name.lunar_bloom","Éclosion lunaire"
"specials.name.lunar_locket","Médaillon lunaire"
"specials.name.lunar_shield","Bouclier de la lune"
"specials.name.lunar_spear","Lance lunaire"
"specials.name.luring_song","Chanson trompeuse"
"specials.name.machinists_cutlass","Coutelas de machiniste"
"specials.name.mad_as_a_hatter","Toqué comme un chapelier"
"specials.name.mad_rat_mania","Mania du rat fou"
"specials.name.mad_tea_party","Goûter insensé"
"specials.name.madrigal_of_mayhem","Madrigal du chaos"
"specials.name.mageball_blast","Déflagration de magiball"
"specials.name.mageball_blast_pve","Déflagration de magiball"
"specials.name.magic_mirror_of_power","Miroir de puissance"
"specials.name.magical_balan","Balan magique"
"specials.name.magical_sword","Épée magique"
"specials.name.magma_boulders","Pierres de magma"
"specials.name.magma_smash","Frappe magma"
"specials.name.magmatic_burns","Brûlures magmatiques"
"specials.name.magmatic_tempest","Tempête magmatique"
"specials.name.magnificent_meal","Repas grandiose"
"specials.name.maidens_command","Ordre de la jeune fille"
"specials.name.maidens_orders","Ordres de la jeune fille"
"specials.name.make_them_harmless","Neutralisation"
"specials.name.malevolent_toys","Jouets maléfiques"
"specials.name.malison_of_the_wildlands","Malédiction de la nature"
"specials.name.mallet_swing_of_the_beast","Maillet bestial"
"specials.name.mana_immolation","Immolation de mana"
"specials.name.mana_manipulation","Manipulation de la jungle"
"specials.name.mana_scavange","Récupération de mana"
"specials.name.mana_stealer","Œil du prophète"
"specials.name.mantis_strike","Frappe de la mante"
"specials.name.marble_frenzy","Billes en folie"
"specials.name.marc","Longe affolée"
"specials.name.mark_of_anubis","Marque d'Anubis"
"specials.name.mark_of_fire","Marque du feu"
"specials.name.mark_of_ivy","Marque du lierre"
"specials.name.mark_of_nature","Marque de la nature"
"specials.name.mark_of_the_jackal","Marque du chacal"
"specials.name.mark_the_prey","Marque sur la proie"
"specials.name.marked_aim","Visée précise"
"specials.name.martial_dance","Prouesse impressionnante"
"specials.name.martial_masterstroke","Maîtrise martiale"
"specials.name.martial_prowess","Prouesse martiale"
"specials.name.masons_rage","Rage du maçon"
"specials.name.massive_bite","Morsure massive"
"specials.name.massive_chop","Giga coupe"
"specials.name.massive_cleave","Fente massive"
"specials.name.massive_swing","Frappe monumentale"
"specials.name.master_of_ailments","Maîtrise des statuts"
"specials.name.master_plan","Plan machiavélique"
"specials.name.masterful_balance","Équilibre maîtrisé"
"specials.name.masterful_manipulation","Manipulation géniale"
"specials.name.mauling_tusk","Défense dévastatrice"
"specials.name.mean_jab_dragon_pve","Coup méchant"
"specials.name.mechanical_augmentations","Améliorations mécaniques"
"specials.name.medicinal_drool","Bave médicinale"
"specials.name.medicinal_fumes","Vapeurs médicinales"
"specials.name.melody_harvest","Récolte mélodieuse"
"specials.name.melody_of_mana_control","Mélodie du contrôle du mana"
"specials.name.melody_of_misery","Mélodie de la misère"
"specials.name.memory_manipulation","Manipulation mémorielle"
"specials.name.memory_of_the_queen","Souvenir de l'impératrice"
"specials.name.mending_bronze_axe","Hache de bronze réparatrice"
"specials.name.mending_mantra","Mantra de réparation"
"specials.name.mending_stitches","Sutures curatives"
"specials.name.merciless_bite","Morsure impitoyable"
"specials.name.merciless_execution","Exécution impitoyable"
"specials.name.merciless_pulverizer","Pulvérisateur impitoyable"
"specials.name.merriest_misery","Misère merveilleuse"
"specials.name.mesmerizing_mirror","Miroir envoûtant"
"specials.name.miasma_mace","Masse à miasme"
"specials.name.midnight_magic","Magie de minuit"
"specials.name.midnight_moon","Lune de minuit"
"specials.name.midnight_smite","Frappe de minuit"
"specials.name.midnight_strike","Frappe de minuit"
"specials.name.midsummers_dream","Rêve d'une nuit d'été"
"specials.name.midsummers_reverie","Rêverie d'été"
"specials.name.might_of_ares","La puissance d'Ares"
"specials.name.might_of_excalibroom","Puissance d'Excalibalai"
"specials.name.might_of_the_ice_giants","Puissance des géants des glaces"
"specials.name.might_of_the_ice_giants_final","Puissance des géants des glaces"
"specials.name.mimic_bite","Morsure d'imposteur"
"specials.name.mimic_bite_burn","Morsure corrosive"
"specials.name.mimic_bite2","Morsure d'imposteur féroce"
"specials.name.mimic_bite3","Avidité d'imposteur"
"specials.name.mimic_bite4","Provocation d'imposteur"
"specials.name.mimic_special","Monstre rusé"
"specials.name.mimic_special2","Monstre rusé"
"specials.name.mimic_training_hero_blue_bite","Dévoration avide"
"specials.name.mimic_training_hero_green_bite","Dévoration avide"
"specials.name.mimic_training_hero_purple_bite","Dévoration avide"
"specials.name.mimic_training_hero_red_bite","Dévoration avide"
"specials.name.mimic_training_hero_yellow_bite","Dévoration avide"
"specials.name.mind_blast","Déflagration spirituelle"
"specials.name.mindless_attack","Attaque irréfléchie"
"specials.name.minion_scrutiny","Vigilance de sbire"
"specials.name.mischievous_flourish","Fioritures sournoises"
"specials.name.mischievous_flourish_pve_advanced","Fioritures sournoises"
"specials.name.mischievous_flourish_pve_normal","Fioritures sournoises"
"specials.name.mischievous_tiein","Lien espiègle"
"specials.name.missile_mania","Missiles en folie"
"specials.name.mist_of_the_fallen","Voile des déchus"
"specials.name.mistletoe_medley","Technique du gui"
"specials.name.misty_punches","Poing de la brume"
"specials.name.mixed_green_herbs","Mélange d'herbes vertes"
"specials.name.moldavite_wings","Ailes de moldavite"
"specials.name.molten_wax","Cire fondue"
"specials.name.monastic_restraint","Retenue de moine"
"specials.name.monstrous_bite","Morsure monstrueuse"
"specials.name.moody_jab_dragon_pve","Coup grincheux"
"specials.name.mooing_for_a_fight","Meuglement de combat"
"specials.name.moon_boomerang","Boomerang lunaire"
"specials.name.moon_crush_beam","Rayon de lune écrasant"
"specials.name.moonlight_crescendo","Crescendo lunaire"
"specials.name.moonlight_serenade","Sérénade du clair de lune"
"specials.name.moonlight_sonata","Sonate au clair de lune"
"specials.name.moonstone_glare_dragon_pve","Éclat de pierre lunaire"
"specials.name.moreau_phase1_special","Malice aveuglante"
"specials.name.moreau_phase2_special1","Malice aveuglante"
"specials.name.moreau_phase2_special2","Malice aveuglante"
"specials.name.morning_catch","Prise matinale"
"specials.name.mother_dragons_love","Amour de la mère dragon"
"specials.name.motherly_care","Soins maternels"
"specials.name.motherly_care_pve","Soins maternels"
"specials.name.motherly_love","Amour maternel"
"specials.name.muffin_poisoning","Muffin empoisonné"
"specials.name.multi_elemental_mark","Marque pluri-élémentaire"
"specials.name.multi_throw","Multi-lancer"
"specials.name.mummy_slash","Taillade de la momie"
"specials.name.mummy_strike","Frappe de momie"
"specials.name.musketeers_deal","Offre de mousquetaire"
"specials.name.musketeers_mead","Hydromel des mousquetaires"
"specials.name.mutated_specimen","Spécimen mutant"
"specials.name.mutating_mixture","Mixture mutilatrice"
"specials.name.mystery_potions","Potions mystérieuses"
"specials.name.mystic_chop","Frappe mystique"
"specials.name.mystical_concerto","Concerto mystique"
"specials.name.mystics_virtue","Vertu mystique"
"specials.name.mythic_lightning","Foudre mythique"
"specials.name.nasty_hammer","Vilain marteau"
"specials.name.natures_blessing","Fureur du berserker"
"specials.name.natures_connection","Connexion naturelle"
"specials.name.natures_fury","Fureur de la nature"
"specials.name.natures_payback","Vengeance de la nature"
"specials.name.nebula_orb","Orbe nébuleux"
"specials.name.nebula_orb_ultimate_boss","Orbe nébuleux"
"specials.name.necronomicon_page_13","Page 13 du Nécronomicon"
"specials.name.nephrite_blade","Lame de néphrite"
"specials.name.nethershield","Bouclier du néant"
"specials.name.never_ending_winter","Hiver éternel"
"specials.name.night_falls","Crépuscule"
"specials.name.night_of_crimes","Nuit des crimes"
"specials.name.nightbloom_dust","Poussière nocturne"
"specials.name.nightglade_pollen","Pollen de la clairière nocturne"
"specials.name.nights_whisper","Murmure de la nuit"
"specials.name.nimble_bite","Morsure agile"
"specials.name.nine_dragon_strike","Frappe des neuf dragons"
"specials.name.nobles_empathy","Empathie noble"
"specials.name.nobles_empathy_costume_artisan","Empathie de la calligraphe"
"specials.name.nomadic_hymn","Hymne nomade"
"specials.name.northern_wanderer","Soutien jovial"
"specials.name.noxious_blossom","Fleur toxique"
"specials.name.noxious_chord","Accord toxique"
"specials.name.noxious_cleave","Taillade toxique"
"specials.name.noxious_cleave_pve","Taillade toxique"
"specials.name.nuts_of_yggdrasil","Noix d'Yggdrasil"
"specials.name.oath_of_templar","Serment du templier"
"specials.name.obliterating_surge","Surcharge destructrice"
"specials.name.ocarina_windsong","Air d'ocarina"
"specials.name.occult_redemption","Rédemption occulte"
"specials.name.ocean_vortex","Vortex océanique"
"specials.name.oceanic_offensive","Offense océanique"
"specials.name.oceanic_slayer","Tuerie des marées"
"specials.name.oceanic_suffering","Souffrance océanique"
"specials.name.oceanic_torrent","Torrent océanique"
"specials.name.oceans_decay","Déclin de l'océan"
"specials.name.oceans_embrace","Étreinte de l'océan"
"specials.name.oceans_ruin","Ruine de l'océan"
"specials.name.odd_drum_roll","Roulement de tambour étrange"
"specials.name.oji_waza","Oji-Waza"
"specials.name.old_curse","Malédiction ancienne"
"specials.name.omega_flame","Frappe oméga"
"specials.name.omega_strike_dark","Frappe oméga"
"specials.name.omega_strike_fire","Frappe oméga"
"specials.name.omega_strike_holy","Frappe oméga"
"specials.name.omega_strike_ice","Frappe oméga"
"specials.name.omega_strike_nature","Frappe oméga"
"specials.name.omen_of_retribution","Augure vengeur"
"specials.name.omnicure","Omnicure"
"specials.name.omniheal","Soin absolu"
"specials.name.omnimend","Omnisoin"
"specials.name.one_hit_wonder","Succès unique"
"specials.name.one_jump_ahead","Saut en avant"
"specials.name.one_spell_ahead","Sort d'avance"
"specials.name.opposing_raid","Raid adverse"
"specials.name.orchestra_of_candles","Orchestre de bougies"
"specials.name.orchids_and_roses","Orchidées et roses"
"specials.name.order_ambush","Ordre d'embuscade"
"specials.name.order_ambush_pve","Ordre d'embuscade"
"specials.name.order_from_the_depths","Ordre des profondeurs"
"specials.name.order_to_overwhelm","Ordre de débordement"
"specials.name.orsoldoon","Örsöldöön"
"specials.name.overpowering_grip_dragon_pve","Emprise irrésistible"
"specials.name.overvlowing_whirlwind","Tourbillon débordant"
"specials.name.overwhelming_raid","Raid insurmontable"
"specials.name.owls_blessing","Bénédiction du hibou"
"specials.name.pacifying_presence_dragon_pve","Force pacificatrice"
"specials.name.pain_harvest","Récolte douloureuse"
"specials.name.paragon_of_constellations","Parangon des constellations"
"specials.name.paralyzing_spore","Spore paralysante"
"specials.name.parcel_of_the_dragon_familiar","Colis du familier draconique"
"specials.name.passion_conquers_all","Passion conquérante"
"specials.name.pathfinders_compass","Boussole d'explorateur"
"specials.name.paw_in_every_pie","Pattes à tartes"
"specials.name.pawns_of_divinity","Pions divins"
"specials.name.paws_or_claws","Pattes et griffes"
"specials.name.peach_of_immortality","Pêche d'immortalité"
"specials.name.pearls_of_rejuvenation","Perles rajeunissantes"
"specials.name.perfect_riposte","Riposte parfaite"
"specials.name.perfect_shot","Tir parfait"
"specials.name.perfect_teamwork","Tandem de rêve"
"specials.name.perfume_cloud","Nuage de parfum"
"specials.name.perilous_gift","Dangereux cadeau"
"specials.name.perilous_present_pve","Dangereux cadeau"
"specials.name.perilous_waters","Eaux dangereuses"
"specials.name.perplexing_riddle","Énigme déconcertante"
"specials.name.pest_control","Extermination des nuisibles"
"specials.name.pet_larva","Familier larve"
"specials.name.petals_of_nourishment","Pétales nourrissants"
"specials.name.petrifying_knuckles","Poing pétrifiant"
"specials.name.petrifying_performance","Performance pétrifiante"
"specials.name.picnic_in_the_sky","Pique-nique céleste"
"specials.name.pie_of_protection","Tarte protectrice"
"specials.name.piercing_falcon","Faucon perçant"
"specials.name.piercing_hit","Coup perforant"
"specials.name.piercing_practice_slash","Entaille d'entraînement perçante"
"specials.name.piercing_sabre","Sabre perçant"
"specials.name.piercing_scream_dragon_pve","Cri perçant"
"specials.name.piercing_shot","Tir transperçant"
"specials.name.piercing_strike","Coup perçant"
"specials.name.piercing_tusk","Défense perçante"
"specials.name.pincer_claw","Pince en tenaille"
"specials.name.pincer_claw_deadly","Pince en tenaille"
"specials.name.pineapple_alchemist","Alchimiste à l'ananas"
"specials.name.pineapple_barbeque","Barbecue à l'ananas"
"specials.name.pirate_shot","Coup pirate"
"specials.name.pirates_vengeance","Vengeance du pirate"
"specials.name.pixie_dust","Poussière de fée"
"specials.name.plague_bite","Morsure pestiférée"
"specials.name.plague_blade","Lame de peste"
"specials.name.planar_time_widget","Gadget à temps planaire"
"specials.name.planetary_charge","Charge planétaire"
"specials.name.plantipede_sting","Piqûre de plantipède"
"specials.name.plentiful_harvest","Récolte abondante"
"specials.name.plentiful_minerals","Abondance minérale"
"specials.name.plume_flash","Panache aveuglant"
"specials.name.poem_of_the_centaurs","Poème des centaures"
"specials.name.poem_of_the_morass","Poème du marais"
"specials.name.poetic_justice","Justice poétique"
"specials.name.poets_protection","Protection du poète"
"specials.name.pointy_darts","Fléchettes pointues"
"specials.name.poison_bite","Morsure empoisonnée"
"specials.name.poison_bite_dragon_pve","Morsure empoisonnée"
"specials.name.poison_bolt_zidane","Éclair de poison"
"specials.name.poison_claw","Griffe empoisonnée"
"specials.name.poison_jolt","Décharge de poison"
"specials.name.poison_strike","Frappe empoisonnée"
"specials.name.poison_tipped_arrow","Flèche empoisonnée"
"specials.name.poison_web","Toile empoisonnée"
"specials.name.poisoned_blade","Lame empoisonnée"
"specials.name.poisoning_blade","Lame toxique"
"specials.name.poisonous_mist","Brume toxique"
"specials.name.poisonous_saliva","Salive empoisonnée"
"specials.name.polar_bash","Frappe polaire"
"specials.name.polar_night_blizzard","Blizzard nocturne polaire"
"specials.name.poleaxe_of_the_law","Hache de guerre du droit"
"specials.name.polestar_expedition","Expédition vers l'étoile polaire"
"specials.name.pompous_flex","Frime prétentieuse"
"specials.name.portents_of_future","Signes du futur"
"specials.name.possessed_strike","Frappe possédée"
"specials.name.possessor_of_penance","Possession de pénitence"
"specials.name.postal_pulverizer","Pulvérisation postale"
"specials.name.potion_cocktail","Cocktail magique"
"specials.name.potions_of_covetous_desire","Potions de jalousie"
"specials.name.potions_of_covetous_desire_pve","Potions de jalousie"
"specials.name.potions_of_havoc_and_healing","Potions de chaos et de soin"
"specials.name.pounce_of_the_lioness","Attaque de la lionne"
"specials.name.pounding_attack","Attaque violente"
"specials.name.power_of_ajna","Puissance d'Ajna"
"specials.name.power_of_flora","Pouvoir de la flore"
"specials.name.power_of_mjolnir","Puissance de Mjölnir"
"specials.name.power_of_the_forest","Puissance de la forêt"
"specials.name.power_of_the_void","Puissance du vide"
"specials.name.power_punch","Coup puissant"
"specials.name.power_slam","Coup puissant"
"specials.name.power_wave","Vague de puissance"
"specials.name.prayer_of_the_desert","Prière du désert"
"specials.name.precious_pets","Compagnons chéris"
"specials.name.precious_pets_pve_advanced","Compagnons chéris"
"specials.name.precious_pets_pve_normal","Compagnons chéris"
"specials.name.precise_chop","Coup précis"
"specials.name.precise_riposte","Riposte précis"
"specials.name.preserve_and_freeze","Conservation par le froid"
"specials.name.prestidigitation","Prestidigitation"
"specials.name.prestidigitation_cross","Croix"
"specials.name.prestidigitation_skull","Crâne"
"specials.name.prestidigitation_stars","Étoiles"
"specials.name.primeval_glaive","Glaive primordial"
"specials.name.princess_unleashed","Princesse déchaînée"
"specials.name.prosperity_for_domain","Prospérité du domaine"
"specials.name.protective_aura","Aura protectrice"
"specials.name.protective_stance","Posture protectrice"
"specials.name.protector_of_the_blue_river","Protection de la rivière bleue"
"specials.name.protein_corruption","Corruption protéinée"
"specials.name.protein_eater","Régime protéiné"
"specials.name.pulsar_blast","Explosion de pulsar"
"specials.name.pulsarstrike","Frappe de pulsar"
"specials.name.pulverizing_ham","Jambon pulvérisé"
"specials.name.pummeling","Passage à tabac"
"specials.name.punishing_shot","Tir punitif"
"specials.name.punishing_shot_pve","Tir punitif"
"specials.name.punishing_strike","Frappe punitive"
"specials.name.puppy_tales","Contes canins"
"specials.name.pure_shot","Tir franc"
"specials.name.purification","Purification"
"specials.name.purifying_flame","Flamme purifiante"
"specials.name.purifying_flame_pve","Flamme purifiante"
"specials.name.purifying_hit","Coup purifiant"
"specials.name.purifying_ki","Ki purificateur"
"specials.name.purifying_light","Lueur purificatrice"
"specials.name.purifying_strike","Frappe purifiante"
"specials.name.purple_beetloid_bite","Morsure de scaraboïde violet"
"specials.name.pursuing_shot","Tir traqueur"
"specials.name.putrid_perfume","Parfum putride"
"specials.name.puzzling_paint","Peinture étrange"
"specials.name.puzzling_riddle","Énigme curieuse"
"specials.name.qilin_blade","Lame du qilin"
"specials.name.queen_of_cards","Reine des cartes"
"specials.name.queen_of_the_depths","Impératrice des profondeurs"
"specials.name.queen_of_the_depths_final","Impératrice des profondeurs"
"specials.name.queens_blood_poisoning","Crépuscule du chagrin"
"specials.name.queens_curse","Tempête de sable"
"specials.name.queens_curse_pve","Tempête de sable"
"specials.name.quick_and_nimble","Agilité"
"specials.name.rabbits_watch","Montre à gousset"
"specials.name.raccoon_bite","Morsure du raton laveur"
"specials.name.radiant_comeback","Retour radieux"
"specials.name.radiant_rapid_fire","Mitraillage radieux"
"specials.name.radiant_shackles","Chaînes radieuses"
"specials.name.radiant_sweep_dragon_pve","Balayage radieux"
"specials.name.radiating_frost","Ondes givrées"
"specials.name.rage_of_grimnir","Rage de Grimnir"
"specials.name.raging_tempest","Tempête furieuse"
"specials.name.rain_of_arrows","Pluie de flèches"
"specials.name.rain_of_fire","Pluie de feu"
"specials.name.rain_of_fire_ultimate_boss","Pluie de feu"
"specials.name.raising_morale","Moral relevé"
"specials.name.rally_of_the_deep","Appel des profondeurs"
"specials.name.ramming_pulverizer","Écrabouillage"
"specials.name.ramming_rush","Charge furieuse"
"specials.name.rapid_shots","Tirs rapides"
"specials.name.rattle_of_confusion","Fracas confus"
"specials.name.ravaging_talons","Serres dévastatrices"
"specials.name.ravening_blade","Lame vorace"
"specials.name.ravenous_pounce","Assaut vorace"
"specials.name.ravens_vigil","Vigile des corbeaux"
"specials.name.ravens_watch","Vigilance des corbeaux"
"specials.name.ray_strike","Rayon frappeur"
"specials.name.razor_smile","Sourire acéré"
"specials.name.reanimated_spite","Malveillance réanimée"
"specials.name.reanimated_spite_pve","Malveillance réanimée"
"specials.name.reckless_charge","Charge téméraire"
"specials.name.reckless_finisher","Coup de grâce impitoyable"
"specials.name.reckless_slash","Taille impitoyable"
"specials.name.reckless_stab","Frappe impitoyable"
"specials.name.reckless_swing","Coup du lapin"
"specials.name.reckless_sword_swings","Épée téméraire"
"specials.name.red_lizard_charge","Charge de lézard camouflé rouge"
"specials.name.red_shoes","Chaussures rouges"
"specials.name.red_sparks_dragon_pve","Étincelles rouges"
"specials.name.reef_blast","Explosion des récifs"
"specials.name.reflecting_stance","Pose réfléchissante"
"specials.name.regal_claws","Griffes royales"
"specials.name.regal_spearhead","Fer de lance royal"
"specials.name.regeneration","Régénération"
"specials.name.rejuvenating_elixir","Élixir rajeunissant"
"specials.name.rejuvenating_leap","Saut rajeunissant"
"specials.name.relaxing_riddle","Énigme relaxante"
"specials.name.relentless_brawler","Persévérance violente"
"specials.name.remedies_and_diseases","Remèdes et maladies"
"specials.name.rending_dagger","Dague tranchante"
"specials.name.reporting_for_duty","Appel du devoir"
"specials.name.resolute_spirit","Esprit déterminé"
"specials.name.resolute_spirit2","Esprit déterminé"
"specials.name.restoration_and_annihilation","Restauration et annihilation"
"specials.name.resurrection_of_the_fallen","Résurrection des déchus"
"specials.name.resurrection_of_the_fallen_kemeny","Résurrection des déchus"
"specials.name.revengeful_smite","Châtiment vengeur"
"specials.name.reverse_recovery","Récupération inversée"
"specials.name.reversed_lifeforce","Force de vie inversée"
"specials.name.revitalizing_melody","Mélodie revigorante"
"specials.name.revitalizing_orb","Orbe revitalisant"
"specials.name.revitalizing_sludge","Boue revitalisante"
"specials.name.reviving_touch","Don de résurrection"
"specials.name.rhythm_of_havoc","Rythme du chaos"
"specials.name.riches_to_poor","Enrichissement"
"specials.name.ricochet_bolt","Trait ricochet"
"specials.name.riddle_of_the_moon","Énigme de la lune"
