"herocard.passive_skill.description.addmana.all.allies","Tutti gli alleati guadagnano una piccola quantità di mana."
"herocard.passive_skill.description.statuseffectonspecialcast.major.single.allies.stone","Ogni volta che questo Gargoyle lancia un'Abilità speciale, la sua Pelle di pietra si indurisce. I prossimi {MAXHITS} danni che subisce vengono ridotti a 1. Questo effetto non può essere annullato."
"herocard.passive_skill.description.statuseffectonspecialcast.minor.random.enemies.damageonhitreceived","Quando questo personaggio lancia la sua Abilità speciale, marchia un nemico casuale con un Segnalatore da caccia per {TURNS} turni.
 Un bersaglio marchiato con un Segnalatore da caccia riceve {FIXEDPOWER} danni aggiuntivi quando subisce un colpo critico."
"herocard.passive_skill.description.statuseffectonspecialcast.minor.single.allies.attackmodifierfrompassiveskill","Quando questo personaggio lancia la sua Abilità speciale, ottiene il {ATTACK}% di Attacco per {TURNS} turni. Questo effetto può essere attivo in aggiunta ad altri effetti che modificano l'Attacco."
"herocard.passive_skill.description.statuseffectselection.usable_once.select_element_status_effect","Una volta per battaglia, l'elemento di questo Eroe può essere cambiato in un elemento a tua scelta per {TURNS} turni. L'elemento può essere cambiato toccando questo Eroe quando il suo mana non è al massimo."
"herocard.passive_skill.description.summonfamiliarperturn.evolving_seedling_parasite.enemies","Evoca un demone Piantina a ogni turno contro un nemico casuale.
 Il demone Piantina si evolve in un demone Alberello dopo {EVOLVINGFAMILIAR1EVOLVETURNS} turni.
 Il demone Alberello si evolve in un demone Mega Fiore dopo {EVOLVINGFAMILIAR2EVOLVETURNS} turni.

Demone Piantina:
{EVOLVINGFAMILIAR1ATTACK}% di Attacco, {EVOLVINGFAMILIAR1HEALTH}% di Salute.

Demone Alberello:
{EVOLVINGFAMILIAR2ATTACK}% di Attacco, {EVOLVINGFAMILIAR2HEALTH}% di Salute.

Demone Mega Fiore:
{EVOLVINGFAMILIAR3ATTACK}% di Attacco, {EVOLVINGFAMILIAR3HEALTH}% di Salute."
"herocard.passive_skill.description.summonfamiliarperturn.evolving_seedling_parasite.enemies.sharedonceperturn","Evoca un demone Piantina a ogni turno contro un nemico casuale. Questa abilità passiva si attiva solo una volta per turno per ogni squadra.
 Il demone Piantina si evolve in un demone Alberello dopo {EVOLVINGFAMILIAR1EVOLVETURNS} turni.
 Il demone Alberello si evolve in un demone Mega Fiore dopo {EVOLVINGFAMILIAR2EVOLVETURNS} turni.

Demone Piantina:
{EVOLVINGFAMILIAR1ATTACK}% di Attacco, {EVOLVINGFAMILIAR1HEALTH}% di Salute.

Demone Alberello:
{EVOLVINGFAMILIAR2ATTACK}% di Attacco, {EVOLVINGFAMILIAR2HEALTH}% di Salute.

Demone Mega Fiore:
{EVOLVINGFAMILIAR3ATTACK}% di Attacco, {EVOLVINGFAMILIAR3HEALTH}% di Salute."
"herocard.passive_skill.description.summonfamiliarperturn.evolving_seedling_parasite_with_delay.enemies.sharedonceperturn","Evoca un demone Piantina a ogni turno contro un nemico casuale. Questa abilità passiva si attiva solo una volta per turno per ogni squadra.
 Il demone Piantina si evolve in un demone Alberello dopo {EVOLVINGFAMILIAR1EVOLVETURNS} turni.
 Il demone Alberello si evolve in un demone Mega Fiore dopo {EVOLVINGFAMILIAR2EVOLVETURNS} turni.
 L'evoluzione dei demoni viene ritardata di {EVOLVINGFAMILIAR1TURNSDELAY} turno ogni volta che assorbono cure.

Demone Piantina:
{EVOLVINGFAMILIAR1ATTACK}% di Attacco, {EVOLVINGFAMILIAR1HEALTH}% di Salute.

Demone Alberello:
{EVOLVINGFAMILIAR2ATTACK}% di Attacco, {EVOLVINGFAMILIAR2HEALTH}% di Salute.

Demone Mega Fiore:
{EVOLVINGFAMILIAR3ATTACK}% di Attacco, {EVOLVINGFAMILIAR3HEALTH}% di Salute."
"herocard.passive_skill.description.summononownerdeath.slime_big_minion_blue.neartotargetexceptcaster.allies","Quando questo personaggio muore, evoca servitori Mega slime per gli alleati vicini con il {FAMILIARHEALTHPERCENT}% di HP e il {FAMILIARATTACK}% di attacco ereditati da questo personaggio."
"herocard.passive_skill.description.summononownerdeath.slime_big_minion_green.neartotargetexceptcaster.allies","Quando questo personaggio muore, evoca servitori Mega slime per gli alleati vicini con il {FAMILIARHEALTHPERCENT}% di HP e il {FAMILIARATTACK}% di attacco ereditati da questo personaggio."
"herocard.passive_skill.description.summononownerdeath.slime_big_minion_purple.neartotargetexceptcaster.allies","Quando questo personaggio muore, evoca servitori Mega slime per gli alleati vicini con il {FAMILIARHEALTHPERCENT}% di HP e il {FAMILIARATTACK}% di attacco ereditati da questo personaggio."
"herocard.passive_skill.description.summononownerdeath.slime_big_minion_red.neartotargetexceptcaster.allies","Quando questo personaggio muore, evoca servitori Mega slime per gli alleati vicini con il {FAMILIARHEALTHPERCENT}% di HP e il {FAMILIARATTACK}% di attacco ereditati da questo personaggio."
"herocard.passive_skill.description.summononownerdeath.slime_big_minion_yellow.neartotargetexceptcaster.allies","Quando questo personaggio muore, evoca servitori Mega slime per gli alleati vicini con il {FAMILIARHEALTHPERCENT}% di HP e il {FAMILIARATTACK}% di attacco ereditati da questo personaggio."
"herocard.passive_skill.description.summononreceiveddamagewiththreshold.slime_big_minion_blue","Se questo personaggio perde più di un {DAMAGETHRESHOLD}% della salute massima in una volta, evoca un servitore Mega slime per sé con il {FAMILIARHEALTHPERCENT}% di HP e il {FAMILIARATTACK}% di attacco."
"herocard.passive_skill.description.summononreceiveddamagewiththreshold.slime_big_minion_green","Se questo personaggio perde più di un {DAMAGETHRESHOLD}% della salute massima in una volta, evoca un servitore Mega slime per sé con il {FAMILIARHEALTHPERCENT}% di HP e il {FAMILIARATTACK}% di attacco."
"herocard.passive_skill.description.summononreceiveddamagewiththreshold.slime_big_minion_purple","Se questo personaggio perde più di un {DAMAGETHRESHOLD}% della salute massima in una volta, evoca un servitore Mega slime per sé con il {FAMILIARHEALTHPERCENT}% di HP e il {FAMILIARATTACK}% di attacco."
"herocard.passive_skill.description.summononreceiveddamagewiththreshold.slime_big_minion_red","Se questo personaggio perde più di un {DAMAGETHRESHOLD}% della salute massima in una volta, evoca un servitore Mega slime per sé con il {FAMILIARHEALTHPERCENT}% di HP e il {FAMILIARATTACK}% di attacco."
"herocard.passive_skill.description.summononreceiveddamagewiththreshold.slime_big_minion_yellow","Se questo personaggio perde più di un {DAMAGETHRESHOLD}% della salute massima, evoca un servitore Mega slime per sé con il {FAMILIARHEALTHPERCENT}% di HP e il {FAMILIARATTACK}% di attacco."
"herocard.passive_skill.description.summononstatuseffectaddition.burn.forest_guardian.statuseffectdebuffs","Ogni volta che questo personaggio riceve un disturbo ustione, chiama un servitore guardiano della foresta per sé. Il servitore guardiano della foresta eredita il {FAMILIARHEALTHPERCENT}% di HP e il {FAMILIARATTACK}% di Attacco da questo personaggio."
"herocard.passive_skill.description.summononstatuseffectaddition.damageovertime.card_soldier_no_taunt.statuseffectdebuffs","Ogni volta che questo personaggio subisce un disturbo Danni nel tempo, evoca per sé un servitore Carta soldato. Il servitore Carta soldato eredita il {FAMILIARHEALTHPERCENT}% di HP e il {FAMILIARATTACK}% di Attacco da questo personaggio."
"herocard.passive_skill.description.summononstatuseffectaddition.defensemodifier.bull.none","Ogni volta che questo personaggio riceve un disturbo che interessa la sua Difesa, chiama un servitore toro per sé. Il servitore toro eredita il {FAMILIARHEALTHPERCENT}% di HP e il {FAMILIARATTACK}% di Attacco da questo personaggio."
"herocard.passive_skill.description.summononsummon.activates_on_enemy_action.allies.owl.minion","Chiama un servitore passero per sé quando un nemico chiama servitori tramite un'Abilità speciale."
"herocard.passive_skill.description.summononsummon.activates_on_enemy_action.enemies.cursed_sapling_parasite.minion","Quando un nemico chiama un qualsiasi servitore con un'Abilità speciale, questo personaggio evoca un demone alberello maledetto per quel nemico."
"herocard.passive_skill.description.summononsummon.activates_on_enemy_action.enemies.seedling_parasite.minion","Quando un nemico chiama un qualsiasi servitore con un'Abilità speciale, questo personaggio evoca un demone Piantina per quel nemico."
"herocard.passive_skill.description.taunt","L'Abilità speciale di questo personaggio non è influenzata da Deridi."
"herocard.passive_skill.description.tileenhancementonspecial.accuracymodifier.blue","Gli scudi di tipo Ghiaccio sul campo di battaglia vengono indeboliti con il {MODIFIER}% di precisione quando questo personaggio lancia la sua Abilità speciale."
"herocard.passive_skill.description.tileenhancementonspecial.accuracymodifier.green","Gli scudi di tipo Natura sul campo di battaglia vengono indeboliti con il {MODIFIER}% di precisione quando questo personaggio lancia la sua Abilità speciale."
"herocard.passive_skill.description.tileenhancementonspecial.accuracymodifier.purple","Gli scudi di tipo Oscurità sul campo di battaglia vengono indeboliti con il {MODIFIER}% di precisione quando questo personaggio lancia la sua Abilità speciale."
"herocard.passive_skill.description.tileenhancementonspecial.accuracymodifier.red","Gli scudi di tipo Fuoco sul campo di battaglia vengono indeboliti con il {MODIFIER}% di precisione quando questo personaggio lancia la sua Abilità speciale."
"herocard.passive_skill.description.tileenhancementonspecial.accuracymodifier.yellow","Gli scudi di tipo Sacro sul campo di battaglia vengono indeboliti con il {MODIFIER}% di precisione quando questo personaggio lancia la sua Abilità speciale."
"herocard.passive_skill.description.tileenhancementonspecial.criticalchancemultiplier.blue","Gli scudi di tipo Ghiaccio sul campo di battaglia vengono potenziati con il {MODIFIER}% di possibilità critica quando questo personaggio lancia la sua Abilità speciale."
"herocard.passive_skill.description.tileenhancementonspecial.criticalchancemultiplier.green","Gli scudi di tipo Natura sul campo di battaglia vengono potenziati con il {MODIFIER}% di possibilità critica quando questo personaggio lancia la sua Abilità speciale."
"herocard.passive_skill.description.tileenhancementonspecial.criticalchancemultiplier.purple","Gli scudi di tipo Oscurità sul campo di battaglia vengono potenziati con il {MODIFIER}% di possibilità critica quando questo personaggio lancia la sua Abilità speciale."
"herocard.passive_skill.description.tileenhancementonspecial.criticalchancemultiplier.red","Gli scudi di tipo Fuoco sul campo di battaglia vengono potenziati con il {MODIFIER}% di possibilità critica quando questo personaggio lancia la sua Abilità speciale."
"herocard.passive_skill.description.tileenhancementonspecial.criticalchancemultiplier.yellow","Gli scudi di tipo Sacro sul campo di battaglia vengono potenziati con il {MODIFIER}% di possibilità critica quando questo personaggio lancia la sua Abilità speciale."
"herocard.passive_skill.description.transformstatuseffectonspecialcast.minorbuff.enemies.all.transform_attackmodifier_into_attackmodifier.transform_defensemodifier_into_defensemodifier.transform_managenerationmodifier_into_managenerationmodifier","Ogni volta che questo personaggio usa la sua Abilità speciale, tutte le magie benefiche annullabili che influenzano l'Attacco, la Difesa e la rigenerazione mana di tutti i nemici vengono trasformate in disturbi corrispondenti non annullabili.

Effetti trasformati: 
 Le magie benefiche dell'Attacco vengono trasformate nel {STATUSEFFECT1ATTACK}% di disturbi dell'Attacco per {STATUSEFFECT1TURNS} turni.
 Le magie benefiche della Difesa vengono trasformate nel {STATUSEFFECT2DEFENSE}% di disturbi della Difesa per {STATUSEFFECT2TURNS} turni.
 Le magie benefiche della rigenerazione mana vengono trasformate nel {STATUSEFFECT3MANAREGEN}% di disturbi della rigenerazione mana per {STATUSEFFECT3TURNS} turni."
"herocard.passive_skill.description.transformstatuseffectonspecialcast.minordebuff.allies.all.transform_attackmodifier_into_attackmodifier.transform_defensemodifier_into_defensemodifier.transform_managenerationmodifier_into_managenerationmodifier","Ogni volta che questo personaggio usa la sua Abilità speciale, tutti i disturbi annullabili che influenzano l'Attacco, la Difesa e la rigenerazione mana di tutti gli alleati vengono trasformati in magie benefiche corrispondenti non annullabili.

Effetti trasformati: 
 I disturbi dell'Attacco vengono trasformati nel {STATUSEFFECT1ATTACK}% di magie benefiche dell'Attacco per {STATUSEFFECT1TURNS} turni.
 I disturbi della Difesa vengono trasformati nel {STATUSEFFECT2DEFENSE}% di magie benefiche della Difesa per {STATUSEFFECT2TURNS} turni.
 I disturbi della rigenerazione mana vengono trasformati nel {STATUSEFFECT3MANAREGEN}% di magie benefiche della rigenerazione mana per {STATUSEFFECT3TURNS} turni."
"herocard.passive_skill.description.wither.all.enemies","L'Attacco di base e la Difesa di base di tutti i nemici vengono ridotti di {STATINCREASE} a ogni turno per {MAXACTIVATIONCOUNT} turni."
"herocard.passive_skill.inactive","INATTIVA: raggiungi il livello massimo e l'ascensione completa per attivarla."
"herocard.passive_skill.replace.minordebuff.attackmodifier.to.minorbuff.attackmodifier","Disturbi dell'attacco trasformati nel {ATTACK}% di Attacco per {TURNS} turni."
"herocard.passive_skill.replace.minordebuff.buffimmunity.to.minorbuff.debuffshield","Immunità dai bonus trasformata in immunità dai disturbi per {TURNS} turni."
"herocard.passive_skill.replace.minordebuff.defensemodifier.to.minorbuff.defensemodifier","Disturbi della difesa trasformati nel {DEFENSE}% di Difesa per {TURNS} turni."
"herocard.passive_skill.replace.minordebuff.healingmodifier.to.minorbuff.healmultiplier","Riduzioni di guarigione trasformate in un aumento del {HEALING}% della guarigione per {TURNS} turni."
"herocard.passive_skill.replace.minordebuff.managenerationmodifier.to.minorbuff.managenerationmodifier","Disturbi alla rigenerazione mana trasformati nel {MANAREGEN}% di rigenerazione mana per {TURNS} turni."
"herocard.passive_skill.replace.minordebuff.receiveddamagemodifier.to.minorbuff.receiveddamagemodifier","Disturbi all'aumento dei danni trasformato nel {DAMAGEREDUCTION}% di riduzione dei danni per {TURNS} turni."
"herocard.passive_skill.replace.minordebuff.statuseffectreflect.to.minorbuff.reflectminordebuffs","Magie benefiche che riflettono disturbi trasformate in disturbi che riflettono magie benefiche per {TURNS} turni."
"herocard.passive_skill.replace_direct_effect.attackwither","Avvizzimento dell'Attacco trasformato in Crescita dell'Attacco: {FIXEDPOWER} di Attacco."
"herocard.passive_skill.replace_direct_effect.defensewither","Avvizzimento della Difesa trasformato in Crescita della Difesa: {FIXEDPOWER} di difesa."
"herocard.passive_skill.replace_direct_effect.dispel","Annullamenti delle magie benefiche trasformati in rimozioni dei disturbi."
"herocard.passive_skill.replace_direct_effect.fiend.stylish_minion","Demoni trasformati in servitori eleganti ({FAMILIARHEALTHPERCENT}% di HP, {FAMILIARATTACK}% di Attacco)."
"herocard.passive_skill.replace_direct_effect.manareduction","Riduzioni del mana trasformate nel {POWER}% di aumento del mana."
"herocard.passive_skill.sidedependent.sideinfo.heroside","Abilità passiva come personaggio attaccante:"
"herocard.passive_skill.sidedependent.sideinfo.opponentside","Abilità passiva come personaggio difensore:"
"herocard.passive_skill.title.addstatuseffectsonenemyattackbuff","Effetto di stato per magia benefica offensiva nemica"
"herocard.passive_skill.title.addstatuseffectsonenemydefensebuff","Effetto di stato per magia benefica difensiva nemica"
"herocard.passive_skill.title.addstatuseffectsonmanareduction","Effetto di stato per riduzione del mana"
"herocard.passive_skill.title.bleed.effectondamageovertime.activates_on_enemy_action.addmana","Mana da sanguinamento"
"herocard.passive_skill.title.bleed.effectondamageovertime.activates_on_enemy_action.heal","Guarigione su sanguinamento"
"herocard.passive_skill.title.burn.effectondamageovertime.activates_on_enemy_action.addmana","Mana da ustione"
"herocard.passive_skill.title.bypassfamiliars.minion","Supera i servitori"
"herocard.passive_skill.title.bypassfamiliars.minion.bigminion","Supera i servitori superiore"
"herocard.passive_skill.title.caststatuseffectdurationmodifier","Durata degli effetti di stato aumentata"
"herocard.passive_skill.title.chargebasedmodifier.managenerationmodifier.dodgemodifier","Spinta volante"
"herocard.passive_skill.title.conditionaleffectovertime.addmana.everyturn.while.all.allies.haswither","Mana durante Avvizzimento"
"herocard.passive_skill.title.conditionaleffectovertime.revival.while.single.allies.hasdeadallies","Rianima nel tempo"
"herocard.passive_skill.title.conditionaleffectovertime.usable_once.heal.addmana.everyturn.while.single.allies.lowhealth","Potere di Sisu"
"herocard.passive_skill.title.convertincomingdamagetoheal.all.statuseffect","Bellezza interiore"
"herocard.passive_skill.title.convertincomingdamagetoheal.statuseffect","Bellezza interiore"
"herocard.passive_skill.title.corrosiveburncoreintrinsicchargeeffectonspecial.activates_on_ally_action.statuseffects.corrosiveburn","Nucleo fuso"
"herocard.passive_skill.title.corrosiveburncoreintrinsicchargeeffectonspecial.statuseffects.corrosiveburn","Nucleo fuso"
"herocard.passive_skill.title.corrosivecoreintrinsicchargeeffectonspecial.statuseffects.corrosivepoison","Nucleo corrosivo"
"herocard.passive_skill.title.corrosivefrostcoreintrinsicchargeeffectonspecial.statuseffects.corrosivefrost","Nucleo artico"
"herocard.passive_skill.title.criticalmodifier","Modificatore di critico"
"herocard.passive_skill.title.criticalmodifiersupportcharacter.troop","Modificatore di critico"
"herocard.passive_skill.title.critmodifier","Modificatore di probabilità di critico"
"herocard.passive_skill.title.damageincreasebyinsanity.troop.specialskill.npcnormalattack","Marchiato dagli Antichi"
"herocard.passive_skill.title.dealtdamagemodifieragainststatuseffect.bloodlily.stacks","Marchio sanguigno"
"herocard.passive_skill.title.dealtstrongelementtroopdamage","Maestria delle truppe"
"herocard.passive_skill.title.debuffdamagereduction","Riduzione dei danni dovuti ai disturbi"
"herocard.passive_skill.title.debuffdamagereductionsupportcharacter.troop","Riduzione dei danni dovuti ai disturbi"
"herocard.passive_skill.title.destructivecoreintrinsicchargeeffectonspecial.damage","Nucleo distruttivo"
"herocard.passive_skill.title.dispelonownfamiliardeath.minion.minordebuff","Si annulla alla morte del servitore"
"herocard.passive_skill.title.dodgespecialdamage","Schiva danni da Abilità speciale"
"herocard.passive_skill.title.doubleeffectonchargedspecial.statuseffects.stackingmanagenerationmodifier.stacks","Iterazione con le Abilità speciali"
"herocard.passive_skill.title.eatfamiliarsonspecialcast.parasite.allies.single","Distrugge i demoni con le Abilità speciali"
"herocard.passive_skill.title.eatfamiliarswitheffectpereatenfamiliarovertime.addmana","Mangia servitori e guadagna mana nel tempo"
"herocard.passive_skill.title.effectondamagedone.bufftoremove.minordebuff.latest.safe.specialskill.only_criticals.once","Si annulla con attacco speciale critico"
"herocard.passive_skill.title.effectondamagedone.healthboost.specialskill.only_criticals.once","Salute potenziata su attacco speciale critico"
"herocard.passive_skill.title.effectondamagedonetohealthiertarget.healthboost.specialskill.once.effectondamagereceivedfromhealthierattacker.addmana.specialskill","Ribellione legittima"
"herocard.passive_skill.title.effectondamagereceived.addmana.specialskill","Mana su danni da Abilità speciali"
"herocard.passive_skill.title.effectondamagereceived.addmana.troop.npcnormalattack.specialskill","Mana per danni subiti"
"herocard.passive_skill.title.effectondamagereceived.damage.specialskill.statuseffectskill.cover","Danni su Abilità speciale e danni in Copertura"
"herocard.passive_skill.title.effectondamagereceived.none.specialskill.exclude.statuseffect.stacking_attack_on_damage_received_passive","Iterazioni attacco su danni ricevuti"
"herocard.passive_skill.title.effectondamagereceived.none.specialskill.exclude.statuseffect.stacking_attack_on_damage_received_passive_pve","Iterazioni attacco su danni ricevuti"
"herocard.passive_skill.title.effectondispel.activates_on_ally_action.healthboost.minordebuff.removalreason.dispel.activates_on_dispel_cast.valid_caster_side.allies","Salute potenziata su tentativo di annullamento di un alleato"
"herocard.passive_skill.title.effectondispel.activates_on_enemy_action.damage.minordebuff.removalreason.dispel.activates_on_dispel_cast.valid_caster_side.enemies","Danni su tentativo di annullamento di un nemico"
"herocard.passive_skill.title.effectondispel.addmana.minorbuff","Mana su annullamento"
"herocard.passive_skill.title.effectondispel.addmana.minorbuff.removalreason.dispel","Mana su annullamento magie benefiche"
"herocard.passive_skill.title.effectondispel.heal.statuseffectdebuffs.removalreason.dispel.removal.reallocation.expiration","Guarigione quando il disturbo scade o viene rimosso"
"herocard.passive_skill.title.effectondispel.healthboost.minorbuff.removalreason.dispel","Aumento Salute su magia benefica annullata"
"herocard.passive_skill.title.effectonfamiliardamagedone.minion.frost","Gelo su servitore colpito"
"herocard.passive_skill.title.effectonheal.addmana","Mana su recupero Salute"
"herocard.passive_skill.title.effectonheal.heal","Salute extra sul recupero di salute"
"herocard.passive_skill.title.effectonhealsupportcharacter.troop.heal","GUARIGIONE extra"
"herocard.passive_skill.title.effectonmanareduction.statuseffects.attackmodifier","Effetto di stato per riduzione del mana"
"herocard.passive_skill.title.effectonmanareduction.statuseffects.yellowdefensemodifier","Effetto di stato per riduzione del mana"
"herocard.passive_skill.title.effectonresist.activates_on_enemy_action.healthboost.addmana.once","Aumento salute e mana su resistenza"
"herocard.passive_skill.title.effectonspecialcastwitheffecttype.activates_on_enemy_action.addmana.on_healthboost_cast","Mana per Abilità speciale aumenta salute"
"herocard.passive_skill.title.effectonspecialcastwitheffecttype.activates_on_enemy_action.healthboost.on_healthboost_cast","Salute potenziata su Salute potenziata nemica"
"herocard.passive_skill.title.effectonspecialchancepermanaspeed","Effetti su Abilità speciale"
"herocard.passive_skill.title.effectonspecialskilldamagedone.bufftoremove.minordebuff.safe.only_criticals","Si annulla con attacco speciale critico"
"herocard.passive_skill.title.effectonspecialskilldamagedone.healthboost.only_criticals","Salute potenziata su attacco speciale critico"
"herocard.passive_skill.title.effectonspecialskilldamagereceived.healthboost.only_criticals","Salute potenziata su attacco speciale critico"
"herocard.passive_skill.title.effectonspecialwithchance.activates_on_enemy_action.healthboost","Aumento Salute su Abilità speciale nemica"
"herocard.passive_skill.title.effectonspecialwithchance.addmana","Mana su Abilità speciali"
"herocard.passive_skill.title.effectonspecialwithchance.bufftoremove.minorbuff.latest","Annullamento su Abilità speciale"
"herocard.passive_skill.title.effectonspecialwithchance.bufftoremove.minordebuff.latest","Rimozione su Abilità speciale"
"herocard.passive_skill.title.effectonspecialwithchance.damage","Danni su Abilità speciali"
"herocard.passive_skill.title.effectonspecialwithchance.heal","Recupero Salute su Abilità speciali"
"herocard.passive_skill.title.effectonspecialwithchance.healthboost","Aumento Salute su Abilità speciali"
"herocard.passive_skill.title.effectonspecialwithchance.statuseffects","Effetto di stato su Abilità speciali"
"herocard.passive_skill.title.effectonspecialwithchance.statuseffects.bleeding","Sanguinamento su Abilità speciali"
"herocard.passive_skill.title.effectonspecialwithchance.statuseffects.curseofdoom","Maledizione su Abilità speciali"
"herocard.passive_skill.title.effectonspecialwithchance.statuseffects.damageovertime","Danni nel tempo su Abilità speciali"
"herocard.passive_skill.title.effectonspecialwithchance.statuseffects.extradamageagainstboostedhealth","Aumento danni contro Salute potenziata"
"herocard.passive_skill.title.effectonspecialwithchance.statuseffects.huntersmark","Danni nel tempo su Abilità speciali"
"herocard.passive_skill.title.effectonspecialwithchance.statuseffects.managenerationmodifier","Effetto di stato su Abilità speciali"
"herocard.passive_skill.title.effectonspecialwithchance.statuseffects.poison","Veleno su Abilità speciali"
"herocard.passive_skill.title.effectonspecialwithchance.statuseffects.possession","Attacco irrazionale su Abilità speciali"
"herocard.passive_skill.title.effectonspecialwithchance.statuseffects.underwater","Danni nel tempo su Abilità speciali"
"herocard.passive_skill.title.effectonspecialwithmanaspeedthreshold.activates_on_enemy_action.damage.faster.average.once","Danni su Abilità speciali nemiche"
"herocard.passive_skill.title.effectonstatuseffectaddition.activates_on_enemy_action.addmana.allbuffs.taunt","Mana su Deridi"
"herocard.passive_skill.title.effectonstatuseffectaddition.activates_on_enemy_action.addmana.statuseffectbuffs.defensemodifier.once","Mana su magia benefica difensiva nemica"
"herocard.passive_skill.title.effectonstatuseffectaddition.activates_on_enemy_action.statuseffects.ubertitanstackingattackmodifier.allbuffs.defensemodifier","Effetto di stato per magia benefica difensiva nemica"
"herocard.passive_skill.title.effectonstatuseffectaddition.activates_on_enemy_action.statuseffects.ubertitanstackingreceiveddamagemodifier.allbuffs.attackmodifier","Effetto di stato per magia benefica offensiva nemica"
"herocard.passive_skill.title.effectonstatuseffectaddition.addmana.allbuffs","Mana per magia benefica ricevuta"
"herocard.passive_skill.title.effectonstatuseffectaddition.addmana.alldebuffs","Mana per disturbo subito"
"herocard.passive_skill.title.effectonstatuseffectaddition.heal.allbuffs","Recupero Salute per magia benefica ricevuta"
"herocard.passive_skill.title.effectonstatuseffectaddition.heal.alldebuffs","Recupero Salute per disturbo subito"
"herocard.passive_skill.title.effectonstatuseffectaddition.statuseffects.managenerationmodifier.alldebuffs","Aumento di mana per disturbo subito"
"herocard.passive_skill.title.effectonstatuseffectadditionwithchance.addmana.allbuffs","Mana per magia benefica ricevuta"
"herocard.passive_skill.title.effectonstatuseffectadditionwithchance.heal.allbuffs","Recupero Salute per magia benefica ricevuta"
"herocard.passive_skill.title.effectonstatuseffectremovalbyspecial.activates_on_ally_action.healthboost","Salute potenziata su rimozione effetto di stato"
"herocard.passive_skill.title.effectonstatuseffectremovalbyspecial.activates_on_enemy_action.damage","Danni su rimozione effetto di stato"
"herocard.passive_skill.title.effectovertime.revival","Rianima nel tempo"
"herocard.passive_skill.title.effectovertimeperstatuseffect.addmana.everyturn.per.statuseffectbuffs.enemies","Mana per ogni magia benefica del nemico"
"herocard.passive_skill.title.effectovertimeperstatuseffect.healthboost.everyturn.per.poison.statuseffectdebuffs.enemies","Aumento della Salute sul veleno"
"herocard.passive_skill.title.effectsonminionreceived.activates_on_ally_action.addmana.allies.minion","Mana su chiamata servitori"
"herocard.passive_skill.title.effectsonminionreceived.activates_on_ally_action.heal.addmana.allies.minion","Amico dei familiari"
"herocard.passive_skill.title.effectsonparasitereceived.activates_on_enemy_action.addmana.enemies.parasite","Mana su evocazione demoni"
"herocard.passive_skill.title.effectsonparasitereceived.activates_on_enemy_action.damage.enemies.parasite","Ira degli animali"
"herocard.passive_skill.title.effectsonparasitereceived.activates_on_enemy_action.healthboost.enemies.parasite","Salute potenziata su evocazione demoni"
"herocard.passive_skill.title.familiaraccuracymodifier.all.enemies.minion.bigminion","Servitori ciechi"
"herocard.passive_skill.title.familiarcoreintrinsicchargeeffectonspecial.summonfamiliar.construct_minion_core","Nucleo Servitore"
"herocard.passive_skill.title.familiarhealthmodifier.all.enemies.bigminion.decrease","Servitori Mega più deboli"
"herocard.passive_skill.title.familiarhealthmodifier.all.enemies.minion.decrease","Servitori più deboli"
"herocard.passive_skill.title.familiarsilencer.all.enemies.bigminion","Ferma servitori Mega"
"herocard.passive_skill.title.familiarsilencer.all.enemies.minion.follower","Ferma servitori"
"herocard.passive_skill.title.frost.effectondamageovertime.activates_on_enemy_action.addmana","Mana su gelo"
"herocard.passive_skill.title.glass_reflect_debuffs","Vetro"
"herocard.passive_skill.title.growth","Crescita"
"herocard.passive_skill.title.guaranteedeffectonspecial","Effetto garantito su Abilità speciale"
"herocard.passive_skill.title.healmodifier.all.enemies.decrease","Guarigione ridotta"
"herocard.passive_skill.title.healonheal.heal","GUARIGIONE extra"
"herocard.passive_skill.title.healonownfamiliardeath.minion","Salute dal servitore morto"
"herocard.passive_skill.title.healonownfamiliardeath.minion.healthboost","Salute potenziata dal servitore morto"
"herocard.passive_skill.title.increasedattackperelement.enemies.not.green","Attacco aumentato contro nemici non di Natura"
"herocard.passive_skill.title.increasedattackperelement.enemies.not.red","Attacco aumentato contro nemici non di Fuoco"
"herocard.passive_skill.title.increaseddamageagainstfamiliars.minion.bigminion","Danni extra a servitori e servitori Mega"
"herocard.passive_skill.title.increaseddamageagainstminions","Danni aumentati contro i servitori"
"herocard.passive_skill.title.increasedspecialdamageagainsttaunt.taunt","Danni aumentati contro Deridi"
"herocard.passive_skill.title.increasespecialdamage","Danni da Abilità speciali aumentati"
"herocard.passive_skill.title.increasespecialdamage.usable_once","Danni da Abilità speciali aumentati"
"herocard.passive_skill.title.increasespecialdamagesupportcharacter.troop","Danni da Abilità speciali aumentati"
"herocard.passive_skill.title.insanitydamagereduction","Marchiato dagli Antichi"
"herocard.passive_skill.title.iterateeffectonspecial","Probabilità extra per gli effetti su Abilità speciale"
"herocard.passive_skill.title.league_accuracy_modifier_against_family","Svantaggio di lega"
"herocard.passive_skill.title.league_featured_family_resist","Vantaggio di lega"
"herocard.passive_skill.title.league_heal_modifier_against_family","Svantaggio di lega"
"herocard.passive_skill.title.league_heal_modifier_for_family","Vantaggio di lega"
