"heroes.name_fancy.astral_cosmicspeaker","Astraalihaltia-astronomi"
"heroes.name_fancy.lionman_barbarian_costume_glass","Lasinen leor"
"heroes.name_fancy.lionman_barbarian_costume_stylish","Tyylikäs leor"
"heroes.name_fancy.lizardman_trapper","Liskokansan päällikkö"
"heroes.name_fancy.lizardman_trapper_costume_cute","Piirretty päällikkö"
"heroes.name_fancy.lizardman_trapper_costume_fisher","Liskokansan kalastaja"
"heroes.name_fancy.lizardman_trapper_costume_glass","Lasinen päällikkö"
"heroes.name_fancy.lizardman_trapper_costume_shaman","Liskokansan vanhin"
"heroes.name_fancy.lizardman_warrior","Liskokansan taistelija"
"heroes.name_fancy.lizardman_warrior_costume_cute","Piirretty taistelija"
"heroes.name_fancy.lizardman_warrior_costume_dinosaur","Liskokansan esivanhempi"
"heroes.name_fancy.lizardman_warrior_costume_glass","Lasinen taistelija"
"heroes.name_fancy.lunar_new_year_baishu","Kuukalenterin akrobaattirotta"
"heroes.name_fancy.lunar_new_year_gongniu","Kuukalenterin vartijahärkä"
"heroes.name_fancy.lunar_new_year_hongyunxing","Kuukalenterin kulkurihevonen"
"heroes.name_fancy.lunar_new_year_laohu","Kuukalenterin taistelijatiikeri"
"heroes.name_fancy.lunar_new_year_laohu_costume_golden","Kuukalenterin onnentiikeri"
"heroes.name_fancy.lunar_new_year_qinglong","Kuukalenterin strategistilohikäärme"
"heroes.name_fancy.lunar_new_year_xiaoqing","Kuukalenterin muusikkokäärme"
"heroes.name_fancy.lunar_new_year_xiaotu","Kuukalenterin suojelijajänis"
"heroes.name_fancy.lunar_new_year_xiaotu_costume_golden","Kuun lyhtyjänis"
"heroes.name_fancy.magic_agrafena","Ylimmäinen valvoja"
"heroes.name_fancy.magic_agrafena_costume_dark","Ylimmäinen pimeyden noita"
"heroes.name_fancy.magic_anastasia","Avustava kutsuja"
"heroes.name_fancy.magic_anton","Nuori tutkija"
"heroes.name_fancy.magic_becky","Tähtivalon taikoja"
"heroes.name_fancy.magic_becky_costume_gothic","Iltahämärän taikoja"
"heroes.name_fancy.magic_camilla","Mystiikkanikkari"
"heroes.name_fancy.magic_camilla_costume_flower","Kukkaisnikkari"
"heroes.name_fancy.magic_carpet_agadh","Taikamattosalamurhaaja"
"heroes.name_fancy.magic_carpet_amelia","Taikamattolentäjä"
"heroes.name_fancy.magic_carpet_bart","Taikamattohurjastelija"
"heroes.name_fancy.magic_carpet_bertha","Taikamattojen tekijä"
"heroes.name_fancy.magic_carpet_crustee","Taikalabran nero"
"heroes.name_fancy.magic_carpet_elyssa","Taikamattoherkuttelija"
"heroes.name_fancy.magic_carpet_jwala","Maaginen laavatyttö"
"heroes.name_fancy.magic_carpet_kesha","Al-Laylin lumoojatar"
"heroes.name_fancy.magic_carpet_lando","Taikamattohurmuri"
"heroes.name_fancy.magic_carpet_lilli","Taikamattoileva kissanainen"
"heroes.name_fancy.magic_carpet_manpip","Hermoileva taikamattolentäjä"
"heroes.name_fancy.magic_carpet_naeem","Taikamattokulkuri"
"heroes.name_fancy.magic_carpet_ragrim","Taikamattobotanisti"
"heroes.name_fancy.magic_carpet_shareef","Pysäyttämätön velho"
"heroes.name_fancy.magic_carpet_zazha","Taikamattojen korjaaja"
"heroes.name_fancy.magic_cristobal","Lumousten professori"
"heroes.name_fancy.magic_cristobal_costume_emerald","Lumoustaikojen professori"
"heroes.name_fancy.magic_dolgoon","Sivistynyt kirjastonhoitaja"
"heroes.name_fancy.magic_jett","Uhrien airut"
"heroes.name_fancy.magic_jett_costume_eyes","Tuomion airut"
"heroes.name_fancy.magic_kornel","Kokenut vahtimestari"
"heroes.name_fancy.magic_lucy","Maagipallon ihmelapsi"
"heroes.name_fancy.magic_milena","Mystisten taitojen opettaja"
"heroes.name_fancy.magic_milena_costume_ice","Arktisten loitsujen opettaja"
"heroes.name_fancy.magic_motega","Mestaripuutarhuri"
"heroes.name_fancy.magic_nadezhda","Tornin rehtori"
"heroes.name_fancy.magic_nadezhda_costume_postmaster","Tornin postimestari"
"heroes.name_fancy.magic_ray","Kentän mestari"
"heroes.name_fancy.magic_ray_costume_spiky","Piikkipensaiden mestari"
"heroes.name_fancy.magic_roxia","Muinaisten kirjoitusten pänttääjä"
"heroes.name_fancy.magic_sergei","Mystiikan opiskelija"
"heroes.name_fancy.magic_telonius","Metsäkentauri"
"heroes.name_fancy.magic_telonius_costume_brew","Hanahuoneen kentauri"
"heroes.name_fancy.magic_ulius","Omalaatuinen keksijävelho"
"heroes.name_fancy.magic_ulius_costume_buccaneer","Omalaatuinen mystinen merirosvo"
"heroes.name_fancy.magic_vaishali","Mystinen shakkimestari"
"heroes.name_fancy.magic_vaishali_costume_chef","Mystinen piirakkamestari"
"heroes.name_fancy.magic_willow","Levitoinnin mestari"
"heroes.name_fancy.magitech_sniper","Magitek-tarkka-ampuja"
"heroes.name_fancy.magitech_sniper_costume_cute","Piirretty tarkka-ampuja"
"heroes.name_fancy.magitech_sniper_costume_glass","Lasinen tarkka-ampuja"
"heroes.name_fancy.magitech_sniper_costume_steampunk","Höyrypunk-tarkka-ampuja"
"heroes.name_fancy.magitech_sniper_costume_stylish","Tyylikäs tarkka-ampuja"
"heroes.name_fancy.magitech_sniper_costume_undead","Epäkuollut tarkka-ampuja"
"heroes.name_fancy.mahayoddha_ajay","Urumisoturi"
"heroes.name_fancy.mahayoddha_ali","Lahjakas juoksupoika"
"heroes.name_fancy.mahayoddha_bhairavi_devi","Vitsaileva thakurain"
"heroes.name_fancy.mahayoddha_bhima","Vayun poika"
"heroes.name_fancy.mahayoddha_bonga","Korintekijä"
"heroes.name_fancy.mahayoddha_chitrangada","Manipuran soturiprinsessa"
"heroes.name_fancy.mahayoddha_devyani","Hurja soturiprinsessa"
"heroes.name_fancy.mahayoddha_jyoti","Chari-tanssija"
"heroes.name_fancy.mahayoddha_meenakshi","Kookos-chechi"
"heroes.name_fancy.mahayoddha_rafeeq","Ovela poliitikko"
"heroes.name_fancy.mahayoddha_ustad_anand","Hoviesiintyjä"
"heroes.name_fancy.mahayoddha_veer","Ylpeä salamurhaaja"
"heroes.name_fancy.masquerade_alessia","Aradian seuraaja"
"heroes.name_fancy.masquerade_aradia","Noituuden naamioitu jumalatar"
"heroes.name_fancy.masquerade_carmenta","Loitsujen naamioitu jumalatar"
"heroes.name_fancy.masquerade_cel","Maan naamioitu jumalatar"
"heroes.name_fancy.masquerade_februus","Puhdistuksen naamioitu jumala"
"heroes.name_fancy.masquerade_fortuna","Kohtalon naamioitu jumalatar"
"heroes.name_fancy.masquerade_fosco","Februusin seuraaja"
"heroes.name_fancy.masquerade_jana","Kuun naamioitu jumalatar"
"heroes.name_fancy.masquerade_jove","Taivaan naamioitu jumala"
"heroes.name_fancy.masquerade_umbria","Varjojen naamioitu jumalatar"
"heroes.name_fancy.mighty_pet_barkley","Sotamopsi"
"heroes.name_fancy.mighty_pet_bubbles","Illuusioiden kopioija"
"heroes.name_fancy.mighty_pet_chomper","Hamstereiden mestaritappelija"
"heroes.name_fancy.mighty_pet_cinnamon","Napapiirin ritari"
"heroes.name_fancy.mighty_pet_cupcake","Kynnellinen rosvo"
"heroes.name_fancy.mighty_pet_furdinand","Koiraseurueen kovis"
"heroes.name_fancy.mighty_pet_hachiko","Uskollinen pentu"
"heroes.name_fancy.mighty_pet_luna","Kuunsirpin pöllö"
"heroes.name_fancy.mighty_pet_ribbit","Sammakoiden valtakunnan gladiaattori"
"heroes.name_fancy.mighty_pet_rufus","Pörröinen puunhakkaaja"
"heroes.name_fancy.mighty_pet_snowball","Kyntevä kulkukissa"
"heroes.name_fancy.mighty_pet_toto","Tarinoiva turre"
"heroes.name_fancy.mighty_pet_waddles","Ankkavartion kapteeni"
"heroes.name_fancy.mimic_aether_blue","Nälkiintynyt sauvavarasto"
"heroes.name_fancy.mimic_aether_green","Nälkiintynyt sauvavarasto"
"heroes.name_fancy.mimic_aether_purple","Nälkiintynyt sauvavarasto"
"heroes.name_fancy.mimic_aether_red","Nälkiintynyt sauvavarasto"
"heroes.name_fancy.mimic_aether_yellow","Nälkiintynyt sauvavarasto"
"heroes.name_fancy.mimic_ascension_epic_yellow","Virnistävä vähäisen pahuuden kätkö"
"heroes.name_fancy.mimic_ascension_item_blue","Virnistävä pahuuden kätkö"
"heroes.name_fancy.mimic_ascension_item_green","Virnistävä pahuuden kätkö"
"heroes.name_fancy.mimic_ascension_item_purple","Virnistävä pahuuden kätkö"
"heroes.name_fancy.mimic_ascension_item_red","Virnistävä pahuuden kätkö"
"heroes.name_fancy.mimic_ascension_item_yellow","Virnistävä pahuuden kätkö"
"heroes.name_fancy.mimic_emblem_blue","Kauhistuttava yksisilmäinen lukkorasia"
"heroes.name_fancy.mimic_emblem_green","Kauhistuttava yksisilmäinen lukkorasia"
"heroes.name_fancy.mimic_emblem_purple","Kauhistuttava yksisilmäinen lukkorasia"
"heroes.name_fancy.mimic_emblem_red","Kauhistuttava yksisilmäinen lukkorasia"
"heroes.name_fancy.mimic_emblem_yellow","Kauhistuttava yksisilmäinen lukkorasia"
"heroes.name_fancy.mimic_experience_rare_red","Pienihampainen kirstu"
"heroes.name_fancy.mimic_training_hero_blue","Tuhathampainen kirstu"
"heroes.name_fancy.mimic_training_hero_green","Tuhathampainen kirstu"
"heroes.name_fancy.mimic_training_hero_purple","Tuhathampainen kirstu"
"heroes.name_fancy.mimic_training_hero_red","Tuhathampainen kirstu"
"heroes.name_fancy.mimic_training_hero_yellow","Tuhathampainen kirstu"
"heroes.name_fancy.mimic_troop_blue","Hirmuinen jättiarsenaali"
"heroes.name_fancy.mimic_troop_green","Hirmuinen jättiarsenaali"
"heroes.name_fancy.mimic_troop_purple","Hirmuinen jättiarsenaali"
"heroes.name_fancy.mimic_troop_red","Hirmuinen jättiarsenaali"
"heroes.name_fancy.mimic_troop_yellow","Hirmuinen jättiarsenaali"
"heroes.name_fancy.monster_hunter_adalinda","Jahdin prinsessa"
"heroes.name_fancy.monster_hunter_amund","Sinnikäs jäljittäjä"
"heroes.name_fancy.monster_hunter_basil","Jahtihiiri"
"heroes.name_fancy.monster_hunter_berit","Beryllinvihreä nyrkkisankari"
"heroes.name_fancy.monster_hunter_bogart","Suometsästäjä"
"heroes.name_fancy.monster_hunter_bonecrusher","Hopeaselkäinen päällikkö"
"heroes.name_fancy.monster_hunter_cedar","Simpanssien ketjumestari"
"heroes.name_fancy.monster_hunter_cleaver","Metsästävä päällikkö"
"heroes.name_fancy.monster_hunter_dabria","Metsästävä salatieteilijä"
"heroes.name_fancy.monster_hunter_dawn","Laulava metsästäjä"
"heroes.name_fancy.monster_hunter_dubhain","Myrskyjen jumalan valittu"
"heroes.name_fancy.monster_hunter_ebba","Metsästäjäpalkkasoturi"
"heroes.name_fancy.monster_hunter_edelaide","Erämaan kiertolainen"
"heroes.name_fancy.monster_hunter_fianna","Metsän ansastaja"
"heroes.name_fancy.monster_hunter_goretooth","Julma metsästäjä"
"heroes.name_fancy.monster_hunter_greel","Villi miekkamies"
"heroes.name_fancy.monster_hunter_hammertusk","Roteva ryskivä barbaari"
"heroes.name_fancy.monster_hunter_hawthorn","Ammattilaismetsästäjä"
"heroes.name_fancy.monster_hunter_hurricane","Salamurhaaja-apina"
"heroes.name_fancy.monster_hunter_kai","Metsästäjäritari"
"heroes.name_fancy.monster_hunter_knuckles","Makakivahti"
"heroes.name_fancy.monster_hunter_maheegan","Suden jäljittäjä"
"heroes.name_fancy.monster_hunter_malin","Titaaninluusoturi"
"heroes.name_fancy.monster_hunter_meadow","Heimon metsästäjätär"
"heroes.name_fancy.monster_hunter_mistweaver","Orankitaistelija"
"heroes.name_fancy.monster_hunter_njal","Pohjatuulen metsästäjä"
"heroes.name_fancy.monster_hunter_numbskull","Kömpelö luuranko"
"heroes.name_fancy.monster_hunter_otis","Metsästäjien miekkamestari"
"heroes.name_fancy.monster_hunter_revna","Carnelialainen metsästäjä"
"heroes.name_fancy.monster_hunter_ruadh","Syvyyksien saalistaja"
"heroes.name_fancy.monster_hunter_sigyn","Skorpionien käsittelijä"
"heroes.name_fancy.monster_hunter_sorcha","Sitkeä metsästäjä"
"heroes.name_fancy.monster_hunter_sorrow","Jäinen haamu"
"heroes.name_fancy.monster_hunter_staintongue","Väsymätön metsästäjä"
"heroes.name_fancy.monster_hunter_sune","Malakiitinvihreä metsästäjä"
"heroes.name_fancy.monster_hunter_thunderclap","Raivostunut gorilla"
"heroes.name_fancy.monster_hunter_thura","Tähtien siunaama metsästäjä"
"heroes.name_fancy.monster_hunter_tremor","Paviaanien miekkamestari"
"heroes.name_fancy.monster_hunter_waterpipe","Harppuunateknikko"
"heroes.name_fancy.moth_auricarc","Mestarillinen tarkka-ampujakoi"
"heroes.name_fancy.moth_chimister","Labrakoi"
"heroes.name_fancy.moth_chunkyroi","Markiisikoi"
"heroes.name_fancy.moth_furgeant","Murskaajakoi"
"heroes.name_fancy.moth_gardered","Huimapääkoi"
"heroes.name_fancy.moth_grovevert","Kasvattajakoi"
"heroes.name_fancy.moth_joyvert","Muusikkokoi"
"heroes.name_fancy.moth_lilareine","Markiisitarkoi"
"heroes.name_fancy.moth_limeboire","Baarimikkokoi"
"heroes.name_fancy.moth_mortewitch","Koimantikko"
"heroes.name_fancy.moth_pepperbleu","Hautauskoi"
"heroes.name_fancy.moth_rosepetite","Nuori maalarikoi"
"heroes.name_fancy.moth_satinpimenter","Pappiskoi"
"heroes.name_fancy.moth_shyombre","Varjokoi"
"heroes.name_fancy.moth_tealmoine","Sumujen koi"
"heroes.name_fancy.musketeer_aramis","Romanttinen musketööri"
"heroes.name_fancy.musketeer_aramis_costume_boulanger","Leipurimusketööri"
"heroes.name_fancy.musketeer_athos","Kokenut musketööri"
"heroes.name_fancy.musketeer_athos_costume_farrier","Kengittäjämusketööri"
"heroes.name_fancy.musketeer_cardinal_richelieu","Petollinen herttua"
"heroes.name_fancy.musketeer_constance","Rohkea musketööri"
"heroes.name_fancy.musketeer_constance_costume_fusilier","Rohkea fusilieeri"
"heroes.name_fancy.musketeer_dartagnan","Harras musketööri"
"heroes.name_fancy.musketeer_dartagnan_costume_chimney_sweeper","Innokas nokikolari"
"heroes.name_fancy.musketeer_felton","Häijy salamurhaaja"
"heroes.name_fancy.musketeer_felton_costume_pirate","Paatunut merirosvo"
"heroes.name_fancy.musketeer_kitty","Kiltti kukkakauppias"
"heroes.name_fancy.musketeer_kitty_costume_harvester","Kiltti hedelmien poimija"
"heroes.name_fancy.musketeer_milady_de_winter","Häikäilemätön juonittelija"
"heroes.name_fancy.musketeer_milady_de_winter_costume_herbalist","Häikäilemätön kasvisparantaja"
"heroes.name_fancy.musketeer_planchet","Urhoollinen palvelija"
"heroes.name_fancy.musketeer_planchet_costume_adventurer","Urhoollinen seikkailija"
"heroes.name_fancy.musketeer_porthos","Hilpeä musketööri"
"heroes.name_fancy.musketeer_porthos_costume_merchant","Kauppiasmusketööri"
"heroes.name_fancy.musketeer_queen_anne","Elegantti monarkki"
"heroes.name_fancy.musketeer_rochefort","Häikäilemätön konna"
"heroes.name_fancy.musketeer_rochefort_costume_ratcatcher","Häikäilemätön rotanpyydystäjä"
"heroes.name_fancy.musketeer_villiers","Pöyhkeä herttua"
"heroes.name_fancy.musketeer_villiers_costume_jester","Mahtaileva narri"
"heroes.name_fancy.mystery_enigmo","Arvoituksellinen kutsuja"
"heroes.name_fancy.nature_god_balbar","Botanistierakko"
"heroes.name_fancy.nature_god_bertila","Vihreä ritari"
"heroes.name_fancy.nature_god_bo_and_runt","Lauman johtajat"
"heroes.name_fancy.nature_god_chloris","Kukkaishenki"
"heroes.name_fancy.nature_god_cinisia","Meliadien sotamaagi"
"heroes.name_fancy.nature_god_coleston","Pysäyttämätön puolituinen"
"heroes.name_fancy.nature_god_florenna","Ketterä peurakentauri"
"heroes.name_fancy.nature_god_leadria","Ikuisen lähteen kuningatar"
"heroes.name_fancy.nature_god_liora","Lempeä rosvo"
"heroes.name_fancy.nature_god_mystia","Valloittava lumoojatar"
"heroes.name_fancy.nature_god_silvaria","Metsänjumala"
"heroes.name_fancy.nature_god_viselus","Vitsausdruidi"
"heroes.name_fancy.ninja_amethyst","Vaaniva salamurhaaja"
"heroes.name_fancy.ninja_ametrine","Kätkettyjen miekkojen ninja"
"heroes.name_fancy.ninja_aurum","Verenhimoinen ninjatar"
"heroes.name_fancy.ninja_azurite","Ninjajuonne"
"heroes.name_fancy.ninja_chikao","Äänetön iskijä"
"heroes.name_fancy.ninja_cobalt","Kuiskivien merten ninja"
"heroes.name_fancy.ninja_ekanite","Shinobien ryhmänjohtaja"
"heroes.name_fancy.ninja_garnet","Kasvavan elinvoiman ninja"
"heroes.name_fancy.ninja_iga","Kunai-myrskyjen mestari"
"heroes.name_fancy.ninja_ito","Alistava ninja"
"heroes.name_fancy.ninja_jade","Tanssivien tähtien ninja"
"heroes.name_fancy.ninja_kinsaishi","Jyristävä ninjamunkki"
"heroes.name_fancy.ninja_kushanku","Pettävä nyrkki"
"heroes.name_fancy.ninja_malum","Armoton ninja"
"heroes.name_fancy.ninja_mica","Hiljaisten huutojen ninja"
"heroes.name_fancy.ninja_morganite","Hiipuvien varjojen ninja"
"heroes.name_fancy.ninja_myoinni","Vahvin vaakunalordi"
"heroes.name_fancy.ninja_nomad","Äänetön pyöveli"
"heroes.name_fancy.ninja_oniwakamaru","999 miekan varjomunkki"
"heroes.name_fancy.ninja_onyx","Karkaavien tuulien ninja"
"heroes.name_fancy.ninja_osamu","Rautaisen itsekurin ninja"
"heroes.name_fancy.ninja_peridot","Tappavien myrkkyjen ninja"
"heroes.name_fancy.ninja_quartz","Hiljaisten hautojen ninja"
"heroes.name_fancy.ninja_ruby","Punaisen Onin ninja"
"heroes.name_fancy.ninja_sapphire","Hyppivien varjojen ninja"
"heroes.name_fancy.ninja_satsui","Varjojen ninjatar"
"heroes.name_fancy.ninja_sawano","Uskollinen ninjatar"
"heroes.name_fancy.ninja_serandite","Lävistävien liekkien ninja"
"heroes.name_fancy.ninja_shale","Kiitävän tarmon ninja"
"heroes.name_fancy.ninja_tametomo","Suurjousi-sabotööri"
"heroes.name_fancy.ninja_topaz","Täydellisen tarkkuuden ninja"
"heroes.name_fancy.ninja_tora","Äänetön metsästäjätär"
"heroes.name_fancy.ninja_umeko","Myrkkykukkien ninja"
"heroes.name_fancy.ninja_zircon","Äänettömien aaltojen ninja"
"heroes.name_fancy.nomad_axe_adventurer","Rohkea palkkionmetsästäjä"
"heroes.name_fancy.nomad_axe_adventurer_costume_cute","Piirretty palkkionmetsästäjä"
"heroes.name_fancy.nomad_axe_adventurer_costume_glass","Lasinen palkkionmetsästäjä"
"heroes.name_fancy.nomad_axe_adventurer_costume_magma","Tulinen palkkionmetsästäjä"
"heroes.name_fancy.nomad_axe_adventurer_costume_stylish","Tyylikäs palkkionmetsästäjä"
"heroes.name_fancy.nomad_axe_adventurer_costume_tracker","Urhea jäljittäjä"
"heroes.name_fancy.nomad_female_archer","Lahjakas loukuttaja"
"heroes.name_fancy.nomad_female_assassin","Hiekkameren ryöstäjä"
"heroes.name_fancy.nomad_female_assassin_costume_cute","Piirretyn meren ryöstäjä"
"heroes.name_fancy.nomad_female_assassin_costume_dancer","Hiekkameren tanssija"
"heroes.name_fancy.nomad_female_assassin_costume_glass","Lasimeren ryöstäjä"
"heroes.name_fancy.nomad_female_assassin_costume_poison","Hiekkameren salamurhaaja"
"heroes.name_fancy.nomad_female_berserker","Lohikäärmepapitar"
"heroes.name_fancy.nomad_female_berserker_costume_cute","Piirretty lohikäärmepapitar"
"heroes.name_fancy.nomad_female_berserker_costume_glass","Lohikäärme-lasimaalaus"
"heroes.name_fancy.nomad_female_berserker_costume_shaman","Lohikäärmesamaani"
"heroes.name_fancy.nomad_female_berserker_costume_sorceress","Dragonian noita"
"heroes.name_fancy.nomad_female_berserker_costume_stylish","Tyylikäs papitar"
"heroes.name_fancy.nomad_female_captain","Windemerin lady"
"heroes.name_fancy.nomad_female_captain_costume_cute","Windemerin piirretty"
"heroes.name_fancy.nomad_female_captain_costume_glass","Windemerin lasimaalaus"
"heroes.name_fancy.nomad_female_captain_costume_pirate","Windemerin kauhu"
"heroes.name_fancy.nomad_female_captain_costume_stylish","Windemerin tyylikäs lady"
"heroes.name_fancy.nomad_female_captain_costume_thief","Windemerin mestarivoro"
"heroes.name_fancy.nomad_female_lord","Kuninkaallisen kaartin kapteeni"
"heroes.name_fancy.nomad_female_lord_costume_cute","Kuninkaallisten piirrettyjen kapteeni"
"heroes.name_fancy.nomad_female_lord_costume_flame","Tulikapteeni"
"heroes.name_fancy.nomad_female_lord_costume_glass","Lasikaartin kapteeni"
"heroes.name_fancy.nomad_female_lord_costume_wicked","Häijyjen kapteeni"
"heroes.name_fancy.nomad_female_shaman","Ylempi samaani"
"heroes.name_fancy.nomad_female_shaman_costume_cute","Ylempi piirretty"
"heroes.name_fancy.nomad_female_shaman_costume_glass","Ylempi lasimaalaus"
"heroes.name_fancy.nomad_female_shaman_costume_native","Ylempi parantaja"
"heroes.name_fancy.nomad_female_swordmaster","Valtaistuimen havittelija"
"heroes.name_fancy.nomad_female_swordmaster_costume_cute","Piirrettyjen havittelija"
"heroes.name_fancy.nomad_female_swordmaster_costume_glass","Lasin havittelija"
"heroes.name_fancy.nomad_female_swordmaster_costume_native","Jumalten havittelija"
"heroes.name_fancy.nomad_female_swordmaster_costume_stylish","Tyylin havittelija"
"heroes.name_fancy.nomad_female_thief","Nuorekas matkaaja"
"heroes.name_fancy.nomad_fighter","Rosoinen rähinöitsijä"
"heroes.name_fancy.nomad_mage","Hiekkameren maagi"
"heroes.name_fancy.nomad_mage_costume_cute","Piirretyn meren maagi"
"heroes.name_fancy.nomad_mage_costume_glass","Lasimeren kiertolainen"
"heroes.name_fancy.nomad_mage_costume_goggles","Hiekkameren velho"
"heroes.name_fancy.nomad_mage_costume_stylish","Tyylikäs maagi"
"heroes.name_fancy.nomad_scout","Viekas palkkasotilas"
"heroes.name_fancy.nomad_shaman","Ammoisten palvelija"
"heroes.name_fancy.nordic_ancestral_warrior","Pimeyden orpo"
"heroes.name_fancy.nordic_ancestral_warrior_costume_corrupted","Pahan perillinen"
"heroes.name_fancy.nordic_ancestral_warrior_costume_cute","Pimeyden piirretty"
"heroes.name_fancy.nordic_ancestral_warrior_costume_glass","Pimeyden lasimaalaus"
"heroes.name_fancy.nordic_ancestral_warrior_costume_messenger","Synkkä sanantuoja"
"heroes.name_fancy.nordic_ancestral_warrior_costume_stylish","Pahan tyylin perillinen"
"heroes.name_fancy.nordic_chained_werewolf","Raivopää"
"heroes.name_fancy.nordic_chained_werewolf_costume_cute","Piirretty raivopää"
"heroes.name_fancy.nordic_chained_werewolf_costume_glass","Lasinen raivopää"
"heroes.name_fancy.nordic_chained_werewolf_costume_raccoon","Valkosipulivaras"
"heroes.name_fancy.nordic_female_scout","Raivokas neito"
"heroes.name_fancy.nordic_female_warrior","Karkotettu soturi"
"heroes.name_fancy.nordic_ice_enchantress","Glaceholmin suojelija"
"heroes.name_fancy.nordic_ice_enchantress_costume_aqua","Glaceholmin jäänoita"
"heroes.name_fancy.nordic_ice_enchantress_costume_cute","Piirrettyjen suojelija"
"heroes.name_fancy.nordic_ice_enchantress_costume_glass","Glaceholmin lasimaalaus"
"heroes.name_fancy.nordic_ice_enchantress_costume_ruler","Glaceholmin hallitsija"
"heroes.name_fancy.nordic_mage","Glaceholmin maagi"
"heroes.name_fancy.nordic_mage_costume_cute","Glaceholmin piirretty"
"heroes.name_fancy.nordic_mage_costume_glass","Glaceholmin lasimaalaus"
"heroes.name_fancy.nordic_mage_costume_hermit","Glaceholmin erakko"
"heroes.name_fancy.nordic_male_lord","Oikeuden vasara"
"heroes.name_fancy.nordic_male_lord_costume_cute","Piirretty voimavasara"
"heroes.name_fancy.nordic_male_lord_costume_glass","Lasinen vasara"
"heroes.name_fancy.nordic_male_lord_costume_injustice","Vääryyden vasara"
"heroes.name_fancy.nordic_male_lord_costume_senior","Oikeuden kirves"
"heroes.name_fancy.nordic_male_lord_costume_stylish","Tyylikäs paladiini"
"heroes.name_fancy.nordic_swordman","Kiitävä kaksintaistelija"
"heroes.name_fancy.nordic_swordman_costume_climber","Sileäleukainen kiipeilijä"
"heroes.name_fancy.nordic_swordman_costume_cute","Lahjakas piirretty"
"heroes.name_fancy.nordic_swordman_costume_glass","Lasinen kaksintaistelija"
"heroes.name_fancy.nordic_swordman_costume_stylish","Tyylikäs kaksintaistelija"
"heroes.name_fancy.nordic_warrior","Huoleton seikkailija"
"heroes.name_fancy.orc_gladiator","Vankkumaton"
"heroes.name_fancy.orc_gladiator_costume_chef","Valurautakokki"
"heroes.name_fancy.orc_gladiator_costume_cute","Vankkumaton piirretty"
"heroes.name_fancy.orc_gladiator_costume_glass","Heijastus"
"heroes.name_fancy.orc_gladiator_costume_sage","Villi tietäjä"
"heroes.name_fancy.orc_gladiator_costume_stylish","Komistus"
"heroes.name_fancy.orc_skirmisher","Puoliverinen taistelija"
"heroes.name_fancy.orc_troopmaster","Nälkäinen"
"heroes.name_fancy.orc_troopmaster_costume_cute","Nälkäinen piirretty"
"heroes.name_fancy.orc_troopmaster_costume_glass","Nälkäinen lasimaalaus"
"heroes.name_fancy.orc_troopmaster_costume_gourmet","Nautiskelija"
"heroes.name_fancy.orc_troopmaster_costume_merchant","Ahnas"
"heroes.name_fancy.orc_warrior","Taistelun ensimmäinen"
"heroes.name_fancy.orc_warrior_costume_cute","Taistelun ensimmäinen piirretty"
"heroes.name_fancy.orc_warrior_costume_glass","Viimeinen särkyjä"
"heroes.name_fancy.orc_warrior_costume_urukhai","Viimeinen perääntyjä"
"heroes.name_fancy.oriental_brawler","Jalo puolustaja"
"heroes.name_fancy.oriental_brawler_costume_cute","Piirretty rähinöitsijä"
"heroes.name_fancy.oriental_brawler_costume_egypt","Jalo rähinöitsijä"
"heroes.name_fancy.oriental_brawler_costume_glass","Lasinen rähinöitsijä"
"heroes.name_fancy.oriental_enchanted_monk","Auringon liekki"
"heroes.name_fancy.oriental_enchanted_monk_costume_cute","Auringon piirretty"
"heroes.name_fancy.oriental_enchanted_monk_costume_glass","Auringon lasimaalaus"
"heroes.name_fancy.oriental_enchanted_monk_costume_stoneguard","Auringon mahti"
"heroes.name_fancy.oriental_enchanted_monk_costume_stylish","Tyylikäs aurinkomunkki"
"heroes.name_fancy.oriental_enchanted_monk_costume_tiger","Auringon raivo"
"heroes.name_fancy.oriental_falconer","Mestaritaktikko"
"heroes.name_fancy.oriental_falconer_costume_cub","Tiikerimestari"
"heroes.name_fancy.oriental_falconer_costume_cute","Piirretty taktikko"
"heroes.name_fancy.oriental_falconer_costume_dodo","Mestarikonservaattori"
"heroes.name_fancy.oriental_falconer_costume_glass","Lasinen taktikko"
"heroes.name_fancy.oriental_female_guard","Shaguadin samooja"
"heroes.name_fancy.oriental_female_guard_costume_cute","Shaguadin piirretty"
"heroes.name_fancy.oriental_female_guard_costume_glass","Shaguadin lasimaalaus"
"heroes.name_fancy.oriental_female_guard_costume_soldier","Shaguadin vartija"
"heroes.name_fancy.oriental_female_mage","Epäitsekäs parantaja"
"heroes.name_fancy.oriental_female_mage_costume_cute","Piirretty parantaja"
"heroes.name_fancy.oriental_female_mage_costume_glass","Lasinen parantaja"
"heroes.name_fancy.oriental_female_mage_costume_mender","Jalomielinen paikkaaja"
"heroes.name_fancy.oriental_female_mage_costume_stylish","Tyylikäs parantaja"
"heroes.name_fancy.oriental_female_mystic","Ylivertainen oppinut"
"heroes.name_fancy.oriental_female_mystic_costume_cute","Piirretty oppinut"
"heroes.name_fancy.oriental_female_mystic_costume_glass","Lasinen oppinut"
