"heroes.name_fancy.astral_cosmicspeaker","Astronome des elfes astraux"
"heroes.name_fancy.mahayoddha_meenakshi","Chechi à noix de coco"
"heroes.name_fancy.mahayoddha_rafeeq","Politicien habile"
"heroes.name_fancy.mahayoddha_ustad_anand","Artiste royal"
"heroes.name_fancy.mahayoddha_veer","Assassin orgueilleux"
"heroes.name_fancy.masquerade_alessia","Adepte d'Aradia"
"heroes.name_fancy.masquerade_aradia","Déesse masquée de la sorcellerie"
"heroes.name_fancy.masquerade_carmenta","Déesse masquée des sortilèges"
"heroes.name_fancy.masquerade_cel","Déesse masquée de la terre"
"heroes.name_fancy.masquerade_februus","Dieu masqué de la purification"
"heroes.name_fancy.masquerade_fortuna","Déesse masquée du destin"
"heroes.name_fancy.masquerade_fosco","Adepte de Februus"
"heroes.name_fancy.masquerade_jana","Déesse masquée de la lune"
"heroes.name_fancy.masquerade_jove","Dieu masqué du ciel"
"heroes.name_fancy.masquerade_umbria","Déesse masquée de l'ombre"
"heroes.name_fancy.mighty_pet_barkley","Molosse guerrier"
"heroes.name_fancy.mighty_pet_bubbles","Illusionniste féline"
"heroes.name_fancy.mighty_pet_chomper","Hamster lutteur"
"heroes.name_fancy.mighty_pet_cinnamon","Chevalier du cercle arctique"
"heroes.name_fancy.mighty_pet_cupcake","Bandit à griffes"
"heroes.name_fancy.mighty_pet_furdinand","Brigand canin"
"heroes.name_fancy.mighty_pet_hachiko","Chiot loyal"
"heroes.name_fancy.mighty_pet_luna","Chouette du croissant"
"heroes.name_fancy.mighty_pet_ribbit","Gladiateur du royaume amphibien"
"heroes.name_fancy.mighty_pet_rufus","Bûcheron velu"
"heroes.name_fancy.mighty_pet_snowball","Chat redoutable"
"heroes.name_fancy.mighty_pet_toto","Raconteur canin"
"heroes.name_fancy.mighty_pet_waddles","Capitaine de la garde des canards"
"heroes.name_fancy.mimic_aether_blue","Réserve des baguettes affamées"
"heroes.name_fancy.mimic_aether_green","Réserve des baguettes affamées"
"heroes.name_fancy.mimic_aether_purple","Réserve des baguettes affamées"
"heroes.name_fancy.mimic_aether_red","Réserve des baguettes affamées"
"heroes.name_fancy.mimic_aether_yellow","Réserve des baguettes affamées"
"heroes.name_fancy.mimic_ascension_epic_yellow","Trésor au sourire maléfique inférieur"
"heroes.name_fancy.mimic_ascension_item_blue","Trésor au sourire maléfique"
"heroes.name_fancy.mimic_ascension_item_green","Trésor au sourire maléfique"
"heroes.name_fancy.mimic_ascension_item_purple","Trésor au sourire maléfique"
"heroes.name_fancy.mimic_ascension_item_red","Trésor au sourire maléfique"
"heroes.name_fancy.mimic_ascension_item_yellow","Trésor au sourire maléfique"
"heroes.name_fancy.mimic_emblem_blue","Immonde coffret borgne"
"heroes.name_fancy.mimic_emblem_green","Immonde coffret borgne"
"heroes.name_fancy.mimic_emblem_purple","Immonde coffret borgne"
"heroes.name_fancy.mimic_emblem_red","Immonde coffret borgne"
"heroes.name_fancy.mimic_emblem_yellow","Immonde coffret borgne"
"heroes.name_fancy.mimic_experience_rare_red","Trésor aux dents minuscules"
"heroes.name_fancy.mimic_training_hero_blue","Trésor aux mille dents"
"heroes.name_fancy.mimic_training_hero_green","Trésor aux mille dents"
"heroes.name_fancy.mimic_training_hero_purple","Trésor aux mille dents"
"heroes.name_fancy.mimic_training_hero_red","Trésor aux mille dents"
"heroes.name_fancy.mimic_training_hero_yellow","Trésor aux mille dents"
"heroes.name_fancy.monster_hunter_adalinda","Princesse de la chasse"
"heroes.name_fancy.monster_hunter_amund","Pisteur tenace"
"heroes.name_fancy.monster_hunter_basil","Rongeur chasseur"
"heroes.name_fancy.monster_hunter_berit","Brute de béryl"
"heroes.name_fancy.monster_hunter_bogart","Chasseur des marais"
"heroes.name_fancy.monster_hunter_bonecrusher","Chef noir-argent"
"heroes.name_fancy.monster_hunter_cedar","Chimpanzé à la chaîne"
"heroes.name_fancy.monster_hunter_cleaver","Chef chasseur"
"heroes.name_fancy.monster_hunter_dabria","Chasseresse de l'occulte"
"heroes.name_fancy.monster_hunter_dawn","Ménestrelle chasseresse"
"heroes.name_fancy.monster_hunter_dubhain","Élu du dieu des tempêtes"
"heroes.name_fancy.monster_hunter_ebba","Mercenaire chasseresse"
"heroes.name_fancy.monster_hunter_edelaide","Nomade du vent"
"heroes.name_fancy.monster_hunter_fianna","Trappeuse des forêts"
"heroes.name_fancy.monster_hunter_goretooth","Chasseur sauvage"
"heroes.name_fancy.monster_hunter_greel","Bretteur sauvage"
"heroes.name_fancy.monster_hunter_hammertusk","Barbare bien baraqué"
"heroes.name_fancy.monster_hunter_hawthorn","Voyageur chasseur"
"heroes.name_fancy.monster_hunter_hurricane","Assassin simiesque"
"heroes.name_fancy.monster_hunter_kai","Chevalier chasseur"
"heroes.name_fancy.monster_hunter_knuckles","Macaque sentinelle"
"heroes.name_fancy.monster_hunter_maheegan","Pisteur de loups"
"heroes.name_fancy.monster_hunter_malin","Guerrière aux os de titan"
"heroes.name_fancy.monster_hunter_meadow","Chasseresse tribale"
"heroes.name_fancy.monster_hunter_mistweaver","Orang-outan bagarreur"
"heroes.name_fancy.monster_hunter_njal","Chasseur du vent du Nord"
"heroes.name_fancy.monster_hunter_numbskull","Squelette maladroit"
"heroes.name_fancy.monster_hunter_otis","Épéiste chasseur"
"heroes.name_fancy.monster_hunter_revna","Chasseresse de cornaline"
"heroes.name_fancy.monster_hunter_ruadh","Chasseur des abysses"
"heroes.name_fancy.monster_hunter_sigyn","Dompteuse de scorpions"
"heroes.name_fancy.monster_hunter_sorcha","Chasseresse persévérante"
"heroes.name_fancy.monster_hunter_sorrow","Spectre gelé"
"heroes.name_fancy.monster_hunter_staintongue","Chasseur infatigable"
"heroes.name_fancy.monster_hunter_sune","Chasseur de malachite"
"heroes.name_fancy.monster_hunter_thunderclap","Gorille enragé"
"heroes.name_fancy.monster_hunter_thura","Chasseuse bénie des étoile"
"heroes.name_fancy.monster_hunter_tremor","Babouin épéiste"
"heroes.name_fancy.monster_hunter_waterpipe","Ingénieur harponneur"
"heroes.name_fancy.moth_auricarc","Mite d'élite"
"heroes.name_fancy.moth_chimister","Mite chercheuse"
"heroes.name_fancy.moth_chunkyroi","Marquis des mites"
"heroes.name_fancy.moth_furgeant","Mégamite"
"heroes.name_fancy.moth_gardered","Mite audacieuse"
"heroes.name_fancy.moth_grovevert","Éleveur de larves"
"heroes.name_fancy.moth_joyvert","Mite virtuose"
"heroes.name_fancy.moth_lilareine","Mite marquise"
"heroes.name_fancy.moth_limeboire","Tenancier mite"
"heroes.name_fancy.moth_mortewitch","Mitomancienne"
"heroes.name_fancy.moth_pepperbleu","Mite magicienne"
"heroes.name_fancy.moth_rosepetite","Jeune mite peintre"
"heroes.name_fancy.moth_satinpimenter","Ecclésiamite"
"heroes.name_fancy.moth_shyombre","Mite de l'ombre"
"heroes.name_fancy.moth_tealmoine","Mite de la brume"
"heroes.name_fancy.musketeer_aramis","Mousquetaire romantique"
"heroes.name_fancy.musketeer_aramis_costume_boulanger","Mousquetaire boulanger"
"heroes.name_fancy.musketeer_athos","Mousquetaire vétéran"
"heroes.name_fancy.musketeer_athos_costume_farrier","Mousquetaire maréchal-ferrant"
"heroes.name_fancy.musketeer_cardinal_richelieu","Notable fourbe"
"heroes.name_fancy.musketeer_constance","Mousquetaire courageuse"
"heroes.name_fancy.musketeer_dartagnan","Mousquetaire motivé"
"heroes.name_fancy.musketeer_felton","Assassin dépravé"
"heroes.name_fancy.musketeer_felton_costume_pirate","Pirate insensible"
"heroes.name_fancy.musketeer_kitty","Fleuriste amicale"
"heroes.name_fancy.musketeer_milady_de_winter","Ennemie machiavélique"
"heroes.name_fancy.musketeer_planchet","Valet vaillant"
"heroes.name_fancy.musketeer_porthos","Mousquetaire joyeux"
"heroes.name_fancy.musketeer_porthos_costume_merchant","Mousquetaire marchand"
"heroes.name_fancy.musketeer_queen_anne","Monarque élégante"
"heroes.name_fancy.musketeer_rochefort","Mécréant impitoyable"
"heroes.name_fancy.musketeer_villiers","Duc pompeux"
"heroes.name_fancy.musketeer_villiers_costume_jester","Bouffon pompeux"
"heroes.name_fancy.mystery_enigmo","Invocateur énigmatique"
"heroes.name_fancy.nature_god_balbar","Ermite botaniste"
"heroes.name_fancy.nature_god_bertila","Le Chevalier vert"
"heroes.name_fancy.nature_god_bo_and_runt","Chefs de la meute"
"heroes.name_fancy.nature_god_chloris","Esprit floral"
"heroes.name_fancy.nature_god_cinisia","Mage guerrière mélienne"
"heroes.name_fancy.nature_god_florenna","Élaphocentaure gracieux"
"heroes.name_fancy.nature_god_leadria","Reine du printemps éternel"
"heroes.name_fancy.nature_god_liora","Maraudeuse bienfaisante"
"heroes.name_fancy.nature_god_mystia","Enchanteresse envoûtante"
"heroes.name_fancy.nature_god_silvaria","Déesse de forêt"
"heroes.name_fancy.nature_god_viselus","Druide de lumière"
"heroes.name_fancy.ninja_amethyst","Assassin caché"
"heroes.name_fancy.ninja_ametrine","Ninja des lames cachées"
"heroes.name_fancy.ninja_aurum","Kunoichi fougueuse"
"heroes.name_fancy.ninja_azurite","Guetteur ninja"
"heroes.name_fancy.ninja_chikao","Assaillant silencieux"
"heroes.name_fancy.ninja_cobalt","Ninja des murmures marins"
"heroes.name_fancy.ninja_ekanite","Chef d'escouade de shinobis"
"heroes.name_fancy.ninja_garnet","Ninja de la vitalité montante"
"heroes.name_fancy.ninja_iga","Maître des kunaïs"
"heroes.name_fancy.ninja_ito","Shinobi envoûtant"
"heroes.name_fancy.ninja_jade","Ninja des étoiles dansantes"
"heroes.name_fancy.ninja_kinsaishi","Moine ninja tumultueux"
"heroes.name_fancy.ninja_kushanku","Poing de la tromperie"
"heroes.name_fancy.ninja_malum","Shinobi impitoyable"
"heroes.name_fancy.ninja_mica","Ninja des cris silencieux"
"heroes.name_fancy.ninja_morganite","Ninja des ombres insaisissables"
"heroes.name_fancy.ninja_myoinni","Seigneur surpuissant"
"heroes.name_fancy.ninja_nomad","Bourreau silencieux"
"heroes.name_fancy.ninja_oniwakamaru","Moine sombre des 999 épées"
"heroes.name_fancy.ninja_onyx","Ninja des vents insaisissables"
"heroes.name_fancy.ninja_osamu","Ninja discipliné"
"heroes.name_fancy.ninja_peridot","Ninja des toxines mortelles"
"heroes.name_fancy.ninja_quartz","Ninja des tombes silencieuses"
"heroes.name_fancy.ninja_ruby","Ninja de l'Oni rouge"
"heroes.name_fancy.ninja_sapphire","Ninja des ombres bondissantes"
"heroes.name_fancy.ninja_satsui","Kunoichi de l'ombre"
"heroes.name_fancy.ninja_sawano","Kunoichi fidèle"
"heroes.name_fancy.ninja_serandite","Ninja des flammes implacables"
"heroes.name_fancy.ninja_shale","Ninja de la vigueur volante"
"heroes.name_fancy.ninja_tametomo","Archer saboteur"
"heroes.name_fancy.ninja_topaz","Ninja de la précision absolue"
"heroes.name_fancy.ninja_tora","Chasseresse silencieuse"
"heroes.name_fancy.ninja_umeko","Ninja vénéneuse"
"heroes.name_fancy.ninja_zircon","Ninja des vagues silencieuses"
"heroes.name_fancy.nomad_axe_adventurer","Chasseur de trésors"
"heroes.name_fancy.nomad_axe_adventurer_costume_cute","Chasseur de primes cartoonesque"
"heroes.name_fancy.nomad_axe_adventurer_costume_glass","Chasseur de primes de verre"
"heroes.name_fancy.nomad_axe_adventurer_costume_magma","Chasseur de primes ardent"
"heroes.name_fancy.nomad_axe_adventurer_costume_tracker","Traqueur courageux"
"heroes.name_fancy.nomad_female_archer","Femme trappeur"
"heroes.name_fancy.nomad_female_assassin","Guerrière de la mer de sable"
"heroes.name_fancy.nomad_female_assassin_costume_cute","Pilleuse de la mer de cartoon"
"heroes.name_fancy.nomad_female_assassin_costume_dancer","Danseuse de la mer de sable"
"heroes.name_fancy.nomad_female_assassin_costume_glass","Guerrière de la mer de verre"
"heroes.name_fancy.nomad_female_assassin_costume_poison","Assassin de la mer de sable"
"heroes.name_fancy.nomad_female_berserker","Prêtresse de Dragonia"
"heroes.name_fancy.nomad_female_berserker_costume_cute","Toon de Dragonia"
"heroes.name_fancy.nomad_female_berserker_costume_glass","Vitrail de Dragonia"
"heroes.name_fancy.nomad_female_berserker_costume_shaman","Chaman de Dragonia"
"heroes.name_fancy.nomad_female_berserker_costume_sorceress","Sorcière de Dragonia"
"heroes.name_fancy.nomad_female_captain","Dame de Windemer"
"heroes.name_fancy.nomad_female_captain_costume_cute","Cartoon de Windemer"
"heroes.name_fancy.nomad_female_captain_costume_glass","Vitrail de Windemer"
"heroes.name_fancy.nomad_female_captain_costume_pirate","Terreur de Windemer"
"heroes.name_fancy.nomad_female_captain_costume_thief","Meilleure voleuse de Windemer"
"heroes.name_fancy.nomad_female_lord","Capitaine de la garde royale"
"heroes.name_fancy.nomad_female_lord_costume_cute","Capitaine des toons royaux"
"heroes.name_fancy.nomad_female_lord_costume_flame","Capitaine des flammes"
"heroes.name_fancy.nomad_female_lord_costume_glass","Capitaine de la garde de verre"
"heroes.name_fancy.nomad_female_lord_costume_wicked","Capitaine malfaisante"
"heroes.name_fancy.nomad_female_shaman","Chaman montant"
"heroes.name_fancy.nomad_female_shaman_costume_cute","Toon ascendant"
"heroes.name_fancy.nomad_female_shaman_costume_glass","Vitrail ascendant"
"heroes.name_fancy.nomad_female_shaman_costume_native","Réparateur ascendant"
"heroes.name_fancy.nomad_female_swordmaster","Candidate au trône"
"heroes.name_fancy.nomad_female_swordmaster_costume_cute","Traqueuse de toons"
"heroes.name_fancy.nomad_female_swordmaster_costume_glass","Traqueuse de verre"
"heroes.name_fancy.nomad_female_swordmaster_costume_native","Traqueuse de dieux"
"heroes.name_fancy.nomad_female_thief","Jeune voyageuse"
"heroes.name_fancy.nomad_fighter","Combattant sauvage"
"heroes.name_fancy.nomad_mage","Mage de la mer de sable"
"heroes.name_fancy.nomad_mage_costume_cute","Mage de la mer de cartoon"
"heroes.name_fancy.nomad_mage_costume_glass","Nomade de la mer de verre"
"heroes.name_fancy.nomad_mage_costume_goggles","Magicien de la mer de sable"
"heroes.name_fancy.nomad_mage_costume_stylish","Mage élégant"
"heroes.name_fancy.nomad_scout","Lame sournoise"
"heroes.name_fancy.nomad_shaman","Serviteur des anciens"
"heroes.name_fancy.nordic_ancestral_warrior","Orphelin obscur"
"heroes.name_fancy.nordic_ancestral_warrior_costume_corrupted","Héritier maléfique"
"heroes.name_fancy.nordic_ancestral_warrior_costume_cute","Cartoon des ténèbres"
"heroes.name_fancy.nordic_ancestral_warrior_costume_glass","Vitrail sombre"
"heroes.name_fancy.nordic_ancestral_warrior_costume_messenger","Messager des ténèbres"
"heroes.name_fancy.nordic_ancestral_warrior_costume_stylish","Héritier du style maléfique"
"heroes.name_fancy.nordic_chained_werewolf","Le féroce"
"heroes.name_fancy.nordic_chained_werewolf_costume_cute","Toon féroce"
"heroes.name_fancy.nordic_chained_werewolf_costume_glass","Verre féroce"
"heroes.name_fancy.nordic_chained_werewolf_costume_raccoon","Voleur d'ail"
"heroes.name_fancy.nordic_female_scout","Fille féroce"
"heroes.name_fancy.nordic_female_warrior","Guerrière exilée"
"heroes.name_fancy.nordic_ice_enchantress","Protectrice de Glaceholm"
"heroes.name_fancy.nordic_ice_enchantress_costume_aqua","Sorcière de glace de Glaceholm"
"heroes.name_fancy.nordic_ice_enchantress_costume_cute","Protectrice des toons"
"heroes.name_fancy.nordic_ice_enchantress_costume_glass","Vitrail de Glaceholm"
"heroes.name_fancy.nordic_ice_enchantress_costume_ruler","Souveraine de Glaceholm"
"heroes.name_fancy.nordic_mage","Mage de Glaceholm"
"heroes.name_fancy.nordic_mage_costume_cute","Toon de Glaceholm"
"heroes.name_fancy.nordic_mage_costume_glass","Vitrail de Glaceholm"
"heroes.name_fancy.nordic_mage_costume_hermit","Ermite de Glaceholm"
"heroes.name_fancy.nordic_male_lord","Marteau de la Justice"
"heroes.name_fancy.nordic_male_lord_costume_cute","Marteau de la puissance cartoon"
"heroes.name_fancy.nordic_male_lord_costume_glass","Marteau de verre"
"heroes.name_fancy.nordic_male_lord_costume_injustice","Marteau de l'injustice"
"heroes.name_fancy.nordic_male_lord_costume_senior","Hache de Justice"
"heroes.name_fancy.nordic_male_lord_costume_stylish","Paladin du style"
"heroes.name_fancy.nordic_swordman","Duelliste fringant"
"heroes.name_fancy.nordic_swordman_costume_climber","Escaladeur élégant"
"heroes.name_fancy.nordic_swordman_costume_cute","Cartoon talentueux"
"heroes.name_fancy.nordic_swordman_costume_glass","Duelliste de verre"
"heroes.name_fancy.nordic_swordman_costume_stylish","Duelliste élégant"
"heroes.name_fancy.nordic_warrior","Aventurier insouciant"
"heroes.name_fancy.orc_gladiator","L'inébranlable"
"heroes.name_fancy.orc_gladiator_costume_chef","Chef de fer forgé"
"heroes.name_fancy.orc_gladiator_costume_cute","Le cartoon inébranlable"
"heroes.name_fancy.orc_gladiator_costume_glass","Reflet"
"heroes.name_fancy.orc_gladiator_costume_sage","Sage sauvage"
"heroes.name_fancy.orc_gladiator_costume_stylish","Style à l'état pur"
"heroes.name_fancy.orc_skirmisher","Combattant de sang-mêlé"
"heroes.name_fancy.orc_troopmaster","L'affamé"
"heroes.name_fancy.orc_troopmaster_costume_cute","Toon affamé"
"heroes.name_fancy.orc_troopmaster_costume_glass","Vitrail affamé"
"heroes.name_fancy.orc_troopmaster_costume_gourmet","Épicurien"
"heroes.name_fancy.orc_troopmaster_costume_merchant","Le marchand"
"heroes.name_fancy.orc_warrior","Premier au combat"
"heroes.name_fancy.orc_warrior_costume_cute","Premier toon au combat"
"heroes.name_fancy.orc_warrior_costume_glass","Dernier brisé"
"heroes.name_fancy.orc_warrior_costume_urukhai","Dernier survivant"
"heroes.name_fancy.oriental_brawler","Noble défenseur"
"heroes.name_fancy.oriental_brawler_costume_cute","Bagarreur cartoonesque"
"heroes.name_fancy.oriental_brawler_costume_egypt","Noble bagarreur"
"heroes.name_fancy.oriental_brawler_costume_glass","Bagarreur de verre"
"heroes.name_fancy.oriental_enchanted_monk","Flamme du soleil"
"heroes.name_fancy.oriental_enchanted_monk_costume_cute","Cartoon solaire"
"heroes.name_fancy.oriental_enchanted_monk_costume_glass","Vitrail du soleil"
"heroes.name_fancy.oriental_enchanted_monk_costume_stoneguard","Puissance du soleil"
"heroes.name_fancy.oriental_enchanted_monk_costume_tiger","Furie du soleil"
"heroes.name_fancy.oriental_falconer","Maître tacticien"
"heroes.name_fancy.oriental_falconer_costume_cub","Maître des tigres"
"heroes.name_fancy.oriental_falconer_costume_cute","Toon tacticien"
"heroes.name_fancy.oriental_falconer_costume_dodo","Maître conservateur"
"heroes.name_fancy.oriental_falconer_costume_glass","Tacticien de verre"
"heroes.name_fancy.oriental_female_guard","Ranger de Shaguad"
"heroes.name_fancy.oriental_female_guard_costume_cute","Cartoon de Shaguad"
"heroes.name_fancy.oriental_female_guard_costume_glass","Vitrail de Shaguad"
"heroes.name_fancy.oriental_female_guard_costume_soldier","Garde de Shaguad"
"heroes.name_fancy.oriental_female_mage","Guérisseuse altruiste"
"heroes.name_fancy.oriental_female_mage_costume_cute","Soigneuse cartoonesque"
"heroes.name_fancy.oriental_female_mage_costume_glass","Guérisseuse de verre"
"heroes.name_fancy.oriental_female_mage_costume_mender","Guérisseuse magnanime"
"heroes.name_fancy.oriental_female_mystic","Suprême érudite"
"heroes.name_fancy.oriental_female_mystic_costume_cute","Érudite cartoon"
"heroes.name_fancy.oriental_female_mystic_costume_glass","Érudite de verre"
"heroes.name_fancy.oriental_female_mystic_costume_magician","Magicienne suprême"
"heroes.name_fancy.oriental_female_mystic_costume_scribe","Scribe suprême"
"heroes.name_fancy.oriental_female_mystic_costume_stylish","Érudite élégante"
"heroes.name_fancy.oriental_female_ninja","Élève ninja"
"heroes.name_fancy.oriental_female_templar","Générale sage"
"heroes.name_fancy.oriental_female_templar_costume_cute","Générale cartoonesque"
"heroes.name_fancy.oriental_female_templar_costume_fireworks","Générale des feux d'artifice"
"heroes.name_fancy.oriental_female_templar_costume_glass","Générale de verre"
"heroes.name_fancy.oriental_female_templar_costume_kimono","Assassin cérémonielle"
"heroes.name_fancy.oriental_monkey_captain","Seigneur singe"
"heroes.name_fancy.oriental_monkey_captain_costume_cute","Singe cartoonesque"
"heroes.name_fancy.oriental_monkey_captain_costume_glass","Singe de verre"
"heroes.name_fancy.oriental_monkey_captain_costume_reveller","Singe festif"
"heroes.name_fancy.oriental_monkey_captain_costume_warrior","Ronin simiesque"
"heroes.name_fancy.oriental_monkey_warrior","Guerrier singe"
"heroes.name_fancy.oriental_panda_berserker","Branche de bambou"
"heroes.name_fancy.oriental_panda_berserker_costume_cute","Branche de cartoon"
"heroes.name_fancy.oriental_panda_berserker_costume_farmer","Enfant du bambou"
"heroes.name_fancy.oriental_panda_berserker_costume_glass","Branche de verre"
"heroes.name_fancy.oriental_panda_berserker_costume_stylish","Bambou flamboyant"
"heroes.name_fancy.oriental_panda_scout","Feuille de bambou"
"heroes.name_fancy.oriental_panda_warrior","Lame de bambou"
"heroes.name_fancy.oriental_panda_warrior_costume_armor","Roi du bambou"
"heroes.name_fancy.oriental_panda_warrior_costume_cute","Toon de bambou"
"heroes.name_fancy.oriental_panda_warrior_costume_dueller","Duelliste de bambou"
"heroes.name_fancy.oriental_panda_warrior_costume_glass","Lame de verre"
"heroes.name_fancy.oriental_squire","Apprenti forgeron"
"heroes.name_fancy.oriental_warrior","Soldat d'infanterie"
"heroes.name_fancy.oriental_warrior_king","Roi inflexible"
"heroes.name_fancy.oriental_warrior_king_costume_cute","Cartoon inflexible"
"heroes.name_fancy.oriental_warrior_king_costume_glass","Vitrail inflexible"
"heroes.name_fancy.oriental_warrior_king_costume_mage","Mage tenace"
"heroes.name_fancy.oriental_warrior_king_costume_roman","Roi de Sparte"
"heroes.name_fancy.outlaw_chao_gai","Roi céleste porteur de pagode au bord de l'eau"
"heroes.name_fancy.outlaw_gu_dasao","Tigresse au bord de l'eau"
"heroes.name_fancy.outlaw_hu_sanniang","Étoile brillante au bord de l'eau"
"heroes.name_fancy.outlaw_li_kui","Buffle de fer au bord de l'eau"
"heroes.name_fancy.outlaw_lin_chong","Tête de panthère au bord de l'eau"
"heroes.name_fancy.outlaw_liu_tang","Démon roux au bord de l'eau"
"heroes.name_fancy.outlaw_lu_zhishen","Moine fleuri au bord de l'eau"
"heroes.name_fancy.outlaw_ruan_xiaoqi","Étoile destructrice au bord de l'eau"
"heroes.name_fancy.outlaw_shi_jin","Tatoué aux neufs dragons au bord de l'eau"
"heroes.name_fancy.outlaw_song_jiang","Pluie opportune au bord de l'eau"
"heroes.name_fancy.outlaw_sun_erniang","Étoile puissante au bord de l'eau"
"heroes.name_fancy.outlaw_wu_song","Tueur de tigres au bord de l'eau"
"heroes.name_fancy.outlaw_wu_yong","Étoile savante au bord de l'eau"
"heroes.name_fancy.outlaw_xiang_chong","Étoile volante au bord de l'eau"
"heroes.name_fancy.outlaw_zheng_tianshou","Sieur à face blanche au bord de l'eau"
"heroes.name_fancy.owl_cennius","Griffe cachée de la Tour du hibou"
"heroes.name_fancy.owl_eron","Ménestrel de la Tour du hibou"
"heroes.name_fancy.owl_featherino","Vaurien anxieux de la Tour du hibou"
"heroes.name_fancy.owl_fulvia","Reine de la Tour du hibou"
"heroes.name_fancy.owl_juliani","Juge de la Tour du hibou"
"heroes.name_fancy.owl_livia","Grande prêtresse de la Tour du hibou"
"heroes.name_fancy.owl_lodius","Berserker de la Tour du hibou"
"heroes.name_fancy.owl_mariol","Courtisane de la Tour du hibou"
"heroes.name_fancy.owl_olbec","Alchimiste de la Tour du hibou"
"heroes.name_fancy.owl_ommodus","Maître de la loi de la Tour du Hibou"
"heroes.name_fancy.owl_paeia","Princesse de la Tour du hibou"
"heroes.name_fancy.owl_pertinax","Paladin de la Tour du hibou"
"heroes.name_fancy.owl_relius","Herboriste de la Tour du hibou"
"heroes.name_fancy.owl_timius","Avant-garde royale de la Tour du hibou"
"heroes.name_fancy.owl_verus","Commandant des éclaireurs de la Tour du hibou"
"heroes.name_fancy.pirate_anne","Figure de proue de Corellia"
"heroes.name_fancy.pirate_boatswain","Maître d'équipage de Corellia"
"heroes.name_fancy.pirate_cabin_boy","Mousse de Corellia"
"heroes.name_fancy.pirate_cabin_boy_costume_paper","Livreur du rivage"
"heroes.name_fancy.pirate_commodore_finley","Commandant de Corellia"
"heroes.name_fancy.pirate_commodore_finley_costume_bleak","Contre-amiral blafard"
"heroes.name_fancy.pirate_dread_captain","Capitaine redouté de Corellia"
"heroes.name_fancy.pirate_dread_captain_costume_rotten","Capitaine putride de Corellia"
"heroes.name_fancy.pirate_finley","Capitaine d'armes vindicatif de Corellia"
"heroes.name_fancy.pirate_first_mate","Premier lieutenant de Corellia"
"heroes.name_fancy.pirate_lady","Dame de Corellia"
"heroes.name_fancy.pirate_lady_costume_queen","Reine rebelle"
"heroes.name_fancy.pirate_marie_therese","Reine vaudou de Corellia"
"heroes.name_fancy.pirate_marie_therese_costume_priestess","Prêtresse volâme"
"heroes.name_fancy.pirate_sally","Mascotte de Corellia"
"heroes.name_fancy.pirate_swashbuckler","Capitaine boucanier de Corellia"
"heroes.name_fancy.pirate_vodnik","Pêcheur de Corellia"
"heroes.name_fancy.rabbit_blue","Gardien du Vallon d'Or"
"heroes.name_fancy.rabbit_blue_costume_riftbreaker","Briseur de failles"
"heroes.name_fancy.rabbit_green","Champion du Vallon d'Or"
"heroes.name_fancy.rabbit_green_costume_egg_hunter","Chasseur d'œufs du Vallon d'Or"
"heroes.name_fancy.rabbit_red","Écuyer du Vallon d'Or"
"heroes.name_fancy.royal_female_knight","Championne volontaire"
"heroes.name_fancy.royal_female_knight_costume_cute","Champion cartoonesque"
"heroes.name_fancy.royal_female_knight_costume_glass","Championne de verre"
"heroes.name_fancy.royal_female_knight_costume_prospector","Chercheuse d'or déterminée"
"heroes.name_fancy.royal_female_knight_costume_winter","Champion Viking"
"heroes.name_fancy.royal_knight","Chevalier protecteur"
"heroes.name_fancy.royal_knight_commander","Porteur de Geldemain"
"heroes.name_fancy.royal_knight_commander_costume_cute","Cartoon du givre"
"heroes.name_fancy.royal_knight_commander_costume_glass","Vitrail du givre"
"heroes.name_fancy.royal_knight_commander_costume_gryphon","Commandant du givre"
"heroes.name_fancy.royal_knight_commander_costume_king","Seigneur de Geldemain"
"heroes.name_fancy.royal_knight_costume_blacksmith","Forgeron courageux"
"heroes.name_fancy.royal_knight_costume_cute","Chevalier cartoon"
"heroes.name_fancy.royal_knight_costume_glass","Chevalier de verre"
"heroes.name_fancy.royal_pikeman","Gardien sérieux"
"heroes.name_fancy.s2_ariel","Princesse de l'Atlantide"
"heroes.name_fancy.s2_ariel_costume_cute","Princesse cartoonesque de l'Atlantide"
"heroes.name_fancy.s2_ariel_costume_enchanter","Enchanteresse de l'Atlantide"
"heroes.name_fancy.s2_atlantean_robot","Observateur atlante"
"heroes.name_fancy.s2_atlantean_robot_costume_cute","Gardien atlante cartoonesque"
"heroes.name_fancy.s2_atlantean_robot_costume_sentinel","Sentinelle atlante"
"heroes.name_fancy.s2_chameleon_bruiser","Guerrier caméléon"
"heroes.name_fancy.s2_chameleon_chief","Général caméléon"
"heroes.name_fancy.s2_chameleon_chief_costume_heavyweight","Champion du monde poids lourd"
"heroes.name_fancy.s2_chameleon_mage","Chaman caméléon"
"heroes.name_fancy.s2_chameleon_mage_costume_alchemist","Alchimiste caméléon"
"heroes.name_fancy.s2_chameleon_mage_costume_cute","Chaman caméléon cartoonesque"
"heroes.name_fancy.s2_croc_man","Brute des marécages"
"heroes.name_fancy.s2_cursed_samurai","Seigneur maudit"
"heroes.name_fancy.s2_cursed_samurai_costume_beetle","Samouraï scarabée"
"heroes.name_fancy.s2_cursed_samurai_costume_cute","Seigneur maudit cartoonesque"
