"heroes.name.astral_cosmicspeaker","Cosmicspeaker"
"heroes.name.wild_cat_marnes","Marnes"
"heroes.name.wild_cat_rajesh","Rajesh"
"heroes.name.wild_cat_rawn","Rawn"
"heroes.name.wild_cat_savann","Savann"
"heroes.name.wild_cat_sharalen","Shar-alen"
"heroes.name.wild_cat_stravia","Stravia"
"heroes.name.wild_cat_thaffer","Thaffer"
"heroes.name.wild_cat_tunes","Tunes"
"heroes.name.wild_cat_vernix","Vernix"
"heroes.name.witch_king","Thoth-Amun"
"heroes.name.wonderland_alice","Alice"
"heroes.name.wonderland_bear","Bosjesbeer"
"heroes.name.wonderland_captain","Ruitenkapitein"
"heroes.name.wonderland_cheshire_cat","Kolderkat"
"heroes.name.wonderland_duchess","Hertogin"
"heroes.name.wonderland_hatter","De Hoedenmaker"
"heroes.name.wonderland_jabberwocky","Jabberwock"
"heroes.name.wonderland_king_of_hearts","Hartenkoning"
"heroes.name.wonderland_knave_of_hearts","Harten Knaap"
"heroes.name.wonderland_phoenicus","Phoenicus"
"heroes.name.wonderland_queen","Hartenkoningin"
"heroes.name.wonderland_tweedles","Tweedles"
"heroes.name.wonderland_white_rabbit","Wit Konijn"
"heroes.name.zombie","Zombie"
