"herocard.passive_skill.description.addmana.all.allies","仲間全員のマナが少量増加する。"
"herocard.passive_skill.description.summonfamiliarperturn.evolving_seedling_parasite_with_delay.enemies.sharedonceperturn","毎ターン、ランダムに敵1体に対して苗木のフィエンドをサモンする。このパッシブスキルは各チームにつき1回だけ発動する。
苗木のフィエンドは{EVOLVINGFAMILIAR1EVOLVETURNS}ターン後に新芽のフィエンドに進化する。
新芽のフィエンドは{EVOLVINGFAMILIAR2EVOLVETURNS}ターン後に開花のメガフィエンドに進化する。
回復を吸収するたびにフィエンドの進化は{EVOLVINGFAMILIAR1TURNSDELAY}ターン遅延する。

苗木のフィエンド：
攻撃力{EVOLVINGFAMILIAR1ATTACK}%、ライフ{EVOLVINGFAMILIAR1HEALTH}%

新芽のフィエンド：
攻撃力{EVOLVINGFAMILIAR2ATTACK}%、ライフ{EVOLVINGFAMILIAR2HEALTH}%

開花のメガフィエンド：
攻撃力{EVOLVINGFAMILIAR3ATTACK}%、ライフ{EVOLVINGFAMILIAR3HEALTH}%"
"herocard.passive_skill.description.summononownerdeath.slime_big_minion_blue.neartotargetexceptcaster.allies","このキャラクターが倒れると、このキャラクターの{FAMILIARHEALTHPERCENT}%のHPと{FAMILIARATTACK}%の攻撃力を持つスライムのメガミニオンが、近くにいる仲間のもとにサモンされる。"
"herocard.passive_skill.description.summononownerdeath.slime_big_minion_green.neartotargetexceptcaster.allies","このキャラクターが倒れると、このキャラクターの{FAMILIARHEALTHPERCENT}%のHPと{FAMILIARATTACK}%の攻撃力を持つスライムのメガミニオンが、近くにいる仲間のもとにサモンされる。"
"herocard.passive_skill.description.summononownerdeath.slime_big_minion_purple.neartotargetexceptcaster.allies","このキャラクターが倒れると、このキャラクターの{FAMILIARHEALTHPERCENT}%のHPと{FAMILIARATTACK}%の攻撃力を持つスライムのメガミニオンが、近くにいる仲間のもとにサモンされる。"
"herocard.passive_skill.description.summononownerdeath.slime_big_minion_red.neartotargetexceptcaster.allies","このキャラクターが倒れると、このキャラクターの{FAMILIARHEALTHPERCENT}%のHPと{FAMILIARATTACK}%の攻撃力を持つスライムのメガミニオンが、近くにいる仲間のもとにサモンされる。"
"herocard.passive_skill.description.summononownerdeath.slime_big_minion_yellow.neartotargetexceptcaster.allies","このキャラクターが倒れると、このキャラクターの{FAMILIARHEALTHPERCENT}%のHPと{FAMILIARATTACK}%の攻撃力を持つスライムのメガミニオンが、近くにいる仲間のもとにサモンされる。"
"herocard.passive_skill.description.summononreceiveddamagewiththreshold.slime_big_minion_blue","このキャラクターが、1回の攻撃で最大ライフの{DAMAGETHRESHOLD}%を失うと、自身のもとに{FAMILIARHEALTHPERCENT}%のHPと{FAMILIARATTACK}%の攻撃力を備えたスライムのメガミニオンをサモンする。"
"herocard.passive_skill.description.summononreceiveddamagewiththreshold.slime_big_minion_green","このキャラクターが、1回の攻撃で最大ライフの{DAMAGETHRESHOLD}%を失うと、自身のもとに{FAMILIARHEALTHPERCENT}%のHPと{FAMILIARATTACK}%の攻撃力を備えたスライムのメガミニオンをサモンする。"
"herocard.passive_skill.description.summononreceiveddamagewiththreshold.slime_big_minion_purple","このキャラクターが、1回の攻撃で最大ライフの{DAMAGETHRESHOLD}%を失うと、自身のもとに{FAMILIARHEALTHPERCENT}%のHPと{FAMILIARATTACK}%の攻撃力を備えたスライムのメガミニオンをサモンする。"
"herocard.passive_skill.description.summononreceiveddamagewiththreshold.slime_big_minion_red","このキャラクターが、1回の攻撃で最大ライフの{DAMAGETHRESHOLD}%を失うと、自身のもとに{FAMILIARHEALTHPERCENT}%のHPと{FAMILIARATTACK}%の攻撃力を備えたスライムのメガミニオンをサモンする。"
"herocard.passive_skill.description.summononreceiveddamagewiththreshold.slime_big_minion_yellow","このキャラクターが、1回の攻撃で最大ライフの{DAMAGETHRESHOLD}%を失うと、自身のもとに{FAMILIARHEALTHPERCENT}%のHPと{FAMILIARATTACK}%の攻撃力を備えたスライムのメガミニオンをサモンする。"
"herocard.passive_skill.description.summononstatuseffectaddition.burn.forest_guardian.statuseffectdebuffs","このキャラクターが燃焼のステータス異常を受けるたびに、森の守護者ミニオンをサモンする。森の守護者ミニオンは、このキャラクターのHPの{FAMILIARHEALTHPERCENT}%と攻撃力の{FAMILIARATTACK}%を持つ。"
"herocard.passive_skill.description.summononstatuseffectaddition.damageovertime.card_soldier_no_taunt.statuseffectdebuffs","このキャラクターが持続ダメージのステータス異常を受けるたびに、カード兵士のミニオンをサモンする。カード兵士のミニオンは、このキャラクターのHPの{FAMILIARHEALTHPERCENT}%と攻撃力の{FAMILIARATTACK}%を持つ。"
"herocard.passive_skill.description.summononstatuseffectaddition.defensemodifier.bull.none","このキャラクターが防御ステータス異常を受けるたびに、雄牛ミニオンをサモンする。雄牛ミニオンはこのキャラクターの{FAMILIARHEALTHPERCENT}%のHPと{FAMILIARATTACK}%の攻撃力を持つ。"
"herocard.passive_skill.description.summononsummon.activates_on_enemy_action.allies.owl.minion","敵が特殊スキルによってミニオンをサモンした場合に、スパロウミニオンを自身にサモンする。"
"herocard.passive_skill.description.summononsummon.activates_on_enemy_action.enemies.cursed_sapling_parasite.minion","敵が特殊スキルによってミニオンをサモンした場合、このキャラクターがその敵に対して呪われた若木のフィエンドをサモンする"
"herocard.passive_skill.description.summononsummon.activates_on_enemy_action.enemies.seedling_parasite.minion","敵が特殊スキルによってミニオンをサモンした場合、このキャラクターがその敵に対して苗木のフィエンドをサモンする。"
"herocard.passive_skill.description.taunt","このキャラクターの特殊スキルは挑発に影響されない。"
"herocard.passive_skill.description.tileenhancementonspecial.accuracymodifier.blue","このキャラクターが特殊スキルを使用すると、ボード上の氷シールドが{MODIFIER}%の命中率となり弱体化する。"
"herocard.passive_skill.description.tileenhancementonspecial.accuracymodifier.green","このキャラクターが特殊スキルを使用すると、ボード上の自然シールドが{MODIFIER}%の命中率となり弱体化する。"
"herocard.passive_skill.description.tileenhancementonspecial.accuracymodifier.purple","このキャラクターが特殊スキルを使用すると、ボード上の闇シールドが{MODIFIER}%の命中率となり弱体化する。"
"herocard.passive_skill.description.tileenhancementonspecial.accuracymodifier.red","このキャラクターが特殊スキルを使用すると、ボード上の炎シールドが{MODIFIER}%の命中率となり弱体化する。"
"herocard.passive_skill.description.tileenhancementonspecial.accuracymodifier.yellow","このキャラクターが特殊スキルを使用すると、ボード上の聖シールドが{MODIFIER}%の命中率となり弱体化する。"
"herocard.passive_skill.description.tileenhancementonspecial.criticalchancemultiplier.blue","このキャラクターが特殊スキルを使用すると、ボード上の氷シールドが{MODIFIER}%のクリティカル確率となり強化される。"
"herocard.passive_skill.description.tileenhancementonspecial.criticalchancemultiplier.green","このキャラクターが特殊スキルを使用すると、ボード上の自然シールドが{MODIFIER}%のクリティカル確率となり強化される。"
"herocard.passive_skill.description.tileenhancementonspecial.criticalchancemultiplier.purple","このキャラクターが特殊スキルを使用すると、ボード上の闇シールドが{MODIFIER}%のクリティカル確率となり強化される。"
"herocard.passive_skill.description.tileenhancementonspecial.criticalchancemultiplier.red","このキャラクターが特殊スキルを使用すると、ボード上の炎シールドが{MODIFIER}%のクリティカル確率となり強化される。"
"herocard.passive_skill.description.tileenhancementonspecial.criticalchancemultiplier.yellow","このキャラクターが特殊スキルを使用すると、ボード上の聖シールドが{MODIFIER}%のクリティカル確率となり強化される。"
"herocard.passive_skill.description.transformstatuseffectonspecialcast.minorbuff.enemies.all.transform_attackmodifier_into_attackmodifier.transform_defensemodifier_into_defensemodifier.transform_managenerationmodifier_into_managenerationmodifier","このキャラクターが特殊スキルを発動するごとに、敵の有効な解除可能なバフのうち、攻撃力、防御力、マナ生成に影響するものすべてが、それに対応する解除不可のステータス異常に変化する。

効果の変化：
{STATUSEFFECT1TURNS}ターンの間、攻撃力バフが{STATUSEFFECT1ATTACK}%の攻撃力ステータス異常に変化する。 
{STATUSEFFECT2TURNS}ターンの間、防御力バフが{STATUSEFFECT2DEFENSE}%の防御力ステータス異常に変化する。 
{STATUSEFFECT3TURNS}ターンの間、マナ生成バフが{STATUSEFFECT3MANAREGEN}%のマナ生成ステータス異常に変化する。"
"herocard.passive_skill.description.transformstatuseffectonspecialcast.minordebuff.allies.all.transform_attackmodifier_into_attackmodifier.transform_defensemodifier_into_defensemodifier.transform_managenerationmodifier_into_managenerationmodifier","このキャラクターが特殊スキルを発動するごとに、味方の有効な浄化可能なステータス異常のうち、攻撃力、防御力、マナ生成に影響するものすべてが、それに対応する解除不可のバフに変化する。

効果の変化：
{STATUSEFFECT1TURNS}ターンの間、攻撃力異常が{STATUSEFFECT1ATTACK}%の攻撃力バフに変化する。 
{STATUSEFFECT2TURNS}ターンの間、防御力異常が{STATUSEFFECT2DEFENSE}%の防御力バフに変化する。 
{STATUSEFFECT3TURNS}ターンの間、マナ生成ステータス異常が{STATUSEFFECT3MANAREGEN}%のマナ生成バフに変化する。"
"herocard.passive_skill.description.wither.all.enemies","ターン毎に、敵全員の基礎攻撃力と基礎防御力が{STATINCREASE}増加する。最大{MAXACTIVATIONCOUNT}ターンまで。"
"herocard.passive_skill.inactive","無効：発動するには最高レベルに到達し、完全にアセンドする必要がある。"
"herocard.passive_skill.replace.minordebuff.attackmodifier.to.minorbuff.attackmodifier","{TURNS}ターンの間、攻撃力異常の攻撃力が{ATTACK}%になる。"
"herocard.passive_skill.replace.minordebuff.buffimmunity.to.minorbuff.debuffshield","{TURNS}ターンの間、バフ耐性異常が異常耐性になる。"
"herocard.passive_skill.replace.minordebuff.defensemodifier.to.minorbuff.defensemodifier","{TURNS}ターンの間、防御力異常の防御力が{DEFENSE}%になる。"
"herocard.passive_skill.replace.minordebuff.healingmodifier.to.minorbuff.healmultiplier","{TURNS}ターンの間、回復軽減の回復が{HEALING}%増加する。"
"herocard.passive_skill.replace.minordebuff.managenerationmodifier.to.minorbuff.managenerationmodifier","{TURNS}ターンの間、マナ生成異常のマナ生成が{MANAREGEN}%になる。"
"herocard.passive_skill.replace.minordebuff.receiveddamagemodifier.to.minorbuff.receiveddamagemodifier","{TURNS}ターンの間、ダメージ増加ステータス異常が{DAMAGEREDUCTION}%のダメージ軽減になる。"
"herocard.passive_skill.replace.minordebuff.statuseffectreflect.to.minorbuff.reflectminordebuffs","{TURNS}ターンの間、バフ反射ステータス異常をステータス異常反射バフにする。"
"herocard.passive_skill.replace_direct_effect.attackwither","攻撃力弱化を攻撃力成長にする：攻撃力{FIXEDPOWER}。"
"herocard.passive_skill.replace_direct_effect.defensewither","防御力弱化を防御力成長にする：防御力{FIXEDPOWER}。"
"herocard.passive_skill.replace_direct_effect.dispel","バフ解除をステータス異常浄化にする。"
"herocard.passive_skill.replace_direct_effect.fiend.stylish_minion","フィエンドをスタイリッシュなミニオンにする（HP{FAMILIARHEALTHPERCENT}%、攻撃力{FAMILIARATTACK}%）。"
"herocard.passive_skill.replace_direct_effect.manareduction","マナ奪取を{POWER}%のマナ増加にする。"
"herocard.passive_skill.sidedependent.sideinfo.heroside","攻撃キャラクターとしてのパッシブスキル："
"herocard.passive_skill.sidedependent.sideinfo.opponentside","防御キャラクターとしてのパッシブスキル："
"herocard.passive_skill.title.addstatuseffectsonenemyattackbuff","敵の攻撃力が増加した場合に、ステータス効果を与える"
"herocard.passive_skill.title.addstatuseffectsonenemydefensebuff","敵の防御力が増加した場合に、ステータス効果を与える"
"herocard.passive_skill.title.addstatuseffectsonmanareduction","マナ減少時のステータス効果"
"herocard.passive_skill.title.bleed.effectondamageovertime.activates_on_enemy_action.addmana","出血時マナ"
"herocard.passive_skill.title.bleed.effectondamageovertime.activates_on_enemy_action.heal","出血時回復"
"herocard.passive_skill.title.burn.effectondamageovertime.activates_on_enemy_action.addmana","燃焼マナ"
"herocard.passive_skill.title.bypassfamiliars.minion","ミニオン貫通"
"herocard.passive_skill.title.bypassfamiliars.minion.bigminion","ミニオン超貫通"
"herocard.passive_skill.title.caststatuseffectdurationmodifier","ステータス効果持続時間延長"
"herocard.passive_skill.title.chargebasedmodifier.managenerationmodifier.dodgemodifier","飛行推進力"
"herocard.passive_skill.title.conditionaleffectovertime.addmana.everyturn.while.all.allies.haswither","弱化中のマナ"
"herocard.passive_skill.title.conditionaleffectovertime.revival.while.single.allies.hasdeadallies","一定時間経過後に甦る"
"herocard.passive_skill.title.conditionaleffectovertime.usable_once.heal.addmana.everyturn.while.single.allies.lowhealth","忍耐の力"
"herocard.passive_skill.title.convertincomingdamagetoheal.all.statuseffect","内面の美"
"herocard.passive_skill.title.convertincomingdamagetoheal.statuseffect","内面の美"
"herocard.passive_skill.title.corrosiveburncoreintrinsicchargeeffectonspecial.activates_on_ally_action.statuseffects.corrosiveburn","溶解のコア"
"herocard.passive_skill.title.corrosiveburncoreintrinsicchargeeffectonspecial.statuseffects.corrosiveburn","溶解のコア"
"herocard.passive_skill.title.corrosivecoreintrinsicchargeeffectonspecial.statuseffects.corrosivepoison","腐食コア"
"herocard.passive_skill.title.corrosivefrostcoreintrinsicchargeeffectonspecial.statuseffects.corrosivefrost","極寒のコア"
"herocard.passive_skill.title.criticalmodifier","クリティカル効果"
"herocard.passive_skill.title.criticalmodifiersupportcharacter.troop","クリティカル効果"
"herocard.passive_skill.title.critmodifier","クリティカル率効果"
"herocard.passive_skill.title.damageincreasebyinsanity.troop.specialskill.npcnormalattack","古き者たちによる烙印"
"herocard.passive_skill.title.dealtdamagemodifieragainststatuseffect.bloodlily.stacks","血の刻印"
"herocard.passive_skill.title.dealtstrongelementtroopdamage","兵団の達人"
"herocard.passive_skill.title.debuffdamagereduction","ステータス異常によるダメージの軽減"
"herocard.passive_skill.title.debuffdamagereductionsupportcharacter.troop","ステータス異常によるダメージの軽減"
"herocard.passive_skill.title.destructivecoreintrinsicchargeeffectonspecial.damage","破壊コア"
"herocard.passive_skill.title.dispelonownfamiliardeath.minion.minordebuff","ミニオンの死で浄化"
"herocard.passive_skill.title.dodgespecialdamage","特殊スキル回避"
"herocard.passive_skill.title.doubleeffectonchargedspecial.statuseffects.stackingmanagenerationmodifier.stacks","特殊スキルを累積"
"herocard.passive_skill.title.eatfamiliarsonspecialcast.parasite.allies.single","特殊スキルでフィエンドを破壊する"
"herocard.passive_skill.title.eatfamiliarswitheffectpereatenfamiliarovertime.addmana","時間の経過と共に、ミニオンを食べてマナを増加させる"
"herocard.passive_skill.title.effectondamagedone.bufftoremove.minordebuff.latest.safe.specialskill.only_criticals.once","クリティカル特殊攻撃時の浄化"
"herocard.passive_skill.title.effectondamagedone.healthboost.specialskill.only_criticals.once","クリティカル特殊攻撃時のHPブースト"
"herocard.passive_skill.title.effectondamagedonetohealthiertarget.healthboost.specialskill.once.effectondamagereceivedfromhealthierattacker.addmana.specialskill","正義の反乱"
"herocard.passive_skill.title.effectondamagereceived.addmana.specialskill","特殊ダメージによるマナ"
"herocard.passive_skill.title.effectondamagereceived.addmana.troop.npcnormalattack.specialskill","被ダメージによるマナ"
"herocard.passive_skill.title.effectondamagereceived.damage.specialskill.statuseffectskill.cover","特殊スキル使用時に仲間をかばう"
"herocard.passive_skill.title.effectondamagereceived.none.specialskill.exclude.statuseffect.stacking_attack_on_damage_received_passive","被ダメージ時の累積効果攻撃力"
"herocard.passive_skill.title.effectondamagereceived.none.specialskill.exclude.statuseffect.stacking_attack_on_damage_received_passive_pve","被ダメージ時の累積効果攻撃力"
"herocard.passive_skill.title.effectondispel.activates_on_ally_action.healthboost.minordebuff.removalreason.dispel.activates_on_dispel_cast.valid_caster_side.allies","仲間による浄化試行時のHPブースト"
"herocard.passive_skill.title.effectondispel.activates_on_enemy_action.damage.minordebuff.removalreason.dispel.activates_on_dispel_cast.valid_caster_side.enemies","敵による浄化試行時のダメージ"
"herocard.passive_skill.title.effectondispel.addmana.minorbuff","解除時マナ増加"
"herocard.passive_skill.title.effectondispel.addmana.minorbuff.removalreason.dispel","バフ解除時マナ増加"
"herocard.passive_skill.title.effectondispel.heal.statuseffectdebuffs.removalreason.dispel.removal.reallocation.expiration","ステータス異常が終了するか浄化されると回復する"
"herocard.passive_skill.title.effectondispel.healthboost.minorbuff.removalreason.dispel","バフ解除時HPブースト獲得"
"herocard.passive_skill.title.effectonfamiliardamagedone.minion.frost","ミニオン攻撃時のフロスト付与"
"herocard.passive_skill.title.effectonheal.addmana","HP回復時にマナ増加"
"herocard.passive_skill.title.effectonheal.heal","ライフ回復時の回復量が増加"
"herocard.passive_skill.title.effectonhealsupportcharacter.troop.heal","回復量増加"
"herocard.passive_skill.title.effectonmanareduction.statuseffects.attackmodifier","マナ減少時のステータス効果"
"herocard.passive_skill.title.effectonmanareduction.statuseffects.yellowdefensemodifier","マナ減少時のステータス効果"
"herocard.passive_skill.title.effectonresist.activates_on_enemy_action.healthboost.addmana.once","抵抗時にライフブースト&マナを獲得"
"herocard.passive_skill.title.effectonspecialcastwitheffecttype.activates_on_enemy_action.addmana.on_healthboost_cast","特殊スキルでライフブースト時にマナを獲得"
"herocard.passive_skill.title.effectonspecialcastwitheffecttype.activates_on_enemy_action.healthboost.on_healthboost_cast","敵HPブースト時のセルフHPブースト"
"herocard.passive_skill.title.effectonspecialchancepermanaspeed","特殊スキルの効果"
"herocard.passive_skill.title.effectonspecialskilldamagedone.bufftoremove.minordebuff.safe.only_criticals","クリティカル特殊攻撃時の浄化"
"herocard.passive_skill.title.effectonspecialskilldamagedone.healthboost.only_criticals","クリティカル特殊攻撃時のHPブースト"
"herocard.passive_skill.title.effectonspecialskilldamagereceived.healthboost.only_criticals","クリティカル特殊攻撃時のHPブースト"
"herocard.passive_skill.title.effectonspecialwithchance.activates_on_enemy_action.healthboost","敵のフルチャージ時にHPブーストを発動"
"herocard.passive_skill.title.effectonspecialwithchance.addmana","特殊スキルによるマナ"
"herocard.passive_skill.title.effectonspecialwithchance.bufftoremove.minorbuff.latest","特殊スキルで解除"
"herocard.passive_skill.title.effectonspecialwithchance.bufftoremove.minordebuff.latest","特殊スキルで浄化"
"herocard.passive_skill.title.effectonspecialwithchance.damage","特殊スキルによるダメージ"
"herocard.passive_skill.title.effectonspecialwithchance.heal","特殊スキルによるHP回復"
"herocard.passive_skill.title.effectonspecialwithchance.healthboost","特殊スキルでHPブーストを獲得"
"herocard.passive_skill.title.effectonspecialwithchance.statuseffects","特殊スキルによるステータス効果"
"herocard.passive_skill.title.effectonspecialwithchance.statuseffects.bleeding","特殊効果で出血"
"herocard.passive_skill.title.effectonspecialwithchance.statuseffects.curseofdoom","特殊スキルで呪い"
"herocard.passive_skill.title.effectonspecialwithchance.statuseffects.damageovertime","一定期間の特殊スキルによるダメージ"
"herocard.passive_skill.title.effectonspecialwithchance.statuseffects.extradamageagainstboostedhealth","ブーストHPに対するダメージ増加"
"herocard.passive_skill.title.effectonspecialwithchance.statuseffects.huntersmark","一定期間の特殊スキルによるダメージ"
"herocard.passive_skill.title.effectonspecialwithchance.statuseffects.managenerationmodifier","特殊スキルによるステータス効果"
"herocard.passive_skill.title.effectonspecialwithchance.statuseffects.poison","特殊スキルで毒を付与"
"herocard.passive_skill.title.effectonspecialwithchance.statuseffects.possession","特殊スキル時のマインドレスアタック"
"herocard.passive_skill.title.effectonspecialwithchance.statuseffects.underwater","一定期間の特殊スキルによるダメージ"
"herocard.passive_skill.title.effectonspecialwithmanaspeedthreshold.activates_on_enemy_action.damage.faster.average.once","敵が特殊スキル使用時にダメージを付与"
"herocard.passive_skill.title.effectonstatuseffectaddition.activates_on_enemy_action.addmana.allbuffs.taunt","マナ挑発"
"herocard.passive_skill.title.effectonstatuseffectaddition.activates_on_enemy_action.addmana.statuseffectbuffs.defensemodifier.once","敵が防御力バフ使用時マナ増加"
"herocard.passive_skill.title.effectonstatuseffectaddition.activates_on_enemy_action.statuseffects.ubertitanstackingattackmodifier.allbuffs.defensemodifier","敵の防御力が増加した場合に、ステータス効果を与える"
"herocard.passive_skill.title.effectonstatuseffectaddition.activates_on_enemy_action.statuseffects.ubertitanstackingreceiveddamagemodifier.allbuffs.attackmodifier","敵の攻撃力が増加した場合に、ステータス効果を与える"
"herocard.passive_skill.title.effectonstatuseffectaddition.addmana.allbuffs","バフを受けるごとのマナ"
"herocard.passive_skill.title.effectonstatuseffectaddition.addmana.alldebuffs","ステータス異常を受けるごとのマナ"
"herocard.passive_skill.title.effectonstatuseffectaddition.heal.allbuffs","バフを受けるごとのライフ回復"
"herocard.passive_skill.title.effectonstatuseffectaddition.heal.alldebuffs","ステータス異常によるライフ回復"
"herocard.passive_skill.title.effectonstatuseffectaddition.statuseffects.managenerationmodifier.alldebuffs","ステータス異常を
受けるごとにマナバフ"
"herocard.passive_skill.title.effectonstatuseffectadditionwithchance.addmana.allbuffs","バフを受けるごとのマナ"
"herocard.passive_skill.title.effectonstatuseffectadditionwithchance.heal.allbuffs","バフを受けるごとのライフ回復"
"herocard.passive_skill.title.effectonstatuseffectremovalbyspecial.activates_on_ally_action.healthboost","状態異常解除時のHPブースト"
"herocard.passive_skill.title.effectonstatuseffectremovalbyspecial.activates_on_enemy_action.damage","状態異常解除時のダメージ"
"herocard.passive_skill.title.effectovertime.revival","一定時間経過後に甦る"
"herocard.passive_skill.title.effectovertimeperstatuseffect.addmana.everyturn.per.statuseffectbuffs.enemies","敵のバフ数に応じてマナ獲得"
"herocard.passive_skill.title.effectovertimeperstatuseffect.healthboost.everyturn.per.poison.statuseffectdebuffs.enemies","毒状態時にHPボーナス"
"herocard.passive_skill.title.effectsonminionreceived.activates_on_ally_action.addmana.allies.minion","ミニオンサモン時のマナ"
"herocard.passive_skill.title.effectsonminionreceived.activates_on_ally_action.heal.addmana.allies.minion","使い魔の友"
"herocard.passive_skill.title.effectsonparasitereceived.activates_on_enemy_action.addmana.enemies.parasite","フィエンドサモン時のマナ"
"herocard.passive_skill.title.effectsonparasitereceived.activates_on_enemy_action.damage.enemies.parasite","ペットの怒り"
"herocard.passive_skill.title.effectsonparasitereceived.activates_on_enemy_action.healthboost.enemies.parasite","フィエンドサモン時のHPブースト"
"herocard.passive_skill.title.familiaraccuracymodifier.all.enemies.minion.bigminion","ミニオンブラインド"
"herocard.passive_skill.title.familiarcoreintrinsicchargeeffectonspecial.summonfamiliar.construct_minion_core","ミニオンコア"
"herocard.passive_skill.title.familiarhealthmodifier.all.enemies.bigminion.decrease","メガミニオン弱体化"
"herocard.passive_skill.title.familiarhealthmodifier.all.enemies.minion.decrease","ミニオン弱体化"
"herocard.passive_skill.title.familiarsilencer.all.enemies.bigminion","メガミニオン阻止"
"herocard.passive_skill.title.familiarsilencer.all.enemies.minion.follower","ミニオン阻止"
"herocard.passive_skill.title.frost.effectondamageovertime.activates_on_enemy_action.addmana","フロスト付与時マナ増加"
"herocard.passive_skill.title.glass_reflect_debuffs","ガラス"
"herocard.passive_skill.title.growth","成長"
"herocard.passive_skill.title.guaranteedeffectonspecial","特殊スキルの効果確定発動"
"herocard.passive_skill.title.healmodifier.all.enemies.decrease","回復量低下"
"herocard.passive_skill.title.healonheal.heal","回復量増加"
"herocard.passive_skill.title.healonownfamiliardeath.minion","倒れたミニオンによるライフ"
"herocard.passive_skill.title.healonownfamiliardeath.minion.healthboost","倒れたミニオンによるライフブースト"
"herocard.passive_skill.title.increasedattackperelement.enemies.not.green","自然属性以外の敵1体につき、攻撃力が増加する"
"herocard.passive_skill.title.increasedattackperelement.enemies.not.red","炎属性以外の敵1体につき、攻撃力が増加する"
"herocard.passive_skill.title.increaseddamageagainstfamiliars.minion.bigminion","ミニオンとメガミニオンに追加ダメージ"
"herocard.passive_skill.title.increaseddamageagainstminions","ミニオンに対するダメージが増加する"
"herocard.passive_skill.title.increasedspecialdamageagainsttaunt.taunt","挑発に対するダメージが増加する"
"herocard.passive_skill.title.increasespecialdamage","特殊スキルによるダメージの増加"
"herocard.passive_skill.title.increasespecialdamage.usable_once","特殊スキルによるダメージの増加"
"herocard.passive_skill.title.increasespecialdamagesupportcharacter.troop","特殊スキルによるダメージの増加"
"herocard.passive_skill.title.insanitydamagereduction","古の者の刻印"
"herocard.passive_skill.title.iterateeffectonspecial","特殊スキルの効果追加発動"
"herocard.passive_skill.title.league_accuracy_modifier_against_family","不利リーグ"
"herocard.passive_skill.title.league_featured_family_resist","有利リーグ"
"herocard.passive_skill.title.league_heal_modifier_against_family","不利リーグ"
"herocard.passive_skill.title.league_heal_modifier_for_family","有利リーグ"
"herocard.passive_skill.title.league_received_damage_modifier_against_non_featured_family","有利リーグ"
"herocard.passive_skill.title.managenerationmodifier.all.enemies","マナ妨害"
"herocard.passive_skill.title.manaonownfamiliardeath.minion","ミニオン死亡時のマナ"
"herocard.passive_skill.title.manaonstatuseffect.debuff","異常のマナ"
"herocard.passive_skill.title.memorizefamiliars.activates_on_enemy_action","敵のミニオンとフィエンドを記憶"
"herocard.passive_skill.title.memorizestatuseffects","ステータス異常を記憶"
"herocard.passive_skill.title.mimic_dread_damage_minions","恐怖"
"herocard.passive_skill.title.mimiclootonlevelcompleted","ミミックの戦利品"
"herocard.passive_skill.title.nevermissspecial","百発百中の命中率"
"herocard.passive_skill.title.ransack","盗人の好機"
"herocard.passive_skill.title.reallocatestatuseffectonspecialcast.damage.minorbuff.newest","バフ奪取"
"herocard.passive_skill.title.reallocatestatuseffectonspecialcast.heal.minordebuff.newest","ハンターの勘"
"herocard.passive_skill.title.receivedstrongelementsupportcharacterdamage","兵団の達人"
"herocard.passive_skill.title.receivedstrongelementsupportcharacterdamage.increase.dragon","強化ファイヤーボールダメージ増加"
"herocard.passive_skill.title.redirectlethaldamage.enemies.single","裏切りの死"
"herocard.passive_skill.title.remove_growth_from_enemies","ガードラリー"
"herocard.passive_skill.title.remove_wither_from_allies","ガードラリー"
"herocard.passive_skill.title.repaircoreintrinsicchargeeffectonspecial.healthboost","修復コア"
"herocard.passive_skill.title.repeat_special_once","幸運"
"herocard.passive_skill.title.resist.accuracymodifiers","暗闇耐性"
"herocard.passive_skill.title.resist.alldebuffs","ステータス異常に抵抗"
"herocard.passive_skill.title.resist.alldebuffs.alldebuffs","すべての異常への耐性を持つ"
"herocard.passive_skill.title.resist.alldebuffs.manareduction.buffdispels","エイペックス耐性"
"herocard.passive_skill.title.resist.alldefensemodifiers.alldebuffs","防御力異常耐性"
"herocard.passive_skill.title.resist.alldefensemodifiers.defensewither.alldebuffs","防御力低下耐性"
"herocard.passive_skill.title.resist.allmanaeffects.alldebuffs","マナ異常耐性"
"herocard.passive_skill.title.resist.allmanaeffects.manareduction.alldebuffs","マイナスマナ効果耐性"
"herocard.passive_skill.title.resist.allstatuseffectdamage.none","ステータス効果によるダメージ耐性"
"herocard.passive_skill.title.resist.attackdelay","耐性攻撃の遅延"
"herocard.passive_skill.title.resist.attackmodifiers","攻撃力異常耐性"
"herocard.passive_skill.title.resist.attackmodifiers.allstatuseffectsandstacks","攻撃ステータス
効果耐性"
"herocard.passive_skill.title.resist.attackmodifiers.attackwither.alldebuffs","攻撃力低下耐性"
"herocard.passive_skill.title.resist.bleed","出血耐性"
"herocard.passive_skill.title.resist.bleed.with_effect.healthboost.addmana","強化出血耐性"
"herocard.passive_skill.title.resist.buffdispels","解除耐性"
"herocard.passive_skill.title.resist.buffimmunity","バフブロック耐性"
"herocard.passive_skill.title.resist.burn","燃焼耐性"
"herocard.passive_skill.title.resist.burn.with_effect.healthboost.addmana","強化燃焼抵抗"
"herocard.passive_skill.title.resist.criticalhits.none","クリティカル攻撃耐性"
"herocard.passive_skill.title.resist.defensemodifiers.alldebuffs","防御力異常耐性"
"herocard.passive_skill.title.resist.familiarremoval.familiarsilence.familiarreceivingblocking.minion","無敵のミニオン"
"herocard.passive_skill.title.resist.frost","フロスト抵抗"
"herocard.passive_skill.title.resist.frost.with_effect.healthboost.addmana","強化フロスト抵抗"
"herocard.passive_skill.title.resist.healeffects","回復異常耐性"
