"specials.name.a_cozy_break","En mysig paus"
"specials.name.invigorating_soup","Stärkande soppa"
"specials.name.invisible_strike","Osynligt slag"
"specials.name.iron_discipline_cut","Disciplinerat hugg"
"specials.name.iron_rocket_fist","Järnraketnäve"
"specials.name.ironbound_fury","Järnbundet raseri"
"specials.name.jab_and_hook","Jabb och krok"
"specials.name.jack_of_owl_trades","Ugglekunnig"
"specials.name.jackal_strike","Schakalanfall"
"specials.name.jade_blades","Jadeklingor"
"specials.name.jaw_clamp","Spridande fällor"
"specials.name.jaws_of_the_river","Flodens käftar"
"specials.name.jewel_of_the_deep","Djupets juvel"
"specials.name.join_in_joyful_song","Stäm upp i lycklig sång"
"specials.name.joyful_noise","Lyckligt ljud"
"specials.name.joyful_palette","Lycklig palett"
"specials.name.judgement_of_goo","Geggans dom"
"specials.name.judgment_and_penance","Dom och straff"
"specials.name.judgment_of_sun","Solens dom"
"specials.name.juggling_trials","Jonglerande prövningar"
"specials.name.jungle_fury","Djungelvrede"
"specials.name.jungle_riposte","Djungelkontring"
"specials.name.jungle_slash","Träskhugg"
"specials.name.just_a_flesh_wound","Bara ett köttsår"
"specials.name.karnov","Storstryk"
"specials.name.katana_rain","Katanaregn"
"specials.name.katana_rain_pve","Katanaregn"
"specials.name.keep_the_peace","Bevara freden"
"specials.name.keyknife_typhoon","Nyckelknivsstorm"
"specials.name.khans_order","Khans order"
"specials.name.kindled_carpet","Antänd matta"
"specials.name.kings_blood_poisoning","Sorgenatt"
"specials.name.kings_curse","Sandstorm"
"specials.name.kings_curse_pve","Sandstorm"
"specials.name.kings_feast","Kungens festmåltid"
"specials.name.kite_of_endurance","Uthållighetsdrake"
"specials.name.kitten_stampede","Kattrusning"
"specials.name.knights_armor","Riddarrustning"
"specials.name.knights_fury","Riddarvrede"
"specials.name.knights_parry","Riddarparering"
"specials.name.kong_smash","Gorillakross"
"specials.name.kunai_assault","Kunai-anfall"
"specials.name.lacerating_leap","Skärande hopp"
"specials.name.lacerating_letters","Skärande ord"
"specials.name.lacerating_whip","Skärande piska"
"specials.name.ladys_charm","Kvinnas charm"
"specials.name.ladys_flowers","Kvinnas blommor"
"specials.name.lament_of_the_hunt","Jaktklagan"
"specials.name.lance_of_avarice","Girighetens lans"
"specials.name.lance_of_torment","Plågornas lans"
"specials.name.lance_thrust","Lansstöt"
"specials.name.landslide","Jordskred"
"specials.name.lantern_of_insanity","Vansinnets lykta"
"specials.name.larva_prescription","Larvrecept"
"specials.name.lash_of_the_whip","Piskrapp"
"specials.name.lasso_of_love","Kärlekens lasso"
"specials.name.last_words","Sista orden"
"specials.name.laundry_day","Tvättdag"
"specials.name.lava_blast","Lavaexplosion"
"specials.name.lava_spit","Lavaspott"
"specials.name.lava_splash_dragon_pve","Andeeldsplask"
"specials.name.lavablow","Flamanfall"
"specials.name.lavablow_pve","Flamanfall"
"specials.name.lavaslash","Lavahugg"
"specials.name.leaf_blast","Lövskott"
"specials.name.leafglow_bloom","Blomstrande bladglans"
"specials.name.leaping_attack","Hoppattack"
"specials.name.leeching_saw","Sugande såg"
"specials.name.leeching_stars","Sugande stjärnor"
"specials.name.leeching_worms","Sugande maskar"
"specials.name.legacy_of_darkness","Mörkrets arv"
"specials.name.legerdemain","Legerdemain"
"specials.name.legerdemain_heart","Kors"
"specials.name.legerdemain_joker","Stjärnor"
"specials.name.legerdemain_skull","Skalle"
"specials.name.legions_of_darkness","Mörkrets legioner"
"specials.name.legions_of_tyrant","Tyrannens legioner"
"specials.name.lethal_needles","Dödliga nålar"
"specials.name.lethal_needles2","Dödliga nålar"
"specials.name.levitating_lunchbox_deluxe","Svävande lyxig lunchlåda"
"specials.name.lifeforce_leech","Livsigel"
"specials.name.light_barrier_dragon_pve","Ljusbarriär"
"specials.name.light_grenades","Ljusgranater"
"specials.name.light_grenades2","Ljusgranater"
"specials.name.light_my_fire","Tänd på seger"
"specials.name.lightning_charge","Blixtanfall"
"specials.name.lightning_stream","Blixtström"
"specials.name.lightning_stream2","Blixtström"
"specials.name.lightning_ultimatum","Blixtultimatum"
"specials.name.lightning_ultimatum_pve","Blixtultimatum"
"specials.name.litter_of_kittens","Kull med kattungar"
"specials.name.liturgy_of_the_fallen","Gudstjänst för de fallna"
"specials.name.looking_for_love","Letar efter kärlek"
"specials.name.lookouts_refreshment","Utkikens förfriskning"
"specials.name.loom_of_destruction","Förödelsens vävstol"
"specials.name.lord_of_the_jungle","Djungelns herre"
"specials.name.lords_blood_poisoning","Sorgegryning"
"specials.name.love_at_first_sight","Kärlek vid första ögonkastet"
"specials.name.love_conquers_all","Kärleken övervinner allt"
"specials.name.love_conquers_all_pve","Kärleken övervinner allt"
"specials.name.loving_queen","Kärleksfull drottning"
"specials.name.lucky_coin","Turmynt"
"specials.name.lucky_nine","Turnia"
"specials.name.luminescent_electrocution","Lysande elchock"
"specials.name.luminous_lance","Lysande lans"
"specials.name.lunar_blessing","Månens välsignelse"
"specials.name.lunar_blessing_moon_beam","Månstråle"
"specials.name.lunar_bloom","Månblomma"
"specials.name.lunar_locket","Månmedaljong"
"specials.name.lunar_shield","Månsköld"
"specials.name.lunar_spear","Månspjut"
"specials.name.luring_song","Lockande sång"
"specials.name.machinists_cutlass","Maskinistens svärd"
"specials.name.mad_as_a_hatter","Galen som en hattmakare"
"specials.name.mad_rat_mania","Råttmani"
"specials.name.mad_tea_party","Tokigt tekalas"
"specials.name.madrigal_of_mayhem","Förödande madrigal"
"specials.name.mageball_blast","Magibollsexplosion"
"specials.name.mageball_blast_pve","Magibollsexplosion"
"specials.name.magic_mirror_of_power","Kraftens magiska spegel"
"specials.name.magical_balan","Magisk balan"
"specials.name.magical_sword","Magiskt svärd"
"specials.name.magma_boulders","Magmabumlingar"
"specials.name.magma_smash","Magmakross"
"specials.name.magmatic_burns","Magmatiska brännskador"
"specials.name.magmatic_tempest","Magmastorm"
"specials.name.magnificent_meal","Magnifik måltid"
"specials.name.maidens_command","Jungfruns order"
"specials.name.maidens_orders","Jungfruns befallning"
"specials.name.make_them_harmless","Oskadliggör dem"
"specials.name.malevolent_toys","Hemska leksaker"
"specials.name.malison_of_the_wildlands","Förhäxning från vildmarken"
"specials.name.mallet_swing_of_the_beast","Bestens klubbsving"
"specials.name.mana_immolation","Manauppbränning"
"specials.name.mana_manipulation","Manamanipulation"
"specials.name.mana_scavange","Manaplundring"
"specials.name.mana_stealer","Profetens öga"
"specials.name.mantis_strike","Bönsyrsans attack"
"specials.name.marble_frenzy","Marmorvrede"
"specials.name.marc","Galen stöt"
"specials.name.mark_of_anubis","Anubis-märke"
"specials.name.mark_of_fire","Eldtecken"
"specials.name.mark_of_ivy","Växtmärke"
"specials.name.mark_of_nature","Naturtecken"
"specials.name.mark_of_the_jackal","Schakalens märke"
"specials.name.mark_the_prey","Markera bytet"
"specials.name.marked_aim","Markerat mål"
"specials.name.martial_dance","Dansande lätt"
"specials.name.martial_masterstroke","Kampsportsgenidrag"
"specials.name.martial_prowess","Krigstalang"
"specials.name.masons_rage","Stenläggarens ilska"
"specials.name.massive_bite","Massivt bett"
"specials.name.massive_chop","Massivt slag"
"specials.name.massive_cleave","Enorm köttyxa"
"specials.name.massive_swing","Massivt sving"
"specials.name.master_of_ailments","Effektmästare"
"specials.name.master_plan","Mästerlig plan"
"specials.name.masterful_balance","Mästerlig balans"
"specials.name.masterful_manipulation","Mästerlig manipulering"
"specials.name.mauling_tusk","Spetsande bete"
"specials.name.mean_jab_dragon_pve","Elak jabb"
"specials.name.mechanical_augmentations","Mekaniska förstärkningar"
"specials.name.medicinal_drool","Medicinskt dregel"
"specials.name.medicinal_fumes","Medicinångor"
"specials.name.melody_harvest","Melodiskörd"
"specials.name.melody_of_mana_control","Manakontrollens melodi"
"specials.name.melody_of_misery","Misärens melodi"
"specials.name.memory_manipulation","Minnesmanipulering"
"specials.name.memory_of_the_queen","Kejsarinnans minne"
"specials.name.mending_bronze_axe","Läkande bronsyxa"
"specials.name.mending_mantra","Läkande mantra"
"specials.name.mending_stitches","Läkande stygn"
"specials.name.merciless_bite","Skoningslöst bett"
"specials.name.merciless_execution","Skoningslös avrättning"
"specials.name.merciless_pulverizer","Skoningslös krossare"
"specials.name.merriest_misery","Lyckligaste olyckan"
"specials.name.mesmerizing_mirror","Förhäxande spegel"
"specials.name.miasma_mace","Dimklubba"
"specials.name.midnight_magic","Midnattsmagi"
"specials.name.midnight_moon","Midnattsmåne"
"specials.name.midnight_smite","Midnattsförödelse"
"specials.name.midnight_strike","Midnattsslag"
"specials.name.midsummers_dream","Midsommardröm"
"specials.name.midsummers_reverie","Midsommarfantasi"
"specials.name.might_of_ares","Ares makt"
"specials.name.might_of_excalibroom","Excalibrooms makt"
"specials.name.might_of_the_ice_giants","Isjättarnas makt"
"specials.name.might_of_the_ice_giants_final","Isjättarnas makt"
"specials.name.mimic_bite","Härmarbett"
"specials.name.mimic_bite_burn","Frätande bett"
"specials.name.mimic_bite2","Hiskeligt härmarbett"
"specials.name.mimic_bite3","Härmargirighet"
"specials.name.mimic_bite4","Härmarprovokation"
"specials.name.mimic_special","Listigt monster"
"specials.name.mimic_special2","Listigt monster"
"specials.name.mimic_training_hero_blue_bite","Girig slukning"
"specials.name.mimic_training_hero_green_bite","Girig slukning"
"specials.name.mimic_training_hero_purple_bite","Girig slukning"
"specials.name.mimic_training_hero_red_bite","Girig slukning"
"specials.name.mimic_training_hero_yellow_bite","Girig slukning"
"specials.name.mind_blast","Psykattack"
"specials.name.mindless_attack","Vettlös attack"
"specials.name.minion_scrutiny","Undersåtegranskning"
"specials.name.mischievous_flourish","Illasinnad briljans"
"specials.name.mischievous_flourish_pve_advanced","Illasinnad briljans"
"specials.name.mischievous_flourish_pve_normal","Illasinnad briljans"
"specials.name.mischievous_tiein","Illasinnad anknytning"
"specials.name.missile_mania","Missilmani"
"specials.name.mist_of_the_fallen","De fallnas dimma"
"specials.name.mistletoe_medley","Mistelmischmasch"
"specials.name.misty_punches","Dimmiga slag"
"specials.name.mixed_green_herbs","Blandade gröna örter"
"specials.name.molten_wax","Smält vax"
"specials.name.monastic_restraint","Klosterlöfte"
"specials.name.monstrous_bite","Monstruöst bett"
"specials.name.moody_jab_dragon_pve","Vresig jabb"
"specials.name.mooing_for_a_fight","Muar gräl"
"specials.name.moon_boomerang","Månbumerang"
"specials.name.moon_crush_beam","Krossande månstråle"
"specials.name.moonlight_crescendo","Månskenscrescendo"
"specials.name.moonlight_serenade","Månskenssonat"
"specials.name.moonlight_sonata","Månskenssonata"
"specials.name.moonstone_glare_dragon_pve","Månstensblick"
"specials.name.moreau_phase1_special","Förblindande ondska"
"specials.name.moreau_phase2_special1","Förblindande ondska"
"specials.name.moreau_phase2_special2","Förblindande ondska"
"specials.name.morning_catch","Morgonfångst"
"specials.name.mother_dragons_love","Drakmoderns kärlek"
"specials.name.motherly_care","Modersomsorg"
"specials.name.motherly_care_pve","Modersomsorg"
"specials.name.motherly_love","Moderskärlek"
"specials.name.muffin_poisoning","Muffinförgiftning"
"specials.name.multi_elemental_mark","De många elementens tecken"
"specials.name.multi_throw","Multikast"
"specials.name.mummy_slash","Mumiehugg"
"specials.name.mummy_strike","Mumieanfall"
"specials.name.musketeers_deal","Musketörens överenskommelse"
"specials.name.musketeers_mead","Musketörsmjöd"
"specials.name.mutated_specimen","Muterat exempel"
"specials.name.mutating_mixture","Muterande mix"
"specials.name.mystery_potions","Mystiska brygder"
"specials.name.mystic_chop","Mystiskt slag"
"specials.name.mystical_concerto","Mystisk konsert"
"specials.name.mystics_virtue","Mystikerns dygd"
"specials.name.mythic_lightning","Mytomspunnen blixt"
"specials.name.nasty_hammer","Hemsk hammare"
"specials.name.natures_blessing","Bärsärkagång"
"specials.name.natures_connection","Naturens harmoni"
"specials.name.natures_fury","Naturens vrede"
"specials.name.natures_payback","Naturens hämnd"
"specials.name.nebula_orb","Nebulosaklot"
"specials.name.nebula_orb_ultimate_boss","Nebulosaklot"
"specials.name.necronomicon_page_13","Necronomicon, sida 13"
"specials.name.nephrite_blade","Nefritklinga"
"specials.name.nethershield","Nedersköld"
"specials.name.never_ending_winter","Oändlig vinter"
"specials.name.night_falls","Natten faller"
"specials.name.night_of_crimes","Brottsnatten"
"specials.name.nightbloom_dust","Nattblommans pulver"
"specials.name.nightglade_pollen","Nattgläntans pollen"
"specials.name.nights_whisper","Nattviskning"
"specials.name.nimble_bite","Flinkt bett"
"specials.name.nine_dragon_strike","Nio drakarnas angrepp"
"specials.name.nobles_empathy","Adelns empati"
"specials.name.nobles_empathy_costume_artisan","Kalligrafens empati"
"specials.name.nomadic_hymn","Nomadhymn"
"specials.name.northern_wanderer","Fröjdfull förstärkning"
"specials.name.noxious_blossom","Giftig blomning"
"specials.name.noxious_chord","Skadlig klang"
"specials.name.noxious_cleave","Fördärvande klyvning"
"specials.name.noxious_cleave_pve","Fördärvande klyvning"
"specials.name.nuts_of_yggdrasil","Yggdrasils nötter"
"specials.name.oath_of_templar","Tempelriddarnas ed"
"specials.name.obliterating_surge","Utplånande svall"
"specials.name.ocarina_windsong","Okarina-vindsång"
"specials.name.occult_redemption","Ockult upprättelse"
"specials.name.ocean_vortex","Havsvirvel"
"specials.name.oceanic_offensive","Havsstormning"
"specials.name.oceanic_slayer","Vågdräpare"
"specials.name.oceanic_suffering","Havskval"
"specials.name.oceans_decay","Havets fördärv"
"specials.name.oceans_embrace","Havets famn"
"specials.name.oceans_ruin","Oceanens ruin"
"specials.name.odd_drum_roll","Udda trumvirvel"
"specials.name.oji_waza","Oji-waza"
"specials.name.old_curse","Gammal förbannelse"
"specials.name.omega_flame","Omegaslag"
"specials.name.omega_strike_dark","Omegaslag"
"specials.name.omega_strike_fire","Omegaslag"
"specials.name.omega_strike_holy","Omegaslag"
"specials.name.omega_strike_ice","Omegaslag"
"specials.name.omega_strike_nature","Omegaslag"
"specials.name.omen_of_retribution","Vedergällningens omen"
"specials.name.omnicure","Universalmedel"
"specials.name.omniheal","Gudarnas helning"
"specials.name.omnimend","Omnilagning"
"specials.name.one_hit_wonder","Engångssuccé"
"specials.name.one_jump_ahead","Steget före"
"specials.name.one_spell_ahead","En formel före"
"specials.name.opposing_raid","Motståndarplundring"
"specials.name.orchestra_of_candles","Ljusens orkester"
"specials.name.orchids_and_roses","Rosor och orkidéer"
"specials.name.order_ambush","Beordra bakhåll"
"specials.name.order_ambush_pve","Beordra bakhåll"
"specials.name.order_from_the_depths","Order från avgrunden"
"specials.name.order_to_overwhelm","Order att överväldiga"
"specials.name.orsoldoon","Örsöldöön"
"specials.name.overpowering_grip_dragon_pve","Överväldigande grepp"
"specials.name.overvlowing_whirlwind","Översvallande virvelvind"
"specials.name.overwhelming_raid","Överväldigande plundring"
"specials.name.owls_blessing","Ugglans välsignelse"
"specials.name.pacifying_presence_dragon_pve","Lugnande kraft"
"specials.name.pain_harvest","Smärtskörd"
"specials.name.paragon_of_constellations","Stjärnbildsideal"
"specials.name.paralyzing_spore","Paralyserande spor"
"specials.name.parcel_of_the_dragon_familiar","Drakundersåtens paket"
"specials.name.passion_conquers_all","Passion övervinner allt"
"specials.name.pathfinders_compass","Stigfinnarens kompass"
"specials.name.paw_in_every_pie","Tassterror"
"specials.name.pawns_of_divinity","Gudomlighetens bönder"
"specials.name.paws_or_claws","Tassar eller klor"
"specials.name.peach_of_immortality","Odödlighetens frukt"
"specials.name.pearls_of_rejuvenation","Föryngringens pärlor"
"specials.name.perfect_riposte","Perfekt kontring"
"specials.name.perfect_shot","Perfekt skott"
"specials.name.perfect_teamwork","Perfekt samarbete"
"specials.name.perfume_cloud","Parfymmoln"
"specials.name.perilous_gift","Farlig present"
"specials.name.perilous_present_pve","Farlig present"
"specials.name.perilous_waters","Farligt vatten"
"specials.name.perplexing_riddle","Omöjlig gåta"
"specials.name.pest_control","Ohyrekontroll"
"specials.name.pet_larva","Husdjurslarv"
"specials.name.petals_of_nourishment","Näringsblad"
"specials.name.petrifying_knuckles","Förstenande knogar"
"specials.name.petrifying_performance","Farlig föreställning"
"specials.name.picnic_in_the_sky","Picknick i himlen"
"specials.name.pie_of_protection","Skyddspaj"
"specials.name.piercing_falcon","Spetsande falk"
"specials.name.piercing_hit","Penetrerande attack"
"specials.name.piercing_practice_slash","Stickande träningsslag"
"specials.name.piercing_sabre","Spetsande sabel"
"specials.name.piercing_scream_dragon_pve","Genomborrande skrik"
"specials.name.piercing_shot","Brytande skott"
"specials.name.piercing_strike","Penetrerande stöt"
"specials.name.piercing_tusk","Penetrerande bett"
"specials.name.pincer_claw","Knipans klo"
"specials.name.pincer_claw_deadly","Knipans klo"
"specials.name.pineapple_alchemist","Ananasalkemist"
"specials.name.pineapple_barbeque","Ananasgrillfest"
"specials.name.pirate_shot","Piratskott"
"specials.name.pirates_vengeance","Piratens hämnd"
"specials.name.pixie_dust","Älvdamm"
"specials.name.plague_bite","Pestbett"
"specials.name.plague_blade","Pestsvärd"
"specials.name.planar_time_widget","Planärtidspryl"
"specials.name.planetary_charge","Planetärt anfall"
"specials.name.plantipede_sting","Växtfotingsstick"
"specials.name.plentiful_harvest","Rika skördar"
"specials.name.plentiful_minerals","Mineraler i massor"
"specials.name.plume_flash","Fjäderblixt"
"specials.name.poem_of_the_centaurs","Kentaurernas dikt"
"specials.name.poem_of_the_morass","Träskets dikt"
"specials.name.poetic_justice","Poetisk rättvisa"
"specials.name.poets_protection","Poetens skydd"
"specials.name.pointy_darts","Spetsiga pilar"
"specials.name.poison_bite","Giftbett"
"specials.name.poison_bite_dragon_pve","Giftbett"
"specials.name.poison_bolt_zidane","Giftklot"
"specials.name.poison_claw","Giftklo"
"specials.name.poison_jolt","Giftstöt"
"specials.name.poison_strike","Giftanfall"
"specials.name.poison_tipped_arrow","Förgiftad pilspets"
"specials.name.poison_web","Giftväv"
"specials.name.poisoned_blade","Förgiftat svärd"
"specials.name.poisoning_blade","Förgiftande svärd"
"specials.name.poisonous_mist","Giftdimma"
"specials.name.poisonous_saliva","Giftig saliv"
"specials.name.polar_bash","Isbjörnskrigare"
"specials.name.polar_night_blizzard","Polarnattens snöstorm"
"specials.name.poleaxe_of_the_law","Lagens lans"
"specials.name.polestar_expedition","Polstjärnans expedition"
"specials.name.pompous_flex","Pompöst spänn"
"specials.name.portents_of_future","Framtidsomen"
"specials.name.possessed_strike","Besatt anfall"
"specials.name.possessor_of_penance","Besittare av botgöring"
"specials.name.postal_pulverizer","Postpulvriserare"
"specials.name.potion_cocktail","Blandbrygd"
"specials.name.potions_of_covetous_desire","Lustans drycker"
"specials.name.potions_of_covetous_desire_pve","Lustans drycker"
"specials.name.potions_of_havoc_and_healing","Kaosets och helandets drycker"
"specials.name.pounce_of_the_lioness","Lejoninnans attack"
"specials.name.pounding_attack","Mörbultning"
"specials.name.power_of_ajna","Ajnas styrka"
"specials.name.power_of_flora","Floras styrka"
"specials.name.power_of_mjolnir","Mjölners styrka"
"specials.name.power_of_the_forest","Skogens styrka"
"specials.name.power_of_the_void","Tomrummets kraft"
"specials.name.power_punch","Kraftslag"
"specials.name.power_slam","Kraftattack"
"specials.name.power_wave","Kraftvåg"
"specials.name.prayer_of_the_desert","Ökenbön"
"specials.name.precious_pets","Älskade husdjur"
"specials.name.precious_pets_pve_advanced","Älskade husdjur"
"specials.name.precious_pets_pve_normal","Älskade husdjur"
"specials.name.precise_chop","Precist slag"
"specials.name.precise_riposte","Exakt ripost"
"specials.name.preserve_and_freeze","Frys och bevara"
"specials.name.prestidigitation","Fingerfärdighet"
"specials.name.prestidigitation_cross","Kors"
"specials.name.prestidigitation_skull","Skalle"
"specials.name.prestidigitation_stars","Stjärnor"
"specials.name.primeval_glaive","Urtidsglav"
"specials.name.princess_unleashed","Lössläppt prinsessa"
"specials.name.prosperity_for_domain","Domänens välstånd"
"specials.name.protective_stance","Skyddande position"
"specials.name.protector_of_the_blue_river","Den blå flodens beskyddare"
"specials.name.protein_corruption","Proteinfördärv"
"specials.name.protein_eater","Proteinätare"
"specials.name.pulsar_blast","Pulsarskott"
"specials.name.pulsarstrike","Pulsaranfall"
"specials.name.pulverizing_ham","Pulvriseringsskinka"
"specials.name.pummeling","Mörbultning"
"specials.name.punishing_shot","Straffskott"
"specials.name.punishing_shot_pve","Straffskott"
"specials.name.punishing_strike","Straffande slag"
"specials.name.puppy_tales","Valpberättelser"
"specials.name.pure_shot","Rent skott"
"specials.name.purification","Rening"
"specials.name.purifying_flame","Renande låga"
"specials.name.purifying_flame_pve","Renande låga"
"specials.name.purifying_hit","Renande träff"
"specials.name.purifying_ki","Renande ki"
"specials.name.purifying_light","Renande ljus"
"specials.name.purifying_strike","Renande slag"
"specials.name.purple_beetloid_bite","Lila beetloid-bett"
"specials.name.pursuing_shot","Jagande skott"
"specials.name.putrid_perfume","Vidrig parfym"
"specials.name.puzzling_paint","Förvillande färg"
"specials.name.puzzling_riddle","Knepig gåta"
"specials.name.qilin_blade","Qilin-klinga"
"specials.name.queen_of_cards","Kortens drottning"
"specials.name.queen_of_the_depths","Djupens kejsarinna"
"specials.name.queen_of_the_depths_final","Djupens kejsarinna"
"specials.name.queens_blood_poisoning","Sorgeskymning"
"specials.name.queens_curse","Sandstorm"
"specials.name.queens_curse_pve","Sandstorm"
"specials.name.quick_and_nimble","Snabb och smidig"
"specials.name.rabbits_watch","Kaninens klocka"
"specials.name.raccoon_bite","Tvättbjörnsbett"
"specials.name.radiant_comeback","Strålande comeback"
"specials.name.radiant_rapid_fire","Skinande snabba skott"
"specials.name.radiant_shackles","Strålande bojor"
"specials.name.radiant_sweep_dragon_pve","Strålande svep"
"specials.name.radiating_frost","Strålande frost"
"specials.name.rage_of_grimnir","Grimnirs vrede"
"specials.name.raging_tempest","Rasande storm"
"specials.name.rain_of_arrows","Pilregn"
"specials.name.rain_of_fire","Eldregn"
"specials.name.rain_of_fire_ultimate_boss","Eldregn"
"specials.name.raising_morale","Höjer moralen"
"specials.name.rally_of_the_deep","Djupets kraft"
"specials.name.ramming_pulverizer","Krossande ramning"
"specials.name.ramming_rush","Rusande ramning"
"specials.name.rapid_shots","Snabba skott"
"specials.name.rattle_of_confusion","Förvirringens skallra"
"specials.name.ravaging_talons","Vassa klor"
"specials.name.ravening_blade","Rovlysten klinga"
"specials.name.ravenous_pounce","Glupskt nedslag"
"specials.name.ravens_vigil","Korpens vaka"
"specials.name.ravens_watch","Korpvakten"
"specials.name.ray_strike","Strålanfall"
"specials.name.razor_smile","Rakbladsleende"
"specials.name.reanimated_spite","Återupplivad illvilja"
"specials.name.reanimated_spite_pve","Återupplivad illvilja"
"specials.name.reckless_charge","Hänsynslöst anfall"
"specials.name.reckless_finisher","Hänsynslös avslutare"
"specials.name.reckless_slash","Hänsynslöst hugg"
"specials.name.reckless_stab","Hänsynslös stöt"
"specials.name.reckless_swing","Hänsynslöst slag"
"specials.name.reckless_sword_swings","Hänsynslösa svärdhugg"
"specials.name.red_lizard_charge","Rött kamouflödleanfall"
"specials.name.red_shoes","Röda skor"
"specials.name.red_sparks_dragon_pve","Röda gnistor"
"specials.name.reef_blast","Korallskott"
"specials.name.reflecting_stance","Reflekterande ställning"
"specials.name.regal_claws","Kungliga klor"
"specials.name.regal_spearhead","Kunglig spjutspets"
"specials.name.regeneration","Regenerering"
"specials.name.rejuvenating_elixir","Föryngringselixir"
"specials.name.rejuvenating_leap","Föryngrande hopp"
"specials.name.relaxing_riddle","Avslappnande gåta"
"specials.name.relentless_brawler","Obeveklig bråkmakare"
"specials.name.remedies_and_diseases","Läkemedel och sjukdomar"
"specials.name.rending_dagger","Söndrande dolk"
"specials.name.reporting_for_duty","Till er tjänst"
"specials.name.resolute_spirit","Beslutsam"
"specials.name.resolute_spirit2","Beslutsam"
"specials.name.restoration_and_annihilation","Återhämtning och utplåning"
"specials.name.resurrection_of_the_fallen","Återupplivande av de stupade"
"specials.name.resurrection_of_the_fallen_kemeny","Återupplivande av de stupade"
"specials.name.revengeful_smite","Hämndlystet slag"
"specials.name.reverse_recovery","Omvänd återställning"
"specials.name.reversed_lifeforce","Omvänd livskraft"
"specials.name.revitalizing_melody","Uppfriskande melodi"
"specials.name.revitalizing_orb","Livgivande klot"
"specials.name.revitalizing_sludge","Läkande gegga"
"specials.name.reviving_touch","Återupplivande beröring"
"specials.name.rhythm_of_havoc","Kaosrytm"
"specials.name.riches_to_poor","Rikedom till fattigdom"
"specials.name.ricochet_bolt","Studsande blixt"
"specials.name.riddle_of_the_moon","Månens gåta"
"specials.name.riddle_of_the_sun","Solens gåta"
"specials.name.riders_arrow","Ryttarens pil"
"specials.name.riders_lance","Ryttarens lans"
"specials.name.rift_blade","Revklinga"
"specials.name.righteous_pulverizer","Rättfärdig krossare"
"specials.name.righteous_revenge","Rättfärdig hämnd"
"specials.name.righteous_stance","Rättfärdig ställning"
"specials.name.righteous_strike","Rättfärdigt slag"
"specials.name.rime_heart","Rimfrosthjärta"
"specials.name.ring_around_the_rosie","Ringdans"
"specials.name.rite_of_cuteness","Tecknad domedag"
"specials.name.rite_of_glass","Glasdomedag"
"specials.name.rite_of_judgement","Domsriter"
"specials.name.rites_of_inner_knowledge","Inre kunskapens riter"
"specials.name.ritual_of_judgement","Domritual"
"specials.name.ritual_of_the_deep","Djupets ritual"
"specials.name.ritual_of_the_elements","Elementens ritual"
"specials.name.roadside_surprise","Vägkantsöverraskning"
"specials.name.roar_of_the_panther","Panterns ryt"
"specials.name.rockfall_bash","Stenras"
"specials.name.rod_of_freedom","Frihetens stav"
"specials.name.rod_of_torment","Plågandets stav"
"specials.name.roman_cleave","Spartanskt anfall"
"specials.name.roots_of_wrath","Vredens rötter"
"specials.name.roots_of_yggdrasil","Yggdrasils rötter"
"specials.name.rose_bouquet_blast","Rosbukettsalva"
"specials.name.rotting_wound_dragon_pve","Ruttet sår"
"specials.name.rottman","Råttmani"
"specials.name.rough_and_tumble","Hårdhänt"
"specials.name.royal_assault","Kungligt anfall"
"specials.name.royal_blades","Kungliga klingor"
"specials.name.royal_meatball_buffet","Kunglig köttbullsbuffé"
"specials.name.royal_poisoner","Kunglig giftmördare"
"specials.name.ruby_rush","Rubinrusch"
"specials.name.rude_awakening","Smärtsamt uppvaknande"
"specials.name.ruler_of_seas","Havens härskare"
"specials.name.ruler_of_seas_deadly","Havens härskare"
"specials.name.rural_chop","Lantligt hugg"
"specials.name.rush_of_flame","Flamrusning"
"specials.name.rushed_melody","Störtande melodi"
"specials.name.rusty_blade","Rostig klinga"
"specials.name.ruthless_gambit","Hänsynslös list"
"specials.name.sable_slasher","Sabelskärare"
"specials.name.sacrament_of_salvation","Frälsande sakrament"
"specials.name.sacred_horns","Heliga horn"
"specials.name.sacred_reflection","Helig reflektion"
"specials.name.saga_of_deliverance","Räddningens saga"
"specials.name.saga_of_protection","Beskyddets saga"
"specials.name.salty_splash_dragon_pve","Saltstänk"
"specials.name.sanction_for_heresy","Straff för kätteri"
"specials.name.sanctuary_of_light","Ljusets fristad"
"specials.name.sand_cyclone","Sandcyklon"
"specials.name.sand_cyclone_pve","Sandcyklon"
"specials.name.sand_wave_rana","Supersurf"
"specials.name.sand_wave_yunan","Utradering"
"specials.name.sandstorm_strike","Sandstormsanfall"
"specials.name.sandworm_strike","Sandmasksanfall"
"specials.name.sapphire_eyes","Safirögon"
"specials.name.saturated_suffering","Mättat lidande"
"specials.name.savage_gobble_blue","Vilt glufsande"
"specials.name.savage_gobble_green","Vilt glufsande"
"specials.name.savage_gobble_purple","Vilt glufsande"
"specials.name.savage_gobble_red","Vilt glufsande"
"specials.name.savage_gobble_yellow","Vilt glufsande"
"specials.name.savage_talons","Brutala klor"
"specials.name.scale_of_the_newt","Ödlesbestämt"
"specials.name.scaly_skin","Fjällig hud"
"specials.name.scar_of_the_depths","Djupets ärr"
