"herocard.passive_skill.description.addmana.all.allies","Todos os aliados recebem uma pequena quantidade de mana."
"herocard.passive_skill.description.summononownerdeath.slime_big_minion_red.neartotargetexceptcaster.allies","Quando é derrotado, este personagem convoca ajudantes mega Gosma para os aliados próximos com {FAMILIARHEALTHPERCENT}% de PV e {FAMILIARATTACK}% de ataque deste personagem."
"herocard.passive_skill.description.summononownerdeath.slime_big_minion_yellow.neartotargetexceptcaster.allies","Quando é derrotado, este personagem convoca ajudantes mega Gosma para os aliados próximos com {FAMILIARHEALTHPERCENT}% de PV e {FAMILIARATTACK}% de ataque deste personagem."
"herocard.passive_skill.description.summononreceiveddamagewiththreshold.slime_big_minion_blue","Quando perde mais de {DAMAGETHRESHOLD}% do limite de vida de uma vez, este personagem convoca um ajudante mega Gosma para si mesmo com {FAMILIARHEALTHPERCENT}% de PV e {FAMILIARATTACK}% de ataque."
"herocard.passive_skill.description.summononreceiveddamagewiththreshold.slime_big_minion_green","Quando perde mais de {DAMAGETHRESHOLD}% do limite de vida de uma vez, este personagem convoca um ajudante mega Gosma para si mesmo com {FAMILIARHEALTHPERCENT}% de PV e {FAMILIARATTACK}% de ataque."
"herocard.passive_skill.description.summononreceiveddamagewiththreshold.slime_big_minion_purple","Quando perde mais de {DAMAGETHRESHOLD}% do limite de vida de uma vez, este personagem convoca um ajudante mega Gosma para si mesmo com {FAMILIARHEALTHPERCENT}% de PV e {FAMILIARATTACK}% de ataque."
"herocard.passive_skill.description.summononreceiveddamagewiththreshold.slime_big_minion_red","Quando perde mais de {DAMAGETHRESHOLD}% do limite de vida de uma vez, este personagem convoca um ajudante mega Gosma para si mesmo com {FAMILIARHEALTHPERCENT}% de PV e {FAMILIARATTACK}% de ataque."
"herocard.passive_skill.description.summononreceiveddamagewiththreshold.slime_big_minion_yellow","Quando perde mais de {DAMAGETHRESHOLD}% do limite de vida de uma vez, este personagem convoca um ajudante mega Gosma para si mesmo com {FAMILIARHEALTHPERCENT}% de PV e {FAMILIARATTACK}% de ataque."
"herocard.passive_skill.description.summononstatuseffectaddition.burn.forest_guardian.statuseffectdebuffs","Cada vez que recebe um mal de status Queimadura, este personagem convoca um ajudante Guardião da Floresta para si mesmo. O ajudante Guardião da Floresta herda {FAMILIARHEALTHPERCENT}% do PV e {FAMILIARATTACK}% do ataque do personagem."
"herocard.passive_skill.description.summononstatuseffectaddition.damageovertime.card_soldier_no_taunt.statuseffectdebuffs","Cada vez que recebe um mal de status de Dano ao Longo do Tempo, este personagem convoca um ajudante Soldado de Carta para si mesmo. O ajudante Soldado de Carta herda {FAMILIARHEALTHPERCENT}% do PV e {FAMILIARATTACK}% do ataque do personagem."
"herocard.passive_skill.description.summononstatuseffectaddition.defensemodifier.bull.none","Cada vez que recebe um mal de status que afeta a defesa, este personagem convoca um ajudante Touro para si mesmo. O ajudante Touro herda {FAMILIARHEALTHPERCENT}% do PV e {FAMILIARATTACK}% do ataque do personagem."
"herocard.passive_skill.description.summononsummon.activates_on_enemy_action.allies.owl.minion","Convoca um ajudante Pardal para si mesmo quando o inimigo invoca qualquer ajudante usando uma habilidade especial."
"herocard.passive_skill.description.summononsummon.activates_on_enemy_action.enemies.cursed_sapling_parasite.minion","Quando um inimigo convoca qualquer ajudante com uma habilidade especial, o personagem convoca um demônio Broto Amaldiçoado para esse inimigo."
"herocard.passive_skill.description.summononsummon.activates_on_enemy_action.enemies.seedling_parasite.minion","Quando um inimigo convoca qualquer ajudante com uma habilidade especial, o personagem convoca um demônio Muda para esse inimigo."
"herocard.passive_skill.description.taunt","A habilidade especial deste personagem não é afetada por Provocar."
"herocard.passive_skill.description.tileenhancementonspecial.accuracymodifier.blue","Os escudos de Gelo no tabuleiro são enfraquecidos com {MODIFIER}% de precisão quando este personagem lança a própria habilidade especial."
"herocard.passive_skill.description.tileenhancementonspecial.accuracymodifier.green","Os escudos de Natureza no tabuleiro são enfraquecidos com {MODIFIER}% de precisão quando este personagem lança a própria habilidade especial."
"herocard.passive_skill.description.tileenhancementonspecial.accuracymodifier.purple","Os escudos de Trevas no tabuleiro são enfraquecidos com {MODIFIER}% de precisão quando este personagem lança a própria habilidade especial."
"herocard.passive_skill.description.tileenhancementonspecial.accuracymodifier.red","Os escudos de Fogo no tabuleiro são enfraquecidos com {MODIFIER}% de precisão quando este personagem lança a própria habilidade especial."
"herocard.passive_skill.description.tileenhancementonspecial.accuracymodifier.yellow","Os escudos de Luz no tabuleiro são enfraquecidos com {MODIFIER}% de precisão quando este personagem lança a própria habilidade especial."
"herocard.passive_skill.description.tileenhancementonspecial.criticalchancemultiplier.blue","Os escudos de Gelo no tabuleiro são reforçados com {MODIFIER}% de chance crítica quando este personagem lança a própria habilidade especial."
"herocard.passive_skill.description.tileenhancementonspecial.criticalchancemultiplier.green","Os escudos de Natureza no tabuleiro são reforçados com {MODIFIER}% de chance crítica quando este personagem lança a própria habilidade especial."
"herocard.passive_skill.description.tileenhancementonspecial.criticalchancemultiplier.purple","Os escudos de Trevas no tabuleiro são reforçados com {MODIFIER}% de chance crítica quando este personagem lança a própria habilidade especial."
"herocard.passive_skill.description.tileenhancementonspecial.criticalchancemultiplier.red","Os escudos de Fogo no tabuleiro são reforçados com {MODIFIER}% de chance crítica quando este personagem lança a própria habilidade especial."
"herocard.passive_skill.description.tileenhancementonspecial.criticalchancemultiplier.yellow","Os escudos de Luz no tabuleiro são reforçados com {MODIFIER}% de chance crítica quando este personagem lança a própria habilidade especial."
"herocard.passive_skill.description.transformstatuseffectonspecialcast.minorbuff.enemies.all.transform_attackmodifier_into_attackmodifier.transform_defensemodifier_into_defensemodifier.transform_managenerationmodifier_into_managenerationmodifier","Cada vez que este personagem lança a própria habilidade especial, todos os reforços dissipáveis que afetam o ataque, a defesa e a geração de mana de todos os inimigos se transformam nos males de status indissipáveis correspondentes.

Efeitos da transformação:
 Os reforços de ataque se transformam em males de status de {STATUSEFFECT1ATTACK}% de ataque por {STATUSEFFECT1TURNS} turnos.
 Os reforços de defesa se transformam em males de status de {STATUSEFFECT2DEFENSE}% de defesa por {STATUSEFFECT2TURNS} turnos.
 Os reforços de geração de mana se transformam em males de status de {STATUSEFFECT3MANAREGEN}% de geração de mana por {STATUSEFFECT3TURNS} turnos."
"herocard.passive_skill.description.transformstatuseffectonspecialcast.minordebuff.allies.all.transform_attackmodifier_into_attackmodifier.transform_defensemodifier_into_defensemodifier.transform_managenerationmodifier_into_managenerationmodifier","Cada vez que este personagem lança a própria habilidade especial, todos os males de status inexpurgáveis que afetam o ataque, a defesa e a geração de mana de todos os aliados se transformam nos reforços indissipáveis correspondentes.

Efeitos da transformação:
 Os males de status de ataque se transformam em um reforço de {STATUSEFFECT1ATTACK}% de ataque por {STATUSEFFECT1TURNS} turnos.
 Os males de status de defesa se transformam em reforços de {STATUSEFFECT2DEFENSE}% de defesa por {STATUSEFFECT2TURNS} turnos.
 Os males de status de geração de mana se transformam em reforços de {STATUSEFFECT3MANAREGEN}% de geração de mana por {STATUSEFFECT3TURNS} turnos."
"herocard.passive_skill.description.wither.all.enemies","O ataque básico e a defesa básica de todos os inimigos diminuem em {STATINCREASE} a cada turno por {MAXACTIVATIONCOUNT} turnos."
"herocard.passive_skill.inactive","INATIVO: chegue ao nível máximo e à ascensão total para ativar."
"herocard.passive_skill.replace.minordebuff.attackmodifier.to.minorbuff.attackmodifier","Males de status viram {ATTACK}% de ataque por {TURNS} turnos."
"herocard.passive_skill.replace.minordebuff.buffimmunity.to.minorbuff.debuffshield","Males de imunidade a reforços viram imunidade a males por {TURNS} turnos."
"herocard.passive_skill.replace.minordebuff.defensemodifier.to.minorbuff.defensemodifier","Males de defesa viram {DEFENSE}% de defesa por {TURNS} turnos."
"herocard.passive_skill.replace.minordebuff.healingmodifier.to.minorbuff.healmultiplier","Reduções de cura viram {HEALING}% mais cura por {TURNS} turnos."
"herocard.passive_skill.replace.minordebuff.managenerationmodifier.to.minorbuff.managenerationmodifier","Males de geração de mana viram {MANAREGEN}% de geração de mana por {TURNS} turnos."
"herocard.passive_skill.replace.minordebuff.receiveddamagemodifier.to.minorbuff.receiveddamagemodifier","Males de aumento de dano viram {DAMAGEREDUCTION}% de redução de dano por {TURNS} turnos."
"herocard.passive_skill.replace.minordebuff.statuseffectreflect.to.minorbuff.reflectminordebuffs","Males que refletem reforços viram reforços que refletem males por {TURNS} turnos."
"herocard.passive_skill.replace_direct_effect.attackwither","Atrofia de ataque vira Crescimento de ataque: {FIXEDPOWER} de ataque."
"herocard.passive_skill.replace_direct_effect.defensewither","Atrofia de defesa vira Crescimento de defesa: {FIXEDPOWER} de defesa."
"herocard.passive_skill.replace_direct_effect.dispel","Dissipações de reforços viram expurgos de males."
"herocard.passive_skill.replace_direct_effect.fiend.stylish_minion","Demônios viram ajudantes estilosos ({FAMILIARHEALTHPERCENT}% de PV, {FAMILIARATTACK}% de ataque)."
"herocard.passive_skill.replace_direct_effect.manareduction","Reduções de mana viram {POWER}% de aumento de mana."
"herocard.passive_skill.sidedependent.sideinfo.heroside","Habilidade passiva ao atacar:"
"herocard.passive_skill.sidedependent.sideinfo.opponentside","Habilidade passiva ao defender:"
"herocard.passive_skill.title.addstatuseffectsonenemyattackbuff","Efeito de status por reforço de ataque do inimigo"
"herocard.passive_skill.title.addstatuseffectsonenemydefensebuff","Efeito de status por reforço da defesa do inimigo"
"herocard.passive_skill.title.addstatuseffectsonmanareduction","Efeito de status por redução de mana"
"herocard.passive_skill.title.bleed.effectondamageovertime.activates_on_enemy_action.addmana","Mana ao Sangrar"
"herocard.passive_skill.title.bleed.effectondamageovertime.activates_on_enemy_action.heal","Curar ao Sangrar"
"herocard.passive_skill.title.burn.effectondamageovertime.activates_on_enemy_action.addmana","Mana em Queimadura"
"herocard.passive_skill.title.bypassfamiliars.minion","Ignorar ajudantes"
"herocard.passive_skill.title.bypassfamiliars.minion.bigminion","Ignorar ajudantes superior"
"herocard.passive_skill.title.caststatuseffectdurationmodifier","Efeito de status prolongado"
"herocard.passive_skill.title.chargebasedmodifier.managenerationmodifier.dodgemodifier","Impulso de Voo"
"herocard.passive_skill.title.conditionaleffectovertime.addmana.everyturn.while.all.allies.haswither","Mana durante Atrofia"
"herocard.passive_skill.title.conditionaleffectovertime.revival.while.single.allies.hasdeadallies","Revivificação com o Tempo"
"herocard.passive_skill.title.conditionaleffectovertime.usable_once.heal.addmana.everyturn.while.single.allies.lowhealth","Poder de Sisu"
"herocard.passive_skill.title.convertincomingdamagetoheal.all.statuseffect","Beleza Interior"
"herocard.passive_skill.title.convertincomingdamagetoheal.statuseffect","Beleza Interior"
"herocard.passive_skill.title.corrosiveburncoreintrinsicchargeeffectonspecial.activates_on_ally_action.statuseffects.corrosiveburn","Núcleo Derretido"
"herocard.passive_skill.title.corrosiveburncoreintrinsicchargeeffectonspecial.statuseffects.corrosiveburn","Núcleo Derretido"
"herocard.passive_skill.title.corrosivecoreintrinsicchargeeffectonspecial.statuseffects.corrosivepoison","Núcleo Corrosivo"
"herocard.passive_skill.title.corrosivefrostcoreintrinsicchargeeffectonspecial.statuseffects.corrosivefrost","Núcleo Ártico"
"herocard.passive_skill.title.criticalmodifier","Modificador Crítico"
"herocard.passive_skill.title.criticalmodifiersupportcharacter.troop","Modificador Crítico"
"herocard.passive_skill.title.critmodifier","Modificador de Chance Crítica"
"herocard.passive_skill.title.damageincreasebyinsanity.troop.specialskill.npcnormalattack","Marca dos Antigos"
"herocard.passive_skill.title.dealtdamagemodifieragainststatuseffect.bloodlily.stacks","Marca Sanguínea"
"herocard.passive_skill.title.dealtstrongelementtroopdamage","Domínio de Tropa"
"herocard.passive_skill.title.debuffdamagereduction","Redução de dano de mal de status"
"herocard.passive_skill.title.debuffdamagereductionsupportcharacter.troop","Redução de dano de mal de status"
"herocard.passive_skill.title.destructivecoreintrinsicchargeeffectonspecial.damage","Núcleo Destrutivo"
"herocard.passive_skill.title.dispelonownfamiliardeath.minion.minordebuff","Expurgo ao Perder Ajudante"
"herocard.passive_skill.title.dodgespecialdamage","Esquiva de Dano de Especial"
"herocard.passive_skill.title.doubleeffectonchargedspecial.statuseffects.stackingmanagenerationmodifier.stacks","Acumulação de Especial"
"herocard.passive_skill.title.eatfamiliarsonspecialcast.parasite.allies.single","Destruir demônios por Especial"
"herocard.passive_skill.title.eatfamiliarswitheffectpereatenfamiliarovertime.addmana","Consumo de ajudantes e ganho de mana com o tempo"
"herocard.passive_skill.title.effectondamagedone.bufftoremove.minordebuff.latest.safe.specialskill.only_criticals.once","Expurgo com ataque especial crítico"
"herocard.passive_skill.title.effectondamagedone.healthboost.specialskill.only_criticals.once","Reforço de vida com ataque especial crítico"
"herocard.passive_skill.title.effectondamagedonetohealthiertarget.healthboost.specialskill.once.effectondamagereceivedfromhealthierattacker.addmana.specialskill","Rebelião Legítima"
"herocard.passive_skill.title.effectondamagereceived.addmana.specialskill","Mana por Dano Especial"
"herocard.passive_skill.title.effectondamagereceived.addmana.troop.npcnormalattack.specialskill","Mana ao receber dano"
"herocard.passive_skill.title.effectondamagereceived.damage.specialskill.statuseffectskill.cover","Dano por Habilidade Especial e Dano de Cobertura"
"herocard.passive_skill.title.effectondamagereceived.none.specialskill.exclude.statuseffect.stacking_attack_on_damage_received_passive","Ataque Cumulativo ao Receber Dano"
"herocard.passive_skill.title.effectondamagereceived.none.specialskill.exclude.statuseffect.stacking_attack_on_damage_received_passive_pve","Ataque Cumulativo ao Receber Dano"
"herocard.passive_skill.title.effectondispel.activates_on_ally_action.healthboost.minordebuff.removalreason.dispel.activates_on_dispel_cast.valid_caster_side.allies","Reforço de Vida em Tentativa de Expurgo de Aliado"
"herocard.passive_skill.title.effectondispel.activates_on_enemy_action.damage.minordebuff.removalreason.dispel.activates_on_dispel_cast.valid_caster_side.enemies","Dano em Tentativa de Expurgo de Inimigo"
"herocard.passive_skill.title.effectondispel.addmana.minorbuff","Mana ao Dissipar"
"herocard.passive_skill.title.effectondispel.addmana.minorbuff.removalreason.dispel","Mana ao Dissipar Reforço"
"herocard.passive_skill.title.effectondispel.heal.statuseffectdebuffs.removalreason.dispel.removal.reallocation.expiration","Curar com remoção ou expiração de mal de status"
"herocard.passive_skill.title.effectondispel.healthboost.minorbuff.removalreason.dispel","Reforço de Vida ao Dissipar Reforço"
"herocard.passive_skill.title.effectonfamiliardamagedone.minion.frost","Neve por Acerto de Ajudante"
"herocard.passive_skill.title.effectonheal.addmana","Mana por Recuperação de Vida"
"herocard.passive_skill.title.effectonheal.heal","Vida Extra por Recuperação de Vida"
"herocard.passive_skill.title.effectonhealsupportcharacter.troop.heal","CURA extra"
"herocard.passive_skill.title.effectonmanareduction.statuseffects.attackmodifier","Efeito de status por redução de mana"
"herocard.passive_skill.title.effectonmanareduction.statuseffects.yellowdefensemodifier","Efeito de status por redução de mana"
"herocard.passive_skill.title.effectonresist.activates_on_enemy_action.healthboost.addmana.once","Reforço de Vida e Mana ao Resistir"
"herocard.passive_skill.title.effectonspecialcastwitheffecttype.activates_on_enemy_action.addmana.on_healthboost_cast","Mana por Habilidade Especial de Reforço de Vida"
"herocard.passive_skill.title.effectonspecialcastwitheffecttype.activates_on_enemy_action.healthboost.on_healthboost_cast","Reforço de Vida por Vida Reforçada de Inimigo"
"herocard.passive_skill.title.effectonspecialchancepermanaspeed","Efeitos por habilidade especial"
"herocard.passive_skill.title.effectonspecialskilldamagedone.bufftoremove.minordebuff.safe.only_criticals","Expurgo com ataque especial crítico"
"herocard.passive_skill.title.effectonspecialskilldamagedone.healthboost.only_criticals","Reforço de vida com ataque especial crítico"
"herocard.passive_skill.title.effectonspecialskilldamagereceived.healthboost.only_criticals","Reforço de vida com ataque especial crítico"
"herocard.passive_skill.title.effectonspecialwithchance.activates_on_enemy_action.healthboost","Reforço de Vida por Especial de Inimigo"
"herocard.passive_skill.title.effectonspecialwithchance.addmana","Mana por Especial"
"herocard.passive_skill.title.effectonspecialwithchance.bufftoremove.minorbuff.latest","Dissipar por Habilidade Especial"
"herocard.passive_skill.title.effectonspecialwithchance.bufftoremove.minordebuff.latest","Expurgar por Habilidade Especial"
"herocard.passive_skill.title.effectonspecialwithchance.damage","Dano por Especial"
"herocard.passive_skill.title.effectonspecialwithchance.heal","Recuperação de Vida por Especial"
"herocard.passive_skill.title.effectonspecialwithchance.healthboost","Reforço de Vida por Habilidade Especial"
"herocard.passive_skill.title.effectonspecialwithchance.statuseffects","Efeito de status por Especial"
"herocard.passive_skill.title.effectonspecialwithchance.statuseffects.bleeding","Sangramento por Habilidade Especial"
"herocard.passive_skill.title.effectonspecialwithchance.statuseffects.curseofdoom","Maldição por Habilidade Especial"
"herocard.passive_skill.title.effectonspecialwithchance.statuseffects.damageovertime","Dano ao Longo do Tempo por Especial"
"herocard.passive_skill.title.effectonspecialwithchance.statuseffects.extradamageagainstboostedhealth","Mais Dano Contra Vida Reforçada"
"herocard.passive_skill.title.effectonspecialwithchance.statuseffects.huntersmark","Dano ao Longo do Tempo por Especial"
"herocard.passive_skill.title.effectonspecialwithchance.statuseffects.managenerationmodifier","Efeito de status por especial"
"herocard.passive_skill.title.effectonspecialwithchance.statuseffects.poison","Veneno por habilidade especial"
"herocard.passive_skill.title.effectonspecialwithchance.statuseffects.possession","Ataque Aleatório por Habilidade Especial"
"herocard.passive_skill.title.effectonspecialwithchance.statuseffects.underwater","Dano ao Longo do Tempo por Especial"
"herocard.passive_skill.title.effectonspecialwithmanaspeedthreshold.activates_on_enemy_action.damage.faster.average.once","Dano por Habilidade Especial"
"herocard.passive_skill.title.effectonstatuseffectaddition.activates_on_enemy_action.addmana.allbuffs.taunt","Mana por Provocar"
"herocard.passive_skill.title.effectonstatuseffectaddition.activates_on_enemy_action.addmana.statuseffectbuffs.defensemodifier.once","Mana por Reforço de Defesa do Inimigo"
"herocard.passive_skill.title.effectonstatuseffectaddition.activates_on_enemy_action.statuseffects.ubertitanstackingattackmodifier.allbuffs.defensemodifier","Efeito de status por reforço da defesa do inimigo"
"herocard.passive_skill.title.effectonstatuseffectaddition.activates_on_enemy_action.statuseffects.ubertitanstackingreceiveddamagemodifier.allbuffs.attackmodifier","Efeito de status por reforço de ataque do inimigo"
"herocard.passive_skill.title.effectonstatuseffectaddition.addmana.allbuffs","Mana por reforço recebido"
"herocard.passive_skill.title.effectonstatuseffectaddition.addmana.alldebuffs","Mana por mal de status recebido"
"herocard.passive_skill.title.effectonstatuseffectaddition.heal.allbuffs","Recuperação de vida por reforço recebido"
"herocard.passive_skill.title.effectonstatuseffectaddition.heal.alldebuffs","Recuperação de vida por mal de status recebido"
"herocard.passive_skill.title.effectonstatuseffectaddition.statuseffects.managenerationmodifier.alldebuffs","Reforço de mana por mal de status recebido"
"herocard.passive_skill.title.effectonstatuseffectadditionwithchance.addmana.allbuffs","Mana por reforço recebido"
"herocard.passive_skill.title.effectonstatuseffectadditionwithchance.heal.allbuffs","Recuperação de vida por reforço recebido"
"herocard.passive_skill.title.effectonstatuseffectremovalbyspecial.activates_on_ally_action.healthboost","Reforço de vida por remoção de efeito de status"
"herocard.passive_skill.title.effectonstatuseffectremovalbyspecial.activates_on_enemy_action.damage","Dano por remoção de efeito de status"
"herocard.passive_skill.title.effectovertime.revival","Revivificação com o Tempo"
"herocard.passive_skill.title.effectovertimeperstatuseffect.addmana.everyturn.per.statuseffectbuffs.enemies","Mana por Reforço Inimigo"
"herocard.passive_skill.title.effectovertimeperstatuseffect.healthboost.everyturn.per.poison.statuseffectdebuffs.enemies","Reforço de Vida por Veneno"
"herocard.passive_skill.title.effectsonminionreceived.activates_on_ally_action.addmana.allies.minion","Mana por Convocação de Ajudante"
"herocard.passive_skill.title.effectsonminionreceived.activates_on_ally_action.heal.addmana.allies.minion","Amigo dos Animais"
"herocard.passive_skill.title.effectsonparasitereceived.activates_on_enemy_action.addmana.enemies.parasite","Mana por Convocação de Demônio"
"herocard.passive_skill.title.effectsonparasitereceived.activates_on_enemy_action.damage.enemies.parasite","Fúria Animal"
"herocard.passive_skill.title.effectsonparasitereceived.activates_on_enemy_action.healthboost.enemies.parasite","Reforço de Vida por Convocação de Demônio"
"herocard.passive_skill.title.familiaraccuracymodifier.all.enemies.minion.bigminion","Ajudante cego"
"herocard.passive_skill.title.familiarcoreintrinsicchargeeffectonspecial.summonfamiliar.construct_minion_core","Núcleo de Ajudante"
"herocard.passive_skill.title.familiarhealthmodifier.all.enemies.bigminion.decrease","Ajudantes mega mais fracos"
"herocard.passive_skill.title.familiarhealthmodifier.all.enemies.minion.decrease","Ajudantes mais fracos"
"herocard.passive_skill.title.familiarsilencer.all.enemies.bigminion","Deter ajudantes mega"
"herocard.passive_skill.title.familiarsilencer.all.enemies.minion.follower","Deter ajudantes"
"herocard.passive_skill.title.frost.effectondamageovertime.activates_on_enemy_action.addmana","Mana por Neve"
"herocard.passive_skill.title.glass_reflect_debuffs","Vidro"
"herocard.passive_skill.title.growth","Crescimento"
"herocard.passive_skill.title.guaranteedeffectonspecial","Efeito garantido por habilidade especial"
"herocard.passive_skill.title.healmodifier.all.enemies.decrease","Cura Reduzida"
"herocard.passive_skill.title.healonheal.heal","CURA Extra"
"herocard.passive_skill.title.healonownfamiliardeath.minion","Vida ao perder ajudante"
"herocard.passive_skill.title.healonownfamiliardeath.minion.healthboost","Vida reforçada ao perder ajudante"
"herocard.passive_skill.title.increasedattackperelement.enemies.not.green","Mais ataque por inimigo que não é de Natureza"
"herocard.passive_skill.title.increasedattackperelement.enemies.not.red","Mais ataque por inimigo que não é de Fogo"
"herocard.passive_skill.title.increaseddamageagainstfamiliars.minion.bigminion","Dano extra contra ajudantes e ajudantes mega"
"herocard.passive_skill.title.increaseddamageagainstminions","Mais dano contra ajudantes"
"herocard.passive_skill.title.increasedspecialdamageagainsttaunt.taunt","Mais dano contra Provocar"
"herocard.passive_skill.title.increasespecialdamage","Mais Dano de Habilidade Especial"
"herocard.passive_skill.title.increasespecialdamage.usable_once","Mais Dano de Habilidade Especial"
"herocard.passive_skill.title.increasespecialdamagesupportcharacter.troop","Mais Dano de Habilidade Especial"
"herocard.passive_skill.title.insanitydamagereduction","Marca dos Antigos"
"herocard.passive_skill.title.iterateeffectonspecial","Chance extra de efeitos por habilidade especial"
"herocard.passive_skill.title.league_accuracy_modifier_against_family","Desvantagem na Liga"
"herocard.passive_skill.title.league_featured_family_resist","Vantagem na Liga"
"herocard.passive_skill.title.league_heal_modifier_against_family","Desvantagem na Liga"
"herocard.passive_skill.title.league_heal_modifier_for_family","Vantagem na Liga"
"herocard.passive_skill.title.league_received_damage_modifier_against_non_featured_family","Vantagem na Liga"
"herocard.passive_skill.title.managenerationmodifier.all.enemies","Bloqueio de mana"
"herocard.passive_skill.title.manaonownfamiliardeath.minion","Mana por Morte de Ajudante"
"herocard.passive_skill.title.manaonstatuseffect.debuff","Mana de males"
"herocard.passive_skill.title.memorizefamiliars.activates_on_enemy_action","Memorizar ajudantes e demônios inimigos"
"herocard.passive_skill.title.memorizestatuseffects","Memorizar males de status"
"herocard.passive_skill.title.mimic_dread_damage_minions","Pavor"
"herocard.passive_skill.title.mimiclootonlevelcompleted","Espólios de Mimese"
"herocard.passive_skill.title.nevermissspecial","Precisão Perfeita"
"herocard.passive_skill.title.ransack","Oportunidade de Ladrão"
"herocard.passive_skill.title.reallocatestatuseffectonspecialcast.damage.minorbuff.newest","Roubar Reforço"
"herocard.passive_skill.title.reallocatestatuseffectonspecialcast.heal.minordebuff.newest","Sentido de Caçador"
"herocard.passive_skill.title.receivedstrongelementsupportcharacterdamage","Domínio de Tropa"
"herocard.passive_skill.title.receivedstrongelementsupportcharacterdamage.increase.dragon","Aumento do dano de Bola de Fogo"
"herocard.passive_skill.title.redirectlethaldamage.enemies.single","Vencer a Morte"
"herocard.passive_skill.title.remove_growth_from_enemies","Reunião de Guardas"
"herocard.passive_skill.title.remove_wither_from_allies","Reunião de Guardas"
"herocard.passive_skill.title.repaircoreintrinsicchargeeffectonspecial.healthboost","Núcleo Reparador"
"herocard.passive_skill.title.repeat_special_once","Sorte"
"herocard.passive_skill.title.resist.accuracymodifiers","Resistência a cegueira"
"herocard.passive_skill.title.resist.alldebuffs","Resistência a males de status"
"herocard.passive_skill.title.resist.alldebuffs.alldebuffs","Resistência a todos os males"
"herocard.passive_skill.title.resist.alldebuffs.manareduction.buffdispels","Ápice da Resistência"
"herocard.passive_skill.title.resist.alldefensemodifiers.alldebuffs","Resistência a males de defesa"
"herocard.passive_skill.title.resist.alldefensemodifiers.defensewither.alldebuffs","Resistência a redução de defesa"
"herocard.passive_skill.title.resist.allmanaeffects.alldebuffs","Resistência a males de mana"
"herocard.passive_skill.title.resist.allmanaeffects.manareduction.alldebuffs","Resistência a efeitos negativos de mana"
"herocard.passive_skill.title.resist.allstatuseffectdamage.none","Resistência a dano de efeitos de status"
"herocard.passive_skill.title.resist.attackdelay","Resistência a atraso de ataque"
"herocard.passive_skill.title.resist.attackmodifiers","Resistência a males de ataque"
"herocard.passive_skill.title.resist.attackmodifiers.allstatuseffectsandstacks","Resistência a efeitos de status de ataque"
"herocard.passive_skill.title.resist.attackmodifiers.attackwither.alldebuffs","Resistência a redução de ataque"
"herocard.passive_skill.title.resist.bleed","Resistência a sangramento"
"herocard.passive_skill.title.resist.bleed.with_effect.healthboost.addmana","Resistência reforçada a sangramento"
"herocard.passive_skill.title.resist.buffdispels","Resistência a dissipações"
"herocard.passive_skill.title.resist.buffimmunity","Resistência ao bloqueio de reforços"
"herocard.passive_skill.title.resist.burn","Resistência a Queimadura"
"herocard.passive_skill.title.resist.burn.with_effect.healthboost.addmana","Resistência reforçada a queimadura"
"herocard.passive_skill.title.resist.criticalhits.none","Resistência a acertos críticos"
"herocard.passive_skill.title.resist.defensemodifiers.alldebuffs","Resistência a males de defesa"
"herocard.passive_skill.title.resist.familiarremoval.familiarsilence.familiarreceivingblocking.minion","Ajudantes Implacáveis"
"herocard.passive_skill.title.resist.frost","Resistência a Neve"
"herocard.passive_skill.title.resist.frost.with_effect.healthboost.addmana","Resistência reforçada a neve"
"herocard.passive_skill.title.resist.healeffects","Resistência a males de cura"
"herocard.passive_skill.title.resist.healthsteal","Resistência a males de roubo de vida"
"herocard.passive_skill.title.resist.insanity.permanentstatuseffects","Resistência a Insanidade"
"herocard.passive_skill.title.resist.manadebuffs","Resistência a males de mana"
"herocard.passive_skill.title.resist.manaeffectsandspecialblocking","Resistência a males de mana e bloqueio de habilidade especial"
"herocard.passive_skill.title.resist.managenerationmodifiers.alldebuffs","Resistência a males de geração de mana"
"herocard.passive_skill.title.resist.manareduction","Resistência a redução de mana"
"herocard.passive_skill.title.resist.manareduction.none.with_effect.healthboost.addmana","Resistência reforçada a redução de mana"
"herocard.passive_skill.title.resist.maxhealthreduction","Resistência a redução do limite de vida"
"herocard.passive_skill.title.resist.poison","Resistência a veneno"
"herocard.passive_skill.title.resist.poison.burn.bleed","Resistência a veneno, queimadura e sangramento"
"herocard.passive_skill.title.resist.possession.allstatuseffects","Resistência a possessão"
"herocard.passive_skill.title.resist.sand","Resistência a areia"
"herocard.passive_skill.title.resist.specialblocking","Resistência ao bloqueio de habilidades especiais"
"herocard.passive_skill.title.resist.specialblocking.with_effect.healthboost.addmana","Resistência reforçada ao bloqueio de habilidades especiais"
"herocard.passive_skill.title.resist.stopmanageneration","Resistência a interrupção da geração de mana"
"herocard.passive_skill.title.resist.water","Resistência a água"
"herocard.passive_skill.title.resist_all_defense_effects","Característica: 
Esbelto"
"herocard.passive_skill.title.resistdebuffsfromfamiliars.minion","Resistência a males de status de ajudantes"
"herocard.passive_skill.title.resistfamiliarremoval.minion.bigminion","Resistir à remoção de ajudantes"
"herocard.passive_skill.title.resistnegativefamiliareffects.minion","Resistência a efeitos negativos de ajudantes"
