"herocard.passive_skill.description.addmana.all.allies","Alla allierade får lite mana."
"herocard.passive_skill.description.tileenhancementonspecial.accuracymodifier.blue","Issköldar på brädet försvagas med {MODIFIER} % träffsäkerhet när den här karaktären använder sin specialförmåga."
"herocard.passive_skill.description.tileenhancementonspecial.accuracymodifier.green","Natursköldar på brädet försvagas med {MODIFIER} % träffsäkerhet när den här karaktären använder sin specialförmåga."
"herocard.passive_skill.description.tileenhancementonspecial.accuracymodifier.purple","Mörkersköldar på brädet försvagas med {MODIFIER} % träffsäkerhet när den här karaktären använder sin specialförmåga."
"herocard.passive_skill.description.tileenhancementonspecial.accuracymodifier.red","Eldsköldar på brädet försvagas med {MODIFIER} % träffsäkerhet när den här karaktären använder sin specialförmåga."
"herocard.passive_skill.description.tileenhancementonspecial.accuracymodifier.yellow","Heliga sköldar på brädet försvagas med {MODIFIER} % träffsäkerhet när den här karaktären använder sin specialförmåga."
"herocard.passive_skill.description.tileenhancementonspecial.criticalchancemultiplier.blue","Issköldar på brädet förstärks med {MODIFIER} % kritisk chans när den här karaktären använder sin specialförmåga."
"herocard.passive_skill.description.tileenhancementonspecial.criticalchancemultiplier.green","Natursköldar på brädet förstärks med {MODIFIER} % kritisk chans när den här karaktären använder sin specialförmåga."
"herocard.passive_skill.description.tileenhancementonspecial.criticalchancemultiplier.purple","Mörkersköldar på brädet förstärks med {MODIFIER} % kritisk chans när den här karaktären använder sin specialförmåga."
"herocard.passive_skill.description.tileenhancementonspecial.criticalchancemultiplier.red","Eldsköldar på brädet förstärks med {MODIFIER} % kritisk chans när den här karaktären använder sin specialförmåga."
"herocard.passive_skill.description.tileenhancementonspecial.criticalchancemultiplier.yellow","Heliga sköldar på brädet förstärks med {MODIFIER} % kritisk chans när den här karaktären använder sin specialförmåga."
"herocard.passive_skill.description.transformstatuseffectonspecialcast.minorbuff.enemies.all.transform_attackmodifier_into_attackmodifier.transform_defensemodifier_into_defensemodifier.transform_managenerationmodifier_into_managenerationmodifier","Alla avbrytningsbara bonusar som påverkar attack, försvar och manaskapande på alla fiender förvandlas till matchande icke avbrytbara negativa statuseffekter varje gång den här karaktären kastar sin specialförmåga."
"herocard.passive_skill.description.transformstatuseffectonspecialcast.minordebuff.allies.all.transform_attackmodifier_into_attackmodifier.transform_defensemodifier_into_defensemodifier.transform_managenerationmodifier_into_managenerationmodifier","Alla rensningsbara negativa statuseffekter som påverkar attack, försvar och manaskapande för alla allierade förvandlas till matchande icke avbrytbara bonusar varje gång den här karaktären kastar sin specialförmåga."
"herocard.passive_skill.description.wither.all.enemies","Alla fienders grundattribut för attack och försvar minskar med {STATINCREASE} varje runda i {MAXACTIVATIONCOUNT} rundor."
"herocard.passive_skill.inactive","INAKTIV: Nå maxnivå och full gradering för att aktivera."
"herocard.passive_skill.replace.minordebuff.attackmodifier.to.minorbuff.attackmodifier","Negativa attackeffekter till {ATTACK} % attack i {TURNS} rundor."
"herocard.passive_skill.replace.minordebuff.buffimmunity.to.minorbuff.debuffshield","Bonusar på immunitetseffekter till effektimmunitet i {TURNS} rundor."
"herocard.passive_skill.replace.minordebuff.defensemodifier.to.minorbuff.defensemodifier","Försvarseffekter till {DEFENSE} % försvar i {TURNS} rundor."
"herocard.passive_skill.replace.minordebuff.healingmodifier.to.minorbuff.healmultiplier","Läkningsminskning till {HEALING} % ökad läkning i {TURNS} rundor."
"herocard.passive_skill.replace.minordebuff.manaeffect.to.minorbuff.managenerationmodifier","Negativa manaeffekter till {MANAREGEN} % managenerering i {TURNS} rundor."
"herocard.passive_skill.replace.minordebuff.receiveddamagemodifier.to.minorbuff.receiveddamagemodifier","Skadeökningseffekter till {DAMAGEREDUCTION} % skademinskning i {TURNS} turer."
"herocard.passive_skill.replace.minordebuff.statuseffectreflect.to.minorbuff.reflectminordebuffs","Bonusar på reflektionseffekter till effektreflektionsbonusar i {TURNS} rundor."
"herocard.passive_skill.replace_direct_effect.attackwither","Attackvittring till attacktillväxt: {FIXEDPOWER} attack."
"herocard.passive_skill.replace_direct_effect.defensewither","Försvarsvittring till försvarstillväxt: {FIXEDPOWER} försvar."
"herocard.passive_skill.replace_direct_effect.dispel","Bonusavbrytningar till effektrensningar."
"herocard.passive_skill.replace_direct_effect.fiend.stylish_minion","Odjur till stilsäkra undersåtar ({FAMILIARHEALTHPERCENT} % hälsa, {FAMILIARATTACK} % attack)."
"herocard.passive_skill.replace_direct_effect.manareduction","Manaminskningar till en manaökning på {POWER} %."
"herocard.passive_skill.sidedependent.sideinfo.heroside","Passiv förmåga när karaktären anfaller:"
"herocard.passive_skill.sidedependent.sideinfo.opponentside","Passiv förmåga när karaktären försvarar:"
"herocard.passive_skill.title.addstatuseffectsonenemyattackbuff","Statuseffekt vid fientlig attackbonus"
"herocard.passive_skill.title.addstatuseffectsonenemydefensebuff","Statuseffekt vid fientlig försvarsbonus"
"herocard.passive_skill.title.addstatuseffectsonmanareduction","Statuseffekt vid manaminskning"
"herocard.passive_skill.title.bleed.effectondamageovertime.activates_on_enemy_action.addmana","Mana vid blödning"
"herocard.passive_skill.title.bleed.effectondamageovertime.activates_on_enemy_action.heal","Läkning vid blödning"
"herocard.passive_skill.title.burn.effectondamageovertime.activates_on_enemy_action.addmana","Mana vid eldskada"
"herocard.passive_skill.title.bypassfamiliars.minion","Ignorera undersåtar"
"herocard.passive_skill.title.bypassfamiliars.minion.bigminion","Överlägset ignorerande av undersåtar"
"herocard.passive_skill.title.caststatuseffectdurationmodifier","Ökad tid för statuseffekter"
"herocard.passive_skill.title.chargebasedmodifier.managenerationmodifier.dodgemodifier","Flygstyrka"
"herocard.passive_skill.title.conditionaleffectovertime.addmana.everyturn.while.all.allies.haswither","Mana under vittring"
"herocard.passive_skill.title.conditionaleffectovertime.revival.while.single.allies.hasdeadallies","Återuppliva över tid"
"herocard.passive_skill.title.conditionaleffectovertime.usable_once.heal.addmana.everyturn.while.single.allies.lowhealth","Sisus kraft"
"herocard.passive_skill.title.convertincomingdamagetoheal.all.statuseffect","Vacker på insidan"
"herocard.passive_skill.title.convertincomingdamagetoheal.statuseffect","Vacker på insidan"
"herocard.passive_skill.title.corrosiveburncoreintrinsicchargeeffectonspecial.activates_on_ally_action.statuseffects.corrosiveburn","Smält kärna"
"herocard.passive_skill.title.corrosiveburncoreintrinsicchargeeffectonspecial.statuseffects.corrosiveburn","Smält kärna"
"herocard.passive_skill.title.corrosivecoreintrinsicchargeeffectonspecial.statuseffects.corrosivepoison","Nedbrytande kärna"
"herocard.passive_skill.title.corrosivefrostcoreintrinsicchargeeffectonspecial.statuseffects.corrosivefrost","Arktisk kärna"
"herocard.passive_skill.title.criticalmodifier","Kritisk träff-modifierare"
"herocard.passive_skill.title.criticalmodifiersupportcharacter.troop","Kritisk träff-modifierare"
"herocard.passive_skill.title.critmodifier","Kritisk chans-modifierare"
"herocard.passive_skill.title.damageincreasebyinsanity.troop.specialskill.npcnormalattack","Brännmärkt av de gamla"
"herocard.passive_skill.title.dealtdamagemodifieronownedstatuseffect.bloodlily.stacks.enemies.single","Blodsmärke"
"herocard.passive_skill.title.dealtdamagemodifieronownedstatuseffect.dance.allstatuseffects.allies.all","Energisk dansare"
"herocard.passive_skill.title.dealtstrongelementtroopdamage","Truppbemästring"
"herocard.passive_skill.title.debuffdamagereduction","Minskad skada från negativa statuseffekter"
"herocard.passive_skill.title.debuffdamagereductionsupportcharacter.troop","Minskad skada från negativa statuseffekter"
"herocard.passive_skill.title.destructivecoreintrinsicchargeeffectonspecial.damage","Förödelsekärna"
"herocard.passive_skill.title.dispelonownfamiliardeath.minion.minordebuff","Rening vid undersåtes död"
"herocard.passive_skill.title.dodgespecialdamage","Undvik skada för specialförmågor"
"herocard.passive_skill.title.doubleeffectonchargedspecial.statuseffects.stackingmanagenerationmodifier.stacks","Stapla vid specialförmåga"
"herocard.passive_skill.title.eatfamiliarsonspecialcast.parasite.allies.single","Förstör odjur vid specialförmåga"
"herocard.passive_skill.title.eatfamiliarswitheffectpereatenfamiliarovertime.addmana","Ät undersåtar och få mana över tid"
"herocard.passive_skill.title.effectondamagedone.bufftoremove.minordebuff.latest.safe.specialskill.only_criticals.once","Rensar vid kritisk specialattack"
"herocard.passive_skill.title.effectondamagedone.healthboost.specialskill.only_criticals.once","Hälsoökning vid kritisk specialattack"
"herocard.passive_skill.title.effectondamagedonetohealthiertarget.healthboost.specialskill.once.effectondamagereceivedfromhealthierattacker.addmana.specialskill","Rättfärdig revolt"
"herocard.passive_skill.title.effectondamagereceived.addmana.specialskill","Mana vid specialskada"
"herocard.passive_skill.title.effectondamagereceived.addmana.troop.npcnormalattack.specialskill","Mana vid tagen skada"
"herocard.passive_skill.title.effectondamagereceived.damage.specialskill.statuseffectskill.cover","Skada vid specialförmåga och skyddsskada"
"herocard.passive_skill.title.effectondamagereceived.none.specialskill.exclude.statuseffect.stacking_attack_on_damage_received_passive","Staplar attack vid tagen skada"
"herocard.passive_skill.title.effectondamagereceived.none.specialskill.exclude.statuseffect.stacking_attack_on_damage_received_passive_pve","Staplar attack vid tagen skada"
"herocard.passive_skill.title.effectondispel.activates_on_ally_action.healthboost.minordebuff.removalreason.dispel.activates_on_dispel_cast.valid_caster_side.allies","Hälsoökning när allierad försöker rena"
"herocard.passive_skill.title.effectondispel.activates_on_enemy_action.damage.minordebuff.removalreason.dispel.activates_on_dispel_cast.valid_caster_side.enemies","Skada när fiende försöker rena"
"herocard.passive_skill.title.effectondispel.addmana.minorbuff","Få mana vid avbryt"
"herocard.passive_skill.title.effectondispel.addmana.minorbuff.removalreason.dispel","Få mana när en bonus avbryts"
"herocard.passive_skill.title.effectondispel.heal.statuseffectdebuffs.removalreason.dispel.removal.reallocation.expiration","Läk när negativ statuseffekt utgår eller tas bort"
"herocard.passive_skill.title.effectondispel.healthboost.minorbuff.removalreason.dispel","Ökad hälsa vid avbruten bonus"
"herocard.passive_skill.title.effectonfamiliardamagedone.minion.frost","Frost vid undersåteträff"
"herocard.passive_skill.title.effectonheal.addmana","Mana vid hälsoåterställning"
"herocard.passive_skill.title.effectonheal.heal","Extra hälsa vid hälsoåterställning"
"herocard.passive_skill.title.effectonhealsupportcharacter.troop.heal","Extra LÄKNING"
"herocard.passive_skill.title.effectonmanareduction.statuseffects.attackmodifier","Statuseffekt vid manaminskning"
"herocard.passive_skill.title.effectonmanareduction.statuseffects.yellowdefensemodifier","Statuseffekt vid manaminskning"
"herocard.passive_skill.title.effectonresist.activates_on_enemy_action.healthboost.addmana.once","Hälsoökning och mana vid motstånd"
"herocard.passive_skill.title.effectonspecialcastwitheffecttype.activates_on_enemy_action.addmana.on_healthboost_cast","Mana vid hälsoökande specialförmåga"
"herocard.passive_skill.title.effectonspecialcastwitheffecttype.activates_on_enemy_action.healthboost.on_healthboost_cast","Hälsoökning vid fientlig hälsoökning"
"herocard.passive_skill.title.effectonspecialchancepermanaspeed","Effekter på specialförmåga"
"herocard.passive_skill.title.effectonspecialskilldamagedone.bufftoremove.minordebuff.safe.only_criticals","Rensar vid kritisk specialattack"
"herocard.passive_skill.title.effectonspecialskilldamagedone.healthboost.only_criticals","Hälsoökning vid kritisk specialattack"
"herocard.passive_skill.title.effectonspecialskilldamagereceived.healthboost.only_criticals","Hälsoökning vid kritisk specialattack"
"herocard.passive_skill.title.effectonspecialwithchance.activates_on_enemy_action.healthboost","Öka hälsan när fienden använder specialförmåga"
"herocard.passive_skill.title.effectonspecialwithchance.addmana","Mana vid specialförmåga"
"herocard.passive_skill.title.effectonspecialwithchance.bufftoremove.minorbuff.latest","Avbrytning vid specialförmåga"
"herocard.passive_skill.title.effectonspecialwithchance.bufftoremove.minordebuff.latest","Rensa vid specialförmåga"
"herocard.passive_skill.title.effectonspecialwithchance.damage","Skada vid specialförmåga"
"herocard.passive_skill.title.effectonspecialwithchance.heal","Hälsoåterställning vid specialförmåga"
"herocard.passive_skill.title.effectonspecialwithchance.healthboost","Ökad hälsa vid specialförmåga"
"herocard.passive_skill.title.effectonspecialwithchance.statuseffects","Statuseffekt vid specialförmåga"
"herocard.passive_skill.title.effectonspecialwithchance.statuseffects.bleeding","Blödning vid specialförmåga"
"herocard.passive_skill.title.effectonspecialwithchance.statuseffects.curseofdoom","Förhäxning vid specialförmåga"
"herocard.passive_skill.title.effectonspecialwithchance.statuseffects.damageovertime","Skada över tid vid specialförmåga"
"herocard.passive_skill.title.effectonspecialwithchance.statuseffects.extradamageagainstboostedhealth","Ökad skada mot förstärkt hälsa"
"herocard.passive_skill.title.effectonspecialwithchance.statuseffects.huntersmark","Skada över tid vid specialförmåga"
"herocard.passive_skill.title.effectonspecialwithchance.statuseffects.managenerationmodifier","Statuseffekt vid specialförmåga"
"herocard.passive_skill.title.effectonspecialwithchance.statuseffects.poison","Förgifta vid specialförmåga"
"herocard.passive_skill.title.effectonspecialwithchance.statuseffects.possession","Vettlös attack vid specialförmåga"
"herocard.passive_skill.title.effectonspecialwithchance.statuseffects.underwater","Skada över tid vid specialförmåga"
"herocard.passive_skill.title.effectonspecialwithmanaspeedthreshold.activates_on_enemy_action.damage.faster.average.once","Skada vid fientlig specialförmåga"
"herocard.passive_skill.title.effectonstatuseffectaddition.activates_on_enemy_action.addmana.allbuffs.taunt","Mana vid hån"
"herocard.passive_skill.title.effectonstatuseffectaddition.activates_on_enemy_action.addmana.statuseffectbuffs.defensemodifier.once","Mana vid fientlig försvarsbonus"
"herocard.passive_skill.title.effectonstatuseffectaddition.activates_on_enemy_action.statuseffects.ubertitanstackingattackmodifier.allbuffs.defensemodifier","Statuseffekt vid fientlig försvarsbonus"
"herocard.passive_skill.title.effectonstatuseffectaddition.activates_on_enemy_action.statuseffects.ubertitanstackingreceiveddamagemodifier.allbuffs.attackmodifier","Statuseffekt vid fientlig attackbonus"
"herocard.passive_skill.title.effectonstatuseffectaddition.addmana.allbuffs","Mana vid bonus"
"herocard.passive_skill.title.effectonstatuseffectaddition.addmana.alldebuffs","Mana vid negativ statuseffekt"
"herocard.passive_skill.title.effectonstatuseffectaddition.heal.allbuffs","Hälsoåterställning vid bonus"
"herocard.passive_skill.title.effectonstatuseffectaddition.heal.alldebuffs","Hälsoåterställning vid negativ statuseffekt"
"herocard.passive_skill.title.effectonstatuseffectaddition.statuseffects.managenerationmodifier.alldebuffs","Manabonus vid negativ statuseffekt"
"herocard.passive_skill.title.effectonstatuseffectadditionwithchance.addmana.allbuffs","Mana vid bonus"
"herocard.passive_skill.title.effectonstatuseffectadditionwithchance.heal.allbuffs","Hälsoåterställning vid bonus"
"herocard.passive_skill.title.effectonstatuseffectremovalbyspecial.activates_on_ally_action.healthboost","Hälsoökning vid borttagning av statuseffekt"
"herocard.passive_skill.title.effectonstatuseffectremovalbyspecial.activates_on_enemy_action.damage","Skada vid borttagning av statuseffekt"
"herocard.passive_skill.title.effectovertime.revival","Återuppliva över tid"
"herocard.passive_skill.title.effectovertimeperstatuseffect.addmana.everyturn.per.statuseffectbuffs.enemies","Mana per fiendebonus"
"herocard.passive_skill.title.effectovertimeperstatuseffect.healthboost.everyturn.per.poison.statuseffectdebuffs.enemies","Hälsoökning vid förgiftning"
"herocard.passive_skill.title.effectsonminionreceived.activates_on_ally_action.addmana.allies.minion","Mana vid undersåteåkallelse"
"herocard.passive_skill.title.effectsonminionreceived.activates_on_ally_action.heal.addmana.allies.minion","Undersåtarnas vän"
"herocard.passive_skill.title.effectsonparasitereceived.activates_on_enemy_action.addmana.enemies.parasite","Mana vid odjursåkallelse"
"herocard.passive_skill.title.effectsonparasitereceived.activates_on_enemy_action.damage.enemies.parasite","Djurens vrede"
"herocard.passive_skill.title.effectsonparasitereceived.activates_on_enemy_action.healthboost.enemies.parasite","Hälsoökning vid odjursåkallelse"
"herocard.passive_skill.title.familiaraccuracymodifier.all.enemies.minion.bigminion","Förblinda undersåte"
"herocard.passive_skill.title.familiarcoreintrinsicchargeeffectonspecial.summonfamiliar.construct_minion_core","Undersåteskärna"
"herocard.passive_skill.title.familiarhealthmodifier.all.enemies.bigminion.decrease","Svagare megaundersåtar"
"herocard.passive_skill.title.familiarhealthmodifier.all.enemies.minion.decrease","Svagare undersåtar"
"herocard.passive_skill.title.familiarsilencer.all.enemies.bigminion","Stoppa megaundersåtar"
"herocard.passive_skill.title.familiarsilencer.all.enemies.minion.follower","Stoppa undersåtar"
"herocard.passive_skill.title.frost.effectondamageovertime.activates_on_enemy_action.addmana","Mana vid frost"
"herocard.passive_skill.title.glass_reflect_debuffs","Glas"
"herocard.passive_skill.title.growth","Tillväxt"
"herocard.passive_skill.title.guaranteedeffectonspecial","Garanterad effekt vid specialförmåga"
"herocard.passive_skill.title.healmodifier.all.enemies.decrease","Minskad läkning"
"herocard.passive_skill.title.healonheal.heal","Extra LÄKNING"
"herocard.passive_skill.title.healonownfamiliardeath.minion","Hälsa från död undersåte"
"herocard.passive_skill.title.healonownfamiliardeath.minion.healthboost","Boostad hälsa från död undersåte"
"herocard.passive_skill.title.increasedattackperelement.enemies.not.green","Ökad attack för varje icke-naturfiende"
"herocard.passive_skill.title.increasedattackperelement.enemies.not.red","Ökad attack för varje icke-eldfiende"
"herocard.passive_skill.title.increaseddamageagainstfamiliars.minion.bigminion","Extra skada mot undersåtar och megaundersåtar"
"herocard.passive_skill.title.increaseddamageagainstminions","Mer skada mot undersåtar"
"herocard.passive_skill.title.increasedspecialdamageagainsttaunt.taunt","Mer skada mot hån"
"herocard.passive_skill.title.increasespecialdamage","Mer skada med specialförmågor"
"herocard.passive_skill.title.increasespecialdamage.usable_once","Ökad skada för specialförmågor"
"herocard.passive_skill.title.increasespecialdamagesupportcharacter.troop","Ökad skada för specialförmågor"
"herocard.passive_skill.title.insanitydamagereduction","Utvald av de äldre"
"herocard.passive_skill.title.iterateeffectonspecial","Extra chans till effekter vid specialförmåga"
"herocard.passive_skill.title.league_accuracy_modifier_against_family","Liganackdel"
"herocard.passive_skill.title.league_featured_family_resist","Ligafördel"
"herocard.passive_skill.title.league_heal_modifier_against_family","Liganackdel"
"herocard.passive_skill.title.league_heal_modifier_for_family","Ligafördel"
"herocard.passive_skill.title.league_received_damage_modifier_against_non_featured_family","Ligafördel"
"herocard.passive_skill.title.managenerationmodifier.all.enemies","Hindra mana"
"herocard.passive_skill.title.manaonownfamiliardeath.minion","Mana när undersåte dör"
"herocard.passive_skill.title.manaonstatuseffect.debuff","Mana från negativa effekter"
"herocard.passive_skill.title.memorizefamiliars.activates_on_enemy_action","Memorera fiendens understår och odjur"
"herocard.passive_skill.title.memorizestatuseffects","Memorera statuseffekter"
"herocard.passive_skill.title.mimic_dread_damage_minions","Fruktan"
"herocard.passive_skill.title.mimiclootonlevelcompleted","Härmarbyte"
"herocard.passive_skill.title.nevermissspecial","Perfekt träffsäkerhet"
"herocard.passive_skill.title.ransack","Tjuvsinne"
"herocard.passive_skill.title.reallocatestatuseffectonspecialcast.damage.minorbuff.newest","Stjäl bonus"
"herocard.passive_skill.title.reallocatestatuseffectonspecialcast.heal.minordebuff.newest","Jägarsinne"
"herocard.passive_skill.title.received_strong_troop_damage_pve","Skademinskning till trupper"
"herocard.passive_skill.title.receivedstrongelementsupportcharacterdamage","Truppbemästring"
"herocard.passive_skill.title.receivedstrongelementsupportcharacterdamage.increase.dragon","Stark skadeökning för eldklot"
"herocard.passive_skill.title.redirectlethaldamage.enemies.single","Lura döden"
"herocard.passive_skill.title.remove_growth_from_enemies","Vaktsamling"
"herocard.passive_skill.title.remove_wither_from_allies","Vaktsamling"
"herocard.passive_skill.title.repaircoreintrinsicchargeeffectonspecial.healthboost","Reparationskärna"
"herocard.passive_skill.title.repeat_special_once","Lyckost"
"herocard.passive_skill.title.resist.accuracymodifiers","Motstå blindhet"
"herocard.passive_skill.title.resist.alldebuffs","Motstå negativa statuseffekter"
"herocard.passive_skill.title.resist.alldebuffs.alldebuffs","Motstå alla negativa effekter"
"herocard.passive_skill.title.resist.alldebuffs.manareduction.buffdispels","Toppmotstånd"
"herocard.passive_skill.title.resist.alldefensemodifiers.alldebuffs","Motstå negativa försvarseffekter"
"herocard.passive_skill.title.resist.alldefensemodifiers.defensewither.alldebuffs","Motstå försvarsreduktion"
"herocard.passive_skill.title.resist.allmanaeffects.alldebuffs","Motstå negativa effekter på mana"
"herocard.passive_skill.title.resist.allmanaeffects.manareduction.alldebuffs","Motstå negativa manaeffekter"
"herocard.passive_skill.title.resist.allstatuseffectdamage.none","Motstå statuseffekters skada"
"herocard.passive_skill.title.resist.attackdelay","Motstå attackförsening"
"herocard.passive_skill.title.resist.attackmodifiers","Motstå negativa attackeffekter"
"herocard.passive_skill.title.resist.attackmodifiers.allstatuseffectsandstacks","Motstå statuseffekter mot attack"
"herocard.passive_skill.title.resist.attackmodifiers.attackwither.alldebuffs","Motstå attackminskning"
"herocard.passive_skill.title.resist.bleed","Motstå blödning"
"herocard.passive_skill.title.resist.bleed.with_effect.healthboost.addmana","Stärkt blödningsmotstånd"
"herocard.passive_skill.title.resist.buffdispels","Motstå avbrytande"
"herocard.passive_skill.title.resist.buffimmunity","Motstå blockering av bonusar"
"herocard.passive_skill.title.resist.burn","Motstå eld"
"herocard.passive_skill.title.resist.burn.with_effect.healthboost.addmana","Stärkt eldmotstånd"
"herocard.passive_skill.title.resist.criticalhits.none","Motstå kritiska träffar"
"herocard.passive_skill.title.resist.defensemodifiers.alldebuffs","Motstå negativa försvarseffekter"
"herocard.passive_skill.title.resist.familiarremoval.familiarsilence.familiarreceivingblocking.minion","Ostoppbara undersåtar"
"herocard.passive_skill.title.resist.frost","Motstå frost"
"herocard.passive_skill.title.resist.frost.with_effect.healthboost.addmana","Stärkt frostmotstånd"
"herocard.passive_skill.title.resist.healeffects","Motstå negativa läkningseffekter"
"herocard.passive_skill.title.resist.healthsteal","Motstå stöld av hälsa"
"herocard.passive_skill.title.resist.insanity.permanentstatuseffects","Motstå vansinne"
"herocard.passive_skill.title.resist.manadebuffs","Motstå negativa effekter på mana"
"herocard.passive_skill.title.resist.manaeffectsandspecialblocking","Motstå negativa effekter på mana och blockering av specialförmåga"
"herocard.passive_skill.title.resist.managenerationmodifiers.alldebuffs","Motstå negativa effekter på managenerering"
"herocard.passive_skill.title.resist.manareduction","Motstå direkt manaminskning"
"herocard.passive_skill.title.resist.manareduction.none.with_effect.healthboost.addmana","Stärkt motstånd mot manaminskning"
"herocard.passive_skill.title.resist.maxhealthreduction","Motstå minskning av maximal hälsa"
"herocard.passive_skill.title.resist.poison","Motstå gift"
"herocard.passive_skill.title.resist.poison.burn.bleed","Motstå förgiftning, eld och blödning"
"herocard.passive_skill.title.resist.possession.allstatuseffects","Motstå besättning"
"herocard.passive_skill.title.resist.sand","Motstå sand"
"herocard.passive_skill.title.resist.specialblocking","Motstå blockering av specialförmåga"
"herocard.passive_skill.title.resist.specialblocking.with_effect.healthboost.addmana","Förstärkt motstånd mot blockering av specialförmåga"
"herocard.passive_skill.title.resist.stopmanageneration","Motstå hindrande av managenerering"
"herocard.passive_skill.title.resist.water","Motstå vatten"
"herocard.passive_skill.title.resist_all_defense_effects","Egenskap: 
Vig kropp"
"herocard.passive_skill.title.resistdebuffsfromfamiliars.minion","Stå emot statuseffekter från undersåtar"
"herocard.passive_skill.title.resistfamiliarremoval.minion.bigminion","Motstå borttagning av undersåtar"
"herocard.passive_skill.title.resistnegativefamiliareffects.minion","Motstå undersåtars negativa effekter"
"herocard.passive_skill.title.resistnegativefamiliareffects.minion.bigminion","Överlägset motstånd mot undersåtars negativa effekter"
"herocard.passive_skill.title.resistnewfamiliars.parasite","Stå emot odjur"
"herocard.passive_skill.title.resistnewfamiliars.parasite.bigparasite","Stå emot odjur och megaodjur"
"herocard.passive_skill.title.resistsupportcharacter.troop.alldebuffs","Motstå negativa statuseffekter"
"herocard.passive_skill.title.revivalchancemodifier.all.enemies","Sämre återupplivningschans"
"herocard.passive_skill.title.revivalhealthmodifier.all.enemies.excluding.boss","Minskad återupplivningshälsa"
"herocard.passive_skill.title.revive_chance_nine_lives","Nio liv"
"herocard.passive_skill.title.reviveinalternativeformwithinsanitychance","Kuslig pakt"
"herocard.passive_skill.title.revivewithchance","Återuppliva"
"herocard.passive_skill.title.setstatuseffectdurationonaddition.all.allies.activates_on_ally_action.alldebuffs.dance","Snabbt tempo: ballad"
"herocard.passive_skill.title.setstatuseffectdurationonaddition.single.enemies.activates_on_enemy_action.allbuffs.dance","Snabbt tempo: dans"
"herocard.passive_skill.title.sharereceiveddamage","Dela mottagen skada"
"herocard.passive_skill.title.short.generic","Passiv"
"herocard.passive_skill.title.short.league","Fördel"
"herocard.passive_skill.title.short.league.non_featured","Nackdel"
"herocard.passive_skill.title.short.trait","Egenskap"
"herocard.passive_skill.title.sidedependentpassiveskill.side_dependent_elemental_mask","Elementmask"
"herocard.passive_skill.title.sidedependentpassiveskill.strong_troop_damage_modifier","Truppbemästring"
"herocard.passive_skill.title.sidedependentpassiveskill.strong_troop_damage_modifier_costume","Truppbemästring"
"herocard.passive_skill.title.sidedependentpassiveskill.tile_enhancement_blue_on_special_titan_hunter_parent","Förstärkta sköldar vid special"
"herocard.passive_skill.title.sidedependentpassiveskill.tile_enhancement_green_on_special_titan_hunter_parent","Förstärkta sköldar vid special"
"herocard.passive_skill.title.sidedependentpassiveskill.tile_enhancement_purple_on_special_titan_hunter_parent","Förstärkta sköldar vid special"
"herocard.passive_skill.title.sidedependentpassiveskill.tile_enhancement_red_on_special_titan_hunter_parent","Förstärkta sköldar vid special"
"herocard.passive_skill.title.sidedependentpassiveskill.tile_enhancement_yellow_on_special_titan_hunter_parent","Förstärkta sköldar vid special"
"herocard.passive_skill.title.specialdamagereduction","Skademinskning för specialförmåga"
"herocard.passive_skill.title.specialdamagereductionsupportcharacter.troop","Skademinskning för specialförmåga"
"herocard.passive_skill.title.startbattlewitheffect.addmana","Starta striden med mana"
"herocard.passive_skill.title.statmodifier.attack","Vildsint"
"herocard.passive_skill.title.statmodifier.defense","Bepansrad"
"herocard.passive_skill.title.statmodifier.health","Motståndskraftig"
"herocard.passive_skill.title.statuseffectattackmodifier.addition","Öka statuseffektanfall"
"herocard.passive_skill.title.statuseffectattackmodifier.all.allies.reduction","Svagare negativa attackeffekter"
"herocard.passive_skill.title.statuseffectattackmodifier.reduction","Svagare negativa attackeffekter"
"herocard.passive_skill.title.statuseffectattackmodifiersupportcharacter.troop.addition","Öka statuseffektanfall"
"herocard.passive_skill.title.statuseffectattackmodifiersupportcharacter.troop.reduction","Svagare negativa attackeffekter"
"herocard.passive_skill.title.statuseffectdefensemodifier.addition","Öka statuseffektförsvar"
"herocard.passive_skill.title.statuseffectdefensemodifier.all.allies.reduction","Svagare negativa försvarseffekter"
"herocard.passive_skill.title.statuseffectdefensemodifier.reduction","Svagare negativa försvarseffekter"
"herocard.passive_skill.title.statuseffectdefensemodifiersupportcharacter.troop.addition","Öka statuseffektförsvar"
"herocard.passive_skill.title.statuseffectdefensemodifiersupportcharacter.troop.reduction","Svagare negativa försvarseffekter"
"herocard.passive_skill.title.statuseffectdurationmodifier","Öka tid för bonusar"
"herocard.passive_skill.title.statuseffectdurationmodifier.decrease.minordebuff.majordebuff","Minska tiden för negativa effekter"
"herocard.passive_skill.title.statuseffectdurationmodifier.decrease.minordebuff.majordebuff.defensemodifier.no_limit","Minska tiden för negativa försvarseffekter"
"herocard.passive_skill.title.statuseffectdurationmodifier.increase.minorbuff.majorbuff","Öka tid för bonusar"
"herocard.passive_skill.title.statuseffectoncleanse.single.enemies","Kopiera negativ effekt vid rensning"
"herocard.passive_skill.title.statuseffectonspecialcast.attackmodifierfrompassiveskill","Jägarens styrka"
"herocard.passive_skill.title.statuseffectonspecialcast.damageonhitreceived","Titanjägarens märke"
