"heroes.name_fancy.astral_cosmicspeaker","Astralelfenastronom"
"heroes.name_fancy.magic_carpet_manpip","Nervöser Zauberteppichpilot"
"heroes.name_fancy.magic_carpet_naeem","Zauberteppich-Drifter"
"heroes.name_fancy.magic_carpet_ragrim","Zauberteppich-Botaniker"
"heroes.name_fancy.magic_carpet_shareef","Unaufhaltbarer Zauberer"
"heroes.name_fancy.magic_carpet_zazha","Zauberteppich-Heilerin"
"heroes.name_fancy.magic_cristobal","Professor der Zaubersprüche"
"heroes.name_fancy.magic_cristobal_costume_emerald","Professor für Verzauberungen"
"heroes.name_fancy.magic_dolgoon","Gebildeter Bibliothekar"
"heroes.name_fancy.magic_jett","Vorbote von Opfern"
"heroes.name_fancy.magic_kornel","Alter Betreuer"
"heroes.name_fancy.magic_lucy","Magieball-Wunder"
"heroes.name_fancy.magic_milena","Lehrerin der arkanen Künste"
"heroes.name_fancy.magic_milena_costume_ice","Lehrer der arktischen Zaubersprüche"
"heroes.name_fancy.magic_motega","Hausmeister"
"heroes.name_fancy.magic_nadezhda","Direktorin im Turm"
"heroes.name_fancy.magic_nadezhda_costume_postmaster","Turm-Postmeister"
"heroes.name_fancy.magic_ray","Meister am Hofe"
"heroes.name_fancy.magic_ray_costume_spiky","Brombeer-Beherrscher"
"heroes.name_fancy.magic_roxia","Uralter Kritzelenthusiast"
"heroes.name_fancy.magic_sergei","Schüler des Arkanen"
"heroes.name_fancy.magic_telonius","Zentaur der Waldlande"
"heroes.name_fancy.magic_telonius_costume_brew","Zentaur der Schankstube"
"heroes.name_fancy.magic_ulius","Seltsamer Erfinderzauberer"
"heroes.name_fancy.magic_ulius_costume_buccaneer","Spezieller arkaner Seeräuber"
"heroes.name_fancy.magic_vaishali","Mystischer Schachmeister"
"heroes.name_fancy.magic_vaishali_costume_chef","Meister der mysteriösen Kuchen"
"heroes.name_fancy.magic_willow","Meister der Levitation"
"heroes.name_fancy.magitech_sniper","Magitech-Scharfschütze"
"heroes.name_fancy.magitech_sniper_costume_cute","Toon-Scharfschütze"
"heroes.name_fancy.magitech_sniper_costume_glass","Glas-Scharfschütze"
"heroes.name_fancy.magitech_sniper_costume_steampunk","Steampunk-Scharfschütze"
"heroes.name_fancy.magitech_sniper_costume_undead","Untote Scharfschützin"
"heroes.name_fancy.mahayoddha_ali","Begabter Laufbursche"
"heroes.name_fancy.mahayoddha_bhima","Sohn von Vayu"
"heroes.name_fancy.mahayoddha_bonga","Korbflechter"
"heroes.name_fancy.mahayoddha_chitrangada","Kriegerprinzessin Manipura"
"heroes.name_fancy.mahayoddha_devyani","Stürmische Kriegerprinzessin"
"heroes.name_fancy.mahayoddha_jyoti","Chari-Tänzerin"
"heroes.name_fancy.mahayoddha_meenakshi","Kokosnuss-Chechi"
"heroes.name_fancy.mahayoddha_rafeeq","Gerissener Politiker"
"heroes.name_fancy.mahayoddha_ustad_anand","Königlicher Künstler"
"heroes.name_fancy.mahayoddha_veer","Stolzer Assassine"
"heroes.name_fancy.masquerade_alessia","Anhänger von Aradia"
"heroes.name_fancy.masquerade_aradia","Maskierte Göttin der Hexerei"
"heroes.name_fancy.masquerade_carmenta","Maskierte Göttin der Zaubersprüche"
"heroes.name_fancy.masquerade_cel","Maskierte Göttin der Erde"
"heroes.name_fancy.masquerade_februus","Maskierter Gott der Reinigung"
"heroes.name_fancy.masquerade_fortuna","Maskierte Göttin des Schicksals"
"heroes.name_fancy.masquerade_fosco","Anhänger von Februus"
"heroes.name_fancy.masquerade_jana","Maskierte Göttin des Mondes"
"heroes.name_fancy.masquerade_jove","Maskierter Gott des Himmels"
"heroes.name_fancy.masquerade_umbria","Maskierte Göttin der Schatten"
"heroes.name_fancy.mighty_pet_barkley","Bell-izist"
"heroes.name_fancy.mighty_pet_bubbles","Illusionskünstlerin"
"heroes.name_fancy.mighty_pet_chomper","Hamsterschläger-Champion"
"heroes.name_fancy.mighty_pet_cinnamon","Ritter des Arktikkreises"
"heroes.name_fancy.mighty_pet_cupcake","Pfotastischer Bandit"
"heroes.name_fancy.mighty_pet_furdinand","Grobian der Hundeexpedition"
"heroes.name_fancy.mighty_pet_hachiko","Treuer Welpe"
"heroes.name_fancy.mighty_pet_luna","Sicheleule"
"heroes.name_fancy.mighty_pet_ribbit","Gladiator des Froschkönigreichs"
"heroes.name_fancy.mighty_pet_rufus","Pelziger Holzfäller"
"heroes.name_fancy.mighty_pet_snowball","Gemeine Streunerkatze"
"heroes.name_fancy.mighty_pet_toto","Hundeerzähler"
"heroes.name_fancy.mighty_pet_waddles","Hauptmann der Entenwache"
"heroes.name_fancy.mimic_aether_blue","Leeres Lager an Stäben"
"heroes.name_fancy.mimic_aether_green","Leeres Lager an Stäben"
"heroes.name_fancy.mimic_aether_purple","Leeres Lager an Stäben"
"heroes.name_fancy.mimic_aether_red","Leeres Lager an Stäben"
"heroes.name_fancy.mimic_aether_yellow","Leeres Lager an Stäben"
"heroes.name_fancy.mimic_ascension_epic_yellow","Grinsender Hort des geringeren Bösen"
"heroes.name_fancy.mimic_ascension_item_blue","Grinsender Hort des Bösen"
"heroes.name_fancy.mimic_ascension_item_green","Grinsender Hort des Bösen"
"heroes.name_fancy.mimic_ascension_item_purple","Grinsender Hort des Bösen"
"heroes.name_fancy.mimic_ascension_item_red","Grinsender Hort des Bösen"
"heroes.name_fancy.mimic_ascension_item_yellow","Grinsender Hort des Bösen"
"heroes.name_fancy.mimic_emblem_blue","Furchterregende einäugige Schatulle"
"heroes.name_fancy.mimic_emblem_green","Furchterregende einäugige Schatulle"
"heroes.name_fancy.mimic_emblem_purple","Furchterregende einäugige Schatulle"
"heroes.name_fancy.mimic_emblem_red","Furchterregende einäugige Schatulle"
"heroes.name_fancy.mimic_emblem_yellow","Furchterregende einäugige Schatulle"
"heroes.name_fancy.mimic_experience_rare_red","Kiste der winzigen Zähne"
"heroes.name_fancy.mimic_training_hero_blue","Fund der tausend Zähne"
"heroes.name_fancy.mimic_training_hero_green","Fund der tausend Zähne"
"heroes.name_fancy.mimic_training_hero_purple","Fund der tausend Zähne"
"heroes.name_fancy.mimic_training_hero_red","Fund der tausend Zähne"
"heroes.name_fancy.mimic_training_hero_yellow","Fund der tausend Zähne"
"heroes.name_fancy.monster_hunter_adalinda","Prinzessin der Jagd"
"heroes.name_fancy.monster_hunter_amund","Hartnäckiger Spurenleser"
"heroes.name_fancy.monster_hunter_basil","Maus der Jagd"
"heroes.name_fancy.monster_hunter_berit","Beryll-Schlägerin"
"heroes.name_fancy.monster_hunter_bogart","Sumpfjäger"
"heroes.name_fancy.monster_hunter_bonecrusher","Silberrücken-Häuptling"
"heroes.name_fancy.monster_hunter_cedar","Schimpansen-Kettenmeister"
"heroes.name_fancy.monster_hunter_cleaver","Jagender Häuptling"
"heroes.name_fancy.monster_hunter_dabria","Jäger-Okkultist"
"heroes.name_fancy.monster_hunter_dawn","Jagende Minnesängerin"
"heroes.name_fancy.monster_hunter_dubhain","Auserwählter des Sturmgotts"
"heroes.name_fancy.monster_hunter_ebba","Jagende Söldnerin"
"heroes.name_fancy.monster_hunter_edelaide","Nomadin der Wildnis"
"heroes.name_fancy.monster_hunter_fianna","Waldfallenlegerin"
"heroes.name_fancy.monster_hunter_goretooth","Wilder Jäger"
"heroes.name_fancy.monster_hunter_greel","Wilder Freibeuter"
"heroes.name_fancy.monster_hunter_hammertusk","Kräftiger prügelnder Barbar"
"heroes.name_fancy.monster_hunter_hawthorn","Jagender Reisender"
"heroes.name_fancy.monster_hunter_hurricane","Affen-Assassine"
"heroes.name_fancy.monster_hunter_kai","Jagender Ritter"
"heroes.name_fancy.monster_hunter_knuckles","Makaken-Wächter"
"heroes.name_fancy.monster_hunter_maheegan","Wolfsspurenleser"
"heroes.name_fancy.monster_hunter_malin","Titanenknochen-Kriegerin"
"heroes.name_fancy.monster_hunter_meadow","Stammesjägerin"
"heroes.name_fancy.monster_hunter_mistweaver","Orang-Utan-Kämpfer"
"heroes.name_fancy.monster_hunter_njal","Jäger des Nordwinds"
"heroes.name_fancy.monster_hunter_numbskull","Tollpatschiges Skelett"
"heroes.name_fancy.monster_hunter_otis","Jäger-Klingenmeister"
"heroes.name_fancy.monster_hunter_revna","Karneoljägerin"
"heroes.name_fancy.monster_hunter_ruadh","Abgrundjäger"
"heroes.name_fancy.monster_hunter_sigyn","Skorpionzüchter"
"heroes.name_fancy.monster_hunter_sorcha","Hartnäckige Jägerin"
"heroes.name_fancy.monster_hunter_sorrow","Eisgeist"
"heroes.name_fancy.monster_hunter_staintongue","Unerbittlicher Jäger"
"heroes.name_fancy.monster_hunter_sune","Malachitjäger"
"heroes.name_fancy.monster_hunter_thunderclap","Wütender Gorilla"
"heroes.name_fancy.monster_hunter_thura","Gesegnete Jägerin"
"heroes.name_fancy.monster_hunter_tremor","Pavian-Schwertmeister"
"heroes.name_fancy.monster_hunter_waterpipe","Harpunentechniker"
"heroes.name_fancy.moth_auricarc","Der Motten-Meisterschütze"
"heroes.name_fancy.moth_chimister","Die Labormotte"
"heroes.name_fancy.moth_chunkyroi","Marquis-Motte"
"heroes.name_fancy.moth_furgeant","Der Motten-Moloch"
"heroes.name_fancy.moth_gardered","Die waghalsige Motte"
"heroes.name_fancy.moth_grovevert","Mottenzüchter"
"heroes.name_fancy.moth_joyvert","Mottenmusiker"
"heroes.name_fancy.moth_lilareine","Marquis-Motte"
"heroes.name_fancy.moth_limeboire","Motten-Barkeeper"
"heroes.name_fancy.moth_mortewitch","Der Mottenzauberer"
"heroes.name_fancy.moth_pepperbleu","Der Mottenmagier"
"heroes.name_fancy.moth_rosepetite","Junger Mottenmaler"
"heroes.name_fancy.moth_satinpimenter","Die Klerikermotte"
"heroes.name_fancy.moth_shyombre","Schattenmotte"
"heroes.name_fancy.moth_tealmoine","Motte des Nebels"
"heroes.name_fancy.musketeer_aramis","Romantischer Musketier"
"heroes.name_fancy.musketeer_aramis_costume_boulanger","Bäcker-Musketier"
"heroes.name_fancy.musketeer_athos","Musketier-Veteran"
"heroes.name_fancy.musketeer_athos_costume_farrier","Hufschmied-Musketier"
"heroes.name_fancy.musketeer_cardinal_richelieu","Heuchlerischer Herzog"
"heroes.name_fancy.musketeer_constance","Mutiger Musketier"
"heroes.name_fancy.musketeer_dartagnan","Feuriger Musketier"
"heroes.name_fancy.musketeer_felton","Verkommener Assassine"
"heroes.name_fancy.musketeer_felton_costume_pirate","Herzloser Pirat"
"heroes.name_fancy.musketeer_kitty","Freundliche Floristin"
"heroes.name_fancy.musketeer_milady_de_winter","Skrupellose Schurkin"
"heroes.name_fancy.musketeer_planchet","Heldenhafter Diener"
"heroes.name_fancy.musketeer_porthos","Fröhlicher Musketier"
"heroes.name_fancy.musketeer_porthos_costume_merchant","Händler-Musketier"
"heroes.name_fancy.musketeer_queen_anne","Eleganter Monarch"
"heroes.name_fancy.musketeer_rochefort","Skrupelloser Schurke"
"heroes.name_fancy.musketeer_villiers","Aufgeblasener Herzog"
"heroes.name_fancy.musketeer_villiers_costume_jester","Pompöser Narr"
"heroes.name_fancy.mystery_enigmo","Beschwörungsfrage"
"heroes.name_fancy.nature_god_balbar","Einsamer Botaniker"
"heroes.name_fancy.nature_god_bertila","Der grüne Ritter"
"heroes.name_fancy.nature_god_bo_and_runt","Rudelführer"
"heroes.name_fancy.nature_god_chloris","Blumengeist"
"heroes.name_fancy.nature_god_cinisia","Meliai-Kriegsmagierin"
"heroes.name_fancy.nature_god_florenna","Anmutiger Elaphocentaur"
"heroes.name_fancy.nature_god_leadria","Königin des ewigen Frühlings"
"heroes.name_fancy.nature_god_liora","Die gutmütige Banditin"
"heroes.name_fancy.nature_god_mystia","Betörende Zauberin"
"heroes.name_fancy.nature_god_silvaria","Waldgott"
"heroes.name_fancy.nature_god_viselus","Seuchenwandler-Druide"
"heroes.name_fancy.ninja_amethyst","Verborgener Meuchelmörder"
"heroes.name_fancy.ninja_ametrine","Ninja der versteckten Klingen"
"heroes.name_fancy.ninja_aurum","Zuversichtliche Kunoichi"
"heroes.name_fancy.ninja_azurite","Ninja-Späher"
"heroes.name_fancy.ninja_chikao","Lautloser Angreifer"
"heroes.name_fancy.ninja_cobalt","Ninja der flüsternden See"
"heroes.name_fancy.ninja_ekanite","Shinobi-Truppenanführer"
"heroes.name_fancy.ninja_garnet","Ninja der hohen Lebendigkeit"
"heroes.name_fancy.ninja_iga","Meister des Kunai-Sturms"
"heroes.name_fancy.ninja_ito","Bezwingender Shinobi"
"heroes.name_fancy.ninja_jade","Ninja der tanzenden Sterne"
"heroes.name_fancy.ninja_kinsaishi","Donnernder Ninjamönch"
"heroes.name_fancy.ninja_kushanku","Die Faust der Täuschung"
"heroes.name_fancy.ninja_malum","Skrupelloser Shinobi"
"heroes.name_fancy.ninja_mica","Ninja der stummen Schreie"
"heroes.name_fancy.ninja_morganite","Ninja der verblassenden Schatten"
"heroes.name_fancy.ninja_myoinni","Der stärkste Bannerherr"
"heroes.name_fancy.ninja_nomad","Lautloser Henker"
"heroes.name_fancy.ninja_oniwakamaru","Schattenmönch der 999 Schwerter"
"heroes.name_fancy.ninja_onyx","Ninja der trügerischen Winde"
"heroes.name_fancy.ninja_osamu","Ninja der eisernen Disziplin"
"heroes.name_fancy.ninja_peridot","Ninja der tödlichen Gifte"
"heroes.name_fancy.ninja_quartz","Ninja der ruhigen Gräber"
"heroes.name_fancy.ninja_ruby","Der rote Oni-Ninja"
"heroes.name_fancy.ninja_sapphire","Ninja der springenden Schatten"
"heroes.name_fancy.ninja_satsui","Schattenhafte Kunoichi"
"heroes.name_fancy.ninja_sawano","Treue Kunoichi"
"heroes.name_fancy.ninja_serandite","Ninja der durchdringenden Flammen"
"heroes.name_fancy.ninja_shale","Ninja der fliegenden Kraft"
"heroes.name_fancy.ninja_tametomo","Großbogen-Saboteur"
"heroes.name_fancy.ninja_topaz","Ninja der perfekten Präzision"
"heroes.name_fancy.ninja_tora","Lautlose Jägerin"
"heroes.name_fancy.ninja_umeko","Giftblumen-Ninja"
"heroes.name_fancy.ninja_zircon","Ninja der ruhigen Wogen"
"heroes.name_fancy.nomad_axe_adventurer","Mutiger Kopfgeldjäger"
"heroes.name_fancy.nomad_axe_adventurer_costume_cute","Toon-Kopfgeldjäger"
"heroes.name_fancy.nomad_axe_adventurer_costume_glass","Glas-Kopfgeldjäger"
"heroes.name_fancy.nomad_axe_adventurer_costume_magma","Feuriger Kopfgeldjäger"
"heroes.name_fancy.nomad_axe_adventurer_costume_tracker","Mutiger Spurenleser"
"heroes.name_fancy.nomad_female_archer","Begabter Fallensteller"
"heroes.name_fancy.nomad_female_assassin","Sandmeer-Räuber"
"heroes.name_fancy.nomad_female_assassin_costume_cute","Pirat auf dem Toon-Meer"
"heroes.name_fancy.nomad_female_assassin_costume_dancer","Tänzer aus dem Sandmeer"
"heroes.name_fancy.nomad_female_assassin_costume_glass","Angreifer vom Glasmeer"
"heroes.name_fancy.nomad_female_assassin_costume_poison","Assassine des Sandmeers"
"heroes.name_fancy.nomad_female_berserker","Dragonia-Priesterin"
"heroes.name_fancy.nomad_female_berserker_costume_cute","Toon von Dragonia"
"heroes.name_fancy.nomad_female_berserker_costume_glass","Vitrail von Dragonia"
"heroes.name_fancy.nomad_female_berserker_costume_shaman","Schamane von Dragonia"
"heroes.name_fancy.nomad_female_berserker_costume_sorceress","Hexerin von Dragonia"
"heroes.name_fancy.nomad_female_captain","Lady von Windemer"
"heroes.name_fancy.nomad_female_captain_costume_cute","Windemer-Toon"
"heroes.name_fancy.nomad_female_captain_costume_glass","Vitrail von Windemer"
"heroes.name_fancy.nomad_female_captain_costume_pirate","Schrecken von Windemer"
"heroes.name_fancy.nomad_female_captain_costume_thief","Meisterdiebin von Windemer"
"heroes.name_fancy.nomad_female_lord","Hauptmann der Königswache"
"heroes.name_fancy.nomad_female_lord_costume_cute","Hauptmann der königlichen Toons"
"heroes.name_fancy.nomad_female_lord_costume_flame","Hauptmann des Feuers"
"heroes.name_fancy.nomad_female_lord_costume_glass","Hauptmann der Glaswache"
"heroes.name_fancy.nomad_female_lord_costume_wicked","Kapitänin der Bösen"
"heroes.name_fancy.nomad_female_shaman","Aufsteigender Schamane"
"heroes.name_fancy.nomad_female_shaman_costume_cute","Aufsteigender Toon"
"heroes.name_fancy.nomad_female_shaman_costume_glass","Aufsteigender Vitrail"
"heroes.name_fancy.nomad_female_shaman_costume_native","Aufsteigender Heiler"
"heroes.name_fancy.nomad_female_swordmaster","Thronsucherin"
"heroes.name_fancy.nomad_female_swordmaster_costume_cute","Sucherin der Toons"
"heroes.name_fancy.nomad_female_swordmaster_costume_glass","Glassucher"
"heroes.name_fancy.nomad_female_swordmaster_costume_native","Gottsucher"
"heroes.name_fancy.nomad_female_thief","Junger Reisender"
"heroes.name_fancy.nomad_fighter","Grober Schläger"
"heroes.name_fancy.nomad_mage","Sandmeer-Magier"
"heroes.name_fancy.nomad_mage_costume_cute","Magier vom Toon-Meer"
"heroes.name_fancy.nomad_mage_costume_glass","Nomade vom Glasmeer"
"heroes.name_fancy.nomad_mage_costume_goggles","Zauberer vom Sandmeer"
"heroes.name_fancy.nomad_mage_costume_stylish","Stylischer Magier"
"heroes.name_fancy.nomad_scout","Schlauer Söldner"
"heroes.name_fancy.nomad_shaman","Diener der Uralten"
"heroes.name_fancy.nordic_ancestral_warrior","Dunkle Waise"
"heroes.name_fancy.nordic_ancestral_warrior_costume_corrupted","Erbe des Bösen"
"heroes.name_fancy.nordic_ancestral_warrior_costume_cute","Dunkler Toon"
"heroes.name_fancy.nordic_ancestral_warrior_costume_glass","Dunkler Vitrail"
"heroes.name_fancy.nordic_ancestral_warrior_costume_messenger","Dunkler Botschafter"
"heroes.name_fancy.nordic_ancestral_warrior_costume_stylish","Erbe des Bösen Stils"
"heroes.name_fancy.nordic_chained_werewolf","Der Wilde"
"heroes.name_fancy.nordic_chained_werewolf_costume_cute","Der Wilde Toon"
"heroes.name_fancy.nordic_chained_werewolf_costume_glass","Das wilde Glas"
"heroes.name_fancy.nordic_chained_werewolf_costume_raccoon","Knoblauchdieb"
"heroes.name_fancy.nordic_female_scout","Wilde Maid"
"heroes.name_fancy.nordic_female_warrior","Verbannter Krieger"
"heroes.name_fancy.nordic_ice_enchantress","Glaceholm-Beschützer"
"heroes.name_fancy.nordic_ice_enchantress_costume_aqua","Glaceholm-Eishexe"
"heroes.name_fancy.nordic_ice_enchantress_costume_cute","Beschützer der Toons"
"heroes.name_fancy.nordic_ice_enchantress_costume_glass","Vitrail von Glaceholm"
"heroes.name_fancy.nordic_ice_enchantress_costume_ruler","Herrscherin von Glaceholm"
"heroes.name_fancy.nordic_mage","Glaceholm-Magier"
"heroes.name_fancy.nordic_mage_costume_cute","Toon von Glaceholm"
"heroes.name_fancy.nordic_mage_costume_glass","Vitrail von Glaceholm"
"heroes.name_fancy.nordic_mage_costume_hermit","Einsiedler von Glaceholm"
"heroes.name_fancy.nordic_male_lord","Hammer der Gerechtigkeit"
"heroes.name_fancy.nordic_male_lord_costume_cute","Hammer der Toon-Kraft"
"heroes.name_fancy.nordic_male_lord_costume_glass","Glashammer"
"heroes.name_fancy.nordic_male_lord_costume_injustice","Hammer der Ungerechtigkeit"
"heroes.name_fancy.nordic_male_lord_costume_senior","Axt der Gerechtigkeit"
"heroes.name_fancy.nordic_male_lord_costume_stylish","Paladin des Stils"
"heroes.name_fancy.nordic_swordman","Schneidiger Duellant"
"heroes.name_fancy.nordic_swordman_costume_climber","Adretter Kletterer"
"heroes.name_fancy.nordic_swordman_costume_cute","Talentierter Toon"
"heroes.name_fancy.nordic_swordman_costume_glass","Glasduellant"
"heroes.name_fancy.nordic_swordman_costume_stylish","Stilvoller Duellant"
"heroes.name_fancy.nordic_warrior","Sorgenfreier Abenteurer"
"heroes.name_fancy.orc_gladiator","Der Beständige"
"heroes.name_fancy.orc_gladiator_costume_chef","Gusseisen-Koch"
"heroes.name_fancy.orc_gladiator_costume_cute","Der unerschütterliche Toon"
"heroes.name_fancy.orc_gladiator_costume_glass","Der Reflektierende"
"heroes.name_fancy.orc_gladiator_costume_sage","Der wilde Weise"
"heroes.name_fancy.orc_gladiator_costume_stylish","Der Schicke"
"heroes.name_fancy.orc_skirmisher","Halbblutkämpfer"
"heroes.name_fancy.orc_troopmaster","Der Hungrige"
"heroes.name_fancy.orc_troopmaster_costume_cute","Der hungrige Toon"
"heroes.name_fancy.orc_troopmaster_costume_glass","Der hungrige Vitrail"
"heroes.name_fancy.orc_troopmaster_costume_gourmet","Der Feinschmecker"
"heroes.name_fancy.orc_troopmaster_costume_merchant","Der Lüsterne"
"heroes.name_fancy.orc_warrior","Erster im Kampf"
"heroes.name_fancy.orc_warrior_costume_cute","Erster Toon im Kampf"
"heroes.name_fancy.orc_warrior_costume_glass","Der Letzte, der zerspringt"
"heroes.name_fancy.orc_warrior_costume_urukhai","Letzter beim Rückzug"
"heroes.name_fancy.oriental_brawler","Nobler Verteidiger"
"heroes.name_fancy.oriental_brawler_costume_cute","Toon-Schläger"
"heroes.name_fancy.oriental_brawler_costume_egypt","Nobler Schläger"
"heroes.name_fancy.oriental_brawler_costume_glass","Glas-Schläger"
"heroes.name_fancy.oriental_enchanted_monk","Flamme der Sonne"
"heroes.name_fancy.oriental_enchanted_monk_costume_cute","Toon der Sonne"
"heroes.name_fancy.oriental_enchanted_monk_costume_glass","Vitrail der Sonne"
"heroes.name_fancy.oriental_enchanted_monk_costume_stoneguard","Macht der Sonne"
"heroes.name_fancy.oriental_enchanted_monk_costume_tiger","Zorn der Sonne"
"heroes.name_fancy.oriental_falconer","Meistertaktiker"
"heroes.name_fancy.oriental_falconer_costume_cub","Tigermeister"
"heroes.name_fancy.oriental_falconer_costume_cute","Toon-Taktiker"
"heroes.name_fancy.oriental_falconer_costume_dodo","Meisterbeschützer"
"heroes.name_fancy.oriental_falconer_costume_glass","Glas-Taktiker"
"heroes.name_fancy.oriental_female_guard","Shaguad-Waldläufer"
"heroes.name_fancy.oriental_female_guard_costume_cute","Shaguad-Toon"
"heroes.name_fancy.oriental_female_guard_costume_glass","Vitrail von Shaguad"
"heroes.name_fancy.oriental_female_guard_costume_soldier","Shaguad-Wächter"
"heroes.name_fancy.oriental_female_mage","Selbstloser Heiler"
"heroes.name_fancy.oriental_female_mage_costume_cute","Toon-Heiler"
"heroes.name_fancy.oriental_female_mage_costume_glass","Glasheiler"
"heroes.name_fancy.oriental_female_mage_costume_mender","Großherziger Verbesserer"
"heroes.name_fancy.oriental_female_mystic","Erhabener Gelehrter"
"heroes.name_fancy.oriental_female_mystic_costume_cute","Toon-Gelehrter"
"heroes.name_fancy.oriental_female_mystic_costume_glass","Glasschüler"
"heroes.name_fancy.oriental_female_mystic_costume_magician","Erhabener Magier"
"heroes.name_fancy.oriental_female_mystic_costume_scribe","Erhabene Schriftgelehrte"
"heroes.name_fancy.oriental_female_mystic_costume_stylish","Stilvoller Gelehrter"
"heroes.name_fancy.oriental_female_ninja","Ninjaschüler"
"heroes.name_fancy.oriental_female_templar","Weiser General"
"heroes.name_fancy.oriental_female_templar_costume_cute","Toon-General"
"heroes.name_fancy.oriental_female_templar_costume_fireworks","Feuerwerk-General"
"heroes.name_fancy.oriental_female_templar_costume_glass","Glasgeneral"
"heroes.name_fancy.oriental_female_templar_costume_kimono","Zeremonieller Assassine"
"heroes.name_fancy.oriental_monkey_captain","Affenherrscher"
"heroes.name_fancy.oriental_monkey_captain_costume_cute","Affen-Toon"
"heroes.name_fancy.oriental_monkey_captain_costume_glass","Glasäffchen"
"heroes.name_fancy.oriental_monkey_captain_costume_reveller","Affen-Revolverheld"
"heroes.name_fancy.oriental_monkey_captain_costume_warrior","Affen-Ronin"
"heroes.name_fancy.oriental_monkey_warrior","Affenkrieger"
"heroes.name_fancy.oriental_panda_berserker","Bambusstange"
"heroes.name_fancy.oriental_panda_berserker_costume_cute","Toon-Zweige"
"heroes.name_fancy.oriental_panda_berserker_costume_farmer","Bambuswurzel"
"heroes.name_fancy.oriental_panda_berserker_costume_glass","Glaszweig"
"heroes.name_fancy.oriental_panda_berserker_costume_stylish","Leuchtender Bambus"
"heroes.name_fancy.oriental_panda_scout","Bambusblatt"
"heroes.name_fancy.oriental_panda_warrior","Bambusklinge"
"heroes.name_fancy.oriental_panda_warrior_costume_armor","Bambusrinde"
"heroes.name_fancy.oriental_panda_warrior_costume_cute","Toon des Bambus"
"heroes.name_fancy.oriental_panda_warrior_costume_dueller","Bambus-Duellant"
"heroes.name_fancy.oriental_panda_warrior_costume_glass","Glasklinge"
"heroes.name_fancy.oriental_squire","Schmiedelehrling"
"heroes.name_fancy.oriental_warrior","Fußsoldat"
"heroes.name_fancy.oriental_warrior_king","Unnachgiebiger König"
"heroes.name_fancy.oriental_warrior_king_costume_cute","Unnachgiebiger Toon"
"heroes.name_fancy.oriental_warrior_king_costume_glass","Unnachgiebiger Vitrail"
"heroes.name_fancy.oriental_warrior_king_costume_mage","Unnachgiebiger Magier"
"heroes.name_fancy.oriental_warrior_king_costume_roman","König von Sparta"
"heroes.name_fancy.outlaw_chao_gai","Pagode-verschiebender Himmelskönig vom Liang-Schan-Moor"
"heroes.name_fancy.outlaw_gu_dasao","Tigerin vom Liang-Schan-Moor"
"heroes.name_fancy.outlaw_hu_sanniang","Heller Stern vom Liang-Schan-Moor"
"heroes.name_fancy.outlaw_li_kui","Eisenbüffel vom Liang-Schan-Moor"
"heroes.name_fancy.outlaw_lin_chong","Pantherkopf vom Liang-Schan-Moor"
"heroes.name_fancy.outlaw_liu_tang","Rothaariger Teufel vom Liang-Schan-Moor"
"heroes.name_fancy.outlaw_lu_zhishen","Blumenmönch vom Liang-Schan-Moor"
"heroes.name_fancy.outlaw_ruan_xiaoqi","Stern der Zerstörung vom Liang-Schan-Moor"
"heroes.name_fancy.outlaw_shi_jin","Neun Drachentattoos vom Liang-Schan-Moor"
"heroes.name_fancy.outlaw_song_jiang","Rechtzeitiger Regen vom Liang-Schan-Moor"
"heroes.name_fancy.outlaw_sun_erniang","Mächtiger Stern vom Liang-Schan-Moor"
"heroes.name_fancy.outlaw_wu_song","Tigerbezwingender Held vom Liang-Schan-Moor"
"heroes.name_fancy.outlaw_wu_yong","Weiser Stern vom Liang-Schan-Moor"
"heroes.name_fancy.outlaw_xiang_chong","Fliegender Stern vom Liang-Schan-Moor"
"heroes.name_fancy.outlaw_zheng_tianshou","Schöngeistiger Gentleman vom Liang-Schan-Moor"
"heroes.name_fancy.owl_cennius","Versteckte Kralle des Eulenturms"
"heroes.name_fancy.owl_eron","Minnesänger des Eulenturms"
"heroes.name_fancy.owl_featherino","Ängstlicher Lausbub des Eulenturms"
"heroes.name_fancy.owl_fulvia","Königin des Eulenturms"
"heroes.name_fancy.owl_juliani","Minister des Eulenturms"
"heroes.name_fancy.owl_livia","Oberste Priesterin des Eulenturms"
"heroes.name_fancy.owl_lodius","Berserker des Eulenturms"
"heroes.name_fancy.owl_mariol","Höfling des Eulenturms"
"heroes.name_fancy.owl_olbec","Alchemist des Eulenturms"
"heroes.name_fancy.owl_ommodus","Gesetzeshüter des Eulenturms"
"heroes.name_fancy.owl_paeia","Prinzessin des Eulenturms"
"heroes.name_fancy.owl_pertinax","Ritterwache des Eulenturms"
"heroes.name_fancy.owl_relius","Kräuterkundiger des Eulenturms"
"heroes.name_fancy.owl_timius","Königliche Vorhut des Eulenturms"
"heroes.name_fancy.owl_verus","Hauptmann der Späher des Eulenturms"
"heroes.name_fancy.pirate_anne","Galionsfigur von Corellia"
"heroes.name_fancy.pirate_boatswain","Bootsmann von Corellia"
"heroes.name_fancy.pirate_cabin_boy","Schiffsjunge von Corellia"
"heroes.name_fancy.pirate_cabin_boy_costume_paper","Zeitungsjunge am Ufer"
