"specials.name.a_cozy_break","心地よきひと休憩"
"specials.name.iron_discipline_cut","鉄の掟の切断"
"specials.name.iron_rocket_fist","鉄のロケットフィスト"
"specials.name.ironbound_fury","消えぬ怒り"
"specials.name.jab_and_hook","ジャブ＆フック"
"specials.name.jack_of_owl_trades","万能オウル"
"specials.name.jackal_strike","ジャッカルの一撃"
"specials.name.jade_blades","ジェイドブレード"
"specials.name.jaw_clamp","拡散トラップ"
"specials.name.jaws_of_the_river","淡水のジョーズ"
"specials.name.jewel_of_the_deep","深遠の宝石"
"specials.name.join_in_joyful_song","愉楽の歌をともに歌おう"
"specials.name.joyful_noise","愉悦のノイズ"
"specials.name.joyful_palette","愉楽の色彩"
"specials.name.judgement_of_goo","スライムの裁定"
"specials.name.judgment_and_penance","裁きと悔悛"
"specials.name.judgment_of_sun","サンの裁定"
"specials.name.juggling_trials","ジャグリングの試練"
"specials.name.jungle_fury","ジャングルヒューリー"
"specials.name.jungle_riposte","密林の洗礼"
"specials.name.jungle_slash","スワンプスラッシュ"
"specials.name.just_a_flesh_wound","ただのカスリ傷だ"
"specials.name.karnov","総叩き"
"specials.name.katana_rain","刀の雨"
"specials.name.katana_rain_pve","刀の雨"
"specials.name.keep_the_peace","守れ平和を"
"specials.name.keyknife_typhoon","キーナイフの嵐"
"specials.name.khans_order","カーンオーダー"
"specials.name.kindled_carpet","灯りの絨毯"
"specials.name.kings_blood_poisoning","悲哀の夜"
"specials.name.kings_curse","サンドストーム"
"specials.name.kings_curse_pve","サンドストーム"
"specials.name.kings_feast","王の饗宴"
"specials.name.kite_of_endurance","忍耐の凧"
"specials.name.kitten_stampede","子猫の大殺到"
"specials.name.knights_armor","騎士の鎧"
"specials.name.knights_fury","騎士の怒り"
"specials.name.knights_parry","騎士の受け流し"
"specials.name.kong_smash","コングスマッシュ"
"specials.name.kunai_assault","クナイ攻撃"
"specials.name.lacerating_leap","切り裂きの飛翔"
"specials.name.lacerating_letters","引き裂かれた手紙"
"specials.name.lacerating_whip","切り裂きの鞭"
"specials.name.ladys_charm","貴婦人の魅力"
"specials.name.ladys_flowers","淑女の花"
"specials.name.lament_of_the_hunt","ハンターの嘆き"
"specials.name.lance_of_avarice","強欲の槍"
"specials.name.lance_of_torment","苦痛の槍"
"specials.name.lance_thrust","槍のひと突き"
"specials.name.landslide","ランドスライド"
"specials.name.lantern_of_insanity","狂気のランタン"
"specials.name.larva_prescription","幼虫のクスリ"
"specials.name.lash_of_the_whip","しなやかなる鞭"
"specials.name.lasso_of_love","愛の投げ縄"
"specials.name.last_words","今際の言葉"
"specials.name.laundry_day","洗濯日和"
"specials.name.lava_blast","ラヴァブラスト"
"specials.name.lava_spit","ラヴァスピット"
"specials.name.lava_splash_dragon_pve","スピリットファイヤー・スプラッシュ"
"specials.name.lavablow","炎の攻撃"
"specials.name.lavablow_pve","炎の攻撃"
"specials.name.lavaslash","ラヴァスラッシュ"
"specials.name.leaf_blast","リーフブラスト"
"specials.name.leafglow_bloom","リーフグロウ・ブルーム"
"specials.name.leaping_attack","リープアタック"
"specials.name.leeching_saw","リーチソー"
"specials.name.leeching_stars","リーチスター"
"specials.name.leeching_worms","吸血ヒル"
"specials.name.legacy_of_darkness","闇の遺産"
"specials.name.legerdemain","レジェーデマイン"
"specials.name.legerdemain_heart","クロス"
"specials.name.legerdemain_joker","スター"
"specials.name.legerdemain_skull","スカル"
"specials.name.legions_of_darkness","闇の軍団"
"specials.name.legions_of_tyrant","暴君の軍勢"
"specials.name.lethal_needles","致命的な針"
"specials.name.lethal_needles2","致命的な針"
"specials.name.levitating_lunchbox_deluxe","浮遊するデラックス・ランチボックス"
"specials.name.lifeforce_leech","ライフフォース リーチ"
"specials.name.light_barrier_dragon_pve","光の障壁"
"specials.name.light_grenades","ライトグレネード"
"specials.name.light_grenades2","ライトグレネード"
"specials.name.light_my_fire","火を灯せ"
"specials.name.lightning_charge","ライトニング チャージ"
"specials.name.lightning_stream","ライトニングストリーム"
"specials.name.lightning_stream2","ライトニングストリーム"
"specials.name.lightning_ultimatum","稲妻のとどめ"
"specials.name.lightning_ultimatum_pve","稲妻のとどめ"
"specials.name.litter_of_kittens","捨てられた子猫たち"
"specials.name.liturgy_of_the_fallen","戦死者の典礼"
"specials.name.looking_for_love","愛の探求"
"specials.name.lookouts_refreshment","監視所の回復"
"specials.name.loom_of_destruction","破壊の織機"
"specials.name.lord_of_the_jungle","ジャングルロード"
"specials.name.lords_blood_poisoning","悲哀の夜明"
"specials.name.love_at_first_sight","ひとめ惚れ"
"specials.name.love_conquers_all","愛はすべてに打ち勝つ"
"specials.name.love_conquers_all_pve","愛はすべてに打ち勝つ"
"specials.name.loving_queen","愛する女王"
"specials.name.lucky_coin","ラッキーコイン"
"specials.name.lucky_nine","ラッキーナイン"
"specials.name.luminescent_electrocution","輝きの電気処刑"
"specials.name.luminous_lance","ルミナス ランス"
"specials.name.lunar_blessing","月の恩恵"
"specials.name.lunar_blessing_moon_beam","ムーンビーム"
"specials.name.lunar_bloom","ルナーブルーム"
"specials.name.lunar_locket","月のペンダント"
"specials.name.lunar_shield","春節の盾"
"specials.name.lunar_spear","月の槍"
"specials.name.luring_song","魅惑の歌"
"specials.name.machinists_cutlass","機械工のカトラス"
"specials.name.mad_as_a_hatter","マッドマドハッター"
"specials.name.mad_rat_mania","マッドラットマニア"
"specials.name.mad_tea_party","狂気のティーパーティー"
"specials.name.madrigal_of_mayhem","マドリガル メイヘム"
"specials.name.mageball_blast","魔球ブラスト"
"specials.name.mageball_blast_pve","魔球ブラスト"
"specials.name.magic_mirror_of_power","魔法の鏡の力"
"specials.name.magical_balan","魔法のバラン"
"specials.name.magical_sword","マジカルソード"
"specials.name.magma_boulders","マグマボルダー"
"specials.name.magma_smash","マグマスラッシュ"
"specials.name.magmatic_burns","マグマの燃焼"
"specials.name.magmatic_tempest","マグマの嵐"
"specials.name.magnificent_meal","豪華な食事"
"specials.name.maidens_command","少女の命令"
"specials.name.maidens_orders","乙女の命令"
"specials.name.make_them_harmless","無害化"
"specials.name.malevolent_toys","邪悪な玩具"
"specials.name.malison_of_the_wildlands","荒野の呪い"
"specials.name.mallet_swing_of_the_beast","獣のマレットスイング"
"specials.name.mana_immolation","マナの生贄"
"specials.name.mana_manipulation","マナ操作"
"specials.name.mana_scavange","マナ漁り"
"specials.name.mana_stealer","預言の目"
"specials.name.mantis_strike","カマキリの一撃"
"specials.name.marble_frenzy","大理石の狂乱"
"specials.name.marc","狂った突き刺し"
"specials.name.mark_of_anubis","アヌビスの印"
"specials.name.mark_of_fire","炎の刻印"
"specials.name.mark_of_ivy","マークアイビー"
"specials.name.mark_of_nature","自然の刻印"
"specials.name.mark_of_the_jackal","ジャッカルの印"
"specials.name.mark_the_prey","獲物の印"
"specials.name.marked_aim","ターゲット・ロックオン"
"specials.name.martial_dance","ケーンの武勇"
"specials.name.martial_masterstroke","武道の神技"
"specials.name.martial_prowess","武勇"
"specials.name.masons_rage","石工の怒り"
"specials.name.massive_bite","マッシブバイト"
"specials.name.massive_chop","マッシブチョップ"
"specials.name.massive_cleave","マッシブクリーブ"
"specials.name.massive_swing","ビッグスイング"
"specials.name.master_of_ailments","病の主"
"specials.name.master_plan","マスタープラン"
"specials.name.masterful_balance","巧みなる均衡"
"specials.name.masterful_manipulation","巧みなる操り"
"specials.name.mauling_tusk","強靭な牙"
"specials.name.mean_jab_dragon_pve","意地の悪いジャブ"
"specials.name.mechanical_augmentations","メカニカル・オーグメンテーション"
"specials.name.medicinal_drool","癒やしのよだれ"
"specials.name.medicinal_fumes","薬の煙"
"specials.name.melody_harvest","メロディーの収穫"
"specials.name.melody_of_mana_control","マナコントロールのメロディー"
"specials.name.melody_of_misery","苦しみのメロディー"
"specials.name.memory_manipulation","記憶操作"
"specials.name.memory_of_the_queen","女王の記憶"
"specials.name.mending_bronze_axe","ブロンズ斧の修繕"
"specials.name.mending_mantra","メンディングマントラ"
"specials.name.mending_stitches","修復の縫製"
"specials.name.merciless_bite","マーシレスバイト"
"specials.name.merciless_execution","慈悲無き処刑"
"specials.name.merciless_pulverizer","容赦のないパルヴェライザー"
"specials.name.merriest_misery","悲惨なクリスマス"
"specials.name.mesmerizing_mirror","魅惑の鏡"
"specials.name.miasma_mace","ミアスマ メイス"
"specials.name.midnight_magic","夕闇の魔法"
"specials.name.midnight_moon","深夜の月"
"specials.name.midnight_smite","真夜中の鉄槌"
"specials.name.midnight_strike","真夜中の一撃"
"specials.name.midsummers_dream","真夏の夢"
"specials.name.midsummers_reverie","真夏の幻想"
"specials.name.might_of_ares","アレスの力"
"specials.name.might_of_excalibroom","エクスカリブルームの力"
"specials.name.might_of_the_ice_giants","氷巨人の剛力"
"specials.name.might_of_the_ice_giants_final","氷巨人の剛力"
"specials.name.mimic_bite","ミミックバイト"
"specials.name.mimic_bite_burn","腐食バイト"
"specials.name.mimic_bite2","獰猛なるミミックバイト"
"specials.name.mimic_bite3","ミミックの強欲"
"specials.name.mimic_bite4","ミミックの挑発"
"specials.name.mimic_special","ずる賢いモンスター"
"specials.name.mimic_special2","ずる賢いモンスター"
"specials.name.mimic_training_hero_blue_bite","強欲な貪り"
"specials.name.mimic_training_hero_green_bite","強欲な貪り"
"specials.name.mimic_training_hero_purple_bite","強欲な貪り"
"specials.name.mimic_training_hero_red_bite","強欲な貪り"
"specials.name.mimic_training_hero_yellow_bite","強欲な貪り"
"specials.name.mind_blast","マインドブラスト"
"specials.name.mindless_attack","マインドレスアタック"
"specials.name.minion_scrutiny","ミニオン吟味"
"specials.name.mischievous_flourish","はた迷惑な繁栄"
"specials.name.mischievous_flourish_pve_advanced","はた迷惑な繁栄"
"specials.name.mischievous_flourish_pve_normal","はた迷惑な繁栄"
"specials.name.mischievous_tiein","迷惑なタイアップ"
"specials.name.missile_mania","ミサイルマニア"
"specials.name.mist_of_the_fallen","失墜の霧雨"
"specials.name.mistletoe_medley","ヤドリギのメドレー"
"specials.name.misty_punches","霞のパンチ"
"specials.name.mixed_green_herbs","緑の薬草ミックス"
"specials.name.molten_wax","溶解の蝋"
"specials.name.monastic_restraint","修道士の慎み"
"specials.name.monstrous_bite","モンスターバイト"
"specials.name.moody_jab_dragon_pve","雰囲気あるジャブ"
"specials.name.mooing_for_a_fight","戦いのいななき"
"specials.name.moon_boomerang","月のブーメラン"
"specials.name.moon_crush_beam","ムーンクラッシュビーム"
"specials.name.moonlight_crescendo","高まりの月光"
"specials.name.moonlight_serenade","月光のセレナーデ"
"specials.name.moonlight_sonata","月光の歌"
"specials.name.moonstone_glare_dragon_pve","月の石の輝き"
"specials.name.moreau_phase1_special","盲目の悪意"
"specials.name.moreau_phase2_special1","盲目の悪意"
"specials.name.moreau_phase2_special2","盲目の悪意"
"specials.name.morning_catch","早朝の急襲"
"specials.name.mother_dragons_love","マザードラゴンの愛"
"specials.name.motherly_care","慈悲の心"
"specials.name.motherly_care_pve","慈悲の心"
"specials.name.motherly_love","母の愛"
"specials.name.muffin_poisoning","毒入りマフィン"
"specials.name.multi_elemental_mark","多元素の刻印"
"specials.name.multi_throw","マルチスロー"
"specials.name.mummy_slash","ミイラの一撃"
"specials.name.mummy_strike","ミイラの一撃"
"specials.name.musketeers_deal","銃士の取引き"
"specials.name.musketeers_mead","銃士の蜂蜜酒"
"specials.name.mutated_specimen","変異体"
"specials.name.mutating_mixture","突然変異の複合体"
"specials.name.mystery_potions","謎のポーション"
"specials.name.mystic_chop","ミスティックチョップ"
"specials.name.mystical_concerto","神秘の協奏曲"
"specials.name.mystics_virtue","ミスティックバーチュ"
"specials.name.mythic_lightning","神話の光"
"specials.name.nasty_hammer","不快なハンマー"
"specials.name.natures_blessing","バーサーカーの怒り"
"specials.name.natures_connection","自然の繋がり"
"specials.name.natures_fury","自然の怒り"
"specials.name.natures_payback","自然の報い"
"specials.name.nebula_orb","ネビュラのオーブ"
"specials.name.nebula_orb_ultimate_boss","ネビュラのオーブ"
"specials.name.necronomicon_page_13","ネクロノミコンの13ページ"
"specials.name.nephrite_blade","ネフライトの刃"
"specials.name.nethershield","ネザーシールド"
"specials.name.never_ending_winter","終わりなき冬"
"specials.name.night_falls","夜の訪れ"
"specials.name.night_of_crimes","ナイト クライム"
"specials.name.nightbloom_dust","ナイトブルーム・ダスト"
"specials.name.nightglade_pollen","ナイトグレード・ポレン"
"specials.name.nights_whisper","夜の囁き"
"specials.name.nimble_bite","素早き噛みつき"
"specials.name.nine_dragon_strike","九龍の一撃"
"specials.name.nobles_empathy","華族の慈悲"
"specials.name.nobles_empathy_costume_artisan","書家の共感"
"specials.name.nomadic_hymn","放浪者の賛歌"
"specials.name.northern_wanderer","喜びの援護"
"specials.name.noxious_blossom","猛毒の花"
"specials.name.noxious_chord","有害な和音"
"specials.name.noxious_cleave","有害な切り裂き"
"specials.name.noxious_cleave_pve","有害な切り裂き"
"specials.name.nuts_of_yggdrasil","ユグドラシルの実"
"specials.name.oath_of_templar","テンプル騎士の誓い"
"specials.name.obliterating_surge","抹消する波"
"specials.name.ocarina_windsong","オカリナの風唄"
"specials.name.occult_redemption","オカルトの償還"
"specials.name.ocean_vortex","海の渦"
"specials.name.oceanic_offensive","大海の攻撃"
"specials.name.oceanic_slayer","潮のスレイヤー"
"specials.name.oceanic_suffering","大海の苦悶"
"specials.name.oceans_decay","大海の腐敗"
"specials.name.oceans_embrace","海の抱擁"
"specials.name.oceans_ruin","海の破滅"
"specials.name.odd_drum_roll","奇妙なドラムロール"
"specials.name.oji_waza","応じ技"
"specials.name.old_curse","古代の呪い"
"specials.name.omega_flame","オメガストライク"
"specials.name.omega_strike_dark","オメガストライク"
"specials.name.omega_strike_fire","オメガストライク"
"specials.name.omega_strike_holy","オメガストライク"
"specials.name.omega_strike_ice","オメガストライク"
"specials.name.omega_strike_nature","オメガストライク"
"specials.name.omen_of_retribution","天罰の兆し"
"specials.name.omnicure","オムニキュア"
"specials.name.omniheal","オムニヒール"
"specials.name.omnimend","完全回復"
"specials.name.one_hit_wonder","一発屋"
"specials.name.one_jump_ahead","先手攻撃"
"specials.name.one_spell_ahead","一歩先の呪文"
"specials.name.opposing_raid","敵の襲撃"
"specials.name.orchestra_of_candles","ロウソクのオーケストラ"
"specials.name.orchids_and_roses","蘭と薔薇"
"specials.name.order_ambush","待ち伏せ作戦"
"specials.name.order_ambush_pve","待ち伏せ作戦"
"specials.name.order_from_the_depths","深淵の命令"
"specials.name.order_to_overwhelm","圧伏命令"
"specials.name.orsoldoon","オルソルドゥーン"
"specials.name.overpowering_grip_dragon_pve","圧倒的な威力の刃"
"specials.name.overvlowing_whirlwind","吹きすさぶ旋風"
"specials.name.overwhelming_raid","壊滅的な襲撃"
"specials.name.owls_blessing","オウルの恩恵"
"specials.name.pacifying_presence_dragon_pve","制圧力"
"specials.name.pain_harvest","痛みの収穫"
"specials.name.paragon_of_constellations","星座の鑑"
"specials.name.paralyzing_spore","麻痺した胞子"
"specials.name.parcel_of_the_dragon_familiar","ドラゴンの使い魔の小包"
"specials.name.passion_conquers_all","情熱はすべてを征服する"
"specials.name.pathfinders_compass","開拓者の羅針盤"
"specials.name.paw_in_every_pie","なんでもつまみ食い"
"specials.name.pawns_of_divinity","神の駒"
"specials.name.paws_or_claws","パウズ・オア・クロウズ"
"specials.name.peach_of_immortality","不老不死の桃"
"specials.name.pearls_of_rejuvenation","若返りの真珠"
"specials.name.perfect_riposte","当意即妙"
"specials.name.perfect_shot","パーフェクトショット"
"specials.name.perfect_teamwork","完璧なチームワーク"
"specials.name.perfume_cloud","芳香の雲"
"specials.name.perilous_gift","非常に危険なプレゼント"
"specials.name.perilous_present_pve","非常に危険なプレゼント"
"specials.name.perilous_waters","危険な水"
"specials.name.perplexing_riddle","複雑な謎"
"specials.name.pest_control","ペストコントロール"
"specials.name.pet_larva","愛する幼虫"
"specials.name.petals_of_nourishment","滋養の花びら"
"specials.name.petrifying_knuckles","石化の拳"
"specials.name.petrifying_performance","石化の演奏"
"specials.name.picnic_in_the_sky","空中ピクニック"
"specials.name.pie_of_protection","庇護のパイ"
"specials.name.piercing_falcon","ピアシング・ファルコン"
"specials.name.piercing_hit","ピアースヒット"
"specials.name.piercing_practice_slash","ひと突きの斬撃"
"specials.name.piercing_sabre","剣の一突き"
"specials.name.piercing_scream_dragon_pve","甲高い叫び声"
"specials.name.piercing_shot","徹甲ショット"
"specials.name.piercing_strike","ピアースストライク"
"specials.name.piercing_tusk","ピアースファング"
"specials.name.pincer_claw","ピンサー・クロウ"
"specials.name.pincer_claw_deadly","ピンサー・クロウ"
"specials.name.pineapple_alchemist","パイナップルの錬金術師"
"specials.name.pineapple_barbeque","パイナップル・バーベキュー"
"specials.name.pirate_shot","パイレーツショット"
"specials.name.pirates_vengeance","海賊の復讐"
"specials.name.pixie_dust","ピクシーダスト"
"specials.name.plague_bite","疫病のひと咬み"
"specials.name.plague_blade","プレイグブレード"
"specials.name.planar_time_widget","平面時間ウィジェット"
"specials.name.planetary_charge","惑星の突撃"
"specials.name.plantipede_sting","植物ムカデの一刺し"
"specials.name.plentiful_harvest","実りの大地"
"specials.name.plentiful_minerals","潤沢な鉱物"
"specials.name.plume_flash","プリューム・フラッシュ"
"specials.name.poem_of_the_centaurs","ケンタウルスの詩"
"specials.name.poem_of_the_morass","沼地の詩"
"specials.name.poetic_justice","当然なる報い"
"specials.name.poets_protection","詩人の庇護"
"specials.name.pointy_darts","鋭利なダーツ"
"specials.name.poison_bite","ポイズンバイト"
"specials.name.poison_bite_dragon_pve","ポイズンバイト"
"specials.name.poison_bolt_zidane","ポイズンボルト"
"specials.name.poison_claw","ポイズンクロウ"
"specials.name.poison_jolt","ポイズンジョルト"
"specials.name.poison_strike","ポイズン ストライク"
"specials.name.poison_tipped_arrow","毒の矢"
"specials.name.poison_web","ポイズンウェブ"
"specials.name.poisoned_blade","ポイズンブレード"
"specials.name.poisoning_blade","猛毒の刃"
"specials.name.poisonous_mist","有毒な霧"
"specials.name.poisonous_saliva","毒唾液"
"specials.name.polar_bash","ポーラーブッシュ"
"specials.name.polar_night_blizzard","極夜の吹雪"
"specials.name.poleaxe_of_the_law","法のポールアックス"
"specials.name.polestar_expedition","北極星の遠征"
"specials.name.pompous_flex","ポンパスフレックス"
"specials.name.portents_of_future","未来の前兆"
"specials.name.possessed_strike","悪霊の一撃"
"specials.name.possessor_of_penance","償いの主"
"specials.name.postal_pulverizer","郵便物の粉砕"
"specials.name.potion_cocktail","ポーション カクテル"
"specials.name.potions_of_covetous_desire","強欲な願いの薬"
"specials.name.potions_of_covetous_desire_pve","強欲な願いの薬"
"specials.name.potions_of_havoc_and_healing","破壊と治癒の薬"
"specials.name.pounce_of_the_lioness","ライオンの襲撃"
"specials.name.pounding_attack","強打の攻撃"
"specials.name.power_of_ajna","アジュナの力"
"specials.name.power_of_flora","花の女神の力"
"specials.name.power_of_mjolnir","ミョルニルの力"
"specials.name.power_of_the_forest","森の力"
"specials.name.power_of_the_void","虚無の力"
"specials.name.power_punch","パワーパンチ"
"specials.name.power_slam","パワースラム"
"specials.name.power_wave","パワーウェーブ"
"specials.name.prayer_of_the_desert","砂漠の祈り"
"specials.name.precious_pets","大事なペット"
"specials.name.precious_pets_pve_advanced","大事なペット"
"specials.name.precious_pets_pve_normal","大事なペット"
"specials.name.precise_chop","精密手刀"
"specials.name.precise_riposte","鋭い返し"
"specials.name.preserve_and_freeze","保存と冷凍"
"specials.name.prestidigitation","手品"
"specials.name.prestidigitation_cross","クロス"
"specials.name.prestidigitation_skull","スカル"
"specials.name.prestidigitation_stars","スター"
"specials.name.primeval_glaive","原始的なグレイブ"
"specials.name.princess_unleashed","解き放たれた王女"
"specials.name.prosperity_for_domain","領域の繁栄"
"specials.name.protective_stance","プロテクティブ・スタンス"
"specials.name.protector_of_the_blue_river","青き川の守り手"
"specials.name.protein_corruption","タンパク質の腐敗"
"specials.name.protein_eater","プロテイン・イーター"
"specials.name.pulsar_blast","パルサーブラスト"
"specials.name.pulsarstrike","パルサーストライク"
"specials.name.pulverizing_ham","ハムの粉砕"
"specials.name.pummeling","拳の一撃"
"specials.name.punishing_shot","罰の矢"
"specials.name.punishing_shot_pve","罰の矢"
"specials.name.punishing_strike","罰の一撃"
"specials.name.puppy_tales","子犬の物語"
"specials.name.pure_shot","ピュアショット"
"specials.name.purification","浄化"
"specials.name.purifying_flame","浄化の炎"
"specials.name.purifying_flame_pve","浄化の炎"
"specials.name.purifying_hit","浄化の一発"
"specials.name.purifying_ki","浄化の気"
"specials.name.purifying_light","浄化の光"
"specials.name.purifying_strike","浄化の一撃"
"specials.name.purple_beetloid_bite","紫カブトロイドの噛みつき"
"specials.name.pursuing_shot","追跡ショット"
"specials.name.putrid_perfume","腐敗の芳香"
"specials.name.puzzling_paint","謎の塗料"
"specials.name.puzzling_riddle","不可解な謎"
"specials.name.qilin_blade","麒麟の刃"
"specials.name.queen_of_cards","カードの女王"
"specials.name.queen_of_the_depths","深淵の女帝"
"specials.name.queen_of_the_depths_final","深淵の女帝"
"specials.name.queens_blood_poisoning","悲哀の夕暮"
"specials.name.queens_curse","サンドストーム"
"specials.name.queens_curse_pve","サンドストーム"
"specials.name.quick_and_nimble","高速攻撃"
"specials.name.rabbits_watch","ラビットウォッチ"
"specials.name.raccoon_bite","ラクーン・バイター"
"specials.name.radiant_comeback","輝かしい返り咲き"
"specials.name.radiant_rapid_fire","レディアント・ファイアー"
"specials.name.radiant_shackles","ラジアント・シャックルズ"
"specials.name.radiant_sweep_dragon_pve","レディアント・スイープ"
"specials.name.radiating_frost","ラディエーティング・フロスト"
"specials.name.rage_of_grimnir","グリームニルの憤怒"
"specials.name.raging_tempest","怒り猛る嵐"
"specials.name.rain_of_arrows","矢の雨"
"specials.name.rain_of_fire","火の雨"
"specials.name.rain_of_fire_ultimate_boss","火の雨"
"specials.name.raising_morale","士気高揚"
"specials.name.rally_of_the_deep","海の集会"
"specials.name.ramming_pulverizer","パルヴェライザー"
"specials.name.ramming_rush","ラミングラッシュ"
"specials.name.rapid_shots","ラピッドショット"
"specials.name.rattle_of_confusion","混乱の大騒ぎ"
"specials.name.ravaging_talons","かぎ爪の襲撃"
"specials.name.ravening_blade","むさぼる刃"
"specials.name.ravenous_pounce","むさぼりの急襲"
"specials.name.ravens_vigil","鴉の夜警"
"specials.name.ravens_watch","レイヴンウォッチ"
"specials.name.ray_strike","レイストライク"
"specials.name.razor_smile","レーザースマイル"
"specials.name.reanimated_spite","蘇生した悪意"
"specials.name.reanimated_spite_pve","蘇生した悪意"
"specials.name.reckless_charge","レックレス・チャージ"
"specials.name.reckless_finisher","レックレス フィニッシュ"
"specials.name.reckless_slash","レックレス スラッシュ"
"specials.name.reckless_stab","レックレス スタブ"
"specials.name.reckless_swing","レックレス スイング"
"specials.name.reckless_sword_swings","無謀な剣のスイング"
"specials.name.red_lizard_charge","赤迷彩トカゲの突撃"
"specials.name.red_shoes","赤い靴"
"specials.name.red_sparks_dragon_pve","赤い閃光"
"specials.name.reef_blast","リーフブラスト"
"specials.name.reflecting_stance","リフレクトの構え"
"specials.name.regal_claws","王の鉤爪"
"specials.name.regal_spearhead","王の一番槍"
"specials.name.regeneration","リジェネレーション"
"specials.name.rejuvenating_elixir","若返りの霊薬"
"specials.name.rejuvenating_leap","若返りの跳躍"
"specials.name.relaxing_riddle","寛ぎの謎かけ"
"specials.name.relentless_brawler","容赦のない一撃"
"specials.name.remedies_and_diseases","治療と疾病"
"specials.name.rending_dagger","引き裂きの短剣"
"specials.name.reporting_for_duty","出撃準備完了"
"specials.name.resolute_spirit","勇猛果敢な精霊"
"specials.name.resolute_spirit2","勇猛果敢な精霊"
"specials.name.restoration_and_annihilation","回復と消滅"
"specials.name.resurrection_of_the_fallen","死者の復活"
"specials.name.resurrection_of_the_fallen_kemeny","死者の復活"
"specials.name.revengeful_smite","復讐の一撃"
"specials.name.reverse_recovery","逆回復"
"specials.name.reversed_lifeforce","リバース・ライフ"
"specials.name.revitalizing_melody","再生のメロディ"
"specials.name.revitalizing_orb","再生のオーブ"
"specials.name.revitalizing_sludge","活力の汚泥"
"specials.name.reviving_touch","蘇生の接触"
"specials.name.rhythm_of_havoc","破壊のリズム"
"specials.name.riches_to_poor","金持ちから貧しい者へ"
"specials.name.ricochet_bolt","リコシェボルト"
"specials.name.riddle_of_the_moon","月の謎"
"specials.name.riddle_of_the_sun","太陽の謎"
"specials.name.riders_arrow","騎手の矢"
"specials.name.riders_lance","騎手の槍"
"specials.name.rift_blade","リフトブレード"
"specials.name.righteous_pulverizer","正義の粉砕"
"specials.name.righteous_revenge","正義の復讐"
"specials.name.righteous_stance","正義の構え"
"specials.name.righteous_strike","正義の一撃"
"specials.name.rime_heart","霜の心"
"specials.name.ring_around_the_rosie","ロージーの輪"
"specials.name.rite_of_cuteness","アニメ風審判"
"specials.name.rite_of_glass","ガラスの裁き"
"specials.name.rite_of_judgement","裁きの儀式"
"specials.name.rites_of_inner_knowledge","内なる知識の儀式"
"specials.name.ritual_of_judgement","裁きの儀式"
"specials.name.ritual_of_the_deep","深淵の儀式"
"specials.name.ritual_of_the_elements","エレメントの儀式"
"specials.name.roadside_surprise","ロードサイドのサプライズ"
"specials.name.roar_of_the_panther","パンサーの轟音"
"specials.name.rockfall_bash","落石バッシュ"
"specials.name.rod_of_freedom","ロッド・オブ・フリーダム"
"specials.name.rod_of_torment","苦悩の釣り竿"
"specials.name.roman_cleave","スパルタンの突進"
"specials.name.roots_of_wrath","怒りの根"
"specials.name.roots_of_yggdrasil","ユグドラシルの根"
"specials.name.rose_bouquet_blast","バラの花束ブラスト"
"specials.name.rotting_wound_dragon_pve","腐敗する外傷"
"specials.name.rottman","マッドラットマニア"
"specials.name.rough_and_tumble","無鉄砲"
"specials.name.royal_assault","王家の襲撃"
"specials.name.royal_blades","王家の刃"
"specials.name.royal_meatball_buffet","王家のミートボールビュッフェ"
"specials.name.royal_poisoner","王家の毒殺者"
"specials.name.ruby_rush","ルビーラッシュ"
"specials.name.rude_awakening","不吉な予感"
"specials.name.ruler_of_seas","海の支配者"
"specials.name.ruler_of_seas_deadly","海の支配者"
"specials.name.rural_chop","ルーラルチョップ"
"specials.name.rush_of_flame","猛烈な火炎"
"specials.name.rushed_melody","速いメロディ"
"specials.name.rusty_blade","錆びた刃"
"specials.name.ruthless_gambit","無慈悲なギャンビット"
"specials.name.sable_slasher","セイブルスラッシャー"
"specials.name.sacrament_of_salvation","救済のサクラメント"
"specials.name.sacred_horns","聖なる角"
"specials.name.sacred_reflection","聖なる反射"
"specials.name.saga_of_deliverance","解放の冒険譚"
"specials.name.saga_of_protection","庇護の冒険譚"
"specials.name.salty_splash_dragon_pve","塩辛いしぶき"
"specials.name.sanction_for_heresy","異説への制裁"
"specials.name.sanctuary_of_light","光の聖地"
"specials.name.sand_cyclone","サンド・サイクロン"
"specials.name.sand_cyclone_pve","サンド・サイクロン"
"specials.name.sand_wave_rana","サーフズ・アップ"
"specials.name.sand_wave_yunan","ワイプアウト"
"specials.name.sandstorm_strike","砂嵐の一撃"
"specials.name.sandworm_strike","サンドワームの一撃"
"specials.name.sapphire_eyes","サファイアの瞳"
"specials.name.saturated_suffering","地獄の苦しみ"
"specials.name.savage_gobble_blue","野蛮なむさぼり"
"specials.name.savage_gobble_green","野蛮なむさぼり"
"specials.name.savage_gobble_purple","野蛮なむさぼり"
"specials.name.savage_gobble_red","野蛮なむさぼり"
"specials.name.savage_gobble_yellow","野蛮なむさぼり"
"specials.name.savage_talons","残忍なるかぎ爪"
"specials.name.scale_of_the_newt","イモリの鱗"
"specials.name.scaly_skin","スケイリースキン"
"specials.name.scar_of_the_depths","深淵の傷"
"specials.name.scar_of_the_depths_deadly","深淵の傷"
