"specials.name.a_cozy_break","Słodka przerwa"
"specials.name.hollow_boast","Pusta pochwała"
"specials.name.holy_aura","Aura światłości"
"specials.name.holy_guard","Święta straż"
"specials.name.holy_hibiscus_ale","Hibiskusowy browar"
"specials.name.holy_mark","Znak światłości"
"specials.name.holy_splash","Kropla światłości"
"specials.name.home_run","Home Run"
"specials.name.horn_attack","Atak poroża"
"specials.name.horrifying_wail","Przeraźliwe wycie"
"specials.name.horses_curse","Piaskowa bryza"
"specials.name.hoverboard_crash","Rozbicie latającej deski"
"specials.name.hoverboard_slam","Uderzenie latającą deską"
"specials.name.howling_sword","Wyjący miecz"
"specials.name.hues_of_love","Barwy miłości"
"specials.name.hungering_grave","Grobowy głód"
"specials.name.hunt_for_prey","Polowanie na zwierzynę"
"specials.name.hunters_instinct","Instynkt łowcy"
"specials.name.hunters_mark","Cel łowcy"
"specials.name.hunters_true_shot","Celny strzał łowcy"
"specials.name.hunting_ballad","Ballada łowców"
"specials.name.hunting_charge","Szarża łowcy"
"specials.name.hydra_bite","Ugryzienie hydry"
"specials.name.hymn_of_enrichment","Hymn wzbogacenia"
"specials.name.hyper_porridge","Hiper owsianka"
"specials.name.hyperborean_hook","Hiperborealny hak"
"specials.name.hypersonic_tackle","Hipersoniczna blokada"
"specials.name.hypnosis_dragon_pve","Hipnoza"
"specials.name.ice_and_slice","Lodowe cięcie"
"specials.name.ice_boom","Lodowe bum"
"specials.name.ice_cold_order","Lodowaty rozkaz"
"specials.name.ice_cream_smash","Lodowe zmiażdżenie"
"specials.name.ice_treatment","Kuracja lodem"
"specials.name.iceberg_aura","Lodowa aura"
"specials.name.iceberg_crush","Uścisk lodu"
"specials.name.iceberg_havoc","Lodowe spustoszenie"
"specials.name.icebound_howl","Lodowe wycie"
"specials.name.icebound_ritual","Mroźny rytuał"
"specials.name.icecold_finisher","Mroźny cios"
"specials.name.icehammer_smash","Lodowy impet"
"specials.name.iceshatter","Lodowe strzaskanie"
"specials.name.icy_axes","Lodowe topory"
"specials.name.icy_mandibles","Lodowa żuchwa"
"specials.name.icy_resilience","Lodowa odporność"
"specials.name.ill_bring_you_back","Sprowadzę cię z powrotem"
"specials.name.ill_fated_experiment","Niefortunny eksperyment"
"specials.name.imaginary_increments","Fikcyjne postępy"
"specials.name.immortal_annihilator","Nieśmiertelny niszczyciel"
"specials.name.immortal_annihilator_deadly","Nieśmiertelny niszczyciel"
"specials.name.immortal_punisher","Nieśmiertelny mściciel"
"specials.name.impairing_strike","Osłabiające uderzenie"
"specials.name.impale_and_devour","Nadzianie i pożarcie"
"specials.name.impeccable_charge","Doskonała szarża"
"specials.name.impeding_bolts","Utrudniające bełty"
"specials.name.impervious_formation","Niezniszczalna formacja"
"specials.name.impossible_groove","Niemożliwy rytm"
"specials.name.impossible_riddle","Zagadka bez odpowiedzi"
"specials.name.incite_ki","Pobudzenie Ki"
"specials.name.incite_ki2","Pobudzenie Ki"
"specials.name.indestructible_claw","Niezniszczalny szpon"
"specials.name.indifferent_blade","Obojętne ostrze"
"specials.name.inevitable_demise","Nieunikniony upadek"
"specials.name.infernal_chops","Piekielne kotlety"
"specials.name.infernal_drumstorm","Piekielna burza bębnów"
"specials.name.infernal_flames","Ognie piekielne"
"specials.name.infernal_jaws","Piekielne szczęki"
"specials.name.ink_bomb","Bomba atramentowa"
"specials.name.innovative_lunge","Innowacyjny wypad"
"specials.name.insidious_goo","Podstępna maź"
"specials.name.inspiring_fencing","Ożywcze dźgnięcie"
"specials.name.insurmountable_flux","Niezwyciężony przepływ"
"specials.name.intimidating_stance","Zastraszająca postawa"
"specials.name.invigorating_pollen","Orzeźwiający pyłek"
"specials.name.invigorating_soup","Pobudzająca zupa"
"specials.name.invisible_strike","Niewidzialne uderzenie"
"specials.name.iron_discipline_cut","Cięcie żelaznej dyscypliny"
"specials.name.iron_rocket_fist","Żelazna rakietowa pięść"
"specials.name.ironbound_fury","Żelazna furia"
"specials.name.jab_and_hook","Prosty i hak"
"specials.name.jack_of_owl_trades","Majster-sówka"
"specials.name.jackal_strike","Uderzenie szakala"
"specials.name.jade_blades","Jadeitowe Ostrza"
"specials.name.jaw_clamp","Rozprzestrzeniające się pułapki"
"specials.name.jaws_of_the_river","Paszcza rzeki"
"specials.name.jewel_of_the_deep","Klejnot głębin"
"specials.name.join_in_joyful_song","Wspólna radosna pieśń"
"specials.name.joyful_noise","Radosny hałas"
"specials.name.joyful_palette","Szczęśliwa paleta"
"specials.name.judgement_of_goo","Maziowy osąd"
"specials.name.judgment_and_penance","Osąd i pokuta"
"specials.name.judgment_of_sun","Osąd słońca"
"specials.name.juggling_trials","Żonglerskie próby"
"specials.name.jungle_fury","Furia dżungli"
"specials.name.jungle_riposte","Riposta dżungli"
"specials.name.jungle_slash","Cięcie z bagien"
"specials.name.just_a_flesh_wound","To tylko rana powierzchowna"
"specials.name.karnov","Całkowita deklasacja"
"specials.name.katana_rain","Deszcz katan"
"specials.name.katana_rain_pve","Deszcz katan"
"specials.name.keep_the_peace","Dbanie o pokój"
"specials.name.keyknife_typhoon","Nożowy tajfun"
"specials.name.khans_order","Rozkaz chana"
"specials.name.kindled_carpet","Rozpalony dywan"
"specials.name.kings_blood_poisoning","Noc smutku"
"specials.name.kings_curse","Piaskowa burza"
"specials.name.kings_curse_pve","Piaskowa burza"
"specials.name.kings_feast","Królewska uczta"
"specials.name.kite_of_endurance","Latawiec wytrzymałości"
"specials.name.kitten_stampede","Koci pęd"
"specials.name.knights_armor","Zbroja rycerza"
"specials.name.knights_fury","Gniew rycerza"
"specials.name.knights_parry","Blok rycerza"
"specials.name.kong_smash","Pięść Konga"
"specials.name.kunai_assault","Natarcie kunai"
"specials.name.lacerating_leap","Rozdzierający skok"
"specials.name.lacerating_letters","Rozdzierające litery"
"specials.name.lacerating_whip","Raniący bicz"
"specials.name.ladys_charm","Urok damy"
"specials.name.ladys_flowers","Damskie kwiaty"
"specials.name.lament_of_the_hunt","Pieśń łowcy"
"specials.name.lance_of_avarice","Lanca chciwości"
"specials.name.lance_of_torment","Lanca udręki"
"specials.name.lance_thrust","Pchnięcie lancą"
"specials.name.landslide","Lawina błotna"
"specials.name.lantern_of_insanity","Lampion obłędu"
"specials.name.larva_prescription","Larwoterapia"
"specials.name.lash_of_the_whip","Smagnięcie bicza"
"specials.name.lasso_of_love","Lasso miłości"
"specials.name.last_words","Ostatnie słowa"
"specials.name.laundry_day","Dzień prania"
"specials.name.lava_blast","Wybuch lawy"
"specials.name.lava_spit","Lawowe splunięcie"
"specials.name.lava_splash_dragon_pve","Bryzg duchowego ognia"
"specials.name.lavablow","Ognisty atak"
"specials.name.lavablow_pve","Ognisty atak"
"specials.name.lavaslash","Chluśnięcie lawy"
"specials.name.leaf_blast","Liściasta eksplozja"
"specials.name.leafglow_bloom","Lśniący rozkwit"
"specials.name.leaping_attack","Skoczny atak"
"specials.name.leeching_saw","Ssąca piła"
"specials.name.leeching_stars","Pożerające gwiazdy"
"specials.name.leeching_worms","Pijawki"
"specials.name.legacy_of_darkness","Dziedzictwo mroku"
"specials.name.legerdemain","Magiczna sztuczka"
"specials.name.legerdemain_heart","Krzyż"
"specials.name.legerdemain_joker","Gwiazdki"
"specials.name.legerdemain_skull","Czaszka"
"specials.name.legions_of_darkness","Legiony mroku"
"specials.name.legions_of_tyrant","Legiony tyrana"
"specials.name.lethal_needles","Śmiertelne igły"
"specials.name.lethal_needles2","Śmiertelne igły"
"specials.name.levitating_lunchbox_deluxe","Luksusowe lewitujące pudełko śniadaniowe"
"specials.name.lifeforce_leech","Wyssanie życia"
"specials.name.light_barrier_dragon_pve","Lekka bariera"
"specials.name.light_grenades","Granaty światła"
"specials.name.light_grenades2","Granaty światła"
"specials.name.light_my_fire","Rozpal mój ogień"
"specials.name.lightning_charge","Piorunujące wyładowanie"
"specials.name.lightning_stream","Lawina błyskawic"
"specials.name.lightning_stream2","Lawina błyskawic"
"specials.name.lightning_ultimatum","Ultimatum pioruna"
"specials.name.lightning_ultimatum_pve","Ultimatum pioruna"
"specials.name.litter_of_kittens","Koci miot"
"specials.name.liturgy_of_the_fallen","Liturgia poległych"
"specials.name.looking_for_love","Poszukiwanie miłości"
"specials.name.lookouts_refreshment","Odświeżenie punktu obserwacyjnego"
"specials.name.loom_of_destruction","Krosno zniszczenia"
"specials.name.lord_of_the_jungle","Władca dżungli"
"specials.name.lords_blood_poisoning","Świt smutku"
"specials.name.love_at_first_sight","Miłość od pierwszego wejrzenia"
"specials.name.love_conquers_all","Miłość ponad wszystko"
"specials.name.love_conquers_all_pve","Miłość ponad wszystko"
"specials.name.loving_queen","Troskliwa królowa"
"specials.name.lucky_coin","Szczęśliwa Moneta"
"specials.name.lucky_nine","Szczęśliwa dziewiątka"
"specials.name.luminescent_electrocution","Świetlne porażenie"
"specials.name.luminous_lance","Lśniąca lanca"
"specials.name.lunar_blessing","Księżycowe błogosławieństwo"
"specials.name.lunar_blessing_moon_beam","Księżycowy promień"
"specials.name.lunar_bloom","Księżycowy rozkwit"
"specials.name.lunar_locket","Księżycowy medalion"
"specials.name.lunar_shield","Księżycowa tarcza"
"specials.name.lunar_spear","Księżycowa włócznia"
"specials.name.luring_song","Wabiąca pieśń"
"specials.name.machinists_cutlass","Kordelas maszynisty"
"specials.name.mad_as_a_hatter","Szalony jak kapelusznik"
"specials.name.mad_rat_mania","Szczurze szaleństwo"
"specials.name.mad_tea_party","Szalona herbatka"
"specials.name.madrigal_of_mayhem","Madrygał zamętu"
"specials.name.mageball_blast","Uderzenie magi-piłki"
"specials.name.mageball_blast_pve","Uderzenie magi-piłki"
"specials.name.magic_mirror_of_power","Magiczne lustro mocy"
"specials.name.magical_balan","Magiczny balan"
"specials.name.magical_sword","Magiczny miecz"
"specials.name.magma_boulders","Bouldery z magmy"
"specials.name.magma_smash","Cios magmą"
"specials.name.magmatic_burns","Magmowe oparzenia"
"specials.name.magmatic_tempest","Magmowa zamieć"
"specials.name.magnificent_meal","Wyśmienity posiłek"
"specials.name.maidens_command","Panieński rozkaz"
"specials.name.maidens_orders","Dziewiczy rozkaz"
"specials.name.make_them_harmless","Unieszkodliwienie"
"specials.name.malevolent_toys","Złośliwe zabawki"
"specials.name.malison_of_the_wildlands","Przekleństwo dziczy"
"specials.name.mallet_swing_of_the_beast","Bestialski zamach"
"specials.name.mana_immolation","Ofiara z many"
"specials.name.mana_manipulation","Manipulacja maną"
"specials.name.mana_scavange","Wyssanie many"
"specials.name.mana_stealer","Oko proroka"
"specials.name.mantis_strike","Cios modliszki"
"specials.name.marble_frenzy","Kulkowe szaleństwo"
"specials.name.marc","Szalona szarża"
"specials.name.mark_of_anubis","Znak Anubisa"
"specials.name.mark_of_fire","Znak ognia"
"specials.name.mark_of_ivy","Ślad bluszczu"
"specials.name.mark_of_nature","Znak natury"
"specials.name.mark_of_the_jackal","Znak szakala"
"specials.name.mark_the_prey","Oznaczenie ofiary"
"specials.name.marked_aim","Oznaczenie celu"
"specials.name.martial_dance","Naturalna biegłość"
"specials.name.martial_masterstroke","Mistrzowskie uderzenie"
"specials.name.martial_prowess","Biegłość w walce"
"specials.name.masons_rage","Gniew murarza"
"specials.name.massive_bite","Potężne pokąsanie"
"specials.name.massive_chop","Rąbanka"
"specials.name.massive_cleave","Łupnięcie"
"specials.name.massive_swing","Potężne łupnięcie"
"specials.name.master_of_ailments","Mistrz dolegliwości"
"specials.name.master_plan","Mistrzowski plan"
"specials.name.masterful_balance","Mistrzowska równowaga"
"specials.name.masterful_manipulation","Mistrzowska manipulacja"
"specials.name.mauling_tusk","Rozrywające szable"
"specials.name.mean_jab_dragon_pve","Złośliwy cios"
"specials.name.mechanical_augmentations","Mechaniczne udoskonalenia"
"specials.name.medicinal_drool","Lecznicza ślina"
"specials.name.medicinal_fumes","Lecznicze opary"
"specials.name.melody_harvest","Melodyjne żniwa"
"specials.name.melody_of_mana_control","Pieśń kontroli many"
"specials.name.melody_of_misery","Melodia niedoli"
"specials.name.memory_manipulation","Manipulacja pamięci"
"specials.name.memory_of_the_queen","Pamięć cesarzowej"
"specials.name.mending_bronze_axe","Uzdrawiający brązowy topór"
"specials.name.mending_mantra","Uzdrowicielska mantra"
"specials.name.mending_stitches","Szwy"
"specials.name.merciless_bite","Bezlitosne ukąszenie"
"specials.name.merciless_execution","Bezlitosna egzekucja"
"specials.name.merciless_pulverizer","Bezlitosny rozdrabniacz"
"specials.name.merriest_misery","Najmilsza niedola"
"specials.name.mesmerizing_mirror","Hipnotyzujące lustro"
"specials.name.miasma_mace","Miazmatyczna buława"
"specials.name.midnight_magic","Nocna magia"
"specials.name.midnight_moon","Księżyc w pełni"
"specials.name.midnight_smite","Nocne nawiedzenie"
"specials.name.midnight_strike","Uderzenie o północy"
"specials.name.midsummers_dream","Sen w środku lata"
"specials.name.midsummers_reverie","Sny nocy letniej"
"specials.name.might_of_ares","Potęga Aresa"
"specials.name.might_of_excalibroom","Moc Excalimiotły"
"specials.name.might_of_the_ice_giants","Potęga lodowych gigantów"
"specials.name.might_of_the_ice_giants_final","Potęga lodowych gigantów"
"specials.name.mimic_bite","Ukąszenie mimika"
"specials.name.mimic_bite_burn","Żrące ukąszenie"
"specials.name.mimic_bite2","Ukąszenie dzikiego mimika"
"specials.name.mimic_bite3","Chciwość mimika"
"specials.name.mimic_bite4","Prowokacja mimika"
"specials.name.mimic_special","Przebiegły potwór"
"specials.name.mimic_special2","Przebiegły potwór"
"specials.name.mimic_training_hero_blue_bite","Zachłanne pożarcie"
"specials.name.mimic_training_hero_green_bite","Zachłanne pożarcie"
"specials.name.mimic_training_hero_purple_bite","Zachłanne pożarcie"
"specials.name.mimic_training_hero_red_bite","Zachłanne pożarcie"
"specials.name.mimic_training_hero_yellow_bite","Zachłanne pożarcie"
"specials.name.mind_blast","Umysłowe uderzenie"
"specials.name.mindless_attack","Furiacki atak"
"specials.name.minion_scrutiny","Nadzór pomocnika"
"specials.name.mischievous_flourish","Zdradziecki rozkwit"
"specials.name.mischievous_flourish_pve_advanced","Zdradziecki rozkwit"
"specials.name.mischievous_flourish_pve_normal","Zdradziecki rozkwit"
"specials.name.mischievous_tiein","Złośliwe połączenie"
"specials.name.missile_mania","Rakietowe szaleństwo"
"specials.name.mist_of_the_fallen","Mgła upadłych"
"specials.name.mistletoe_medley","Jemiołowa pieśń"
"specials.name.misty_punches","Mgliste ciosy"
"specials.name.mixed_green_herbs","Mieszanka zielonych ziół"
"specials.name.molten_wax","Stopiony wosk"
"specials.name.monastic_restraint","Mnisia powściągliwość"
"specials.name.monstrous_bite","Monstrualne ugryzienie"
"specials.name.moody_jab_dragon_pve","Kapryśny cios"
"specials.name.mooing_for_a_fight","Byczy wojownik"
"specials.name.moon_boomerang","Księżycowy bumerang"
"specials.name.moon_crush_beam","Księżycowy promień"
"specials.name.moonlight_crescendo","Księżycowe crescendo"
"specials.name.moonlight_serenade","Księżycowa serenada"
"specials.name.moonlight_sonata","Sonata Księżycowa"
"specials.name.moonstone_glare_dragon_pve","Księżycowy blask"
"specials.name.moreau_phase1_special","Oślepiająca podłość"
"specials.name.moreau_phase2_special1","Oślepiająca podłość"
"specials.name.moreau_phase2_special2","Oślepiająca podłość"
"specials.name.morning_catch","Poranny połów"
"specials.name.mother_dragons_love","Miłość matki smoków"
"specials.name.motherly_care","Matczyna opieka"
"specials.name.motherly_care_pve","Matczyna opieka"
"specials.name.motherly_love","Matczyna miłość"
"specials.name.muffin_poisoning","Zatrucie muffinkami"
"specials.name.multi_elemental_mark","Znak wielu żywiołów"
"specials.name.multi_throw","Wielorzut"
"specials.name.mummy_slash","Cięcie mumii"
"specials.name.mummy_strike","Uderzenie mumii"
"specials.name.musketeers_deal","Okazja muszkietera"
"specials.name.musketeers_mead","Pitny miód muszkietera"
"specials.name.mutated_specimen","Zmutowany okaz"
"specials.name.mutating_mixture","Mutująca mikstura"
"specials.name.mystery_potions","Tajemnicze eliksiry"
"specials.name.mystic_chop","Mistyczny cios"
"specials.name.mystical_concerto","Mistyczny koncert"
"specials.name.mystics_virtue","Cnota mistyka"
"specials.name.mythic_lightning","Mityczna błyskawica"
"specials.name.nasty_hammer","Złośliwy młot"
"specials.name.natures_blessing","Furia Berserkera"
"specials.name.natures_connection","Łączność z naturą"
"specials.name.natures_fury","Gniew przyrody"
"specials.name.natures_payback","Zemsta natury"
"specials.name.nebula_orb","Kula mgławicy"
"specials.name.nebula_orb_ultimate_boss","Kula mgławicy"
"specials.name.necronomicon_page_13","13 strona nekronomikonu"
"specials.name.nephrite_blade","Nefrytowe ostrze"
"specials.name.nethershield","Tarcza mroku"
"specials.name.never_ending_winter","Bezustanna zima"
"specials.name.night_falls","Zapada noc"
"specials.name.night_of_crimes","Zbrodnicza noc"
"specials.name.nightbloom_dust","Pył nocnego rozkwitu"
"specials.name.nightglade_pollen","Pyłek z nocnej polany"
"specials.name.nights_whisper","Nocny szept"
"specials.name.nimble_bite","Zwinne ukąszenie"
"specials.name.nine_dragon_strike","Uderzenie dziewięciu smoków"
"specials.name.nobles_empathy","Szlachetne współczucie"
"specials.name.nobles_empathy_costume_artisan","Empatia kaligrafki"
"specials.name.nomadic_hymn","Hymn nomadów"
"specials.name.northern_wanderer","Radosne wsparcie"
"specials.name.noxious_blossom","Trujący rozkwit"
"specials.name.noxious_chord","Trujący akord"
"specials.name.noxious_cleave","Trujące łupnięcie"
"specials.name.noxious_cleave_pve","Trujące łupnięcie"
"specials.name.nuts_of_yggdrasil","Orzechy Yggdrasila"
"specials.name.oath_of_templar","Przysięga templariusza"
"specials.name.obliterating_surge","Unicestwiający przypływ"
"specials.name.ocarina_windsong","Wiatrowa pieśń Ocariny"
"specials.name.occult_redemption","Odkupienie okultysty"
"specials.name.ocean_vortex","Wir oceaniczny"
"specials.name.oceanic_offensive","Oceaniczna ofensywa"
"specials.name.oceanic_slayer","Pogromca z głębin"
"specials.name.oceanic_suffering","Oceaniczna udręka"
"specials.name.oceans_decay","Rozkład oceanu"
"specials.name.oceans_embrace","Uścisk oceanu"
"specials.name.oceans_ruin","Oceaniczna ruina"
"specials.name.odd_drum_roll","Dziwny werbel"
"specials.name.oji_waza","Oji-Waza"
"specials.name.old_curse","Stara klątwa"
"specials.name.omega_flame","Cios omega"
"specials.name.omega_strike_dark","Cios omega"
"specials.name.omega_strike_fire","Cios omega"
"specials.name.omega_strike_holy","Cios omega"
"specials.name.omega_strike_ice","Cios omega"
"specials.name.omega_strike_nature","Cios omega"
"specials.name.omen_of_retribution","Zwiastun zemsty"
"specials.name.omnicure","Panaceum"
"specials.name.omniheal","Uzdrawianie"
"specials.name.omnimend","Wszechuzdrowienie"
"specials.name.one_hit_wonder","Gwiazda jednego przeboju"
"specials.name.one_jump_ahead","Jeden skok dalej"
"specials.name.one_spell_ahead","O jedno zaklęcie do przodu"
"specials.name.opposing_raid","Wroga napaść"
"specials.name.orchestra_of_candles","Orkiestra świec"
"specials.name.orchids_and_roses","Orchidee i róże"
"specials.name.order_ambush","Zasadzka"
"specials.name.order_ambush_pve","Zasadzka"
"specials.name.order_from_the_depths","Zakon Głębin"
"specials.name.order_to_overwhelm","Rozkaz przytłoczenia"
"specials.name.orsoldoon","Örsöldöön"
"specials.name.overpowering_grip_dragon_pve","Obezwładniający chwyt"
"specials.name.overvlowing_whirlwind","Burzliwy wicher"
"specials.name.overwhelming_raid","Przytłaczający najazd"
"specials.name.owls_blessing","Błogosławieństwo sowy"
"specials.name.pacifying_presence_dragon_pve","Tłumiąca siła"
"specials.name.pain_harvest","Bolesne zbiory"
"specials.name.paragon_of_constellations","Symbol konstelacji"
"specials.name.paralyzing_spore","Paraliżujący zarodnik"
"specials.name.parcel_of_the_dragon_familiar","Paczka smoczego pomocnika"
"specials.name.passion_conquers_all","Namiętność podbijająca wszystko"
"specials.name.pathfinders_compass","Kompas tropiciela"
"specials.name.paw_in_every_pie","Łapa w cieście"
"specials.name.pawns_of_divinity","Słudzy boskości"
"specials.name.paws_or_claws","Łapa czy szpon"
"specials.name.peach_of_immortality","Brzoskwinia nieśmiertelności"
"specials.name.pearls_of_rejuvenation","Perły odnowy"
"specials.name.perfect_riposte","Celna riposta"
"specials.name.perfect_shot","Idealny strzał"
"specials.name.perfect_teamwork","Idealna praca zespołowa"
"specials.name.perfume_cloud","Pachnący obłok"
"specials.name.perilous_gift","Niebezpieczny prezent"
"specials.name.perilous_present_pve","Niebezpieczny prezent"
"specials.name.perilous_waters","Niebezpieczne wody"
"specials.name.perplexing_riddle","Kłopotliwa łamigłówka"
"specials.name.pest_control","Stop szkodnikom"
"specials.name.pet_larva","Oswojona larwa"
"specials.name.petals_of_nourishment","Kwiat życia"
"specials.name.petrifying_knuckles","Paraliżujące knykcie"
"specials.name.petrifying_performance","Petryfikujące przedstawienie"
"specials.name.picnic_in_the_sky","Piknik w chmurach"
"specials.name.pie_of_protection","Ciasto ochrony"
"specials.name.piercing_falcon","Przebijający sokół"
"specials.name.piercing_hit","Przeszywający cios"
"specials.name.piercing_practice_slash","Przeszywające ćwiczebne cięcie"
"specials.name.piercing_sabre","Przebijająca szabla"
"specials.name.piercing_scream_dragon_pve","Przeszywający krzyk"
"specials.name.piercing_shot","Przeszywający strzał"
"specials.name.piercing_strike","Przygwożdżenie"
"specials.name.piercing_tusk","Przygwożdżenie kłem"
"specials.name.pincer_claw","Szpony"
"specials.name.pincer_claw_deadly","Szpony"
"specials.name.pineapple_alchemist","Ananasowy alchemik"
"specials.name.pineapple_barbeque","Grillowany ananas"
"specials.name.pirate_shot","Strzał pirata"
"specials.name.pirates_vengeance","Zemsta pirata"
"specials.name.pixie_dust","Magiczny pył"
"specials.name.plague_bite","Ukąszenie plagi"
"specials.name.plague_blade","Ostrze plagi"
"specials.name.planar_time_widget","Planarny widżet czasowy"
"specials.name.planetary_charge","Planetarna szarża"
"specials.name.plantipede_sting","Użądlenie roślinoga"
"specials.name.plentiful_harvest","Obfite zbiory"
"specials.name.plentiful_minerals","Obfitość minerałów"
"specials.name.plume_flash","Pierzasty błysk"
"specials.name.poem_of_the_centaurs","Wiersz centaurów"
"specials.name.poem_of_the_morass","Poemat bagienny"
"specials.name.poetic_justice","Poetycka sprawiedliwość"
"specials.name.poets_protection","Poetycka ochrona"
"specials.name.pointy_darts","Szpiczaste strzałki"
"specials.name.poison_bite","Zatrute ugryzienie"
"specials.name.poison_bite_dragon_pve","Zatrute ugryzienie"
"specials.name.poison_bolt_zidane","Trujący grot"
"specials.name.poison_claw","Zatruty pazur"
"specials.name.poison_jolt","Trujący wstrząs"
"specials.name.poison_strike","Trujące uderzenie"
"specials.name.poison_tipped_arrow","Strzała o zatrutym grocie"
"specials.name.poison_web","Trująca sieć"
"specials.name.poisoned_blade","Zatrute ostrze"
"specials.name.poisoning_blade","Zatrute ostrze"
"specials.name.poisonous_mist","Trująca mgła"
"specials.name.poisonous_saliva","Trująca ślina"
"specials.name.polar_bash","Polarny łupień"
"specials.name.polar_night_blizzard","Zamieć nocy polarnej"
"specials.name.poleaxe_of_the_law","Topór prawości"
"specials.name.polestar_expedition","Ekspedycja Gwiazdy Polarnej"
"specials.name.pompous_flex","Nadęty napin"
"specials.name.portents_of_future","Zwiastuny przyszłości"
"specials.name.possessed_strike","Opętane uderzenie"
"specials.name.possessor_of_penance","Właściciel pokuty"
"specials.name.postal_pulverizer","Gniewny niszczyciel"
"specials.name.potion_cocktail","Koktajlowy eliksir"
"specials.name.potions_of_covetous_desire","Mikstury pożądania"
"specials.name.potions_of_covetous_desire_pve","Mikstury pożądania"
"specials.name.potions_of_havoc_and_healing","Mikstury zniszczenia i leczenia"
"specials.name.pounce_of_the_lioness","Pazur lwicy"
"specials.name.pounding_attack","Uderzający atak"
"specials.name.power_of_ajna","Moc adżny"
"specials.name.power_of_flora","Potęga Flory"
"specials.name.power_of_mjolnir","Moc Mjölnira"
"specials.name.power_of_the_forest","Moc lasu"
"specials.name.power_of_the_void","Moc pustki"
"specials.name.power_punch","Mocne uderzenie"
"specials.name.power_slam","Potężne trzaśnięcie"
"specials.name.power_wave","Fala mocy"
"specials.name.prayer_of_the_desert","Pustynna modlitwa"
"specials.name.precious_pets","Kochane zwierzaki"
"specials.name.precious_pets_pve_advanced","Kochane zwierzaki"
"specials.name.precious_pets_pve_normal","Kochane zwierzaki"
"specials.name.precise_chop","Precyzyjny cios"
"specials.name.precise_riposte","Precyzyjna Riposta"
"specials.name.preserve_and_freeze","Kultywacja i zamrożenie"
"specials.name.prestidigitation","Kuglarstwo"
"specials.name.prestidigitation_cross","Krzyż"
"specials.name.prestidigitation_skull","Czaszka"
"specials.name.prestidigitation_stars","Gwiazdki"
"specials.name.primeval_glaive","Pierwotna glewia"
"specials.name.princess_unleashed","Wyzwolona księżniczka"
"specials.name.prosperity_for_domain","Dobrobyt krainy"
"specials.name.protective_stance","Poza obronna"
"specials.name.protector_of_the_blue_river","Obrońca błękitnej rzeki"
"specials.name.protein_corruption","Białkowe spaczenie"
"specials.name.protein_eater","Pożeracz białka"
"specials.name.pulsar_blast","Eksplozja mgławicy"
"specials.name.pulsarstrike","Pulsujące uderzenie"
"specials.name.pulverizing_ham","Szynka zniszczenia"
"specials.name.pummeling","Tłuczenie"
"specials.name.punishing_shot","Druzgocący strzał"
"specials.name.punishing_shot_pve","Druzgocący strzał"
"specials.name.punishing_strike","Druzgocący cios"
"specials.name.puppy_tales","Szczenięce Opowieści"
"specials.name.pure_shot","Czysty strzał"
"specials.name.purification","Oczyszczenie"
"specials.name.purifying_flame","Płomień oczyszczenia"
"specials.name.purifying_flame_pve","Płomień oczyszczenia"
"specials.name.purifying_hit","Cios oczyszczenia"
"specials.name.purifying_ki","Oczyszczające ki"
"specials.name.purifying_light","Światło oczyszczenia"
"specials.name.purifying_strike","Atak oczyszczenia"
"specials.name.purple_beetloid_bite","Ukąszenie fioletowego żukoida"
"specials.name.pursuing_shot","Prześladujący strzał"
"specials.name.putrid_perfume","Wstrętne pachnidło"
"specials.name.puzzling_paint","Zagadkowy obraz"
"specials.name.puzzling_riddle","Zagadkowa łamigłówka"
"specials.name.qilin_blade","Ostrze Qilina"
"specials.name.queen_of_cards","Królowa kart"
"specials.name.queen_of_the_depths","Imperatorka Głębin"
"specials.name.queen_of_the_depths_final","Imperatorka Głębin"
"specials.name.queens_blood_poisoning","Zmierzch smutku"
"specials.name.queens_curse","Piaskowa burza"
"specials.name.queens_curse_pve","Piaskowa burza"
"specials.name.quick_and_nimble","Szybkość i zwinność"
"specials.name.rabbits_watch","Zegarek królika"
"specials.name.raccoon_bite","Ugryzienie szopa"
"specials.name.radiant_comeback","Świetlisty powrót"
"specials.name.radiant_rapid_fire","Promienny ogień ciągły"
"specials.name.radiant_shackles","Świetliste okowy"
"specials.name.radiant_sweep_dragon_pve","Świetlisty zamach"
"specials.name.radiating_frost","Emanujący chłód"
"specials.name.rage_of_grimnir","Gniew Grimnira"
"specials.name.raging_tempest","Szalejąca nawałnica"
"specials.name.rain_of_arrows","Deszcz strzał"
"specials.name.rain_of_fire","Deszcz ognia"
"specials.name.rain_of_fire_ultimate_boss","Deszcz ognia"
"specials.name.raising_morale","Podniesienie morale"
"specials.name.rally_of_the_deep","Napływ z głębin"
"specials.name.ramming_pulverizer","Niepowstrzymany przemiał"
"specials.name.ramming_rush","Błyskawiczny taran"
"specials.name.rapid_shots","Szybkie strzały"
"specials.name.rattle_of_confusion","Turkot dezorientacji"
"specials.name.ravaging_talons","Niszczycielskie szpony"
"specials.name.ravening_blade","Złaknione ostrze"
"specials.name.ravenous_pounce","Żarłoczny sus"
"specials.name.ravens_vigil","Czuwanie kruka"
"specials.name.ravens_watch","Krucza warta"
"specials.name.ray_strike","Rażenie promieniem"
"specials.name.razor_smile","Uśmiech jak żyleta"
