"herocard.passive_skill.description.addmana.all.allies","All allies gain a small amount of mana."
"herocard.passive_skill.title.effectondispel.activates_on_enemy_action.damage.minordebuff.removalreason.dispel.activates_on_dispel_cast.valid_caster_side.enemies","Damage on Attempted Enemy Cleanse"
"herocard.passive_skill.title.effectondispel.addmana.minorbuff","Mana on Dispel"
"herocard.passive_skill.title.effectondispel.addmana.minorbuff.removalreason.dispel","Mana on Buff Dispel"
"herocard.passive_skill.title.effectondispel.heal.statuseffectdebuffs.removalreason.dispel.removal.reallocation.expiration","Heal when Status Ailment Expires Or Is Cleared"
"herocard.passive_skill.title.effectondispel.healthboost.minorbuff.removalreason.dispel","Health Boost on Buff Dispel"
"herocard.passive_skill.title.effectonfamiliardamagedone.minion.frost","Frost On Minion Hit"
"herocard.passive_skill.title.effectonheal.addmana","Mana on Health Recovery"
"herocard.passive_skill.title.effectonheal.heal","Extra Health on Health Recovery"
"herocard.passive_skill.title.effectonhealsupportcharacter.troop.heal","Extra HEALING"
"herocard.passive_skill.title.effectonmanareduction.statuseffects.attackmodifier","Status Effect on Mana Reduction"
"herocard.passive_skill.title.effectonmanareduction.statuseffects.yellowdefensemodifier","Status Effect on Mana Reduction"
"herocard.passive_skill.title.effectonresist.activates_on_enemy_action.healthboost.addmana.once","Health Boost and Mana on Resist"
"herocard.passive_skill.title.effectonspecialcastwitheffecttype.activates_on_enemy_action.addmana.on_healthboost_cast","Mana On Health Boosting Special Skill"
"herocard.passive_skill.title.effectonspecialcastwitheffecttype.activates_on_enemy_action.healthboost.on_healthboost_cast","Health Boost On Enemy Health Boost"
"herocard.passive_skill.title.effectonspecialchancepermanaspeed","Effects on Special Skill"
"herocard.passive_skill.title.effectonspecialskilldamagedone.bufftoremove.minordebuff.latest.safe.only_criticals.once","Cleanse on Critical Special Attack"
"herocard.passive_skill.title.effectonspecialskilldamagedone.bufftoremove.minordebuff.safe.only_criticals","Cleanse on Critical Special Attack"
"herocard.passive_skill.title.effectonspecialskilldamagedone.healthboost.only_criticals","Health Boost on Critical Special Attack"
"herocard.passive_skill.title.effectonspecialskilldamagedone.healthboost.only_criticals.once","Health Boost on Critical Special Attack"
"herocard.passive_skill.title.effectonspecialskilldamagedonebasedonhealthdifference.healthboost.once.effectonspecialskilldamagereceivedbasedonhealthdifference.addmana.once","Righteous Rebellion"
"herocard.passive_skill.title.effectonspecialskilldamagereceived.healthboost.only_criticals","Health Boost on Critical Special Attack"
"herocard.passive_skill.title.effectonspecialwithchance.activates_on_enemy_action.healthboost","Boost Health On Enemy Special"
"herocard.passive_skill.title.effectonspecialwithchance.addmana","Mana on Special"
"herocard.passive_skill.title.effectonspecialwithchance.bufftoremove.minorbuff.latest","Dispel on Special Skill"
"herocard.passive_skill.title.effectonspecialwithchance.bufftoremove.minordebuff.latest","Cleanse on Special Skill"
"herocard.passive_skill.title.effectonspecialwithchance.damage","Damage on Special"
"herocard.passive_skill.title.effectonspecialwithchance.heal","Health Recovery on Special"
"herocard.passive_skill.title.effectonspecialwithchance.healthboost","Health Boost On Special Skill"
"herocard.passive_skill.title.effectonspecialwithchance.statuseffects","Status Effect on Special"
"herocard.passive_skill.title.effectonspecialwithchance.statuseffects.bleeding","Bleed on Special Skill"
"herocard.passive_skill.title.effectonspecialwithchance.statuseffects.curseofdoom","Curse on Special Skill"
"herocard.passive_skill.title.effectonspecialwithchance.statuseffects.damageovertime","Damage Over Time on Special"
"herocard.passive_skill.title.effectonspecialwithchance.statuseffects.extradamageagainstboostedhealth","Increased Damage Against Boosted Health"
"herocard.passive_skill.title.effectonspecialwithchance.statuseffects.huntersmark","Damage Over Time On Special"
"herocard.passive_skill.title.effectonspecialwithchance.statuseffects.managenerationmodifier","Status Effect on Special"
"herocard.passive_skill.title.effectonspecialwithchance.statuseffects.poison","Poison on Special Skill"
"herocard.passive_skill.title.effectonspecialwithchance.statuseffects.possession","Mindless Attack on Special Skill"
"herocard.passive_skill.title.effectonspecialwithchance.statuseffects.underwater","Damage Over Time on Special"
"herocard.passive_skill.title.effectonspecialwithmanaspeedthreshold.activates_on_enemy_action.damage.faster.average.once","Damage on Enemy Special"
"herocard.passive_skill.title.effectonstatuseffectaddition.activates_on_enemy_action.addmana.allbuffs.taunt","Mana On Taunt"
"herocard.passive_skill.title.effectonstatuseffectaddition.activates_on_enemy_action.addmana.statuseffectbuffs.defensemodifier.once","Mana On Enemy Defense Buff"
"herocard.passive_skill.title.effectonstatuseffectaddition.activates_on_enemy_action.statuseffects.ubertitanstackingattackmodifier.allbuffs.defensemodifier","Status Effect on Enemy Defense Buff"
"herocard.passive_skill.title.effectonstatuseffectaddition.activates_on_enemy_action.statuseffects.ubertitanstackingreceiveddamagemodifier.allbuffs.attackmodifier","Status Effect on Enemy Attack Buff"
"herocard.passive_skill.title.effectonstatuseffectaddition.addmana.allbuffs","Mana on Buff Received"
"herocard.passive_skill.title.effectonstatuseffectaddition.addmana.alldebuffs","Mana on Status Ailment Received"
"herocard.passive_skill.title.effectonstatuseffectaddition.heal.allbuffs","Health Recovery on Buff Received"
"herocard.passive_skill.title.effectonstatuseffectaddition.heal.alldebuffs","Health Recovery on Status Ailment Received"
"herocard.passive_skill.title.effectonstatuseffectaddition.statuseffects.managenerationmodifier.alldebuffs","Mana Buff on Status Ailment Received"
"herocard.passive_skill.title.effectonstatuseffectadditionwithchance.addmana.allbuffs","Mana on Buff Received"
"herocard.passive_skill.title.effectonstatuseffectadditionwithchance.heal.allbuffs","Health Recovery on Buff Received"
"herocard.passive_skill.title.effectonstatuseffectremovalbyspecial.activates_on_ally_action.healthboost","Health Boost on Status Effect Removal"
"herocard.passive_skill.title.effectonstatuseffectremovalbyspecial.activates_on_enemy_action.damage","Damage on Status Effect Removal"
"herocard.passive_skill.title.effectovertime.revival","Revive Over Time"
"herocard.passive_skill.title.effectovertimeperstatuseffect.addmana.everyturn.per.statuseffectbuffs.enemies","Mana per Enemy Buff"
"herocard.passive_skill.title.effectovertimeperstatuseffect.healthboost.everyturn.per.poison.statuseffectdebuffs.enemies","Health Boost on Poison"
"herocard.passive_skill.title.effectsonminionreceived.activates_on_ally_action.addmana.allies.minion","Mana on Minion summon"
"herocard.passive_skill.title.effectsonminionreceived.activates_on_ally_action.heal.addmana.allies.minion","Friend of the Familiars"
"herocard.passive_skill.title.effectsonparasitereceived.activates_on_enemy_action.addmana.enemies.parasite","Mana on Fiend Summon"
"herocard.passive_skill.title.effectsonparasitereceived.activates_on_enemy_action.damage.enemies.parasite","Wrath of Pets"
"herocard.passive_skill.title.effectsonparasitereceived.activates_on_enemy_action.healthboost.enemies.parasite","Health Boost on Fiend Summon"
"herocard.passive_skill.title.familiaraccuracymodifier.all.enemies.minion.bigminion","Minion Blind"
"herocard.passive_skill.title.familiarcoreintrinsicchargeeffectonspecial.summonfamiliar.construct_minion_core","Minion Core"
"herocard.passive_skill.title.familiarhealthmodifier.all.enemies.bigminion.decrease","Weaker Mega Minions"
"herocard.passive_skill.title.familiarhealthmodifier.all.enemies.minion.decrease","Weaker Minions"
"herocard.passive_skill.title.familiarsilencer.all.enemies.bigminion","Stop Mega Minions"
"herocard.passive_skill.title.familiarsilencer.all.enemies.minion.follower","Stop Minions"
"herocard.passive_skill.title.frost.effectondamageovertime.activates_on_enemy_action.addmana","Mana On Frost"
"herocard.passive_skill.title.glass_reflect_debuffs","Glass"
"herocard.passive_skill.title.growth","Growth"
"herocard.passive_skill.title.guaranteedeffectonspecial","Guaranteed Effect On Special Skill"
"herocard.passive_skill.title.healmodifier.all.enemies.decrease","Decreased healing"
"herocard.passive_skill.title.healonheal.heal","Extra HEALING"
"herocard.passive_skill.title.healonownfamiliardeath.minion","Health from Dead Minion"
"herocard.passive_skill.title.healonownfamiliardeath.minion.healthboost","Boosted Health from Dead Minion"
"herocard.passive_skill.title.increasedattackperelement.enemies.not.green","Increased Attack per Non-Nature Enemy"
"herocard.passive_skill.title.increasedattackperelement.enemies.not.red","Increased Attack per Non-Fire Enemy"
"herocard.passive_skill.title.increaseddamageagainstfamiliars.minion.bigminion","Extra Damage to Minions & Mega Minions"
"herocard.passive_skill.title.increaseddamageagainstminions","Increased Damage Against Minions"
"herocard.passive_skill.title.increasedspecialdamageagainsttaunt.taunt","Increased Damage Against Taunt"
"herocard.passive_skill.title.increasespecialdamage","Increased Special Skill Damage"
"herocard.passive_skill.title.increasespecialdamage.usable_once","Increased Special Skill Damage"
"herocard.passive_skill.title.increasespecialdamagesupportcharacter.troop","Increased Special Skill Damage"
"herocard.passive_skill.title.insanitydamagereduction","Marked by the Old Ones"
"herocard.passive_skill.title.iterateeffectonspecial","Extra Chance for Effects On Special Skill"
"herocard.passive_skill.title.league_accuracy_modifier_against_family","League Disadvantage"
"herocard.passive_skill.title.league_featured_family_resist","League Advantage"
"herocard.passive_skill.title.league_heal_modifier_against_family","League Disadvantage"
"herocard.passive_skill.title.league_heal_modifier_for_family","League Advantage"
"herocard.passive_skill.title.league_received_damage_modifier_against_non_featured_family","League Advantage"
"herocard.passive_skill.title.manadebuffprotection","Mana Generation Ailment Protection"
"herocard.passive_skill.title.managenerationmodifier.all.enemies","Reduce Mana gain from Special Skills"
"herocard.passive_skill.title.manaonownfamiliardeath.minion","Mana on Minion Death"
"herocard.passive_skill.title.manaonstatuseffect.debuff","Mana from Ailments"
"herocard.passive_skill.title.memorizefamiliars.activates_on_enemy_action","Memorize Enemy Minions and Fiends"
"herocard.passive_skill.title.memorizestatuseffects","Memorize Status Ailments"
"herocard.passive_skill.title.mimic_dread_damage_minions","Dread"
"herocard.passive_skill.title.mimiclootonlevelcompleted","Mimic Loot"
"herocard.passive_skill.title.nevermissspecial","Perfect Accuracy"
"herocard.passive_skill.title.ransack","Thief's Opportunity"
"herocard.passive_skill.title.reallocatestatuseffectonspecialcast.damage.minorbuff.newest","Steal Buff"
"herocard.passive_skill.title.reallocatestatuseffectonspecialcast.heal.minordebuff.newest","Hunter's Sense"
"herocard.passive_skill.title.receivedstrongelementsupportcharacterdamage","Troop Mastery"
"herocard.passive_skill.title.receivedstrongelementsupportcharacterdamage.increase.dragon","Strong Fireball Damage Increase"
"herocard.passive_skill.title.redirectlethaldamage.enemies.single","Cheat Death"
"herocard.passive_skill.title.remove_growth_from_enemies","Guard Rally"
"herocard.passive_skill.title.remove_wither_from_allies","Guard Rally"
"herocard.passive_skill.title.repaircoreintrinsicchargeeffectonspecial.healthboost","Repair Core"
"herocard.passive_skill.title.repeat_special_once","Lucky"
"herocard.passive_skill.title.resist.accuracymodifiers","Resist Blind"
"herocard.passive_skill.title.resist.alldebuffs","Resist Status Ailments"
"herocard.passive_skill.title.resist.alldebuffs.alldebuffs","Resist All Ailments"
"herocard.passive_skill.title.resist.alldebuffs.manareduction.buffdispels","Apex Resistance"
"herocard.passive_skill.title.resist.alldefensemodifiers.alldebuffs","Resist Defense Ailments"
"herocard.passive_skill.title.resist.alldefensemodifiers.defensewither.alldebuffs","Resist Defense Reduction"
"herocard.passive_skill.title.resist.allmanaeffects.alldebuffs","Resist Mana Ailments"
"herocard.passive_skill.title.resist.allstatuseffectdamage.none","Resist Damage from Status Effects"
"herocard.passive_skill.title.resist.attackdelay","Resist Attack Delay"
"herocard.passive_skill.title.resist.attackmodifiers","Resist Attack Ailments"
"herocard.passive_skill.title.resist.attackmodifiers.allstatuseffectsandstacks","Resist Attack Status Effects"
"herocard.passive_skill.title.resist.attackmodifiers.attackwither.alldebuffs","Resist Attack Reduction"
"herocard.passive_skill.title.resist.bleed","Resist Bleed"
"herocard.passive_skill.title.resist.bleed.with_effect.healthboost.addmana","Empowered Resist Bleed"
"herocard.passive_skill.title.resist.buffdispels","Resist Dispels"
"herocard.passive_skill.title.resist.buffimmunity","Resist Buff Blocking"
"herocard.passive_skill.title.resist.burn","Resist Burn"
"herocard.passive_skill.title.resist.burn.with_effect.healthboost.addmana","Empowered Resist Burn"
"herocard.passive_skill.title.resist.criticalhits.none","Resist Critical Hits"
"herocard.passive_skill.title.resist.defensemodifiers.alldebuffs","Resist Defense Ailments"
"herocard.passive_skill.title.resist.familiarremoval.familiarsilence.familiarreceivingblocking.minion","Unstoppable Minions"
"herocard.passive_skill.title.resist.frost","Resist Frost"
"herocard.passive_skill.title.resist.frost.with_effect.healthboost.addmana","Empowered Resist Frost"
"herocard.passive_skill.title.resist.healeffects","Resist Healing Ailments"
"herocard.passive_skill.title.resist.healthsteal","Resist Health Steal Ailments"
"herocard.passive_skill.title.resist.insanity.permanentstatuseffects","Resist Insanity"
"herocard.passive_skill.title.resist.manadebuffs","Resist Mana Ailments"
"herocard.passive_skill.title.resist.manaeffectsandspecialblocking","Resist Mana Ailments and Special Skill Blocking"
"herocard.passive_skill.title.resist.managenerationmodifiers.alldebuffs","Resist Mana Generation Ailments"
"herocard.passive_skill.title.resist.manareduction","Resist Mana Reduction"
"herocard.passive_skill.title.resist.manareduction.none.with_effect.healthboost.addmana","Empowered Resist Mana Reduction"
"herocard.passive_skill.title.resist.maxhealthreduction","Resist Max Health Reduction"
"herocard.passive_skill.title.resist.poison","Resist Poison"
"herocard.passive_skill.title.resist.poison.burn.bleed","Resist Poison, Burn and Bleed"
"herocard.passive_skill.title.resist.possession.allstatuseffects","Resist Possession"
"herocard.passive_skill.title.resist.sand","Resist Sand"
"herocard.passive_skill.title.resist.specialblocking","Resist Special Skill Blocking"
"herocard.passive_skill.title.resist.specialblocking.with_effect.healthboost.addmana","Empowered Resist Special Skill Blocking"
"herocard.passive_skill.title.resist.stopmanageneration","Resist Mana Generation Stopping"
"herocard.passive_skill.title.resist.water","Resist Water"
"herocard.passive_skill.title.resist_all_defense_effects","Trait: 
Lithe Frame"
"herocard.passive_skill.title.resistdebuffsfromfamiliars.minion","Resist Status Ailments from Minions"
"herocard.passive_skill.title.resistfamiliarremoval.minion.bigminion","Resist Minion Removal"
"herocard.passive_skill.title.resistnegativefamiliareffects.minion","Resist Negative Minion Effects"
"herocard.passive_skill.title.resistnegativefamiliareffects.minion.bigminion","Superior Resist Negative Minion Effects"
"herocard.passive_skill.title.resistnewfamiliars.parasite","Resist Fiends"
"herocard.passive_skill.title.resistnewfamiliars.parasite.bigparasite","Resist Fiends and Mega Fiends"
"herocard.passive_skill.title.resistsupportcharacter.troop.alldebuffs","Resist Status Ailments"
"herocard.passive_skill.title.revivalchancemodifier.all.enemies","Revival Chance Reduction"
"herocard.passive_skill.title.revivalhealthmodifier.all.enemies.excluding.boss","Revival Health Reduction"
"herocard.passive_skill.title.revive_chance_nine_lives","Nine Lives"
"herocard.passive_skill.title.reviveinalternativeformwithinsanitychance","Eldritch Pact"
"herocard.passive_skill.title.revivewithchance","Revive"
"herocard.passive_skill.title.setstatuseffectdurationonaddition.all.allies.activates_on_ally_action.alldebuffs.dance","Quick Tempo: Ballad"
"herocard.passive_skill.title.setstatuseffectdurationonaddition.single.enemies.activates_on_enemy_action.allbuffs.dance","Quick Tempo: Dance"
"herocard.passive_skill.title.sharereceiveddamage","Share Received Damage"
"herocard.passive_skill.title.short.generic","Passive"
"herocard.passive_skill.title.short.league","Advantage"
"herocard.passive_skill.title.short.league.non_featured","Disadvantage"
"herocard.passive_skill.title.short.trait","Trait"
"herocard.passive_skill.title.sidedependentpassiveskill.side_dependent_elemental_mask","Elemental Mask"
"herocard.passive_skill.title.sidedependentpassiveskill.strong_troop_damage_modifier","Troop Mastery"
"herocard.passive_skill.title.sidedependentpassiveskill.strong_troop_damage_modifier_costume","Troop Mastery"
"herocard.passive_skill.title.specialdamagereduction","Special Skill Damage Reduction"
"herocard.passive_skill.title.specialdamagereductionsupportcharacter.troop","Special Skill Damage Reduction"
"herocard.passive_skill.title.startbattlewitheffect.addmana","Start Battle With Mana"
"herocard.passive_skill.title.statmodifier.attack","Ferocious"
"herocard.passive_skill.title.statmodifier.defense","Carapaced"
"herocard.passive_skill.title.statmodifier.health","Resilient"
"herocard.passive_skill.title.statuseffectattackmodifier.addition","Increase Status Effect Attack"
"herocard.passive_skill.title.statuseffectattackmodifier.all.allies.reduction","Attack Ailment Reduction"
"herocard.passive_skill.title.statuseffectattackmodifier.reduction","Attack Ailment Reduction"
"herocard.passive_skill.title.statuseffectattackmodifiersupportcharacter.troop.addition","Increase Status Effect Attack"
"herocard.passive_skill.title.statuseffectattackmodifiersupportcharacter.troop.reduction","Attack Ailment Reduction"
"herocard.passive_skill.title.statuseffectdefensemodifier.addition","Increase Status Effect Defense"
"herocard.passive_skill.title.statuseffectdefensemodifier.all.allies.reduction","Defense Ailment Reduction"
"herocard.passive_skill.title.statuseffectdefensemodifier.reduction","Defense Ailment Reduction"
"herocard.passive_skill.title.statuseffectdefensemodifiersupportcharacter.troop.addition","Increase Status Effect Defense"
"herocard.passive_skill.title.statuseffectdefensemodifiersupportcharacter.troop.reduction","Defense Ailment Reduction"
"herocard.passive_skill.title.statuseffectdurationmodifier","Increase Buff Duration"
"herocard.passive_skill.title.statuseffectdurationmodifier.decrease.minordebuff.majordebuff","Decrease Ailment Duration"
"herocard.passive_skill.title.statuseffectdurationmodifier.decrease.minordebuff.majordebuff.defensemodifier.no_limit","Decrease Defense Ailment Duration"
"herocard.passive_skill.title.statuseffectdurationmodifier.increase.minorbuff.majorbuff","Increase Buff Duration"
"herocard.passive_skill.title.statuseffectoncleanse.single.enemies","Copy Ailment on Cleanse"
"herocard.passive_skill.title.statuseffectonspecialcast.attackmodifierfrompassiveskill","Hunter's Vigor"
"herocard.passive_skill.title.statuseffectonspecialcast.softskin","Gargoyle's Softskin"
"herocard.passive_skill.title.statuseffectonspecialcast.stone","Gargoyle's Stoneskin"
"herocard.passive_skill.title.statuseffectonstatuseffectaddition.debuff","Mana Generation Buff from Ailments"
"herocard.passive_skill.title.statuseffectselection.usable_once.select_element_status_effect","Elemental Mask"
"herocard.passive_skill.title.summonfamiliarperturn.evolving_seedling_parasite.enemies","Seedling Summoner"
"herocard.passive_skill.title.summonfamiliarperturn.evolving_seedling_parasite.enemies.sharedonceperturn","Seedling Summoner"
"herocard.passive_skill.title.summononownerdeath.slime_big_minion_blue.neartotargetexceptcaster.allies","Slime Minion upon Defeat"
"herocard.passive_skill.title.summononownerdeath.slime_big_minion_green.neartotargetexceptcaster.allies","Slime Minion upon Defeat"
"herocard.passive_skill.title.summononownerdeath.slime_big_minion_purple.neartotargetexceptcaster.allies","Slime Minion upon Defeat"
"herocard.passive_skill.title.summononownerdeath.slime_big_minion_red.neartotargetexceptcaster.allies","Slime Minion upon Defeat"
"herocard.passive_skill.title.summononownerdeath.slime_big_minion_yellow.neartotargetexceptcaster.allies","Slime Minion upon Defeat"
"herocard.passive_skill.title.summononreceiveddamagewiththreshold.slime_big_minion_blue","Slime Minion Split"
"herocard.passive_skill.title.summononreceiveddamagewiththreshold.slime_big_minion_green","Slime Minion Split"
"herocard.passive_skill.title.summononreceiveddamagewiththreshold.slime_big_minion_purple","Slime Minion Split"
"herocard.passive_skill.title.summononreceiveddamagewiththreshold.slime_big_minion_red","Slime Minion Split"
"herocard.passive_skill.title.summononreceiveddamagewiththreshold.slime_big_minion_yellow","Slime Minion Split"
"herocard.passive_skill.title.summononstatuseffectaddition.burn","Summon on Burn"
"herocard.passive_skill.title.summononstatuseffectaddition.damageovertime","Summon on DoT"
"herocard.passive_skill.title.summononstatuseffectaddition.defensemodifier","Summon Minion on Defense Ailment"
"herocard.passive_skill.title.summononsummon.activates_on_enemy_action.allies.owl.minion","Sparrow Summoner"
"herocard.passive_skill.title.summononsummon.activates_on_enemy_action.enemies.cursed_sapling_parasite.minion","Cursed Sapling Summoner"
"herocard.passive_skill.title.summononsummon.activates_on_enemy_action.enemies.seedling_parasite.minion","Seedling Summoner"
"herocard.passive_skill.title.taunt","Ignore Taunt"
"herocard.passive_skill.title.titan_dread_damage_minions","Dread"
"herocard.passive_skill.title.titan_dread_damage_minions_15","Dread"
"herocard.passive_skill.title.titan_dread_damage_minions_16","Dread"
"herocard.passive_skill.title.titan_dread_damage_minions_17","Dread"
"herocard.passive_skill.title.titan_resist_15","Titan"
"herocard.passive_skill.title.titan_resist_16","Titan"
"herocard.passive_skill.title.titan_resist_17","Titan"
"herocard.passive_skill.title.toon_resist_debuffs_manareduction_dispels","Toon"
"herocard.passive_skill.title.transformstatuseffectonspecialcast.minorbuff.enemies.all.transform_attackmodifier_into_attackmodifier.transform_defensemodifier_into_defensemodifier.transform_managenerationmodifier_into_defensemodifier","Transform Buffs"
"herocard.passive_skill.title.transformstatuseffectonspecialcast.minorbuff.enemies.all.transform_attackmodifier_into_attackmodifier.transform_defensemodifier_into_defensemodifier.transform_managenerationmodifier_into_managenerationmodifier","Transform Buffs"
"herocard.passive_skill.title.transformstatuseffectonspecialcast.minordebuff.allies.all.transform_attackmodifier_into_attackmodifier.transform_defensemodifier_into_defensemodifier.transform_managenerationmodifier_into_managenerationmodifier","Transform Ailments"
"herocard.passive_skill.title.wither.all.enemies","Wither"
