"heroes.name_fancy.astral_cosmicspeaker","Gök Bilimcisi Astral Elf"
"heroes.name_fancy.magic_camilla_costume_flower","Çiçekli Tamirci"
"heroes.name_fancy.magic_carpet_agadh","Uçan Halı Suikastçısı"
"heroes.name_fancy.magic_carpet_amelia","Büyülü Pilot"
"heroes.name_fancy.magic_carpet_bart","Uçan Halı Hız Canavarı"
"heroes.name_fancy.magic_carpet_bertha","Uçan Halıların Üreticisi"
"heroes.name_fancy.magic_carpet_crustee","Büyülü Laboratuvar Dâhisi"
"heroes.name_fancy.magic_carpet_elyssa","Uçan Halı Gurmesi"
"heroes.name_fancy.magic_carpet_jwala","Büyülü Lav Kız"
"heroes.name_fancy.magic_carpet_kesha","Al-Layl Büyücüsü"
"heroes.name_fancy.magic_carpet_lando","Uçan Halı Büyücüsü"
"heroes.name_fancy.magic_carpet_lilli","Uçan Halı Kedili Kadını"
"heroes.name_fancy.magic_carpet_manpip","Gergin Uçan Halı Yolcusu"
"heroes.name_fancy.magic_carpet_naeem","Uçan Halı Serserisi"
"heroes.name_fancy.magic_carpet_ragrim","Uçan Halı Botanikçisi"
"heroes.name_fancy.magic_carpet_shareef","Durdurulmaz Sihirbaz"
"heroes.name_fancy.magic_carpet_zazha","Uçan Halı Tamircisi"
"heroes.name_fancy.magic_cristobal","Afsun Profesörü"
"heroes.name_fancy.magic_cristobal_costume_emerald","Büyü Profesörü"
"heroes.name_fancy.magic_dolgoon","Bilgin Kütüphaneci"
"heroes.name_fancy.magic_jett","Kurban Elçisi"
"heroes.name_fancy.magic_kornel","Kıdemli Bakıcı"
"heroes.name_fancy.magic_lucy","Büyücü Topu Dehası"
"heroes.name_fancy.magic_milena","Gizli Sanatlar Öğretmeni"
"heroes.name_fancy.magic_milena_costume_ice","Arktik Büyü Öğretmeni"
"heroes.name_fancy.magic_motega","Baş Saha Görevlisi"
"heroes.name_fancy.magic_nadezhda","Kule Müdürü"
"heroes.name_fancy.magic_nadezhda_costume_postmaster","Kule Sorumlusu"
"heroes.name_fancy.magic_ray","Pota Şampiyonu"
"heroes.name_fancy.magic_ray_costume_spiky","Kalenin Şampiyonu"
"heroes.name_fancy.magic_roxia","Kadim Yazı Meraklısı"
"heroes.name_fancy.magic_sergei","Gizli Sanatlar Öğrencisi"
"heroes.name_fancy.magic_telonius","Ormanın Sentoru"
"heroes.name_fancy.magic_ulius","Özgün Mucit Sihirbaz"
"heroes.name_fancy.magic_ulius_costume_buccaneer","Özgün Esrarengiz Korsan"
"heroes.name_fancy.magic_vaishali","Gizemli Satranç Ustası"
"heroes.name_fancy.magic_vaishali_costume_chef","Mistik Turta Ustası"
"heroes.name_fancy.magic_willow","Havalanma Ustası"
"heroes.name_fancy.magitech_sniper","Magitek Keskin Nişancısı"
"heroes.name_fancy.magitech_sniper_costume_cute","Çizgi Nişancı"
"heroes.name_fancy.magitech_sniper_costume_glass","Cam Nişancı"
"heroes.name_fancy.magitech_sniper_costume_steampunk","Steampunk Tetikçisi"
"heroes.name_fancy.magitech_sniper_costume_undead","Ölümsüz Keskin Nişancı"
"heroes.name_fancy.mahayoddha_ali","Yetenekli Ayakçı"
"heroes.name_fancy.mahayoddha_bhima","Vayu'nun Oğlu"
"heroes.name_fancy.mahayoddha_bonga","Sepetçi"
"heroes.name_fancy.mahayoddha_chitrangada","Manipura'nın Savaşçı Prensi"
"heroes.name_fancy.mahayoddha_rafeeq","Kurnaz Politikacı"
"heroes.name_fancy.mahayoddha_ustad_anand","Kraliyet Göstericisi"
"heroes.name_fancy.mahayoddha_veer","Gururlu Suikastçı"
"heroes.name_fancy.masquerade_alessia","Aradia'nın Takipçisi"
"heroes.name_fancy.masquerade_aradia","Maskeli Büyücülük Tanrıçası"
"heroes.name_fancy.masquerade_carmenta","Maskeli Büyü Tanrıçası"
"heroes.name_fancy.masquerade_cel","Maskeli Dünya Tanrıçası"
"heroes.name_fancy.masquerade_februus","Maskeli Arınma Tanrısı"
"heroes.name_fancy.masquerade_fortuna","Maskeli Kader Tanrıçası"
"heroes.name_fancy.masquerade_fosco","Februus'un Takipçisi"
"heroes.name_fancy.masquerade_jana","Maskeli Ay Tanrıçası"
"heroes.name_fancy.masquerade_jove","Maskeli Gökyüzü Tanrısı"
"heroes.name_fancy.masquerade_umbria","Maskeli Gölge Tanrıçası"
"heroes.name_fancy.mighty_pet_barkley","Savaş Köpeği"
"heroes.name_fancy.mighty_pet_bubbles","İlüzyon Sanatları Taklitçisi"
"heroes.name_fancy.mighty_pet_chomper","Hamster Dövüşü Şampiyonu"
"heroes.name_fancy.mighty_pet_cinnamon","Arktik Çember Şövalyesi"
"heroes.name_fancy.mighty_pet_cupcake","Pençeli Haydut"
"heroes.name_fancy.mighty_pet_furdinand","Köpek Keşfinin Zorbası"
"heroes.name_fancy.mighty_pet_hachiko","Yavru Sadakat Köpeği"
"heroes.name_fancy.mighty_pet_luna","Hilal Baykuşu"
"heroes.name_fancy.mighty_pet_ribbit","Kurbağa Krallığı Gladyatörü"
"heroes.name_fancy.mighty_pet_rufus","Kürklü Oduncu"
"heroes.name_fancy.mighty_pet_snowball","Pençeli Sokak Kedisi"
"heroes.name_fancy.mighty_pet_toto","Hikayeci Köpek"
"heroes.name_fancy.mighty_pet_waddles","Ördek Muhafızlarının Lideri"
"heroes.name_fancy.mimic_aether_blue","Kıtlık Çeken Çubuk Deposu"
"heroes.name_fancy.mimic_aether_green","Kıtlık Çeken Çubuk Deposu"
"heroes.name_fancy.mimic_aether_purple","Kıtlık Çeken Çubuk Deposu"
"heroes.name_fancy.mimic_aether_red","Kıtlık Çeken Çubuk Deposu"
"heroes.name_fancy.mimic_aether_yellow","Kıtlık Çeken Çubuk Deposu"
"heroes.name_fancy.mimic_ascension_epic_yellow","Sırıtan Ehvenişer Zulası"
"heroes.name_fancy.mimic_ascension_item_blue","Sırıtan Şeytan Zulası"
"heroes.name_fancy.mimic_ascension_item_green","Sırıtan Şeytan Zulası"
"heroes.name_fancy.mimic_ascension_item_purple","Sırıtan Şeytan Zulası"
"heroes.name_fancy.mimic_ascension_item_red","Sırıtan Şeytan Zulası"
"heroes.name_fancy.mimic_ascension_item_yellow","Sırıtan Şeytan Zulası"
"heroes.name_fancy.mimic_emblem_blue","Korkunç Tek Gözlü Kasa"
"heroes.name_fancy.mimic_emblem_green","Korkunç Tek Gözlü Kasa"
"heroes.name_fancy.mimic_emblem_purple","Korkunç Tek Gözlü Kasa"
"heroes.name_fancy.mimic_emblem_red","Korkunç Tek Gözlü Kasa"
"heroes.name_fancy.mimic_emblem_yellow","Korkunç Tek Gözlü Kasa"
"heroes.name_fancy.mimic_experience_rare_red","Küçük Dişin Hazinesi"
"heroes.name_fancy.mimic_training_hero_blue","Bin Diş Hazinesi"
"heroes.name_fancy.mimic_training_hero_green","Bin Diş Hazinesi"
"heroes.name_fancy.mimic_training_hero_purple","Bin Diş Hazinesi"
"heroes.name_fancy.mimic_training_hero_red","Bin Diş Hazinesi"
"heroes.name_fancy.mimic_training_hero_yellow","Bin Diş Hazinesi"
"heroes.name_fancy.monster_hunter_adalinda","Av Prensesi"
"heroes.name_fancy.monster_hunter_amund","Azimli İz Sürücü"
"heroes.name_fancy.monster_hunter_basil","Avın Faresi"
"heroes.name_fancy.monster_hunter_berit","Beril Boksör"
"heroes.name_fancy.monster_hunter_bogart","Bataklık Avcısı"
"heroes.name_fancy.monster_hunter_bonecrusher","Gümüş Sırtlı Goril Şefi"
"heroes.name_fancy.monster_hunter_cedar","Şempanze Zinciri Şampiyonu"
"heroes.name_fancy.monster_hunter_cleaver","Av Reisi"
"heroes.name_fancy.monster_hunter_dabria","Avcı Tarikatçısı"
"heroes.name_fancy.monster_hunter_dawn","Av Ozanı"
"heroes.name_fancy.monster_hunter_dubhain","Fırtına Tanrısı'nın Seçilmişi"
"heroes.name_fancy.monster_hunter_ebba","Paralı Av Askeri"
"heroes.name_fancy.monster_hunter_edelaide","Yaban Göçebesi"
"heroes.name_fancy.monster_hunter_fianna","Orman Tuzakçısı"
"heroes.name_fancy.monster_hunter_goretooth","Vahşi Avcı"
"heroes.name_fancy.monster_hunter_greel","Öldürücü Kabadayı"
"heroes.name_fancy.monster_hunter_hammertusk","İri Kıyım Dayakçı Barbar"
"heroes.name_fancy.monster_hunter_hawthorn","Usta Avcı"
"heroes.name_fancy.monster_hunter_hurricane","Maymun Suikastçı"
"heroes.name_fancy.monster_hunter_kai","Avcı Şövalye"
"heroes.name_fancy.monster_hunter_knuckles","Makak Nöbetçi"
"heroes.name_fancy.monster_hunter_maheegan","Kurt İz Sürücüsü"
"heroes.name_fancy.monster_hunter_malin","Titan Kemiği Savaşçısı"
"heroes.name_fancy.monster_hunter_meadow","Kabile Avcısı"
"heroes.name_fancy.monster_hunter_mistweaver","Orangutan Dövüşçü"
"heroes.name_fancy.monster_hunter_njal","Kuzey Rüzgarının Avcısı"
"heroes.name_fancy.monster_hunter_numbskull","Sakar İskelet"
"heroes.name_fancy.monster_hunter_otis","Avcı Kılıç Ustası"
"heroes.name_fancy.monster_hunter_revna","Akik Avcısı"
"heroes.name_fancy.monster_hunter_ruadh","Uçurum Avcısı"
"heroes.name_fancy.monster_hunter_sigyn","Akrep Terbiyecisi"
"heroes.name_fancy.monster_hunter_sorcha","Kararlı Avcı"
"heroes.name_fancy.monster_hunter_sorrow","Buz Tutmuş Hayalet"
"heroes.name_fancy.monster_hunter_staintongue","Merhametsiz Avcı"
"heroes.name_fancy.monster_hunter_sune","Malahit Avcısı"
"heroes.name_fancy.monster_hunter_thunderclap","Kızgın Goril"
"heroes.name_fancy.monster_hunter_thura","Yıldızla Kutsanmış Avcı"
"heroes.name_fancy.monster_hunter_tremor","Babun Kılıç Ustası"
"heroes.name_fancy.monster_hunter_waterpipe","Zıpkın Mühendisi"
"heroes.name_fancy.moth_auricarc","Efendi Marksmoth"
"heroes.name_fancy.moth_chimister","Laboratuvar Güvesi"
"heroes.name_fancy.moth_chunkyroi","Marki Güve"
"heroes.name_fancy.moth_furgeant","Ezici Güve"
"heroes.name_fancy.moth_gardered","Cesur Güve"
"heroes.name_fancy.moth_grovevert","Güve Yavrusu Yetiştiricisi"
"heroes.name_fancy.moth_joyvert","Güve Müzik Üstadı"
"heroes.name_fancy.moth_lilareine","Marki Güve"
"heroes.name_fancy.moth_limeboire","Güve Meyhaneci"
"heroes.name_fancy.moth_mortewitch","Güve Büyücü"
"heroes.name_fancy.moth_pepperbleu","Güve Sihirbaz"
"heroes.name_fancy.moth_rosepetite","Genç Güve Ressam"
"heroes.name_fancy.moth_satinpimenter","Ruhban Güve"
"heroes.name_fancy.moth_shyombre","Gölge Güve"
"heroes.name_fancy.moth_tealmoine","Sislerin Güvesi"
"heroes.name_fancy.musketeer_aramis","Romantik Silahşor"
"heroes.name_fancy.musketeer_aramis_costume_boulanger","Fırıncı Silahşor"
"heroes.name_fancy.musketeer_athos","Gazi Silahşor"
"heroes.name_fancy.musketeer_athos_costume_farrier","Nalbant Silahşor"
"heroes.name_fancy.musketeer_cardinal_richelieu","Sahtekar Dük"
"heroes.name_fancy.musketeer_constance","Cesur Silahşor"
"heroes.name_fancy.musketeer_dartagnan","Gayretli Silahşor"
"heroes.name_fancy.musketeer_felton","Ahlaksız Suikastçı"
"heroes.name_fancy.musketeer_felton_costume_pirate","Duygusuz Korsan"
"heroes.name_fancy.musketeer_kitty","Dostane Çiçekçi"
"heroes.name_fancy.musketeer_milady_de_winter","Entrikacı Kötü Kadın"
"heroes.name_fancy.musketeer_planchet","Cesur Vale"
"heroes.name_fancy.musketeer_porthos","Neşeli Silahşor"
"heroes.name_fancy.musketeer_porthos_costume_merchant","Tüccar Silahşor"
"heroes.name_fancy.musketeer_queen_anne","Şık Hükümdar"
"heroes.name_fancy.musketeer_rochefort","Acımasız Kafir"
"heroes.name_fancy.musketeer_villiers","Kendini Beğenmiş Dük"
"heroes.name_fancy.musketeer_villiers_costume_jester","Şatafatlı Soytarı"
"heroes.name_fancy.mystery_enigmo","Çağırma İkilemi"
"heroes.name_fancy.nature_god_balbar","Botanikçi Münzevi"
"heroes.name_fancy.nature_god_bertila","Yeşil Şövalye"
"heroes.name_fancy.nature_god_bo_and_runt","Sürünün Liderleri"
"heroes.name_fancy.nature_god_chloris","Çiçekli Ruh"
"heroes.name_fancy.nature_god_cinisia","Meliai Savaş Sihirbazı"
"heroes.name_fancy.nature_god_florenna","Zarafetli Elaphocentaur"
"heroes.name_fancy.nature_god_leadria","Sonsuz Bahar Kraliçesi"
"heroes.name_fancy.nature_god_liora","Hayırsever Haydut"
"heroes.name_fancy.nature_god_mystia","Büyüleyici Büyücü Kadın"
"heroes.name_fancy.nature_god_silvaria","Orman Tanrısı"
"heroes.name_fancy.nature_god_viselus","Felakette Yürüyen Rakip"
"heroes.name_fancy.ninja_amethyst","Gizli Suikastçı"
"heroes.name_fancy.ninja_ametrine","Gizli Bıçakların Ninjası"
"heroes.name_fancy.ninja_aurum","Kan Kırmızısı Kunoichi"
"heroes.name_fancy.ninja_azurite","Ninja Görünümü"
"heroes.name_fancy.ninja_chikao","Sessiz Vurucu"
"heroes.name_fancy.ninja_cobalt","Fısıldayan Denizlerin Ninjası"
"heroes.name_fancy.ninja_ekanite","Shinobi Manga Lideri"
"heroes.name_fancy.ninja_garnet","Yükselen Canlılığın Ninjası"
"heroes.name_fancy.ninja_iga","Kunai Fırtınası Ustası"
"heroes.name_fancy.ninja_ito","Boyun Eğdiren Shinobi"
"heroes.name_fancy.ninja_jade","Dans Eden Yıldızların Ninjası"
"heroes.name_fancy.ninja_kinsaishi","Gök Gürültülü Ninja Keşiş"
"heroes.name_fancy.ninja_kushanku","Kandırma Yumruğu"
"heroes.name_fancy.ninja_malum","Acımasız Shinobi"
"heroes.name_fancy.ninja_mica","Sessiz Çığlıkların Ninjası"
"heroes.name_fancy.ninja_morganite","Kaybolan Gölgelerin Ninjası"
"heroes.name_fancy.ninja_myoinni","En Güçlü Sancak Beyi"
"heroes.name_fancy.ninja_nomad","Sessiz İnfazcı"
"heroes.name_fancy.ninja_oniwakamaru","999 Kılıçlı Gölge Keşiş"
"heroes.name_fancy.ninja_onyx","Kaçak Rüzgarların Ninjası"
"heroes.name_fancy.ninja_osamu","Demir Disiplinli Ninja"
"heroes.name_fancy.ninja_peridot","Ölümcül Zehirlerin Ninjası"
"heroes.name_fancy.ninja_quartz","Sessiz Mezarların Ninjası"
"heroes.name_fancy.ninja_ruby","Kırmızı Oni Ninjası"
"heroes.name_fancy.ninja_sapphire","Sıçrayan Gölgelerin Ninjası"
"heroes.name_fancy.ninja_satsui","Hayalet Kunoichi"
"heroes.name_fancy.ninja_sawano","İnançlı Kunoichi"
"heroes.name_fancy.ninja_serandite","Delen Alevlerin Ninjası"
"heroes.name_fancy.ninja_shale","Uçan Zindeliğin Ninjası"
"heroes.name_fancy.ninja_tametomo","Harika Yaylı Sabotajcı"
"heroes.name_fancy.ninja_topaz","Mükemmel Hassasiyet Ninjası"
"heroes.name_fancy.ninja_tora","Sessiz Avcı"
"heroes.name_fancy.ninja_umeko","Zehirli Çiçek Ninjası"
"heroes.name_fancy.ninja_zircon","Sessiz Dalgaların Ninjası"
"heroes.name_fancy.nomad_axe_adventurer","Cesur Kelle Avcısı"
"heroes.name_fancy.nomad_axe_adventurer_costume_cute","Çizgi Ödül Avcısı"
"heroes.name_fancy.nomad_axe_adventurer_costume_glass","Cam Ödül Avcısı"
"heroes.name_fancy.nomad_axe_adventurer_costume_magma","Ateşli Kelle Avcısı"
"heroes.name_fancy.nomad_axe_adventurer_costume_tracker","Cesur İz Sürücü"
"heroes.name_fancy.nomad_female_archer","Yetenekli Tuzakçı"
"heroes.name_fancy.nomad_female_assassin","Kum Denizi Baskıncısı"
"heroes.name_fancy.nomad_female_assassin_costume_cute","Çizgi Denizi'nden Baskıncı"
"heroes.name_fancy.nomad_female_assassin_costume_dancer","Kum Denizinden Gelen Dansçı"
"heroes.name_fancy.nomad_female_assassin_costume_glass","Cam Denizi'nden Baskıncı"
"heroes.name_fancy.nomad_female_assassin_costume_poison","Kum Denizi Suikastçısı"
"heroes.name_fancy.nomad_female_berserker","Ejderistan Prensesi"
"heroes.name_fancy.nomad_female_berserker_costume_cute","Ejderistan Çizgisi"
"heroes.name_fancy.nomad_female_berserker_costume_glass","Ejderistan Vitrayı"
"heroes.name_fancy.nomad_female_berserker_costume_shaman","Ejderistan Şamanı"
"heroes.name_fancy.nomad_female_berserker_costume_sorceress","Ejderistan Büyücüsü"
"heroes.name_fancy.nomad_female_captain","Windemer Hanımı"
"heroes.name_fancy.nomad_female_captain_costume_cute","Windemer'in Çizgisi"
"heroes.name_fancy.nomad_female_captain_costume_glass","Windemer Vitrayı"
"heroes.name_fancy.nomad_female_captain_costume_pirate","Windemer Dehşeti"
"heroes.name_fancy.nomad_female_captain_costume_thief","Windemer'in Usta Hırsızı"
"heroes.name_fancy.nomad_female_lord","Kraliyet Muhafızının Lideri"
"heroes.name_fancy.nomad_female_lord_costume_cute","Asil Çizgilerin Kaptanı"
"heroes.name_fancy.nomad_female_lord_costume_flame","Ateş Kaptanı"
"heroes.name_fancy.nomad_female_lord_costume_glass","Cam Muhafızlarının Lideri"
"heroes.name_fancy.nomad_female_lord_costume_wicked","Kötülerin Kaptanı"
"heroes.name_fancy.nomad_female_shaman","Yükseliş Şamanı"
"heroes.name_fancy.nomad_female_shaman_costume_cute","Egemen Çizgi"
"heroes.name_fancy.nomad_female_shaman_costume_glass","Egemen Vitray"
"heroes.name_fancy.nomad_female_shaman_costume_native","Egemen Mender"
"heroes.name_fancy.nomad_female_swordmaster","Taht Arayan"
"heroes.name_fancy.nomad_female_swordmaster_costume_cute","Çizgilerin Arayıcısı"
"heroes.name_fancy.nomad_female_swordmaster_costume_glass","Cam Arayıcısı"
"heroes.name_fancy.nomad_female_swordmaster_costume_native","Tanrıları Arayan"
"heroes.name_fancy.nomad_female_thief","Genç Yolcu"
"heroes.name_fancy.nomad_fighter","Sağlam Dövüşçü"
"heroes.name_fancy.nomad_mage","Kum Denizi Sihirbazı"
"heroes.name_fancy.nomad_mage_costume_cute","Çizgi Denizi'nin Büyücüsü"
"heroes.name_fancy.nomad_mage_costume_glass","Cam Denizi'nden Göçebe"
"heroes.name_fancy.nomad_mage_costume_goggles","Kum Denizli Sihirbaz"
"heroes.name_fancy.nomad_scout","Sinsi Paralı Asker"
"heroes.name_fancy.nomad_shaman","Yaşlıların Uşağı"
"heroes.name_fancy.nordic_ancestral_warrior","Karanlık Yetim"
"heroes.name_fancy.nordic_ancestral_warrior_costume_corrupted","Şeytanın Veliahdı"
"heroes.name_fancy.nordic_ancestral_warrior_costume_cute","Karanlık Çizgi"
"heroes.name_fancy.nordic_ancestral_warrior_costume_glass","Karanlık Vitray"
"heroes.name_fancy.nordic_ancestral_warrior_costume_messenger","Karanlık Elçi"
"heroes.name_fancy.nordic_chained_werewolf","Vahşi"
"heroes.name_fancy.nordic_chained_werewolf_costume_cute","Acımasız Çizgi"
"heroes.name_fancy.nordic_chained_werewolf_costume_glass","Vahşi Cam"
"heroes.name_fancy.nordic_chained_werewolf_costume_raccoon","Sarımsak Hırsızı"
"heroes.name_fancy.nordic_female_scout","Sert Kız"
"heroes.name_fancy.nordic_female_warrior","Sürgün Savaşçı"
"heroes.name_fancy.nordic_ice_enchantress","Şeker Adası Koruyucusu"
"heroes.name_fancy.nordic_ice_enchantress_costume_aqua","Şeker Adası'nın Buz Cadısı"
"heroes.name_fancy.nordic_ice_enchantress_costume_cute","Çizgilerin Koruyucusu"
"heroes.name_fancy.nordic_ice_enchantress_costume_glass","Şeker Adası'nın Vitrayı"
"heroes.name_fancy.nordic_ice_enchantress_costume_ruler","Şeker Adası Hükümdarı"
"heroes.name_fancy.nordic_mage","Şeker Adası Sihirbazı"
"heroes.name_fancy.nordic_mage_costume_cute","Şeker Adası Çizgisi"
"heroes.name_fancy.nordic_mage_costume_glass","Şeker Adası'nın Vitrayı"
"heroes.name_fancy.nordic_mage_costume_hermit","Şeker Adası Münzevisi"
"heroes.name_fancy.nordic_male_lord","Adaletin Çekici"
"heroes.name_fancy.nordic_male_lord_costume_cute","Çizgi Film Gücü Çekici"
"heroes.name_fancy.nordic_male_lord_costume_glass","Cam Çekici"
"heroes.name_fancy.nordic_male_lord_costume_injustice","Adaletsizliğin Çekici"
"heroes.name_fancy.nordic_male_lord_costume_senior","Adalet Baltası"
"heroes.name_fancy.nordic_swordman","Atılgan Düellocu"
"heroes.name_fancy.nordic_swordman_costume_climber","Efendi Tırmanıcı"
"heroes.name_fancy.nordic_swordman_costume_cute","Yetenekli Çizgi"
"heroes.name_fancy.nordic_swordman_costume_glass","Cam Düellocusu"
"heroes.name_fancy.nordic_warrior","Kaygısız Maceracı"
"heroes.name_fancy.orc_gladiator","Sarsılmaz"
"heroes.name_fancy.orc_gladiator_costume_chef","Dökme Demir Şefi"
"heroes.name_fancy.orc_gladiator_costume_cute","Sarsılmaz Çizgi"
"heroes.name_fancy.orc_gladiator_costume_glass","Yansıtma"
"heroes.name_fancy.orc_gladiator_costume_sage","Vahşi Bilge"
"heroes.name_fancy.orc_skirmisher","Melez Dövüşçü"
"heroes.name_fancy.orc_troopmaster","Aç"
"heroes.name_fancy.orc_troopmaster_costume_cute","Aç Çizgi"
"heroes.name_fancy.orc_troopmaster_costume_glass","Aç Vitray"
"heroes.name_fancy.orc_troopmaster_costume_gourmet","Zevk Düşkünü"
"heroes.name_fancy.orc_troopmaster_costume_merchant","Hırslı"
"heroes.name_fancy.orc_warrior","Savaşta Birinci"
"heroes.name_fancy.orc_warrior_costume_cute","Savaştaki İlk Çizgi"
"heroes.name_fancy.orc_warrior_costume_glass","Son Parçalanan"
"heroes.name_fancy.orc_warrior_costume_urukhai","Son Geri Çekilen"
"heroes.name_fancy.oriental_brawler","Asil Savunucu"
"heroes.name_fancy.oriental_brawler_costume_cute","Çizgi Kavgası"
"heroes.name_fancy.oriental_brawler_costume_egypt","Asil Dövüşçü"
"heroes.name_fancy.oriental_brawler_costume_glass","Cam Kavgacı"
"heroes.name_fancy.oriental_enchanted_monk","Güneşin Alevi"
"heroes.name_fancy.oriental_enchanted_monk_costume_cute","Çizgi Güneş"
"heroes.name_fancy.oriental_enchanted_monk_costume_glass","Güneş Vitrayı"
"heroes.name_fancy.oriental_enchanted_monk_costume_stoneguard","Güneş'in Kudreti"
"heroes.name_fancy.oriental_enchanted_monk_costume_tiger","Güneşin Öfkesi"
"heroes.name_fancy.oriental_falconer","Usta Taktikçi"
"heroes.name_fancy.oriental_falconer_costume_cub","Kaplan Ustası"
"heroes.name_fancy.oriental_falconer_costume_cute","Çizgi Taktikçi"
"heroes.name_fancy.oriental_falconer_costume_dodo","Usta Koruyucu"
"heroes.name_fancy.oriental_falconer_costume_glass","Cam Taktikçi"
"heroes.name_fancy.oriental_female_guard","Shaguad Bekçisi"
"heroes.name_fancy.oriental_female_guard_costume_cute","Shaguad Çizgisi"
"heroes.name_fancy.oriental_female_guard_costume_glass","Shaguad Vitrayı"
"heroes.name_fancy.oriental_female_guard_costume_soldier","Shaguadian Muhafızı"
"heroes.name_fancy.oriental_female_mage","Özverili Şifacı"
"heroes.name_fancy.oriental_female_mage_costume_cute","Çizgi Şifacı"
"heroes.name_fancy.oriental_female_mage_costume_glass","Cam Şifacısı"
"heroes.name_fancy.oriental_female_mage_costume_mender","Yüce Gönüllü Tamirci"
"heroes.name_fancy.oriental_female_mystic","Güneş Sürprizi"
"heroes.name_fancy.oriental_female_mystic_costume_cute","Çizgi Bilgin"
"heroes.name_fancy.oriental_female_mystic_costume_glass","Cam Bilgini"
"heroes.name_fancy.oriental_female_mystic_costume_magician","Büyücü Sürprizi"
"heroes.name_fancy.oriental_female_mystic_costume_scribe","Başkatip"
"heroes.name_fancy.oriental_female_ninja","Ninja Öğrencisi"
"heroes.name_fancy.oriental_female_templar","Bilge General"
"heroes.name_fancy.oriental_female_templar_costume_cute","Çizgi General"
"heroes.name_fancy.oriental_female_templar_costume_fireworks","Havai Fişek Generali"
"heroes.name_fancy.oriental_female_templar_costume_glass","Cam Generali"
"heroes.name_fancy.oriental_female_templar_costume_kimono","Törensel Suikastçı"
"heroes.name_fancy.oriental_monkey_captain","Keşiş Lordu"
"heroes.name_fancy.oriental_monkey_captain_costume_cute","Çizgi Maymun"
"heroes.name_fancy.oriental_monkey_captain_costume_glass","Cam Maymun"
"heroes.name_fancy.oriental_monkey_captain_costume_reveller","Eğlence Düşkünü Maymun"
"heroes.name_fancy.oriental_monkey_captain_costume_warrior","Maymun Ronin"
"heroes.name_fancy.oriental_monkey_warrior","Maymun Savaşçı"
"heroes.name_fancy.oriental_panda_berserker","Bambu Dalı"
"heroes.name_fancy.oriental_panda_berserker_costume_cute","Çizgi Dalları"
"heroes.name_fancy.oriental_panda_berserker_costume_farmer","Bambu Kökü"
"heroes.name_fancy.oriental_panda_berserker_costume_glass","Cam Dalı"
"heroes.name_fancy.oriental_panda_scout","Bambu Yaprağı"
"heroes.name_fancy.oriental_panda_warrior","Bambu Kılıcı"
"heroes.name_fancy.oriental_panda_warrior_costume_armor","Bambu Kabuğu"
"heroes.name_fancy.oriental_panda_warrior_costume_cute","Bambu Çizgisi"
"heroes.name_fancy.oriental_panda_warrior_costume_dueller","Bambu Düellocusu"
"heroes.name_fancy.oriental_panda_warrior_costume_glass","Cam Kılıç"
"heroes.name_fancy.oriental_squire","Demirci Çırağı"
"heroes.name_fancy.oriental_warrior","Piyade"
"heroes.name_fancy.oriental_warrior_king","İnatçı Kral"
"heroes.name_fancy.oriental_warrior_king_costume_cute","İnatçı Çizgi"
"heroes.name_fancy.oriental_warrior_king_costume_glass","İnatçı Vitray"
"heroes.name_fancy.oriental_warrior_king_costume_mage","İnatçı Sihirbaz"
"heroes.name_fancy.oriental_warrior_king_costume_roman","Sparta Kralı"
"heroes.name_fancy.outlaw_chao_gai","Su Kenarının Pagoda Kaydıran Kutsal Kralı"
"heroes.name_fancy.outlaw_gu_dasao","Su Kenarının Dişi Kaplanı"
"heroes.name_fancy.outlaw_hu_sanniang","Su Kenarının Parlak Yıldızı"
"heroes.name_fancy.outlaw_li_kui","Su Kenarının Demir Öküzü"
"heroes.name_fancy.outlaw_lin_chong","Su Kenarının Panter Başı"
"heroes.name_fancy.outlaw_liu_tang","Su Kenarının Kızıl Saçlı Şeytanı"
"heroes.name_fancy.outlaw_lu_zhishen","Su Kenarının Çiçekli Keşişi"
"heroes.name_fancy.outlaw_ruan_xiaoqi","Su Kenarının Yıkım Yıldızı"
"heroes.name_fancy.outlaw_shi_jin","Su Kenarının Dokuz Ejderha Dövmesi"
"heroes.name_fancy.outlaw_song_jiang","Su Kenarının Zamanında Yağan Yağmuru"
"heroes.name_fancy.outlaw_sun_erniang","Su Kenarının Güçlü Yıldızı"
"heroes.name_fancy.outlaw_wu_song","Su Kenarının Kaplan Dövüşçüsü Kahramanı"
"heroes.name_fancy.outlaw_wu_yong","Su Kenarının Bilgi Yıldızı"
"heroes.name_fancy.outlaw_xiang_chong","Su Kenarının Uçan Yıldızı"
"heroes.name_fancy.outlaw_zheng_tianshou","Su Kenarının Güzel Yüzlü Centilmeni"
"heroes.name_fancy.owl_cennius","Baykuş Kulesinin Gizli Pençesi"
"heroes.name_fancy.owl_eron","Baykuş Kulesi Ozanı"
"heroes.name_fancy.owl_featherino","Baykuş Kulesinin Endişeli Haylazı"
"heroes.name_fancy.owl_fulvia","Baykuş Kulesi Kraliçesi"
"heroes.name_fancy.owl_juliani","Baykuş Kulesi Yüksek Hakimi"
"heroes.name_fancy.owl_livia","Baykuş Kulesi Başrahibesi"
"heroes.name_fancy.owl_lodius","Baykuş Kulesi Vahşisi"
