"heroes.name_fancy.astral_cosmicspeaker","Stjärnalvernas astronom"
"heroes.name_fancy.masquerade_jove","Maskerad himmelsgud"
"heroes.name_fancy.masquerade_umbria","Maskerad skuggudinna"
"heroes.name_fancy.mighty_pet_barkley","Kampmops"
"heroes.name_fancy.mighty_pet_bubbles","Häxmästerkatt"
"heroes.name_fancy.mighty_pet_chomper","Hamsterkämpe"
"heroes.name_fancy.mighty_pet_cinnamon","Polcirkelns riddare"
"heroes.name_fancy.mighty_pet_cupcake","Fantasstisk bandit"
"heroes.name_fancy.mighty_pet_furdinand","Hundexpeditionens byracka"
"heroes.name_fancy.mighty_pet_hachiko","Lojal valp"
"heroes.name_fancy.mighty_pet_luna","Halvmåneuggla"
"heroes.name_fancy.mighty_pet_ribbit","Grodrikets gladiator"
"heroes.name_fancy.mighty_pet_rufus","Lurvig skogshuggare"
"heroes.name_fancy.mighty_pet_snowball","Hemsk vildkatt"
"heroes.name_fancy.mighty_pet_toto","Berättare av hundsagor"
"heroes.name_fancy.mighty_pet_waddles","Ankgardets kapten"
"heroes.name_fancy.mimic_aether_blue","Tömt stavförråd"
"heroes.name_fancy.mimic_aether_green","Tömt stavförråd"
"heroes.name_fancy.mimic_aether_purple","Tömt stavförråd"
"heroes.name_fancy.mimic_aether_red","Tömt stavförråd"
"heroes.name_fancy.mimic_aether_yellow","Tömt stavförråd"
"heroes.name_fancy.mimic_ascension_epic_yellow","Den mindre ondskans leende gömma"
"heroes.name_fancy.mimic_ascension_item_blue","Ondskans leende gömma"
"heroes.name_fancy.mimic_ascension_item_green","Ondskans leende gömma"
"heroes.name_fancy.mimic_ascension_item_purple","Ondskans leende gömma"
"heroes.name_fancy.mimic_ascension_item_red","Ondskans leende gömma"
"heroes.name_fancy.mimic_ascension_item_yellow","Ondskans leende gömma"
"heroes.name_fancy.mimic_emblem_blue","Skräckinjagande enögt skrin"
"heroes.name_fancy.mimic_emblem_green","Skräckinjagande enögt skrin"
"heroes.name_fancy.mimic_emblem_purple","Skräckinjagande enögt skrin"
"heroes.name_fancy.mimic_emblem_red","Skräckinjagande enögt skrin"
"heroes.name_fancy.mimic_emblem_yellow","Skräckinjagande enögt skrin"
"heroes.name_fancy.mimic_experience_rare_red","Små tänders skattgömma"
"heroes.name_fancy.mimic_training_hero_blue","Tusen tänders skattgömma"
"heroes.name_fancy.mimic_training_hero_green","Tusen tänders skattgömma"
"heroes.name_fancy.mimic_training_hero_purple","Tusen tänders skattgömma"
"heroes.name_fancy.mimic_training_hero_red","Tusen tänders skattgömma"
"heroes.name_fancy.mimic_training_hero_yellow","Tusen tänders skattgömma"
"heroes.name_fancy.monster_hunter_adalinda","Jaktens prinsessa"
"heroes.name_fancy.monster_hunter_amund","Ihärdig spårare"
"heroes.name_fancy.monster_hunter_basil","Jägarmus"
"heroes.name_fancy.monster_hunter_berit","Berylliumkämpe"
"heroes.name_fancy.monster_hunter_bogart","Träskjägare"
"heroes.name_fancy.monster_hunter_bonecrusher","Silverhövdingen"
"heroes.name_fancy.monster_hunter_cedar","Schimpanskedjemästare"
"heroes.name_fancy.monster_hunter_cleaver","Jakthövding"
"heroes.name_fancy.monster_hunter_dabria","Ockult jägare"
"heroes.name_fancy.monster_hunter_dawn","Jakttrubadur"
"heroes.name_fancy.monster_hunter_dubhain","Stormgudens utvalda"
"heroes.name_fancy.monster_hunter_ebba","Jaktlegosoldat"
"heroes.name_fancy.monster_hunter_edelaide","Vildmarksnomad"
"heroes.name_fancy.monster_hunter_fianna","Pälsjägare"
"heroes.name_fancy.monster_hunter_goretooth","Vild jägare"
"heroes.name_fancy.monster_hunter_greel","Vild svärdsmästare"
"heroes.name_fancy.monster_hunter_hammertusk","Burdus barbar"
"heroes.name_fancy.monster_hunter_hawthorn","Jägarvagabond"
"heroes.name_fancy.monster_hunter_hurricane","Aplönnmördare"
"heroes.name_fancy.monster_hunter_kai","Jaktriddare"
"heroes.name_fancy.monster_hunter_knuckles","Makakväktare"
"heroes.name_fancy.monster_hunter_maheegan","Vargspårare"
"heroes.name_fancy.monster_hunter_malin","Titanbenskrigare"
"heroes.name_fancy.monster_hunter_meadow","Stamjägarinna"
"heroes.name_fancy.monster_hunter_mistweaver","Orangumanglaren"
"heroes.name_fancy.monster_hunter_njal","Nordanvindens jägare"
"heroes.name_fancy.monster_hunter_numbskull","Klumpigt skelett"
"heroes.name_fancy.monster_hunter_otis","Jägarnas svärdsmästare"
"heroes.name_fancy.monster_hunter_revna","Karnelisk jägare"
"heroes.name_fancy.monster_hunter_ruadh","Avgrundens jägare"
"heroes.name_fancy.monster_hunter_sigyn","Skorpionförare"
"heroes.name_fancy.monster_hunter_sorcha","Uthållig jägare"
"heroes.name_fancy.monster_hunter_sorrow","Iskall vålnad"
"heroes.name_fancy.monster_hunter_staintongue","Skoningslös jägare"
"heroes.name_fancy.monster_hunter_sune","Malakitjägare"
"heroes.name_fancy.monster_hunter_thunderclap","Ilsken gorilla"
"heroes.name_fancy.monster_hunter_thura","Stjärnvälsignad jägare"
"heroes.name_fancy.monster_hunter_tremor","Svärdsmästarbabian"
"heroes.name_fancy.monster_hunter_waterpipe","Harpunkonstruktör"
"heroes.name_fancy.moth_auricarc","Skyttmästarmal"
"heroes.name_fancy.moth_chimister","Labbmalen"
"heroes.name_fancy.moth_chunkyroi","Markismal"
"heroes.name_fancy.moth_furgeant","Den massiva malen"
"heroes.name_fancy.moth_gardered","Modets mal"
"heroes.name_fancy.moth_grovevert","Malavlare"
"heroes.name_fancy.moth_joyvert","Malmusikant"
"heroes.name_fancy.moth_lilareine","Markismal"
"heroes.name_fancy.moth_limeboire","Malkrögare"
"heroes.name_fancy.moth_mortewitch","Malmästaren"
"heroes.name_fancy.moth_pepperbleu","Malmagikern"
"heroes.name_fancy.moth_rosepetite","Ung malmålare"
"heroes.name_fancy.moth_satinpimenter","Prästmalen"
"heroes.name_fancy.moth_shyombre","Skuggmalen"
"heroes.name_fancy.moth_tealmoine","Dimmans mal"
"heroes.name_fancy.musketeer_aramis","Romantisk musketör"
"heroes.name_fancy.musketeer_aramis_costume_boulanger","Bakarmusketör"
"heroes.name_fancy.musketeer_athos","Erfaren musketör"
"heroes.name_fancy.musketeer_athos_costume_farrier","Hovslagarmusketör"
"heroes.name_fancy.musketeer_cardinal_richelieu","Falsk hertig"
"heroes.name_fancy.musketeer_constance","Modig musketör"
"heroes.name_fancy.musketeer_dartagnan","Varm musketör"
"heroes.name_fancy.musketeer_felton","Depraverad lönnmördare"
"heroes.name_fancy.musketeer_felton_costume_pirate","Känslokall pirat"
"heroes.name_fancy.musketeer_kitty","Bussig blomsterhandlare"
"heroes.name_fancy.musketeer_milady_de_winter","Machiavellisk skurk"
"heroes.name_fancy.musketeer_planchet","Tapper tjänare"
"heroes.name_fancy.musketeer_porthos","Munter musketör"
"heroes.name_fancy.musketeer_porthos_costume_merchant","Köpmansmusketör"
"heroes.name_fancy.musketeer_queen_anne","Elegant monark"
"heroes.name_fancy.musketeer_rochefort","Skoningslös skurk"
"heroes.name_fancy.musketeer_villiers","Pompös hertig"
"heroes.name_fancy.musketeer_villiers_costume_jester","Pompös narr"
"heroes.name_fancy.mystery_enigmo","Åkallelsegåta"
"heroes.name_fancy.nature_god_balbar","Eremitbotaniker"
"heroes.name_fancy.nature_god_bertila","Den gröna riddaren"
"heroes.name_fancy.nature_god_bo_and_runt","Flockens ledare"
"heroes.name_fancy.nature_god_chloris","Grönskans ande"
"heroes.name_fancy.nature_god_cinisia","Meliaisk krigsmagiker"
"heroes.name_fancy.nature_god_florenna","Ståtlig elafokentaur"
"heroes.name_fancy.nature_god_leadria","Den eviga vårens drottning"
"heroes.name_fancy.nature_god_liora","Den välvillige banditen"
"heroes.name_fancy.nature_god_mystia","Förhäxande besvärjerska"
"heroes.name_fancy.nature_god_silvaria","Skogsgud"
"heroes.name_fancy.nature_god_viselus","Fördärvsdruid"
"heroes.name_fancy.ninja_amethyst","Dold lönnmördare"
"heroes.name_fancy.ninja_ametrine","De dolda klingornas ninja"
"heroes.name_fancy.ninja_aurum","Rödblommig kunoichi"
"heroes.name_fancy.ninja_azurite","Ninjaspanare"
"heroes.name_fancy.ninja_chikao","Tyst anfallare"
"heroes.name_fancy.ninja_cobalt","De viskande havens ninja"
"heroes.name_fancy.ninja_ekanite","Shinobiernas ledare"
"heroes.name_fancy.ninja_garnet","Den starka livskraftens ninja"
"heroes.name_fancy.ninja_iga","Kunaistormens mästare"
"heroes.name_fancy.ninja_ito","Tyglande shinobi"
"heroes.name_fancy.ninja_jade","De dansande stjärnornas ninja"
"heroes.name_fancy.ninja_kinsaishi","Dånande ninjamunk"
"heroes.name_fancy.ninja_kushanku","Villfarelsens näve"
"heroes.name_fancy.ninja_malum","Skoningslös shinobi"
"heroes.name_fancy.ninja_mica","De tysta skrikens ninja"
"heroes.name_fancy.ninja_morganite","De tynande skuggornas ninja"
"heroes.name_fancy.ninja_myoinni","Den starkaste banerherren"
"heroes.name_fancy.ninja_nomad","Tyst bödel"
"heroes.name_fancy.ninja_oniwakamaru","De 999 svärdens skuggmunk"
"heroes.name_fancy.ninja_onyx","De flyktiga vindarnas ninja"
"heroes.name_fancy.ninja_osamu","Disciplinerad ninja"
"heroes.name_fancy.ninja_peridot","De dödliga giftens ninja"
"heroes.name_fancy.ninja_quartz","De tysta gravarnas ninja"
"heroes.name_fancy.ninja_ruby","De röda onis ninja"
"heroes.name_fancy.ninja_sapphire","De snabba skuggornas ninja"
"heroes.name_fancy.ninja_satsui","Skuggornas kunoichi"
"heroes.name_fancy.ninja_sawano","Trogen kunoichi"
"heroes.name_fancy.ninja_serandite","De genomborrande lågornas ninja"
"heroes.name_fancy.ninja_shale","Den goda vigörens ninja"
"heroes.name_fancy.ninja_tametomo","Saboterande bågskytt"
"heroes.name_fancy.ninja_topaz","Den perfekta precisionens ninja"
"heroes.name_fancy.ninja_tora","Tyst jägare"
"heroes.name_fancy.ninja_umeko","Giftblommornas ninja"
"heroes.name_fancy.ninja_zircon","De tysta vågornas ninja"
"heroes.name_fancy.nomad_axe_adventurer","Modig prisjägare"
"heroes.name_fancy.nomad_axe_adventurer_costume_cute","Tecknad prisjägare"
"heroes.name_fancy.nomad_axe_adventurer_costume_glass","Glasprisjägare"
"heroes.name_fancy.nomad_axe_adventurer_costume_magma","Hetlevrad prisjägare"
"heroes.name_fancy.nomad_axe_adventurer_costume_tracker","Modig spårare"
"heroes.name_fancy.nomad_female_archer","Talangfull jägare"
"heroes.name_fancy.nomad_female_assassin","Kommandosoldat från Sandhavet"
"heroes.name_fancy.nomad_female_assassin_costume_cute","Kommandosoldat från det tecknade havet"
"heroes.name_fancy.nomad_female_assassin_costume_dancer","Dansare från Sandhavet"
"heroes.name_fancy.nomad_female_assassin_costume_glass","Plundrare från Glashavet"
"heroes.name_fancy.nomad_female_assassin_costume_poison","Lönnmördare från Sandhavet"
"heroes.name_fancy.nomad_female_berserker","Dragonias prästinna"
"heroes.name_fancy.nomad_female_berserker_costume_cute","Tecknad figur från Dragonia"
"heroes.name_fancy.nomad_female_berserker_costume_glass","Glasmålning från Dragonia"
"heroes.name_fancy.nomad_female_berserker_costume_shaman","Dragonias shaman"
"heroes.name_fancy.nomad_female_berserker_costume_sorceress","Dragonias trollkvinna"
"heroes.name_fancy.nomad_female_captain","Windemers dam"
"heroes.name_fancy.nomad_female_captain_costume_cute","Tecknad Windemer"
"heroes.name_fancy.nomad_female_captain_costume_glass","Windemers glasmålning"
"heroes.name_fancy.nomad_female_captain_costume_pirate","Windemers skräck"
"heroes.name_fancy.nomad_female_captain_costume_thief","Windemers mästertjuv"
"heroes.name_fancy.nomad_female_lord","Kungliga gardets kapten"
"heroes.name_fancy.nomad_female_lord_costume_cute","Tecknade gardets kapten"
"heroes.name_fancy.nomad_female_lord_costume_flame","Eldkapten"
"heroes.name_fancy.nomad_female_lord_costume_glass","Glasgardets kapten"
"heroes.name_fancy.nomad_female_lord_costume_wicked","De nedrigas kapten"
"heroes.name_fancy.nomad_female_shaman","Upphöjd shaman"
"heroes.name_fancy.nomad_female_shaman_costume_cute","Andlig tecknad figur"
"heroes.name_fancy.nomad_female_shaman_costume_glass","Upphöjd glasmålning"
"heroes.name_fancy.nomad_female_shaman_costume_native","Upphöjd helare"
"heroes.name_fancy.nomad_female_swordmaster","Tronsökare"
"heroes.name_fancy.nomad_female_swordmaster_costume_cute","Sökare av tecknade figurer"
"heroes.name_fancy.nomad_female_swordmaster_costume_glass","Glassökare"
"heroes.name_fancy.nomad_female_swordmaster_costume_native","Gudasökare"
"heroes.name_fancy.nomad_female_thief","Ungdomlig resenär"
"heroes.name_fancy.nomad_fighter","Fårad kämpe"
"heroes.name_fancy.nomad_mage","Magiker från Sandhavet"
"heroes.name_fancy.nomad_mage_costume_cute","Magiker från det tecknade havet"
"heroes.name_fancy.nomad_mage_costume_glass","Nomad från Glashavet"
"heroes.name_fancy.nomad_mage_costume_goggles","Trollkarl från Sandhavet"
"heroes.name_fancy.nomad_scout","Slug soldat"
"heroes.name_fancy.nomad_shaman","De äldstes tjänare"
"heroes.name_fancy.nordic_ancestral_warrior","Mörk föräldralös"
"heroes.name_fancy.nordic_ancestral_warrior_costume_corrupted","Ondskans arvinge"
"heroes.name_fancy.nordic_ancestral_warrior_costume_cute","Tecknad mörkerkrigare"
"heroes.name_fancy.nordic_ancestral_warrior_costume_glass","Mörk glasmålning"
"heroes.name_fancy.nordic_ancestral_warrior_costume_messenger","Mörk budbärare"
"heroes.name_fancy.nordic_chained_werewolf","Den vildsinta"
"heroes.name_fancy.nordic_chained_werewolf_costume_cute","Den tecknade vildingen"
"heroes.name_fancy.nordic_chained_werewolf_costume_glass","Det ylande glaset"
"heroes.name_fancy.nordic_chained_werewolf_costume_raccoon","Vitlökstjuv"
"heroes.name_fancy.nordic_female_scout","Våldsam jungfru"
"heroes.name_fancy.nordic_female_warrior","Landsförvisad krigare"
"heroes.name_fancy.nordic_ice_enchantress","Glaceholm beskyddare"
"heroes.name_fancy.nordic_ice_enchantress_costume_aqua","Glaceholms ishäxa"
"heroes.name_fancy.nordic_ice_enchantress_costume_cute","De tecknades beskyddare"
"heroes.name_fancy.nordic_ice_enchantress_costume_glass","Glaceholms glasmålning"
"heroes.name_fancy.nordic_ice_enchantress_costume_ruler","Glaceholms härskare"
"heroes.name_fancy.nordic_mage","Glaceholms magiker"
"heroes.name_fancy.nordic_mage_costume_cute","Glaceholms tecknade"
"heroes.name_fancy.nordic_mage_costume_glass","Glaceholms glasmålning"
"heroes.name_fancy.nordic_mage_costume_hermit","Glaceholms eremit"
"heroes.name_fancy.nordic_male_lord","Rättvisans hammare"
"heroes.name_fancy.nordic_male_lord_costume_cute","Tecknadkraftens hammare"
"heroes.name_fancy.nordic_male_lord_costume_glass","Glasets hammare"
"heroes.name_fancy.nordic_male_lord_costume_injustice","Orättvisans hammare"
"heroes.name_fancy.nordic_male_lord_costume_senior","Rättvisans yxa"
"heroes.name_fancy.nordic_swordman","Modig duellist"
"heroes.name_fancy.nordic_swordman_costume_climber","Stilig klättrare"
"heroes.name_fancy.nordic_swordman_costume_cute","Tecknad talang"
"heroes.name_fancy.nordic_swordman_costume_glass","Glasduellist"
"heroes.name_fancy.nordic_warrior","Sorglös äventyrare"
"heroes.name_fancy.orc_gladiator","Den orubbliga"
"heroes.name_fancy.orc_gladiator_costume_chef","Gjutjärnskock"
"heroes.name_fancy.orc_gladiator_costume_cute","Tecknad gladiator"
"heroes.name_fancy.orc_gladiator_costume_glass","Den speglande"
"heroes.name_fancy.orc_gladiator_costume_sage","Vild ålderman"
"heroes.name_fancy.orc_skirmisher","Halvblodskrigare"
"heroes.name_fancy.orc_troopmaster","Den hungriga"
"heroes.name_fancy.orc_troopmaster_costume_cute","Hungrig tecknad figur"
"heroes.name_fancy.orc_troopmaster_costume_glass","Den hungriga glasmålningen"
"heroes.name_fancy.orc_troopmaster_costume_gourmet","Epikurikern"
"heroes.name_fancy.orc_troopmaster_costume_merchant","Den giriga"
"heroes.name_fancy.orc_warrior","Först i striden"
"heroes.name_fancy.orc_warrior_costume_cute","Stridens främste figur"
"heroes.name_fancy.orc_warrior_costume_glass","Sist att krossas"
"heroes.name_fancy.orc_warrior_costume_urukhai","Sist att retirera"
"heroes.name_fancy.oriental_brawler","Nobel försvarare"
"heroes.name_fancy.oriental_brawler_costume_cute","Tecknad slagskämpe"
"heroes.name_fancy.oriental_brawler_costume_egypt","Ädel slagskämpe"
"heroes.name_fancy.oriental_brawler_costume_glass","Glaskämpe"
"heroes.name_fancy.oriental_enchanted_monk","Solens flamma"
"heroes.name_fancy.oriental_enchanted_monk_costume_cute","Tecknad solfigur"
"heroes.name_fancy.oriental_enchanted_monk_costume_glass","Solens glasmålning"
"heroes.name_fancy.oriental_enchanted_monk_costume_stoneguard","Solens makt"
"heroes.name_fancy.oriental_enchanted_monk_costume_tiger","Solens vrede"
"heroes.name_fancy.oriental_falconer","Mästertaktiker"
"heroes.name_fancy.oriental_falconer_costume_cub","Tigermästare"
"heroes.name_fancy.oriental_falconer_costume_cute","Tecknad taktiker"
"heroes.name_fancy.oriental_falconer_costume_dodo","Mästarkonservatör"
"heroes.name_fancy.oriental_falconer_costume_glass","Glastaktiker"
"heroes.name_fancy.oriental_female_guard","Shaguads skytt"
"heroes.name_fancy.oriental_female_guard_costume_cute","Shaguads tecknade"
"heroes.name_fancy.oriental_female_guard_costume_glass","Shaguads glasmålning"
"heroes.name_fancy.oriental_female_guard_costume_soldier","Shaguads väktare"
"heroes.name_fancy.oriental_female_mage","Osjälvisk helare"
"heroes.name_fancy.oriental_female_mage_costume_cute","Tecknad helare"
"heroes.name_fancy.oriental_female_mage_costume_glass","Glasläkare"
"heroes.name_fancy.oriental_female_mage_costume_mender","Storsint helare"
"heroes.name_fancy.oriental_female_mystic","Den lärde"
"heroes.name_fancy.oriental_female_mystic_costume_cute","Tecknad magiker"
"heroes.name_fancy.oriental_female_mystic_costume_glass","Glaslärd"
"heroes.name_fancy.oriental_female_mystic_costume_magician","Överlägsen magiker"
"heroes.name_fancy.oriental_female_mystic_costume_scribe","Högste skrivare"
"heroes.name_fancy.oriental_female_ninja","Ninjaelev"
"heroes.name_fancy.oriental_female_templar","Vis general"
"heroes.name_fancy.oriental_female_templar_costume_cute","Tecknad general"
"heroes.name_fancy.oriental_female_templar_costume_fireworks","Fyrverkerigeneral"
"heroes.name_fancy.oriental_female_templar_costume_glass","Glasgeneral"
"heroes.name_fancy.oriental_female_templar_costume_kimono","Ceremoniell lönnmördare"
"heroes.name_fancy.oriental_monkey_captain","Apornas herre"
"heroes.name_fancy.oriental_monkey_captain_costume_cute","Tecknad apa"
"heroes.name_fancy.oriental_monkey_captain_costume_glass","Glasapa"
"heroes.name_fancy.oriental_monkey_captain_costume_reveller","Aprumlare"
"heroes.name_fancy.oriental_monkey_captain_costume_warrior","Ap-ronin"
"heroes.name_fancy.oriental_monkey_warrior","Apornas krigare"
"heroes.name_fancy.oriental_panda_berserker","Bambugren"
"heroes.name_fancy.oriental_panda_berserker_costume_cute","Tecknad pandakrigare"
"heroes.name_fancy.oriental_panda_berserker_costume_farmer","Bamburot"
"heroes.name_fancy.oriental_panda_berserker_costume_glass","Glasgren"
"heroes.name_fancy.oriental_panda_scout","Bambulöv"
"heroes.name_fancy.oriental_panda_warrior","Bambublad"
"heroes.name_fancy.oriental_panda_warrior_costume_armor","Bambubark"
"heroes.name_fancy.oriental_panda_warrior_costume_cute","Bambuns tecknade figur"
"heroes.name_fancy.oriental_panda_warrior_costume_dueller","Bambuduellant"
"heroes.name_fancy.oriental_panda_warrior_costume_glass","Glasfäktare"
"heroes.name_fancy.oriental_squire","Smedslärling"
"heroes.name_fancy.oriental_warrior","Fotsoldat"
"heroes.name_fancy.oriental_warrior_king","Oböjlig kung"
"heroes.name_fancy.oriental_warrior_king_costume_cute","Tecknad krigartalang"
"heroes.name_fancy.oriental_warrior_king_costume_glass","Obeveklig glasmålning"
"heroes.name_fancy.oriental_warrior_king_costume_mage","Obändig magiker"
"heroes.name_fancy.oriental_warrior_king_costume_roman","Spartas kung"
"heroes.name_fancy.outlaw_chao_gai","Pagodskiftande himlakungen från Träskmarkerna"
"heroes.name_fancy.outlaw_gu_dasao","Tigerhonan från Träskmarkerna"
"heroes.name_fancy.outlaw_hu_sanniang","Lysande stjärnan från Träskmarkerna"
"heroes.name_fancy.outlaw_li_kui","Järnoxen från Träskmarkerna"
"heroes.name_fancy.outlaw_lin_chong","Panterhuvudet från Träskmarkerna"
"heroes.name_fancy.outlaw_liu_tang","Rödhåriga djävulen från Träskmarkerna"
"heroes.name_fancy.outlaw_lu_zhishen","Blomstermunken från Träskmarkerna"
"heroes.name_fancy.outlaw_ruan_xiaoqi","Förödande stjärnan från Träskmarkerna"
"heroes.name_fancy.outlaw_shi_jin","De nio draktatueringarna från Träskmarkerna"
"heroes.name_fancy.outlaw_song_jiang","Lägliga regnet från Träskmarkerna"
"heroes.name_fancy.outlaw_sun_erniang","Starka stjärnan från Träskmarkerna"
"heroes.name_fancy.outlaw_wu_song","Tigerbekämpande hjälten från Träskmarkerna"
"heroes.name_fancy.outlaw_wu_yong","Kunskapens stjärna från Träskmarkerna"
"heroes.name_fancy.outlaw_xiang_chong","Flygande stjärnan från Träskmarkerna"
"heroes.name_fancy.outlaw_zheng_tianshou","Vackra mannen från Träskmarkerna"
"heroes.name_fancy.owl_cennius","Uggletornets dolda klo"
"heroes.name_fancy.owl_eron","Uggletornets trubadur"
"heroes.name_fancy.owl_featherino","Uggletornets nervösa rackare"
"heroes.name_fancy.owl_fulvia","Uggletornets drottning"
"heroes.name_fancy.owl_juliani","Uggletornets domare"
"heroes.name_fancy.owl_livia","Uggletornets överprästinna"
"heroes.name_fancy.owl_lodius","Uggletornets bärsärk"
"heroes.name_fancy.owl_mariol","Uggletornets hovman"
"heroes.name_fancy.owl_olbec","Uggletornets alkemist"
"heroes.name_fancy.owl_ommodus","Uggletornets sheriff"
"heroes.name_fancy.owl_paeia","Uggletornets prinsessa"
"heroes.name_fancy.owl_pertinax","Uggletornets väktarriddare"
"heroes.name_fancy.owl_relius","Uggletornets örtläkare"
"heroes.name_fancy.owl_timius","Uggletornets kungliga vakt"
"heroes.name_fancy.owl_verus","Uggletornets spejarchef"
"heroes.name_fancy.pirate_anne","Galjonsfigur av Corellia"
"heroes.name_fancy.pirate_boatswain","Corellias båtsman"
"heroes.name_fancy.pirate_cabin_boy","Corellias hyttuppassare"
"heroes.name_fancy.pirate_cabin_boy_costume_paper","TIdningsbud vid kusten"
"heroes.name_fancy.pirate_commodore_finley","Corellias amiral"
"heroes.name_fancy.pirate_commodore_finley_costume_bleak","Dyster amiral"
"heroes.name_fancy.pirate_dread_captain","Corellias fruktade kapten"
"heroes.name_fancy.pirate_dread_captain_costume_rotten","Corellias ruttna kapten"
"heroes.name_fancy.pirate_finley","Corellias hämndlystna kapten"
"heroes.name_fancy.pirate_first_mate","Corellias förstestyrman"
"heroes.name_fancy.pirate_lady","Corellias första dam"
"heroes.name_fancy.pirate_lady_costume_queen","Rebelldrottning"
"heroes.name_fancy.pirate_marie_therese","Corellias voodoodrottning"
"heroes.name_fancy.pirate_marie_therese_costume_priestess","Själaslukande prästinna"
"heroes.name_fancy.pirate_sally","Corellias maskot"
"heroes.name_fancy.pirate_swashbuckler","Corellias piratkapten"
"heroes.name_fancy.pirate_vodnik","Corellias fiskare"
"heroes.name_fancy.rabbit_blue","Springvales väktare"
"heroes.name_fancy.rabbit_blue_costume_riftbreaker","Revkrossare"
"heroes.name_fancy.rabbit_green","Springvales mästare"
"heroes.name_fancy.rabbit_green_costume_egg_hunter","Springvales äggjagare"
"heroes.name_fancy.rabbit_red","Springvales godsägare"
"heroes.name_fancy.royal_female_knight","Viljestark mästare"
"heroes.name_fancy.royal_female_knight_costume_cute","Tecknad mästare"
"heroes.name_fancy.royal_female_knight_costume_glass","Glasmästare"
"heroes.name_fancy.royal_female_knight_costume_prospector","Egensinnig malmletare"
"heroes.name_fancy.royal_female_knight_costume_winter","Vikingakämpe"
"heroes.name_fancy.royal_knight","Riddarbeskyddare"
"heroes.name_fancy.royal_knight_commander","Frostmorrows herre"
"heroes.name_fancy.royal_knight_commander_costume_cute","Frostmorrows tecknade"
"heroes.name_fancy.royal_knight_commander_costume_glass","Frostmorrows glasmålning"
"heroes.name_fancy.royal_knight_commander_costume_gryphon","Frostmorrows befälhavare"
"heroes.name_fancy.royal_knight_commander_costume_king","Frostmorrows konung"
"heroes.name_fancy.royal_knight_costume_blacksmith","Modig smed"
"heroes.name_fancy.royal_knight_costume_cute","Tecknad riddare"
"heroes.name_fancy.royal_knight_costume_glass","Glasriddare"
"heroes.name_fancy.royal_pikeman","Allvarlig vakt"
"heroes.name_fancy.s2_ariel","Atlantis prinsessa"
"heroes.name_fancy.s2_ariel_costume_cute","Atlantis tecknade prinsessa"
"heroes.name_fancy.s2_ariel_costume_enchanter","Atlantis magiker"
"heroes.name_fancy.s2_atlantean_robot","Atlantisk vakt"
"heroes.name_fancy.s2_atlantean_robot_costume_cute","Tecknad atlantvakt"
"heroes.name_fancy.s2_atlantean_robot_costume_sentinel","Atlantisk väktare"
"heroes.name_fancy.s2_chameleon_bruiser","Kameleontkrigare"
"heroes.name_fancy.s2_chameleon_chief","Kameleontgeneral"
"heroes.name_fancy.s2_chameleon_chief_costume_heavyweight","Tungviktsmästaren"
"heroes.name_fancy.s2_chameleon_mage","Kameleontschaman"
"heroes.name_fancy.s2_chameleon_mage_costume_alchemist","Kameleontalkemist"
"heroes.name_fancy.s2_chameleon_mage_costume_cute","Tecknad kameleontschaman"
"heroes.name_fancy.s2_croc_man","Träskskurk"
"heroes.name_fancy.s2_cursed_samurai","Fördömd krigsherre"
"heroes.name_fancy.s2_cursed_samurai_costume_beetle","Skalbaggssamuraj"
"heroes.name_fancy.s2_cursed_samurai_costume_cute","Förhäxad tecknad härskare"
"heroes.name_fancy.s2_demon_master","Bedragande daimyo"
"heroes.name_fancy.s2_demon_master_costume_cute","Tecknad bedragare"
"heroes.name_fancy.s2_demon_master_costume_steppe","Svekets Khevtuul"
"heroes.name_fancy.s2_fiji_mermaid","Grundjägare"
"heroes.name_fancy.s2_fiji_mermaid_costume_cute","Tecknad jägare"
"heroes.name_fancy.s2_fiji_mermaid_costume_hunter","Grundbultaren"
"heroes.name_fancy.s2_fox_girl","Niosvansad ande"
"heroes.name_fancy.s2_fox_girl_costume_cute","Tecknad niosvansad räv"
"heroes.name_fancy.s2_fox_girl_costume_white_kitsune","Vit kitsuneande"
"heroes.name_fancy.s2_ghost_woman","Ensligt spöke"
"heroes.name_fancy.s2_ghost_woman_costume_yurei","Ensamma Yurei"
"heroes.name_fancy.s2_hammerhead_hulk","Brutal slaktare"
"heroes.name_fancy.s2_hammerhead_hulk_costume_emerald","Brutal klingmästare"
"heroes.name_fancy.s2_junglehunter","Djungelns prins"
"heroes.name_fancy.s2_junglehunter_costume_cute","Tecknad djungeljägare"
"heroes.name_fancy.s2_junglehunter_costume_party","Prinsen av Lūʻau"
"heroes.name_fancy.s2_lantern_ghost","Lyktyokai"
"heroes.name_fancy.s2_mercenary_woman","Magnifik legosoldat"
"heroes.name_fancy.s2_mercenary_woman_costume_dancer","Magnifik huladansös"
"heroes.name_fancy.s2_merman","Atlantisk sjöpojke"
"heroes.name_fancy.s2_merman_costume_cute","Tecknad havsbo"
"heroes.name_fancy.s2_merman_costume_leutenant","Atlantisk löjtnant"
"heroes.name_fancy.s2_merwoman","Atlantis sjöjungfru"
"heroes.name_fancy.s2_merwoman_costume_cute","Tecknad sjöjungfru"
"heroes.name_fancy.s2_merwoman_costume_emissary","Atlantiskt sändebud"
