"specials.name.a_cozy_break","A Cozy Break"
"specials.name.leaf_blast","Leaf Blast"
"specials.name.leafglow_bloom","Leafglow Bloom"
"specials.name.leaping_attack","Leaping Attack"
"specials.name.leeching_saw","Leeching Saw"
"specials.name.leeching_stars","Leeching Stars"
"specials.name.leeching_worms","Leeching Worms"
"specials.name.legacy_of_darkness","Legacy of Darkness"
"specials.name.legerdemain","Legerdemain"
"specials.name.legerdemain_heart","Cross"
"specials.name.legerdemain_joker","Stars"
"specials.name.legerdemain_skull","Skull"
"specials.name.legions_of_darkness","Legions of Darkness"
"specials.name.legions_of_tyrant","Legions of Tyrant"
"specials.name.lethal_needles","Lethal Needles"
"specials.name.lethal_needles2","Lethal Needles"
"specials.name.levitating_lunchbox_deluxe","Levitating Lunchbox Deluxe"
"specials.name.lifeforce_leech","Lifeforce Leech"
"specials.name.light_barrier_dragon_pve","Light Barrier"
"specials.name.light_grenades","Light Grenades"
"specials.name.light_grenades2","Light Grenades"
"specials.name.light_my_fire","Light My Fire"
"specials.name.lightning_charge","Lightning Charge"
"specials.name.lightning_stream","Lightning Stream"
"specials.name.lightning_stream2","Lightning Stream"
"specials.name.lightning_ultimatum","Lightning Ultimatum"
"specials.name.lightning_ultimatum_pve","Lightning Ultimatum"
"specials.name.litter_of_kittens","Litter of Kittens"
"specials.name.liturgy_of_the_fallen","Liturgy of the Fallen"
"specials.name.looking_for_love","Looking for Love"
"specials.name.lookouts_refreshment","Lookout's Refreshment"
"specials.name.loom_of_destruction","Loom of Destruction"
"specials.name.lord_of_the_jungle","Lord of the Jungle"
"specials.name.lords_blood_poisoning","Dawn of Sorrow"
"specials.name.love_at_first_sight","Love at First Sight"
"specials.name.love_conquers_all","Love Conquers All"
"specials.name.love_conquers_all_pve","Love Conquers All"
"specials.name.loving_queen","Loving Queen"
"specials.name.lucky_coin","Lucky Coin"
"specials.name.lucky_nine","Lucky Nine"
"specials.name.luminescent_electrocution","Luminescent Electrocution"
"specials.name.luminous_lance","Luminous Lance"
"specials.name.lunar_blessing","Lunar Blessing"
"specials.name.lunar_blessing_moon_beam","Moon Beam"
"specials.name.lunar_bloom","Lunar Bloom"
"specials.name.lunar_locket","Lunar Locket"
"specials.name.lunar_shield","Lunar Shield"
"specials.name.lunar_spear","Lunar Spear"
"specials.name.luring_song","Luring Song"
"specials.name.machinists_cutlass","Machinist's Cutlass"
"specials.name.mad_as_a_hatter","Mad as a Hatter"
"specials.name.mad_rat_mania","Mad Rat Mania"
"specials.name.mad_tea_party","Mad Tea Party"
"specials.name.madrigal_of_mayhem","Madrigal of Mayhem"
"specials.name.mageball_blast","Mageball Blast"
"specials.name.mageball_blast_pve","Mageball Blast"
"specials.name.magic_mirror_of_power","Magic Mirror of Power"
"specials.name.magical_balan","Magical Balan"
"specials.name.magical_sword","Magical Sword"
"specials.name.magma_boulders","Magma Boulders"
"specials.name.magma_smash","Magma Smash"
"specials.name.magnificent_meal","Magnificent Meal"
"specials.name.maidens_command","Maiden's Command"
"specials.name.maidens_orders","Maiden's Orders"
"specials.name.make_them_harmless","Make Them Harmless"
"specials.name.malevolent_toys","Malevolent Toys"
"specials.name.malison_of_the_wildlands","Malison of the Wildlands"
"specials.name.mallet_swing_of_the_beast","Mallet Swing of the Beast"
"specials.name.mana_immolation","Mana Immolation"
"specials.name.mana_manipulation","Mana Manipulation"
"specials.name.mana_scavange","Mana Scavenge"
"specials.name.mana_stealer","Eye of the Prophet"
"specials.name.mantis_strike","Mantis Strike"
"specials.name.marc","Crazed Lunge"
"specials.name.mark_of_anubis","Mark of Anubis"
"specials.name.mark_of_fire","Mark of Fire"
"specials.name.mark_of_ivy","Mark of Ivy"
"specials.name.mark_of_nature","Mark of Nature"
"specials.name.mark_of_the_jackal","Mark of the Jackal"
"specials.name.mark_the_prey","Mark the Prey"
"specials.name.marked_aim","Marked Aim"
"specials.name.martial_dance","Kane Prowess"
"specials.name.martial_masterstroke","Martial Masterstroke"
"specials.name.martial_prowess","Martial Prowess"
"specials.name.masons_rage","Mason's Rage"
"specials.name.massive_bite","Massive Bite"
"specials.name.massive_chop","Massive Chop"
"specials.name.massive_cleave","Massive Cleave"
"specials.name.massive_swing","Massive Swing"
"specials.name.master_of_ailments","Master of Ailments"
"specials.name.master_plan","Master Plan"
"specials.name.masterful_balance","Masterful Balance"
"specials.name.masterful_manipulation","Masterful Manipulation"
"specials.name.mauling_tusk","Mauling Tusk"
"specials.name.mean_jab_dragon_pve","Mean Jab"
"specials.name.mechanical_augmentations","Mechanical Augmentations"
"specials.name.medicinal_drool","Medicinal Drool"
"specials.name.medicinal_fumes","Medicinal Fumes"
"specials.name.melody_harvest","Melody Harvest"
"specials.name.melody_of_mana_control","Melody of Mana Control"
"specials.name.melody_of_misery","Melody of Misery"
"specials.name.memory_manipulation","Memory Manipulation"
"specials.name.memory_of_the_queen","Memory of the Empress"
"specials.name.mending_bronze_axe","Mending Bronze Axe"
"specials.name.mending_mantra","Mending Mantra"
"specials.name.mending_stitches","Mending Stitches"
"specials.name.merciless_bite","Merciless Bite"
"specials.name.merciless_execution","Merciless Execution"
"specials.name.merciless_pulverizer","Merciless Pulverizer"
"specials.name.merriest_misery","Merriest Misery"
"specials.name.mesmerizing_mirror","Mesmerizing Mirror"
"specials.name.miasma_mace","Miasma Mace"
"specials.name.midnight_magic","Midnight Magic"
"specials.name.midnight_moon","Midnight Moon"
"specials.name.midnight_smite","Midnight Smite"
"specials.name.midnight_strike","Midnight Strike"
"specials.name.midsummers_dream","Midsummer's Dream"
"specials.name.midsummers_reverie","Midsummer's Reverie"
"specials.name.might_of_ares","Might of Ares"
"specials.name.might_of_excalibroom","Might of Excalibroom"
"specials.name.might_of_the_ice_giants","Might of the Ice Giants"
"specials.name.might_of_the_ice_giants_final","Might of the Ice Giants"
"specials.name.mimic_bite","Mimic Bite"
"specials.name.mimic_bite_burn","Corrosive Bite"
"specials.name.mimic_bite2","Ferocious Mimic Bite"
"specials.name.mimic_bite3","Mimic Greed"
"specials.name.mimic_bite4","Mimic Provoke"
"specials.name.mimic_special","Cunning Monster"
"specials.name.mimic_special2","Cunning Monster"
"specials.name.mimic_training_hero_blue_bite","Greedy Devour"
"specials.name.mimic_training_hero_green_bite","Greedy Devour"
"specials.name.mimic_training_hero_purple_bite","Greedy Devour"
"specials.name.mimic_training_hero_red_bite","Greedy Devour"
"specials.name.mimic_training_hero_yellow_bite","Greedy Devour"
"specials.name.mind_blast","Mind Blast"
"specials.name.mindless_attack","Mindless Attack"
"specials.name.minion_scrutiny","Minion Scrutiny"
"specials.name.mischievous_flourish","Mischievous Flourish"
"specials.name.mischievous_flourish_pve_advanced","Mischievous Flourish"
"specials.name.mischievous_flourish_pve_normal","Mischievous Flourish"
"specials.name.mischievous_tiein","Mischievous Tie-in"
"specials.name.missile_mania","Missile Mania"
"specials.name.mist_of_the_fallen","Mist of the Fallen"
"specials.name.mistletoe_medley","Mistletoe Medley"
"specials.name.misty_punches","Misty Punches"
"specials.name.mixed_green_herbs","Mixed Green Herbs"
"specials.name.molten_wax","Molten Wax"
"specials.name.monastic_restraint","Monastic Restraint"
"specials.name.monstrous_bite","Monstrous Bite"
"specials.name.moody_jab_dragon_pve","Moody Jab"
"specials.name.mooing_for_a_fight","Mooing for a Fight"
"specials.name.moon_boomerang","Moon Boomerang"
"specials.name.moon_crush_beam","Moon Crush Beam"
"specials.name.moonlight_crescendo","Moonlight Crescendo"
"specials.name.moonlight_serenade","Moonlight Serenade"
"specials.name.moonlight_sonata","Moonlight Sonata"
"specials.name.moonstone_glare_dragon_pve","Moonstone Glare"
"specials.name.moreau_phase1_special","Blinding Malice"
"specials.name.moreau_phase2_special1","Blinding Malice"
"specials.name.moreau_phase2_special2","Blinding Malice"
"specials.name.morning_catch","Morning Catch"
"specials.name.mother_dragons_love","Mother Dragon's Love"
"specials.name.motherly_care","Motherly Care"
"specials.name.motherly_care_pve","Motherly Care"
"specials.name.motherly_love","Motherly Love"
"specials.name.muffin_poisoning","Muffin Poisoning"
"specials.name.multi_elemental_mark","Multi-Elemental Mark"
"specials.name.multi_throw","Multi-Throw"
"specials.name.mummy_slash","Mummy Slash"
"specials.name.mummy_strike","Mummy Strike"
"specials.name.musketeers_deal","Musketeer's Deal"
"specials.name.musketeers_mead","Musketeer's Mead"
"specials.name.mutated_specimen","Mutated Specimen"
"specials.name.mutating_mixture","Mutating Mixture"
"specials.name.mystery_potions","Mystery Potions"
"specials.name.mystic_chop","Mystic Chop"
"specials.name.mystical_concerto","Mystical Concerto"
"specials.name.mystics_virtue","Mystic's Virtue"
"specials.name.mythic_lightning","Mythic Lightning"
"specials.name.nasty_hammer","Nasty Hammer"
"specials.name.natures_blessing","Berserker Fury"
"specials.name.natures_connection","Nature's Connection"
"specials.name.natures_fury","Nature's Fury"
"specials.name.natures_payback","Nature's Payback"
"specials.name.nebula_orb","Nebula Orb"
"specials.name.nebula_orb_ultimate_boss","Nebula Orb"
"specials.name.necronomicon_page_13","Necronomicon Page 13"
"specials.name.nephrite_blade","Nephrite Blade"
"specials.name.nethershield","Nethershield"
"specials.name.never_ending_winter","Never Ending Winter"
"specials.name.night_falls","Night Falls"
"specials.name.night_of_crimes","Night of Crimes"
"specials.name.nightbloom_dust","Nightbloom Dust"
"specials.name.nightglade_pollen","Nightglade Pollen"
"specials.name.nights_whisper","Night's Whisper"
"specials.name.nimble_bite","Nimble Bite"
"specials.name.nine_dragon_strike","Nine Dragon Strike"
"specials.name.nobles_empathy","Noble's Empathy"
"specials.name.nobles_empathy_costume_artisan","Calligrapher's Empathy"
"specials.name.nomadic_hymn","Nomadic Hymn"
"specials.name.northern_wanderer","Joyful Backup"
"specials.name.noxious_blossom","Noxious Blossom"
"specials.name.noxious_chord","Noxious Chord"
"specials.name.noxious_cleave","Noxious Cleave"
"specials.name.noxious_cleave_pve","Noxious Cleave"
"specials.name.nuts_of_yggdrasil","Nuts of Yggdrasil"
"specials.name.oath_of_templar","Oath of the Templar"
"specials.name.obliterating_surge","Obliterating Surge"
"specials.name.ocarina_windsong","Ocarina Windsong"
"specials.name.occult_redemption","Occult Redemption"
"specials.name.ocean_vortex","Ocean Vortex"
"specials.name.oceanic_offensive","Oceanic Offensive"
"specials.name.oceanic_slayer","Tidal Slayer"
"specials.name.oceanic_suffering","Oceanic Suffering"
"specials.name.oceans_decay","Ocean's Decay"
"specials.name.oceans_embrace","Ocean's Embrace"
"specials.name.oceans_ruin","Ocean's Ruin"
"specials.name.odd_drum_roll","Odd Drum Roll"
"specials.name.oji_waza","Oji-Waza"
"specials.name.old_curse","Old Curse"
"specials.name.omega_flame","Omega Strike"
"specials.name.omega_strike_dark","Omega Strike"
"specials.name.omega_strike_fire","Omega Strike"
"specials.name.omega_strike_holy","Omega Strike"
"specials.name.omega_strike_ice","Omega Strike"
"specials.name.omega_strike_nature","Omega Strike"
"specials.name.omen_of_retribution","Omen of Retribution"
"specials.name.omnicure","Omnicure"
"specials.name.omniheal","Omniheal"
"specials.name.omnimend","Omnimend"
"specials.name.one_hit_wonder","One-Hit Wonder"
"specials.name.one_jump_ahead","One Jump Ahead"
"specials.name.one_spell_ahead","One Spell Ahead"
"specials.name.opposing_raid","Opposing Raid"
"specials.name.orchestra_of_candles","Orchestra of Candles"
"specials.name.orchids_and_roses","Orchids and Roses"
"specials.name.order_ambush","Order Ambush"
"specials.name.order_ambush_pve","Order Ambush"
"specials.name.order_from_the_depths","Order from the Depths"
"specials.name.order_to_overwhelm","Order to Overwhelm"
"specials.name.orsoldoon","Örsöldöön"
"specials.name.overpowering_grip_dragon_pve","Overpowering Grip"
"specials.name.overvlowing_whirlwind","Overflowing Whirlwind"
"specials.name.overwhelming_raid","Overwhelming Raid"
"specials.name.owls_blessing","Owl's Blessing"
"specials.name.pacifying_presence_dragon_pve","Pacifying Force"
"specials.name.pain_harvest","Pain Harvest"
"specials.name.paragon_of_constellations","Paragon of Constellations"
"specials.name.paralyzing_spore","Paralyzing Spore"
"specials.name.parcel_of_the_dragon_familiar","Parcel of the Dragon Familiar"
"specials.name.pathfinders_compass","Pathfinder's Compass"
"specials.name.paw_in_every_pie","Paw in Every Pie"
"specials.name.pawns_of_divinity","Pawns of Divinity"
"specials.name.paws_or_claws","Paws or Claws"
"specials.name.peach_of_immortality","Peach of Immortality"
"specials.name.pearls_of_rejuvenation","Pearls of Rejuvenation"
"specials.name.perfect_riposte","Perfect Riposte"
"specials.name.perfect_shot","Perfect Shot"
"specials.name.perfect_teamwork","Perfect Teamwork"
"specials.name.perfume_cloud","Perfume Cloud"
"specials.name.perilous_gift","Perilous Present"
"specials.name.perilous_present_pve","Perilous Present"
"specials.name.perilous_waters","Perilous Waters"
"specials.name.perplexing_riddle","Perplexing Riddle"
"specials.name.pest_control","Pest Control"
"specials.name.pet_larva","Pet Larva"
"specials.name.petals_of_nourishment","Petals of Nourishment"
"specials.name.petrifying_knuckles","Petrifying Knuckles"
"specials.name.petrifying_performance","Petrifying Performance"
"specials.name.picnic_in_the_sky","Picnic in the Sky"
"specials.name.pie_of_protection","Pie of Protection"
"specials.name.piercing_falcon","Piercing Falcon"
"specials.name.piercing_hit","Piercing Hit"
"specials.name.piercing_practice_slash","Piercing Practice Slash"
"specials.name.piercing_sabre","Piercing Sabre"
"specials.name.piercing_scream_dragon_pve","Piercing Scream"
"specials.name.piercing_shot","Piercing Shot"
"specials.name.piercing_strike","Piercing Strike"
"specials.name.piercing_tusk","Piercing Tusk"
"specials.name.pincer_claw","Pincer Claw"
"specials.name.pincer_claw_deadly","Pincer Claw"
"specials.name.pineapple_alchemist","Pineapple Alchemist"
"specials.name.pineapple_barbeque","Pineapple Barbeque"
"specials.name.pirate_shot","Pirate Shot"
"specials.name.pirates_vengeance","Pirate's Vengeance"
"specials.name.pixie_dust","Pixie Dust"
"specials.name.plague_bite","Plague Bite"
"specials.name.plague_blade","Plague Blade"
"specials.name.planar_time_widget","Planar-time-widget"
"specials.name.planetary_charge","Planetary Charge"
"specials.name.plantipede_sting","Plantipede Sting"
"specials.name.plentiful_harvest","Plentiful Harvest"
"specials.name.plentiful_minerals","Plentiful Minerals"
"specials.name.plume_flash","Plume Flash"
"specials.name.poem_of_the_centaurs","Poem of the Centaurs"
"specials.name.poem_of_the_morass","Poem of the Morass"
"specials.name.poetic_justice","Poetic Justice"
"specials.name.poets_protection","Poet's Protection"
"specials.name.pointy_darts","Pointy Darts"
"specials.name.poison_bite","Poison Bite"
"specials.name.poison_bite_dragon_pve","Poison Bite"
"specials.name.poison_bolt_zidane","Poison Bolt"
"specials.name.poison_claw","Poison Claw"
"specials.name.poison_jolt","Poison Jolt"
"specials.name.poison_strike","Poison Strike"
"specials.name.poison_tipped_arrow","Poison-Tipped Arrow"
"specials.name.poison_web","Poison Web"
"specials.name.poisoned_blade","Poisoned Blade"
"specials.name.poisoning_blade","Poisoning Blade"
"specials.name.poisonous_mist","Poisonous Mist"
"specials.name.poisonous_saliva","Poisonous Saliva"
"specials.name.polar_bash","Polar Bash"
"specials.name.polar_night_blizzard","Polar Night Blizzard"
"specials.name.poleaxe_of_the_law","Poleaxe of the Law"
"specials.name.polestar_expedition","Polestar Expedition"
"specials.name.pompous_flex","Pompous Flex"
"specials.name.portents_of_future","Portents of Future"
"specials.name.possessed_strike","Possessed Strike"
"specials.name.possessor_of_penance","Possessor of Penance"
"specials.name.postal_pulverizer","Postal Pulverizer"
"specials.name.potion_cocktail","Potion Cocktail"
"specials.name.potions_of_covetous_desire","Potions of Covetous Desire"
"specials.name.potions_of_covetous_desire_pve","Potions of Covetous Desire"
"specials.name.potions_of_havoc_and_healing","Potions of Havoc and Healing"
"specials.name.pounce_of_the_lioness","Pounce of the Lioness"
"specials.name.pounding_attack","Pounding Attack"
"specials.name.power_of_ajna","Power of Ajna"
"specials.name.power_of_flora","Power of Flora"
"specials.name.power_of_mjolnir","Power of Mjölnir"
"specials.name.power_of_the_forest","Power of the Forest"
"specials.name.power_of_the_void","Power of the Void"
"specials.name.power_punch","Power Punch"
"specials.name.power_slam","Power Slam"
"specials.name.power_wave","Power Wave"
"specials.name.prayer_of_the_desert","Prayer of the Desert"
"specials.name.precious_pets","Precious Pets"
"specials.name.precious_pets_pve_advanced","Precious Pets"
"specials.name.precious_pets_pve_normal","Precious Pets"
"specials.name.precise_chop","Precise Chop"
"specials.name.precise_riposte","Precise Riposte"
"specials.name.preserve_and_freeze","Preserve and Freeze"
"specials.name.prestidigitation","Prestidigitation"
"specials.name.prestidigitation_cross","Cross"
"specials.name.prestidigitation_skull","Skull"
"specials.name.prestidigitation_stars","Stars"
"specials.name.primeval_glaive","Primeval Glaive"
"specials.name.princess_unleashed","Princess Unleashed"
"specials.name.prosperity_for_domain","Prosperity for Domain"
"specials.name.protective_stance","Protective Stance"
"specials.name.protector_of_the_blue_river","Protector of the Blue River"
"specials.name.protein_corruption","Protein Corruption"
"specials.name.protein_eater","Protein Eater"
"specials.name.pulsar_blast","Pulsar Blast"
"specials.name.pulsarstrike","Pulsarstrike"
"specials.name.pulverizing_ham","Pulverizing Ham"
"specials.name.pummeling","Pummeling"
"specials.name.punishing_shot","Punishing Shot"
"specials.name.punishing_shot_pve","Punishing Shot"
"specials.name.punishing_strike","Punishing Strike"
"specials.name.puppy_tales","Puppy Tales"
"specials.name.pure_shot","Pure Shot"
"specials.name.purification","Purification"
"specials.name.purifying_flame","Purifying Flame"
"specials.name.purifying_flame_pve","Purifying Flame"
"specials.name.purifying_hit","Purifying Hit"
"specials.name.purifying_ki","Purifying Ki"
"specials.name.purifying_light","Purifying Light"
"specials.name.purifying_strike","Purifying Strike"
"specials.name.purple_beetloid_bite","Purple Beetloid Bite"
"specials.name.pursuing_shot","Pursuing Shot"
"specials.name.putrid_perfume","Putrid Perfume"
"specials.name.puzzling_paint","Puzzling Paint"
"specials.name.puzzling_riddle","Puzzling Riddle"
"specials.name.qilin_blade","Qilin Blade"
"specials.name.queen_of_cards","Queen of Cards"
"specials.name.queen_of_the_depths","Empress of the Depths"
"specials.name.queen_of_the_depths_final","Empress of the Depths"
"specials.name.queens_blood_poisoning","Dusk of Sorrow"
"specials.name.queens_curse","Sand Storm"
"specials.name.queens_curse_pve","Sand Storm"
"specials.name.quick_and_nimble","Quick and Nimble"
"specials.name.rabbits_watch","Rabbit's Watch"
"specials.name.raccoon_bite","Raccoon Bite"
"specials.name.radiant_comeback","Radiant Comeback"
"specials.name.radiant_rapid_fire","Radiant Rapid-Fire"
"specials.name.radiant_shackles","Radiant Shackles"
"specials.name.radiant_sweep_dragon_pve","Radiant Sweep"
"specials.name.radiating_frost","Radiating Frost"
"specials.name.rage_of_grimnir","Rage of Grimnir"
"specials.name.raging_tempest","Raging Tempest"
"specials.name.rain_of_arrows","Rain of Arrows"
"specials.name.rain_of_fire","Rain of Fire"
"specials.name.rain_of_fire_ultimate_boss","Rain of Fire"
"specials.name.raising_morale","Raising Morale"
"specials.name.rally_of_the_deep","Rally of the Deep"
"specials.name.ramming_pulverizer","Ramming Pulverizer"
"specials.name.ramming_rush","Ramming Rush"
"specials.name.rapid_shots","Rapid Shots"
"specials.name.rattle_of_confusion","Rattle of Confusion"
"specials.name.ravaging_talons","Ravaging Talons"
"specials.name.ravening_blade","Ravening Blade"
"specials.name.ravenous_pounce","Ravenous Pounce"
"specials.name.ravens_vigil","Ravens' Vigil"
"specials.name.ravens_watch","Ravens' Watch"
"specials.name.ray_strike","Ray Strike"
"specials.name.razor_smile","Razor Smile"
"specials.name.reanimated_spite","Reanimated Spite"
"specials.name.reanimated_spite_pve","Reanimated Spite"
"specials.name.reckless_charge","Reckless Charge"
"specials.name.reckless_finisher","Reckless Finisher"
"specials.name.reckless_slash","Reckless Slash"
"specials.name.reckless_stab","Reckless Stab"
"specials.name.reckless_swing","Reckless Swing"
"specials.name.reckless_sword_swings","Reckless Sword Swings"
"specials.name.red_lizard_charge","Red Camo Lizard Charge"
"specials.name.red_shoes","Red Shoes"
"specials.name.red_sparks_dragon_pve","Red Sparks"
"specials.name.reef_blast","Reef Blast"
"specials.name.reflecting_stance","Reflecting Stance"
"specials.name.regal_spearhead","Regal Spearhead"
"specials.name.regeneration","Regeneration"
"specials.name.rejuvenating_elixir","Rejuvenating Elixir"
"specials.name.rejuvenating_leap","Rejuvenating Leap"
"specials.name.relaxing_riddle","Relaxing Riddle"
"specials.name.relentless_brawler","Relentless Brawler"
"specials.name.remedies_and_diseases","Remedies and Diseases"
"specials.name.rending_dagger","Rending Dagger"
"specials.name.reporting_for_duty","Reporting for Duty"
"specials.name.resolute_spirit","Resolute Spirit"
"specials.name.resolute_spirit2","Resolute Spirit"
"specials.name.restoration_and_annihilation","Restoration and Annihilation"
"specials.name.resurrection_of_the_fallen","Resurrection of the Fallen"
"specials.name.resurrection_of_the_fallen_kemeny","Resurrection of the Fallen"
"specials.name.revengeful_smite","Revengeful Smite"
"specials.name.reverse_recovery","Reverse Recovery"
"specials.name.reversed_lifeforce","Reversed Lifeforce"
"specials.name.revitalizing_melody","Revitalizing Melody"
"specials.name.revitalizing_orb","Revitalizing Orb"
"specials.name.revitalizing_sludge","Revitalizing Sludge"
"specials.name.reviving_touch","Reviving Touch"
"specials.name.rhythm_of_havoc","Rhythm of Havoc"
"specials.name.riches_to_poor","Riches To Poor"
"specials.name.ricochet_bolt","Ricochet Bolt"
"specials.name.riddle_of_the_moon","Riddle of the Moon"
"specials.name.riddle_of_the_sun","Riddle of the Sun"
"specials.name.riders_arrow","Rider's Arrow"
"specials.name.riders_lance","Rider's Lance"
"specials.name.rift_blade","Rift Blade"
"specials.name.righteous_pulverizer","Righteous Pulverizer"
"specials.name.righteous_strike","Righteous Strike"
"specials.name.ring_around_the_rosie","Ring Around the Rosie"
"specials.name.rite_of_cuteness","Toon of Judgment"
"specials.name.rite_of_glass","Glass Judgement"
"specials.name.rite_of_judgement","Rite of Judgement"
"specials.name.rites_of_inner_knowledge","Rites of Inner Knowledge"
"specials.name.ritual_of_judgement","Ritual of Judgement"
"specials.name.ritual_of_the_deep","Ritual of the Deep"
"specials.name.ritual_of_the_elements","Ritual of the Elements"
"specials.name.roar_of_the_panther","Roar of the Panther"
"specials.name.rockfall_bash","Rockfall Bash"
"specials.name.rod_of_freedom","Rod of Freedom"
"specials.name.rod_of_torment","Rod of Torment"
"specials.name.roman_cleave","Spartan Charge"
"specials.name.roots_of_wrath","Roots of Wrath"
"specials.name.roots_of_yggdrasil","Roots of Yggdrasil"
"specials.name.rose_bouquet_blast","Rose Bouquet Blast"
"specials.name.rotting_wound_dragon_pve","Rotting Wound"
"specials.name.rottman","Mad Rat Mania"
"specials.name.rough_and_tumble","Rough and Tumble"
"specials.name.royal_assault","Royal Assault"
"specials.name.royal_blades","Royal Blades"
"specials.name.royal_meatball_buffet","Royal Meatball Buffet"
"specials.name.royal_poisoner","Royal Poisoner"
"specials.name.ruby_rush","Ruby Rush"
"specials.name.rude_awakening","Rude Awakening"
"specials.name.ruler_of_seas","Ruler of Seas"
"specials.name.ruler_of_seas_deadly","Ruler of Seas"
"specials.name.rural_chop","Rural Chop"
"specials.name.rush_of_flame","Rush of Flame"
"specials.name.rushed_melody","Rushed Melody"
"specials.name.rusty_blade","Rusty Blade"
"specials.name.ruthless_gambit","Ruthless Gambit"
"specials.name.sable_slasher","Sable Slasher"
"specials.name.sacrament_of_salvation","Sacrament of Salvation"
"specials.name.sacred_horns","Sacred Horns"
"specials.name.sacred_reflection","Sacred Reflection"
"specials.name.saga_of_deliverance","Saga of Deliverance"
"specials.name.saga_of_protection","Saga of Protection"
"specials.name.salty_splash_dragon_pve","Salty Splash"
"specials.name.sanction_for_heresy","Sanction for Heresy"
"specials.name.sanctuary_of_light","Sanctuary of Light"
"specials.name.sand_cyclone","Sand Cyclone"
"specials.name.sand_cyclone_pve","Sand Cyclone"
"specials.name.sand_wave_rana","Surf's Up"
"specials.name.sand_wave_yunan","Wipeout"
"specials.name.sandstorm_strike","Sandstorm Strike"
"specials.name.sandworm_strike","Sandworm Strike"
"specials.name.sapphire_eyes","Sapphire Eyes"
"specials.name.saturated_suffering","Saturated Suffering"
"specials.name.savage_gobble_blue","Savage Gobble"
"specials.name.savage_gobble_green","Savage Gobble"
"specials.name.savage_gobble_purple","Savage Gobble"
"specials.name.savage_gobble_red","Savage Gobble"
"specials.name.savage_gobble_yellow","Savage Gobble"
"specials.name.savage_talons","Savage Talons"
"specials.name.scale_of_the_newt","Scale of the Newt"
"specials.name.scaly_skin","Scaly Skin"
"specials.name.scar_of_the_depths","Scar of the Depths"
"specials.name.scar_of_the_depths_deadly","Scar of the Depths"
"specials.name.scarab_barrage","Scarab Barrage"
"specials.name.scarab_blitz","Scarab Blitz"
"specials.name.scarab_bombardment","Scarab Bombardment"
"specials.name.scarab_rush","Scarab Rush"
"specials.name.scarab_throw","Scarab Throw"
"specials.name.scavenging_dash","Scavenging Dash"
"specials.name.scepter_of_bundelkhand","Scepter of Bundelkhand"
"specials.name.scepter_of_constellations","Scepter of Constellations"
"specials.name.scion_sword","Scion Sword"
"specials.name.scion_sword_costume_white_raven","Scion Blade"
"specials.name.scorching_orb","Scorching Orb"
"specials.name.scoundrel_swing","Scoundrel Swing"
"specials.name.scourge_of_joy","Scourge of Joy"
"specials.name.scourge_of_the_strong","Scourge of the Strong"
"specials.name.scouts_spyglass","Scout's Spyglass"
"specials.name.scroll_of_equations","Scroll of Equations"
"specials.name.scroll_of_fellowship","Scroll of Fellowship"
"specials.name.scroll_of_new_beginnings","Scroll of New Beginnings"
"specials.name.scroll_of_spite","Scroll of Spite"
"specials.name.scythe_of_sorceries","Scythe of Sorceries"
"specials.name.seabed_pirouette","Seabed Pirouette"
"specials.name.seabed_sissonne","Seabed Sissonne"
"specials.name.seal_of_ares","Seal of Ares"
"specials.name.seal_of_fire","Seal of Fire"
"specials.name.searing_frost","Searing Frost"
"specials.name.searing_strike","Searing Strike"
"specials.name.seastar_burst","Seastar Burst"
"specials.name.seaweed_flail","Seaweed Flail"
"specials.name.second_skin","Second Skin"
"specials.name.seeking_shots","Seeking Shots"
"specials.name.self_preservation","Self-preservation"
"specials.name.sense_of_wonder","Sense of Wonder"
"specials.name.serenade_of_sedition","Serenade of Sedition"
"specials.name.servants_aid","Servant's Aid"
"specials.name.set_phase2","Darkness Unleashed"
"specials.name.set_phase3","Last Effort"
"specials.name.severing_strike","Severing Strike"
"specials.name.sewing_back_together","Sewing Back Together"
"specials.name.shackles_of_the_sea","Shackles of the Sea"
"specials.name.shade_cloak","Shade Cloak"
"specials.name.shadow_link","Steel Link"
"specials.name.shadow_lunge","Shadow Lunge"
"specials.name.shadow_monster_form","Eldritch Slash"
"specials.name.shadow_sidestep","Shadow Sidestep"
"specials.name.shadow_strike","Shadow Strike"
"specials.name.shadow_sweep","Shadow Sweep"
"specials.name.shady_concerto","Shady Concerto"
"specials.name.shapeshifters_deception","Shapeshifter's Deception"
"specials.name.shards_of_sun","Shards of Sun"
"specials.name.shared_visage","Shared Visage"
"specials.name.shark_bite","Shark Bite"
"specials.name.sharp_cut","Sharp Cut"
"specials.name.sharp_knife","Sharp Knife"
"specials.name.sharp_stingers","Sharp Stingers"
"specials.name.shatter_psyche","Shatter Psyche"
"specials.name.shatter_soul","Shatter Soul"
"specials.name.shattering_shriek","Shattering Shriek"
"specials.name.shattering_warcry","Shattering Warcry"
"specials.name.shed_skin","Shed Skin"
"specials.name.shieldmaidens_protection","Shieldmaiden's Protection"
"specials.name.shifting_mindless_attack","Shifting Mindless Attack"
"specials.name.shimmering_shield","Shimmering Shield"
"specials.name.shock_bolt","Shock Bolt"
"specials.name.shock_ultimatum","Shock Ultimatum"
"specials.name.shocking_news","Shocking News"
