"specials.name.a_cozy_break","Una pausa confortevole"
"specials.name.high_altitude_ambush","Agguato ad alta quota"
"specials.name.high_energy_field","Campo ad alta energia"
"specials.name.high_noon_sun","Sole di mezzogiorno"
"specials.name.holding_down_the_fort","Difesa del forte"
"specials.name.hollow_boast","Vuota vanità"
"specials.name.holy_aura","Aura sacra"
"specials.name.holy_guard","Guardia sacra"
"specials.name.holy_hibiscus_ale","Birra d'Ibisco sacra"
"specials.name.holy_mark","Marchio sacro"
"specials.name.holy_splash","Schizzo sacro"
"specials.name.home_run","Fuoricampo"
"specials.name.horn_attack","Cornata"
"specials.name.horrifying_wail","Lamento terrificante"
"specials.name.horses_curse","Raffiche di sabbia"
"specials.name.hoverboard_crash","Incidente con l'hoverboard"
"specials.name.hoverboard_slam","Colpo dell'hoverboard"
"specials.name.howling_sword","Spada ululante"
"specials.name.hues_of_love","Tinte d'amore"
"specials.name.hungering_grave","Tomba affamata"
"specials.name.hunt_for_prey","Caccia alla preda"
"specials.name.hunters_instinct","Istinto del cacciatore"
"specials.name.hunters_mark","Marchio del cacciatore"
"specials.name.hunters_true_shot","Colpo sicuro della cacciatrice"
"specials.name.hunting_ballad","Ballata di caccia"
"specials.name.hunting_charge","Carica di caccia"
"specials.name.hydra_bite","Morso dell'idra"
"specials.name.hymn_of_enrichment","Inno dell'arricchimento"
"specials.name.hyper_porridge","Iperporridge"
"specials.name.hyperborean_hook","Gancio iperboreo"
"specials.name.hypersonic_tackle","Braccata ipersonica"
"specials.name.hypnosis_dragon_pve","Ipnosi"
"specials.name.ice_and_slice","Fendenti gelidi"
"specials.name.ice_boom","Esplosione glaciale"
"specials.name.ice_cold_order","Ordine gelido"
"specials.name.ice_cream_smash","Sferzata del gelato"
"specials.name.ice_treatment","Trattamento del ghiaccio"
"specials.name.iceberg_aura","Aura dell'iceberg"
"specials.name.iceberg_crush","Schiacciamento dell'iceberg"
"specials.name.iceberg_havoc","Caos dell'iceberg"
"specials.name.icebound_howl","Urlo glaciale"
"specials.name.icebound_ritual","Rituale del ghiaccio"
"specials.name.icecold_finisher","Rifinitore di ghiaccio freddo"
"specials.name.icehammer_smash","Colpo di gelomartello"
"specials.name.iceshatter","Frantumazione glaciale"
"specials.name.icy_axes","Asce di ghiaccio"
"specials.name.icy_mandibles","Mandibole di ghiaccio"
"specials.name.icy_resilience","Resistenza ghiacciata"
"specials.name.ill_bring_you_back","Ti riporterò indietro"
"specials.name.ill_fated_experiment","Esperimento sfortunato"
"specials.name.ill_fated_recovery","Recupero sfortunato"
"specials.name.imaginary_increments","Incrementi immaginari"
"specials.name.immortal_annihilator","Distruttore immortale"
"specials.name.immortal_annihilator_deadly","Distruttore immortale"
"specials.name.immortal_punisher","Punitore immortale"
"specials.name.impairing_strike","Colpo menomante"
"specials.name.impale_and_devour","Trafiggi e divora"
"specials.name.impeccable_charge","Carica impeccabile"
"specials.name.impeding_bolts","Dardi debilitanti"
"specials.name.impervious_formation","Formazione impervia"
"specials.name.impossible_groove","Boschetto impossibile"
"specials.name.impossible_riddle","Indovinello impossibile"
"specials.name.incite_ki","Incitazione del Ki"
"specials.name.incite_ki2","Incitazione del Ki"
"specials.name.indestructible_claw","Artiglio indistruttibile"
"specials.name.indifferent_blade","Lama indifferente"
"specials.name.inevitable_demise","Dipartita inevitabile"
"specials.name.infernal_chops","Sferzate infernali"
"specials.name.infernal_drumstorm","Tempesta di tamburi infernale"
"specials.name.infernal_flames","Fiamme infernali"
"specials.name.infernal_jaws","Fauci infernali"
"specials.name.ink_bomb","Bomba di inchiostro"
"specials.name.innovative_lunge","Affondo innovativo"
"specials.name.insidious_goo","Melma insidiosa"
"specials.name.inspiring_fencing","Scherma ispirante"
"specials.name.insurmountable_flux","Flusso insormontabile"
"specials.name.intimidating_stance","Posizione intimidatoria"
"specials.name.invigorating_pollen","Polline rinvigorente"
"specials.name.invigorating_soup","Zuppa rinvigorente"
"specials.name.invisible_strike","Colpo invisibile"
"specials.name.iron_discipline_cut","Taglio della disciplina ferrea"
"specials.name.iron_rocket_fist","Pugno razzo di ferro"
"specials.name.ironbound_fury","Furia di ferro"
"specials.name.jab_and_hook","Diretto e gancio"
"specials.name.jack_of_owl_trades","Gufo tuttofare"
"specials.name.jackal_strike","Colpo dello sciacallo"
"specials.name.jade_blades","Lame di giada"
"specials.name.jaw_clamp","Diffondere trappole"
"specials.name.jaws_of_the_river","Fauci del fiume"
"specials.name.jewel_of_the_deep","Gioiello delle profondità"
"specials.name.join_in_joyful_song","Unisciti al canto gioioso"
"specials.name.joyful_noise","Rumore gioioso"
"specials.name.joyful_palette","Tavolozza gioiosa"
"specials.name.judgement_of_goo","Giudizio della melma"
"specials.name.judgment_and_penance","Giudizio e penitenza"
"specials.name.judgment_of_sun","Giudizio del Sole"
"specials.name.juggling_trials","Prove di giocoleria"
"specials.name.jungle_fury","Furia della giungla"
"specials.name.jungle_riposte","Risposta della giungla"
"specials.name.jungle_slash","Colpo della palude"
"specials.name.just_a_flesh_wound","Solo una ferita superficiale"
"specials.name.karnov","Mazzate sorprendenti"
"specials.name.katana_rain","Pioggia di Katana"
"specials.name.katana_rain_pve","Pioggia di Katana"
"specials.name.keep_the_peace","Mantenere la pace"
"specials.name.keyknife_typhoon","Tifone di coltelli"
"specials.name.khans_order","Ordine di Khan"
"specials.name.kindled_carpet","Tappeto infiammato"
"specials.name.kings_blood_poisoning","Notte di dolore"
"specials.name.kings_curse","Tempesta di sabbia"
"specials.name.kings_curse_pve","Tempesta di sabbia"
"specials.name.kings_feast","Il banchetto del re"
"specials.name.kite_of_endurance","Aquilone della resistenza"
"specials.name.kitten_stampede","Follia dei gattini"
"specials.name.knights_armor","Armatura del cavaliere"
"specials.name.knights_fury","Furia del cavaliere"
"specials.name.knights_parry","Parata del cavaliere"
"specials.name.kong_smash","Attacco del Kong"
"specials.name.kunai_assault","Assalto di kunai"
"specials.name.lacerating_leap","Balzo lacerante"
"specials.name.lacerating_letters","Lettere laceranti"
"specials.name.lacerating_whip","Frusta lacerante"
"specials.name.ladys_charm","Fascino della signora"
"specials.name.ladys_flowers","Fiori della signora"
"specials.name.lament_of_the_hunt","Lamento della caccia"
"specials.name.lance_of_avarice","Lancia dell'avarizia"
"specials.name.lance_of_torment","Lancia del tormento"
"specials.name.lance_thrust","Affondo di lancia"
"specials.name.landslide","Slavina"
"specials.name.lantern_of_insanity","Lanterna della follia"
"specials.name.larva_prescription","Prescrizione di larve"
"specials.name.lash_of_the_whip","Colpo di frusta"
"specials.name.lasso_of_love","Lazo dell'amore"
"specials.name.last_words","Ultime parole"
"specials.name.laundry_day","Giorno di bucato"
"specials.name.lava_blast","Scoppio di lava"
"specials.name.lava_spit","Sputo di lava"
"specials.name.lava_splash_dragon_pve","Schizzo del fuoco spirituale"
"specials.name.lavablow","Assalto delle fiamme"
"specials.name.lavablow_pve","Assalto delle fiamme"
"specials.name.lavaslash","Colpo di lava"
"specials.name.leaf_blast","Esplosione di foglie"
"specials.name.leafglow_bloom","Fioritura luminosa"
"specials.name.leaping_attack","Attacco al balzo"
"specials.name.leeching_saw","Sega sanguisuga"
"specials.name.leeching_stars","Stelle sanguisughe"
"specials.name.leeching_worms","Sanguisughe"
"specials.name.legacy_of_darkness","Eredità delle tenebre"
"specials.name.legerdemain","Giochi di prestigio"
"specials.name.legerdemain_heart","Croce"
"specials.name.legerdemain_joker","Stelle"
"specials.name.legerdemain_skull","Teschio"
"specials.name.legions_of_darkness","Legioni delle tenebre"
"specials.name.legions_of_tyrant","Legioni del tiranno"
"specials.name.lesson_in_clear_focus_pve","Lezione sulla messa a fuoco"
"specials.name.lesson_in_expecting_the_unexpected_pve","Lezione sull'aspettarsi l'inaspettato"
"specials.name.lesson_in_fire_safety_pve","Lezione sulla sicurezza antincendio"
"specials.name.lesson_in_remaining_hydrated_pve","Lezione sul restare idratati"
"specials.name.lesson_in_staying_cool_pve","Lezione sul restare calmi"
"specials.name.lethal_needles","Aghi letali"
"specials.name.lethal_needles2","Aghi letali"
"specials.name.levitating_lunchbox_deluxe","Portapranzo levitante deluxe"
"specials.name.lifeforce_leech","Sanguisuga della linfa vitale"
"specials.name.light_barrier_dragon_pve","Barriera di luce"
"specials.name.light_grenades","Granate leggere"
"specials.name.light_grenades2","Granate leggere"
"specials.name.light_my_fire","Accendi il mio fuoco"
"specials.name.lightning_charge","Carica di fulmini"
"specials.name.lightning_stream","Flusso di fulmini"
"specials.name.lightning_stream2","Flusso di fulmini"
"specials.name.lightning_ultimatum","Ultimatum di fulmini"
"specials.name.lightning_ultimatum_pve","Ultimatum di fulmini"
"specials.name.litter_of_kittens","Cucciolata di gattini"
"specials.name.liturgy_of_the_fallen","Liturgia dei caduti"
"specials.name.looking_for_love","In cerca d'amore"
"specials.name.lookouts_refreshment","Ristoro per vedette"
"specials.name.loom_of_destruction","Telaio della distruzione"
"specials.name.lord_of_the_jungle","Re della giungla"
"specials.name.lords_blood_poisoning","Alba di dolore"
"specials.name.love_at_first_sight","Amore a prima vista"
"specials.name.love_conquers_all","L'amore vince su tutto"
"specials.name.love_conquers_all_pve","L'amore vince su tutto"
"specials.name.loving_queen","Regina amorevole"
"specials.name.lucky_coin","Moneta fortunata"
"specials.name.lucky_fu_jow_pai","Fu Jow Pai fortunato"
"specials.name.lucky_nine","Schivafortuna"
"specials.name.luminescent_electrocution","Elettrocuzione luminescente"
"specials.name.luminous_lance","Lancia luminosa"
"specials.name.lunar_blessing","Benedizione lunare"
"specials.name.lunar_blessing_moon_beam","Raggio lunare"
"specials.name.lunar_bloom","Fioritura lunare"
"specials.name.lunar_locket","Medaglione lunare"
"specials.name.lunar_shield","Scudo lunare"
"specials.name.lunar_spear","Lancia lunare"
"specials.name.luring_song","Canto di richiamo"
"specials.name.machinists_cutlass","Sciabola del macchinista"
"specials.name.mad_as_a_hatter","Matto come un cappellaio"
"specials.name.mad_rat_mania","Mania del ratto matto"
"specials.name.mad_tea_party","Cerimonia del tè pazza"
"specials.name.madrigal_of_mayhem","Madrigale del disordine"
"specials.name.mageball_blast","Esplosione della palla magica"
"specials.name.mageball_blast_pve","Esplosione della palla magica"
"specials.name.magic_mirror_of_power","Specchio magico del potere"
"specials.name.magical_balan","Balan magico"
"specials.name.magical_sword","Spada magica"
"specials.name.magma_boulders","Massi di magma"
"specials.name.magma_smash","Urto magma"
"specials.name.magmatic_burns","Bruciature magmatiche"
"specials.name.magmatic_tempest","Tempesta magmatica"
"specials.name.magnificent_meal","Pasto magnifico"
"specials.name.maidens_command","Ordine della fanciulla"
"specials.name.maidens_orders","Ordini della fanciulla"
"specials.name.make_them_harmless","Rendili innocui"
"specials.name.malevolent_toys","Giocattoli malevoli"
"specials.name.malison_of_the_wildlands","Maledizione delle Terre selvagge"
"specials.name.mallet_swing_of_the_beast","Oscillazione di maglio della bestia"
"specials.name.mana_immolation","Immolazione di mana"
"specials.name.mana_manipulation","Manipolazione del mana"
"specials.name.mana_scavange","Razzia di mana"
"specials.name.mana_stealer","Occhio del profeta"
"specials.name.mantis_strike","Colpo della mantide"
"specials.name.marble_frenzy","Frenesia di marmo"
"specials.name.marc","Balzo folle"
"specials.name.mark_of_anubis","Marchio di Anubi"
"specials.name.mark_of_fire","Marchio del Fuoco"
"specials.name.mark_of_ivy","Segno di Edera"
"specials.name.mark_of_nature","Marchio della Natura"
"specials.name.mark_of_the_jackal","Marchio dello Sciacallo"
"specials.name.mark_the_prey","Marchiare la preda"
"specials.name.marked_aim","Obiettivo marchiato"
"specials.name.martial_dance","Prodezza del kane"
"specials.name.martial_masterstroke","Colpo da maestro marziale"
"specials.name.martial_prowess","Valore marziale"
"specials.name.masons_rage","Rabbia del muratore"
"specials.name.massive_bite","Morso massiccio"
"specials.name.massive_chop","Taglio massiccio"
"specials.name.massive_cleave","Fendente massiccio"
"specials.name.massive_swing","Sferzata massiccia"
"specials.name.master_of_ailments","Maestro dei disturbi"
"specials.name.master_plan","Piano strategico"
"specials.name.masterful_balance","Equilibrio magistrale"
"specials.name.masterful_manipulation","Manipolazione magistrale"
"specials.name.mauling_tusk","Zanna sbranante"
"specials.name.mean_jab_dragon_pve","Diretto meschino"
"specials.name.mechanical_augmentations","Potenziamenti meccanici"
"specials.name.medicinal_drool","Bava medicinale"
"specials.name.medicinal_fumes","Fumi medicinali"
"specials.name.melody_harvest","Raccolto melodioso"
"specials.name.melody_of_mana_control","Melodia del controllo del mana"
"specials.name.melody_of_misery","Melodia della sofferenza"
"specials.name.memory_manipulation","Manipolazione della memoria"
"specials.name.memory_of_the_queen","Ricordo dell'Imperatrice"
"specials.name.mending_bronze_axe","Ascia di bronzo curativa"
"specials.name.mending_mantra","Mantra curativo"
"specials.name.mending_stitches","Punti di rammendo"
"specials.name.merciless_bite","Morso spietato"
"specials.name.merciless_execution","Esecuzione senza pietà"
"specials.name.merciless_pulverizer","Polverizzatore spietato"
"specials.name.merriest_misery","Rovina gioiosa"
"specials.name.mesmerizing_mirror","Specchio ammaliatore"
"specials.name.miasma_mace","Mazza del miasma"
"specials.name.midnight_magic","Magia di mezzanotte"
"specials.name.midnight_moon","Luna di mezzanotte"
"specials.name.midnight_smite","Punizione di mezzanotte"
"specials.name.midnight_strike","Colpo di mezzanotte"
"specials.name.midsummers_dream","Sogno di una notte di mezza estate"
"specials.name.midsummers_reverie","Fantasticherie di mezza estate"
"specials.name.might_of_ares","Forza di Ares"
"specials.name.might_of_excalibroom","Potere di Excalibroom"
"specials.name.might_of_the_ice_giants","Potenza dei Giganti di Ghiaccio"
"specials.name.might_of_the_ice_giants_final","Potenza dei Giganti di Ghiaccio"
"specials.name.mimic_bite","Morso del mimic"
"specials.name.mimic_bite_burn","Morso corrosivo"
"specials.name.mimic_bite2","Morso del mimic feroce"
"specials.name.mimic_bite3","Avidità del mimic"
"specials.name.mimic_bite4","Provocazione del mimic"
"specials.name.mimic_special","Mostro astuto"
"specials.name.mimic_special2","Mostro astuto"
"specials.name.mimic_training_hero_blue_bite","Divorare avidamente"
"specials.name.mimic_training_hero_green_bite","Divorare avidamente"
"specials.name.mimic_training_hero_purple_bite","Divorare avidamente"
"specials.name.mimic_training_hero_red_bite","Divorare avidamente"
"specials.name.mimic_training_hero_yellow_bite","Divorare avidamente"
"specials.name.mind_blast","Esplosione mentale"
"specials.name.mindless_attack","Attacco irrazionale"
"specials.name.minion_scrutiny","Controllo dei servitori"
"specials.name.mischievous_flourish","Fioritura maligna"
"specials.name.mischievous_flourish_pve_advanced","Fioritura maligna"
"specials.name.mischievous_flourish_pve_normal","Fioritura maligna"
"specials.name.mischievous_tiein","Legame malizioso"
"specials.name.missile_mania","Mania dei missili"
"specials.name.mist_of_the_fallen","Bruma dei caduti"
"specials.name.mistletoe_medley","Vischio assortito"
"specials.name.misty_punches","Pugni nebbiosi"
"specials.name.mixed_green_herbs","Erbe verdi miste"
"specials.name.moldavite_wings","Ali di moldavite"
"specials.name.molten_wax","Cera fusa"
"specials.name.monastic_restraint","Vincolo monastico"
"specials.name.monstrous_bite","Morso mostruoso"
"specials.name.moody_jab_dragon_pve","Diretto lunatico"
"specials.name.mooing_for_a_fight","Muggito per un combattimento"
"specials.name.moon_boomerang","Boomerang lunare"
"specials.name.moon_crush_beam","Raggio lunare frantumante"
"specials.name.moonlight_crescendo","Crescendo al chiaro di luna"
"specials.name.moonlight_serenade","Serenata al chiaro di luna"
"specials.name.moonlight_sonata","Sonata al chiaro di luna"
"specials.name.moonstone_glare_dragon_pve","Bagliore di pietra lunare"
"specials.name.moreau_phase1_special","Malizia accecante"
"specials.name.moreau_phase2_special1","Malizia accecante"
"specials.name.moreau_phase2_special2","Malizia accecante"
"specials.name.morning_catch","Cattura mattutina"
"specials.name.mother_dragons_love","Amore di mamma drago"
"specials.name.motherly_care","Cure materne"
"specials.name.motherly_care_pve","Cure materne"
"specials.name.motherly_love","Amore materno"
"specials.name.muffin_poisoning","Avvelenamento da muffin"
"specials.name.multi_elemental_mark","Marchio multielementale"
"specials.name.multi_throw","Lancio multiplo"
"specials.name.mummy_slash","Fendente della mummia"
"specials.name.mummy_strike","Colpo della mummia"
"specials.name.musketeers_deal","Accordo del moschettiere"
"specials.name.musketeers_mead","Idromele del moschettiere"
"specials.name.mutated_specimen","Esemplare mutato"
"specials.name.mutating_mixture","Miscela mutante"
"specials.name.mystery_potions","Pozioni misteriose"
"specials.name.mystic_chop","Fendente mistico"
"specials.name.mystical_concerto","Concerto mistico"
"specials.name.mystics_virtue","Virtù mistica"
"specials.name.mythic_lightning","Fulmine mitico"
"specials.name.nasty_hammer","Martello malefico"
"specials.name.natures_blessing","Furia berserker"
"specials.name.natures_connection","Legame della natura"
"specials.name.natures_fury","Furia della natura"
"specials.name.natures_payback","Rivincita della natura"
"specials.name.nebula_orb","Sfera nebulare"
"specials.name.nebula_orb_ultimate_boss","Sfera nebulare"
"specials.name.necronomicon_page_13","Necronomicon pagina 13"
"specials.name.nephrite_blade","Lama di nefrite"
"specials.name.nethershield","Scudo infernale"
"specials.name.never_ending_winter","Inverno senza fine"
"specials.name.night_falls","Calata della notte"
"specials.name.night_of_crimes","Notte di crimini"
"specials.name.nightbloom_dust","Polvere del fiore notturno"
"specials.name.nightglade_pollen","Polline di Radanotte"
"specials.name.nights_whisper","Sussurro della notte"
"specials.name.nimble_bite","Morso agile"
"specials.name.nine_dragon_strike","Colpo dei nove draghi"
"specials.name.nobles_empathy","Empatia del nobile"
"specials.name.nobles_empathy_costume_artisan","Empatia della calligrafa"
"specials.name.nomadic_hymn","Inno nomade"
"specials.name.northern_wanderer","Rinforzi gioiosi"
"specials.name.noxious_blossom","Fiore malsano"
"specials.name.noxious_chord","Accordo nocivo"
"specials.name.noxious_cleave","Fendente nocivo"
"specials.name.noxious_cleave_pve","Fendente nocivo"
"specials.name.nuts_of_yggdrasil","Noci di Yggdrasill"
"specials.name.oath_of_templar","Giuramento del Templare"
"specials.name.obliterating_surge","Impulso obliterante"
"specials.name.ocarina_windsong","Canto del vento dell'ocarina"
"specials.name.occult_redemption","Riscatto occulto"
"specials.name.ocean_vortex","Vortice oceanico"
"specials.name.oceanic_offensive","Offensiva oceanica"
"specials.name.oceanic_slayer","Assassino delle maree"
"specials.name.oceanic_suffering","Sofferenza oceanica"
"specials.name.oceanic_torrent","Torrente oceanico"
"specials.name.oceans_decay","Degrado dell'oceano"
"specials.name.oceans_embrace","Abbraccio dell'oceano"
"specials.name.oceans_ruin","Rovina dell'oceano"
"specials.name.odd_drum_roll","Strano rullo di tamburi"
"specials.name.oji_waza","Oji-Waza"
"specials.name.old_curse","Antica maledizione"
"specials.name.omega_flame","Colpo Omega"
"specials.name.omega_strike_dark","Colpo Omega"
"specials.name.omega_strike_fire","Colpo Omega"
"specials.name.omega_strike_holy","Colpo Omega"
"specials.name.omega_strike_ice","Colpo Omega"
"specials.name.omega_strike_nature","Colpo Omega"
"specials.name.omen_of_retribution","Presagio di vendetta"
"specials.name.omnicure","Omnicura"
"specials.name.omniheal","Cura universale"
"specials.name.omnimend","Guarigione universale"
"specials.name.one_hit_wonder","Meteora"
"specials.name.one_jump_ahead","Salto in avanti"
"specials.name.one_spell_ahead","Incantesimo di avanzata"
"specials.name.opposing_raid","Raid opposto"
"specials.name.orchestra_of_candles","Orchestra di candele"
"specials.name.orchids_and_roses","Orchidee e rose"
"specials.name.order_ambush","Agguato dell'ordine"
"specials.name.order_ambush_pve","Agguato dell'ordine"
"specials.name.order_from_the_depths","Ordine dagli abissi"
"specials.name.order_to_overwhelm","Ordine alla sopraffazione"
"specials.name.orsoldoon","Örsöldöön"
"specials.name.overpowering_grip_dragon_pve","Presa di forza"
"specials.name.overvlowing_whirlwind","Vortice traboccante"
"specials.name.overwhelming_raid","Raid travolgente"
"specials.name.owls_blessing","Benedizione del gufo"
"specials.name.pacifying_presence_dragon_pve","Forza pacificante"
"specials.name.pain_harvest","Raccolto di dolore"
"specials.name.paragon_of_constellations","Campione delle costellazioni"
"specials.name.paralyzing_spore","Spora paralizzante"
"specials.name.parcel_of_the_dragon_familiar","Pacco del drago famiglio"
"specials.name.passion_conquers_all","La passione vince su tutto"
"specials.name.pathfinders_compass","Bussola dell'esploratore"
"specials.name.paw_in_every_pie","Zampa in ogni torta"
"specials.name.pawns_of_divinity","Pedoni della divinità"
"specials.name.paws_or_claws","Zampe o artigli"
"specials.name.peach_of_immortality","Pesca dell'immortalità"
"specials.name.pearls_of_rejuvenation","Perle del ringiovanimento"
"specials.name.perfect_riposte","Risposta perfetta"
"specials.name.perfect_shot","Tiro perfetto"
"specials.name.perfect_teamwork","Lavoro di squadra perfetto"
"specials.name.perfume_cloud","Nuvola di profumo"
"specials.name.perilous_gift","Regalo pericoloso"
"specials.name.perilous_present_pve","Regalo pericoloso"
"specials.name.perilous_waters","Acque pericolose"
"specials.name.perplexing_riddle","Indovinello enigmatico"
"specials.name.pest_control","Disinfestazione"
"specials.name.pet_larva","Larva domestica"
"specials.name.petals_of_nourishment","Petali del nutrimento"
"specials.name.petrifying_knuckles","Nocche pietrificanti"
"specials.name.petrifying_performance","Esibizione pietrificante"
"specials.name.picnic_in_the_sky","Picnic nel cielo"
"specials.name.pie_of_protection","Torta della protezione"
"specials.name.piercing_falcon","Falco perforante"
"specials.name.piercing_hit","Colpo perforante"
"specials.name.piercing_practice_slash","Fendente di pratica perforante"
"specials.name.piercing_sabre","Sciabola perforante"
"specials.name.piercing_scream_dragon_pve","Urlo penetrante"
"specials.name.piercing_shot","Colpo penetrante"
"specials.name.piercing_strike","Assalto perforante"
"specials.name.piercing_tusk","Zanna penetrante"
"specials.name.pincer_claw","Artiglio a tenaglia"
"specials.name.pincer_claw_deadly","Artiglio a tenaglia"
"specials.name.pineapple_alchemist","Alchimista dell'ananas"
"specials.name.pineapple_barbeque","Barbecue di ananas"
"specials.name.pirate_shot","Tiro del pirata"
"specials.name.pirates_vengeance","Vendetta del pirata"
"specials.name.pixie_dust","Polvere di fatina"
"specials.name.plague_bite","Morso della Peste"
"specials.name.plague_blade","Lama della Peste"
"specials.name.planar_time_widget","Orologio temporale planare"
"specials.name.planetary_charge","Carica planetaria"
"specials.name.plantipede_sting","Puntura del piantipede"
"specials.name.plentiful_harvest","Ricco raccolto"
"specials.name.plentiful_minerals","Ricchezza mineraria"
"specials.name.plume_flash","Abbaglio di piume"
"specials.name.poem_of_the_centaurs","Poesia dei centauri"
"specials.name.poem_of_the_morass","Poesia della palude"
"specials.name.poetic_justice","Giustizia poetica"
"specials.name.poets_protection","Protezione del poeta"
"specials.name.pointy_darts","Dardi appuntiti"
"specials.name.poison_bite","Morso velenoso"
"specials.name.poison_bite_dragon_pve","Morso velenoso"
"specials.name.poison_bolt_zidane","Dardo velenoso"
"specials.name.poison_claw","Artiglio velenoso"
"specials.name.poison_jolt","Scossa velenosa"
"specials.name.poison_strike","Colpo velenoso"
"specials.name.poison_tipped_arrow","Freccia avvelenata"
"specials.name.poison_web","Ragnatela velenosa"
"specials.name.poisoned_blade","Lama velenosa"
"specials.name.poisoning_blade","Lama velenosa"
"specials.name.poisonous_mist","Nebbia velenosa"
"specials.name.poisonous_saliva","Saliva velenosa"
"specials.name.polar_bash","Colpo polare"
"specials.name.polar_night_blizzard","Bufera della notte polare"
"specials.name.poleaxe_of_the_law","Alabarda della legge"
"specials.name.polestar_expedition","Spedizione della stella polare"
"specials.name.pompous_flex","Muscoli in vista"
"specials.name.portents_of_future","Portenti del futuro"
"specials.name.possessed_strike","Colpo posseduto"
"specials.name.possessor_of_penance","Possessore di penitenza"
"specials.name.postal_pulverizer","Polverizzatore postale"
"specials.name.potion_cocktail","Cocktail di pozioni"
"specials.name.potions_of_covetous_desire","Pozioni del desiderio bramoso"
"specials.name.potions_of_covetous_desire_pve","Pozioni del desiderio bramoso"
"specials.name.potions_of_havoc_and_healing","Pozioni di scempio e guarigione"
"specials.name.pounce_of_the_lioness","Balzo della leonessa"
"specials.name.pounding_attack","Attacco martellante"
"specials.name.power_of_ajna","Potenza of Ajna"
"specials.name.power_of_flora","Potere di Flora"
"specials.name.power_of_mjolnir","Potere del Mjölnir"
"specials.name.power_of_the_forest","Potere della foresta"
"specials.name.power_of_the_void","Potere del vuoto"
"specials.name.power_punch","Pugno potente"
"specials.name.power_slam","Colpo di potenza"
"specials.name.power_wave","Onda di potenza"
"specials.name.prayer_of_the_desert","Preghiera del deserto"
"specials.name.precious_pets","Animaletti adorati"
"specials.name.precious_pets_pve_advanced","Animaletti adorati"
"specials.name.precious_pets_pve_normal","Animaletti adorati"
"specials.name.precise_chop","Taglio preciso"
"specials.name.precise_riposte","Risposta precisa"
"specials.name.preserve_and_freeze","Conserva e congela"
"specials.name.prestidigitation","Prestidigitazione"
"specials.name.prestidigitation_cross","Croce"
"specials.name.prestidigitation_skull","Teschio"
"specials.name.prestidigitation_stars","Stelle"
"specials.name.primeval_glaive","Falcione primordiale"
"specials.name.princess_unleashed","Principessa scatenata"
"specials.name.prosperity_for_domain","Prosperità per il dominio"
"specials.name.protective_aura","Aura protettiva"
"specials.name.protective_stance","Posizione protettiva"
"specials.name.protector_of_the_blue_river","Protettrice del fiume blu"
"specials.name.protein_corruption","Corruzione delle proteine"
"specials.name.protein_eater","Mangiaproteine"
"specials.name.pulsar_blast","Esplosione pulsar"
"specials.name.pulsarstrike","Colpo pulsar"
"specials.name.pulverizing_ham","Prosciutto polverizzante"
"specials.name.pummeling","Scazzottata"
"specials.name.punishing_shot","Colpo punitivo"
"specials.name.punishing_shot_pve","Colpo punitivo"
"specials.name.punishing_strike","Attacco punitivo"
"specials.name.puppy_tales","Racconti cucciolosi"
"specials.name.pure_shot","Tiro puro"
"specials.name.purification","Purificazione"
"specials.name.purifying_flame","Fiamma purificatrice"
"specials.name.purifying_flame_pve","Fiamma purificatrice"
"specials.name.purifying_hit","Colpo purificante"
"specials.name.purifying_ki","Ki purificante"
"specials.name.purifying_light","Luce purificante"
"specials.name.purifying_strike","Assalto purificante"
"specials.name.purple_beetloid_bite","Morso dello scarafoide viola"
"specials.name.pursuing_shot","Colpo a inseguimento"
"specials.name.putrid_perfume","Profumo putrido"
"specials.name.puzzling_paint","Vernice disorientante"
"specials.name.puzzling_riddle","Indovinello disorientante"
"specials.name.qilin_blade","Lama di Qilin"
"specials.name.queen_of_cards","Regina delle carte"
"specials.name.queen_of_the_depths","Imperatrice degli abissi"
"specials.name.queen_of_the_depths_final","Imperatrice degli abissi"
"specials.name.queens_blood_poisoning","Tramonto di dolore"
"specials.name.queens_curse","Tempesta di sabbia"
"specials.name.queens_curse_pve","Tempesta di sabbia"
"specials.name.quick_and_nimble","Veloce e agile"
"specials.name.rabbits_watch","Orologio del Bianconiglio"
"specials.name.raccoon_bite","Morso del procione"
"specials.name.radiant_comeback","Ritorno radioso"
"specials.name.radiant_rapid_fire","Fuoco rapido radiante"
"specials.name.radiant_shackles","Catene radiose"
"specials.name.radiant_sweep_dragon_pve","Spazzata radiante"
"specials.name.radiating_frost","Gelo radiante"
"specials.name.rage_of_grimnir","Furia di Grimnir"
"specials.name.raging_tempest","Tempesta furiosa"
"specials.name.rain_of_arrows","Pioggia di frecce"
"specials.name.rain_of_fire","Pioggia di fuoco"
"specials.name.rain_of_fire_ultimate_boss","Pioggia di fuoco"
"specials.name.raising_morale","Aumentare il morale"
"specials.name.rally_of_the_deep","Raduno degli abissi"
"specials.name.ramming_pulverizer","Polverizzatore speronante"
"specials.name.ramming_rush","Corsa speronante"
"specials.name.rapid_shots","Tiri rapidi"
"specials.name.rattle_of_confusion","Sonaglio della confusione"
"specials.name.ravaging_talons","Artigli devastanti"
"specials.name.ravening_blade","Lama famelica"
"specials.name.ravenous_pounce","Balzo famelico"
"specials.name.ravens_vigil","Veglia dei corvi"
