"specials.name.a_cozy_break","En koselig pause"
"specials.name.intimidating_stance","Skremmende stilling"
"specials.name.invigorating_pollen","Styrkende pollen"
"specials.name.invigorating_soup","Forfriskende suppe"
"specials.name.invisible_strike","Usynlig slag"
"specials.name.iron_discipline_cut","Jernviljekutt"
"specials.name.iron_rocket_fist","Jernrakettneve"
"specials.name.ironbound_fury","Ubøyelig sinne"
"specials.name.jab_and_hook","Jab og hook"
"specials.name.jack_of_owl_trades","Uglekjenner"
"specials.name.jackal_strike","Sjakalslag"
"specials.name.jade_blades","Jadeblader"
"specials.name.jaw_clamp","Spredende feller"
"specials.name.jaws_of_the_river","Elvens kjever"
"specials.name.jewel_of_the_deep","Dypets juvel"
"specials.name.join_in_joyful_song","Bli med på gledens sang"
"specials.name.joyful_noise","Gledelig støy"
"specials.name.joyful_palette","Glad palett"
"specials.name.judgement_of_goo","Slimets dom"
"specials.name.judgment_and_penance","Dom og bot"
"specials.name.judgment_of_sun","Soldommer"
"specials.name.juggling_trials","Sjongleringsprøvelser"
"specials.name.jungle_fury","Jungelvrede"
"specials.name.jungle_riposte","Jungel-ripost"
"specials.name.jungle_slash","Myrkutt"
"specials.name.just_a_flesh_wound","Bare et kjøttsår"
"specials.name.karnov","Total nedkjempelse"
"specials.name.katana_rain","Katana-regn"
"specials.name.katana_rain_pve","Katana-regn"
"specials.name.keep_the_peace","Bevar freden"
"specials.name.keyknife_typhoon","Nøkkelkniv-tyfon"
"specials.name.khans_order","Khans ordre"
"specials.name.kindled_carpet","Antent teppe"
"specials.name.kings_blood_poisoning","Sorgens natt"
"specials.name.kings_curse","Sandstorm"
"specials.name.kings_curse_pve","Sandstorm"
"specials.name.kings_feast","Kongens festmåltid"
"specials.name.kite_of_endurance","Utholdenhetsdrage"
"specials.name.kitten_stampede","Kattungetramping"
"specials.name.knights_armor","Ridders rustning"
"specials.name.knights_fury","Ridders raseri"
"specials.name.knights_parry","Ridders parering"
"specials.name.kong_smash","Kong Knus"
"specials.name.kunai_assault","Kunai-angrep"
"specials.name.lacerating_leap","Flerrende sprang"
"specials.name.lacerating_letters","Flerrende brev"
"specials.name.lacerating_whip","Flerrende pisk"
"specials.name.ladys_charm","Fruens sjarm"
"specials.name.ladys_flowers","Frues blomster"
"specials.name.lament_of_the_hunt","Klagejakten"
"specials.name.lance_of_avarice","Grådighetens lanse"
"specials.name.lance_of_torment","Lidelsens lanse"
"specials.name.lance_thrust","Lansestøt"
"specials.name.landslide","Jordras"
"specials.name.lantern_of_insanity","Galskapslykt"
"specials.name.larva_prescription","Larvemedisin"
"specials.name.lash_of_the_whip","Piskeslag"
"specials.name.lasso_of_love","Kjærlighetens lasso"
"specials.name.last_words","Siste ord"
"specials.name.laundry_day","Klesvaskdag"
"specials.name.lava_blast","Lavaeksplosjon"
"specials.name.lava_spit","Lavaspytt"
"specials.name.lava_splash_dragon_pve","Åndeildplask"
"specials.name.lavablow","Flammeangrep"
"specials.name.lavablow_pve","Flammeangrep"
"specials.name.lavaslash","Lavakrig"
"specials.name.leaf_blast","Løvskudd"
"specials.name.leafglow_bloom","Leafglow-blomstring"
"specials.name.leaping_attack","Hoppeangrep"
"specials.name.leeching_saw","Snyltesag"
"specials.name.leeching_stars","Snyltestjerner"
"specials.name.leeching_worms","Blodsukende marker"
"specials.name.legacy_of_darkness","Mørkets arv"
"specials.name.legerdemain","Fingerferdighet"
"specials.name.legerdemain_heart","Kors"
"specials.name.legerdemain_joker","Stjerner"
"specials.name.legerdemain_skull","Hodeskalle"
"specials.name.legions_of_darkness","Mørkets legioner"
"specials.name.legions_of_tyrant","Tyrannens legioner"
"specials.name.lethal_needles","Dødelige nåler"
"specials.name.lethal_needles2","Dødelige nåler"
"specials.name.levitating_lunchbox_deluxe","Svevende luksuslunsjboks"
"specials.name.lifeforce_leech","Tappe livskraft"
"specials.name.light_barrier_dragon_pve","Lysbarriere"
"specials.name.light_grenades","Lysgranater"
"specials.name.light_grenades2","Lysgranater"
"specials.name.light_my_fire","Tenn ilden min"
"specials.name.lightning_charge","Lynladning"
"specials.name.lightning_stream","Lysstrøm"
"specials.name.lightning_stream2","Lysstrøm"
"specials.name.lightning_ultimatum","Lynultimatum"
"specials.name.lightning_ultimatum_pve","Lynultimatum"
"specials.name.litter_of_kittens","Kattunger"
"specials.name.liturgy_of_the_fallen","Den falnes liturgi"
"specials.name.looking_for_love","På jakt etter kjærlighet"
"specials.name.lookouts_refreshment","Utkikkerens forfriskning"
"specials.name.loom_of_destruction","Truende ødeleggelse"
"specials.name.lord_of_the_jungle","Jungelens herre"
"specials.name.lords_blood_poisoning","Sorgens daggry"
"specials.name.love_at_first_sight","Kjærlighet ved første blikk"
"specials.name.love_conquers_all","Kjærligheten erobrer alt"
"specials.name.love_conquers_all_pve","Kjærligheten erobrer alt"
"specials.name.loving_queen","Hengiven dronning"
"specials.name.lucky_coin","Lykkemynt"
"specials.name.lucky_nine","Heldige ni"
"specials.name.luminescent_electrocution","Strålende elektrosjokk"
"specials.name.luminous_lance","Lysende lanse"
"specials.name.lunar_blessing","Månevelsignelse"
"specials.name.lunar_blessing_moon_beam","Månestråle"
"specials.name.lunar_bloom","Måneblomst"
"specials.name.lunar_locket","Månemedaljong"
"specials.name.lunar_shield","Måneskjold"
"specials.name.lunar_spear","Månespyd"
"specials.name.luring_song","Lokkende sang"
"specials.name.machinists_cutlass","Maskinists huggert"
"specials.name.mad_as_a_hatter","Gal som en hattemaker"
"specials.name.mad_rat_mania","Gal rottemani"
"specials.name.mad_tea_party","Sprøtt teselskap"
"specials.name.madrigal_of_mayhem","Madrigal om kaos"
"specials.name.mageball_blast","Magikereksplosjon"
"specials.name.mageball_blast_pve","Magikereksplosjon"
"specials.name.magic_mirror_of_power","Magisk kraftspeil"
"specials.name.magical_balan","Magisk balan"
"specials.name.magical_sword","Magisk sverd"
"specials.name.magma_boulders","Magma-kampesteiner"
"specials.name.magma_smash","Magmaslag"
"specials.name.magmatic_burns","Magmatiske brannskader"
"specials.name.magmatic_tempest","Magmatisk fristelse"
"specials.name.magnificent_meal","Storslått måltid"
"specials.name.maidens_command","Møyens befaling"
"specials.name.maidens_orders","Jomfruens ordre"
"specials.name.make_them_harmless","Gjør dem harmløs"
"specials.name.malevolent_toys","Ondsinnede leker"
"specials.name.malison_of_the_wildlands","Malison fra villmarken"
"specials.name.mallet_swing_of_the_beast","Beistets hammersving"
"specials.name.mana_immolation","Manaudødelig"
"specials.name.mana_manipulation","Manamanipulering"
"specials.name.mana_scavange","Manarensing"
"specials.name.mana_stealer","Profetens øye"
"specials.name.mantis_strike","Knelerslag"
"specials.name.marble_frenzy","Marmor-vanvidd"
"specials.name.marc","Vilt sprang"
"specials.name.mark_of_anubis","Anubis' merke"
"specials.name.mark_of_fire","Ildens merke"
"specials.name.mark_of_ivy","Eføyens merke"
"specials.name.mark_of_nature","Naturens merke"
"specials.name.mark_of_the_jackal","Sjakalens merke"
"specials.name.mark_the_prey","Merk byttet"
"specials.name.marked_aim","Merket sikte"
"specials.name.martial_dance","Kane-tapperhet"
"specials.name.martial_masterstroke","Krigersk mesterverk"
"specials.name.martial_prowess","Kampdyktighet"
"specials.name.masons_rage","Steinhuggers sinne"
"specials.name.massive_bite","Enormt bitt"
"specials.name.massive_chop","Massiv hugging"
"specials.name.massive_cleave","Massiv kapping"
"specials.name.massive_swing","Massiv sving"
"specials.name.master_of_ailments","Mester og justering"
"specials.name.master_plan","Mesterplan"
"specials.name.masterful_balance","Mesterlig balanse"
"specials.name.masterful_manipulation","Mesterlig manipulering"
"specials.name.mauling_tusk","Støttann"
"specials.name.mean_jab_dragon_pve","Ondskapsfullt slag"
"specials.name.mechanical_augmentations","Mekaniske forbedringer"
"specials.name.medicinal_drool","Medisinsk sikkel"
"specials.name.medicinal_fumes","Medisinsk damp"
"specials.name.melody_harvest","Melodi-innhøsting"
"specials.name.melody_of_mana_control","Melodi for manakontroll"
"specials.name.melody_of_misery","Lidelsens melodi"
"specials.name.memory_manipulation","Minnemanipulering"
"specials.name.memory_of_the_queen","Keiserinnens minne"
"specials.name.mending_bronze_axe","Forbedrenden bronseøks"
"specials.name.mending_mantra","Lindrende mantra"
"specials.name.mending_stitches","Helbredende sting"
"specials.name.merciless_bite","Nådeløst bitt"
"specials.name.merciless_execution","Nådeløs henrettelse"
"specials.name.merciless_pulverizer","Nådeløs pulveriserer"
"specials.name.merriest_misery","Gledeligste bedrøvelighet"
"specials.name.mesmerizing_mirror","Fortryllende speil"
"specials.name.miasma_mace","Stinkende septer"
"specials.name.midnight_magic","Midnattsmagi"
"specials.name.midnight_moon","Midnatssmåne"
"specials.name.midnight_smite","Midnattsslag"
"specials.name.midnight_strike","Midnattsangrep"
"specials.name.midsummers_dream","Midtsommersdrøm"
"specials.name.midsummers_reverie","Midsommerdrøm"
"specials.name.might_of_ares","Arenes kraft"
"specials.name.might_of_excalibroom","Excalibrooms makt"
"specials.name.might_of_the_ice_giants","Iskjempenes makt"
"specials.name.might_of_the_ice_giants_final","Iskjempenes makt"
"specials.name.mimic_bite","Etterlignerbitt"
"specials.name.mimic_bite_burn","Etsende bitt"
"specials.name.mimic_bite2","Vilt etterlignerbitt"
"specials.name.mimic_bite3","Etterlign grådighet"
"specials.name.mimic_bite4","Etterlign provosert"
"specials.name.mimic_special","Slu monster"
"specials.name.mimic_special2","Slu monster"
"specials.name.mimic_training_hero_blue_bite","Grådig fortæring"
"specials.name.mimic_training_hero_green_bite","Grådig fortæring"
"specials.name.mimic_training_hero_purple_bite","Grådig fortæring"
"specials.name.mimic_training_hero_red_bite","Grådig fortæring"
"specials.name.mimic_training_hero_yellow_bite","Grådig fortæring"
"specials.name.mind_blast","Hjernespreng"
"specials.name.mindless_attack","Tankeløst angrep"
"specials.name.minion_scrutiny","Undersåttgransking"
"specials.name.mischievous_flourish","Rampete blomstre"
"specials.name.mischievous_flourish_pve_advanced","Rampete blomstre"
"specials.name.mischievous_flourish_pve_normal","Rampete blomstre"
"specials.name.mischievous_tiein","Rampete villmann"
"specials.name.missile_mania","Kastemani"
"specials.name.mist_of_the_fallen","De falnes dis"
"specials.name.mistletoe_medley","Mistelteinsang"
"specials.name.misty_punches","Tåkeslag"
"specials.name.mixed_green_herbs","Blandede grønne urter"
"specials.name.molten_wax","Smeltet voks"
"specials.name.monastic_restraint","Monastisk begrensning"
"specials.name.monstrous_bite","Monsterbitt"
"specials.name.moody_jab_dragon_pve","Humørsykt slag"
"specials.name.mooing_for_a_fight","Breker for en kamp"
"specials.name.moon_boomerang","Månebumerang"
"specials.name.moon_crush_beam","Måneknusstråle"
"specials.name.moonlight_crescendo","Månelyscrescendo"
"specials.name.moonlight_serenade","Månelys serenade"
"specials.name.moonlight_sonata","Månelys-Sonata"
"specials.name.moonstone_glare_dragon_pve","Månstesinglød"
"specials.name.moreau_phase1_special","Blendende ondskap"
"specials.name.moreau_phase2_special1","Blendende ondskap"
"specials.name.moreau_phase2_special2","Blendende ondskap"
"specials.name.morning_catch","Morgenfangst"
"specials.name.mother_dragons_love","Moderdragens kjærlighet"
"specials.name.motherly_care","Moderlig pleie"
"specials.name.motherly_care_pve","Moderlig pleie"
"specials.name.motherly_love","Mors kjærlighet"
"specials.name.muffin_poisoning","Muffinsforgiftning"
"specials.name.multi_elemental_mark","Merke for flere elementer"
"specials.name.multi_throw","Flerkast"
"specials.name.mummy_slash","Mumiehugg"
"specials.name.mummy_strike","Mumieangrep"
"specials.name.musketeers_deal","Musketerens avtale"
"specials.name.musketeers_mead","Musketers mjød"
"specials.name.mutated_specimen","Mutert eksemplar"
"specials.name.mutating_mixture","Moden blanding"
"specials.name.mystery_potions","Mystiske eliksirer"
"specials.name.mystic_chop","Mystisk hugg"
"specials.name.mystical_concerto","Mystisk Concerto"
"specials.name.mystics_virtue","Mystisk dyd"
"specials.name.mythic_lightning","Mystisk lyn"
"specials.name.nasty_hammer","Fæl hammer"
"specials.name.natures_blessing","Berserkerraseri"
"specials.name.natures_connection","Naturens kobling"
"specials.name.natures_fury","Naturens raseri"
"specials.name.natures_payback","Naturens hevn"
"specials.name.nebula_orb","Stjernetåkekule"
"specials.name.nebula_orb_ultimate_boss","Stjernetåkekule"
"specials.name.necronomicon_page_13","Necronomicon side 13"
"specials.name.nephrite_blade","Nefritblad"
"specials.name.nethershield","Netherskjold"
"specials.name.never_ending_winter","Evig vinter"
"specials.name.night_falls","Nattefall"
"specials.name.night_of_crimes","Kriminell natt"
"specials.name.nightbloom_dust","Nattblomststøv"
"specials.name.nightglade_pollen","Nightglade-pollen"
"specials.name.nights_whisper","Nattens hvisk"
"specials.name.nimble_bite","Raskt bitt"
"specials.name.nine_dragon_strike","Ni drageangrep"
"specials.name.nobles_empathy","Nobel empati"
"specials.name.nobles_empathy_costume_artisan","Kalligrafens medfølelse"
"specials.name.nomadic_hymn","Nomadehymne"
"specials.name.northern_wanderer","Lystig unnsetning"
"specials.name.noxious_blossom","Giftig blomst"
"specials.name.noxious_chord","Skadelig akkord"
"specials.name.noxious_cleave","Skadelig hugg"
"specials.name.noxious_cleave_pve","Skadelig hugg"
"specials.name.nuts_of_yggdrasil","Yggdrasils nøtter"
"specials.name.oath_of_templar","Tempelridderens ed"
"specials.name.obliterating_surge","Utslettende bølge"
"specials.name.ocarina_windsong","Ocarina Vindsang"
"specials.name.occult_redemption","Okkult frelse"
"specials.name.ocean_vortex","Havvirvel"
"specials.name.oceanic_offensive","Oseanisk offensiv"
"specials.name.oceanic_slayer","Tidevannsslakter"
"specials.name.oceanic_suffering","Havlidelse"
"specials.name.oceans_decay","Havets forfall"
"specials.name.oceans_embrace","Havets omfavnelse"
"specials.name.oceans_ruin","Havruin"
"specials.name.odd_drum_roll","Merkelig trommevirvel"
"specials.name.oji_waza","Oji-Waza"
"specials.name.old_curse","Gammel forbannelse"
"specials.name.omega_flame","Omegaslag"
"specials.name.omega_strike_dark","Omegaslag"
"specials.name.omega_strike_fire","Omegaslag"
"specials.name.omega_strike_holy","Omegaslag"
"specials.name.omega_strike_ice","Omegaslag"
"specials.name.omega_strike_nature","Omegaslag"
"specials.name.omen_of_retribution","Gjengjeldelsens varsel"
"specials.name.omnicure","Omnikur"
"specials.name.omniheal","Omnihelbredelse"
"specials.name.omnimend","Altfiksing"
"specials.name.one_hit_wonder","Engangsmirakel"
"specials.name.one_jump_ahead","Ett hopp fremover"
"specials.name.one_spell_ahead","Én formel foran"
"specials.name.opposing_raid","Motstanderraid"
"specials.name.orchestra_of_candles","Lysenes orkester"
"specials.name.orchids_and_roses","Orkideer og roser"
"specials.name.order_ambush","Bestill bakhold"
"specials.name.order_ambush_pve","Bestill bakhold"
"specials.name.order_from_the_depths","Orden fra dypet"
"specials.name.order_to_overwhelm","Bestill for å overvelde"
"specials.name.orsoldoon","Örsöldöön"
"specials.name.overpowering_grip_dragon_pve","Overveldende grep"
"specials.name.overvlowing_whirlwind","Flommende virvelvind"
"specials.name.overwhelming_raid","Overveldende raid"
"specials.name.owls_blessing","Ugles velsignelse"
"specials.name.pacifying_presence_dragon_pve","Pasifiserende kraft"
"specials.name.pain_harvest","Smerteinnhøsting"
"specials.name.paragon_of_constellations","Konstallasjonsparagon"
"specials.name.paralyzing_spore","Lammende spore"
"specials.name.parcel_of_the_dragon_familiar","Dragekjenningpakke"
"specials.name.passion_conquers_all","Lidenskap overvinner alt"
"specials.name.pathfinders_compass","Stifinners kompass"
"specials.name.paw_in_every_pie","Poten i hver pai"
"specials.name.pawns_of_divinity","Guddommelige poter"
"specials.name.paws_or_claws","Poter eller klør"
"specials.name.peach_of_immortality","Udødelighetens fersken"
"specials.name.pearls_of_rejuvenation","Foryngelsesperler"
"specials.name.perfect_riposte","Perfekt ripost"
"specials.name.perfect_shot","Perfekt skudd"
"specials.name.perfect_teamwork","Perfekt lagarbeid"
"specials.name.perfume_cloud","Parfymesky"
"specials.name.perilous_gift","Farefull nåtid"
"specials.name.perilous_present_pve","Farefull fortid"
"specials.name.perilous_waters","Farlige farvann"
"specials.name.perplexing_riddle","Innviklet gåte"
"specials.name.pest_control","Skadedyrkontroll"
"specials.name.pet_larva","Kjæledyrlarve"
"specials.name.petals_of_nourishment","Nærende blomsterblader"
"specials.name.petrifying_knuckles","Forstenende knoker"
"specials.name.petrifying_performance","Forstenende ytelse"
"specials.name.picnic_in_the_sky","Piknik i himmelen"
"specials.name.pie_of_protection","Beskyttelsens pai"
"specials.name.piercing_falcon","Gjennomtrengende falk"
"specials.name.piercing_hit","Gjennomtrengende treff"
"specials.name.piercing_practice_slash","Gjennomtrengende øvelseshugg"
"specials.name.piercing_sabre","Gjennomtrengende sabel"
"specials.name.piercing_scream_dragon_pve","Gjennomtrengende skrik"
"specials.name.piercing_shot","Gjennomtrengende skudd"
"specials.name.piercing_strike","Gjennomtrengende angrep"
"specials.name.piercing_tusk","Gjennomtrengende støttann"
"specials.name.pincer_claw","Knipeklo"
"specials.name.pincer_claw_deadly","Knipeklo"
"specials.name.pineapple_alchemist","Ananasalkymist"
"specials.name.pineapple_barbeque","Grillet ananas"
"specials.name.pirate_shot","Piratskudd"
"specials.name.pirates_vengeance","Piratens hevn"
"specials.name.pixie_dust","Alvestøv"
"specials.name.plague_bite","Pestbitt"
"specials.name.plague_blade","Pestklinge"
"specials.name.planar_time_widget","Planar-tid-dings"
"specials.name.planetary_charge","Planetarisk ladning"
"specials.name.plantipede_sting","Plantopender-stikk"
"specials.name.plentiful_harvest","God innhøsting"
"specials.name.plentiful_minerals","Masse mineraler"
"specials.name.plume_flash","Fjærglimt"
"specials.name.poem_of_the_centaurs","Kentaur-dikt"
"specials.name.poem_of_the_morass","Morassens dikt"
"specials.name.poetic_justice","Poentisk rettferdighet"
"specials.name.poets_protection","Poets beskyttelse"
"specials.name.pointy_darts","Spisse piler"
"specials.name.poison_bite","Giftbitt"
"specials.name.poison_bite_dragon_pve","Giftbitt"
"specials.name.poison_bolt_zidane","Giftbolt"
"specials.name.poison_claw","Giftklo"
"specials.name.poison_jolt","Giftig sjokk"
"specials.name.poison_strike","Giftangrep"
"specials.name.poison_tipped_arrow","Giftpil"
"specials.name.poison_web","Giftig nett"
"specials.name.poisoned_blade","Forgiftet kniv"
"specials.name.poisoning_blade","Giftklinge"
"specials.name.poisonous_mist","Giftig tåke"
"specials.name.poisonous_saliva","Giftig spytt"
"specials.name.polar_bash","Polarslag"
"specials.name.polar_night_blizzard","Polnatt-snøstorm"
"specials.name.poleaxe_of_the_law","Lovens stridsøks"
"specials.name.polestar_expedition","Polestar-ekspedisjon"
"specials.name.pompous_flex","Pompøs spenning"
"specials.name.portents_of_future","Fremtidens tegn"
"specials.name.possessed_strike","Besatt angrep"
"specials.name.possessor_of_penance","Innehaver av bot"
"specials.name.postal_pulverizer","Postpulverisering"
"specials.name.potion_cocktail","Eliksircocktail"
"specials.name.potions_of_covetous_desire","Eliksir av begjærlig begjær"
"specials.name.potions_of_covetous_desire_pve","Eliksir av begjærlig begjær"
"specials.name.potions_of_havoc_and_healing","Eliksir for ødeleggelse og helbredelse"
"specials.name.pounce_of_the_lioness","Løvinnens angrep"
"specials.name.pounding_attack","Hamrende angrep"
"specials.name.power_of_ajna","Ajnas kraft"
"specials.name.power_of_flora","Floraens kraft"
"specials.name.power_of_mjolnir","Mjølners kraft"
"specials.name.power_of_the_forest","Skogens kraft"
"specials.name.power_of_the_void","Tomhetens kraft"
"specials.name.power_punch","Kraftslag"
"specials.name.power_slam","Kraftslamring"
"specials.name.power_wave","Kraftbølge"
"specials.name.prayer_of_the_desert","Ørkenbønn"
"specials.name.precious_pets","Dyrebare kjæledyr"
"specials.name.precious_pets_pve_advanced","Dyrebare kjæledyr"
"specials.name.precious_pets_pve_normal","Dyrebare kjæledyr"
"specials.name.precise_chop","Presist kutt"
"specials.name.precise_riposte","Presis ripost"
"specials.name.preserve_and_freeze","Konserver og frys"
"specials.name.prestidigitation","Fingerdyktighet"
"specials.name.prestidigitation_cross","Kors"
"specials.name.prestidigitation_skull","Hodeskalle"
"specials.name.prestidigitation_stars","Stjerner"
"specials.name.primeval_glaive","Urtidslanse"
"specials.name.princess_unleashed","Prinsesse frigjort"
"specials.name.prosperity_for_domain","Velstand for område"
"specials.name.protective_stance","Beskyttende stilling"
"specials.name.protector_of_the_blue_river","Beskytter av Blåelv"
"specials.name.protein_corruption","Proteinkorrupsjon"
"specials.name.protein_eater","Proteinspiser"
"specials.name.pulsar_blast","Pulseksplosjon"
"specials.name.pulsarstrike","Pulsarangrep"
"specials.name.pulverizing_ham","Pulveriserende skinke"
"specials.name.pummeling","Rundjuling"
"specials.name.punishing_shot","Straffende skudd"
"specials.name.punishing_shot_pve","Straffende skudd"
"specials.name.punishing_strike","Straffende slag"
"specials.name.puppy_tales","Valpefortellinger"
"specials.name.pure_shot","Rent skudd"
"specials.name.purification","Rensing"
"specials.name.purifying_flame","Rensende flamme"
"specials.name.purifying_flame_pve","Rensende flamme"
"specials.name.purifying_hit","Rensende treff"
"specials.name.purifying_ki","Rensende ki"
"specials.name.purifying_light","Rensende lys"
"specials.name.purifying_strike","Rensende angrep"
"specials.name.purple_beetloid_bite","Lilla billoid-bitt"
"specials.name.pursuing_shot","Jagende skudd"
"specials.name.putrid_perfume","Råtten parfyme"
"specials.name.puzzling_paint","Snodig maling"
"specials.name.puzzling_riddle","Gåtefull gåte"
"specials.name.qilin_blade","Qilin-sverd"
"specials.name.queen_of_cards","Kortenes dronning"
"specials.name.queen_of_the_depths","Dypets keiserinne"
"specials.name.queen_of_the_depths_final","Dypets keiserinne"
"specials.name.queens_blood_poisoning","Sorgens skumring"
"specials.name.queens_curse","Sandstorm"
"specials.name.queens_curse_pve","Sandstorm"
"specials.name.quick_and_nimble","Rask og kvikk"
"specials.name.rabbits_watch","Kaninens klokke"
"specials.name.raccoon_bite","Grevlingbitt"
"specials.name.radiant_comeback","Strålende comeback"
"specials.name.radiant_rapid_fire","Strålende hurtigskyting"
"specials.name.radiant_shackles","Strålende håndjern"
"specials.name.radiant_sweep_dragon_pve","Strålende sveip"
"specials.name.radiating_frost","Strålende frost"
"specials.name.rage_of_grimnir","Grimnirs raseri"
"specials.name.raging_tempest","Rasende storm"
"specials.name.rain_of_arrows","Pilregn"
"specials.name.rain_of_fire","Ildregn"
"specials.name.rain_of_fire_ultimate_boss","Ildregn"
"specials.name.raising_morale","Økende moral"
"specials.name.rally_of_the_deep","Dypets samling"
"specials.name.ramming_pulverizer","Knuser"
"specials.name.ramming_rush","Knuserush"
"specials.name.rapid_shots","Hurtigskudd"
"specials.name.rattle_of_confusion","Forvirringsrangle"
"specials.name.ravaging_talons","Plyndre klør"
"specials.name.ravening_blade","Rovgriskt sverd"
"specials.name.ravenous_pounce","Glupskt slag"
"specials.name.ravens_vigil","Ravnens våke"
"specials.name.ravens_watch","Ravnens klokke"
"specials.name.ray_strike","Stråleangrep"
"specials.name.razor_smile","Kuttende smil"
"specials.name.reanimated_spite","Gjenoppvekket plage"
"specials.name.reanimated_spite_pve","Gjenoppvekket plage"
"specials.name.reckless_charge","Hensynsløst angrep"
"specials.name.reckless_finisher","Hensynsløst avslutningstrekk"
"specials.name.reckless_slash","Hensynsløst hugg"
"specials.name.reckless_stab","Hensynsløst stikk"
"specials.name.reckless_swing","Hensynsløst sving"
"specials.name.reckless_sword_swings","Hensynsløse sverdsving"
"specials.name.red_lizard_charge","Rødt kamofirfisle-angrep"
"specials.name.red_shoes","Røde sko"
"specials.name.red_sparks_dragon_pve","Rød gnist"
"specials.name.reef_blast","Reveksplosjon"
"specials.name.reflecting_stance","Reflekterende stilling"
"specials.name.regal_claws","Kongelige klør"
"specials.name.regal_spearhead","Regalt spydhode"
"specials.name.regeneration","Regenerering"
"specials.name.rejuvenating_elixir","Fornyende eliksir"
"specials.name.rejuvenating_leap","Fornyende sprang"
"specials.name.relaxing_riddle","Avslappende gåte"
"specials.name.relentless_brawler","Nådeløs bråkmaker"
"specials.name.remedies_and_diseases","Legemidler og sykdommer"
"specials.name.rending_dagger","Kuttedolk"
"specials.name.reporting_for_duty","Rapporterer til tjeneste"
"specials.name.resolute_spirit","Resolutt ånd"
"specials.name.resolute_spirit2","Resolutt ånd"
"specials.name.restoration_and_annihilation","Gjenvinning og utslettelse"
"specials.name.resurrection_of_the_fallen","Gjenoppståelse av den falne"
"specials.name.resurrection_of_the_fallen_kemeny","Gjenoppståelse av den falne"
"specials.name.revengeful_smite","Hevngjerrig slag"
"specials.name.reverse_recovery","Omvendt innhenting"
"specials.name.reversed_lifeforce","Reversert livskraft"
"specials.name.revitalizing_melody","Revitaliserende melodi"
"specials.name.revitalizing_orb","Revitaliserende kule"
"specials.name.revitalizing_sludge","Revitaliserende slam"
"specials.name.reviving_touch","Gjenopplivende berøring"
"specials.name.rhythm_of_havoc","Ødeleggelsens rytme"
"specials.name.riches_to_poor","Rikdom til fattigdom"
"specials.name.ricochet_bolt","Rikosjettbolt"
"specials.name.riddle_of_the_moon","Månegåte"
"specials.name.riddle_of_the_sun","Solgåte"
"specials.name.riders_arrow","Rytterpil"
"specials.name.riders_lance","Rytterlanse"
"specials.name.rift_blade","Riftklinge"
"specials.name.righteous_pulverizer","Rettferdig pulveriserer"
"specials.name.righteous_revenge","Rettferdig hevn"
"specials.name.righteous_stance","Rettferdig holdning"
"specials.name.righteous_strike","Rettferdig slag"
"specials.name.rime_heart","Rimhjerte"
"specials.name.ring_around_the_rosie","Ring rundt Rosie"
"specials.name.rite_of_cuteness","Toon-dommer"
"specials.name.rite_of_glass","Glassdom"
"specials.name.rite_of_judgement","Dommens rite"
"specials.name.rites_of_inner_knowledge","Riter av indre kunnskap"
"specials.name.ritual_of_judgement","Dommens ritual"
"specials.name.ritual_of_the_deep","Dypets rituale"
"specials.name.ritual_of_the_elements","Elementenes ritual"
"specials.name.roadside_surprise","Overraskelse langs veien"
"specials.name.roar_of_the_panther","Panterens brøl"
"specials.name.rockfall_bash","Steinfallslag"
"specials.name.rod_of_freedom","Frihetens stav"
"specials.name.rod_of_torment","Pinens kjepp"
"specials.name.roman_cleave","Spartan-rush"
"specials.name.roots_of_wrath","Vredens røtter"
"specials.name.roots_of_yggdrasil","Yggdrasils røtter"
"specials.name.rose_bouquet_blast","Rosebukettskudd"
"specials.name.rotting_wound_dragon_pve","Råtnende sår"
"specials.name.rottman","Gal rottemani"
"specials.name.rough_and_tumble","Røft og fall"
"specials.name.royal_assault","Kongelig angrep"
"specials.name.royal_blades","Kongelige sverd"
"specials.name.royal_meatball_buffet","Kongelig kjøttbollebuffé"
"specials.name.royal_poisoner","Kongelig forgifter"
"specials.name.ruby_rush","Rubinrush"
"specials.name.rude_awakening","Frekk oppvåkning"
"specials.name.ruler_of_seas","Havets hersker"
"specials.name.ruler_of_seas_deadly","Havets hersker"
"specials.name.rural_chop","Landlig hugg"
"specials.name.rush_of_flame","Flammerush"
"specials.name.rushed_melody","Forhastet melodi"
"specials.name.rusty_blade","Rustklinge"
"specials.name.ruthless_gambit","Hensynsløs gambit"
"specials.name.sable_slasher","Sabelhogger"
"specials.name.sacrament_of_salvation","Frelsens sakrament"
"specials.name.sacred_horns","Hellige horn"
"specials.name.sacred_reflection","Hellig refleksjon"
"specials.name.saga_of_deliverance","Befrielsessaga"
"specials.name.saga_of_protection","Beskyttelsessaga"
"specials.name.salty_splash_dragon_pve","Saltsprut"
"specials.name.sanction_for_heresy","Sanksjon for kjetteri"
"specials.name.sanctuary_of_light","Lysets tilfluktssted"
"specials.name.sand_cyclone","Sandsyklon"
"specials.name.sand_cyclone_pve","Sandsyklon"
"specials.name.sand_wave_rana","Surf i vei"
"specials.name.sand_wave_yunan","Wipeout"
"specials.name.sandstorm_strike","Sandstormangrep"
"specials.name.sandworm_strike","Sandormangrep"
