"specials.name.a_cozy_break","Miellyttävä tauko"
"specials.name.hydra_bite","Ikitursaan puraisu"
"specials.name.hymn_of_enrichment","Rikastuttava hymni"
"specials.name.hyper_porridge","Hyperpuuro"
"specials.name.hyperborean_hook","Hyperborealainen koukku"
"specials.name.hypersonic_tackle","Yliäänitaklaus"
"specials.name.hypnosis_dragon_pve","Hypnoosi"
"specials.name.ice_and_slice","Jäätävä siivutus"
"specials.name.ice_boom","Jääpaukku"
"specials.name.ice_cold_order","Jäänkylmä käsky"
"specials.name.ice_cream_smash","Jäätelöpläjäys"
"specials.name.ice_treatment","Jäähoito"
"specials.name.iceberg_aura","Jäävuoren aura"
"specials.name.iceberg_crush","Jäävuoren rusennus"
"specials.name.iceberg_havoc","Jäävuoren hävitys"
"specials.name.icebound_howl","Hyytävä ulvonta"
"specials.name.icebound_ritual","Jäähän sidottu rituaali"
"specials.name.icecold_finisher","Jääkylmä viimeistelijä"
"specials.name.icehammer_smash","Jäävasaran paukautus"
"specials.name.iceshatter","Jäänmurtaja"
"specials.name.icy_axes","Jäiset kirveet"
"specials.name.icy_mandibles","Jäiset leuat"
"specials.name.icy_resilience","Jäinen joustavuus"
"specials.name.ill_bring_you_back","Minä tuon sinut takaisin"
"specials.name.ill_fated_experiment","Kohtalokas koe"
"specials.name.imaginary_increments","Kuvitteellista kasvua"
"specials.name.immortal_annihilator","Kuolematon tuhoaja"
"specials.name.immortal_annihilator_deadly","Kuolematon tuhoaja"
"specials.name.immortal_punisher","Kuolematon rankaisija"
"specials.name.impairing_strike","Heikentävä isku"
"specials.name.impale_and_devour","Lävistä ja ahmaise"
"specials.name.impeccable_charge","Moitteeton rynnäkkö"
"specials.name.impeding_bolts","Estovasamat"
"specials.name.impervious_formation","Läpäisemätön muodostelma"
"specials.name.impossible_groove","Mahdotonta jorausta"
"specials.name.impossible_riddle","Mahdoton arvoitus"
"specials.name.incite_ki","Kin lietsominen"
"specials.name.incite_ki2","Kin lietsominen"
"specials.name.indestructible_claw","Tuhoutumaton kynsi"
"specials.name.indifferent_blade","Piittaamaton terä"
"specials.name.inevitable_demise","Vääjäämätön tuho"
"specials.name.infernal_chops","Pirulliset iskut"
"specials.name.infernal_drumstorm","Infernaalinen rumpumyrsky"
"specials.name.infernal_flames","Pirulliset liekit"
"specials.name.infernal_jaws","Pirullinen kita"
"specials.name.ink_bomb","Mustepommi"
"specials.name.innovative_lunge","Innovatiivinen pisto"
"specials.name.insidious_goo","Salakavala mönjä"
"specials.name.inspiring_fencing","Motivoivaa miekkailua"
"specials.name.insurmountable_flux","Ylittämätön virtaus"
"specials.name.intimidating_stance","Uhkaava asento"
"specials.name.invigorating_pollen","Virkistävä siitepöly"
"specials.name.invigorating_soup","Virkistävä keitto"
"specials.name.invisible_strike","Näkymätön isku"
"specials.name.iron_discipline_cut","Rautaisen itsekurin viilto"
"specials.name.iron_rocket_fist","Rautainen rakettinyrkki"
"specials.name.ironbound_fury","Kahlittu raivo"
"specials.name.jab_and_hook","Isku ja koukku"
"specials.name.jack_of_owl_trades","Jokapaikanpöllö"
"specials.name.jackal_strike","Sakaalin isku"
"specials.name.jade_blades","Jademiekat"
"specials.name.jaw_clamp","Ansojen levitys"
"specials.name.jaws_of_the_river","Joen leuat"
"specials.name.jewel_of_the_deep","Syvyyksien jalokivi"
"specials.name.join_in_joyful_song","Iloinen yhteislaulu"
"specials.name.joyful_noise","Iloinen ääni"
"specials.name.joyful_palette","Iloinen väripaletti"
"specials.name.judgement_of_goo","Mönjän tuomio"
"specials.name.judgment_of_sun","Auringon tuomio"
"specials.name.juggling_trials","Keilojen koetukset"
"specials.name.jungle_fury","Viidakkoraivo"
"specials.name.jungle_riposte","Viidakkoriposti"
"specials.name.jungle_slash","Suosivallus"
"specials.name.just_a_flesh_wound","Vain lihashaava"
"specials.name.karnov","Totaalinen turpasauna"
"specials.name.katana_rain","Katana-sade"
"specials.name.katana_rain_pve","Katana-sade"
"specials.name.keep_the_peace","Rauhanturvaus"
"specials.name.keyknife_typhoon","Avainveitsitaifuuni"
"specials.name.khans_order","Khanin komento"
"specials.name.kindled_carpet","Kipinöivä matto"
"specials.name.kings_blood_poisoning","Surun yö"
"specials.name.kings_curse","Hiekkamyrsky"
"specials.name.kings_curse_pve","Hiekkamyrsky"
"specials.name.kings_feast","Kuninkaan juhla-ateria"
"specials.name.kite_of_endurance","Kestävyyden leija"
"specials.name.kitten_stampede","Kissanpentulauma"
"specials.name.knights_armor","Ritarin haarniska"
"specials.name.knights_fury","Ritarin raivo"
"specials.name.knights_parry","Ritarin torjunta"
"specials.name.kong_smash","Kong murskaa"
"specials.name.kunai_assault","Kunai-hyökkäys"
"specials.name.lacerating_leap","Silpomisloikka"
"specials.name.lacerating_letters","Silpovat kirjeet"
"specials.name.lacerating_whip","Sivaltava ruoska"
"specials.name.ladys_charm","Valtiattaren hurma"
"specials.name.ladys_flowers","Neidon kukkaset"
"specials.name.lament_of_the_hunt","Metsästyksen haikeus"
"specials.name.lance_of_avarice","Ahneuden peitsi"
"specials.name.lance_of_torment","Piinaava peitsi"
"specials.name.lance_thrust","Peitsen pisto"
"specials.name.landslide","Maanvyörymä"
"specials.name.lantern_of_insanity","Hulluuden lyhty"
"specials.name.larva_prescription","Toukkahoito"
"specials.name.lash_of_the_whip","Ruoskan sivallus"
"specials.name.last_words","Viimeiset sanat"
"specials.name.laundry_day","Pyykkipäivä"
"specials.name.lava_blast","Laavapaukku"
"specials.name.lava_spit","Laavasylkäisy"
"specials.name.lava_splash_dragon_pve","Palavasieluinen loiskahdus"
"specials.name.lavablow","Liekkihyökkäys"
"specials.name.lavablow_pve","Liekkihyökkäys"
"specials.name.lavaslash","Laavasilpaisu"
"specials.name.leaf_blast","Lehtiryöppy"
"specials.name.leafglow_bloom","Lehtevä kukoistus"
"specials.name.leaping_attack","Hyppyhyökkäys"
"specials.name.leeching_saw","Juotikassaha"
"specials.name.leeching_stars","Juotikastähdet"
"specials.name.leeching_worms","Juotikkaat"
"specials.name.legacy_of_darkness","Pimeyden perintö"
"specials.name.legerdemain","Silmänkääntötemppu"
"specials.name.legerdemain_heart","Risti"
"specials.name.legerdemain_joker","Tähdet"
"specials.name.legerdemain_skull","Kallo"
"specials.name.legions_of_darkness","Pimeyden legioonat"
"specials.name.legions_of_tyrant","Tyrannin legioonat"
"specials.name.lethal_needles","Tappavat neulat"
"specials.name.lethal_needles2","Tappavat neulat"
"specials.name.levitating_lunchbox_deluxe","Levitoiva luksuseväsrasia"
"specials.name.lifeforce_leech","Elämää imevä juotikas"
"specials.name.light_barrier_dragon_pve","Valoeste"
"specials.name.light_grenades","Valokranaatit"
"specials.name.light_grenades2","Valokranaatit"
"specials.name.light_my_fire","Sytytä liekkini"
"specials.name.lightning_charge","Salamarynnistys"
"specials.name.lightning_stream","Salamavirta"
"specials.name.lightning_stream2","Salamavirta"
"specials.name.lightning_ultimatum","Salamoiva uhkavaade"
"specials.name.lightning_ultimatum_pve","Salamoiva uhkavaade"
"specials.name.litter_of_kittens","Kissapentue"
"specials.name.liturgy_of_the_fallen","Kaatuneiden liturgia"
"specials.name.looking_for_love","Rakkautta etsimässä"
"specials.name.lookouts_refreshment","Tähystäjän eväät"
"specials.name.loom_of_destruction","Tuhon rukki"
"specials.name.lord_of_the_jungle","Viidakon valtias"
"specials.name.lords_blood_poisoning","Surun aamunsarastus"
"specials.name.love_at_first_sight","Rakkautta ensisilmäyksellä"
"specials.name.love_conquers_all","Rakkaus voittaa kaiken"
"specials.name.love_conquers_all_pve","Rakkaus voittaa kaiken"
"specials.name.loving_queen","Rakastava kuningatar"
"specials.name.lucky_coin","Onnenkolikko"
"specials.name.lucky_nine","Onnekas yhdeksän"
"specials.name.luminescent_electrocution","Loistava sähköisku"
"specials.name.luminous_lance","Hohtava peitsi"
"specials.name.lunar_blessing","Kuun siunaus"
"specials.name.lunar_blessing_moon_beam","Kuunsäde"
"specials.name.lunar_bloom","Kuun kukoistus"
"specials.name.lunar_locket","Kuuriipus"
"specials.name.lunar_shield","Kuukilpi"
"specials.name.lunar_spear","Kuun keihäs"
"specials.name.luring_song","Lumoava laulu"
"specials.name.machinists_cutlass","Konemestarin sapeli"
"specials.name.mad_as_a_hatter","Hullu kuin hatuntekijä"
"specials.name.mad_rat_mania","Hullun rotan mania"
"specials.name.mad_tea_party","Hullut teekutsut"
"specials.name.madrigal_of_mayhem","Myllertävä madrigaali"
"specials.name.mageball_blast","Maagipalloheitto"
"specials.name.mageball_blast_pve","Maagipalloheitto"
"specials.name.magic_mirror_of_power","Vallan taikapeili"
"specials.name.magical_balan","Maaginen balafoni"
"specials.name.magical_sword","Maaginen miekka"
"specials.name.magma_boulders","Magmamurikat"
"specials.name.magma_smash","Magmamurskaus"
"specials.name.magmatic_burns","Magman polttamat"
"specials.name.magmatic_tempest","Magmamyrsky"
"specials.name.magnificent_meal","Maittava ateria"
"specials.name.maidens_command","Neidon käsky"
"specials.name.maidens_orders","Neidon käskyt"
"specials.name.make_them_harmless","Harmittomaksi muuttaminen"
"specials.name.malevolent_toys","Pahansuovat lelut"
"specials.name.malison_of_the_wildlands","Erämaan kirous"
"specials.name.mallet_swing_of_the_beast","Pedon nuijaheilautus"
"specials.name.mana_immolation","Polttava mana"
"specials.name.mana_manipulation","Manan manipulointi"
"specials.name.mana_scavange","Manan keräys"
"specials.name.mana_stealer","Profeetan silmä"
"specials.name.mantis_strike","Sirkan isku"
"specials.name.marble_frenzy","Marmoririeha"
"specials.name.marc","Mielipuolinen syöksy"
"specials.name.mark_of_anubis","Anubiksen merkki"
"specials.name.mark_of_fire","Tulen merkki"
"specials.name.mark_of_ivy","Muratin jälki"
"specials.name.mark_of_nature","Luonnon merkki"
"specials.name.mark_of_the_jackal","Sakaalin merkki"
"specials.name.mark_the_prey","Saaliin merkki"
"specials.name.marked_aim","Tarkka tähtäys"
"specials.name.martial_dance","Kanen taituruus"
"specials.name.martial_masterstroke","Mestarillinen isku"
"specials.name.martial_prowess","Sotataitavuus"
"specials.name.masons_rage","Muurarin raivo"
"specials.name.massive_bite","Massiivinen puraisu"
"specials.name.massive_chop","Massiivinen lyönti"
"specials.name.massive_cleave","Valtava halkaisu"
"specials.name.massive_swing","Massiivinen heilautus"
"specials.name.master_of_ailments","Vaivojen mestari"
"specials.name.master_plan","Mestarillinen suunnitelma"
"specials.name.masterful_balance","Mestarillinen tasapaino"
"specials.name.masterful_manipulation","Mestarillinen manipulointi"
"specials.name.mauling_tusk","Runteleva torahammas"
"specials.name.mean_jab_dragon_pve","Ilkeä pisto"
"specials.name.mechanical_augmentations","Mekaaniset tehostukset"
"specials.name.medicinal_drool","Lääkitsevä kuola"
"specials.name.medicinal_fumes","Lääkehöyryt"
"specials.name.melody_harvest","Melodinen sadonkorjuu"
"specials.name.melody_of_mana_control","Mananhallinnan melodia"
"specials.name.melody_of_misery","Kurjuuden melodia"
"specials.name.memory_manipulation","Muistin manipulointi"
"specials.name.memory_of_the_queen","Keisarinnan muisto"
"specials.name.mending_bronze_axe","Korjaava pronssikirves"
"specials.name.mending_mantra","Parannusmantra"
"specials.name.mending_stitches","Parantavat tikit"
"specials.name.merciless_bite","Armoton puraisu"
"specials.name.merciless_execution","Armoton teloitus"
"specials.name.merciless_pulverizer","Armoton jauhin"
"specials.name.merriest_misery","Iloista kurjuutta"
"specials.name.mesmerizing_mirror","Hypnotisoiva peili"
"specials.name.miasma_mace","Lamauttava nuija"
"specials.name.midnight_magic","Keskiyön taikaa"
"specials.name.midnight_moon","Keskiyön kuu"
"specials.name.midnight_smite","Keskiyön taikaisku"
"specials.name.midnight_strike","Keskiyön isku"
"specials.name.midsummers_dream","Juhannusunelma"
"specials.name.midsummers_reverie","Juhannusrieha"
"specials.name.might_of_ares","Aresin voima"
"specials.name.might_of_excalibroom","Excaliluudan mahti"
"specials.name.might_of_the_ice_giants","Jääjättien voima"
"specials.name.might_of_the_ice_giants_final","Jääjättien voima"
"specials.name.mimic_bite","Matkijan puraisu"
"specials.name.mimic_bite_burn","Syövyttävä puraisu"
"specials.name.mimic_bite2","Matkijan raivoisa puraisu"
"specials.name.mimic_bite3","Matkijan ahneus"
"specials.name.mimic_bite4","Matkijan härnäys"
"specials.name.mimic_special","Juonikas hirviö"
"specials.name.mimic_special2","Juonikas hirviö"
"specials.name.mimic_training_hero_blue_bite","Ahnas haukkaus"
"specials.name.mimic_training_hero_green_bite","Ahnas haukkaus"
"specials.name.mimic_training_hero_purple_bite","Ahnas haukkaus"
"specials.name.mimic_training_hero_red_bite","Ahnas haukkaus"
"specials.name.mimic_training_hero_yellow_bite","Ahnas haukkaus"
"specials.name.mind_blast","Mieli-isku"
"specials.name.mindless_attack","Mieletön hyökkäys"
"specials.name.minion_scrutiny","Käskyläisten syynäys"
"specials.name.mischievous_flourish","Ilkikurista hienostelua"
"specials.name.mischievous_flourish_pve_advanced","Ilkikurista hienostelua"
"specials.name.mischievous_flourish_pve_normal","Ilkikurista hienostelua"
"specials.name.mischievous_tiein","Kytkykälli"
"specials.name.missile_mania","Ammusmania"
"specials.name.mist_of_the_fallen","Kaatuneiden usva"
"specials.name.mistletoe_medley","Mistelimikstuura"
"specials.name.misty_punches","Sumuiset lyönnit"
"specials.name.mixed_green_herbs","Vihreä yrttisekoitus"
"specials.name.molten_wax","Sulaa vahaa"
"specials.name.monastic_restraint","Munkin maltti"
"specials.name.monstrous_bite","Hirviömäinen puraisu"
"specials.name.moody_jab_dragon_pve","Apea pisto"
"specials.name.mooing_for_a_fight","Taisteluammunta"
"specials.name.moon_boomerang","Kuubumerangi"
"specials.name.moon_crush_beam","Kuunpölysäde"
"specials.name.moonlight_crescendo","Kuunvalon kirkkaus"
"specials.name.moonlight_serenade","Kuutamoserenadi"
"specials.name.moonlight_sonata","Kuutamosonaatti"
"specials.name.moonstone_glare_dragon_pve","Kuukiven häikäisy"
"specials.name.moreau_phase1_special","Sokaiseva pahuus"
"specials.name.moreau_phase2_special1","Sokaiseva pahuus"
"specials.name.moreau_phase2_special2","Sokaiseva pahuus"
"specials.name.morning_catch","Aamun saalis"
"specials.name.mother_dragons_love","Lohikäärme-emon rakkaus"
"specials.name.motherly_care","Äidin hoiva"
"specials.name.motherly_care_pve","Äidin hoiva"
"specials.name.motherly_love","Äidillinen rakkaus"
"specials.name.muffin_poisoning","Muffinimyrkytys"
"specials.name.multi_elemental_mark","Monen elementin merkki"
"specials.name.multi_throw","Moniheitto"
"specials.name.mummy_slash","Muumion sivallus"
"specials.name.mummy_strike","Muumion isku"
"specials.name.musketeers_deal","Musketöörin sopimus"
"specials.name.musketeers_mead","Musketöörin sima"
"specials.name.mutated_specimen","Mutatoitunut yksilö"
"specials.name.mutating_mixture","Mutatoiva sekoitus"
"specials.name.mystery_potions","Mysteerijuomat"
"specials.name.mystic_chop","Mystinen lyönti"
"specials.name.mystical_concerto","Mystinen konsertto"
"specials.name.mystics_virtue","Mystikon hyve"
"specials.name.mythic_lightning","Myyttinen salama"
"specials.name.nasty_hammer","Ikävä moukari"
"specials.name.natures_blessing","Berserkin raivo"
"specials.name.natures_connection","Luontoyhteys"
"specials.name.natures_fury","Luonnon raivo"
"specials.name.natures_payback","Luonnon vastaisku"
"specials.name.nebula_orb","Tähtisumupallo"
"specials.name.nebula_orb_ultimate_boss","Tähtisumupallo"
"specials.name.necronomicon_page_13","Necronomiconin 13. sivu"
"specials.name.nephrite_blade","Nefriittiterä"
"specials.name.nethershield","Tuonen suoja"
"specials.name.never_ending_winter","Ikitalvi"
"specials.name.night_falls","Yö laskeutuu"
"specials.name.night_of_crimes","Rikosten yö"
"specials.name.nightbloom_dust","Öisen kukan tomu"
"specials.name.nightglade_pollen","Nightgladen siitepöly"
"specials.name.nights_whisper","Yön kuiskaus"
"specials.name.nimble_bite","Näppärä puraisu"
"specials.name.nine_dragon_strike","Yhdeksän lohikäärmeen isku"
"specials.name.nobles_empathy","Aatelisen empatia"
"specials.name.nobles_empathy_costume_artisan","Kalligraafikon empatia"
"specials.name.nomadic_hymn","Kiertolaisen hymni"
"specials.name.northern_wanderer","Reipas auttaja"
"specials.name.noxious_blossom","Myrkyllinen kukka"
"specials.name.noxious_chord","Myrkyllinen sointu"
"specials.name.noxious_cleave","Myrkyllinen halkaisu"
"specials.name.noxious_cleave_pve","Myrkyllinen halkaisu"
"specials.name.nuts_of_yggdrasil","Yggdrasilin pähkinät"
"specials.name.oath_of_templar","Temppeliritarin vala"
"specials.name.obliterating_surge","Tuhoava aalto"
"specials.name.ocarina_windsong","Tuulilaulu okariinalla"
"specials.name.occult_redemption","Salattu lunastus"
"specials.name.ocean_vortex","Meripyörre"
"specials.name.oceanic_offensive","Hyökkäys mereltä"
"specials.name.oceanic_slayer","Vuorovetten surmaaja"
"specials.name.oceanic_suffering","Merellinen kärsimys"
"specials.name.oceans_decay","Valtameren rapautus"
"specials.name.oceans_embrace","Meren syleily"
"specials.name.oceans_ruin","Valtameren turmio"
"specials.name.odd_drum_roll","Outo rummutus"
"specials.name.oji_waza","Oji-Waza"
"specials.name.old_curse","Vanha kirous"
"specials.name.omega_flame","Omega-isku"
"specials.name.omega_strike_dark","Omega-isku"
"specials.name.omega_strike_fire","Omega-isku"
"specials.name.omega_strike_holy","Omega-isku"
"specials.name.omega_strike_ice","Omega-isku"
"specials.name.omega_strike_nature","Omega-isku"
"specials.name.omen_of_retribution","Koston enne"
"specials.name.omnicure","Kaikkivoipa lääke"
"specials.name.omniheal","Kokoparannus"
"specials.name.omnimend","Monikorjaus"
"specials.name.one_hit_wonder","Yhden iskun ihme"
"specials.name.one_jump_ahead","Loikan verran edellä"
"specials.name.one_spell_ahead","Loitsun verran edellä"
"specials.name.opposing_raid","Vastarynnäkkö"
"specials.name.orchestra_of_candles","Kynttiläorkesteri"
"specials.name.orchids_and_roses","Orkideoja ja ruusuja"
"specials.name.order_ambush","Väijytyskäsky"
"specials.name.order_ambush_pve","Väijytyskäsky"
"specials.name.order_from_the_depths","Käsky syvyyksistä"
"specials.name.order_to_overwhelm","Valtauskäsky"
"specials.name.orsoldoon","Örsöldöön"
"specials.name.overpowering_grip_dragon_pve","Ylivoimainen ote"
"specials.name.overvlowing_whirlwind","Ylipursuava pyörremyrsky"
"specials.name.overwhelming_raid","Jyräävä rynnäkkö"
"specials.name.owls_blessing","Pöllön siunaus"
"specials.name.pacifying_presence_dragon_pve","Rauhoittava voima"
"specials.name.pain_harvest","Kivunkorjaaja"
"specials.name.paragon_of_constellations","Tähtikuvioitu sankari"
"specials.name.paralyzing_spore","Halvaannuttava itiö"
"specials.name.parcel_of_the_dragon_familiar","Lohikäärmelemmikin paketti"
"specials.name.pathfinders_compass","Suunnannäyttäjän kompassi"
"specials.name.paw_in_every_pie","Tassu joka piirakassa"
"specials.name.pawns_of_divinity","Jumalten pelinappulat"
"specials.name.paws_or_claws","Tassut vai kynnet"
"specials.name.peach_of_immortality","Kuolemattomuuden persikka"
"specials.name.pearls_of_rejuvenation","Elvytyksen helmet"
"specials.name.perfect_riposte","Täydellinen vastaisku"
"specials.name.perfect_shot","Täydellinen laukaus"
"specials.name.perfect_teamwork","Täydellistä tiimityötä"
"specials.name.perfume_cloud","Parfyymipilvi"
"specials.name.perilous_gift","Vaarallinen lahja"
"specials.name.perilous_present_pve","Vaarallinen lahja"
"specials.name.perilous_waters","Vaaralliset vedet"
"specials.name.perplexing_riddle","Askarruttava arvoitus"
"specials.name.pest_control","Tuholaistorjunta"
"specials.name.pet_larva","Lemmikkitoukka"
"specials.name.petals_of_nourishment","Ravitsemuksen terälehdet"
"specials.name.petrifying_knuckles","Kivettävät rystyset"
"specials.name.petrifying_performance","Kivettävä esitys"
"specials.name.picnic_in_the_sky","Eväsretki yläilmoissa"
"specials.name.pie_of_protection","Suojaava piiras"
"specials.name.piercing_falcon","Iskevä haukka"
"specials.name.piercing_hit","Pistävä lyönti"
"specials.name.piercing_practice_slash","Pistävä harjoituslyönti"
"specials.name.piercing_sabre","Pistävä sapeli"
"specials.name.piercing_scream_dragon_pve","Viiltävä huuto"
"specials.name.piercing_shot","Lävistävä laukaus"
"specials.name.piercing_strike","Pistävä isku"
"specials.name.piercing_tusk","Pistävä syöksyhammas"
"specials.name.pincer_claw","Saksien nipistys"
"specials.name.pincer_claw_deadly","Saksien nipistys"
"specials.name.pineapple_alchemist","Ananas-alkemisti"
"specials.name.pineapple_barbeque","Grillattu ananas"
"specials.name.pirate_shot","Merirosvon laukaus"
"specials.name.pirates_vengeance","Merirosvon kosto"
"specials.name.pixie_dust","Keijupöly"
"specials.name.plague_bite","Ruttopuraisu"
"specials.name.plague_blade","Ruttomiekka"
"specials.name.planar_time_widget","Litteä aikahärveli"
"specials.name.planetary_charge","Planetaarinen rynnäkkö"
"specials.name.plantipede_sting","Kasvijalkaisen pisto"
"specials.name.plentiful_harvest","Runsas sadonkorjuu"
"specials.name.plentiful_minerals","Runsas mineraalisaalis"
"specials.name.plume_flash","Sulkavälähdys"
"specials.name.poem_of_the_centaurs","Kentaurien runo"
"specials.name.poem_of_the_morass","Suohon laulamisen runo"
"specials.name.poetic_justice","Runollinen oikeus"
"specials.name.poets_protection","Runoilijan suoja"
"specials.name.pointy_darts","Terävät tikat"
"specials.name.poison_bite","Myrkkypuraisu"
"specials.name.poison_bite_dragon_pve","Myrkkypuraisu"
"specials.name.poison_bolt_zidane","Myrkkyvasama"
"specials.name.poison_claw","Myrkkykäpälä"
"specials.name.poison_jolt","Myrkkytäräys"
"specials.name.poison_strike","Myrkkyisku"
"specials.name.poison_tipped_arrow","Myrkkykärkinen nuoli"
"specials.name.poison_web","Myrkkyverkko"
"specials.name.poisoned_blade","Myrkkyveitsi"
"specials.name.poisoning_blade","Myrkytysterä"
"specials.name.poisonous_mist","Myrkkyusva"
"specials.name.poisonous_saliva","Myrkkysylki"
"specials.name.polar_bash","Jäätävä lyönti"
"specials.name.polar_night_blizzard","Napayön lumimyrsky"
"specials.name.poleaxe_of_the_law","Lain salkokirves"
"specials.name.polestar_expedition","Pohjantähden retkikunta"
"specials.name.pompous_flex","Mahtailevaa pullistelua"
"specials.name.portents_of_future","Enteitä tulevasta"
"specials.name.possessed_strike","Riivatun isku"
"specials.name.possessor_of_penance","Katumuksen harjoittaja"
"specials.name.postal_pulverizer","Raivoisa murskaus"
"specials.name.potion_cocktail","Taikajuomacocktail"
"specials.name.potions_of_covetous_desire","Himoavan halun taikajuomat"
"specials.name.potions_of_covetous_desire_pve","Himoavan halun taikajuomat"
"specials.name.potions_of_havoc_and_healing","Hävitys- ja parannusjuomat"
"specials.name.pounce_of_the_lioness","Naarasleijonan loikka"
"specials.name.pounding_attack","Takova hyökkäys"
"specials.name.power_of_ajna","Ajnan mahti"
"specials.name.power_of_flora","Kasvien voima"
"specials.name.power_of_mjolnir","Mjölnirin voima"
"specials.name.power_of_the_forest","Metsän voima"
"specials.name.power_of_the_void","Tyhjiön voima"
"specials.name.power_punch","Teholyönti"
"specials.name.power_slam","Voimaläimäys"
"specials.name.power_wave","Voima-aalto"
"specials.name.prayer_of_the_desert","Aavikon rukous"
"specials.name.precious_pets","Arvokkaat lemmikit"
"specials.name.precious_pets_pve_advanced","Arvokkaat lemmikit"
"specials.name.precious_pets_pve_normal","Arvokkaat lemmikit"
"specials.name.precise_chop","Tarkka isku"
"specials.name.precise_riposte","Tarkka riposti"
"specials.name.preserve_and_freeze","Varjele ja jäädytä"
"specials.name.prestidigitation","Silmänkääntötemppu"
"specials.name.prestidigitation_cross","Risti"
"specials.name.prestidigitation_skull","Kallo"
"specials.name.prestidigitation_stars","Tähdet"
"specials.name.primeval_glaive","Alkukantainen glaive"
"specials.name.princess_unleashed","Prinsessa vapaana"
"specials.name.prosperity_for_domain","Vauras valtakunta"
"specials.name.protective_stance","Suojausasento"
"specials.name.protector_of_the_blue_river","Sinisen joen suojelija"
"specials.name.protein_corruption","Proteiinikorruptio"
"specials.name.protein_eater","Proteiinin syöjä"
"specials.name.pulsar_blast","Pulsarin räjähdys"
"specials.name.pulsarstrike","Pulsari-isku"
"specials.name.pulverizing_ham","Murskaava kinkku"
"specials.name.pummeling","Nuijinta"
"specials.name.punishing_shot","Rankaiseva laukaus"
"specials.name.punishing_shot_pve","Rankaiseva laukaus"
"specials.name.punishing_strike","Rankaiseva isku"
"specials.name.puppy_tales","Tarinoita pennuille"
"specials.name.pure_shot","Puhdas osuma"
"specials.name.purification","Puhdistus"
"specials.name.purifying_flame","Puhdistava liekki"
"specials.name.purifying_flame_pve","Puhdistava liekki"
"specials.name.purifying_hit","Puhdistava lyönti"
"specials.name.purifying_ki","Puhdistava ki"
"specials.name.purifying_light","Puhdistava valo"
"specials.name.purifying_strike","Puhdistava isku"
"specials.name.purple_beetloid_bite","Purppuran kuorioidin puraisu"
"specials.name.pursuing_shot","Perään ammuttu laukaus"
"specials.name.putrid_perfume","Löyhkäävä parfyymi"
"specials.name.puzzling_paint","Hämmentävä maali"
"specials.name.puzzling_riddle","Ongelmallinen arvoitus"
"specials.name.qilin_blade","Qilinin miekka"
"specials.name.queen_of_cards","Korttien kuningatar"
"specials.name.queen_of_the_depths","Syvyyksien keisarinna"
"specials.name.queen_of_the_depths_final","Syvyyksien keisarinna"
"specials.name.queens_blood_poisoning","Surun iltahämärä"
"specials.name.queens_curse","Hiekkamyrsky"
"specials.name.queens_curse_pve","Hiekkamyrsky"
"specials.name.quick_and_nimble","Nopea ja ketterä"
"specials.name.rabbits_watch","Kanin kello"
"specials.name.raccoon_bite","Pesukarhun puraisu"
"specials.name.radiant_comeback","Säteilevä paluu"
"specials.name.radiant_rapid_fire","Loistava pikatuli"
"specials.name.radiant_shackles","Loistavat kahleet"
"specials.name.radiant_sweep_dragon_pve","Säteilevä pyyhkäisy"
"specials.name.radiating_frost","Säteilevä kylmyys"
"specials.name.rage_of_grimnir","Grimnirin raivo"
"specials.name.raging_tempest","Raivoava myrsky"
"specials.name.rain_of_arrows","Nuolisade"
"specials.name.rain_of_fire","Tulisade"
"specials.name.rain_of_fire_ultimate_boss","Tulisade"
"specials.name.raising_morale","Taistelutahdon nostatus"
"specials.name.rally_of_the_deep","Syvyyksien kutsu"
"specials.name.ramming_pulverizer","Puskumurskaus"
"specials.name.ramming_rush","Puskuryntäys"
"specials.name.rapid_shots","Nopeat laukaukset"
"specials.name.rattle_of_confusion","Hämmentävä kalina"
"specials.name.ravaging_talons","Repivät kynnet"
"specials.name.ravening_blade","Repivä terä"
"specials.name.ravenous_pounce","Ahnas loikka"
"specials.name.ravens_vigil","Korppivartio"
"specials.name.ravens_watch","Korppien vahti"
"specials.name.ray_strike","Sädeisku"
"specials.name.razor_smile","Veitsenterävä hymy"
"specials.name.reanimated_spite","Epäkuollut kauna"
"specials.name.reanimated_spite_pve","Epäkuollut kauna"
"specials.name.reckless_charge","Uhkarohkea hyökkäys"
"specials.name.reckless_finisher","Uhkarohkea viimeistely"
"specials.name.reckless_slash","Uhkarohkea sivallus"
"specials.name.reckless_stab","Uhkarohkea isku"
"specials.name.reckless_swing","Uhkarohkea huitaisu"
"specials.name.reckless_sword_swings","Uhkarohkeat miekaniskut"
"specials.name.red_lizard_charge","Punaisen maastoväriliskon hyökkäys"
"specials.name.red_shoes","Punaiset kengät"
"specials.name.red_sparks_dragon_pve","Punaiset kipinät"
"specials.name.reef_blast","Riuttarysäytys"
"specials.name.reflecting_stance","Heijastava asento"
"specials.name.regal_claws","Kuninkaalliset kynnet"
"specials.name.regal_spearhead","Kuninkaallinen keihäänkärki"
"specials.name.regeneration","Paraneminen"
"specials.name.rejuvenating_elixir","Virkistävä eliksiiri"
"specials.name.rejuvenating_leap","Virkistävä loikka"
"specials.name.relaxing_riddle","Rentouttava arvoitus"
