"specials.name.a_cozy_break","Pausa Agradável"
"specials.name.hymn_of_enrichment","Hino do Enriquecimento"
"specials.name.hyper_porridge","Hiper mingau"
"specials.name.hyperborean_hook","Gancho hiperboreano"
"specials.name.hypersonic_tackle","Derrubada Hipersônica"
"specials.name.hypnosis_dragon_pve","Hipnose"
"specials.name.ice_and_slice","Corte Gélido"
"specials.name.ice_boom","Explosão de Gelo"
"specials.name.ice_cold_order","Pedido Gelado"
"specials.name.ice_cream_smash","Sorvetada"
"specials.name.ice_treatment","Tratamento de gelo"
"specials.name.iceberg_aura","Aura de Iceberg"
"specials.name.iceberg_crush","Esmagamento de Iceberg"
"specials.name.iceberg_havoc","Caos do Iceberg"
"specials.name.icebound_howl","Uivo Gélido"
"specials.name.icebound_ritual","Ritual Gelado"
"specials.name.icecold_finisher","Finalizador Gelado"
"specials.name.icehammer_smash","Martelo estrondoso de gelo"
"specials.name.iceshatter","Despedaçamento Gelado"
"specials.name.icy_axes","Machados Gelados"
"specials.name.icy_mandibles","Mandíbulas de Gelo"
"specials.name.icy_resilience","Resiliência gelada"
"specials.name.ill_bring_you_back","Você de Volta"
"specials.name.ill_fated_experiment","Experimento Fracassado"
"specials.name.imaginary_increments","Incrementos Imaginários"
"specials.name.immortal_annihilator","Aniquilador imortal"
"specials.name.immortal_annihilator_deadly","Aniquilador imortal"
"specials.name.immortal_punisher","Punidor Imortal"
"specials.name.impairing_strike","Golpe Debilitante"
"specials.name.impale_and_devour","Impalar e Devorar"
"specials.name.impeccable_charge","Investida Impecável"
"specials.name.impeding_bolts","Dardos Impeditivos"
"specials.name.impervious_formation","Formação Impenetrável"
"specials.name.impossible_groove","Ginga Impossível"
"specials.name.impossible_riddle","Enigma Impossível"
"specials.name.incite_ki","Incitar Ki"
"specials.name.incite_ki2","Incitar Ki"
"specials.name.indestructible_claw","Garra Indestrutível"
"specials.name.indifferent_blade","Lâmina Indiferente"
"specials.name.inevitable_demise","Fim Inevitável"
"specials.name.infernal_chops","Cortes infernais"
"specials.name.infernal_drumstorm","Tambores Infernais"
"specials.name.infernal_flames","Chamas Infernais"
"specials.name.infernal_jaws","Garras Infernais"
"specials.name.ink_bomb","Bomba de Tinta"
"specials.name.innovative_lunge","Investida Inovadora"
"specials.name.insidious_goo","Gosma Insidiosa"
"specials.name.inspiring_fencing","Esgrima Inspiradora"
"specials.name.insurmountable_flux","Fluxo Insuperável"
"specials.name.intimidating_stance","Postura Intimidante"
"specials.name.invigorating_pollen","Pólen Revigorante"
"specials.name.invigorating_soup","Sopa Revigorante"
"specials.name.invisible_strike","Golpe Invisível"
"specials.name.iron_discipline_cut","Corte Disciplinado"
"specials.name.iron_rocket_fist","Punho de Ferro"
"specials.name.ironbound_fury","Fúria Ferrosa"
"specials.name.jab_and_hook","Ataque e gancho"
"specials.name.jack_of_owl_trades","Corujão"
"specials.name.jackal_strike","Golpe do Chacal"
"specials.name.jade_blades","Lâminas de Jade"
"specials.name.jaw_clamp","Armadilhas Espalhadas"
"specials.name.jaws_of_the_river","Mandíbulas do Rio"
"specials.name.jewel_of_the_deep","Joia das Profundezas"
"specials.name.join_in_joyful_song","Canção Jubilosa"
"specials.name.joyful_noise","Barulho Jubiloso"
"specials.name.joyful_palette","Paleta Jubilosa"
"specials.name.judgement_of_goo","Julgamento da Gosma"
"specials.name.judgment_and_penance","Julgamento e penitência"
"specials.name.judgment_of_sun","Julgamento do Sol"
"specials.name.juggling_trials","Malabarismo de Provas"
"specials.name.jungle_fury","Fúria da selva"
"specials.name.jungle_riposte","Riposta da Selva"
"specials.name.jungle_slash","Talho do pântano"
"specials.name.just_a_flesh_wound","Ferimento superficial"
"specials.name.karnov","Surra Total"
"specials.name.katana_rain","Chuva de Katanas"
"specials.name.katana_rain_pve","Chuva de Katanas"
"specials.name.keep_the_peace","Manutenção da Paz"
"specials.name.keyknife_typhoon","Tufão da Chave-faca"
"specials.name.khans_order","Ordem do Khan"
"specials.name.kindled_carpet","Tapete Inflamado"
"specials.name.kings_blood_poisoning","Noite de infortúnio"
"specials.name.kings_curse","Tempestade de areia"
"specials.name.kings_curse_pve","Tempestade de areia"
"specials.name.kings_feast","Banquete do Rei"
"specials.name.kite_of_endurance","Pipa da Tenacidade"
"specials.name.kitten_stampede","Debandada de Gatinhos"
"specials.name.knights_armor","Armadura do Cavaleiro"
"specials.name.knights_fury","Fúria do Cavaleiro"
"specials.name.knights_parry","Aparada do Cavaleiro"
"specials.name.kong_smash","Golpe do Kong"
"specials.name.kunai_assault","Assalto Kunai"
"specials.name.lacerating_leap","Salto Dilacerante"
"specials.name.lacerating_letters","Letras Dilacerantes"
"specials.name.lacerating_whip","Chicote Dilacerante"
"specials.name.ladys_charm","Charme Feminino"
"specials.name.ladys_flowers","Flores da Senhora"
"specials.name.lament_of_the_hunt","Lamento da Caça"
"specials.name.lance_of_avarice","Lança da Avareza"
"specials.name.lance_of_torment","Lança do Tormento"
"specials.name.lance_thrust","Estocada de Lança"
"specials.name.landslide","Avalanche"
"specials.name.lantern_of_insanity","Lanterna da Insanidade"
"specials.name.larva_prescription","Receita de Larva"
"specials.name.lash_of_the_whip","Chicoteio de Rabo"
"specials.name.lasso_of_love","Laço do amor"
"specials.name.last_words","Últimas Palavras"
"specials.name.laundry_day","Lavanderia"
"specials.name.lava_blast","Jato de Lava"
"specials.name.lava_spit","Jato de Lava"
"specials.name.lava_splash_dragon_pve","Borrifo de Espírito do Fogo"
"specials.name.lavablow","Assalto de Chamas"
"specials.name.lavablow_pve","Assalto de Chamas"
"specials.name.lavaslash","Talho de Lava"
"specials.name.leaf_blast","Rajada de Folhas"
"specials.name.leafglow_bloom","Folha Brilhante"
"specials.name.leaping_attack","Ataque de Salto"
"specials.name.leeching_saw","Serra Sanguessuga"
"specials.name.leeching_stars","Suga-estrelas"
"specials.name.leeching_worms","Sanguessugas"
"specials.name.legacy_of_darkness","Legado das Trevas"
"specials.name.legerdemain","Truque de Cartas"
"specials.name.legerdemain_heart","Cruz"
"specials.name.legerdemain_joker","Estrelas"
"specials.name.legerdemain_skull","Caveira"
"specials.name.legions_of_darkness","Legiões das Trevas"
"specials.name.legions_of_tyrant","Legiões de Tirano"
"specials.name.lethal_needles","Agulhas Letais"
"specials.name.lethal_needles2","Agulhas Letais"
"specials.name.levitating_lunchbox_deluxe","Merendeira Flutuante de Luxo"
"specials.name.lifeforce_leech","Sanguessuga da Força Vital"
"specials.name.light_barrier_dragon_pve","Barreira de Luz"
"specials.name.light_grenades","Granadas de Luz"
"specials.name.light_grenades2","Granadas de Luz"
"specials.name.light_my_fire","Fogo Aceso"
"specials.name.lightning_charge","Investida Relâmpago"
"specials.name.lightning_stream","Feixe de Raios"
"specials.name.lightning_stream2","Feixe de Raios"
"specials.name.lightning_ultimatum","Ultimato Relâmpago"
"specials.name.lightning_ultimatum_pve","Ultimato Relâmpago"
"specials.name.litter_of_kittens","Ninhada de Gatinhos"
"specials.name.liturgy_of_the_fallen","Liturgia dos Mortos"
"specials.name.looking_for_love","Em Busca do Amor"
"specials.name.lookouts_refreshment","Lanche do Vigia"
"specials.name.loom_of_destruction","Tear da Destruição"
"specials.name.lord_of_the_jungle","Rei da Selva"
"specials.name.lords_blood_poisoning","Alvorecer de infortúnio"
"specials.name.love_at_first_sight","Amor à Primeira Vista"
"specials.name.love_conquers_all","Vitória do Amor"
"specials.name.love_conquers_all_pve","Vitória do Amor"
"specials.name.loving_queen","Rainha Amorosa"
"specials.name.lucky_coin","Moeda da Sorte"
"specials.name.lucky_nine","Nove de sorte"
"specials.name.luminescent_electrocution","Eletrocução Luminescente"
"specials.name.luminous_lance","Lança Luminosa"
"specials.name.lunar_blessing","Bênção Lunar"
"specials.name.lunar_blessing_moon_beam","Feixe Lunar"
"specials.name.lunar_bloom","Floração Lunar"
"specials.name.lunar_locket","Medalhão Lunar"
"specials.name.lunar_shield","Escudo Lunar"
"specials.name.lunar_spear","Lança Lunar"
"specials.name.luring_song","Canção Sedutora"
"specials.name.machinists_cutlass","Baioneta de Maquinista"
"specials.name.mad_as_a_hatter","Doido varrido"
"specials.name.mad_rat_mania","Mania de Rato Louco"
"specials.name.mad_tea_party","Hora do Chá"
"specials.name.madrigal_of_mayhem","Madrigal do Caos"
"specials.name.mageball_blast","Explosão Mágica"
"specials.name.mageball_blast_pve","Explosão Mágica"
"specials.name.magic_mirror_of_power","Espelho Mágico"
"specials.name.magical_balan","Balã Mágico"
"specials.name.magical_sword","Espada mágica"
"specials.name.magma_boulders","Pedras de magma"
"specials.name.magma_smash","Estrondo de lava"
"specials.name.magmatic_burns","Queimaduras Magmáticas"
"specials.name.magmatic_tempest","Tempestade Magmática"
"specials.name.magnificent_meal","Refeição Magnífica"
"specials.name.maidens_command","Comando da Donzela"
"specials.name.maidens_orders","Ordens da Donzela"
"specials.name.make_them_harmless","Nautralização"
"specials.name.malevolent_toys","Brinquedos Malévolos"
"specials.name.malison_of_the_wildlands","Maldição Florestal"
"specials.name.mallet_swing_of_the_beast","Martelada da Fera"
"specials.name.mana_immolation","Imolação de Mana"
"specials.name.mana_manipulation","Manipulação de Mana"
"specials.name.mana_scavange","Caça ao Mana"
"specials.name.mana_stealer","Olho do profeta"
"specials.name.mantis_strike","Ataque do Louva-a-Deus"
"specials.name.marble_frenzy","Frenesi de Mármore"
"specials.name.marc","Investida Alucinada"
"specials.name.mark_of_anubis","Marca de Anúbis"
"specials.name.mark_of_fire","Marca do Fogo"
"specials.name.mark_of_ivy","Marca de hera"
"specials.name.mark_of_nature","Marca da Natureza"
"specials.name.mark_of_the_jackal","Marca do Chacal"
"specials.name.mark_the_prey","Marca da Presa"
"specials.name.marked_aim","Mira Marcada"
"specials.name.martial_dance","Proeza de Kane"
"specials.name.martial_masterstroke","Golpe de Mestre Marcial"
"specials.name.martial_prowess","Proeza marcial"
"specials.name.masons_rage","Alvenaria Furiosa"
"specials.name.massive_bite","Mordida Enorme"
"specials.name.massive_chop","Talho compacto"
"specials.name.massive_cleave","Talhador Maciço"
"specials.name.massive_swing","Golpe Gigante"
"specials.name.master_of_ailments","Mestre dos Males"
"specials.name.master_plan","Plano Infalível"
"specials.name.masterful_balance","Equilíbrio Primordioso"
"specials.name.masterful_manipulation","Manipulação Magistral"
"specials.name.mauling_tusk","Presa Destruidora"
"specials.name.mean_jab_dragon_pve","Estocada Cruel"
"specials.name.mechanical_augmentations","Melhorias Mecânicas"
"specials.name.medicinal_drool","Saliva Medicinal"
"specials.name.medicinal_fumes","Vapor Medicinal"
"specials.name.melody_harvest","Colheita Melodiosa"
"specials.name.melody_of_mana_control","Melodia de Controle de Mana"
"specials.name.melody_of_misery","Melodia da Tristeza"
"specials.name.memory_manipulation","Manipulação de Memória"
"specials.name.memory_of_the_queen","Memória da Imperatriz"
"specials.name.mending_bronze_axe","Machado de Bronze"
"specials.name.mending_mantra","Mantra de conserto"
"specials.name.mending_stitches","Pontos Reparadores"
"specials.name.merciless_bite","Mordida impiedosa"
"specials.name.merciless_execution","Execução Impiedosa"
"specials.name.merciless_pulverizer","Pulverizador Impiedoso"
"specials.name.merriest_misery","Feliz infelicidade"
"specials.name.mesmerizing_mirror","Espelho Hipnotizante"
"specials.name.miasma_mace","Maça Miasma"
"specials.name.midnight_magic","Magia da Meia-noite"
"specials.name.midnight_moon","Lua da Meia-Noite"
"specials.name.midnight_smite","Ferida da Meia-Noite"
"specials.name.midnight_strike","Golpe da Meia-Noite"
"specials.name.midsummers_dream","Sonho do auge do verão"
"specials.name.midsummers_reverie","Devaneio do Solstício"
"specials.name.might_of_ares","Poder de Ares"
"specials.name.might_of_excalibroom","Poder de Excalibroom"
"specials.name.might_of_the_ice_giants","Poder dos Gigantes de Gelo"
"specials.name.might_of_the_ice_giants_final","Poder dos Gigantes de Gelo"
"specials.name.mimic_bite","Mordida Mimética"
"specials.name.mimic_bite_burn","Mordida Corrosiva"
"specials.name.mimic_bite2","Mordida Mimética Feroz"
"specials.name.mimic_bite3","Ganância Mimética"
"specials.name.mimic_bite4","Provocação Mimética"
"specials.name.mimic_special","Monstro Astuto"
"specials.name.mimic_special2","Monstro Astuto"
"specials.name.mimic_training_hero_blue_bite","Devoração Ávida"
"specials.name.mimic_training_hero_green_bite","Devoração Ávida"
"specials.name.mimic_training_hero_purple_bite","Devoração Ávida"
"specials.name.mimic_training_hero_red_bite","Devoração Ávida"
"specials.name.mimic_training_hero_yellow_bite","Devoração Ávida"
"specials.name.mind_blast","Explosão Mental"
"specials.name.mindless_attack","Ataque Aleatório"
"specials.name.minion_scrutiny","Escrutínio de Ajudante"
"specials.name.mischievous_flourish","Floreio Malicioso"
"specials.name.mischievous_flourish_pve_advanced","Floreio Malicioso"
"specials.name.mischievous_flourish_pve_normal","Floreio Malicioso"
"specials.name.mischievous_tiein","Conexão Maliciosa"
"specials.name.missile_mania","Mania de Mísseis"
"specials.name.mist_of_the_fallen","Bruma dos Mortos"
"specials.name.mistletoe_medley","Mistura de Visco"
"specials.name.misty_punches","Socos Nevoados"
"specials.name.mixed_green_herbs","Mistura de Ervas"
"specials.name.molten_wax","Cera Derretida"
"specials.name.monastic_restraint","Comedimento Monástico"
"specials.name.monstrous_bite","Mordida Monstruosa"
"specials.name.moody_jab_dragon_pve","Estocada Temperamental"
"specials.name.mooing_for_a_fight","Mugido de Guerra"
"specials.name.moon_boomerang","Bumerangue Lunar"
"specials.name.moon_crush_beam","Feixe Lunar Esmagador"
"specials.name.moonlight_crescendo","Luar Progressivo"
"specials.name.moonlight_serenade","Serenata à luz da lua"
"specials.name.moonlight_sonata","Sonata ao Luar"
"specials.name.moonstone_glare_dragon_pve","Brilho da Pedra da Lua"
"specials.name.moreau_phase1_special","Malícia Cegante"
"specials.name.moreau_phase2_special1","Malícia Cegante"
"specials.name.moreau_phase2_special2","Malícia Cegante"
"specials.name.morning_catch","Pesca Matinal"
"specials.name.mother_dragons_love","Amor de Mãe dos Dragões"
"specials.name.motherly_care","Cuidado Materno"
"specials.name.motherly_care_pve","Cuidado Materno"
"specials.name.motherly_love","Amor Materno"
"specials.name.muffin_poisoning","Bolinho Envenenado"
"specials.name.multi_elemental_mark","Marca Multielemental"
"specials.name.multi_throw","Arremesso Múltiplo"
"specials.name.mummy_slash","Golpe de Múmia"
"specials.name.mummy_strike","Ataque da Múmia"
"specials.name.musketeers_deal","Oferta do Mosqueteiro"
"specials.name.musketeers_mead","Hidromel do Mosqueteiro"
"specials.name.mutated_specimen","Espécime Alterado"
"specials.name.mutating_mixture","Mistura Mutável"
"specials.name.mystery_potions","Poções Misteriosas"
"specials.name.mystic_chop","Talho místico"
"specials.name.mystical_concerto","Concerto Místico"
"specials.name.mystics_virtue","Virtude mística"
"specials.name.mythic_lightning","Relâmpago Mítico"
"specials.name.nasty_hammer","Martelo Malévolo"
"specials.name.natures_blessing","Fúria berserker"
"specials.name.natures_connection","Conxão da Natureza"
"specials.name.natures_fury","Fúria da Natureza"
"specials.name.natures_payback","Vingança da Natureza"
"specials.name.nebula_orb","Orbe Nebuloso"
"specials.name.nebula_orb_ultimate_boss","Orbe Nebuloso"
"specials.name.necronomicon_page_13","Página 13 do Necromicon"
"specials.name.nephrite_blade","Lâmina Nefrita"
"specials.name.nethershield","Escudo das profundezas"
"specials.name.never_ending_winter","Inverno Interminável"
"specials.name.night_falls","Anoitece"
"specials.name.night_of_crimes","Noite de Crime"
"specials.name.nightbloom_dust","Poeira Noturna"
"specials.name.nightglade_pollen","Pólen noturno"
"specials.name.nights_whisper","Sussurro Noturno"
"specials.name.nimble_bite","Mordida Ágil"
"specials.name.nine_dragon_strike","Ataque de Nove Dragões"
"specials.name.nobles_empathy","Empatia de Nobre"
"specials.name.nobles_empathy_costume_artisan","Empatia de Calígrafo"
"specials.name.nomadic_hymn","Hino Nômade"
"specials.name.northern_wanderer","Reserva Jubilosa"
"specials.name.noxious_blossom","Flor Nociva"
"specials.name.noxious_chord","Acorde Nocivo"
"specials.name.noxious_cleave","Machado Nocivo"
"specials.name.noxious_cleave_pve","Machado Nocivo"
"specials.name.nuts_of_yggdrasil","Nozes de Yggdrasil"
"specials.name.oath_of_templar","Juramento do Templário"
"specials.name.obliterating_surge","Surto Obliterante"
"specials.name.ocarina_windsong","Canção da Ocarina"
"specials.name.occult_redemption","Redenção Oculta"
"specials.name.ocean_vortex","Vórtice do Oceano"
"specials.name.oceanic_offensive","Ofensiva Oceânica"
"specials.name.oceanic_slayer","Matador da Maré"
"specials.name.oceanic_suffering","Sofrimento do Oceano"
"specials.name.oceans_decay","Decomposição do Oceano"
"specials.name.oceans_embrace","Abraço do Oceano"
"specials.name.oceans_ruin","Ruína do Oceano"
"specials.name.odd_drum_roll","Rufada Bizarra"
"specials.name.oji_waza","Oji-Waza"
"specials.name.old_curse","Maldição Antiga"
"specials.name.omega_flame","Ataque Ômega"
"specials.name.omega_strike_dark","Ataque Ômega"
"specials.name.omega_strike_fire","Ataque Ômega"
"specials.name.omega_strike_holy","Ataque Ômega"
"specials.name.omega_strike_ice","Ataque Ômega"
"specials.name.omega_strike_nature","Ataque Ômega"
"specials.name.omen_of_retribution","Presságio da Retribuição"
"specials.name.omnicure","Omnicura"
"specials.name.omniheal","Omnicura"
"specials.name.omnimend","Omnireparo"
"specials.name.one_hit_wonder","Sucesso Único"
"specials.name.one_jump_ahead","Salto Adiante"
"specials.name.one_spell_ahead","Um Feitiço Adiante"
"specials.name.opposing_raid","Investida Oposta"
"specials.name.orchestra_of_candles","Orquestra de Velas"
"specials.name.orchids_and_roses","Orquídeas e Rosas"
"specials.name.order_ambush","Emboscada Ordenada"
"specials.name.order_ambush_pve","Emboscada Ordenada"
"specials.name.order_from_the_depths","Ordem das Profundezas"
"specials.name.order_to_overwhelm","Ordem de Sobrepujar"
"specials.name.orsoldoon","Örsöldöön"
"specials.name.overpowering_grip_dragon_pve","Punho Avassalador"
"specials.name.overvlowing_whirlwind","Turbilhão Transbordante"
"specials.name.overwhelming_raid","Investida Esmagadora"
"specials.name.owls_blessing","Bênção da Coruja"
"specials.name.pacifying_presence_dragon_pve","Força Pacificadora"
"specials.name.pain_harvest","Colheita da Dor"
"specials.name.paragon_of_constellations","Paradigma das Constelações"
"specials.name.paralyzing_spore","Espora Paralisante"
"specials.name.parcel_of_the_dragon_familiar","Encomenda do Dragão Familiar"
"specials.name.passion_conquers_all","Paixão conquistadora"
"specials.name.pathfinders_compass","Bússola do Desbravador"
"specials.name.paw_in_every_pie","Patas Gananciosas"
"specials.name.pawns_of_divinity","Peões da Divindade"
"specials.name.paws_or_claws","Patas ou Garras"
"specials.name.peach_of_immortality","Pêssego da Imortalidade"
"specials.name.pearls_of_rejuvenation","Pérolas do Rejuvenescimento"
"specials.name.perfect_riposte","Resposta perfeita"
"specials.name.perfect_shot","Tiro Perfeito"
"specials.name.perfect_teamwork","Perfeita Colaboração"
"specials.name.perfume_cloud","Nuvem Perfumada"
"specials.name.perilous_gift","Presente Perigoso"
"specials.name.perilous_present_pve","Presente Perigoso"
"specials.name.perilous_waters","Águas Perigosas"
"specials.name.perplexing_riddle","Charada Desconcertante"
"specials.name.pest_control","Controle de pragas"
"specials.name.pet_larva","Larva de Estimação"
"specials.name.petals_of_nourishment","Pétalas Nutritivas"
"specials.name.petrifying_knuckles","Punhos Petrificantes"
"specials.name.petrifying_performance","Performance Petrificante"
"specials.name.picnic_in_the_sky","Piquenique Celeste"
"specials.name.pie_of_protection","Torta da Proteção"
"specials.name.piercing_falcon","Falcão Perfurante"
"specials.name.piercing_hit","Acerto Perfurante"
"specials.name.piercing_practice_slash","Golpe Perfurante"
"specials.name.piercing_sabre","Sabre Perfurante"
"specials.name.piercing_scream_dragon_pve","Grito Ensurdecedor"
"specials.name.piercing_shot","Disparo Perfurante"
"specials.name.piercing_strike","Golpe Perfurante"
"specials.name.piercing_tusk","Presa Perfurante"
"specials.name.pincer_claw","Garra Pinçante"
"specials.name.pincer_claw_deadly","Garra Pinçante"
"specials.name.pineapple_alchemist","Alquimista do Abacaxi"
"specials.name.pineapple_barbeque","Churrasco de Abacaxi"
"specials.name.pirate_shot","Tiro pirata"
"specials.name.pirates_vengeance","Vingança Pirata"
"specials.name.pixie_dust","Pó de fadas"
"specials.name.plague_bite","Mordida da Praga"
"specials.name.plague_blade","Lâmina da Praga"
"specials.name.planar_time_widget","Dispositivo Planar"
"specials.name.planetary_charge","Investida Planetária"
"specials.name.plantipede_sting","Ferroada da Plantopeia"
"specials.name.plentiful_harvest","Colheita abundante"
"specials.name.plentiful_minerals","Minerais Fartos"
"specials.name.plume_flash","Pluma de Fumo"
"specials.name.poem_of_the_centaurs","Poema dos Centauros"
"specials.name.poem_of_the_morass","Poema do Pântano"
"specials.name.poetic_justice","Justiça Poética"
"specials.name.poets_protection","Proteção do Poeta"
"specials.name.pointy_darts","Dardos Afiados"
"specials.name.poison_bite","Mordida venenosa"
"specials.name.poison_bite_dragon_pve","Mordida venenosa"
"specials.name.poison_bolt_zidane","Dardo de Veneno"
"specials.name.poison_claw","Garra Venenosa"
"specials.name.poison_jolt","Sopro de Veneno"
"specials.name.poison_strike","Golpe de Veneno"
"specials.name.poison_tipped_arrow","Flecha Envenenada"
"specials.name.poison_web","Teia de veneno"
"specials.name.poisoned_blade","Lâmina envenenada"
"specials.name.poisoning_blade","Lâmina Venenosa"
"specials.name.poisonous_mist","Névoa Envenenada"
"specials.name.poisonous_saliva","Saliva Venenosa"
"specials.name.polar_bash","Golpe Polar"
"specials.name.polar_night_blizzard","Nevasca Noturna Polar"
"specials.name.poleaxe_of_the_law","Machado da Lei"
"specials.name.polestar_expedition","Expedição Polar"
"specials.name.pompous_flex","Muque Pomposo"
"specials.name.portents_of_future","Presságios do Futuro"
"specials.name.possessed_strike","Golpe Possuído"
"specials.name.possessor_of_penance","Detentor da Penitência"
"specials.name.postal_pulverizer","Pulverizador Postal"
"specials.name.potion_cocktail","Coquetel de Poções"
"specials.name.potions_of_covetous_desire","Poções do Desejo"
"specials.name.potions_of_covetous_desire_pve","Poções do Desejo"
"specials.name.potions_of_havoc_and_healing","Poções de Caos e Cura"
"specials.name.pounce_of_the_lioness","Ataque da Leoa"
"specials.name.pounding_attack","Ataque Esmagador"
"specials.name.power_of_ajna","Poder de Ajna"
"specials.name.power_of_flora","Poder da Flora"
"specials.name.power_of_mjolnir","Poder de Mjölnir"
"specials.name.power_of_the_forest","Poder da Floresta"
"specials.name.power_of_the_void","Poder do Vazio"
"specials.name.power_punch","Soco poderoso"
"specials.name.power_slam","Surra Poderosa"
"specials.name.power_wave","Onda de Poder"
"specials.name.prayer_of_the_desert","Oração do Deserto"
"specials.name.precious_pets","Animais Preciosos"
"specials.name.precious_pets_pve_advanced","Animais Preciosos"
"specials.name.precious_pets_pve_normal","Animais Preciosos"
"specials.name.precise_chop","Corte preciso"
"specials.name.precise_riposte","Riposta Precisa"
"specials.name.preserve_and_freeze","Preservar e Congelar"
"specials.name.prestidigitation","Prestidigitação"
"specials.name.prestidigitation_cross","Cruz"
"specials.name.prestidigitation_skull","Caveira"
"specials.name.prestidigitation_stars","Estrelas"
"specials.name.primeval_glaive","Gládio Primitivo"
"specials.name.princess_unleashed","Princesa Desenfreada"
"specials.name.prosperity_for_domain","Prosperidade e Domínio"
"specials.name.protective_stance","Postura Protetora"
"specials.name.protector_of_the_blue_river","Protetora do Rio Azul"
"specials.name.protein_corruption","Corrupção Proteica"
"specials.name.protein_eater","Devorador de Proteína"
"specials.name.pulsar_blast","Explosão Pulsante"
"specials.name.pulsarstrike","Golpe Pulsante"
"specials.name.pulverizing_ham","Presunto Pulverizante"
"specials.name.pummeling","Espancamento"
"specials.name.punishing_shot","Ataque Punitivo"
"specials.name.punishing_shot_pve","Ataque Punitivo"
"specials.name.punishing_strike","Golpe Punitivo"
"specials.name.puppy_tales","Histórias de Cachorro"
"specials.name.pure_shot","Tiro puro"
"specials.name.purification","Purificação"
"specials.name.purifying_flame","Chama Purificadora"
"specials.name.purifying_flame_pve","Chama Purificadora"
"specials.name.purifying_hit","Impacto purificador"
"specials.name.purifying_ki","Ki Purificante"
"specials.name.purifying_light","Luz Purificadora"
"specials.name.purifying_strike","Golpe purificador"
"specials.name.purple_beetloid_bite","Ferroada do Besouroide Roxo"
"specials.name.pursuing_shot","Disparo Perseguidor"
"specials.name.putrid_perfume","Perfume Pútrido"
"specials.name.puzzling_paint","Pintura Intrigante"
"specials.name.puzzling_riddle","Charada Intrigante"
"specials.name.qilin_blade","Lâmina de Qilin"
"specials.name.queen_of_cards","Rainha das cartas"
"specials.name.queen_of_the_depths","Imperatriz das profundezas"
"specials.name.queen_of_the_depths_final","Imperatriz das profundezas"
"specials.name.queens_blood_poisoning","Crepúsculo de infortúnio"
"specials.name.queens_curse","Tempestade de areia"
"specials.name.queens_curse_pve","Tempestade de areia"
"specials.name.quick_and_nimble","Rápido e Rasteiro"
"specials.name.rabbits_watch","Relógio do coelho"
"specials.name.raccoon_bite","Mordida do Guaxinim"
"specials.name.radiant_comeback","Retorno Radiante"
"specials.name.radiant_rapid_fire","Metralhadora radiante"
"specials.name.radiant_shackles","Guilhões Radiantes"
"specials.name.radiant_sweep_dragon_pve","Varredura Radiante"
"specials.name.radiating_frost","Gelo Radiante"
"specials.name.rage_of_grimnir","Fúria de Grimnir"
"specials.name.raging_tempest","Tempestade Violenta"
"specials.name.rain_of_arrows","Chuva de Flechas"
"specials.name.rain_of_fire","Chuva de Fogo"
"specials.name.rain_of_fire_ultimate_boss","Chuva de Fogo"
"specials.name.raising_morale","Moral Alta"
"specials.name.rally_of_the_deep","Encontro das Profundezas"
"specials.name.ramming_pulverizer","Pulverizador de impacto"
"specials.name.ramming_rush","Corrida de impacto"
"specials.name.rapid_shots","Tiros rápidos"
"specials.name.rattle_of_confusion","Chocalho da Confusão"
"specials.name.ravaging_talons","Garras Arrasadoras"
"specials.name.ravening_blade","Lâmina Devoradora"
"specials.name.ravenous_pounce","Investida Voraz"
"specials.name.ravens_vigil","Vigília dos Corvos"
"specials.name.ravens_watch","Vigia dos Corvos"
"specials.name.ray_strike","Choque de Raio"
"specials.name.razor_smile","Sorriso Afiado"
"specials.name.reanimated_spite","Rancor Reanimado"
"specials.name.reanimated_spite_pve","Rancor Reanimado"
"specials.name.reckless_charge","Investida Imprudente"
"specials.name.reckless_finisher","Finalizador Temerário"
"specials.name.reckless_slash","Corte Temerário"
"specials.name.reckless_stab","Punhalada Temerária"
"specials.name.reckless_swing","Giro Intrépido"
"specials.name.reckless_sword_swings","Investidas Intrépidas de Espada"
"specials.name.red_lizard_charge","Investida do Lagarto Vermelho"
"specials.name.red_shoes","Sapatos Vermelhos"
"specials.name.red_sparks_dragon_pve","Faíscas Vermelhas"
"specials.name.reef_blast","Explosão do Recife"
"specials.name.reflecting_stance","Postura Reflexiva"
"specials.name.regal_claws","Garras Majestosas"
"specials.name.regal_spearhead","Ponta de Lança Majestosa"
"specials.name.regeneration","Regeneração"
"specials.name.rejuvenating_elixir","Elixir Rejuvenescedor"
"specials.name.rejuvenating_leap","Salto Rejuvenescedor"
"specials.name.relaxing_riddle","Enigma Relaxante"
"specials.name.relentless_brawler","Arruaceiro Incansável"
"specials.name.remedies_and_diseases","Remédios e Doenças"
"specials.name.rending_dagger","Adaga Rasgante"
"specials.name.reporting_for_duty","A Postos"
"specials.name.resolute_spirit","Espírito Resoluto"
"specials.name.resolute_spirit2","Espírito Resoluto"
"specials.name.restoration_and_annihilation","Recuperação e Aniquilação"
"specials.name.resurrection_of_the_fallen","Ressurreição dos Mortos"
"specials.name.resurrection_of_the_fallen_kemeny","Ressurreição dos Mortos"
"specials.name.revengeful_smite","Golpe Vingativo"
"specials.name.reverse_recovery","Recuperação Reversa"
