"specials.name.a_cozy_break","En hyggelig pause"
"specials.name.infernal_flames","Helvedes flammer"
"specials.name.infernal_jaws","Infernalske kæber"
"specials.name.ink_bomb","Blækbombe"
"specials.name.innovative_lunge","Innovativt angreb"
"specials.name.insidious_goo","Lumsk klat"
"specials.name.inspiring_fencing","Inspirerende fægtning"
"specials.name.insurmountable_flux","Uovervindelig flux"
"specials.name.intimidating_stance","Intimiderende stilling"
"specials.name.invigorating_pollen","Oplivende pollen"
"specials.name.invigorating_soup","Oplivende suppe"
"specials.name.invisible_strike","Usynligt stik"
"specials.name.iron_discipline_cut","Hug med jerndisciplin"
"specials.name.iron_rocket_fist","Jernraketnæve"
"specials.name.ironbound_fury","Jernbundet raseri"
"specials.name.jab_and_hook","Stød og hook"
"specials.name.jack_of_owl_trades","Altmuligugle"
"specials.name.jackal_strike","Sjakalangreb"
"specials.name.jade_blades","Jadeknive"
"specials.name.jaw_clamp","Spredte fælder"
"specials.name.jaws_of_the_river","Flodens gab"
"specials.name.jewel_of_the_deep","Dybets juvel"
"specials.name.join_in_joyful_song","Syng med på frydefuld sang"
"specials.name.joyful_noise","Glædelig lyd"
"specials.name.joyful_palette","Glædens palet"
"specials.name.judgement_of_goo","Slimets dom"
"specials.name.judgment_and_penance","Dom og straf"
"specials.name.judgment_of_sun","Solens dom"
"specials.name.juggling_trials","Jongleringsprøven"
"specials.name.jungle_fury","Jungleraseri"
"specials.name.jungle_riposte","Jungle-ripost"
"specials.name.jungle_slash","Sumphug"
"specials.name.just_a_flesh_wound","Kun et kødsår"
"specials.name.karnov","Slået i gulvet"
"specials.name.katana_rain","Katanaregn"
"specials.name.katana_rain_pve","Katanaregn"
"specials.name.keep_the_peace","Hold fred"
"specials.name.keyknife_typhoon","Nøgleknivstyfon"
"specials.name.khans_order","Khans ordre"
"specials.name.kindled_carpet","Antændt tæppe"
"specials.name.kings_blood_poisoning","Sorgens nat"
"specials.name.kings_curse","Sandstorm"
"specials.name.kings_curse_pve","Sandstorm"
"specials.name.kings_feast","Kongens gilde"
"specials.name.kite_of_endurance","Udholdenhedsdrage"
"specials.name.kitten_stampede","Killinger på spring"
"specials.name.knights_armor","Ridderens rustning"
"specials.name.knights_fury","Ridderens vrede"
"specials.name.knights_parry","Ridderens blokering"
"specials.name.kong_smash","Kongeslag"
"specials.name.kunai_assault","Kunai-angreb"
"specials.name.lacerating_leap","Flængende spring"
"specials.name.lacerating_letters","Flænsende breve"
"specials.name.lacerating_whip","Flænsende pisk"
"specials.name.ladys_charm","Kvindelist"
"specials.name.ladys_flowers","Fruens blomster"
"specials.name.lament_of_the_hunt","Jagtens klagesang"
"specials.name.lance_of_avarice","Griskhedslanse"
"specials.name.lance_of_torment","Lidelseslanse"
"specials.name.lance_thrust","Lansestød"
"specials.name.landslide","Jordskred"
"specials.name.lantern_of_insanity","Vanviddets lanterne"
"specials.name.larva_prescription","Larverecept"
"specials.name.lash_of_the_whip","Piskesmæld"
"specials.name.lasso_of_love","Kærlighedslasso"
"specials.name.last_words","Sidste ord"
"specials.name.laundry_day","Vaskedag"
"specials.name.lava_blast","Lavabrag"
"specials.name.lava_spit","Lavaspyt"
"specials.name.lava_splash_dragon_pve","Åndeildssprøjt"
"specials.name.lavablow","Flammeangreb"
"specials.name.lavablow_pve","Flammeangreb"
"specials.name.lavaslash","Lavahug"
"specials.name.leaf_blast","Bladeksplosion"
"specials.name.leafglow_bloom","Lysende løvblomstring"
"specials.name.leaping_attack","Springende angreb"
"specials.name.leeching_saw","Iglesav"
"specials.name.leeching_stars","Iglestjerne"
"specials.name.leeching_worms","Snyltende orme"
"specials.name.legacy_of_darkness","Mørkets arv"
"specials.name.legerdemain","Taskenspilleren"
"specials.name.legerdemain_heart","Kors"
"specials.name.legerdemain_joker","Stjerner"
"specials.name.legerdemain_skull","Kranie"
"specials.name.legions_of_darkness","Mørkets hær"
"specials.name.legions_of_tyrant","Tyranens legioner"
"specials.name.lethal_needles","Dødbringende nåle"
"specials.name.lethal_needles2","Dødbringende nåle"
"specials.name.levitating_lunchbox_deluxe","Svævende luksusmadkasse"
"specials.name.lifeforce_leech","Livskraftigle"
"specials.name.light_barrier_dragon_pve","Lysbarriere"
"specials.name.light_grenades","Lette granater"
"specials.name.light_grenades2","Lette granater"
"specials.name.light_my_fire","Antænd min ild"
"specials.name.lightning_charge","Lynangreb"
"specials.name.lightning_stream","Lynstrøm"
"specials.name.lightning_stream2","Lynstrøm"
"specials.name.lightning_ultimatum","Lynultimatum"
"specials.name.lightning_ultimatum_pve","Lynultimatum"
"specials.name.litter_of_kittens","Killingekuld"
"specials.name.liturgy_of_the_fallen","De faldnes liturgi"
"specials.name.looking_for_love","Leder efter kærlighed"
"specials.name.lookouts_refreshment","Udkiggens forfriskning"
"specials.name.loom_of_destruction","Pludselig nedslagtning"
"specials.name.lord_of_the_jungle","Junglens hersker"
"specials.name.lords_blood_poisoning","Sorgens daggry"
"specials.name.love_at_first_sight","Kærlighed ved første blik"
"specials.name.love_conquers_all","Kærligheden overvinder alt"
"specials.name.love_conquers_all_pve","Kærligheden overvinder alt"
"specials.name.loving_queen","Kærlig dronning"
"specials.name.lucky_coin","Lykkemønt"
"specials.name.lucky_nine","Lykketal ni"
"specials.name.luminescent_electrocution","Elektrisk henrettelse"
"specials.name.luminous_lance","Lysende lanse"
"specials.name.lunar_blessing","Månevelsignelse"
"specials.name.lunar_blessing_moon_beam","Månestråle"
"specials.name.lunar_bloom","Måneblomstring"
"specials.name.lunar_locket","Månelås"
"specials.name.lunar_shield","Måneskjold"
"specials.name.lunar_spear","Månespyd"
"specials.name.luring_song","Forførende sang"
"specials.name.machinists_cutlass","Maskinistens huggert"
"specials.name.mad_as_a_hatter","Gal som en hattemager"
"specials.name.mad_rat_mania","Rottemani"
"specials.name.mad_tea_party","Det skøre teselskab"
"specials.name.madrigal_of_mayhem","Kaossets madrigal"
"specials.name.mageball_blast","Magikerbold-brag"
"specials.name.mageball_blast_pve","Magikerbold-brag"
"specials.name.magic_mirror_of_power","Magisk kraftspejl"
"specials.name.magical_balan","Magisk burre"
"specials.name.magical_sword","magisk sværd"
"specials.name.magma_boulders","Magmakampesten"
"specials.name.magma_smash","Magmaslag"
"specials.name.magmatic_burns","Magmaforbrændinger"
"specials.name.magmatic_tempest","Magmastorm"
"specials.name.magnificent_meal","Mageløst måltid"
"specials.name.maidens_command","Jomfruens befaling"
"specials.name.maidens_orders","Jomfruens ordre"
"specials.name.make_them_harmless","Gør dem harmløse"
"specials.name.malevolent_toys","Ondskabsfuldt legetøj"
"specials.name.malison_of_the_wildlands","Vindlandenes forbandelse"
"specials.name.mallet_swing_of_the_beast","Bæstets mukkertslag"
"specials.name.mana_immolation","Manaoffer"
"specials.name.mana_manipulation","Manamanipulation"
"specials.name.mana_scavange","Manabjærgning"
"specials.name.mana_stealer","Profetens øje"
"specials.name.mantis_strike","Knælerangreb"
"specials.name.marble_frenzy","Glaskuglegalskab"
"specials.name.marc","Vanvidsangreb"
"specials.name.mark_of_anubis","Anubis-mærket"
"specials.name.mark_of_fire","Ildmærke"
"specials.name.mark_of_ivy","Vedbendsmærke"
"specials.name.mark_of_nature","Naturmærke"
"specials.name.mark_of_the_jackal","Sjakalens mærke"
"specials.name.mark_the_prey","Mærk byttet"
"specials.name.marked_aim","Markeret sigte"
"specials.name.martial_dance","Stokmod"
"specials.name.martial_masterstroke","Kæmperens klasseslag"
"specials.name.martial_prowess","Kampmod"
"specials.name.masons_rage","Stenhuggerens vrede"
"specials.name.massive_bite","Kæmpebid"
"specials.name.massive_chop","Voldsomt slag"
"specials.name.massive_cleave","Voldsom kriger"
"specials.name.massive_swing","Kæmpe sving"
"specials.name.master_of_ailments","Lidelsernes mester"
"specials.name.master_plan","Mesterplan"
"specials.name.masterful_balance","Mesterlig balance"
"specials.name.masterful_manipulation","Mesterlig manipulation"
"specials.name.mauling_tusk","Knusende stødtand"
"specials.name.mean_jab_dragon_pve","Ond slag"
"specials.name.mechanical_augmentations","Mekaniske forbedringer"
"specials.name.medicinal_drool","Helbredende savl"
"specials.name.medicinal_fumes","Medicinske dampe"
"specials.name.melody_harvest","Melodihøst"
"specials.name.melody_of_mana_control","Manakontrollens melodi"
"specials.name.melody_of_misery","Mismodets melodi"
"specials.name.memory_manipulation","Hukommelsesmanipulation"
"specials.name.memory_of_the_queen","Kejserindens minder"
"specials.name.mending_bronze_axe","Reparerer bronzeøksen"
"specials.name.mending_mantra","Rituel reparation"
"specials.name.mending_stitches","Helende sting"
"specials.name.merciless_bite","Ubarmhjertigt bid"
"specials.name.merciless_execution","Nådesløs henrettelse"
"specials.name.merciless_pulverizer","Skånselsløs knuser"
"specials.name.merriest_misery","Lykkeligste ulykke"
"specials.name.mesmerizing_mirror","Fascinerende spejl"
"specials.name.miasma_mace","Stinkende stridskølle"
"specials.name.midnight_magic","Midnatsmagi"
"specials.name.midnight_moon","Midnatsmåne"
"specials.name.midnight_smite","Midnatsangreb"
"specials.name.midnight_strike","Midnatsslag"
"specials.name.midsummers_dream","Midsommerdrøm"
"specials.name.midsummers_reverie","Skærsommerdrøm"
"specials.name.might_of_ares","Areas Kraft"
"specials.name.might_of_excalibroom","Excalibrooms magt"
"specials.name.might_of_the_ice_giants","Iskæmpernes styrke"
"specials.name.might_of_the_ice_giants_final","Iskæmpernes styrke"
"specials.name.mimic_bite","Efterlignerbid"
"specials.name.mimic_bite_burn","Ætsende bid"
"specials.name.mimic_bite2","Drabeligt efterlignerbid"
"specials.name.mimic_bite3","Efterlignergrådighed"
"specials.name.mimic_bite4","Efterlignerprovokering"
"specials.name.mimic_special","Listigt monster"
"specials.name.mimic_special2","Listigt monster"
"specials.name.mimic_training_hero_blue_bite","Grådig slughals"
"specials.name.mimic_training_hero_green_bite","Grådig slughals"
"specials.name.mimic_training_hero_purple_bite","Grådig slughals"
"specials.name.mimic_training_hero_red_bite","Grådig slughals"
"specials.name.mimic_training_hero_yellow_bite","Grådig slughals"
"specials.name.mind_blast","Bevidsthedsbrag"
"specials.name.mindless_attack","Tankeløst angreb"
"specials.name.minion_scrutiny","Håndlangereftersyn"
"specials.name.mischievous_flourish","Drilsk tuche"
"specials.name.mischievous_flourish_pve_advanced","Drilsk tuche"
"specials.name.mischievous_flourish_pve_normal","Drilsk tuche"
"specials.name.mischievous_tiein","Drilagtig forbindelse"
"specials.name.missile_mania","Missilmani"
"specials.name.mist_of_the_fallen","De faldnes dis"
"specials.name.mistletoe_medley","Mistelten-medley"
"specials.name.misty_punches","Tågede slag"
"specials.name.mixed_green_herbs","Blandede grønne urter"
"specials.name.molten_wax","Smeltet voks"
"specials.name.monastic_restraint","Monastisk tilbageholdenhed"
"specials.name.monstrous_bite","Monsterbid"
"specials.name.moody_jab_dragon_pve","Humørsygt slag"
"specials.name.mooing_for_a_fight","Muh-dderkast"
"specials.name.moon_boomerang","Måneboomerang"
"specials.name.moon_crush_beam","Knusende månestråle"
"specials.name.moonlight_crescendo","Måneskinscrescendo"
"specials.name.moonlight_serenade","Måneskinssonate"
"specials.name.moonlight_sonata","Måneskinssonate"
"specials.name.moonstone_glare_dragon_pve","Månestenens skulen"
"specials.name.moreau_phase1_special","Lysende skadefryd"
"specials.name.moreau_phase2_special1","Lysende skadefryd"
"specials.name.moreau_phase2_special2","Lysende skadefryd"
"specials.name.morning_catch","Morgenfangst"
"specials.name.mother_dragons_love","Dragemoders kærlighed"
"specials.name.motherly_care","Moderlig omsorg"
"specials.name.motherly_care_pve","Moderlig omsorg"
"specials.name.motherly_love","Moderkærlighed"
"specials.name.muffin_poisoning","Muffin-forgiftning"
"specials.name.multi_elemental_mark","Multi-elementmærke"
"specials.name.multi_throw","Multi-kast"
"specials.name.mummy_slash","Mumiesnit"
"specials.name.mummy_strike","Mumieangreb"
"specials.name.musketeers_deal","Musketerens aftale"
"specials.name.musketeers_mead","Musketerens mjød"
"specials.name.mutated_specimen","Muteret eksemplar"
"specials.name.mutating_mixture","Muterende mikstur"
"specials.name.mystery_potions","Mystiske eliksirer"
"specials.name.mystic_chop","Mystisk hug"
"specials.name.mystical_concerto","Mystisk koncert"
"specials.name.mystics_virtue","Mystikkens dyd"
"specials.name.mythic_lightning","Mytisk lyn"
"specials.name.nasty_hammer","Hæslig hammer"
"specials.name.natures_blessing","Bersærkerraseri"
"specials.name.natures_connection","Naturens forbindelse"
"specials.name.natures_fury","Naturens vrede"
"specials.name.natures_payback","Naturens hævn"
"specials.name.nebula_orb","Stjernetågekugle"
"specials.name.nebula_orb_ultimate_boss","Stjernetågekugle"
"specials.name.necronomicon_page_13","Necronomicon side 13"
"specials.name.nephrite_blade","Nefritsværd"
"specials.name.nethershield","Nethershield"
"specials.name.never_ending_winter","Endeløs vinter"
"specials.name.night_falls","Mørkets frembrud"
"specials.name.night_of_crimes","Forbrydelsens nat"
"specials.name.nightbloom_dust","Natblomstens støv"
"specials.name.nightglade_pollen","Natlysningspollen"
"specials.name.nights_whisper","Nattens hvisken"
"specials.name.nimble_bite","Hurtigbid"
"specials.name.nine_dragon_strike","Ni drageslag"
"specials.name.nobles_empathy","Adlens empati"
"specials.name.nobles_empathy_costume_artisan","Kalligrafens empati"
"specials.name.nomadic_hymn","Nomadehymne"
"specials.name.northern_wanderer","Glædelig støtte"
"specials.name.noxious_blossom","Giftig blomst"
"specials.name.noxious_chord","Giftig streng"
"specials.name.noxious_cleave","Giftig kløvning"
"specials.name.noxious_cleave_pve","Giftig kløvning"
"specials.name.nuts_of_yggdrasil","Yggdrasils nødder"
"specials.name.oath_of_templar","Tempelridderens ed"
"specials.name.obliterating_surge","Tilintetgørende bølge"
"specials.name.ocarina_windsong","Ocarina-vindsang"
"specials.name.occult_redemption","Okkult frelse"
"specials.name.ocean_vortex","Havmalstrøm"
"specials.name.oceanic_offensive","Oceansk offensiv"
"specials.name.oceanic_slayer","Tidevandsdræber"
"specials.name.oceanic_suffering","Oceanisk lidelse"
"specials.name.oceans_decay","Havets forfald"
"specials.name.oceans_embrace","Havets omfavnelse"
"specials.name.oceans_ruin","Havets ruin"
"specials.name.odd_drum_roll","Sær trommehvirvel"
"specials.name.oji_waza","Oji-Waza"
"specials.name.old_curse","Gammel forbandelse"
"specials.name.omega_flame","Omega-angreb"
"specials.name.omega_strike_dark","Omega-angreb"
"specials.name.omega_strike_fire","Omega-angreb"
"specials.name.omega_strike_holy","Omega-angreb"
"specials.name.omega_strike_ice","Omega-angreb"
"specials.name.omega_strike_nature","Omega-angreb"
"specials.name.omen_of_retribution","Gengældelsens tegn"
"specials.name.omnicure","Omnikur"
"specials.name.omniheal","Omnihelbredelse"
"specials.name.omnimend","Omnihelbredelse"
"specials.name.one_hit_wonder","Engangshit"
"specials.name.one_jump_ahead","Et skridt foran"
"specials.name.one_spell_ahead","Én besværgelse foran"
"specials.name.opposing_raid","Modstridende togter"
"specials.name.orchestra_of_candles","Lysenes orkester"
"specials.name.orchids_and_roses","Orkidéer og roser"
"specials.name.order_ambush","Bagholdsangreb"
"specials.name.order_ambush_pve","Bagholdsangreb"
"specials.name.order_from_the_depths","Dybets befaling"
"specials.name.order_to_overwhelm","Overvældende overskud"
"specials.name.orsoldoon","Örsöldöön"
"specials.name.overpowering_grip_dragon_pve","Overmandende greb"
"specials.name.overvlowing_whirlwind","Hvirvelvindens overflod"
"specials.name.overwhelming_raid","Overvældende togt"
"specials.name.owls_blessing","Uglens velsignelse"
"specials.name.pacifying_presence_dragon_pve","Formildende kraft"
"specials.name.pain_harvest","Smertehøster"
"specials.name.paragon_of_constellations","Stjernebilledemønster"
"specials.name.paralyzing_spore","Paralyserende spore"
"specials.name.parcel_of_the_dragon_familiar","Drageåndens pakke"
"specials.name.passion_conquers_all","Passion overvinder alt"
"specials.name.pathfinders_compass","Stifinders kompas"
"specials.name.paw_in_every_pie","En pote i alle tærter"
"specials.name.pawns_of_divinity","Guddommelige tjenere"
"specials.name.paws_or_claws","Poter eller kløer"
"specials.name.peach_of_immortality","Udødelighedens ferskner"
"specials.name.pearls_of_rejuvenation","Foryngelsesperler"
"specials.name.perfect_riposte","Perfekt modangreb"
"specials.name.perfect_shot","Perfekt skud"
"specials.name.perfect_teamwork","Perfekt samarbejde"
"specials.name.perfume_cloud","Parfumesky"
"specials.name.perilous_gift","Giftig gave"
"specials.name.perilous_present_pve","Giftig gave"
"specials.name.perilous_waters","Farefulde vande"
"specials.name.perplexing_riddle","Forvirrende gåde"
"specials.name.pest_control","Skadedyrsbekæmpelse"
"specials.name.pet_larva","Kælelarve"
"specials.name.petals_of_nourishment","Næringens blomsterblade"
"specials.name.petrifying_knuckles","Forstenende knoer"
"specials.name.petrifying_performance","Forstenende forestilling"
"specials.name.picnic_in_the_sky","Himmelpicnic"
"specials.name.pie_of_protection","Beskyttelsestærte"
"specials.name.piercing_falcon","Gennemborende falk"
"specials.name.piercing_hit","Perforerende angreb"
"specials.name.piercing_practice_slash","Gennemborende træningshug"
"specials.name.piercing_sabre","Spiddende sabel"
"specials.name.piercing_scream_dragon_pve","Gennemborende skrig"
"specials.name.piercing_shot","Gennemborende skud"
"specials.name.piercing_strike","Perforerende slag"
"specials.name.piercing_tusk","Penetrerende stødtand"
"specials.name.pincer_claw","Niveklo"
"specials.name.pincer_claw_deadly","Niveklo"
"specials.name.pineapple_alchemist","Ananasalkymisten"
"specials.name.pineapple_barbeque","Ananasbarbecue"
"specials.name.pirate_shot","Piratskud"
"specials.name.pirates_vengeance","Piratens hævn"
"specials.name.pixie_dust","Nissestøv"
"specials.name.plague_bite","Pestbid"
"specials.name.plague_blade","Pestsværd"
"specials.name.planar_time_widget","Tidswidget til planet"
"specials.name.planetary_charge","Planetarisk opladning"
"specials.name.plantipede_sting","Plantipede-stik"
"specials.name.plentiful_harvest","Rigelig høst"
"specials.name.plentiful_minerals","Masser af mineraler"
"specials.name.plume_flash","Fjerlyn"
"specials.name.poem_of_the_centaurs","Kentaurernes digt"
"specials.name.poem_of_the_morass","Moradsets digt"
"specials.name.poetic_justice","Poetisk retfærdighed"
"specials.name.poets_protection","Digterens beskyttelse"
"specials.name.pointy_darts","Spidse pile"
"specials.name.poison_bite","Giftbid"
"specials.name.poison_bite_dragon_pve","Giftbid"
"specials.name.poison_bolt_zidane","Giftlyn"
"specials.name.poison_claw","Giftklo"
"specials.name.poison_jolt","Giftstød"
"specials.name.poison_strike","Giftangreb"
"specials.name.poison_tipped_arrow","Giftpil"
"specials.name.poison_web","Giftigt spind"
"specials.name.poisoned_blade","Forgiftet klinge"
"specials.name.poisoning_blade","Forgiftende klinge"
"specials.name.poisonous_mist","Giftig dis"
"specials.name.poisonous_saliva","Giftigt spyt"
"specials.name.polar_bash","Polarslag"
"specials.name.polar_night_blizzard","Arktisk nattestorm"
"specials.name.poleaxe_of_the_law","Lovens stridsøkse"
"specials.name.polestar_expedition","Ekspedition mod ledestjernen"
"specials.name.pompous_flex","Pompøst fleks"
"specials.name.portents_of_future","Varsler om fremtiden"
"specials.name.possessed_strike","Besat angreb"
"specials.name.possessor_of_penance","Bodsbesidder"
"specials.name.postal_pulverizer","Postpulveriserer"
"specials.name.potion_cocktail","Eliksircocktail"
"specials.name.potions_of_covetous_desire","Begærseliksirer"
"specials.name.potions_of_covetous_desire_pve","Begærseliksirer"
"specials.name.potions_of_havoc_and_healing","Ødelæggende og helbredende eliksirer"
"specials.name.pounce_of_the_lioness","Løvindens angreb"
"specials.name.pounding_attack","Hamrende angreb"
"specials.name.power_of_ajna","Ajnas kraft"
"specials.name.power_of_flora","Blomstens kraft"
"specials.name.power_of_mjolnir","Mjölnirs kraft"
"specials.name.power_of_the_forest","Skovens kræfter"
"specials.name.power_of_the_void","Tomrummets kraft"
"specials.name.power_punch","Styrkeslag"
"specials.name.power_slam","Kraftbrag"
"specials.name.power_wave","Kraftbølge"
"specials.name.prayer_of_the_desert","Ørkenbøn"
"specials.name.precious_pets","Dyrbare kæledyr"
"specials.name.precious_pets_pve_advanced","Dyrbare kæledyr"
"specials.name.precious_pets_pve_normal","Dyrbare kæledyr"
"specials.name.precise_chop","Præcist hug"
"specials.name.precise_riposte","Præcis ripost"
"specials.name.preserve_and_freeze","Beskyt og frys"
"specials.name.prestidigitation","Prestidigitation"
"specials.name.prestidigitation_cross","Kors"
"specials.name.prestidigitation_skull","Kranie"
"specials.name.prestidigitation_stars","Stjerner"
"specials.name.primeval_glaive","Urgammel glavind"
"specials.name.princess_unleashed","Prinsesse sat fri"
"specials.name.prosperity_for_domain","Rigdom til domæne"
"specials.name.protective_stance","Beskyttende stilling"
"specials.name.protector_of_the_blue_river","Den blå flods beskytter"
"specials.name.protein_corruption","Proteinfordærv"
"specials.name.protein_eater","Proteinspiser"
"specials.name.pulsar_blast","Pulsskud"
"specials.name.pulsarstrike","Pulsarslag"
"specials.name.pulverizing_ham","Pulveriseringsskinke"
"specials.name.pummeling","Tæsk"
"specials.name.punishing_shot","Strafskud"
"specials.name.punishing_shot_pve","Strafskud"
"specials.name.punishing_strike","Strafslag"
"specials.name.puppy_tales","Hvalpehistorier"
"specials.name.pure_shot","Rent skud"
"specials.name.purification","Renselse"
"specials.name.purifying_flame","Rensende flamme"
"specials.name.purifying_flame_pve","Rensende flamme"
"specials.name.purifying_hit","Rensende slag"
"specials.name.purifying_ki","Rensende ki"
"specials.name.purifying_light","Rensende lys"
"specials.name.purifying_strike","Rensende angreb"
"specials.name.purple_beetloid_bite","Lilla Beetloid-bid"
"specials.name.pursuing_shot","Forfølgelsesskud"
"specials.name.putrid_perfume","Rådden parfume"
"specials.name.puzzling_paint","Gådefuld maling"
"specials.name.puzzling_riddle","Gådefuld gåde"
"specials.name.qilin_blade","Qilin-klinge"
"specials.name.queen_of_cards","Kortdronning"
"specials.name.queen_of_the_depths","Kejserinde af dybet"
"specials.name.queen_of_the_depths_final","Kejserinde af dybet"
"specials.name.queens_blood_poisoning","Sorgens skumring"
"specials.name.queens_curse","Sandstorm"
"specials.name.queens_curse_pve","Sandstorm"
"specials.name.quick_and_nimble","Let på tå"
"specials.name.rabbits_watch","Kanins ur"
"specials.name.raccoon_bite","Vaskebjørnens bid"
"specials.name.radiant_comeback","Strålende comeback"
"specials.name.radiant_rapid_fire","Strålende hurtigskud"
"specials.name.radiant_shackles","Lysende lænker"
"specials.name.radiant_sweep_dragon_pve","Strålende fejning"
"specials.name.radiating_frost","Froststråler"
"specials.name.rage_of_grimnir","Grimnirs vrede"
"specials.name.raging_tempest","Raserende storm"
"specials.name.rain_of_arrows","Pileregn"
"specials.name.rain_of_fire","Ildregn"
"specials.name.rain_of_fire_ultimate_boss","Ildregn"
"specials.name.raising_morale","Opløftende budskab"
"specials.name.rally_of_the_deep","Dybets samling"
"specials.name.ramming_pulverizer","Smadrende pulverknuser"
"specials.name.ramming_rush","Smadrende hast"
"specials.name.rapid_shots","Hurtige skud"
"specials.name.rattle_of_confusion","Forvirrende skramlen"
"specials.name.ravaging_talons","Kaoskløer"
"specials.name.ravening_blade","Glubende klinge"
"specials.name.ravenous_pounce","Skrupsultent spring"
"specials.name.ravens_vigil","Ravns nattevagt"
"specials.name.ravens_watch","Ravnenes vagt"
"specials.name.ray_strike","Fatal stråle"
"specials.name.razor_smile","Knivskarpt smil"
"specials.name.reanimated_spite","Genoplivet ondskab"
"specials.name.reanimated_spite_pve","Genoplivet ondskab"
"specials.name.reckless_charge","Halsløst stormløb"
"specials.name.reckless_finisher","Dumdristig afslutter"
"specials.name.reckless_slash","Dumdristigt hug"
"specials.name.reckless_stab","Dumdristigt stik"
"specials.name.reckless_swing","Dumdristigt sving"
"specials.name.reckless_sword_swings","Dumdristige sværdhug"
"specials.name.red_lizard_charge","Rødt Camo Lizard-angreb"
"specials.name.red_shoes","Røde sko"
"specials.name.red_sparks_dragon_pve","Røde gnister"
"specials.name.reef_blast","Reveksplosion"
"specials.name.reflecting_stance","Afbøjende positur"
"specials.name.regal_claws","Kongelige kløer"
"specials.name.regal_spearhead","Royalt spydspids"
"specials.name.regeneration","Regenerering"
"specials.name.rejuvenating_elixir","Oplivende eliksir"
"specials.name.rejuvenating_leap","Foryngelsesspring"
"specials.name.relaxing_riddle","Beroligende gåde"
"specials.name.relentless_brawler","Nådesløs slagsbror"
"specials.name.remedies_and_diseases","Lægemidler og sygdomme"
"specials.name.rending_dagger","Flænsende dolk"
"specials.name.reporting_for_duty","Melder klar til tjeneste"
"specials.name.resolute_spirit","Standhaftig ånd"
"specials.name.resolute_spirit2","Standhaftig ånd"
"specials.name.restoration_and_annihilation","Genoprettelse og udryddelse"
"specials.name.resurrection_of_the_fallen","De faldnes genoplivning"
"specials.name.resurrection_of_the_fallen_kemeny","De faldnes genoplivning"
"specials.name.revengeful_smite","Hævnfuldt angreb"
"specials.name.reverse_recovery","Omvendt bedring"
"specials.name.reversed_lifeforce","Omvendt livskraft"
"specials.name.revitalizing_melody","Forfriskende melodi"
"specials.name.revitalizing_orb","Livgivende sfære"
"specials.name.revitalizing_sludge","Livgivende mudder"
"specials.name.reviving_touch","Genoplivende berøring"
"specials.name.rhythm_of_havoc","Ravagens rytme"
"specials.name.riches_to_poor","Fra rigdom til fattigdom"
"specials.name.ricochet_bolt","Rikochetlyn"
"specials.name.riddle_of_the_moon","Månens gåde"
"specials.name.riddle_of_the_sun","Solens gåde"
"specials.name.riders_arrow","Rytterpil"
"specials.name.riders_lance","Rytterlanse"
"specials.name.rift_blade","Revnesværd"
"specials.name.righteous_pulverizer","Retfærdig pulverisator"
"specials.name.righteous_revenge","Retfærdig hævn"
"specials.name.righteous_stance","Retfærdig holdning"
"specials.name.righteous_strike","Retfærdigt slag"
"specials.name.rime_heart","Rimhjerte"
"specials.name.ring_around_the_rosie","Så går vi rundt om en enebærbusk"
"specials.name.rite_of_cuteness","Dommens tegneseriefigur"
"specials.name.rite_of_glass","Glasdom"
"specials.name.rite_of_judgement","Dommedagsritual"
"specials.name.rites_of_inner_knowledge","Den indre videns riter"
"specials.name.ritual_of_judgement","Domsritual"
"specials.name.ritual_of_the_deep","Dybets ritual"
"specials.name.ritual_of_the_elements","Elementernes ritual"
"specials.name.roadside_surprise","Vejsideoverraskelse"
"specials.name.roar_of_the_panther","Panterbrøl"
"specials.name.rockfall_bash","Stenskredshammer"
"specials.name.rod_of_freedom","Frihedsstang"
"specials.name.rod_of_torment","Pinens kæp"
"specials.name.roman_cleave","Spartanerangreb"
"specials.name.roots_of_wrath","Vredens rødder"
"specials.name.roots_of_yggdrasil","Yggdrasils rødder"
"specials.name.rose_bouquet_blast","Roseneksplosion"
"specials.name.rotting_wound_dragon_pve","Rådnende sår"
"specials.name.rottman","Rottemani"
"specials.name.rough_and_tumble","Bisset og vild"
"specials.name.royal_assault","Royalt angreb"
"specials.name.royal_blades","Kongelige klinger"
"specials.name.royal_meatball_buffet","Royal kødbollebuffet"
"specials.name.royal_poisoner","Kongelig forgiver"
"specials.name.ruby_rush","Rubinravage"
"specials.name.rude_awakening","Brutal opvågnen"
"specials.name.ruler_of_seas","Havenes hersker"
"specials.name.ruler_of_seas_deadly","Havenes hersker"
"specials.name.rural_chop","Landhug"
"specials.name.rush_of_flame","Flammernes rasen"
"specials.name.rushed_melody","Forhastet melodi"
"specials.name.rusty_blade","Rusten klinge"
"specials.name.ruthless_gambit","Nådeløs gambit"
"specials.name.sable_slasher","Sabelhugger"
"specials.name.sacrament_of_salvation","Frelsens salvelse"
"specials.name.sacred_horns","Hellige horn"
"specials.name.sacred_reflection","Hellig refleksion"
"specials.name.saga_of_deliverance","Udfrielsens saga"
"specials.name.saga_of_protection","Beskyttelsens saga"
"specials.name.salty_splash_dragon_pve","Salte stænk"
"specials.name.sanction_for_heresy","Kætterisanktion"
"specials.name.sanctuary_of_light","Lysets tilflugtssted"
