"herocard.passive_skill.description.addmana.all.allies","Wszyscy sojusznicy zyskują małą ilość many."
"herocard.passive_skill.description.summonfamiliarperturn.evolving_seedling_parasite.enemies.sharedonceperturn","Co turę wzywa na losowego wroga potwora sadzonkę. Ta umiejętność pasywna aktywuje się tylko raz na turę dla każdej drużyny.
 Potwór sadzonka ewoluuje w kiełkującego potwora po upływie {EVOLVINGFAMILIAR1EVOLVETURNS} tur.
 Kiełkujący potwór ewoluuje w kwitnącego mega potwora po upływie {EVOLVINGFAMILIAR2EVOLVETURNS} tur.

Potwór sadzonka: 
{EVOLVINGFAMILIAR1FAMILIARATTACK}% ataku, {EVOLVINGFAMILIAR1FAMILIARHEALTHPERCENT}% zdrowia.

Kiełkujący potwór:
{EVOLVINGFAMILIAR2FAMILIARATTACK}% ataku, {EVOLVINGFAMILIAR2FAMILIARHEALTHPERCENT}% zdrowia.

Kwitnący mega potwór:
{EVOLVINGFAMILIAR3FAMILIARATTACK}% ataku, {EVOLVINGFAMILIAR3FAMILIARHEALTHPERCENT}% zdrowia."
"herocard.passive_skill.description.summonfamiliarperturn.evolving_seedling_parasite_with_delay.enemies.sharedonceperturn","Co turę wzywa na losowego wroga potwora sadzonkę. Ta umiejętność pasywna aktywuje się tylko raz na turę dla każdej drużyny.
 Potwór sadzonka ewoluuje w kiełkującego potwora po upływie {EVOLVINGFAMILIAR1EVOLVETURNS} tur.
 Kiełkujący potwór ewoluuje w kwitnącego mega potwora po upływie {EVOLVINGFAMILIAR2EVOLVETURNS} tur.
Ewolucja potworów zostaje opóźniona o {EVOLVINGFAMILIAR1EVOLVETURNSDELAY} tur(y) za każdym razem, gdy pochłoną leczenie.

Potwór sadzonka: 
{EVOLVINGFAMILIAR1FAMILIARATTACK}% ataku, {EVOLVINGFAMILIAR1FAMILIARHEALTHPERCENT}% zdrowia.

Kiełkujący potwór:
{EVOLVINGFAMILIAR2FAMILIARATTACK}% ataku, {EVOLVINGFAMILIAR2FAMILIARHEALTHPERCENT}% zdrowia.

Kwitnący mega potwór:
{EVOLVINGFAMILIAR3FAMILIARATTACK}% ataku, {EVOLVINGFAMILIAR3FAMILIARHEALTHPERCENT}% zdrowia."
"herocard.passive_skill.description.summonfamiliarperturn.evolving_seedling_parasite_with_delay_epic.enemies.sharedonceperturn","Co turę wzywa na losowego wroga potwora sadzonkę. Ta umiejętność pasywna aktywuje się tylko raz na turę dla każdej drużyny.
 Potwór sadzonka ewoluuje w kiełkującego potwora po upływie {EVOLVINGFAMILIAR1EVOLVETURNS} tur.
 Kiełkujący potwór ewoluuje w kwitnącego mega potwora po upływie {EVOLVINGFAMILIAR2EVOLVETURNS} tur.
Ewolucja potworów zostaje opóźniona o {EVOLVINGFAMILIAR1EVOLVETURNSDELAY} tur(y) za każdym razem, gdy pochłoną leczenie.

Potwór sadzonka: 
{EVOLVINGFAMILIAR1FAMILIARATTACK}% ataku, {EVOLVINGFAMILIAR1FAMILIARHEALTHPERCENT}% zdrowia.

Kiełkujący potwór:
{EVOLVINGFAMILIAR2FAMILIARATTACK}% ataku, {EVOLVINGFAMILIAR2FAMILIARHEALTHPERCENT}% zdrowia.

Kwitnący mega potwór:
{EVOLVINGFAMILIAR3FAMILIARATTACK}% ataku, {EVOLVINGFAMILIAR3FAMILIARHEALTHPERCENT}% zdrowia."
"herocard.passive_skill.description.summonfamiliarperturn.evolving_seedling_parasite_with_delay_rare.enemies.sharedonceperturn","Co turę wzywa na losowego wroga potwora sadzonkę. Ta umiejętność pasywna aktywuje się tylko raz na turę dla każdej drużyny.
 Potwór sadzonka ewoluuje w kiełkującego potwora po upływie {EVOLVINGFAMILIAR1EVOLVETURNS} tur.
 Kiełkujący potwór ewoluuje w kwitnącego mega potwora po upływie {EVOLVINGFAMILIAR2EVOLVETURNS} tur.
Ewolucja potworów zostaje opóźniona o {EVOLVINGFAMILIAR1EVOLVETURNSDELAY} tur(y) za każdym razem, gdy pochłoną leczenie.

Potwór sadzonka: 
{EVOLVINGFAMILIAR1FAMILIARATTACK}% ataku, {EVOLVINGFAMILIAR1FAMILIARHEALTHPERCENT}% zdrowia.

Kiełkujący potwór:
{EVOLVINGFAMILIAR2FAMILIARATTACK}% ataku, {EVOLVINGFAMILIAR2FAMILIARHEALTHPERCENT}% zdrowia.

Kwitnący mega potwór:
{EVOLVINGFAMILIAR3FAMILIARATTACK}% ataku, {EVOLVINGFAMILIAR3FAMILIARHEALTHPERCENT}% zdrowia."
"herocard.passive_skill.description.summononownerdeath.slime_big_minion_blue.neartotargetexceptcaster.allies","Gdy ta postać zostanie pokonana, wzywa dla pobliskich sojuszników śluzowych mega pomocników z {FAMILIARHEALTHPERCENT}% PŻ i {FAMILIARATTACK}% ataku przejętymi od tej postaci."
"herocard.passive_skill.description.summononownerdeath.slime_big_minion_green.neartotargetexceptcaster.allies","Gdy ta postać zostanie pokonana, wzywa dla pobliskich sojuszników śluzowych mega pomocników z {FAMILIARHEALTHPERCENT}% PŻ i {FAMILIARATTACK}% ataku przejętymi od tej postaci."
"herocard.passive_skill.description.summononownerdeath.slime_big_minion_purple.neartotargetexceptcaster.allies","Gdy ta postać zostanie pokonana, wzywa dla pobliskich sojuszników śluzowych mega pomocników z {FAMILIARHEALTHPERCENT}% PŻ i {FAMILIARATTACK}% ataku przejętymi od tej postaci."
"herocard.passive_skill.description.summononownerdeath.slime_big_minion_red.neartotargetexceptcaster.allies","Gdy ta postać zostanie pokonana, wzywa dla pobliskich sojuszników śluzowych mega pomocników z {FAMILIARHEALTHPERCENT}% PŻ i {FAMILIARATTACK}% ataku przejętymi od tej postaci."
"herocard.passive_skill.description.summononownerdeath.slime_big_minion_yellow.neartotargetexceptcaster.allies","Gdy ta postać zostanie pokonana, wzywa dla pobliskich sojuszników śluzowych mega pomocników z {FAMILIARHEALTHPERCENT}% PŻ i {FAMILIARATTACK}% ataku przejętymi od tej postaci."
"herocard.passive_skill.description.summononreceiveddamagewiththreshold.slime_big_minion_blue","Jeśli ta postać straci więcej niż {DAMAGETHRESHOLD}% maksymalnego zdrowia naraz, wzywa dla siebie śluzowego mega pomocnika z {FAMILIARHEALTHPERCENT}% PŻ i {FAMILIARATTACK}% ataku."
"herocard.passive_skill.description.summononreceiveddamagewiththreshold.slime_big_minion_green","Jeśli ta postać straci więcej niż {DAMAGETHRESHOLD}% maksymalnego zdrowia naraz, wzywa dla siebie śluzowego mega pomocnika z {FAMILIARHEALTHPERCENT}% PŻ i {FAMILIARATTACK}% ataku."
"herocard.passive_skill.description.summononreceiveddamagewiththreshold.slime_big_minion_purple","Jeśli ta postać straci więcej niż {DAMAGETHRESHOLD}% maksymalnego zdrowia naraz, wzywa dla siebie śluzowego mega pomocnika z {FAMILIARHEALTHPERCENT}% PŻ i {FAMILIARATTACK}% ataku."
"herocard.passive_skill.description.summononreceiveddamagewiththreshold.slime_big_minion_red","Jeśli ta postać straci więcej niż {DAMAGETHRESHOLD}% maksymalnego zdrowia naraz, wzywa dla siebie śluzowego mega pomocnika z {FAMILIARHEALTHPERCENT}% PŻ i {FAMILIARATTACK}% ataku."
"herocard.passive_skill.description.summononreceiveddamagewiththreshold.slime_big_minion_yellow","Jeśli ta postać straci więcej niż {DAMAGETHRESHOLD}% maksymalnego zdrowia naraz, wzywa dla siebie śluzowego mega pomocnika z {FAMILIARHEALTHPERCENT}% PŻ i {FAMILIARATTACK}% ataku."
"herocard.passive_skill.description.summononstatuseffectaddition.burn.forest_guardian.statuseffectdebuffs","Za każdym razem, gdy na tę postać zostaje nałożone podpalenie, wzywa do siebie leśnego strażniczego pomocnika. Leśny strażniczy pomocnik przejmuje {FAMILIARHEALTHPERCENT}% PŻ i {FAMILIARATTACK}% ataku od tej postaci."
"herocard.passive_skill.description.summononstatuseffectaddition.damageovertime.card_soldier_no_taunt.statuseffectdebuffs","Za każdym razem, gdy na tę postać zostaje nałożona dolegliwość ze statusu zadająca obrażenia z upływem czasu, wzywa do siebie karcianego żołnierza. Karciany żołnierz pomocnik przejmuje {FAMILIARHEALTHPERCENT}% PŻ i {FAMILIARATTACK}% ataku od tej postaci."
"herocard.passive_skill.description.summononstatuseffectaddition.defensemodifier.bull.none","Za każdym razem, gdy na tę postać zostaje nałożona dolegliwość ze statusu wpływająca na obronę, wzywa do siebie byczego pomocnika. Byczy pomocnik przejmuje {FAMILIARHEALTHPERCENT}% PŻ i {FAMILIARATTACK}% ataku od tej postaci."
"herocard.passive_skill.description.summononsummon.activates_on_enemy_action.allies.owl.minion","Wzywa na pomoc wróbla, gdy wróg przywoła dowolnego pomocnika przy użyciu umiejętności specjalnej."
"herocard.passive_skill.description.summononsummon.activates_on_enemy_action.enemies.cursed_sapling_parasite.minion","Kiedy przeciwnik przywołuje pomocników przy użyciu umiejętności specjalnej, ta postać przywołuje przeklętego kiełkującego potwora do tego przeciwnika."
"herocard.passive_skill.description.summononsummon.activates_on_enemy_action.enemies.seedling_parasite.minion","Kiedy przeciwnik przywołuje pomocników przy użyciu umiejętności specjalnej, ta postać przywołuje potwora sadzonkę do tego przeciwnika."
"herocard.passive_skill.description.targetstatedependenteffectonspecial.healthboost.all.allies.fixedpower.always.checkstate.all.allies.dance","Jeżeli dowolny sojusznik tańczy, gdy ta postać użyje swojej umiejętności specjalnej, wzmacnia zdrowie wszystkich sojuszników o {HEALTHBOOST}. Wzmocnione zdrowie może przekroczyć maks. PŻ."
"herocard.passive_skill.description.taunt","Prowokacja nie ma wpływu na umiejętność specjalną tej postaci."
"herocard.passive_skill.description.tileenhancementonspecial.accuracymodifier.blue","Tarcze lodu na planszy zostają osłabione o {MODIFIER}% celności, gdy ta postać rzuci umiejętność specjalną."
"herocard.passive_skill.description.tileenhancementonspecial.accuracymodifier.green","Tarcze natury na planszy zostają osłabione o {MODIFIER}% celności, gdy ta postać rzuci umiejętność specjalną."
"herocard.passive_skill.description.tileenhancementonspecial.accuracymodifier.purple","Tarcze mroku na planszy zostają osłabione o {MODIFIER}% celności, gdy ta postać rzuci umiejętność specjalną."
"herocard.passive_skill.description.tileenhancementonspecial.accuracymodifier.red","Tarcze ognia na planszy zostają osłabione o {MODIFIER}% celności, gdy ta postać rzuci umiejętność specjalną."
"herocard.passive_skill.description.tileenhancementonspecial.accuracymodifier.yellow","Tarcze światłości na planszy zostają osłabione o {MODIFIER}% celności, gdy ta postać rzuci umiejętność specjalną."
"herocard.passive_skill.description.tileenhancementonspecial.criticalchancemultiplier.blue","Tarcze lodu na planszy zostają wzmocnione o {MODIFIER}% szans na trafienie krytyczne, gdy ta postać rzuci umiejętność specjalną."
"herocard.passive_skill.description.tileenhancementonspecial.criticalchancemultiplier.green","Tarcze natury na planszy zostają wzmocnione o {MODIFIER}% szans na trafienie krytyczne, gdy ta postać rzuci umiejętność specjalną."
"herocard.passive_skill.description.tileenhancementonspecial.criticalchancemultiplier.purple","Tarcze mroku na planszy zostają wzmocnione o {MODIFIER}% szans na trafienie krytyczne, gdy ta postać rzuci umiejętność specjalną."
"herocard.passive_skill.description.tileenhancementonspecial.criticalchancemultiplier.red","Tarcze ognia na planszy zostają wzmocnione o {MODIFIER}% szans na trafienie krytyczne, gdy ta postać rzuci umiejętność specjalną."
"herocard.passive_skill.description.tileenhancementonspecial.criticalchancemultiplier.yellow","Tarcze światłości na planszy zostają wzmocnione o {MODIFIER}% szans na trafienie krytyczne, gdy ta postać rzuci umiejętność specjalną."
"herocard.passive_skill.description.transformstatuseffectonspecialcast.minorbuff.enemies.all.transform_attackmodifier_into_attackmodifier.transform_defensemodifier_into_defensemodifier.transform_managenerationmodifier_into_managenerationmodifier","Za każdym razem, gdy ta postać rzuci umiejętność specjalną, wszystkie odwoływalne wzmocnienia wpływające na atak, obronę i regenerację many wszystkich wrogów zostają przekształcone w odpowiednie, niemożliwe do odwołania dolegliwości ze statusu."
"herocard.passive_skill.description.transformstatuseffectonspecialcast.minordebuff.allies.all.transform_attackmodifier_into_attackmodifier.transform_defensemodifier_into_defensemodifier.transform_managenerationmodifier_into_managenerationmodifier","Za każdym razem, gdy ta postać rzuci umiejętność specjalną, wszystkie oczyszczalne dolegliwości ze statusu wpływające na atak, obronę i regenerację many wszystkich sojuszników zostają przekształcone w odpowiednie, niemożliwe do odwołania wzmocnienia."
"herocard.passive_skill.description.wither.all.enemies","Podstawowy atak i obrona wszystkich wrogów są zmniejszane o {STATINCREASE} pkt. co turę przez {MAXACTIVATIONCOUNT} tur(y)."
"herocard.passive_skill.inactive","NIEAKTYWNE: osiągnij maksymalny poziom i ulepszenie, aby aktywować."
"herocard.passive_skill.replace.minordebuff.attackmodifier.to.minorbuff.attackmodifier","Dolegliwości ofensywne zostają zamienione na {ATTACK}% do ataku na okres {TURNS} tur."
"herocard.passive_skill.replace.minordebuff.buffimmunity.to.minorbuff.debuffshield","Wzmocnienie dolegliwości zostaje zamienione na odporność na dolegliwości na okres {TURNS} tur."
"herocard.passive_skill.replace.minordebuff.defensemodifier.to.minorbuff.defensemodifier","Dolegliwości obronne zostają zamienione na {DEFENSE}% do obrony na okres {TURNS} tur."
"herocard.passive_skill.replace.minordebuff.healingmodifier.to.minorbuff.healmultiplier","Zmniejszenie leczenia zostaje zamienione na {HEALING}% zwiększenia leczenia na okres {TURNS} tur."
"herocard.passive_skill.replace.minordebuff.manaeffect.to.minorbuff.managenerationmodifier","Wszystkie dolegliwości związane z maną zostają zamienione na {MANAREGEN}% do regeneracji many na okres {TURNS} tur."
"herocard.passive_skill.replace.minordebuff.receiveddamagemodifier.to.minorbuff.receiveddamagemodifier","Zwiększenie obrażeń od dolegliwości zostaje zamienione na {DAMAGEREDUCTION}% zmniejszenie obrażeń na okres {TURNS} tur."
"herocard.passive_skill.replace.minordebuff.statuseffectreflect.to.minorbuff.reflectminordebuffs","Dolegliwości odbijające wzmocnienia zostają zamienione na wzmocnienia odbijające dolegliwości na okres {TURNS} tur."
"herocard.passive_skill.replace_direct_effect.attackwither","Atak suszy zostaje zamieniony na atak wzrostu: {FIXEDPOWER} pkt. ataku."
"herocard.passive_skill.replace_direct_effect.defensewither","Obrona suszy zostaje zamieniona na obronę wzrostu: {FIXEDPOWER} pkt. obrony."
"herocard.passive_skill.replace_direct_effect.dispel","Odwołania wzmocnień zostają zamienione na oczyszczenia dolegliwości."
"herocard.passive_skill.replace_direct_effect.fiend.stylish_minion","Potwory zostają zamienione na stylowych pomocników ({FAMILIARHEALTHPERCENT}% PŻ, {FAMILIARATTACK}% ataku)."
"herocard.passive_skill.replace_direct_effect.manareduction","Zmniejszenia many zostają zamienione na {POWER}% zwiększenie many."
"herocard.passive_skill.sidedependent.sideinfo.heroside","Umiejętność pasywna, gdy postać atakuje:"
"herocard.passive_skill.sidedependent.sideinfo.opponentside","Umiejętność pasywna, gdy postać broni:"
"herocard.passive_skill.title.addstatuseffectsonenemyattackbuff","Efekt statusu wpływający na wzmocnienie ataku wroga"
"herocard.passive_skill.title.addstatuseffectsonenemydefensebuff","Efekt statusu wpływający na wzmocnienie obrony wroga"
"herocard.passive_skill.title.addstatuseffectsonmanareduction","Efekt statusu wpływający na redukcję many"
"herocard.passive_skill.title.bleed.effectondamageovertime.activates_on_enemy_action.addmana","Mana przy krwawieniu"
"herocard.passive_skill.title.bleed.effectondamageovertime.activates_on_enemy_action.heal","Leczenie podczas krwawienia"
"herocard.passive_skill.title.burn.effectondamageovertime.activates_on_enemy_action.addmana","Mana za oparzenia"
"herocard.passive_skill.title.bypassfamiliars.minion","Omijanie pomocników"
"herocard.passive_skill.title.bypassfamiliars.minion.bigminion","Ulepszone omijanie pomocników"
"herocard.passive_skill.title.caststatuseffectdurationmodifier","Wydłużony czas trwania efektu ze statusu"
"herocard.passive_skill.title.chargebasedmodifier.managenerationmodifier.dodgemodifier","Pęd lotu"
"herocard.passive_skill.title.conditionaleffectovertime.addmana.everyturn.while.all.allies.haswither","Mana podczas suszy"
"herocard.passive_skill.title.conditionaleffectovertime.revival.while.single.allies.hasdeadallies","Wskrzesza z czasem"
"herocard.passive_skill.title.conditionaleffectovertime.usable_once.heal.addmana.everyturn.while.single.allies.lowhealth","Moc Sisu"
"herocard.passive_skill.title.convertincomingdamagetoheal.all.statuseffect","Wewnętrzne piękno"
"herocard.passive_skill.title.convertincomingdamagetoheal.statuseffect","Wewnętrzne piękno"
"herocard.passive_skill.title.corrosiveburncoreintrinsicchargeeffectonspecial.activates_on_ally_action.statuseffects.corrosiveburn","Stopiony rdzeń"
"herocard.passive_skill.title.corrosiveburncoreintrinsicchargeeffectonspecial.statuseffects.corrosiveburn","Stopiony rdzeń"
"herocard.passive_skill.title.corrosivecoreintrinsicchargeeffectonspecial.statuseffects.corrosivepoison","Rdzeń korozji"
"herocard.passive_skill.title.corrosivefrostcoreintrinsicchargeeffectonspecial.statuseffects.corrosivefrost","Arktyczny rdzeń"
"herocard.passive_skill.title.criticalmodifier","Modyfikator trafień krytycznych"
"herocard.passive_skill.title.criticalmodifiersupportcharacter.troop","Modyfikator trafień krytycznych"
"herocard.passive_skill.title.critmodifier","Modyfikator szansy na trafienie krytyczne"
"herocard.passive_skill.title.damageincreasebyinsanity.troop.specialskill.npcnormalattack","Naznaczenie Starożytnych"
"herocard.passive_skill.title.dealtdamagemodifieronownedstatuseffect.bloodlily.stacks.enemies.single","Sangwiniczny znak"
"herocard.passive_skill.title.dealtdamagemodifieronownedstatuseffect.dance.allstatuseffects.allies.all","Zaciekły tancerz"
"herocard.passive_skill.title.dealtstrongelementtroopdamage","Mistrzostwo oddziału"
"herocard.passive_skill.title.debuffdamagereduction","Redukcja dotkliwości dolegliwości ze statusu"
"herocard.passive_skill.title.debuffdamagereductionsupportcharacter.troop","Redukcja dotkliwości dolegliwości ze statusu"
"herocard.passive_skill.title.destructivecoreintrinsicchargeeffectonspecial.damage","Rdzeń zniszczenia"
"herocard.passive_skill.title.dispelonownfamiliardeath.minion.minordebuff","Oczyszczenie po śmierci pomocnika"
"herocard.passive_skill.title.dodgespecialdamage","Unikanie obrażeń specjalnych"
"herocard.passive_skill.title.doubleeffectonchargedspecial.statuseffects.stackingmanagenerationmodifier.stacks","Kumulacja umiejętności specjalnej"
"herocard.passive_skill.title.eatfamiliarsonspecialcast.parasite.allies.single","Niszczy potwory przy umiejętności specjalnej"
"herocard.passive_skill.title.eatfamiliarswitheffectpereatenfamiliarovertime.addmana","Pożeraj pomocników i zyskuj z czasem manę"
"herocard.passive_skill.title.effectondamagedone.bufftoremove.minordebuff.latest.safe.specialskill.only_criticals.once","Oczyszczenie przy trafieniu krytycznym atakiem specjalnym"
"herocard.passive_skill.title.effectondamagedone.healthboost.specialskill.only_criticals.once","Wzmocnienie zdrowia przy trafieniu krytycznym atakiem specjalnym"
"herocard.passive_skill.title.effectondamagedonetohealthiertarget.healthboost.specialskill.once.effectondamagereceivedfromhealthierattacker.addmana.specialskill","Praworządna rebelia"
"herocard.passive_skill.title.effectondamagereceived.addmana.specialskill","Mana przy obrażeniach specjalnych"
"herocard.passive_skill.title.effectondamagereceived.addmana.troop.npcnormalattack.specialskill","Mana otrzymywana przy odniesieniu obrażeń"
"herocard.passive_skill.title.effectondamagereceived.damage.specialskill.statuseffectskill.cover","Obrażenia od umiejętności specjalnych i sojuszników pod osłoną"
"herocard.passive_skill.title.effectondamagereceived.none.specialskill.exclude.statuseffect.stacking_attack_on_damage_received_passive","Kumulacje ataku przy otrzymanych obrażeniach"
"herocard.passive_skill.title.effectondamagereceived.none.specialskill.exclude.statuseffect.stacking_attack_on_damage_received_passive_pve","Kumulacje ataku przy otrzymanych obrażeniach"
"herocard.passive_skill.title.effectondispel.activates_on_ally_action.healthboost.minordebuff.removalreason.dispel.activates_on_dispel_cast.valid_caster_side.allies","Wzmocnione zdrowie przy próbie oczyszczenia przez sojusznika"
"herocard.passive_skill.title.effectondispel.activates_on_enemy_action.damage.minordebuff.removalreason.dispel.activates_on_dispel_cast.valid_caster_side.enemies","Obrażenia przy próbie oczyszczenia przez wroga"
"herocard.passive_skill.title.effectondispel.addmana.minorbuff","Mana po odczarowaniu"
"herocard.passive_skill.title.effectondispel.addmana.minorbuff.removalreason.dispel","Mana po odwołaniu wzmocnienia"
"herocard.passive_skill.title.effectondispel.heal.statuseffectdebuffs.removalreason.dispel.removal.reallocation.expiration","Leczenie, gdy dolegliwość ze statusu wygaśnie lub zostanie zdjęta"
"herocard.passive_skill.title.effectondispel.healthboost.minorbuff.removalreason.dispel","Wzmocnienie zdrowia przy odwołaniu wzmocnienia"
"herocard.passive_skill.title.effectonfamiliardamagedone.minion.frost","Mróz przy trafieniu przez pomocnika"
"herocard.passive_skill.title.effectonheal.addmana","Mana przy regeneracji zdrowia"
"herocard.passive_skill.title.effectonheal.heal","Dodatkowe zdrowie podczas regeneracji zdrowia"
"herocard.passive_skill.title.effectonhealsupportcharacter.troop.heal","Dodatkowe LECZENIE"
"herocard.passive_skill.title.effectonmanareduction.statuseffects.attackmodifier","Efekt statusu wpływający na redukcję many"
"herocard.passive_skill.title.effectonmanareduction.statuseffects.yellowdefensemodifier","Efekt statusu wpływający na redukcję many"
"herocard.passive_skill.title.effectonresist.activates_on_enemy_action.healthboost.addmana.once","Wzmocnienie zdrowia i mana po odparciu"
"herocard.passive_skill.title.effectonspecialcastwitheffecttype.activates_on_enemy_action.addmana.on_healthboost_cast","Mana w umiejętności specjalnej wzmocnienie zdrowia"
"herocard.passive_skill.title.effectonspecialcastwitheffecttype.activates_on_enemy_action.healthboost.on_healthboost_cast","Wzmocnienie zdrowia, gdy wróg otrzymuje wzmocnione zdrowie"
"herocard.passive_skill.title.effectonspecialchancepermanaspeed","Efekty umiejętności specjalnej"
"herocard.passive_skill.title.effectonspecialskilldamagedone.bufftoremove.minordebuff.safe.only_criticals","Oczyszczenie przy trafieniu krytycznym atakiem specjalnym"
"herocard.passive_skill.title.effectonspecialskilldamagedone.healthboost.only_criticals","Wzmocnienie zdrowia przy trafieniu krytycznym atakiem specjalnym"
"herocard.passive_skill.title.effectonspecialskilldamagereceived.healthboost.only_criticals","Wzmocnienie zdrowia przy trafieniu krytycznym atakiem specjalnym"
"herocard.passive_skill.title.effectonspecialwithchance.activates_on_enemy_action.healthboost","Wzmocnienie zdrowia po ataku specjalnym wroga"
"herocard.passive_skill.title.effectonspecialwithchance.addmana","Mana w umiejętnościach specjalnych"
"herocard.passive_skill.title.effectonspecialwithchance.bufftoremove.minorbuff.latest","Odwołanie przy użyciu umiejętności specjalnej"
"herocard.passive_skill.title.effectonspecialwithchance.bufftoremove.minordebuff.latest","Oczyszczenie przy użyciu umiejętności specjalnej"
"herocard.passive_skill.title.effectonspecialwithchance.damage","Obrażenia w umiejętnościach specjalnych"
"herocard.passive_skill.title.effectonspecialwithchance.heal","Regeneracja zdrowia w umiejętnościach specjalnych"
"herocard.passive_skill.title.effectonspecialwithchance.healthboost","Wzmocnienie zdrowia przy użyciu umiejętności specjalnej"
"herocard.passive_skill.title.effectonspecialwithchance.statuseffects","Efekty ze statusu w umiejętnościach specjalnych"
"herocard.passive_skill.title.effectonspecialwithchance.statuseffects.bleeding","Krwawienie przy umiejętności specjalnej"
"herocard.passive_skill.title.effectonspecialwithchance.statuseffects.curseofdoom","Klątwa przy umiejętności specjalnej"
"herocard.passive_skill.title.effectonspecialwithchance.statuseffects.damageovertime","Obrażenia z upływem czasu przy użyciu umiejętności specjalnej"
"herocard.passive_skill.title.effectonspecialwithchance.statuseffects.extradamageagainstboostedhealth","Zwiększone obrażenia przeciwko wzmocnionemu zdrowiu"
"herocard.passive_skill.title.effectonspecialwithchance.statuseffects.huntersmark","Obrażenia z upływem czasu przy użyciu umiejętności specjalnej"
"herocard.passive_skill.title.effectonspecialwithchance.statuseffects.managenerationmodifier","Efekty ze statusu przy użyciu umiejętności specjalnej"
"herocard.passive_skill.title.effectonspecialwithchance.statuseffects.poison","Trucizna przy użyciu umiejętności specjalnej"
"herocard.passive_skill.title.effectonspecialwithchance.statuseffects.possession","Furiacki atak przy użyciu umiejętności specjalnej"
"herocard.passive_skill.title.effectonspecialwithchance.statuseffects.underwater","Obrażenia z upływem czasu przy użyciu umiejętności specjalnej"
"herocard.passive_skill.title.effectonspecialwithmanaspeedthreshold.activates_on_enemy_action.damage.faster.average.once","Obrażenia w umiejętnościach specjalnych wroga"
"herocard.passive_skill.title.effectonstatuseffectaddition.activates_on_enemy_action.addmana.allbuffs.taunt","Mana podczas prowokacji"
"herocard.passive_skill.title.effectonstatuseffectaddition.activates_on_enemy_action.addmana.statuseffectbuffs.defensemodifier.once","Mana przy wzmocnieniu obrony wroga"
"herocard.passive_skill.title.effectonstatuseffectaddition.activates_on_enemy_action.statuseffects.ubertitanstackingattackmodifier.allbuffs.defensemodifier","Efekt statusu wpływający na wzmocnienie obrony wroga"
"herocard.passive_skill.title.effectonstatuseffectaddition.activates_on_enemy_action.statuseffects.ubertitanstackingreceiveddamagemodifier.allbuffs.attackmodifier","Efekt statusu wpływający na wzmocnienie ataku wroga"
"herocard.passive_skill.title.effectonstatuseffectaddition.addmana.allbuffs","Mana za wzmocnienie odebrana"
"herocard.passive_skill.title.effectonstatuseffectaddition.addmana.alldebuffs","Mana za dolegliwości ze statusu odebrana"
"herocard.passive_skill.title.effectonstatuseffectaddition.heal.allbuffs","Regeneracja zdrowia za ulepszenie odebrana"
"herocard.passive_skill.title.effectonstatuseffectaddition.heal.alldebuffs","Regeneracja zdrowia za dolegliwość ze statusu odebrana"
"herocard.passive_skill.title.effectonstatuseffectaddition.statuseffects.managenerationmodifier.alldebuffs","Wzmocnienie many za dolegliwości ze statusu odebrane"
"herocard.passive_skill.title.effectonstatuseffectadditionwithchance.addmana.allbuffs","Mana za wzmocnienie odebrana"
"herocard.passive_skill.title.effectonstatuseffectadditionwithchance.heal.allbuffs","Regeneracja zdrowia za wzmocnienie odebrana"
"herocard.passive_skill.title.effectonstatuseffectremovalbyspecial.activates_on_ally_action.healthboost","Wzmocnione zdrowie przy usunięciu efektu ze statusu"
"herocard.passive_skill.title.effectonstatuseffectremovalbyspecial.activates_on_enemy_action.damage","Obrażenia przy usunięciu efektu ze statusu"
"herocard.passive_skill.title.effectovertime.revival","Wskrzesza z czasem"
"herocard.passive_skill.title.effectovertimeperstatuseffect.addmana.everyturn.per.statuseffectbuffs.enemies","Mana za każde wzmocnienie wroga"
"herocard.passive_skill.title.effectovertimeperstatuseffect.healthboost.everyturn.per.poison.statuseffectdebuffs.enemies","Wzmocnienie zdrowia podczas zatrucia"
"herocard.passive_skill.title.effectsonminionreceived.activates_on_ally_action.addmana.allies.minion","Mana przy wezwaniu pomocnika"
"herocard.passive_skill.title.effectsonminionreceived.activates_on_ally_action.heal.addmana.allies.minion","Przyjaciel Chowańców"
"herocard.passive_skill.title.effectsonparasitereceived.activates_on_enemy_action.addmana.enemies.parasite","Mana przy przywołaniu potwora"
"herocard.passive_skill.title.effectsonparasitereceived.activates_on_enemy_action.damage.enemies.parasite","Gniew Zwierzaków"
"herocard.passive_skill.title.effectsonparasitereceived.activates_on_enemy_action.healthboost.enemies.parasite","Wzmocnienie zdrowia przy przywołaniu potwora"
"herocard.passive_skill.title.familiaraccuracymodifier.all.enemies.minion.bigminion","Oślepienie pomocników"
"herocard.passive_skill.title.familiarcoreintrinsicchargeeffectonspecial.summonfamiliar.construct_minion_core","Rdzeń pomocnika"
"herocard.passive_skill.title.familiarhealthmodifier.all.enemies.bigminion.decrease","Słabsi mega pomocnicy"
"herocard.passive_skill.title.familiarhealthmodifier.all.enemies.minion.decrease","Słabsi pomocnicy"
"herocard.passive_skill.title.familiarsilencer.all.enemies.bigminion","Powstrzymanie mega pomocników"
"herocard.passive_skill.title.familiarsilencer.all.enemies.minion.follower","Powstrzymanie pomocników"
