"heroes.name_fancy.astral_cosmicspeaker","Astronoma degli elfi astrali"
"heroes.name_fancy.mahayoddha_chitrangada","Principessa guerriera di Manipura"
"heroes.name_fancy.mahayoddha_rafeeq","Politico astuto"
"heroes.name_fancy.mahayoddha_ustad_anand","Artista di corte"
"heroes.name_fancy.mahayoddha_veer","Assassino orgoglioso"
"heroes.name_fancy.masquerade_alessia","Seguace di Aradia"
"heroes.name_fancy.masquerade_aradia","Dea mascherata della stregoneria"
"heroes.name_fancy.masquerade_carmenta","Dea mascherata della malia"
"heroes.name_fancy.masquerade_cel","Dea mascherata della terra"
"heroes.name_fancy.masquerade_februus","Dio mascherato della purificazione"
"heroes.name_fancy.masquerade_fortuna","Dea mascherata del destino"
"heroes.name_fancy.masquerade_fosco","Seguace di Februus"
"heroes.name_fancy.masquerade_jana","Dea mascherata della Luna"
"heroes.name_fancy.masquerade_jove","Dio mascherato del cielo"
"heroes.name_fancy.masquerade_umbria","Dea mascherata delle ombre"
"heroes.name_fancy.mighty_pet_barkley","Cane da guerra"
"heroes.name_fancy.mighty_pet_bubbles","Imitatrice delle arti illusorie"
"heroes.name_fancy.mighty_pet_chomper","Campione di rissa tra criceti"
"heroes.name_fancy.mighty_pet_cinnamon","Cavaliere del circolo artico"
"heroes.name_fancy.mighty_pet_cupcake","Bandito dagli artigli"
"heroes.name_fancy.mighty_pet_furdinand","Furfante della spedizione canina"
"heroes.name_fancy.mighty_pet_hachiko","Cagnolino della lealtà"
"heroes.name_fancy.mighty_pet_luna","Gufo della mezzaluna"
"heroes.name_fancy.mighty_pet_ribbit","Gladiatore del Regno delle Rane"
"heroes.name_fancy.mighty_pet_rufus","Taglialegna peloso"
"heroes.name_fancy.mighty_pet_snowball","Gatto randagio graffiante"
"heroes.name_fancy.mighty_pet_toto","Cantastorie canino"
"heroes.name_fancy.mighty_pet_waddles","Capitana della Guardia delle anatre"
"heroes.name_fancy.mimic_aether_blue","Forziere affamato di verghe"
"heroes.name_fancy.mimic_aether_green","Forziere affamato di verghe"
"heroes.name_fancy.mimic_aether_purple","Forziere affamato di verghe"
"heroes.name_fancy.mimic_aether_red","Forziere affamato di verghe"
"heroes.name_fancy.mimic_aether_yellow","Forziere affamato di verghe"
"heroes.name_fancy.mimic_ascension_epic_yellow","Covo ghignante del male minore"
"heroes.name_fancy.mimic_ascension_item_blue","Covo ghignante del male"
"heroes.name_fancy.mimic_ascension_item_green","Covo ghignante del male"
"heroes.name_fancy.mimic_ascension_item_purple","Covo ghignante del male"
"heroes.name_fancy.mimic_ascension_item_red","Covo ghignante del male"
"heroes.name_fancy.mimic_ascension_item_yellow","Covo ghignante del male"
"heroes.name_fancy.mimic_emblem_blue","Orripilante cassetta con un occhio solo"
"heroes.name_fancy.mimic_emblem_green","Orripilante cassetta con un occhio solo"
"heroes.name_fancy.mimic_emblem_purple","Orripilante cassetta con un occhio solo"
"heroes.name_fancy.mimic_emblem_red","Orripilante cassetta con un occhio solo"
"heroes.name_fancy.mimic_emblem_yellow","Orripilante cassetta con un occhio solo"
"heroes.name_fancy.mimic_experience_rare_red","Tesoro dei piccoli denti"
"heroes.name_fancy.mimic_training_hero_blue","Tesoro dei Mille denti"
"heroes.name_fancy.mimic_training_hero_green","Tesoro dei Mille denti"
"heroes.name_fancy.mimic_training_hero_purple","Tesoro dei Mille denti"
"heroes.name_fancy.mimic_training_hero_red","Tesoro dei Mille denti"
"heroes.name_fancy.mimic_training_hero_yellow","Tesoro dei Mille denti"
"heroes.name_fancy.monster_hunter_adalinda","Principessa della caccia"
"heroes.name_fancy.monster_hunter_amund","Segugio tenace"
"heroes.name_fancy.monster_hunter_basil","Topo della caccia"
"heroes.name_fancy.monster_hunter_berit","Berillino picchiatore"
"heroes.name_fancy.monster_hunter_bogart","Cacciatore delle paludi"
"heroes.name_fancy.monster_hunter_bonecrusher","Capo tribù dei Silverback"
"heroes.name_fancy.monster_hunter_cedar","Campione di catena scimpanzé"
"heroes.name_fancy.monster_hunter_cleaver","Capo tribù della caccia"
"heroes.name_fancy.monster_hunter_dabria","Cacciatrice occultista"
"heroes.name_fancy.monster_hunter_dawn","Menestrella cacciatrice"
"heroes.name_fancy.monster_hunter_dubhain","Prescelto del Dio della Tempesta"
"heroes.name_fancy.monster_hunter_ebba","Mercenaria cacciatrice"
"heroes.name_fancy.monster_hunter_edelaide","Nomade delle terre selvagge"
"heroes.name_fancy.monster_hunter_fianna","Cacciatrice della foresta"
"heroes.name_fancy.monster_hunter_goretooth","Cacciatore selvaggio"
"heroes.name_fancy.monster_hunter_greel","Smargiasso ferino"
"heroes.name_fancy.monster_hunter_hammertusk","Barbaro possente"
"heroes.name_fancy.monster_hunter_hawthorn","Viandante cacciatore"
"heroes.name_fancy.monster_hunter_hurricane","Scimmia assassina"
"heroes.name_fancy.monster_hunter_kai","Cavaliere cacciatore"
"heroes.name_fancy.monster_hunter_knuckles","Sentinella macaco"
"heroes.name_fancy.monster_hunter_maheegan","Inseguitore di lupi"
"heroes.name_fancy.monster_hunter_malin","Guerriera titanica"
"heroes.name_fancy.monster_hunter_meadow","Cacciatrice tribale"
"heroes.name_fancy.monster_hunter_mistweaver","Orango attaccabrighe"
"heroes.name_fancy.monster_hunter_njal","Cacciatore del vento del Nord"
"heroes.name_fancy.monster_hunter_numbskull","Scheletro maldestro"
"heroes.name_fancy.monster_hunter_otis","Cacciatore maestro di lama"
"heroes.name_fancy.monster_hunter_revna","Cacciatrice di corniole"
"heroes.name_fancy.monster_hunter_ruadh","Cacciatore abissale"
"heroes.name_fancy.monster_hunter_sigyn","Manipolatrice di scorpioni"
"heroes.name_fancy.monster_hunter_sorcha","Cacciatrice ostinata"
"heroes.name_fancy.monster_hunter_sorrow","Spettro del ghiaccio"
"heroes.name_fancy.monster_hunter_staintongue","Cacciatore implacabile"
"heroes.name_fancy.monster_hunter_sune","Cacciatore malachite"
"heroes.name_fancy.monster_hunter_thunderclap","Gorilla infuriato"
"heroes.name_fancy.monster_hunter_thura","Cacciatrice benedetta dalle stelle"
"heroes.name_fancy.monster_hunter_tremor","Maestro di spada babbuino"
"heroes.name_fancy.monster_hunter_waterpipe","Ingegnere di arpioni"
"heroes.name_fancy.moth_auricarc","Maestro Marksmoth"
"heroes.name_fancy.moth_chimister","Falena da laboratorio"
"heroes.name_fancy.moth_chunkyroi","Marchese falena"
"heroes.name_fancy.moth_furgeant","Falena formidabile"
"heroes.name_fancy.moth_gardered","Falena audace"
"heroes.name_fancy.moth_grovevert","Allevatore di falene"
"heroes.name_fancy.moth_joyvert","Virtuoso falena"
"heroes.name_fancy.moth_lilareine","Marchesa falena"
"heroes.name_fancy.moth_limeboire","Barista falena"
"heroes.name_fancy.moth_mortewitch","Falenomante"
"heroes.name_fancy.moth_pepperbleu","Falenstregone"
"heroes.name_fancy.moth_rosepetite","Giovane pittore falena"
"heroes.name_fancy.moth_satinpimenter","Falenchierico"
"heroes.name_fancy.moth_shyombre","Falena dell'ombra"
"heroes.name_fancy.moth_tealmoine","Falena della nebbia"
"heroes.name_fancy.musketeer_aramis","Moschettiere romantico"
"heroes.name_fancy.musketeer_aramis_costume_boulanger","Moschettiere boulanger"
"heroes.name_fancy.musketeer_athos","Moschettiere veterano"
"heroes.name_fancy.musketeer_athos_costume_farrier","Moschettiere maniscalco"
"heroes.name_fancy.musketeer_cardinal_richelieu","Duca disonesto"
"heroes.name_fancy.musketeer_constance","Moschettiera coraggiosa"
"heroes.name_fancy.musketeer_dartagnan","Moschettiere passionale"
"heroes.name_fancy.musketeer_felton","Assassino depravato"
"heroes.name_fancy.musketeer_felton_costume_pirate","Pirata crudele"
"heroes.name_fancy.musketeer_kitty","Fiorista amichevole"
"heroes.name_fancy.musketeer_milady_de_winter","Cattiva machiavellica"
"heroes.name_fancy.musketeer_planchet","Valoroso valletto"
"heroes.name_fancy.musketeer_porthos","Moschettiere allegro"
"heroes.name_fancy.musketeer_porthos_costume_merchant","Moschettiere mercante"
"heroes.name_fancy.musketeer_queen_anne","Monarca elegante"
"heroes.name_fancy.musketeer_rochefort","Miscredente spietato"
"heroes.name_fancy.musketeer_villiers","Duca pomposo"
"heroes.name_fancy.musketeer_villiers_costume_jester","Giullare pomposo"
"heroes.name_fancy.mystery_enigmo","Enigma dell'evocazione"
"heroes.name_fancy.nature_god_balbar","Eremita botanico"
"heroes.name_fancy.nature_god_bertila","Cavallerizza dei boschi"
"heroes.name_fancy.nature_god_bo_and_runt","Leader del branco"
"heroes.name_fancy.nature_god_chloris","Spirito floreale"
"heroes.name_fancy.nature_god_cinisia","Maga da guerra meliade"
"heroes.name_fancy.nature_god_florenna","Elafocentauro aggraziato"
"heroes.name_fancy.nature_god_leadria","Regina della primavera eterna"
"heroes.name_fancy.nature_god_liora","Il bandito benevolo"
"heroes.name_fancy.nature_god_mystia","Incantatrice ammaliatrice"
"heroes.name_fancy.nature_god_silvaria","Dea della foresta"
"heroes.name_fancy.nature_god_viselus","Druido della rovina"
"heroes.name_fancy.ninja_amethyst","Assassino nascosto"
"heroes.name_fancy.ninja_ametrine","Ninja dalle lame celate"
"heroes.name_fancy.ninja_aurum","Kunoichi sanguigna"
"heroes.name_fancy.ninja_azurite","Visione ninja"
"heroes.name_fancy.ninja_chikao","Attaccante silenzioso"
"heroes.name_fancy.ninja_cobalt","Ninja dei mari sussurranti"
"heroes.name_fancy.ninja_ekanite","Caposquadra shinobi"
"heroes.name_fancy.ninja_garnet","Ninja dalla vibrante vitalità"
"heroes.name_fancy.ninja_iga","Signore della tempesta di kunai"
"heroes.name_fancy.ninja_ito","Shinobi soggiogante"
"heroes.name_fancy.ninja_jade","Ninja delle stelle danzanti"
"heroes.name_fancy.ninja_kinsaishi","Monaco ninja tonante"
"heroes.name_fancy.ninja_kushanku","Pugno dell'inganno"
"heroes.name_fancy.ninja_malum","Shinobi spietato"
"heroes.name_fancy.ninja_mica","Ninja delle urla silenti"
"heroes.name_fancy.ninja_morganite","Ninja delle ombre dissolventi"
"heroes.name_fancy.ninja_myoinni","Il Signore degli stendardi più forte"
"heroes.name_fancy.ninja_nomad","Giustiziere silenzioso"
"heroes.name_fancy.ninja_oniwakamaru","Monaco dell'ombra delle 999 spade"
"heroes.name_fancy.ninja_onyx","Ninja dei venti inafferrabili"
"heroes.name_fancy.ninja_osamu","Ninja della disciplina ferrea"
"heroes.name_fancy.ninja_peridot","Ninja delle tossine letali"
"heroes.name_fancy.ninja_quartz","Ninja delle tombe silenti"
"heroes.name_fancy.ninja_ruby","Ninja Oni rossa"
"heroes.name_fancy.ninja_sapphire","Ninja delle ombre guizzanti"
"heroes.name_fancy.ninja_satsui","Kunoichi dell'ombra"
"heroes.name_fancy.ninja_sawano","Kunoichi leale"
"heroes.name_fancy.ninja_serandite","Ninja delle fiamme penetranti"
"heroes.name_fancy.ninja_shale","Ninja del vigore volante"
"heroes.name_fancy.ninja_tametomo","Sabotatore del grande arco"
"heroes.name_fancy.ninja_topaz","Ninja della precisione perfetta"
"heroes.name_fancy.ninja_tora","Cacciatrice silenziosa"
"heroes.name_fancy.ninja_umeko","Ninja del fiore velenoso"
"heroes.name_fancy.ninja_zircon","Ninja delle onde tacite"
"heroes.name_fancy.nomad_axe_adventurer","Cacciatore di taglie coraggioso"
"heroes.name_fancy.nomad_axe_adventurer_costume_cute","Cacciatore di taglie cartone"
"heroes.name_fancy.nomad_axe_adventurer_costume_glass","Cacciatore di taglie di vetro"
"heroes.name_fancy.nomad_axe_adventurer_costume_magma","Cacciatore di taglie ardente"
"heroes.name_fancy.nomad_axe_adventurer_costume_tracker","Inseguitore coraggioso"
"heroes.name_fancy.nomad_female_archer","Cacciatrice talentuosa"
"heroes.name_fancy.nomad_female_assassin","Razziatrice di Mar sabbioso"
"heroes.name_fancy.nomad_female_assassin_costume_cute","Predatrice del Mare dei cartoni"
"heroes.name_fancy.nomad_female_assassin_costume_dancer","Danzatrice di Mar sabbioso"
"heroes.name_fancy.nomad_female_assassin_costume_glass","Predatrice del Mare di vetro"
"heroes.name_fancy.nomad_female_assassin_costume_poison","Assassina di Mar sabbioso"
"heroes.name_fancy.nomad_female_berserker","Sacerdotessa di Dragonia"
"heroes.name_fancy.nomad_female_berserker_costume_cute","Cartone di Dragonia"
"heroes.name_fancy.nomad_female_berserker_costume_glass","Vitrail di Dragonia"
"heroes.name_fancy.nomad_female_berserker_costume_shaman","Sciamana di Dragonia"
"heroes.name_fancy.nomad_female_berserker_costume_sorceress","Maga di Dragonia"
"heroes.name_fancy.nomad_female_captain","Dama di Windemer"
"heroes.name_fancy.nomad_female_captain_costume_cute","Cartone di Windemer"
"heroes.name_fancy.nomad_female_captain_costume_glass","Vitrail di Windemer"
"heroes.name_fancy.nomad_female_captain_costume_pirate","Terrore di Windemer"
"heroes.name_fancy.nomad_female_captain_costume_thief","Ladro maestro di Windemer"
"heroes.name_fancy.nomad_female_lord","Capitana della Guardia Reale"
"heroes.name_fancy.nomad_female_lord_costume_cute","Capitana dei cartoni reali"
"heroes.name_fancy.nomad_female_lord_costume_flame","Capitana del fuoco"
"heroes.name_fancy.nomad_female_lord_costume_glass","Capitana della Guardia di vetro"
"heroes.name_fancy.nomad_female_lord_costume_wicked","Capitana dei malvagi"
"heroes.name_fancy.nomad_female_shaman","Sciamana dominante"
"heroes.name_fancy.nomad_female_shaman_costume_cute","Cartone ascendente"
"heroes.name_fancy.nomad_female_shaman_costume_glass","Vitrail ascendente"
"heroes.name_fancy.nomad_female_shaman_costume_native","Riparatore ascendente"
"heroes.name_fancy.nomad_female_swordmaster","Aspirante al trono"
"heroes.name_fancy.nomad_female_swordmaster_costume_cute","Cercatrice dei cartoni"
"heroes.name_fancy.nomad_female_swordmaster_costume_glass","Cercatore di vetro"
"heroes.name_fancy.nomad_female_swordmaster_costume_native","Cercatrice degli dei"
"heroes.name_fancy.nomad_female_thief","Viaggiatrice giovane"
"heroes.name_fancy.nomad_fighter","Accanito attaccabrighe"
"heroes.name_fancy.nomad_mage","Mago di Mar sabbioso"
"heroes.name_fancy.nomad_mage_costume_cute","Mago del Mare dei cartoni"
"heroes.name_fancy.nomad_mage_costume_glass","Nomade del Mare di vetro"
"heroes.name_fancy.nomad_mage_costume_goggles","Mago di Mar sabbioso"
"heroes.name_fancy.nomad_scout","Mercenario scaltro"
"heroes.name_fancy.nomad_shaman","Servitore degli Antichi"
"heroes.name_fancy.nordic_ancestral_warrior","Orfano oscuro"
"heroes.name_fancy.nordic_ancestral_warrior_costume_corrupted","Erede del male"
"heroes.name_fancy.nordic_ancestral_warrior_costume_cute","Cartone oscuro"
"heroes.name_fancy.nordic_ancestral_warrior_costume_glass","Vitrail oscuro"
"heroes.name_fancy.nordic_ancestral_warrior_costume_messenger","Messaggero oscuro"
"heroes.name_fancy.nordic_chained_werewolf","Il Feroce"
"heroes.name_fancy.nordic_chained_werewolf_costume_cute","Il Feroce cartone"
"heroes.name_fancy.nordic_chained_werewolf_costume_glass","Il Feroce di vetro"
"heroes.name_fancy.nordic_chained_werewolf_costume_raccoon","Ladro dell'aglio"
"heroes.name_fancy.nordic_female_scout","Fanciulla feroce"
"heroes.name_fancy.nordic_female_warrior","Guerriera esule"
"heroes.name_fancy.nordic_ice_enchantress","Protettrice di Glaceholm"
"heroes.name_fancy.nordic_ice_enchantress_costume_aqua","Strega dei ghiacci di Glaceholm"
"heroes.name_fancy.nordic_ice_enchantress_costume_cute","Protettrice dei cartoni"
"heroes.name_fancy.nordic_ice_enchantress_costume_glass","Vitrail di Glaceholm"
"heroes.name_fancy.nordic_ice_enchantress_costume_ruler","Sovrana di Glaceholm"
"heroes.name_fancy.nordic_mage","Mago di Glaceholm"
"heroes.name_fancy.nordic_mage_costume_cute","Cartone di Glaceholm"
"heroes.name_fancy.nordic_mage_costume_glass","Vitrail di Glaceholm"
"heroes.name_fancy.nordic_mage_costume_hermit","Eremita di Glaceholm"
"heroes.name_fancy.nordic_male_lord","Martello della giustizia"
"heroes.name_fancy.nordic_male_lord_costume_cute","Martello del potere cartone"
"heroes.name_fancy.nordic_male_lord_costume_glass","Martello di vetro"
"heroes.name_fancy.nordic_male_lord_costume_injustice","Martello dell'ingiustizia"
"heroes.name_fancy.nordic_male_lord_costume_senior","Ascia della giustizia"
"heroes.name_fancy.nordic_swordman","Duellante brioso"
"heroes.name_fancy.nordic_swordman_costume_climber","Scalatore dal taglio netto"
"heroes.name_fancy.nordic_swordman_costume_cute","Cartone di talento"
"heroes.name_fancy.nordic_swordman_costume_glass","Duellante di vetro"
"heroes.name_fancy.nordic_warrior","Avventuriero spensierato"
"heroes.name_fancy.orc_gladiator","Il Risoluto"
"heroes.name_fancy.orc_gladiator_costume_chef","Chef di ghisa"
"heroes.name_fancy.orc_gladiator_costume_cute","Cartone incrollabile"
"heroes.name_fancy.orc_gladiator_costume_glass","Il Riflettore"
"heroes.name_fancy.orc_gladiator_costume_sage","Il Saggio ferino"
"heroes.name_fancy.orc_skirmisher","Combattente mezzosangue"
"heroes.name_fancy.orc_troopmaster","L'Affamato"
"heroes.name_fancy.orc_troopmaster_costume_cute","L'Affamato cartone"
"heroes.name_fancy.orc_troopmaster_costume_glass","L'Affamato Vitrail"
"heroes.name_fancy.orc_troopmaster_costume_gourmet","L'Epicureo"
"heroes.name_fancy.orc_troopmaster_costume_merchant","L'Avido"
"heroes.name_fancy.orc_warrior","Primo in battaglia"
"heroes.name_fancy.orc_warrior_costume_cute","Primo in battaglia cartone"
"heroes.name_fancy.orc_warrior_costume_glass","L'Infrangibile"
"heroes.name_fancy.orc_warrior_costume_urukhai","L'Inarrestabile"
"heroes.name_fancy.oriental_brawler","Nobile difensore"
"heroes.name_fancy.oriental_brawler_costume_cute","Attaccabrighe cartone"
"heroes.name_fancy.oriental_brawler_costume_egypt","Nobile attaccabrighe"
"heroes.name_fancy.oriental_brawler_costume_glass","Attaccabrighe di vetro"
"heroes.name_fancy.oriental_enchanted_monk","Fiamma solare"
"heroes.name_fancy.oriental_enchanted_monk_costume_cute","Cartone del Sole"
"heroes.name_fancy.oriental_enchanted_monk_costume_glass","Vitrail del Sole"
"heroes.name_fancy.oriental_enchanted_monk_costume_stoneguard","Potere del Sole"
"heroes.name_fancy.oriental_enchanted_monk_costume_tiger","Furia solare"
"heroes.name_fancy.oriental_falconer","Maestro stratega"
"heroes.name_fancy.oriental_falconer_costume_cub","Signore delle tigri"
"heroes.name_fancy.oriental_falconer_costume_cute","Stratega cartone"
"heroes.name_fancy.oriental_falconer_costume_dodo","Maestro conservatore"
"heroes.name_fancy.oriental_falconer_costume_glass","Tattico di vetro"
"heroes.name_fancy.oriental_female_guard","Ranger di Shaguad"
"heroes.name_fancy.oriental_female_guard_costume_cute","Cartone di Shaguad"
"heroes.name_fancy.oriental_female_guard_costume_glass","Vitrail di Shaguad"
"heroes.name_fancy.oriental_female_guard_costume_soldier","Guardiana di Shaguad"
"heroes.name_fancy.oriental_female_mage","Curatrice altruista"
"heroes.name_fancy.oriental_female_mage_costume_cute","Guaritrice cartone"
"heroes.name_fancy.oriental_female_mage_costume_glass","Guaritrice di vetro"
"heroes.name_fancy.oriental_female_mage_costume_mender","Curatrice magnanima"
"heroes.name_fancy.oriental_female_mystic","Studiosa suprema"
"heroes.name_fancy.oriental_female_mystic_costume_cute","Studiosa cartone"
"heroes.name_fancy.oriental_female_mystic_costume_glass","Erudita di vetro"
"heroes.name_fancy.oriental_female_mystic_costume_magician","Maga suprema"
"heroes.name_fancy.oriental_female_mystic_costume_scribe","Scriba suprema"
"heroes.name_fancy.oriental_female_ninja","Studentessa ninja"
"heroes.name_fancy.oriental_female_templar","Generalessa saggia"
"heroes.name_fancy.oriental_female_templar_costume_cute","Generale cartone"
"heroes.name_fancy.oriental_female_templar_costume_fireworks","Generale dei fuochi d'artificio"
"heroes.name_fancy.oriental_female_templar_costume_glass","Generale di vetro"
"heroes.name_fancy.oriental_female_templar_costume_kimono","Assassina cerimoniale"
"heroes.name_fancy.oriental_monkey_captain","Signore delle scimmie"
"heroes.name_fancy.oriental_monkey_captain_costume_cute","Cartone delle scimmie"
"heroes.name_fancy.oriental_monkey_captain_costume_glass","Scimmia di vetro"
"heroes.name_fancy.oriental_monkey_captain_costume_reveller","Festaiolo delle scimmie"
"heroes.name_fancy.oriental_monkey_captain_costume_warrior","Ronin delle scimmie"
"heroes.name_fancy.oriental_monkey_warrior","Guerriero delle scimmie"
"heroes.name_fancy.oriental_panda_berserker","Ramo di bambù"
"heroes.name_fancy.oriental_panda_berserker_costume_cute","Ramo dei cartoni"
"heroes.name_fancy.oriental_panda_berserker_costume_farmer","Radice di bambù"
"heroes.name_fancy.oriental_panda_berserker_costume_glass","Ramo di vetro"
"heroes.name_fancy.oriental_panda_scout","Foglia di bambù"
"heroes.name_fancy.oriental_panda_warrior","Lama di bambù"
"heroes.name_fancy.oriental_panda_warrior_costume_armor","Corteccia di bambù"
"heroes.name_fancy.oriental_panda_warrior_costume_cute","Cartone del bambù"
"heroes.name_fancy.oriental_panda_warrior_costume_dueller","Duellante del bambù"
"heroes.name_fancy.oriental_panda_warrior_costume_glass","Lama di vetro"
"heroes.name_fancy.oriental_squire","Apprendista fabbro"
"heroes.name_fancy.oriental_warrior","Fante"
"heroes.name_fancy.oriental_warrior_king","Re inflessibile"
"heroes.name_fancy.oriental_warrior_king_costume_cute","Cartone inflessibile"
"heroes.name_fancy.oriental_warrior_king_costume_glass","Vitrail inflessibile"
"heroes.name_fancy.oriental_warrior_king_costume_mage","Mago inflessibile"
"heroes.name_fancy.oriental_warrior_king_costume_roman","Re di Sparta"
"heroes.name_fancy.outlaw_chao_gai","Re celeste mutatore di pagode de I briganti"
"heroes.name_fancy.outlaw_gu_dasao","Femmina di tigre de I briganti"
"heroes.name_fancy.outlaw_hu_sanniang","Stella brillante de I briganti"
"heroes.name_fancy.outlaw_li_kui","Il bue di ferro de I briganti"
"heroes.name_fancy.outlaw_lin_chong","Testa di pantera de I briganti"
"heroes.name_fancy.outlaw_liu_tang","Diavolo dai capelli rossi de I briganti"
"heroes.name_fancy.outlaw_lu_zhishen","Monaco fiorito de I briganti"
"heroes.name_fancy.outlaw_ruan_xiaoqi","Stella della distruzione de I briganti"
"heroes.name_fancy.outlaw_shi_jin","Nove tatuaggi del drago de I briganti"
"heroes.name_fancy.outlaw_song_jiang","Pioggia tempestiva de I briganti"
"heroes.name_fancy.outlaw_sun_erniang","Stella forte de I briganti"
"heroes.name_fancy.outlaw_wu_song","Eroe che combatte le tigri de I briganti"
"heroes.name_fancy.outlaw_wu_yong","Stella della conoscenza de I briganti"
"heroes.name_fancy.outlaw_xiang_chong","Stella volante de I briganti"
"heroes.name_fancy.outlaw_zheng_tianshou","Gentiluomo dal bel volto de I briganti"
"heroes.name_fancy.owl_cennius","Artiglio nascosto della Torre dei Gufi"
"heroes.name_fancy.owl_eron","Menestrello della Torre dei Gufi"
"heroes.name_fancy.owl_featherino","Canaglia ansiosa della Torre dei Gufi"
"heroes.name_fancy.owl_fulvia","Regina della Torre dei Gufi"
"heroes.name_fancy.owl_juliani","Giustiziere della Torre dei Gufi"
"heroes.name_fancy.owl_livia","Somma Sacerdotessa della Torre dei Gufi"
"heroes.name_fancy.owl_lodius","Berserker della Torre dei Gufi"
"heroes.name_fancy.owl_mariol","Cortigiana della Torre dei Gufi"
"heroes.name_fancy.owl_olbec","Alchimista della Torre dei Gufi"
"heroes.name_fancy.owl_ommodus","Legislatore della Torre del Gufi"
"heroes.name_fancy.owl_paeia","Principessa della Torre dei Gufi"
"heroes.name_fancy.owl_pertinax","Cavaliere guardiano della Torre dei Gufi"
"heroes.name_fancy.owl_relius","Erborista della Torre dei Gufi"
"heroes.name_fancy.owl_timius","Avanguardia reale Torre dei Gufi"
"heroes.name_fancy.owl_verus","Comandante esploratore della Torre dei Gufi"
"heroes.name_fancy.pirate_anne","Polena di Corellia"
"heroes.name_fancy.pirate_boatswain","Nostromo di Corellia"
"heroes.name_fancy.pirate_cabin_boy","Mozzo di Corellia"
"heroes.name_fancy.pirate_cabin_boy_costume_paper","Ragazzo dei giornali sulla riva"
"heroes.name_fancy.pirate_commodore_finley","Commodoro di Corellia"
"heroes.name_fancy.pirate_commodore_finley_costume_bleak","Commodoro cupo"
"heroes.name_fancy.pirate_dread_captain","Capitano temuto di Corellia"
"heroes.name_fancy.pirate_dread_captain_costume_rotten","Capitano marcio di Corellia"
"heroes.name_fancy.pirate_finley","Timoniere vendicativo di Corellia"
"heroes.name_fancy.pirate_first_mate","Primo ufficiale di Corellia"
"heroes.name_fancy.pirate_lady","Dama di Corellia"
"heroes.name_fancy.pirate_lady_costume_queen","Regina ribelle"
"heroes.name_fancy.pirate_marie_therese","Regina vudù di Corellia"
"heroes.name_fancy.pirate_marie_therese_costume_priestess","Sacerdotessa ruba anime"
"heroes.name_fancy.pirate_sally","Mascotte di Corellia"
"heroes.name_fancy.pirate_swashbuckler","Capitano bucaniere di Corellia"
"heroes.name_fancy.pirate_vodnik","Pescatore di Corellia"
"heroes.name_fancy.rabbit_blue","Guardiano di Springvale"
"heroes.name_fancy.rabbit_blue_costume_riftbreaker","Devastatore di barriere"
"heroes.name_fancy.rabbit_green","Campione di Springvale"
"heroes.name_fancy.rabbit_green_costume_egg_hunter","Cacciatore di uova di Springvale"
"heroes.name_fancy.rabbit_red","Scudiero di Springvale"
"heroes.name_fancy.royal_female_knight","Campionessa caparbia"
"heroes.name_fancy.royal_female_knight_costume_cute","Campione cartone"
"heroes.name_fancy.royal_female_knight_costume_glass","Campione di vetro"
"heroes.name_fancy.royal_female_knight_costume_prospector","Prospettrice intenzionale"
"heroes.name_fancy.royal_female_knight_costume_winter","Campione vichingo"
"heroes.name_fancy.royal_knight","Cavaliere protettore"
"heroes.name_fancy.royal_knight_commander","Possessore di Gelomorte"
"heroes.name_fancy.royal_knight_commander_costume_cute","Cartone di Gelomorte"
"heroes.name_fancy.royal_knight_commander_costume_glass","Vitrail di Gelomorte"
"heroes.name_fancy.royal_knight_commander_costume_gryphon","Comandante di Gelomorte"
"heroes.name_fancy.royal_knight_commander_costume_king","Re di Gelomorte"
"heroes.name_fancy.royal_knight_costume_blacksmith","Fabbro coraggioso"
"heroes.name_fancy.royal_knight_costume_cute","Cartone cavaliere"
"heroes.name_fancy.royal_knight_costume_glass","Cavaliere di vetro"
"heroes.name_fancy.royal_pikeman","Guardia seria"
"heroes.name_fancy.s2_ariel","Principessa d'Atlantide"
"heroes.name_fancy.s2_ariel_costume_cute","Principessa d'Atlantide cartone"
"heroes.name_fancy.s2_ariel_costume_enchanter","Incantatrice di Atlantide"
"heroes.name_fancy.s2_atlantean_robot","Guardiano di Atlantide"
"heroes.name_fancy.s2_atlantean_robot_costume_cute","Guardiano di Atlantide cartone"
"heroes.name_fancy.s2_atlantean_robot_costume_sentinel","Sentinella altantidea"
"heroes.name_fancy.s2_chameleon_bruiser","Guerriero camaleonte"
"heroes.name_fancy.s2_chameleon_chief","Generale camaleonte"
"heroes.name_fancy.s2_chameleon_chief_costume_heavyweight","Campione del mondo dei pesi massimi"
"heroes.name_fancy.s2_chameleon_mage","Sciamano camaleonte"
"heroes.name_fancy.s2_chameleon_mage_costume_alchemist","Alchimista camaleonte"
"heroes.name_fancy.s2_chameleon_mage_costume_cute","Sciamano camaleonte cartone"
"heroes.name_fancy.s2_croc_man","Criminale di palude"
"heroes.name_fancy.s2_cursed_samurai","Signore della guerra maledetto"
"heroes.name_fancy.s2_cursed_samurai_costume_beetle","Samurai scarafaggio"
"heroes.name_fancy.s2_cursed_samurai_costume_cute","Signore maledetto cartone"
"heroes.name_fancy.s2_demon_master","Daimyo dell'inganno"
"heroes.name_fancy.s2_demon_master_costume_cute","Cartone dell'inganno"
