"specials.name.a_cozy_break","Istirahat yang Nyaman"
"specials.name.ice_cold_order","Perintah Sedingin Es"
"specials.name.ice_cream_smash","Geprek Es Krim"
"specials.name.ice_treatment","Haru Beku"
"specials.name.iceberg_aura","Aura Gunung Es"
"specials.name.iceberg_crush","Remukan Gunung Es"
"specials.name.iceberg_havoc","Bencana Gunung Es"
"specials.name.icebound_howl","Lolongan Terikat Es"
"specials.name.icebound_ritual","Ritual Terikat Es"
"specials.name.icecold_finisher","Penuntas Sedingin Es"
"specials.name.icehammer_smash","Hantaman Martil Es"
"specials.name.iceshatter","Pemecah Es"
"specials.name.icy_axes","Kapak Es"
"specials.name.icy_mandibles","Mandibula Es"
"specials.name.icy_resilience","Resiliensi Es"
"specials.name.ill_bring_you_back","Akan Kubawa Kau Kembali"
"specials.name.ill_fated_experiment","Eksperimen yang Bernasib Buruk"
"specials.name.imaginary_increments","Pertambahan Imajiner"
"specials.name.immortal_annihilator","Peluluh Baka"
"specials.name.immortal_annihilator_deadly","Peluluh Baka"
"specials.name.immortal_punisher","Penghukum Abadi"
"specials.name.impairing_strike","Serangan Merusak"
"specials.name.impale_and_devour","Tusuk dan Telan"
"specials.name.impeccable_charge","Serang Sempurna"
"specials.name.impeding_bolts","Petir Penghalang"
"specials.name.impervious_formation","Formasi Tahan"
"specials.name.impossible_groove","Lekuk Mustahil"
"specials.name.impossible_riddle","Teka-teki Mustahil"
"specials.name.incite_ki","Hasut Ki"
"specials.name.incite_ki2","Hasut Ki"
"specials.name.indestructible_claw","Cakar Tak Terhancurkan"
"specials.name.indifferent_blade","Pedang Cuek"
"specials.name.inevitable_demise","Kematian Tak Terelakkan"
"specials.name.infernal_chops","Potongan Neraka"
"specials.name.infernal_drumstorm","Badai Drum Neraka"
"specials.name.infernal_flames","Api Neraka"
"specials.name.infernal_jaws","Rahang Neraka"
"specials.name.ink_bomb","Bom Tinta"
"specials.name.innovative_lunge","Terjang Inovatif"
"specials.name.insidious_goo","Goo Berbahaya"
"specials.name.inspiring_fencing","Anggar Inspiratif"
"specials.name.insurmountable_flux","Aliran Tak Teratasi"
"specials.name.intimidating_stance","Sikap Mengintimidasi"
"specials.name.invigorating_pollen","Serbuk Menyegarkan"
"specials.name.invigorating_soup","Sup Menyegarkan"
"specials.name.invisible_strike","Serangan Tak Terlihat"
"specials.name.iron_discipline_cut","Irisan Disiplin Besi"
"specials.name.iron_rocket_fist","Tinju Roket Besi"
"specials.name.ironbound_fury","Amarah Terikat Besi"
"specials.name.jab_and_hook","Kepal dan Tinju"
"specials.name.jack_of_owl_trades","Ahli Dagang Burung Hantu"
"specials.name.jackal_strike","Serangan Jakal"
"specials.name.jade_blades","Pedang Giok"
"specials.name.jaw_clamp","Jebakan Menyebar"
"specials.name.jaws_of_the_river","Rahang Sungai"
"specials.name.jewel_of_the_deep","Permata dari Kedalaman"
"specials.name.join_in_joyful_song","Gabung ke Lagu Sukacita"
"specials.name.joyful_noise","Kebisingan Riang"
"specials.name.joyful_palette","Palet Sukacita"
"specials.name.judgement_of_goo","Penghakiman Goo"
"specials.name.judgment_of_sun","Penghakiman Matahari"
"specials.name.juggling_trials","Uji Coba Juggling"
"specials.name.jungle_fury","Amarah Hutan"
"specials.name.jungle_riposte","Balasan Hutan"
"specials.name.jungle_slash","Sabetan Paya"
"specials.name.just_a_flesh_wound","Hanya Sebuah Luka Daging"
"specials.name.karnov","Menghajar Total"
"specials.name.katana_rain","Hujan Katana"
"specials.name.katana_rain_pve","Hujan Katana"
"specials.name.keep_the_peace","Menjaga Perdamaian"
"specials.name.keyknife_typhoon","Topan Pisau Kunci"
"specials.name.khans_order","Titah Khan"
"specials.name.kindled_carpet","Karpet Menyala"
"specials.name.kings_blood_poisoning","Malam Nestapa"
"specials.name.kings_curse","Badai Pasir"
"specials.name.kings_curse_pve","Badai Pasir"
"specials.name.kings_feast","Pesta sang Raja"
"specials.name.kite_of_endurance","Layangan Ketahanan"
"specials.name.kitten_stampede","Derap Anak Kucing"
"specials.name.knights_armor","Zirah Kesatria"
"specials.name.knights_fury","Amarah Kesatria"
"specials.name.knights_parry","Elakan Kesatria"
"specials.name.kong_smash","Hantaman Kong"
"specials.name.kunai_assault","Serangan Kunai"
"specials.name.lacerating_leap","Lompatan Mengoyak"
"specials.name.lacerating_letters","Surat Mengoyak"
"specials.name.lacerating_whip","Cambuk Mengoyak"
"specials.name.ladys_charm","Pesona Wanita"
"specials.name.ladys_flowers","Bunga Wanita"
"specials.name.lament_of_the_hunt","Ratapan Perburuan"
"specials.name.lance_of_avarice","Tombak Avarice"
"specials.name.lance_of_torment","Tombak Siksaan"
"specials.name.lance_thrust","Tusukan Tombak"
"specials.name.landslide","Tanah Longsor"
"specials.name.lantern_of_insanity","Lentera Kegilaan"
"specials.name.larva_prescription","Resep Larva"
"specials.name.lash_of_the_whip","Sabetan Cambuk"
"specials.name.last_words","Perkataan Terakhir"
"specials.name.laundry_day","Hari Mencuci"
"specials.name.lava_blast","Ledakan Lava"
"specials.name.lava_spit","Ludah Lava"
"specials.name.lava_splash_dragon_pve","Percikan Api Roh"
"specials.name.lavablow","Serangan Api"
"specials.name.lavablow_pve","Serangan Api"
"specials.name.lavaslash","Sayatan Lava"
"specials.name.leaf_blast","Ledakan Daun"
"specials.name.leafglow_bloom","Cahaya Daun Mekar"
"specials.name.leaping_attack","Serangan Melompat"
"specials.name.leeching_saw","Gergaji Isap"
"specials.name.leeching_stars","Bintang Isap"
"specials.name.leeching_worms","Cacing Lintah"
"specials.name.legacy_of_darkness","Legasi Kegelapan"
"specials.name.legerdemain","Legerdemain"
"specials.name.legerdemain_heart","Salib"
"specials.name.legerdemain_joker","Bintang"
"specials.name.legerdemain_skull","Tengkorak"
"specials.name.legions_of_darkness","Legiun Kegelapan"
"specials.name.legions_of_tyrant","Legiun Tiran"
"specials.name.lethal_needles","Jarum Letal"
"specials.name.lethal_needles2","Jarum Letal"
"specials.name.levitating_lunchbox_deluxe","Kotak Makan Mewah Melayang"
"specials.name.lifeforce_leech","Lintah Daya Hidup"
"specials.name.light_barrier_dragon_pve","Penghalang Cahaya"
"specials.name.light_grenades","Granat Ringan"
"specials.name.light_grenades2","Granat Ringan"
"specials.name.light_my_fire","Nyalakan Apiku"
"specials.name.lightning_charge","Muatan Petir"
"specials.name.lightning_stream","Aliran Petir"
"specials.name.lightning_stream2","Aliran Petir"
"specials.name.lightning_ultimatum","Ultimatum Petir"
"specials.name.lightning_ultimatum_pve","Ultimatum Petir"
"specials.name.litter_of_kittens","Kotoran Cemeng"
"specials.name.liturgy_of_the_fallen","Liturgi yang Terjatuh"
"specials.name.looking_for_love","Mencari Cinta"
"specials.name.lookouts_refreshment","Penyegar Tempat Pengintai"
"specials.name.loom_of_destruction","Julang Kehancuran"
"specials.name.lord_of_the_jungle","Raja Hutan"
"specials.name.lords_blood_poisoning","Fajar Nestapa"
"specials.name.love_at_first_sight","Cinta Pandangan Pertama"
"specials.name.love_conquers_all","Cinta Menaklukkan Segalanya"
"specials.name.love_conquers_all_pve","Cinta Menaklukkan Segalanya"
"specials.name.loving_queen","Ratu Pengasih"
"specials.name.lucky_coin","Koin Hoki"
"specials.name.lucky_nine","9 Bertuah"
"specials.name.luminescent_electrocution","Elektrokusi Bercahaya"
"specials.name.luminous_lance","Tombak Bercahaya"
"specials.name.lunar_blessing","Berkat Bulan"
"specials.name.lunar_blessing_moon_beam","Sinar Bulan"
"specials.name.lunar_bloom","Mekarnya Bulan"
"specials.name.lunar_locket","Liontin Bulan"
"specials.name.lunar_shield","Perisiai Bulan"
"specials.name.lunar_spear","Tombak Bulan"
"specials.name.luring_song","Lagu Memikat"
"specials.name.machinists_cutlass","Pedang Pendek Masinis"
"specials.name.mad_as_a_hatter","Sesinting si Pembuat Topi"
"specials.name.mad_rat_mania","Maniak Tikus Gila"
"specials.name.mad_tea_party","Pesta Teh Gila"
"specials.name.madrigal_of_mayhem","Madrigal Kekacauan"
"specials.name.mageball_blast","Ledakan Bola Magi"
"specials.name.mageball_blast_pve","Ledakan Bola Magi"
"specials.name.magic_mirror_of_power","Cermin Sihir Kekuatan"
"specials.name.magical_balan","Balan Ajaib"
"specials.name.magical_sword","Pedang Sihir"
"specials.name.magma_boulders","Batuan Magma"
"specials.name.magma_smash","Dobrakan Magma"
"specials.name.magmatic_burns","Luka Bakar Magmatik"
"specials.name.magmatic_tempest","Badai Magmatik"
"specials.name.magnificent_meal","Makanan Luar Biasa"
"specials.name.maidens_command","Komando Nona"
"specials.name.maidens_orders","Perintah Nona"
"specials.name.make_them_harmless","Jadikan Mereka Tidak Berbahaya"
"specials.name.malevolent_toys","Mainan Jahat"
"specials.name.malison_of_the_wildlands","Malison dari Alam Liar"
"specials.name.mallet_swing_of_the_beast","Ayunan Palu Monster"
"specials.name.mana_immolation","Pembakaran Mana"
"specials.name.mana_manipulation","Manipulasi Mana"
"specials.name.mana_scavange","Mengeruk Mana"
"specials.name.mana_stealer","Mata Nabi"
"specials.name.mantis_strike","Serangan Belalang"
"specials.name.marble_frenzy","Kegilaan Marmer"
"specials.name.marc","Terjangan Gila"
"specials.name.mark_of_anubis","Tanda Anubis"
"specials.name.mark_of_fire","Tanda Api"
"specials.name.mark_of_ivy","Tanda Ivy"
"specials.name.mark_of_nature","Tanda Alam"
"specials.name.mark_of_the_jackal","Tanda Jakal"
"specials.name.mark_the_prey","Tandai Mangsa"
"specials.name.marked_aim","Target Tertandai"
"specials.name.martial_dance","Kecakapan Kane"
"specials.name.martial_masterstroke","Gaya Master Bela Diri"
"specials.name.martial_prowess","Ahli Bela Diri"
"specials.name.masons_rage","Amukan Tukang Batu"
"specials.name.massive_bite","Gigitan Masif"
"specials.name.massive_chop","Potongan Besar"
"specials.name.massive_cleave","Tebasan Besar"
"specials.name.massive_swing","Ayunan Masif"
"specials.name.master_of_ailments","Master Penyakit"
"specials.name.master_plan","Rencana Induk"
"specials.name.masterful_balance","Keseimbangan Ahli"
"specials.name.masterful_manipulation","Manipulasi Ahli"
"specials.name.mauling_tusk","Gading Aniaya"
"specials.name.mean_jab_dragon_pve","Tusukan Kejam"
"specials.name.mechanical_augmentations","Augmentasi Mekanis"
"specials.name.medicinal_drool","Iler Obat"
"specials.name.medicinal_fumes","Asap Obat"
"specials.name.melody_harvest","Panen Melodi"
"specials.name.melody_of_mana_control","Melodi Kontrol Mana"
"specials.name.melody_of_misery","Melodi Penderitaan"
"specials.name.memory_manipulation","Manipulasi Ingatan"
"specials.name.memory_of_the_queen","Ingatan Permaisuri"
"specials.name.mending_bronze_axe","Memperbaiki Kapak Perunggu"
"specials.name.mending_mantra","Mantra Pemulih"
"specials.name.mending_stitches","Jahitan Pemulih"
"specials.name.merciless_bite","Gigitan Tanpa Ampun"
"specials.name.merciless_execution","Eksekusi Tanpa Ampun"
"specials.name.merciless_pulverizer","Pelumat Tanpa Ampun"
"specials.name.merriest_misery","Kesengsaraan Termeriah"
"specials.name.mesmerizing_mirror","Cermin Memikat"
"specials.name.miasma_mace","Tongkat Miasma"
"specials.name.midnight_magic","Sihir Tengah Malam"
"specials.name.midnight_moon","Bulan Tengah Malam"
"specials.name.midnight_smite","Pukulan Tengah Malam"
"specials.name.midnight_strike","Mogok Tengah Malam"
"specials.name.midsummers_dream","Mimpi Pertengahan Musim Panas"
"specials.name.midsummers_reverie","Lamunan Pertengahan Musim Panas"
"specials.name.might_of_ares","Keperkasaan Ares"
"specials.name.might_of_excalibroom","Kekuatan Excalibroom"
"specials.name.might_of_the_ice_giants","Keperkasaan Raksasa Es"
"specials.name.might_of_the_ice_giants_final","Keperkasaan Raksasa Es"
"specials.name.mimic_bite","Gigitan Mimik"
"specials.name.mimic_bite_burn","Gigitan Korosif"
"specials.name.mimic_bite2","Gigitan Mimik Buas"
"specials.name.mimic_bite3","Ketamakan Mimik"
"specials.name.mimic_bite4","Provokasi Mimik"
"specials.name.mimic_special","Monster Licik"
"specials.name.mimic_special2","Monster Licik"
"specials.name.mimic_training_hero_blue_bite","Lahap Rakus"
"specials.name.mimic_training_hero_green_bite","Lahap Rakus"
"specials.name.mimic_training_hero_purple_bite","Lahap Rakus"
"specials.name.mimic_training_hero_red_bite","Lahap Rakus"
"specials.name.mimic_training_hero_yellow_bite","Lahap Rakus"
"specials.name.mind_blast","Ledakan Pikiran"
"specials.name.mindless_attack","Serangan Awur"
"specials.name.minion_scrutiny","Pengawasan Antek"
"specials.name.mischievous_flourish","Berkembangnya Iseng"
"specials.name.mischievous_flourish_pve_advanced","Berkembangnya Iseng"
"specials.name.mischievous_flourish_pve_normal","Berkembangnya Iseng"
"specials.name.mischievous_tiein","Ikatan Iseng"
"specials.name.missile_mania","Maniak Rudal"
"specials.name.mist_of_the_fallen","Halimun Gugur"
"specials.name.mistletoe_medley","Medley Mistletoe"
"specials.name.misty_punches","Tinju Berkabut"
"specials.name.mixed_green_herbs","Campuran Herbal Hijau"
"specials.name.molten_wax","Lilin Cair"
"specials.name.monastic_restraint","Pengekangan Biara"
"specials.name.monstrous_bite","Gigitan Monster"
"specials.name.moody_jab_dragon_pve","Tusukan Muram"
"specials.name.mooing_for_a_fight","Melenguh untuk Bertarung"
"specials.name.moon_boomerang","Bumerang Bulan"
"specials.name.moon_crush_beam","Sinar Penghancur Bulan"
"specials.name.moonlight_crescendo","Kresendo Sinar Bulan"
"specials.name.moonlight_serenade","Serenade Sinar Bulan"
"specials.name.moonlight_sonata","Sonata Sinar Bulan"
"specials.name.moonstone_glare_dragon_pve","Silau Batu Bulan"
"specials.name.moreau_phase1_special","Kebencian Membutakan"
"specials.name.moreau_phase2_special1","Kebencian Membutakan"
"specials.name.moreau_phase2_special2","Kebencian Membutakan"
"specials.name.morning_catch","Tangkapan Pagi"
"specials.name.mother_dragons_love","Cinta Induk Naga"
"specials.name.motherly_care","Perawatan Keibuan"
"specials.name.motherly_care_pve","Perawatan Keibuan"
"specials.name.motherly_love","Kasih Ibu"
"specials.name.muffin_poisoning","Keracunan Muffin"
"specials.name.multi_elemental_mark","Tanda Multielemen"
"specials.name.multi_throw","Lemparan Multi"
"specials.name.mummy_slash","Sabetan Mumi"
"specials.name.mummy_strike","Serangan Mumi"
"specials.name.musketeers_deal","Kesepakatan Musketri"
"specials.name.musketeers_mead","Madu Musketri"
"specials.name.mutated_specimen","Spesimen yang Bermutasi"
"specials.name.mutating_mixture","Campuran Mutasi"
"specials.name.mystery_potions","Ramuan Misteri"
"specials.name.mystic_chop","Potongan Mistis"
"specials.name.mystical_concerto","Konserto Mistis"
"specials.name.mystics_virtue","Kebajikan Mistik"
"specials.name.mythic_lightning","Petir Mitos"
"specials.name.nasty_hammer","Palu Menjijikkan"
"specials.name.natures_blessing","Amarah Pengamuk"
"specials.name.natures_connection","Koneksi Alam"
"specials.name.natures_fury","Amarah Alam"
"specials.name.natures_payback","Pembalasan Alam"
"specials.name.nebula_orb","Bola Nebula"
"specials.name.nebula_orb_ultimate_boss","Bola Nebula"
"specials.name.necronomicon_page_13","Nekronomikon Halaman 13"
"specials.name.nephrite_blade","Pedang Nefrit"
"specials.name.nethershield","Perisaipayah"
"specials.name.never_ending_winter","Musim Dingin Tanpa Akhir"
"specials.name.night_falls","Malam Turun"
"specials.name.night_of_crimes","Malam Kejahatan"
"specials.name.nightbloom_dust","Debu Bunga Malam"
"specials.name.nightglade_pollen","Serbuk Lapang Malam"
"specials.name.nights_whisper","Bisikan Malam"
"specials.name.nimble_bite","Gigitan Gesit"
"specials.name.nine_dragon_strike","Serangan Sembilan Naga"
"specials.name.nobles_empathy","Empati Mulia"
"specials.name.nobles_empathy_costume_artisan","Empati Kaligrafer"
"specials.name.nomadic_hymn","Himne Nomaden"
"specials.name.northern_wanderer","Cadangan Riang"
"specials.name.noxious_blossom","Mekar Berbahaya"
"specials.name.noxious_chord","Senar Berbahaya"
"specials.name.noxious_cleave","Belahan Beracun"
"specials.name.noxious_cleave_pve","Belahan Beracun"
"specials.name.nuts_of_yggdrasil","Kacang Yggdrasil"
"specials.name.oath_of_templar","Sumpah Penjaga Kuil"
"specials.name.obliterating_surge","Lonjakan Pemusnah"
"specials.name.ocarina_windsong","Nyanyian Angin Ocarina"
"specials.name.occult_redemption","Penebusan Okultis"
"specials.name.ocean_vortex","Pusaran Lautan"
"specials.name.oceanic_offensive","Serangan Samudra"
"specials.name.oceanic_slayer","Pembunuh Panah Surut"
"specials.name.oceanic_suffering","Penderitaan Kelautan"
"specials.name.oceans_decay","Pembusukan Lautan"
"specials.name.oceans_embrace","Pelukan Lautan"
"specials.name.oceans_ruin","Puing Lautan"
"specials.name.odd_drum_roll","Pukulan Drum Ganjil"
"specials.name.oji_waza","Oji-Waza"
"specials.name.old_curse","Kutukan Lama"
"specials.name.omega_flame","Serangan Omega"
"specials.name.omega_strike_dark","Serangan Omega"
"specials.name.omega_strike_fire","Serangan Omega"
"specials.name.omega_strike_holy","Serangan Omega"
"specials.name.omega_strike_ice","Serangan Omega"
"specials.name.omega_strike_nature","Serangan Omega"
"specials.name.omen_of_retribution","Pertanda Pembalasan"
"specials.name.omnicure","Khasiat Universal"
"specials.name.omniheal","Penyembuhan Segala"
"specials.name.omnimend","Mahakuasa"
"specials.name.one_hit_wonder","Keajaiban Sekali Saja"
"specials.name.one_jump_ahead","Satu Lompatan ke Depan"
"specials.name.one_spell_ahead","Satu Mantra ke Depan"
"specials.name.opposing_raid","Serangan Melawan"
"specials.name.orchestra_of_candles","Orkestra Lilin"
"specials.name.orchids_and_roses","Anggrek dan Mawar"
"specials.name.order_ambush","Perintah Sergapan"
"specials.name.order_ambush_pve","Perintah Sergapan"
"specials.name.order_from_the_depths","Perintah dari Kedalaman"
"specials.name.order_to_overwhelm","Perintah untuk Membanjiri"
"specials.name.orsoldoon","Örsöldöön"
"specials.name.overpowering_grip_dragon_pve","Cengkeraman Sangat Kuat"
"specials.name.overvlowing_whirlwind","Luapan Pusaran Angin"
"specials.name.overwhelming_raid","Serangan Begitu Banyak"
"specials.name.owls_blessing","Berkat Burung Hantu"
"specials.name.pacifying_presence_dragon_pve","Kekuatan Penenangan"
"specials.name.pain_harvest","Panen Rasa Sakit"
"specials.name.paragon_of_constellations","Paragon Konstelasi"
"specials.name.paralyzing_spore","Spora Melumpuhkan"
"specials.name.parcel_of_the_dragon_familiar","Parsel Naga Akrab"
"specials.name.pathfinders_compass","Kompas Pencari Jejak"
"specials.name.paw_in_every_pie","Cakar di Setiap Pai"
"specials.name.pawns_of_divinity","Pion Keilahian"
"specials.name.paws_or_claws","Kaki atau Cakar"
"specials.name.peach_of_immortality","Persik Keabadian"
"specials.name.pearls_of_rejuvenation","Mutiara Peremajaan"
"specials.name.perfect_riposte","Balasan Sempurna"
"specials.name.perfect_shot","Bidikan Sempurna"
"specials.name.perfect_teamwork","Kerja Tim Sempurna"
"specials.name.perfume_cloud","Awan Parfum"
"specials.name.perilous_gift","Hadiah Berbahaya"
"specials.name.perilous_present_pve","Hadiah Berbahaya"
"specials.name.perilous_waters","Perairan Berbahaya"
"specials.name.perplexing_riddle","Teka-teki Membingungkan"
"specials.name.pest_control","Kendali Hama"
"specials.name.pet_larva","Larva Piaraan"
"specials.name.petals_of_nourishment","Kelopak Nutrisi"
"specials.name.petrifying_knuckles","Keling Menakutkan"
"specials.name.petrifying_performance","Performa Menakutkan"
"specials.name.picnic_in_the_sky","Piknik di Langit"
"specials.name.pie_of_protection","Pai Perlindungan"
"specials.name.piercing_falcon","Elang Penusuk"
"specials.name.piercing_hit","Hantaman Menusuk"
"specials.name.piercing_practice_slash","Sabetan Latihan Menusuk"
"specials.name.piercing_sabre","Sabel Penusuk"
"specials.name.piercing_scream_dragon_pve","Jeritan Menusuk"
"specials.name.piercing_shot","Tembakan Penusuk"
"specials.name.piercing_strike","Serangan Menusuk"
"specials.name.piercing_tusk","Gading Penusuk"
"specials.name.pincer_claw","Cakar Penjepit"
"specials.name.pincer_claw_deadly","Cakar Penjepit"
"specials.name.pineapple_alchemist","Ahli Alkimia Nanas"
"specials.name.pineapple_barbeque","Barbeku Nanas"
"specials.name.pirate_shot","Tembakan Perompak"
"specials.name.pirates_vengeance","Pembalasan Perompak"
"specials.name.pixie_dust","Debu Pixie"
"specials.name.plague_bite","Gigitan Wabah"
"specials.name.plague_blade","Pedang Wabah"
"specials.name.planar_time_widget","Widget waktu bidang"
"specials.name.planetary_charge","Muatan Planet"
"specials.name.plantipede_sting","Sengatan Plantipede"
"specials.name.plentiful_harvest","Panen Melimpah"
"specials.name.plentiful_minerals","Mineral Melimpah"
"specials.name.plume_flash","Ledakan Kilat"
"specials.name.poem_of_the_centaurs","Puisi Kentaur"
"specials.name.poem_of_the_morass","Puisi Rawa"
"specials.name.poetic_justice","Keadilan Puitis"
"specials.name.poets_protection","Perlindungan Penyair"
"specials.name.pointy_darts","Anak Panah Lancip"
"specials.name.poison_bite","Gigitan Beracun"
"specials.name.poison_bite_dragon_pve","Gigitan Beracun"
"specials.name.poison_bolt_zidane","Ledakan Petir Beracun"
"specials.name.poison_claw","Cakar Beracun"
"specials.name.poison_jolt","Sentakan Racun"
"specials.name.poison_strike","Serangan Racun"
"specials.name.poison_tipped_arrow","Panah Berujung Racun"
"specials.name.poison_web","Jaring Beracun"
"specials.name.poisoned_blade","Pedang Beracun"
"specials.name.poisoning_blade","Pedang Meracuni"
"specials.name.poisonous_mist","Kabut Beracun"
"specials.name.poisonous_saliva","Ludah Beracun"
"specials.name.polar_bash","Tamparan Kutub"
"specials.name.polar_night_blizzard","Badai Salju Malam Kutub"
"specials.name.poleaxe_of_the_law","Kapak Kutub Hukum"
"specials.name.polestar_expedition","Ekspedisi Bintang Kutub"
"specials.name.pompous_flex","Pamer Sombong"
"specials.name.portents_of_future","Pertanda Masa Depan"
"specials.name.possessed_strike","Serangan Kerasukan"
"specials.name.possessor_of_penance","Pemilik Penebusan Dosa"
"specials.name.postal_pulverizer","Pelumat Pos"
"specials.name.potion_cocktail","Koktail Ramuan"
"specials.name.potions_of_covetous_desire","Ramuan Rasa Ingin Memiliki"
"specials.name.potions_of_covetous_desire_pve","Ramuan Rasa Ingin Memiliki"
"specials.name.potions_of_havoc_and_healing","Ramuan Kekacauan dan Penyembuhan"
"specials.name.pounce_of_the_lioness","Terjangan Singa Betina"
"specials.name.pounding_attack","Hantaman Serangan"
"specials.name.power_of_ajna","Kekuatan Ajna"
"specials.name.power_of_flora","Kekuatan Flora"
"specials.name.power_of_mjolnir","Kekuatan Mjölnir"
"specials.name.power_of_the_forest","Kekuatan Hutan"
"specials.name.power_of_the_void","Kekuatan Hampa"
"specials.name.power_punch","Pukulan Maut"
"specials.name.power_slam","Bantingan Kuat"
"specials.name.power_wave","Gelombang Kekuatan"
"specials.name.prayer_of_the_desert","Doa Gurun"
"specials.name.precious_pets","Peliharaan Berharga"
"specials.name.precious_pets_pve_advanced","Peliharaan Berharga"
"specials.name.precious_pets_pve_normal","Peliharaan Berharga"
"specials.name.precise_chop","Potongan Presisi"
"specials.name.precise_riposte","Balasan yang Tepat"
"specials.name.preserve_and_freeze","Awetkan dan Bekukan"
"specials.name.prestidigitation","Penyulapan"
"specials.name.prestidigitation_cross","Salib"
"specials.name.prestidigitation_skull","Tengkorak"
"specials.name.prestidigitation_stars","Bintang"
"specials.name.primeval_glaive","Pedang Purba"
"specials.name.princess_unleashed","Putri Dilepaskan"
"specials.name.prosperity_for_domain","Kemakmuran Wilayah"
"specials.name.protective_stance","Sikap Protektif"
"specials.name.protector_of_the_blue_river","Pelindung Sungai Biru"
"specials.name.protein_corruption","Korupsi Protein"
"specials.name.protein_eater","Pemakan Protein"
"specials.name.pulsar_blast","Ledakan Pulsar"
"specials.name.pulsarstrike","Serangan Pulsar"
"specials.name.pulverizing_ham","Ham Melumatkan"
"specials.name.pummeling","Memukul"
"specials.name.punishing_shot","Tembakan Menghukum"
"specials.name.punishing_shot_pve","Tembakan Menghukum"
"specials.name.punishing_strike","Serangan Menghukum"
"specials.name.puppy_tales","Dongeng Anak Anjing"
"specials.name.pure_shot","Tembakan Murni"
"specials.name.purification","Pemurnian"
"specials.name.purifying_flame","Api Pemurni"
"specials.name.purifying_flame_pve","Api Pemurni"
"specials.name.purifying_hit","Hantaman Pemurni"
"specials.name.purifying_ki","Ki Pemurni"
"specials.name.purifying_light","Cahaya Pemurni"
"specials.name.purifying_strike","Serangan Pemurni"
"specials.name.purple_beetloid_bite","Gigitan Bitloid Ungu"
"specials.name.pursuing_shot","Tembakan Mengejar"
"specials.name.putrid_perfume","Parfum Tengik"
"specials.name.puzzling_paint","Cat Membingungkan"
"specials.name.puzzling_riddle","Teka-teki Membingungkan"
"specials.name.qilin_blade","Pedang Qilin"
"specials.name.queen_of_cards","Ratu Kartu"
"specials.name.queen_of_the_depths","Permaisuri Palung"
"specials.name.queen_of_the_depths_final","Permaisuri Palung"
"specials.name.queens_blood_poisoning","Petang Nestapa"
"specials.name.queens_curse","Badai Pasir"
"specials.name.queens_curse_pve","Badai Pasir"
"specials.name.quick_and_nimble","Cepat dan Gesit"
"specials.name.rabbits_watch","Pandangan Kelinci"
"specials.name.raccoon_bite","Gigitan Rakun"
"specials.name.radiant_comeback","Kembali Berseri"
"specials.name.radiant_rapid_fire","Tembak Cepat Berseri"
"specials.name.radiant_shackles","Belenggu Berseri"
"specials.name.radiant_sweep_dragon_pve","Sapuan Berseri"
"specials.name.radiating_frost","Beku yang Berseri"
"specials.name.rage_of_grimnir","Kemarahan Grimnir"
"specials.name.raging_tempest","Badai Mengamuk"
"specials.name.rain_of_arrows","Hujan Panah"
"specials.name.rain_of_fire","Hujan Api"
"specials.name.rain_of_fire_ultimate_boss","Hujan Api"
"specials.name.raising_morale","Meningkatkan Semangat"
"specials.name.rally_of_the_deep","Reli dari Kedalaman"
"specials.name.ramming_pulverizer","Pelumat Menyeruduk"
"specials.name.ramming_rush","Serangan Menyeruduk"
"specials.name.rapid_shots","Tembakan Cepat"
"specials.name.rattle_of_confusion","Derak Kebingungan"
"specials.name.ravaging_talons","Cakar Penghancur"
"specials.name.ravening_blade","Pedang Gagak"
"specials.name.ravenous_pounce","Terjangan Rakus"
"specials.name.ravens_vigil","Penjagaan Gagak"
"specials.name.ravens_watch","Pengawasan Gagak"
"specials.name.ray_strike","Serangan Sinar"
"specials.name.razor_smile","Senyum Silet"
"specials.name.reanimated_spite","Bangkitnya Dendam"
"specials.name.reanimated_spite_pve","Bangkitnya Dendam"
"specials.name.reckless_charge","Serangan Ceroboh"
"specials.name.reckless_finisher","Penuntas Ceroboh"
"specials.name.reckless_slash","Gorokan Ceroboh"
"specials.name.reckless_stab","Tikaman Ceroboh"
"specials.name.reckless_swing","Tebasan Ceroboh"
"specials.name.reckless_sword_swings","Ayunan Pedang Ceroboh"
"specials.name.red_lizard_charge","Serangan Kadal Kamuflase Merah"
"specials.name.red_shoes","Sepatu Merah"
"specials.name.red_sparks_dragon_pve","Percikan Merah"
"specials.name.reef_blast","Ledakan Karang"
"specials.name.reflecting_stance","Sikap Refleksi"
"specials.name.regal_claws","Cakar Megah"
"specials.name.regal_spearhead","Ujung Tombak Megah"
"specials.name.regeneration","Regenerasi"
"specials.name.rejuvenating_elixir","Eliksir Peremajaan"
"specials.name.rejuvenating_leap","Lompatan Peremajaan"
"specials.name.relaxing_riddle","Teka-teki Santai"
"specials.name.relentless_brawler","Jagoan Tanpa Henti"
"specials.name.remedies_and_diseases","Obat dan Penyakit"
"specials.name.rending_dagger","Belati Pembelah"
"specials.name.reporting_for_duty","Melapor untuk Tugas"
"specials.name.resolute_spirit","Semangat Tegas"
"specials.name.resolute_spirit2","Semangat Tegas"
"specials.name.restoration_and_annihilation","Pemulihan dan Penghancuran"
