"heroes.name_fancy.astral_cosmicspeaker","Astronom Elf Astral"
"heroes.name_fancy.magic_carpet_manpip","Penerbang Karpet Ajaib yang Gugup"
"heroes.name_fancy.magic_carpet_naeem","Gelandangan Karpet Ajaib"
"heroes.name_fancy.magic_carpet_ragrim","Ahli Botani Karpet Ajaib"
"heroes.name_fancy.magic_carpet_shareef","Dukun Tak Terhentikan"
"heroes.name_fancy.magic_carpet_zazha","Pemugar Karpet Ajaib"
"heroes.name_fancy.magic_cristobal","Profesor Mantra"
"heroes.name_fancy.magic_cristobal_costume_emerald","Profesor Jampi"
"heroes.name_fancy.magic_dolgoon","Pustakawan Terpelajar"
"heroes.name_fancy.magic_jett","Pembawa Pengorbanan"
"heroes.name_fancy.magic_kornel","Pengurus Veteran"
"heroes.name_fancy.magic_lucy","Anak Ajaib Bola Magi"
"heroes.name_fancy.magic_milena","Guru Seni Batin"
"heroes.name_fancy.magic_milena_costume_ice","Guru Mantra Arktik"
"heroes.name_fancy.magic_motega","Master Penjaga Tanah"
"heroes.name_fancy.magic_nadezhda","Kepala Sekolah Menara"
"heroes.name_fancy.magic_nadezhda_costume_postmaster","Kepala Kantor Pos Menara"
"heroes.name_fancy.magic_ray","Juara Istana"
"heroes.name_fancy.magic_ray_costume_spiky","Juara Semak Duri"
"heroes.name_fancy.magic_roxia","Penggemar Coretan Kuno"
"heroes.name_fancy.magic_sergei","Murid Seni Batin"
"heroes.name_fancy.magic_telonius","Kentaur Hutan"
"heroes.name_fancy.magic_telonius_costume_brew","Kentaur dari Ruang Bar"
"heroes.name_fancy.magic_ulius","Dukun Penemu Aneh"
"heroes.name_fancy.magic_ulius_costume_buccaneer","Perompak Gaib yang Aneh"
"heroes.name_fancy.magic_vaishali","Master Catur Mistis"
"heroes.name_fancy.magic_vaishali_costume_chef","Master Pai Mistis"
"heroes.name_fancy.magic_willow","Master Pengangkatan"
"heroes.name_fancy.magitech_sniper","Penembak Jitu Magitek"
"heroes.name_fancy.magitech_sniper_costume_cute","Penembak Jitu Toon"
"heroes.name_fancy.magitech_sniper_costume_glass","Penembak Jitu Kaca"
"heroes.name_fancy.magitech_sniper_costume_steampunk","Penembak Jitu Steampunk"
"heroes.name_fancy.magitech_sniper_costume_undead","Penembak Jitu Zombi"
"heroes.name_fancy.mahayoddha_ali","Anak Pesuruh Berbakat"
"heroes.name_fancy.mahayoddha_bhima","Putra Vayu"
"heroes.name_fancy.mahayoddha_bonga","Pembuat Keranjang"
"heroes.name_fancy.mahayoddha_chitrangada","Putri Pejuang Manipura"
"heroes.name_fancy.mahayoddha_devyani","Putri Pejuang Galak"
"heroes.name_fancy.mahayoddha_jyoti","Penari Chari"
"heroes.name_fancy.mahayoddha_meenakshi","Chechi Kelapa"
"heroes.name_fancy.mahayoddha_rafeeq","Politisi Cerdik"
"heroes.name_fancy.mahayoddha_ustad_anand","Penampil Ningrat"
"heroes.name_fancy.mahayoddha_veer","Pembunuh Congkak"
"heroes.name_fancy.masquerade_alessia","Pengikut Aradia"
"heroes.name_fancy.masquerade_aradia","Dewi Sihir Bertopeng"
"heroes.name_fancy.masquerade_carmenta","Dewi Mantra Bertopeng"
"heroes.name_fancy.masquerade_cel","Dewi Bumi Bertopeng"
"heroes.name_fancy.masquerade_februus","Dewa Pemurnian Bertopeng"
"heroes.name_fancy.masquerade_fortuna","Dewi Nasib Bertopeng"
"heroes.name_fancy.masquerade_fosco","Pengikut Februus"
"heroes.name_fancy.masquerade_jana","Dewi Bulan Bertopeng"
"heroes.name_fancy.masquerade_jove","Dewa Langit Bertopeng"
"heroes.name_fancy.masquerade_umbria","Dewi Bayangan Bertopeng"
"heroes.name_fancy.mighty_pet_barkley","Perang Buldog"
"heroes.name_fancy.mighty_pet_bubbles","Peniru Seni Ilusi"
"heroes.name_fancy.mighty_pet_chomper","Juara Petarung Hamster"
"heroes.name_fancy.mighty_pet_cinnamon","Kesatria Lingkaran Arktik"
"heroes.name_fancy.mighty_pet_cupcake","Bandit Cakar"
"heroes.name_fancy.mighty_pet_furdinand","Penjahat dari Ekspedisi Anjing"
"heroes.name_fancy.mighty_pet_hachiko","Anak Anjing Kesetiaan"
"heroes.name_fancy.mighty_pet_luna","Burung Hantu Sabit"
"heroes.name_fancy.mighty_pet_ribbit","Gladiator Kerajaan Kodok"
"heroes.name_fancy.mighty_pet_rufus","Pemotong Kayu Berbulu"
"heroes.name_fancy.mighty_pet_snowball","Kucing Liar Cakar"
"heroes.name_fancy.mighty_pet_toto","Anjing Pendongeng"
"heroes.name_fancy.mighty_pet_waddles","Kapten Penjaga Bebek"
"heroes.name_fancy.mimic_aether_blue","Penyimpanan Batang yang Kelaparan"
"heroes.name_fancy.mimic_aether_green","Penyimpanan Batang yang Kelaparan"
"heroes.name_fancy.mimic_aether_purple","Penyimpanan Batang yang Kelaparan"
"heroes.name_fancy.mimic_aether_red","Penyimpanan Batang yang Kelaparan"
"heroes.name_fancy.mimic_aether_yellow","Penyimpanan Batang yang Kelaparan"
"heroes.name_fancy.mimic_ascension_epic_yellow","Wadah Kejahatan Kecil Menyeringai"
"heroes.name_fancy.mimic_ascension_item_blue","Wadah Kejahatan Menyeringai"
"heroes.name_fancy.mimic_ascension_item_green","Wadah Kejahatan Menyeringai"
"heroes.name_fancy.mimic_ascension_item_purple","Wadah Kejahatan Menyeringai"
"heroes.name_fancy.mimic_ascension_item_red","Wadah Kejahatan Menyeringai"
"heroes.name_fancy.mimic_ascension_item_yellow","Wadah Kejahatan Menyeringai"
"heroes.name_fancy.mimic_emblem_blue","Peti Uang Bermata Satu yang Mengerikan"
"heroes.name_fancy.mimic_emblem_green","Peti Uang Bermata Satu yang Mengerikan"
"heroes.name_fancy.mimic_emblem_purple","Peti Uang Bermata Satu yang Mengerikan"
"heroes.name_fancy.mimic_emblem_red","Peti Uang Bermata Satu yang Mengerikan"
"heroes.name_fancy.mimic_emblem_yellow","Peti Uang Bermata Satu yang Mengerikan"
"heroes.name_fancy.mimic_experience_rare_red","Harta Karun Gigi Mungil"
"heroes.name_fancy.mimic_training_hero_blue","Harta Karun Seribu Gigi"
"heroes.name_fancy.mimic_training_hero_green","Harta Karun Seribu Gigi"
"heroes.name_fancy.mimic_training_hero_purple","Harta Karun Seribu Gigi"
"heroes.name_fancy.mimic_training_hero_red","Harta Karun Seribu Gigi"
"heroes.name_fancy.mimic_training_hero_yellow","Harta Karun Seribu Gigi"
"heroes.name_fancy.monster_hunter_adalinda","Putri Perburuan"
"heroes.name_fancy.monster_hunter_amund","Pelacak Ulet"
"heroes.name_fancy.monster_hunter_basil","Tikus Perburuan"
"heroes.name_fancy.monster_hunter_berit","Bramacorah Berylline"
"heroes.name_fancy.monster_hunter_bogart","Pemburu Rawa"
"heroes.name_fancy.monster_hunter_bonecrusher","Kepala Suku Punggung Perak"
"heroes.name_fancy.monster_hunter_cedar","Juara Rantai Simpanse"
"heroes.name_fancy.monster_hunter_cleaver","Kepala Suku Berburu"
"heroes.name_fancy.monster_hunter_dabria","Pemburu Okultis"
"heroes.name_fancy.monster_hunter_dawn","Pemburu Bersyair"
"heroes.name_fancy.monster_hunter_dubhain","Pilihan Dewa Badai"
"heroes.name_fancy.monster_hunter_ebba","Pemburu Pembunuh Bayaran"
"heroes.name_fancy.monster_hunter_edelaide","Nomaden Liar"
"heroes.name_fancy.monster_hunter_fianna","Penjebak Hutan"
"heroes.name_fancy.monster_hunter_goretooth","Pemburu Liar"
"heroes.name_fancy.monster_hunter_greel","Petualang Feral"
"heroes.name_fancy.monster_hunter_hammertusk","Orang Barbar Kekar Penghancur"
"heroes.name_fancy.monster_hunter_hawthorn","Pemburu Berkelana"
"heroes.name_fancy.monster_hunter_hurricane","Pembunuh Kera"
"heroes.name_fancy.monster_hunter_kai","Pemburu yang Kesatria"
"heroes.name_fancy.monster_hunter_knuckles","Penjaga Beruk"
"heroes.name_fancy.monster_hunter_maheegan","Pelacak Serigala"
"heroes.name_fancy.monster_hunter_malin","Pejuang Bertulang Titan"
"heroes.name_fancy.monster_hunter_meadow","Wanita Pemburu Tribal"
"heroes.name_fancy.monster_hunter_mistweaver","Jagoan Orangutan"
"heroes.name_fancy.monster_hunter_njal","Pemburu dari Angin Utara"
"heroes.name_fancy.monster_hunter_numbskull","Kerangka Kikuk"
"heroes.name_fancy.monster_hunter_otis","Master Bilah Pemburu"
"heroes.name_fancy.monster_hunter_revna","Pemburu Akik"
"heroes.name_fancy.monster_hunter_ruadh","Pemburu Jurang Dalam"
"heroes.name_fancy.monster_hunter_sigyn","Pengendali Kalajengking"
"heroes.name_fancy.monster_hunter_sorcha","Pemburu Gigih"
"heroes.name_fancy.monster_hunter_sorrow","Roh Terikat Es"
"heroes.name_fancy.monster_hunter_staintongue","Pemburu Tanpa Henti"
"heroes.name_fancy.monster_hunter_sune","Pemburu Malakit"
"heroes.name_fancy.monster_hunter_thunderclap","Gorila Mengamuk"
"heroes.name_fancy.monster_hunter_thura","Pemburu Terberkati Bintang"
"heroes.name_fancy.monster_hunter_tremor","Ahli Pedang Babun"
"heroes.name_fancy.monster_hunter_waterpipe","Teknisi Harpun"
"heroes.name_fancy.moth_auricarc","Master Ngengatjitu"
"heroes.name_fancy.moth_chimister","Ngengat Lab"
"heroes.name_fancy.moth_chunkyroi","Marquis Ngengat"
"heroes.name_fancy.moth_furgeant","Ngengat Raksasa"
"heroes.name_fancy.moth_gardered","Ngengat Berani"
"heroes.name_fancy.moth_grovevert","Ngengat Peternak"
"heroes.name_fancy.moth_joyvert","Ngengat Ahli Musik"
"heroes.name_fancy.moth_lilareine","Marquise Ngengat"
"heroes.name_fancy.moth_limeboire","Ngengat Penjaga Bar"
"heroes.name_fancy.moth_mortewitch","Ngengat Ahli Sihir"
"heroes.name_fancy.moth_pepperbleu","Ahli Ngengat"
"heroes.name_fancy.moth_rosepetite","Ngengat Pelukis Muda"
"heroes.name_fancy.moth_satinpimenter","Pendeta Ngengat"
"heroes.name_fancy.moth_shyombre","Ngengat Bayangan"
"heroes.name_fancy.moth_tealmoine","Ngengat dari Kabut"
"heroes.name_fancy.musketeer_aramis","Musketri Romantis"
"heroes.name_fancy.musketeer_aramis_costume_boulanger","Musketri Boulanger"
"heroes.name_fancy.musketeer_athos","Musketri Veteran"
"heroes.name_fancy.musketeer_athos_costume_farrier","Musketri Farrier"
"heroes.name_fancy.musketeer_cardinal_richelieu","Duke Ganda"
"heroes.name_fancy.musketeer_constance","Musketri Pemberani"
"heroes.name_fancy.musketeer_dartagnan","Musketri Bersemangat"
"heroes.name_fancy.musketeer_felton","Pembunuh Bejat"
"heroes.name_fancy.musketeer_felton_costume_pirate","Bajak Laut Tak Berperasaan"
"heroes.name_fancy.musketeer_kitty","Penjual Bunga yang Ramah"
"heroes.name_fancy.musketeer_milady_de_winter","Penjahat Machiavellian"
"heroes.name_fancy.musketeer_planchet","Valet Perkasa"
"heroes.name_fancy.musketeer_porthos","Musketri Gembira"
"heroes.name_fancy.musketeer_porthos_costume_merchant","Musketri Pedagang"
"heroes.name_fancy.musketeer_queen_anne","Raja Elegan"
"heroes.name_fancy.musketeer_rochefort","Penjahat Kejam"
"heroes.name_fancy.musketeer_villiers","Duke Sombong"
"heroes.name_fancy.musketeer_villiers_costume_jester","Pelawak Sombong"
"heroes.name_fancy.mystery_enigmo","Memanggil Teka-teki"
"heroes.name_fancy.nature_god_balbar","Petapa Botani"
"heroes.name_fancy.nature_god_bertila","Kesatria Hijau"
"heroes.name_fancy.nature_god_bo_and_runt","Pemimpin Kelompok"
"heroes.name_fancy.nature_god_chloris","Roh Bunga"
"heroes.name_fancy.nature_god_cinisia","Meliai Warmage"
"heroes.name_fancy.nature_god_florenna","Elafokentaur Anggun"
"heroes.name_fancy.nature_god_leadria","Ratu Musim Semi Abadi"
"heroes.name_fancy.nature_god_liora","Bandit Penuh Kebajikan"
"heroes.name_fancy.nature_god_mystia","Penenung Memikat"
"heroes.name_fancy.nature_god_silvaria","Dewa Rimba"
"heroes.name_fancy.nature_god_viselus","Klenik Blightwalker"
"heroes.name_fancy.ninja_amethyst","Pembunuh Tersembunyi"
"heroes.name_fancy.ninja_ametrine","Ninja dari Pedang Tersembunyi"
"heroes.name_fancy.ninja_aurum","Kunoichi Optimis"
"heroes.name_fancy.ninja_azurite","Pandangan Ninja"
"heroes.name_fancy.ninja_chikao","Penyerang Senyap"
"heroes.name_fancy.ninja_cobalt","Ninja dari Lautan Pembisik"
"heroes.name_fancy.ninja_ekanite","Pemimpin Pasukan Shinobi"
"heroes.name_fancy.ninja_garnet","Ninja dari Lonjakan Vitalitas"
"heroes.name_fancy.ninja_iga","Master Badai Kunai"
"heroes.name_fancy.ninja_ito","Shinobi Menaklukkan"
"heroes.name_fancy.ninja_jade","Ninja dari Tarian Bintang"
"heroes.name_fancy.ninja_kinsaishi","Petapa Ninja Guntur"
"heroes.name_fancy.ninja_kushanku","Tinju Penipuan"
"heroes.name_fancy.ninja_malum","Shinobi Kejam"
"heroes.name_fancy.ninja_mica","Ninja dari Teriakan Sunyi"
"heroes.name_fancy.ninja_morganite","Ninja dari Bayangan Memudar"
"heroes.name_fancy.ninja_myoinni","Tuan Panji Terkuat"
"heroes.name_fancy.ninja_nomad","Algojo Senyap"
"heroes.name_fancy.ninja_oniwakamaru","Petapa Bayangan dari 999 Pedang"
"heroes.name_fancy.ninja_onyx","Ninja dari Angin Elusif"
"heroes.name_fancy.ninja_osamu","Ninja Disiplin Besi"
"heroes.name_fancy.ninja_peridot","Ninja dari Racun Mematikan"
"heroes.name_fancy.ninja_quartz","Ninja dari Kuburan Tenang"
"heroes.name_fancy.ninja_ruby","Ninja Oni Merah"
"heroes.name_fancy.ninja_sapphire","Ninja dari Bayangan Lompat"
"heroes.name_fancy.ninja_satsui","Kunoichi Bayangan"
"heroes.name_fancy.ninja_sawano","Kunoichi Setia"
"heroes.name_fancy.ninja_serandite","Ninja dari Api yang Menusuk"
"heroes.name_fancy.ninja_shale","Ninja dari Semangat Terbang"
"heroes.name_fancy.ninja_tametomo","Sabotase Busur Hebat"
"heroes.name_fancy.ninja_topaz","Ninja dari Presisi Sempurna"
"heroes.name_fancy.ninja_tora","Wanita Pemburu Senyap"
"heroes.name_fancy.ninja_umeko","Ninja Bunga Racun"
"heroes.name_fancy.ninja_zircon","Ninja dari Gelombang Senyap"
"heroes.name_fancy.nomad_axe_adventurer","Pemburu Bayaran Pemberani"
"heroes.name_fancy.nomad_axe_adventurer_costume_cute","Pemburu Hadiah Toon"
"heroes.name_fancy.nomad_axe_adventurer_costume_glass","Pemburu Bayaran Kaca"
"heroes.name_fancy.nomad_axe_adventurer_costume_magma","Pemburu Bayaran Berapi-api"
"heroes.name_fancy.nomad_axe_adventurer_costume_tracker","Pelacak Pemberani"
"heroes.name_fancy.nomad_female_archer","Penjebak Berbakat"
"heroes.name_fancy.nomad_female_assassin","Penjarah dari Lautan Pasir"
"heroes.name_fancy.nomad_female_assassin_costume_cute","Penjarah dari Lautan Toon"
"heroes.name_fancy.nomad_female_assassin_costume_dancer","Penari dari Lautan Pasir"
"heroes.name_fancy.nomad_female_assassin_costume_glass","Penjarah dari Lautan Kaca"
"heroes.name_fancy.nomad_female_assassin_costume_poison","Pembunuh dari Lautan Pasir"
"heroes.name_fancy.nomad_female_berserker","Biarawati Dragonia"
"heroes.name_fancy.nomad_female_berserker_costume_cute","Toon Dragonia"
"heroes.name_fancy.nomad_female_berserker_costume_glass","Kaca Patri Dragonia"
"heroes.name_fancy.nomad_female_berserker_costume_shaman","Syaman Dragonia"
"heroes.name_fancy.nomad_female_berserker_costume_sorceress","Wanita Penyihir dari Dragonia"
"heroes.name_fancy.nomad_female_captain","Lady Windemer"
"heroes.name_fancy.nomad_female_captain_costume_cute","Toon dari Windemer"
"heroes.name_fancy.nomad_female_captain_costume_glass","Kaca Patri dari Windemer"
"heroes.name_fancy.nomad_female_captain_costume_pirate","Teror dari Windemer"
"heroes.name_fancy.nomad_female_captain_costume_thief","Master Pencuri Windemer"
"heroes.name_fancy.nomad_female_lord","Kapten Penjaga Kerajaan"
"heroes.name_fancy.nomad_female_lord_costume_cute","Kapten Toon Kerajaan"
"heroes.name_fancy.nomad_female_lord_costume_flame","Kapten Api"
"heroes.name_fancy.nomad_female_lord_costume_glass","Kapten Penjaga Kaca"
"heroes.name_fancy.nomad_female_lord_costume_wicked","Kapten Orang Jahat"
"heroes.name_fancy.nomad_female_shaman","Syaman Penguasa"
"heroes.name_fancy.nomad_female_shaman_costume_cute","Toon Berkuasa"
"heroes.name_fancy.nomad_female_shaman_costume_glass","Kaca Patri Langit"
"heroes.name_fancy.nomad_female_shaman_costume_native","Penyembuh Langit"
"heroes.name_fancy.nomad_female_swordmaster","Penggiat Takhta"
"heroes.name_fancy.nomad_female_swordmaster_costume_cute","Pencari dari Toon"
"heroes.name_fancy.nomad_female_swordmaster_costume_glass","Pencari Kaca"
"heroes.name_fancy.nomad_female_swordmaster_costume_native","Pencari Dewa"
"heroes.name_fancy.nomad_female_thief","Pelancong Belia"
"heroes.name_fancy.nomad_fighter","Penengkar Kasar"
"heroes.name_fancy.nomad_mage","Magi dari Lautan Pasir"
"heroes.name_fancy.nomad_mage_costume_cute","Magi dari Lautan Toon"
"heroes.name_fancy.nomad_mage_costume_glass","Nomaden dari Lautan Kaca"
"heroes.name_fancy.nomad_mage_costume_goggles","Penyihir dari Lautan Pasir"
"heroes.name_fancy.nomad_mage_costume_stylish","Magi Bergaya"
"heroes.name_fancy.nomad_scout","Pedagang Pedang Licik"
"heroes.name_fancy.nomad_shaman","Hamba Leluhur"
"heroes.name_fancy.nordic_ancestral_warrior","Yatim Piatu Kegelapan"
"heroes.name_fancy.nordic_ancestral_warrior_costume_corrupted","Pewaris Jahat"
"heroes.name_fancy.nordic_ancestral_warrior_costume_cute","Toon Gelap"
"heroes.name_fancy.nordic_ancestral_warrior_costume_glass","Kaca Patri Gelap"
"heroes.name_fancy.nordic_ancestral_warrior_costume_messenger","Utusan Gelap"
"heroes.name_fancy.nordic_ancestral_warrior_costume_stylish","Pewaris Gaya Jahat"
"heroes.name_fancy.nordic_chained_werewolf","Si Buas"
"heroes.name_fancy.nordic_chained_werewolf_costume_cute","Toon Buas"
"heroes.name_fancy.nordic_chained_werewolf_costume_glass","Kaca Buas"
"heroes.name_fancy.nordic_chained_werewolf_costume_raccoon","Pencuri Bawang Putih"
"heroes.name_fancy.nordic_female_scout","Nona Garang"
"heroes.name_fancy.nordic_female_warrior","Pejuang Diasingkan"
"heroes.name_fancy.nordic_ice_enchantress","Pelindung Glaceholm"
"heroes.name_fancy.nordic_ice_enchantress_costume_aqua","Wanita Penyihir Es dari Glaceholm"
"heroes.name_fancy.nordic_ice_enchantress_costume_cute","Pelindung Toon"
"heroes.name_fancy.nordic_ice_enchantress_costume_glass","Kaca Patri Glaceholm"
"heroes.name_fancy.nordic_ice_enchantress_costume_ruler","Penguasa Glaceholm"
"heroes.name_fancy.nordic_mage","Magi Glaceholm"
"heroes.name_fancy.nordic_mage_costume_cute","Toon dari Glaceholm"
"heroes.name_fancy.nordic_mage_costume_glass","Kaca Patri Glaceholm"
"heroes.name_fancy.nordic_mage_costume_hermit","Petapa dari Glaceholm"
"heroes.name_fancy.nordic_male_lord","Palu Keadilan"
"heroes.name_fancy.nordic_male_lord_costume_cute","Palu Kekuatan Toon"
"heroes.name_fancy.nordic_male_lord_costume_glass","Palu Kaca"
"heroes.name_fancy.nordic_male_lord_costume_injustice","Palu Ketidakadilan"
"heroes.name_fancy.nordic_male_lord_costume_senior","Kapak Keadilan"
"heroes.name_fancy.nordic_male_lord_costume_stylish","Kesatria Gaya"
"heroes.name_fancy.nordic_swordman","Duelis Gagah"
"heroes.name_fancy.nordic_swordman_costume_climber","Pendaki Rapi"
"heroes.name_fancy.nordic_swordman_costume_cute","Toon Berbakat"
"heroes.name_fancy.nordic_swordman_costume_glass","Duelis Kaca"
"heroes.name_fancy.nordic_swordman_costume_stylish","Duelis Bergaya"
"heroes.name_fancy.nordic_warrior","Petualang Santai"
"heroes.name_fancy.orc_gladiator","Si Mantap Hati"
"heroes.name_fancy.orc_gladiator_costume_chef","Koki Besi"
"heroes.name_fancy.orc_gladiator_costume_cute","Toon Mantap Hati"
"heroes.name_fancy.orc_gladiator_costume_glass","Yang Mencerminkan"
"heroes.name_fancy.orc_gladiator_costume_sage","Sage Feral"
"heroes.name_fancy.orc_gladiator_costume_stylish","Si Mewah"
"heroes.name_fancy.orc_skirmisher","Petarung Multiras"
"heroes.name_fancy.orc_troopmaster","Si Letak"
"heroes.name_fancy.orc_troopmaster_costume_cute","Toon Lapar"
"heroes.name_fancy.orc_troopmaster_costume_glass","Kaca Patri Lapar"
"heroes.name_fancy.orc_troopmaster_costume_gourmet","Epikurean"
"heroes.name_fancy.orc_troopmaster_costume_merchant","Si Coveteus"
"heroes.name_fancy.orc_warrior","Pertama dalam Pertempuran"
"heroes.name_fancy.orc_warrior_costume_cute","Toon Pertama dalam Pertempuran"
"heroes.name_fancy.orc_warrior_costume_glass","Terakhir Pecah"
"heroes.name_fancy.orc_warrior_costume_urukhai","Terakhir Mundur"
"heroes.name_fancy.oriental_brawler","Pembela Agung"
"heroes.name_fancy.oriental_brawler_costume_cute","Petarung Toon"
"heroes.name_fancy.oriental_brawler_costume_egypt","Petarung Terhormat"
"heroes.name_fancy.oriental_brawler_costume_glass","Petarung Kaca"
"heroes.name_fancy.oriental_enchanted_monk","Kobaran Matahari"
"heroes.name_fancy.oriental_enchanted_monk_costume_cute","Toon Matahari"
"heroes.name_fancy.oriental_enchanted_monk_costume_glass","Kaca Patri Matahari"
"heroes.name_fancy.oriental_enchanted_monk_costume_stoneguard","Kekuatan Matahari"
"heroes.name_fancy.oriental_enchanted_monk_costume_tiger","Amarah Matahari"
"heroes.name_fancy.oriental_falconer","Master Siasat"
"heroes.name_fancy.oriental_falconer_costume_cub","Master Macan"
"heroes.name_fancy.oriental_falconer_costume_cute","Ahli Siasat Toon"
"heroes.name_fancy.oriental_falconer_costume_dodo","Master Konservator"
"heroes.name_fancy.oriental_falconer_costume_glass","Ahli Siasat Kaca"
"heroes.name_fancy.oriental_female_guard","Pamong Shaguad"
"heroes.name_fancy.oriental_female_guard_costume_cute","Toon Shaguad"
"heroes.name_fancy.oriental_female_guard_costume_glass","Kaca Patri Shaguad"
"heroes.name_fancy.oriental_female_guard_costume_soldier","Wali Shaguad"
"heroes.name_fancy.oriental_female_mage","Penyembuh Tanpa Pamrih"
"heroes.name_fancy.oriental_female_mage_costume_cute","Penyembuh Toon"
"heroes.name_fancy.oriental_female_mage_costume_glass","Penyembuh Kaca"
"heroes.name_fancy.oriental_female_mage_costume_mender","Penyembuh Murah Hati"
"heroes.name_fancy.oriental_female_mystic","Cendekiawan Unggul"
"heroes.name_fancy.oriental_female_mystic_costume_cute","Cendekiawan Toon"
"heroes.name_fancy.oriental_female_mystic_costume_glass","Sarjana Kaca"
"heroes.name_fancy.oriental_female_mystic_costume_magician","Penyihir Agung"
"heroes.name_fancy.oriental_female_mystic_costume_scribe","Juru Tulis Tertinggi"
"heroes.name_fancy.oriental_female_mystic_costume_stylish","Sarjana Bergaya"
"heroes.name_fancy.oriental_female_ninja","Murid Ninja"
"heroes.name_fancy.oriental_female_templar","Jenderal Bijak"
"heroes.name_fancy.oriental_female_templar_costume_cute","Jenderal Toon"
"heroes.name_fancy.oriental_female_templar_costume_fireworks","Jenderal Kembang Api"
"heroes.name_fancy.oriental_female_templar_costume_glass","Jenderal Kaca"
"heroes.name_fancy.oriental_female_templar_costume_kimono","Pembunuh Seremonial"
"heroes.name_fancy.oriental_monkey_captain","Penguasa Wanara"
"heroes.name_fancy.oriental_monkey_captain_costume_cute","Toon Wanara"
"heroes.name_fancy.oriental_monkey_captain_costume_glass","Wanara Kaca"
"heroes.name_fancy.oriental_monkey_captain_costume_reveller","Ria Wanara"
"heroes.name_fancy.oriental_monkey_captain_costume_warrior","Ronin Wanara"
"heroes.name_fancy.oriental_monkey_warrior","Pejuang Wanara"
"heroes.name_fancy.oriental_panda_berserker","Cabang Bambu"
"heroes.name_fancy.oriental_panda_berserker_costume_cute","Cabang Toon"
"heroes.name_fancy.oriental_panda_berserker_costume_farmer","Akar Bambu"
"heroes.name_fancy.oriental_panda_berserker_costume_glass","Cabang Kaca"
"heroes.name_fancy.oriental_panda_berserker_costume_stylish","Bambu Bersemangat"
"heroes.name_fancy.oriental_panda_scout","Daun Bambu"
"heroes.name_fancy.oriental_panda_warrior","Pedang Bambu"
"heroes.name_fancy.oriental_panda_warrior_costume_armor","Kulit Bambu"
"heroes.name_fancy.oriental_panda_warrior_costume_cute","Toon Bambu"
"heroes.name_fancy.oriental_panda_warrior_costume_dueller","Duel Bambu"
"heroes.name_fancy.oriental_panda_warrior_costume_glass","Bilah Kaca"
"heroes.name_fancy.oriental_squire","Magang Penempa"
"heroes.name_fancy.oriental_warrior","Prajurit Kaki"
"heroes.name_fancy.oriental_warrior_king","Raja Pantang Menyerah"
"heroes.name_fancy.oriental_warrior_king_costume_cute","Toon Pantang Menyerah"
"heroes.name_fancy.oriental_warrior_king_costume_glass","Kaca Patri Pantang Menyerah"
"heroes.name_fancy.oriental_warrior_king_costume_mage","Magi Pantang Menyerah"
"heroes.name_fancy.oriental_warrior_king_costume_roman","Raja Sparta"
"heroes.name_fancy.outlaw_chao_gai","Raja Surgawi Pemindah Pagoda dari Batas Air"
"heroes.name_fancy.outlaw_gu_dasao","Harimau Betina dari Batas Airr"
"heroes.name_fancy.outlaw_hu_sanniang","Bintang Cerah dari Batas Air"
"heroes.name_fancy.outlaw_li_kui","Sapi Besi dari Batas Air"
"heroes.name_fancy.outlaw_lin_chong","Kepala Panter dari Batas Air"
"heroes.name_fancy.outlaw_liu_tang","Setan Berambut Merah dari Batas Air"
"heroes.name_fancy.outlaw_lu_zhishen","Petapa Berbunga dari Batas Air"
"heroes.name_fancy.outlaw_ruan_xiaoqi","Bintang Kehancuran dari Batas Air"
"heroes.name_fancy.outlaw_shi_jin","Tato Sembilan Naga dari Batas Air"
"heroes.name_fancy.outlaw_song_jiang","Hujan Tepat Waktu dari Batas Air"
"heroes.name_fancy.outlaw_sun_erniang","Bintang Kuat dari Batas Air"
"heroes.name_fancy.outlaw_wu_song","Pahlawan Pelawan Harimau dari Batas Air"
"heroes.name_fancy.outlaw_wu_yong","Bintang Pengetahuan dari Batas Air"
"heroes.name_fancy.outlaw_xiang_chong","Bintang Terbang dari Batas Air"
"heroes.name_fancy.outlaw_zheng_tianshou","Pria Berwajah Cerah dari Batas Air"
"heroes.name_fancy.owl_cennius","Cakar Tersembunyi Menara Burung Hantu"
"heroes.name_fancy.owl_eron","Penyanyi Menara Burung Hantu"
"heroes.name_fancy.owl_featherino","Pengecoh Cemas Menara Burung Hantu"
"heroes.name_fancy.owl_fulvia","Ratu Menara Burung Hantu"
"heroes.name_fancy.owl_juliani","Hakim Menara Burung Hantu"
"heroes.name_fancy.owl_livia","Kepala Pendeta Menara Burung Hantu"
"heroes.name_fancy.owl_lodius","Pengamuk dari Menara Burung Hantu"
"heroes.name_fancy.owl_mariol","Punggawa Menara Burung Hantu"
"heroes.name_fancy.owl_olbec","Ahli Alkimia dari Menara Burung Hantu"
"heroes.name_fancy.owl_ommodus","Pembawa Hukum dari Menara Burung Hantu"
"heroes.name_fancy.owl_paeia","Putri Menara Burung Hantu"
"heroes.name_fancy.owl_pertinax","Penjaga Kesatria Menara Burung Hantu"
"heroes.name_fancy.owl_relius","Herbalis Menara Burung Hantu"
"heroes.name_fancy.owl_timius","Barisan Depan Kerajaan Menara Burung Hantu"
"heroes.name_fancy.owl_verus","Komandan Pramuka Menara Burung Hantu"
