"specials.name.a_cozy_break","Un merecido descanso"
"specials.name.ill_fated_experiment","Experimento condenado"
"specials.name.imaginary_increments","Incrementos imaginarios"
"specials.name.immortal_annihilator","Aniquilador inmortal"
"specials.name.immortal_annihilator_deadly","Aniquilador inmortal"
"specials.name.immortal_punisher","Castigo inmortal"
"specials.name.impairing_strike","Golpe incapacitante"
"specials.name.impale_and_devour","Empalamiento devorador"
"specials.name.impeccable_charge","Embestida impecable"
"specials.name.impeding_bolts","Virotes obstructores"
"specials.name.impervious_formation","Formación indemne"
"specials.name.impossible_groove","Ritmo imposible"
"specials.name.impossible_riddle","Acertijo imposible"
"specials.name.incite_ki","Incitación de ki"
"specials.name.incite_ki2","Incitación de ki"
"specials.name.indestructible_claw","Garra indestructible"
"specials.name.indifferent_blade","Filo indiferente"
"specials.name.inevitable_demise","Muerte inevitable"
"specials.name.infernal_chops","Tajos infernales"
"specials.name.infernal_drumstorm","Solo de batería infernal"
"specials.name.infernal_flames","Llamas infernales"
"specials.name.infernal_jaws","Mandíbula infernal"
"specials.name.ink_bomb","Bomba de tinta"
"specials.name.innovative_lunge","Embestida innovadora"
"specials.name.insidious_goo","Baba insidiosa"
"specials.name.inspiring_fencing","Esgrima inspiradora"
"specials.name.insurmountable_flux","Corriente inexorable"
"specials.name.intimidating_stance","Postura intimidatoria"
"specials.name.invigorating_pollen","Polen vigorizador"
"specials.name.invigorating_soup","Sopa vigorizadora"
"specials.name.invisible_strike","Golpe invisible"
"specials.name.iron_discipline_cut","Tajo de disciplina de hierro"
"specials.name.iron_rocket_fist","Puño cohete de hierro"
"specials.name.ironbound_fury","Furia férrea"
"specials.name.jab_and_hook","Pinchazo y gancho"
"specials.name.jack_of_owl_trades","De todo sabe"
"specials.name.jackal_strike","Golpe de chacal"
"specials.name.jade_blades","Cuchillas de jade"
"specials.name.jaw_clamp","Trampas propagadoras"
"specials.name.jaws_of_the_river","Mandíbulas del río"
"specials.name.jewel_of_the_deep","Joya de las profundidades"
"specials.name.join_in_joyful_song","Canción alegre"
"specials.name.joyful_noise","Ruidos alegres"
"specials.name.joyful_palette","Paleta alegre"
"specials.name.judgement_of_goo","Juicio viscoso"
"specials.name.judgment_and_penance","Juicio y penitencia"
"specials.name.judgment_of_sun","Juicio del sol"
"specials.name.juggling_trials","Pruebas de malabares"
"specials.name.jungle_fury","Furia de jungla"
"specials.name.jungle_riposte","Estocada de jungla"
"specials.name.jungle_slash","Sablazo del pantano"
"specials.name.just_a_flesh_wound","Solo una herida superficial"
"specials.name.karnov","Paliza total"
"specials.name.katana_rain","Lluvia de katanas"
"specials.name.katana_rain_pve","Lluvia de katanas"
"specials.name.keep_the_peace","En paz"
"specials.name.keyknife_typhoon","Tifón de llaves cuchilla"
"specials.name.khans_order","Orden de Khan"
"specials.name.kindled_carpet","Alfombra en llamas"
"specials.name.kings_blood_poisoning","Noche melancólico"
"specials.name.kings_curse","Tormenta de arena"
"specials.name.kings_curse_pve","Tormenta de arena"
"specials.name.kings_feast","Banquete de la realeza"
"specials.name.kite_of_endurance","Cometa del aguante"
"specials.name.kitten_stampede","Estampida de gatitos"
"specials.name.knights_armor","Armadura de caballero"
"specials.name.knights_fury","Furia de caballero"
"specials.name.knights_parry","Bloqueo de caballero"
"specials.name.kong_smash","Aplastamiento de Kong"
"specials.name.kunai_assault","Asalto de kunais"
"specials.name.lacerating_leap","Salto lacerante"
"specials.name.lacerating_letters","Cartas lacerantes"
"specials.name.lacerating_whip","Azote lacerante"
"specials.name.ladys_charm","El encanto de una dama"
"specials.name.ladys_flowers","Flores de dama"
"specials.name.lament_of_the_hunt","Lamento de la caza"
"specials.name.lance_of_avarice","Lanza de la avaricia"
"specials.name.lance_of_torment","Lanza del tormento"
"specials.name.lance_thrust","Lanzamiento de lanza"
"specials.name.landslide","Desprendimiento"
"specials.name.lantern_of_insanity","Farol de la demencia"
"specials.name.larva_prescription","Receta de larvas"
"specials.name.lash_of_the_whip","Latigazo"
"specials.name.lasso_of_love","Lazo del amor"
"specials.name.last_words","Últimas palabras"
"specials.name.laundry_day","Día de colada"
"specials.name.lava_blast","Estallido de lava"
"specials.name.lava_spit","Esputo de lava"
"specials.name.lava_splash_dragon_pve","Salpicadura de espíritu ígneo"
"specials.name.lavablow","Llamarada de asalto"
"specials.name.lavablow_pve","Llamarada de asalto"
"specials.name.lavaslash","Tajos ardientes"
"specials.name.leaf_blast","Estallido de hojas"
"specials.name.leafglow_bloom","Flores de hoja radiante"
"specials.name.leaping_attack","Ataque de salto"
"specials.name.leeching_saw","Sierra vaciadora"
"specials.name.leeching_stars","Estrellas vaciadoras"
"specials.name.leeching_worms","Gusanos vaciadores"
"specials.name.legacy_of_darkness","Legado de la oscuridad"
"specials.name.legerdemain","Prestidigitación"
"specials.name.legerdemain_heart","Cruz"
"specials.name.legerdemain_joker","Estrellas"
"specials.name.legerdemain_skull","Calavera"
"specials.name.legions_of_darkness","Legiones de la oscuridad"
"specials.name.legions_of_tyrant","Legiones tiránicas"
"specials.name.lethal_needles","Agujas letales"
"specials.name.lethal_needles2","Agujas letales"
"specials.name.levitating_lunchbox_deluxe","Fiambrera levitante"
"specials.name.lifeforce_leech","Sanguijuela de fuerza vital"
"specials.name.light_barrier_dragon_pve","Barrera de luz"
"specials.name.light_grenades","Granadas luminosas"
"specials.name.light_grenades2","Granadas luminosas"
"specials.name.light_my_fire","Llama prendida"
"specials.name.lightning_charge","Embestida del relámpago"
"specials.name.lightning_stream","Torrente atronador"
"specials.name.lightning_stream2","Torrente atronador"
"specials.name.lightning_ultimatum","Ultimátum del relámpago"
"specials.name.lightning_ultimatum_pve","Ultimátum del relámpago"
"specials.name.litter_of_kittens","Camada de gatitos"
"specials.name.liturgy_of_the_fallen","Liturgia de los caídos"
"specials.name.looking_for_love","En busca del amor"
"specials.name.lookouts_refreshment","Alivio de vigía"
"specials.name.loom_of_destruction","Telar de la destrucción"
"specials.name.lord_of_the_jungle","Señor de la jungla"
"specials.name.lords_blood_poisoning","Alba melancólico"
"specials.name.love_at_first_sight","Amor a primera vista"
"specials.name.love_conquers_all","El amor lo puede todo"
"specials.name.love_conquers_all_pve","El amor lo puede todo"
"specials.name.loving_queen","Reina amada"
"specials.name.lucky_coin","Moneda de la suerte"
"specials.name.lucky_nine","Nueve golpes de suerte"
"specials.name.luminescent_electrocution","Electrocución luminiscente"
"specials.name.luminous_lance","Lanza luminosa"
"specials.name.lunar_blessing","Bendición lunar"
"specials.name.lunar_blessing_moon_beam","Rayo lunar"
"specials.name.lunar_bloom","Flor lunar"
"specials.name.lunar_locket","Relicario lunar"
"specials.name.lunar_shield","Escudo lunar"
"specials.name.lunar_spear","Lanza lunar"
"specials.name.luring_song","Canción encantadora"
"specials.name.machinists_cutlass","Alfanje del maquinista"
"specials.name.mad_as_a_hatter","Loco de atar"
"specials.name.mad_rat_mania","Demencia roedora"
"specials.name.mad_tea_party","Fiesta del té alocada"
"specials.name.madrigal_of_mayhem","Madrigal de la vorágine"
"specials.name.mageball_blast","Explosión de magiabol"
"specials.name.mageball_blast_pve","Explosión de magiabol"
"specials.name.magic_mirror_of_power","Espejo mágico de poder"
"specials.name.magical_balan","Balan mágico"
"specials.name.magical_sword","Espada mágica"
"specials.name.magma_boulders","Rocas de magma"
"specials.name.magma_smash","Rotura de magma"
"specials.name.magmatic_burns","Quemaduras magmáticas"
"specials.name.magmatic_tempest","Tempestad magmática"
"specials.name.magnificent_meal","Comida copiosa"
"specials.name.maidens_command","Mando de la doncella"
"specials.name.maidens_orders","Órdenes de la doncella"
"specials.name.make_them_harmless","Inocuidad"
"specials.name.malevolent_toys","Juguetes malévolos"
"specials.name.malison_of_the_wildlands","Maleficio de la naturaleza"
"specials.name.mallet_swing_of_the_beast","Golpe de mazo de la bestia"
"specials.name.mana_immolation","Inmolación de maná"
"specials.name.mana_manipulation","Manipulación de maná"
"specials.name.mana_scavange","Robo de maná"
"specials.name.mana_stealer","El ojo del profeta"
"specials.name.mantis_strike","Golpe de la mantis"
"specials.name.marble_frenzy","Frenesí de mármol"
"specials.name.marc","Embestida demente"
"specials.name.mark_of_anubis","Marca de Anubis"
"specials.name.mark_of_fire","Marca de fuego"
"specials.name.mark_of_ivy","Marca de hiedra"
"specials.name.mark_of_nature","Marca de la naturaleza"
"specials.name.mark_of_the_jackal","Marca del chacal"
"specials.name.mark_the_prey","Marcar a la presa"
"specials.name.marked_aim","Puntería marcada"
"specials.name.martial_dance","Proeza de kane"
"specials.name.martial_masterstroke","Golpe marcial maestro"
"specials.name.martial_prowess","Habilidad marcial"
"specials.name.masons_rage","Ira de cantero"
"specials.name.massive_bite","Mordisco inmenso"
"specials.name.massive_chop","Golpe masivo"
"specials.name.massive_cleave","Daga masiva"
"specials.name.massive_swing","Golpe tremendo"
"specials.name.master_of_ailments","Dominio de las alteraciones"
"specials.name.master_plan","Plan maestro"
"specials.name.masterful_balance","Equilibrio maestro"
"specials.name.masterful_manipulation","Manipulación magistral"
"specials.name.mauling_tusk","Colmillo aniquilador"
"specials.name.mean_jab_dragon_pve","Puñetazo malvado"
"specials.name.mechanical_augmentations","Mejoras mecánicas"
"specials.name.medicinal_drool","Babas medicinales"
"specials.name.medicinal_fumes","Vapores medicinales"
"specials.name.melody_harvest","Cosecha melodiosa"
"specials.name.melody_of_mana_control","Melodía del control de maná"
"specials.name.melody_of_misery","Melodía de la miseria"
"specials.name.memory_manipulation","Manipulación de memoria"
"specials.name.memory_of_the_queen","Memoria de emperatriz"
"specials.name.mending_bronze_axe","Hacha de bronce reparadora"
"specials.name.mending_mantra","Reparación de mantra"
"specials.name.mending_stitches","Suturas reparadoras"
"specials.name.merciless_bite","Mordisco cruel"
"specials.name.merciless_execution","Ejecución cruel"
"specials.name.merciless_pulverizer","Pulverizador despiadado"
"specials.name.merriest_misery","Miseria festiva"
"specials.name.mesmerizing_mirror","Espejo hipnotizante"
"specials.name.miasma_mace","Maza de miasma"
"specials.name.midnight_magic","Magia de medianoche"
"specials.name.midnight_moon","Luna de medianoche"
"specials.name.midnight_smite","Tunda de medianoche"
"specials.name.midnight_strike","Golpe a medianoche"
"specials.name.midsummers_dream","Sueño estival"
"specials.name.midsummers_reverie","Sueño de una noche de verano"
"specials.name.might_of_ares","Poder de Ares"
"specials.name.might_of_excalibroom","Poder de la Excaliescoba"
"specials.name.might_of_the_ice_giants","Poder de los Gigantes de hielo"
"specials.name.might_of_the_ice_giants_final","Poder de los Gigantes de hielo"
"specials.name.mimic_bite","Mordisco de imitación"
"specials.name.mimic_bite_burn","Mordisco corrosivo"
"specials.name.mimic_bite2","Mordisco de imitación feroz"
"specials.name.mimic_bite3","Avaricia de imitación"
"specials.name.mimic_bite4","Provocación de imitación"
"specials.name.mimic_special","Monstruo astuto"
"specials.name.mimic_special2","Monstruo astuto"
"specials.name.mimic_training_hero_blue_bite","Devoración ansiosa"
"specials.name.mimic_training_hero_green_bite","Devoración ansiosa"
"specials.name.mimic_training_hero_purple_bite","Devoración ansiosa"
"specials.name.mimic_training_hero_red_bite","Devoración ansiosa"
"specials.name.mimic_training_hero_yellow_bite","Devoración ansiosa"
"specials.name.mind_blast","Explosión mental"
"specials.name.mindless_attack","Ataque salvaje"
"specials.name.minion_scrutiny","Escrutinio de secuaces"
"specials.name.mischievous_flourish","Florituras traviesas"
"specials.name.mischievous_flourish_pve_advanced","Florituras traviesas"
"specials.name.mischievous_flourish_pve_normal","Florituras traviesas"
"specials.name.mischievous_tiein","Travesuras con juguetes"
"specials.name.missile_mania","Locura de misiles"
"specials.name.mist_of_the_fallen","Neblina de los caídos"
"specials.name.mistletoe_medley","Popurrí de muérdago"
"specials.name.misty_punches","Puñetazos brumosos"
"specials.name.mixed_green_herbs","Mezcla de hierbas verdes"
"specials.name.molten_wax","Cera fundida"
"specials.name.monastic_restraint","Control monástico"
"specials.name.monstrous_bite","Mordisco monstruoso"
"specials.name.moody_jab_dragon_pve","Puñetazo malhumorado"
"specials.name.mooing_for_a_fight","Mugidos de combate"
"specials.name.moon_boomerang","Bumerán lunar"
"specials.name.moon_crush_beam","Rayo lunar devastador"
"specials.name.moonlight_crescendo","Crescendo bajo la luna"
"specials.name.moonlight_serenade","Serenata bajo la luna"
"specials.name.moonlight_sonata","Sonata bajo la luna"
"specials.name.moonstone_glare_dragon_pve","Brillo de piedra lunar"
"specials.name.moreau_phase1_special","Malicia cegadora"
"specials.name.moreau_phase2_special1","Malicia cegadora"
"specials.name.moreau_phase2_special2","Malicia cegadora"
"specials.name.morning_catch","Captura matutina"
"specials.name.mother_dragons_love","Amor de madre dragona"
"specials.name.motherly_care","Cuidados maternales"
"specials.name.motherly_care_pve","Cuidados maternales"
"specials.name.motherly_love","Amor maternal"
"specials.name.muffin_poisoning","Magdalena envenenada"
"specials.name.multi_elemental_mark","Marca multielemental"
"specials.name.multi_throw","Lanzamiento múltiple"
"specials.name.mummy_slash","Cortes momificados"
"specials.name.mummy_strike","Golpe momificado"
"specials.name.musketeers_deal","Trato de mosquetero"
"specials.name.musketeers_mead","Ambrosía de mosquetero"
"specials.name.mutated_specimen","Espécimen mutado"
"specials.name.mutating_mixture","Mezcla mutante"
"specials.name.mystery_potions","Pociones misteriosas"
"specials.name.mystic_chop","Tajo místico"
"specials.name.mystical_concerto","Concierto místico"
"specials.name.mystics_virtue","Virtud mística"
"specials.name.mythic_lightning","Relámpago mítico"
"specials.name.nasty_hammer","Martillo cruel"
"specials.name.natures_blessing","Furia de Berserker"
"specials.name.natures_connection","Conexión con la naturaleza"
"specials.name.natures_fury","Furia de la naturaleza"
"specials.name.natures_payback","Venganza de la naturaleza"
"specials.name.nebula_orb","Orbe nebular"
"specials.name.nebula_orb_ultimate_boss","Orbe nebular"
"specials.name.necronomicon_page_13","Página 13 del Necronomicón"
"specials.name.nephrite_blade","Hoja de nefrita"
"specials.name.nethershield","Escudo del inframundo"
"specials.name.never_ending_winter","Invierno interminable"
"specials.name.night_falls","Cae la noche"
"specials.name.night_of_crimes","Noche de los crímenes"
"specials.name.nightbloom_dust","Polvo de flor nocturna"
"specials.name.nightglade_pollen","Polen de belladona"
"specials.name.nights_whisper","Susurro de la noche"
"specials.name.nimble_bite","Mordisco ágil"
"specials.name.nine_dragon_strike","Golpe de los nueve dragones"
"specials.name.nobles_empathy","Empatía de noble"
"specials.name.nobles_empathy_costume_artisan","Empatía de calígrafa"
"specials.name.nomadic_hymn","Himno nómada"
"specials.name.northern_wanderer","Refuerzo alegre"
"specials.name.noxious_blossom","Flor nociva"
"specials.name.noxious_chord","Acorde nocivo"
"specials.name.noxious_cleave","Surco nocivo"
"specials.name.noxious_cleave_pve","Surco nocivo"
"specials.name.nuts_of_yggdrasil","Bellotas de Yggdrasil"
"specials.name.oath_of_templar","Juramento templario"
"specials.name.obliterating_surge","Explosión arrolladora"
"specials.name.ocarina_windsong","Canción de ocarina"
"specials.name.occult_redemption","Redención mística"
"specials.name.ocean_vortex","Vórtice oceánico"
"specials.name.oceanic_offensive","Ataque oceánico"
"specials.name.oceanic_slayer","Asesinato de mareas"
"specials.name.oceanic_suffering","Sufrimiento oceánico"
"specials.name.oceans_decay","Deterioro del océano"
"specials.name.oceans_embrace","Abrazo del océano"
"specials.name.oceans_ruin","Ruina del océano"
"specials.name.odd_drum_roll","Extraño redoble de tambor"
"specials.name.oji_waza","Oji-Waza"
"specials.name.old_curse","Vieja maldición"
"specials.name.omega_flame","Golpe omega"
"specials.name.omega_strike_dark","Golpe omega"
"specials.name.omega_strike_fire","Golpe omega"
"specials.name.omega_strike_holy","Golpe omega"
"specials.name.omega_strike_ice","Golpe omega"
"specials.name.omega_strike_nature","Golpe omega"
"specials.name.omen_of_retribution","Presagio de venganza"
"specials.name.omnicure","Cura total"
"specials.name.omniheal","Sanación total"
"specials.name.omnimend","Restauración total"
"specials.name.one_hit_wonder","Éxito efímero"
"specials.name.one_jump_ahead","Un salto adelante"
"specials.name.one_spell_ahead","Un hechizo por delante"
"specials.name.opposing_raid","Asalto contrario"
"specials.name.orchestra_of_candles","Orquesta de velas"
"specials.name.orchids_and_roses","Orquídeas y rosas"
"specials.name.order_ambush","Orden de emboscada"
"specials.name.order_ambush_pve","Orden de emboscada"
"specials.name.order_from_the_depths","Orden de las profundidades"
"specials.name.order_to_overwhelm","Orden de opresión"
"specials.name.orsoldoon","Örsöldöön"
"specials.name.overpowering_grip_dragon_pve","Yugo sobrecogedor"
"specials.name.overvlowing_whirlwind","Remolino desbordante"
"specials.name.overwhelming_raid","Asalto abrumador"
"specials.name.owls_blessing","Bendición de los búhos"
"specials.name.pacifying_presence_dragon_pve","Fuerza pacificadora"
"specials.name.pain_harvest","Cosecha de dolor"
"specials.name.paragon_of_constellations","Prodigio de las constelaciones"
"specials.name.paralyzing_spore","Espora paralizante"
"specials.name.parcel_of_the_dragon_familiar","Paquete del familiar dragón"
"specials.name.passion_conquers_all","La pasión lo conquista todo"
"specials.name.pathfinders_compass","Brújula de exploración"
"specials.name.paw_in_every_pie","Con las patas en la masa"
"specials.name.pawns_of_divinity","Peones divinos"
"specials.name.paws_or_claws","Patas o garras"
"specials.name.peach_of_immortality","Melocotón de la inmortalidad"
"specials.name.pearls_of_rejuvenation","Perlas de rejuvenecimiento"
"specials.name.perfect_riposte","Réplica perfecta"
"specials.name.perfect_shot","Tiro perfecto"
"specials.name.perfect_teamwork","Colaboración perfecta"
"specials.name.perfume_cloud","Nube de perfume"
"specials.name.perilous_gift","Regalo peligroso"
"specials.name.perilous_present_pve","Regalo peligroso"
"specials.name.perilous_waters","Aguas peligrosas"
"specials.name.perplexing_riddle","Acertijo inaudito"
"specials.name.pest_control","Control de plagas"
"specials.name.pet_larva","Mascota larva"
"specials.name.petals_of_nourishment","Pétalos nutrientes"
"specials.name.petrifying_knuckles","Nudillos petrificantes"
"specials.name.petrifying_performance","Interpretación petrificante"
"specials.name.picnic_in_the_sky","Pícnic celestial"
"specials.name.pie_of_protection","Pastel de protección"
"specials.name.piercing_falcon","Halcón perforante"
"specials.name.piercing_hit","Impacto perforante"
"specials.name.piercing_practice_slash","Estocada perforadora"
"specials.name.piercing_sabre","Sable perforante"
"specials.name.piercing_scream_dragon_pve","Aullido perforante"
"specials.name.piercing_shot","Tiro perforante"
"specials.name.piercing_strike","Golpe punzante"
"specials.name.piercing_tusk","Colmillo punzante"
"specials.name.pincer_claw","Pinza"
"specials.name.pincer_claw_deadly","Pinza"
"specials.name.pineapple_alchemist","Alquimia con piña"
"specials.name.pineapple_barbeque","Barbacoa de piña"
"specials.name.pirate_shot","Disparo pirata"
"specials.name.pirates_vengeance","Venganza pirata"
"specials.name.pixie_dust","Polvo de duendecillo"
"specials.name.plague_bite","Mordisco pestilente"
"specials.name.plague_blade","Hoja de plaga"
"specials.name.planar_time_widget","Artilugio temporal del plano"
"specials.name.planetary_charge","Embestida planetaria"
"specials.name.plantipede_sting","Picadura de plantípedo"
"specials.name.plentiful_harvest","Cosecha abundante"
"specials.name.plentiful_minerals","Minerales abundantes"
"specials.name.plume_flash","Destello de pluma"
"specials.name.poem_of_the_centaurs","Poema de los centauros"
"specials.name.poem_of_the_morass","Poema de la ciénaga"
"specials.name.poetic_justice","Justicia poética"
"specials.name.poets_protection","Protección poética"
"specials.name.pointy_darts","Dardos puntiagudos"
"specials.name.poison_bite","Mordedura venenosa"
"specials.name.poison_bite_dragon_pve","Mordedura venenosa"
"specials.name.poison_bolt_zidane","Rayo venenoso"
"specials.name.poison_claw","Zarpa venenosa"
"specials.name.poison_jolt","Sacudida venenosa"
"specials.name.poison_strike","Golpe venenoso"
"specials.name.poison_tipped_arrow","Flecha de punta venenosa"
"specials.name.poison_web","Red venenosa"
"specials.name.poisoned_blade","Espada envenenada"
"specials.name.poisoning_blade","Hoja envenenada"
"specials.name.poisonous_mist","Niebla venenosa"
"specials.name.poisonous_saliva","Saliva venenosa"
"specials.name.polar_bash","Golpe polar"
"specials.name.polar_night_blizzard","Ventisca polar nocturna"
"specials.name.poleaxe_of_the_law","Alabarda de la ley"
"specials.name.polestar_expedition","Expedición con la estrella polar"
"specials.name.pompous_flex","Exhibición pretenciosa"
"specials.name.portents_of_future","Portentos del futuro"
"specials.name.possessed_strike","Golpe poseído"
"specials.name.possessor_of_penance","Penitencia"
"specials.name.postal_pulverizer","Pulverizador brutal"
"specials.name.potion_cocktail","Cóctel de pociones"
"specials.name.potions_of_covetous_desire","Pociones del deseo codicioso"
"specials.name.potions_of_covetous_desire_pve","Pociones del deseo codicioso"
"specials.name.potions_of_havoc_and_healing","Pociones del caos y la curación"
"specials.name.pounce_of_the_lioness","Asalto de la leona"
"specials.name.pounding_attack","Ataque vapuleador"
"specials.name.power_of_ajna","Poder de Ajna"
"specials.name.power_of_flora","El poder de la flora"
"specials.name.power_of_mjolnir","Poder del Mjölnir"
"specials.name.power_of_the_forest","Poder del bosque"
"specials.name.power_of_the_void","Poder del vacío"
"specials.name.power_punch","Impacto potente"
"specials.name.power_slam","Choque enérgico"
"specials.name.power_wave","Onda de poder"
"specials.name.prayer_of_the_desert","Oración del desierto"
"specials.name.precious_pets","Mascotas queridas"
"specials.name.precious_pets_pve_advanced","Mascotas queridas"
"specials.name.precious_pets_pve_normal","Mascotas queridas"
"specials.name.precise_chop","Corte preciso"
"specials.name.precise_riposte","Estocada precisa"
"specials.name.preserve_and_freeze","Congelación de preservación"
"specials.name.prestidigitation","Prestidigitación"
"specials.name.prestidigitation_cross","Cruz"
"specials.name.prestidigitation_skull","Calavera"
"specials.name.prestidigitation_stars","Estrellas"
"specials.name.primeval_glaive","Guja primitiva"
"specials.name.princess_unleashed","Princesa liberada"
"specials.name.prosperity_for_domain","Prosperidad del dominio"
"specials.name.protective_stance","Posición de protección"
"specials.name.protector_of_the_blue_river","Protección del río azul"
"specials.name.protein_corruption","Corrupción proteínica"
"specials.name.protein_eater","Empacho de proteínas"
"specials.name.pulsar_blast","Explosión de pulsar"
"specials.name.pulsarstrike","Golpe de púlsar"
"specials.name.pulverizing_ham","Jamón pulverizador"
"specials.name.pummeling","Zambombazo"
"specials.name.punishing_shot","Tiro castigador"
"specials.name.punishing_shot_pve","Tiro castigador"
"specials.name.punishing_strike","Golpe punitivo"
"specials.name.puppy_tales","Historias de cachorros"
"specials.name.pure_shot","Disparo puro"
"specials.name.purification","Purificación"
"specials.name.purifying_flame","Llama purificadora"
"specials.name.purifying_flame_pve","Llama purificadora"
"specials.name.purifying_hit","Golpe purificador"
"specials.name.purifying_ki","Ki purificador"
"specials.name.purifying_light","Luz purificadora"
"specials.name.purifying_strike","Ataque purificador"
"specials.name.purple_beetloid_bite","Mordisco de escarabajoide morado"
"specials.name.pursuing_shot","Tiro guiado"
"specials.name.putrid_perfume","Perfume pútrido"
"specials.name.puzzling_paint","Pintura confusa"
"specials.name.puzzling_riddle","Acertijo confuso"
"specials.name.qilin_blade","Hoja de quilin"
"specials.name.queen_of_cards","Reina de la baraja"
"specials.name.queen_of_the_depths","Emperatriz de las profundidades"
"specials.name.queen_of_the_depths_final","Emperatriz de las profundidades"
"specials.name.queens_blood_poisoning","Crepúsculo melancólico"
"specials.name.queens_curse","Tormenta de arena"
"specials.name.queens_curse_pve","Tormenta de arena"
"specials.name.quick_and_nimble","Agilidad veloz"
"specials.name.rabbits_watch","Reloj del conejo"
"specials.name.raccoon_bite","Mordisco de mapache"
"specials.name.radiant_comeback","Revancha radiante"
"specials.name.radiant_rapid_fire","Fuego racheado radiante"
"specials.name.radiant_shackles","Grilletes radiantes"
"specials.name.radiant_sweep_dragon_pve","Barrido radiante"
"specials.name.radiating_frost","Propagación gélida"
"specials.name.rage_of_grimnir","Ira de Grimnir"
"specials.name.raging_tempest","Tempestad enfurecida"
"specials.name.rain_of_arrows","Lluvia de flechas"
"specials.name.rain_of_fire","Lluvia de fuego"
"specials.name.rain_of_fire_ultimate_boss","Lluvia de fuego"
"specials.name.raising_morale","Moral por las nubes"
"specials.name.rally_of_the_deep","Arenga de las profundidades"
"specials.name.ramming_pulverizer","Pulverizador arrollador"
"specials.name.ramming_rush","Avalancha arrolladora"
"specials.name.rapid_shots","Tiros rápidos"
"specials.name.rattle_of_confusion","Ruido de confusión"
"specials.name.ravaging_talons","Garras devastadoras"
"specials.name.ravening_blade","Hoja voraz"
"specials.name.ravenous_pounce","Asalto voraz"
"specials.name.ravens_vigil","Vigilia de los cuervos"
"specials.name.ravens_watch","Vigilancia de los cuervos"
"specials.name.ray_strike","Golpe de rayo"
"specials.name.razor_smile","Sonrisa afilada"
"specials.name.reanimated_spite","Rencor resucitado"
"specials.name.reanimated_spite_pve","Rencor resucitado"
"specials.name.reckless_charge","Arremetida temeraria"
"specials.name.reckless_finisher","Remate temerario"
"specials.name.reckless_slash","Tajo temerario"
"specials.name.reckless_stab","Puñalada temeraria"
"specials.name.reckless_swing","Golpe temerario"
"specials.name.reckless_sword_swings","Espadazos temerarios"
"specials.name.red_lizard_charge","Embestida de lagarto con camuflaje rojo"
"specials.name.red_shoes","Zapatos rojos"
"specials.name.red_sparks_dragon_pve","Chispas rojas"
"specials.name.reef_blast","Estallido del arrecife"
"specials.name.reflecting_stance","Postura reflectante"
"specials.name.regal_claws","Garras señoriales"
"specials.name.regal_spearhead","Punta de lanza real"
"specials.name.regeneration","Regeneración"
"specials.name.rejuvenating_elixir","Elixir rejuvenecedor"
"specials.name.rejuvenating_leap","Salto rejuvenecedor"
"specials.name.relaxing_riddle","Acertijo relajante"
"specials.name.relentless_brawler","Combatiente implacable"
"specials.name.remedies_and_diseases","Remedios y enfermedades"
"specials.name.rending_dagger","Daga desgarradora"
"specials.name.reporting_for_duty","Al servicio"
"specials.name.resolute_spirit","Espíritu decidido"
"specials.name.resolute_spirit2","Espíritu decidido"
"specials.name.restoration_and_annihilation","Restauración aniquiladora"
"specials.name.resurrection_of_the_fallen","Resurrección de los caídos"
"specials.name.resurrection_of_the_fallen_kemeny","Resurrección de los caídos"
"specials.name.revengeful_smite","Destrucción vengativa"
"specials.name.reverse_recovery","Recuperación inversa"
"specials.name.reversed_lifeforce","Fuerza vital invertida"
"specials.name.revitalizing_melody","Melodía reconstituyente"
"specials.name.revitalizing_orb","Orbe reconstituyente"
"specials.name.revitalizing_sludge","Lodo reconstituyente"
"specials.name.reviving_touch","Toque revivificante"
"specials.name.rhythm_of_havoc","Ritmo del caos"
"specials.name.riches_to_poor","Riqueza a los pobres"
"specials.name.ricochet_bolt","Flecha reboteadora"
"specials.name.riddle_of_the_moon","Acertijo de la luna"
"specials.name.riddle_of_the_sun","Acertijo del sol"
"specials.name.riders_arrow","Flecha de jinete"
"specials.name.riders_lance","Lanza de jinete"
"specials.name.rift_blade","Hendidura abismal"
"specials.name.righteous_pulverizer","Pulverización justificada"
"specials.name.righteous_revenge","Justa venganza"
"specials.name.righteous_stance","Postura justificada"
"specials.name.righteous_strike","Golpe justificado"
"specials.name.rime_heart","Corazón escarchado"
"specials.name.ring_around_the_rosie","Anillo de flores"
"specials.name.rite_of_cuteness","Caricatura de juicio"
"specials.name.rite_of_glass","Juicio de cristal"
"specials.name.rite_of_judgement","Ritual de juicio"
"specials.name.rites_of_inner_knowledge","Ritos del conocimiento interior"
"specials.name.ritual_of_judgement","Rito de juicio"
"specials.name.ritual_of_the_deep","Ritual de las profundidades"
"specials.name.ritual_of_the_elements","Ritual de los elementos"
"specials.name.roadside_surprise","Sorpresa en el camino"
"specials.name.roar_of_the_panther","Rugido de la pantera"
"specials.name.rockfall_bash","Desprendimiento rocoso"
"specials.name.rod_of_freedom","Vara de la libertad"
"specials.name.rod_of_torment","Vara del tormento"
"specials.name.roman_cleave","Arremetida espartana"
"specials.name.roots_of_wrath","Raíces de la ira"
"specials.name.roots_of_yggdrasil","Raíces de Yggdrasil"
