"heroes.name_fancy.astral_cosmicspeaker","Elfa astral astrónoma"
"heroes.name_fancy.magic_carpet_ragrim","Botánico de alfombras mágicas"
"heroes.name_fancy.magic_carpet_shareef","Brujo imparable"
"heroes.name_fancy.magic_carpet_zazha","Sanadora de alfombras mágicas"
"heroes.name_fancy.magic_cristobal","Profesor de los amuletos"
"heroes.name_fancy.magic_cristobal_costume_emerald","Profesor de encantamientos"
"heroes.name_fancy.magic_dolgoon","Bibliotecario erudito"
"heroes.name_fancy.magic_jett","Emisaria del sacrificio"
"heroes.name_fancy.magic_jett_costume_eyes","Heraldo del juicio"
"heroes.name_fancy.magic_kornel","Conserje veterano"
"heroes.name_fancy.magic_lucy","Prodigio del magiabol"
"heroes.name_fancy.magic_milena","Profesora de las artes arcanas"
"heroes.name_fancy.magic_milena_costume_ice","Profesora de los hechizos árticos"
"heroes.name_fancy.magic_motega","Tutor maestro"
"heroes.name_fancy.magic_nadezhda","Directora de la torre"
"heroes.name_fancy.magic_nadezhda_costume_postmaster","Jefa de correos de la torre"
"heroes.name_fancy.magic_ray","Campeón de la cancha"
"heroes.name_fancy.magic_ray_costume_spiky","Campeón del zarzal"
"heroes.name_fancy.magic_roxia","Amante de los escritos antiguos"
"heroes.name_fancy.magic_sergei","Estudiante de lo arcano"
"heroes.name_fancy.magic_telonius","Centauro del bosque"
"heroes.name_fancy.magic_telonius_costume_brew","Centauro del bar"
"heroes.name_fancy.magic_ulius","Brujo inventor peculiar"
"heroes.name_fancy.magic_ulius_costume_buccaneer","Bucanero arcano peculiar"
"heroes.name_fancy.magic_vaishali","Maestra mística del ajedrez"
"heroes.name_fancy.magic_vaishali_costume_chef","Maestra de los pasteles místicos"
"heroes.name_fancy.magic_willow","Maestra de la levitación"
"heroes.name_fancy.magitech_sniper","Francotiradora con tecnología mágica"
"heroes.name_fancy.magitech_sniper_costume_cute","Francotiradora de caricatura"
"heroes.name_fancy.magitech_sniper_costume_glass","Francotiradora de cristal"
"heroes.name_fancy.magitech_sniper_costume_steampunk","Francotiradora steampunk"
"heroes.name_fancy.magitech_sniper_costume_stylish","Francotiradora elegante"
"heroes.name_fancy.magitech_sniper_costume_undead","Francotiradora zombi"
"heroes.name_fancy.mahayoddha_ajay","Guerrero con urumi"
"heroes.name_fancy.mahayoddha_ali","Chico de los recados brillante"
"heroes.name_fancy.mahayoddha_bhairavi_devi","Thakurain bromista"
"heroes.name_fancy.mahayoddha_bhima","Hijo de Vayu"
"heroes.name_fancy.mahayoddha_bonga","Cestero"
"heroes.name_fancy.mahayoddha_chitrangada","Princesa guerrera de Manipura"
"heroes.name_fancy.mahayoddha_devyani","Princesa guerrera implacable"
"heroes.name_fancy.mahayoddha_jyoti","Bailarina de chari"
"heroes.name_fancy.mahayoddha_meenakshi","Chechi con coco"
"heroes.name_fancy.mahayoddha_rafeeq","Político astuto"
"heroes.name_fancy.mahayoddha_ustad_anand","Artista de la corte"
"heroes.name_fancy.mahayoddha_veer","Asesino orgulloso"
"heroes.name_fancy.masquerade_alessia","Seguidora de Aradia"
"heroes.name_fancy.masquerade_aradia","Diosa enmascarada de la brujería"
"heroes.name_fancy.masquerade_carmenta","Diosa enmascarada de los conjuros"
"heroes.name_fancy.masquerade_cel","Diosa enmascarada de la tierra"
"heroes.name_fancy.masquerade_februus","Dios enmascarado de la purificación"
"heroes.name_fancy.masquerade_fortuna","Diosa enmascarada del destino"
"heroes.name_fancy.masquerade_fosco","Seguidor de Februus"
"heroes.name_fancy.masquerade_jana","Diosa enmascarada de la luna"
"heroes.name_fancy.masquerade_jove","Dios enmascarado del cielo"
"heroes.name_fancy.masquerade_umbria","Diosa enmascarada de las sombras"
"heroes.name_fancy.mighty_pet_barkley","Carlino dañino"
"heroes.name_fancy.mighty_pet_bubbles","Felina de las artes ilusorias"
"heroes.name_fancy.mighty_pet_chomper","Hámster campeón de lucha"
"heroes.name_fancy.mighty_pet_cinnamon","Caballero del Círculo Ártico"
"heroes.name_fancy.mighty_pet_cupcake","Bandido de cuatro patas"
"heroes.name_fancy.mighty_pet_furdinand","Rufián de la Expedición Canina"
"heroes.name_fancy.mighty_pet_hachiko","Cachorro de la lealtad"
"heroes.name_fancy.mighty_pet_luna","Búho de media luna"
"heroes.name_fancy.mighty_pet_ribbit","Gladiadora del reino anfibio"
"heroes.name_fancy.mighty_pet_rufus","Leñador peludo"
"heroes.name_fancy.mighty_pet_snowball","Gato vagabundo"
"heroes.name_fancy.mighty_pet_toto","Cuentacuentos canino"
"heroes.name_fancy.mighty_pet_waddles","Capitana de la Guardia Ánade"
"heroes.name_fancy.mimic_aether_blue","Engullidor de varitas voraz"
"heroes.name_fancy.mimic_aether_green","Engullidor de varitas voraz"
"heroes.name_fancy.mimic_aether_purple","Engullidor de varitas voraz"
"heroes.name_fancy.mimic_aether_red","Engullidor de varitas voraz"
"heroes.name_fancy.mimic_aether_yellow","Engullidor de varitas voraz"
"heroes.name_fancy.mimic_ascension_epic_yellow","Alijo sonriente del mal menor"
"heroes.name_fancy.mimic_ascension_item_blue","Alijo sonriente del mal"
"heroes.name_fancy.mimic_ascension_item_green","Alijo sonriente del mal"
"heroes.name_fancy.mimic_ascension_item_purple","Alijo sonriente del mal"
"heroes.name_fancy.mimic_ascension_item_red","Alijo sonriente del mal"
"heroes.name_fancy.mimic_ascension_item_yellow","Alijo sonriente del mal"
"heroes.name_fancy.mimic_emblem_blue","Caja fuerte tuerta espantosa"
"heroes.name_fancy.mimic_emblem_green","Caja fuerte tuerta espantosa"
"heroes.name_fancy.mimic_emblem_purple","Caja fuerte tuerta espantosa"
"heroes.name_fancy.mimic_emblem_red","Caja fuerte tuerta espantosa"
"heroes.name_fancy.mimic_emblem_yellow","Caja fuerte tuerta espantosa"
"heroes.name_fancy.mimic_experience_rare_red","Tesoro con dientes diminutos"
"heroes.name_fancy.mimic_training_hero_blue","Tesoro con mil dientes"
"heroes.name_fancy.mimic_training_hero_green","Tesoro con mil dientes"
"heroes.name_fancy.mimic_training_hero_purple","Tesoro con mil dientes"
"heroes.name_fancy.mimic_training_hero_red","Tesoro con mil dientes"
"heroes.name_fancy.mimic_training_hero_yellow","Tesoro con mil dientes"
"heroes.name_fancy.mimic_troop_blue","Recompensa de arsenal temible"
"heroes.name_fancy.mimic_troop_green","Recompensa de arsenal temible"
"heroes.name_fancy.mimic_troop_purple","Recompensa de arsenal temible"
"heroes.name_fancy.mimic_troop_red","Recompensa de arsenal temible"
"heroes.name_fancy.mimic_troop_yellow","Recompensa de arsenal temible"
"heroes.name_fancy.monster_hunter_adalinda","Princesa de la caza"
"heroes.name_fancy.monster_hunter_amund","Rastreador tenaz"
"heroes.name_fancy.monster_hunter_basil","Ratón de la caza"
"heroes.name_fancy.monster_hunter_berit","Matona berilina"
"heroes.name_fancy.monster_hunter_bogart","Cazador de la ciénaga"
"heroes.name_fancy.monster_hunter_bonecrusher","Jefe espalda plateada"
"heroes.name_fancy.monster_hunter_cedar","Chimpancé campeón con cadena"
"heroes.name_fancy.monster_hunter_cleaver","Jefe cazador"
"heroes.name_fancy.monster_hunter_dabria","Ocultista cazadora"
"heroes.name_fancy.monster_hunter_dawn","Trovadora cazadora"
"heroes.name_fancy.monster_hunter_dubhain","Elegido del dios de las tormentas"
"heroes.name_fancy.monster_hunter_ebba","Mercenaria cazadora"
"heroes.name_fancy.monster_hunter_edelaide","Nómada de la naturaleza"
"heroes.name_fancy.monster_hunter_fianna","Trampera del bosque"
"heroes.name_fancy.monster_hunter_goretooth","Cazador salvaje"
"heroes.name_fancy.monster_hunter_greel","Espadachín salvaje"
"heroes.name_fancy.monster_hunter_hammertusk","Bárbaro corpulento"
"heroes.name_fancy.monster_hunter_hawthorn","Jornalero cazador"
"heroes.name_fancy.monster_hunter_hurricane","Simio asesino"
"heroes.name_fancy.monster_hunter_kai","Caballero cazador"
"heroes.name_fancy.monster_hunter_knuckles","Macaco centinela"
"heroes.name_fancy.monster_hunter_maheegan","Rastreador de lobos"
"heroes.name_fancy.monster_hunter_malin","Guerrero con huesos de titanio"
"heroes.name_fancy.monster_hunter_meadow","Cazadora tribal"
"heroes.name_fancy.monster_hunter_mistweaver","Orangután alborotador"
"heroes.name_fancy.monster_hunter_njal","Cazador del viento del norte"
"heroes.name_fancy.monster_hunter_numbskull","Esqueleto torpe"
"heroes.name_fancy.monster_hunter_otis","Cazador espadachín"
"heroes.name_fancy.monster_hunter_revna","Cazadora de cornalina"
"heroes.name_fancy.monster_hunter_ruadh","Cazador abisal"
"heroes.name_fancy.monster_hunter_sigyn","Adiestradora de escorpiones"
"heroes.name_fancy.monster_hunter_sorcha","Cazadora persistente"
"heroes.name_fancy.monster_hunter_sorrow","Espectro gélido"
"heroes.name_fancy.monster_hunter_staintongue","Cazador implacable"
"heroes.name_fancy.monster_hunter_sune","Cazador de malaquita"
"heroes.name_fancy.monster_hunter_thunderclap","Gorila enfurecido"
"heroes.name_fancy.monster_hunter_thura","Cazadora bendecida por las estrellas"
"heroes.name_fancy.monster_hunter_tremor","Babuino espadachín"
"heroes.name_fancy.monster_hunter_waterpipe","Ingeniero de arpón"
"heroes.name_fancy.moth_auricarc","Polillarquero maestro"
"heroes.name_fancy.moth_chimister","Polilla de laboratorio"
"heroes.name_fancy.moth_chunkyroi","Polilla marqués"
"heroes.name_fancy.moth_furgeant","Polilla gigantesca"
"heroes.name_fancy.moth_gardered","Polilla osada"
"heroes.name_fancy.moth_grovevert","Criador de polillas"
"heroes.name_fancy.moth_joyvert","Polilla música virtuosa"
"heroes.name_fancy.moth_lilareine","Polilla marquesa"
"heroes.name_fancy.moth_limeboire","Polilla de taberna"
"heroes.name_fancy.moth_mortewitch","Polilla nigromante"
"heroes.name_fancy.moth_pepperbleu","Polilla maga"
"heroes.name_fancy.moth_rosepetite","Polilla pintora joven"
"heroes.name_fancy.moth_satinpimenter","Polilla monacal"
"heroes.name_fancy.moth_shyombre","Polilla de las sombras"
"heroes.name_fancy.moth_tealmoine","Polilla de la niebla"
"heroes.name_fancy.musketeer_aramis","Mosquetero romántico"
"heroes.name_fancy.musketeer_aramis_costume_boulanger","Mosquetero panadero"
"heroes.name_fancy.musketeer_athos","Mosquetero veterano"
"heroes.name_fancy.musketeer_athos_costume_farrier","Mosquetero herrero"
"heroes.name_fancy.musketeer_cardinal_richelieu","Duque traicionero"
"heroes.name_fancy.musketeer_constance","Mosquetera valiente"
"heroes.name_fancy.musketeer_constance_costume_fusilier","Fusilera intrépida"
"heroes.name_fancy.musketeer_dartagnan","Mosquetero apasionado"
"heroes.name_fancy.musketeer_dartagnan_costume_chimney_sweeper","Limpiachimeneas ardiente"
"heroes.name_fancy.musketeer_felton","Asesino depravado"
"heroes.name_fancy.musketeer_felton_costume_pirate","Pirata cruel"
"heroes.name_fancy.musketeer_kitty","Florista simpática"
"heroes.name_fancy.musketeer_kitty_costume_harvester","Recolector de fruta amigable"
"heroes.name_fancy.musketeer_milady_de_winter","Villana maquiavélica"
"heroes.name_fancy.musketeer_milady_de_winter_costume_herbalist","Herborista maquiavélico"
"heroes.name_fancy.musketeer_planchet","Escudero valeroso"
"heroes.name_fancy.musketeer_planchet_costume_adventurer","Aventurero valiente"
"heroes.name_fancy.musketeer_porthos","Mosquetero alegre"
"heroes.name_fancy.musketeer_porthos_costume_merchant","Mosquetero comerciante"
"heroes.name_fancy.musketeer_queen_anne","Monarca elegante"
"heroes.name_fancy.musketeer_rochefort","Bribón despiadado"
"heroes.name_fancy.musketeer_rochefort_costume_ratcatcher","Cazarratas implacable"
"heroes.name_fancy.musketeer_villiers","Duque pomposo"
"heroes.name_fancy.musketeer_villiers_costume_jester","Bufón pomposo"
"heroes.name_fancy.mystery_enigmo","Acertijo invocador"
"heroes.name_fancy.nature_god_balbar","Botánico ermitaño"
"heroes.name_fancy.nature_god_bertila","La dama verde"
"heroes.name_fancy.nature_god_bo_and_runt","Líderes de la manada"
"heroes.name_fancy.nature_god_chloris","Espíritu floral"
"heroes.name_fancy.nature_god_cinisia","Maga guerrera melia"
"heroes.name_fancy.nature_god_coleston","Mediano imparable"
"heroes.name_fancy.nature_god_florenna","Elafocentauro elegante"
"heroes.name_fancy.nature_god_leadria","Reina de la primavera eterna"
"heroes.name_fancy.nature_god_liora","Bandido benevolente"
"heroes.name_fancy.nature_god_mystia","Hechicera hipnotizante"
"heroes.name_fancy.nature_god_silvaria","Diosa del bosque"
"heroes.name_fancy.nature_god_viselus","Druida pestífero"
"heroes.name_fancy.ninja_amethyst","Asesina oculta"
"heroes.name_fancy.ninja_ametrine","Ninja de las hojas escondidas"
"heroes.name_fancy.ninja_aurum","Kunoichi sanguinaria"
"heroes.name_fancy.ninja_azurite","Vigía ninja"
"heroes.name_fancy.ninja_chikao","Atacante silencioso"
"heroes.name_fancy.ninja_cobalt","Ninja de los mares susurradores"
"heroes.name_fancy.ninja_ekanite","Líder de los shinobi"
"heroes.name_fancy.ninja_garnet","Ninja de la vitalidad elevada"
"heroes.name_fancy.ninja_iga","Maestro de tormenta de kunais"
"heroes.name_fancy.ninja_ito","Shinobi subyugador"
"heroes.name_fancy.ninja_jade","Ninja de las estrellas bailarinas"
"heroes.name_fancy.ninja_kinsaishi","Monje ninja atronador"
"heroes.name_fancy.ninja_kushanku","El Puño del Engaño"
"heroes.name_fancy.ninja_malum","Shinobi despiadado"
"heroes.name_fancy.ninja_mica","Ninja de los gritos silenciosos"
"heroes.name_fancy.ninja_morganite","Ninja de las sombras desvanecedoras"
"heroes.name_fancy.ninja_myoinni","El señor feudal más fuerte"
"heroes.name_fancy.ninja_nomad","Verdugo silencioso"
"heroes.name_fancy.ninja_oniwakamaru","Monje sombrío de las 999 espadas"
"heroes.name_fancy.ninja_onyx","Ninja de los vientos escurridizos"
"heroes.name_fancy.ninja_osamu","Ninja con disciplina de hierro"
"heroes.name_fancy.ninja_peridot","Ninja de las toxinas letales"
"heroes.name_fancy.ninja_quartz","Ninja de las tumbas silenciosas"
"heroes.name_fancy.ninja_ruby","Ninja Oni roja"
"heroes.name_fancy.ninja_sapphire","Ninja de las sombras saltadoras"
"heroes.name_fancy.ninja_satsui","Kunoichi sombría"
"heroes.name_fancy.ninja_sawano","Kunoichi fiel"
"heroes.name_fancy.ninja_serandite","Ninja de las llamas penetrantes"
"heroes.name_fancy.ninja_shale","Ninja del vigor volador"
"heroes.name_fancy.ninja_tametomo","Saboteador con arco grande"
"heroes.name_fancy.ninja_topaz","Ninja de la precisión perfecta"
"heroes.name_fancy.ninja_tora","Cazadora silenciosa"
"heroes.name_fancy.ninja_umeko","Ninja de las flores venenosas"
"heroes.name_fancy.ninja_zircon","Ninja de las olas silenciosas"
"heroes.name_fancy.nomad_axe_adventurer","Cazarrecompensas valiente"
"heroes.name_fancy.nomad_axe_adventurer_costume_cute","Cazarrecompensas de caricatura"
"heroes.name_fancy.nomad_axe_adventurer_costume_glass","Cazarrecompensas de cristal"
"heroes.name_fancy.nomad_axe_adventurer_costume_magma","Cazarrecompensas ardiente"
"heroes.name_fancy.nomad_axe_adventurer_costume_stylish","Cazarrecompensas elegante"
"heroes.name_fancy.nomad_axe_adventurer_costume_tracker","Rastreador valeroso"
"heroes.name_fancy.nomad_female_archer","Cazador prodigioso"
"heroes.name_fancy.nomad_female_assassin","Atacante de Sandsea"
"heroes.name_fancy.nomad_female_assassin_costume_cute","Atacante del mar de caricaturas"
"heroes.name_fancy.nomad_female_assassin_costume_dancer","Bailarina de Sandsea"
"heroes.name_fancy.nomad_female_assassin_costume_glass","Atacante del mar de cristal"
"heroes.name_fancy.nomad_female_assassin_costume_poison","Asesina de Sandsea"
"heroes.name_fancy.nomad_female_berserker","Sacerdotisa de Dragonia"
"heroes.name_fancy.nomad_female_berserker_costume_cute","Caricatura de Dragonia"
"heroes.name_fancy.nomad_female_berserker_costume_glass","Vidriera de Dragonia"
"heroes.name_fancy.nomad_female_berserker_costume_shaman","Chamana de Dragonia"
"heroes.name_fancy.nomad_female_berserker_costume_sorceress","Hechicera de Dragonia"
"heroes.name_fancy.nomad_female_berserker_costume_stylish","Sacerdotisa elegante"
"heroes.name_fancy.nomad_female_captain","Dama de Windemer"
"heroes.name_fancy.nomad_female_captain_costume_cute","Caricatura de Windemer"
"heroes.name_fancy.nomad_female_captain_costume_glass","Vidriera de Windemer"
"heroes.name_fancy.nomad_female_captain_costume_pirate","Terror de Windemer"
"heroes.name_fancy.nomad_female_captain_costume_stylish","Dama elegante de Windemer"
"heroes.name_fancy.nomad_female_captain_costume_thief","Ladrona maestra de Windemer"
"heroes.name_fancy.nomad_female_lord","Capitana de la Guardia Real"
"heroes.name_fancy.nomad_female_lord_costume_cute","Capitana de la Caricaturada Real"
"heroes.name_fancy.nomad_female_lord_costume_flame","Capitana de fuego"
"heroes.name_fancy.nomad_female_lord_costume_glass","Capitana de la Guardia de Cristal"
"heroes.name_fancy.nomad_female_lord_costume_wicked","Capitana de los malvados"
"heroes.name_fancy.nomad_female_shaman","Chamán ascendente"
"heroes.name_fancy.nomad_female_shaman_costume_cute","Caricatura ascendente"
"heroes.name_fancy.nomad_female_shaman_costume_glass","Vidriera ascendente"
"heroes.name_fancy.nomad_female_shaman_costume_native","Reparador ascendente"
"heroes.name_fancy.nomad_female_swordmaster","Inquiridor del trono"
"heroes.name_fancy.nomad_female_swordmaster_costume_cute","Inquiridora de caricatura"
"heroes.name_fancy.nomad_female_swordmaster_costume_glass","Inquiridora de cristal"
"heroes.name_fancy.nomad_female_swordmaster_costume_native","Inquiridor de dioses"
"heroes.name_fancy.nomad_female_swordmaster_costume_stylish","Inquiridor del estilo"
"heroes.name_fancy.nomad_female_thief","Viajero juvenil"
"heroes.name_fancy.nomad_fighter","Matón fuerte"
"heroes.name_fancy.nomad_mage","Mago de Sandsea"
"heroes.name_fancy.nomad_mage_costume_cute","Mago del mar de caricaturas"
"heroes.name_fancy.nomad_mage_costume_glass","Nómada del mar de cristal"
"heroes.name_fancy.nomad_mage_costume_goggles","Brujo de Sandsea"
"heroes.name_fancy.nomad_mage_costume_stylish","Mago con estilo"
"heroes.name_fancy.nomad_scout","Vendedor de espadas astuto"
"heroes.name_fancy.nomad_shaman","Sirviente de los mayores"
"heroes.name_fancy.nordic_ancestral_warrior","Huérfano oscuro"
"heroes.name_fancy.nordic_ancestral_warrior_costume_corrupted","Heredero del mal"
"heroes.name_fancy.nordic_ancestral_warrior_costume_cute","Caricatura oscura"
"heroes.name_fancy.nordic_ancestral_warrior_costume_glass","Vidriera oscura"
"heroes.name_fancy.nordic_ancestral_warrior_costume_messenger","Mensajero oscuro"
"heroes.name_fancy.nordic_ancestral_warrior_costume_stylish","Heredero del estilo malvado"
"heroes.name_fancy.nordic_chained_werewolf","El Feroz"
"heroes.name_fancy.nordic_chained_werewolf_costume_cute","La Caricatura Feroz"
"heroes.name_fancy.nordic_chained_werewolf_costume_glass","El Cristal Feroz"
"heroes.name_fancy.nordic_chained_werewolf_costume_raccoon","Ladrón del ajo"
"heroes.name_fancy.nordic_female_scout","Doncella feroz"
"heroes.name_fancy.nordic_female_warrior","Guerrero exiliado"
"heroes.name_fancy.nordic_ice_enchantress","Protectora de Glaceholm"
"heroes.name_fancy.nordic_ice_enchantress_costume_aqua","Bruja de hielo de Glaceholm"
"heroes.name_fancy.nordic_ice_enchantress_costume_cute","Protectora de las caricaturas"
"heroes.name_fancy.nordic_ice_enchantress_costume_glass","Vidriera de Glaceholm"
"heroes.name_fancy.nordic_ice_enchantress_costume_ruler","Soberana de Glaceholm"
"heroes.name_fancy.nordic_mage","Mago de Glaceholm"
"heroes.name_fancy.nordic_mage_costume_cute","Caricatura de Glaceholm"
"heroes.name_fancy.nordic_mage_costume_glass","Vidriera de Glaceholm"
"heroes.name_fancy.nordic_mage_costume_hermit","Ermitaño de Glaceholm"
"heroes.name_fancy.nordic_male_lord","Martillo de la justicia"
"heroes.name_fancy.nordic_male_lord_costume_cute","Martillo de la caricaturización"
"heroes.name_fancy.nordic_male_lord_costume_glass","Martillo de cristal"
"heroes.name_fancy.nordic_male_lord_costume_injustice","Martillo de la injusticia"
"heroes.name_fancy.nordic_male_lord_costume_senior","Hacha de justicia"
"heroes.name_fancy.nordic_male_lord_costume_stylish","Paladín del estilo"
"heroes.name_fancy.nordic_swordman","Duelista apuesto"
"heroes.name_fancy.nordic_swordman_costume_climber","Escalador pulcro"
"heroes.name_fancy.nordic_swordman_costume_cute","Caricatura con talento"
"heroes.name_fancy.nordic_swordman_costume_glass","Duelista de cristal"
"heroes.name_fancy.nordic_swordman_costume_stylish","Duelista con estilo"
"heroes.name_fancy.nordic_warrior","Aventurero descuidado"
"heroes.name_fancy.orc_gladiator","El Inquebrantable"
"heroes.name_fancy.orc_gladiator_costume_chef","Jefe de hierro fundido"
"heroes.name_fancy.orc_gladiator_costume_cute","Caricatura inquebrantable"
"heroes.name_fancy.orc_gladiator_costume_glass","El reflejo"
"heroes.name_fancy.orc_gladiator_costume_sage","Sabio salvaje"
"heroes.name_fancy.orc_gladiator_costume_stylish","El Elegante"
"heroes.name_fancy.orc_skirmisher","Luchador mestizo"
"heroes.name_fancy.orc_troopmaster","El Hambriento"
"heroes.name_fancy.orc_troopmaster_costume_cute","Caricatura del Hambriento"
"heroes.name_fancy.orc_troopmaster_costume_glass","Vidriera del Hambriento"
"heroes.name_fancy.orc_troopmaster_costume_gourmet","El Epicúreo"
"heroes.name_fancy.orc_troopmaster_costume_merchant","El Codicioso"
"heroes.name_fancy.orc_warrior","Primero en el combate"
"heroes.name_fancy.orc_warrior_costume_cute","Primera caricatura en el combate"
"heroes.name_fancy.orc_warrior_costume_glass","Último en hacerse añicos"
"heroes.name_fancy.orc_warrior_costume_urukhai","Último en retirarse"
"heroes.name_fancy.oriental_brawler","Defensor noble"
"heroes.name_fancy.oriental_brawler_costume_cute","Alborotador de caricatura"
"heroes.name_fancy.oriental_brawler_costume_egypt","Alborotador noble"
"heroes.name_fancy.oriental_brawler_costume_glass","Alborotador de cristal"
"heroes.name_fancy.oriental_enchanted_monk","Llama del sol"
"heroes.name_fancy.oriental_enchanted_monk_costume_cute","Caricatura del sol"
"heroes.name_fancy.oriental_enchanted_monk_costume_glass","Vidriera del sol"
"heroes.name_fancy.oriental_enchanted_monk_costume_stoneguard","Poder del sol"
"heroes.name_fancy.oriental_enchanted_monk_costume_stylish","Monje solar elegante"
"heroes.name_fancy.oriental_enchanted_monk_costume_tiger","Furia del sol"
"heroes.name_fancy.oriental_falconer","Maestro estratega"
"heroes.name_fancy.oriental_falconer_costume_cub","Maestro tigre"
"heroes.name_fancy.oriental_falconer_costume_cute","Caricatura estratega"
"heroes.name_fancy.oriental_falconer_costume_dodo","Procurador maestro"
"heroes.name_fancy.oriental_falconer_costume_glass","Cristal estratega"
"heroes.name_fancy.oriental_female_guard","Guardabosques de Shaguad"
"heroes.name_fancy.oriental_female_guard_costume_cute","Caricatura de Shaguad"
"heroes.name_fancy.oriental_female_guard_costume_glass","Vidriera de Shaguad"
"heroes.name_fancy.oriental_female_guard_costume_soldier","Guardiana de Shaguad"
"heroes.name_fancy.oriental_female_mage","Curandero altruista"
"heroes.name_fancy.oriental_female_mage_costume_cute","Caricatura curandera"
"heroes.name_fancy.oriental_female_mage_costume_glass","Curandera de cristal"
"heroes.name_fancy.oriental_female_mage_costume_mender","Reparadora magnánima"
"heroes.name_fancy.oriental_female_mage_costume_stylish","Curandera elegante"
"heroes.name_fancy.oriental_female_mystic","Erudita suprema"
"heroes.name_fancy.oriental_female_mystic_costume_cute","Erudita de caricatura"
"heroes.name_fancy.oriental_female_mystic_costume_glass","Erudita de cristal"
"heroes.name_fancy.oriental_female_mystic_costume_magician","Maga suprema"
"heroes.name_fancy.oriental_female_mystic_costume_scribe","Escriba suprema"
"heroes.name_fancy.oriental_female_mystic_costume_stylish","Erudita con estilo"
"heroes.name_fancy.oriental_female_ninja","Estudiante ninja"
"heroes.name_fancy.oriental_female_templar","General sabio"
"heroes.name_fancy.oriental_female_templar_costume_cute","General caricaturesco"
"heroes.name_fancy.oriental_female_templar_costume_fireworks","General de fuegos artificiales"
"heroes.name_fancy.oriental_female_templar_costume_glass","General de cristal"
"heroes.name_fancy.oriental_female_templar_costume_kimono","Asesino ceremonial"
"heroes.name_fancy.oriental_female_templar_costume_stylish","General elegante"
"heroes.name_fancy.oriental_monkey_captain","Señor mono"
"heroes.name_fancy.oriental_monkey_captain_costume_cute","Caricatura mono"
"heroes.name_fancy.oriental_monkey_captain_costume_glass","Mono de cristal"
"heroes.name_fancy.oriental_monkey_captain_costume_reveller","Juerguista mono"
"heroes.name_fancy.oriental_monkey_captain_costume_warrior","Ronin mono"
"heroes.name_fancy.oriental_monkey_warrior","Guerrero mono"
"heroes.name_fancy.oriental_panda_berserker","Rama de bambú"
"heroes.name_fancy.oriental_panda_berserker_costume_cute","Rama de caricaturas"
"heroes.name_fancy.oriental_panda_berserker_costume_farmer","Raíz de bambú"
"heroes.name_fancy.oriental_panda_berserker_costume_glass","Rama de cristal"
"heroes.name_fancy.oriental_panda_berserker_costume_stylish","Bambú animado"
"heroes.name_fancy.oriental_panda_scout","Hoja de bambú"
"heroes.name_fancy.oriental_panda_warrior","Espada de bambú"
"heroes.name_fancy.oriental_panda_warrior_costume_armor","Corteza de bambú"
"heroes.name_fancy.oriental_panda_warrior_costume_cute","Caricatura de bambú"
"heroes.name_fancy.oriental_panda_warrior_costume_dueller","Duelista de bambú"
"heroes.name_fancy.oriental_panda_warrior_costume_glass","Espada de cristal"
"heroes.name_fancy.oriental_squire","Aprendiz de herrero"
"heroes.name_fancy.oriental_warrior","Soldado raso"
"heroes.name_fancy.oriental_warrior_king","Rey firme"
"heroes.name_fancy.oriental_warrior_king_costume_cute","Caricatura firme"
"heroes.name_fancy.oriental_warrior_king_costume_glass","Vidriera firme"
"heroes.name_fancy.oriental_warrior_king_costume_mage","Mago firme"
"heroes.name_fancy.oriental_warrior_king_costume_roman","Rey de Esparta"
"heroes.name_fancy.oriental_warrior_king_costume_stylish","Rey del estilo"
"heroes.name_fancy.outlaw_chao_gai","Rey celestial que cambia de pagoda de los bandidos del pantano"
"heroes.name_fancy.outlaw_gu_dasao","Tigresa de los bandidos del pantano"
"heroes.name_fancy.outlaw_hu_sanniang","Estrella brillante de los bandidos del pantano"
"heroes.name_fancy.outlaw_li_kui","Buey de hierro de los bandidos del pantano"
"heroes.name_fancy.outlaw_lin_chong","Cabeza de pantera de los bandidos del pantano"
"heroes.name_fancy.outlaw_liu_tang","Diablo pelirrojo de los bandidos del pantano"
"heroes.name_fancy.outlaw_lu_zhishen","Monje de las flores de los bandidos del pantano"
"heroes.name_fancy.outlaw_ruan_xiaoqi","Estrella de la destrucción de los bandidos del pantano"
"heroes.name_fancy.outlaw_shi_jin","Dragón de los nueve tatuajes de los bandidos del pantano"
"heroes.name_fancy.outlaw_song_jiang","Lluvia oportuna de los bandidos del pantano"
"heroes.name_fancy.outlaw_sun_erniang","Estrella fuerte de los bandidos del pantano"
"heroes.name_fancy.outlaw_wu_song","Héroe que lucha contra tigres de los bandidos del pantano"
"heroes.name_fancy.outlaw_wu_yong","Estrella del conocimiento de los bandidos del pantano"
"heroes.name_fancy.outlaw_xiang_chong","Estrella voladora de los bandidos del pantano"
"heroes.name_fancy.outlaw_zheng_tianshou","Caballero de tez pálida de los bandidos del pantano"
"heroes.name_fancy.owl_cennius","Garra oculta de la torre de los búhos"
"heroes.name_fancy.owl_eron","Trovador de la torre de los búhos"
"heroes.name_fancy.owl_featherino","Bribonzuelo de la torre de los búhos"
"heroes.name_fancy.owl_fulvia","Reina de la torre de los búhos"
"heroes.name_fancy.owl_juliani","Juez de la torre de los búhos"
"heroes.name_fancy.owl_livia","Sacerdotisa mayor de la torre de los búhos"
