"specials.name.a_cozy_break","Een gezellige pauze"
"specials.name.hollow_boast","Loos gepoch"
"specials.name.holy_aura","Heilig aura"
"specials.name.holy_guard","Heilige wacht"
"specials.name.holy_hibiscus_ale","Bier van heilige hibiscus"
"specials.name.holy_mark","Heilig teken"
"specials.name.holy_splash","Heilige plons"
"specials.name.home_run","Homerun"
"specials.name.horn_attack","Geweistoot"
"specials.name.horrifying_wail","Verschrikkelijk gejammer"
"specials.name.horses_curse","Zandbries"
"specials.name.hoverboard_crash","Hoverboardramp"
"specials.name.hoverboard_slam","Hoverboard-klap"
"specials.name.howling_sword","Jankend zwaard"
"specials.name.hues_of_love","Tinten van de liefde"
"specials.name.hungering_grave","Hunkerend graf"
"specials.name.hunt_for_prey","Jacht op prooi"
"specials.name.hunters_instinct","Jagersinstinct"
"specials.name.hunters_mark","Teken van de jager"
"specials.name.hunters_true_shot","Het ware schot van de jager"
"specials.name.hunting_ballad","Jachtballade"
"specials.name.hunting_charge","Jachtaanval"
"specials.name.hydra_bite","Hydrabeet"
"specials.name.hymn_of_enrichment","Hymne van verrijking"
"specials.name.hyper_porridge","Hyperpap"
"specials.name.hyperborean_hook","Hyperboreïsche haak"
"specials.name.hypersonic_tackle","Hypersonische tackle"
"specials.name.hypnosis_dragon_pve","Hypnose"
"specials.name.ice_and_slice","IJzige klief"
"specials.name.ice_boom","IJsexplosie"
"specials.name.ice_cold_order","IJskoud bevel"
"specials.name.ice_cream_smash","IJscoslag"
"specials.name.ice_treatment","IJsbehandeling"
"specials.name.iceberg_aura","Aura van een ijsberg"
"specials.name.iceberg_crush","IJsbergverplettering"
"specials.name.iceberg_havoc","IJsbergchaos"
"specials.name.icebound_howl","IJzig gehuil"
"specials.name.icebound_ritual","IJsritueel"
"specials.name.icecold_finisher","IJskoude Afmaker"
"specials.name.icehammer_smash","IJshamerslag"
"specials.name.iceshatter","Brokken ijs"
"specials.name.icy_axes","IJzige bijlen"
"specials.name.icy_mandibles","IJzige kaken"
"specials.name.icy_resilience","IJzige weerstand"
"specials.name.ill_bring_you_back","Ik breng je terug"
"specials.name.ill_fated_experiment","Noodlottig experiment"
"specials.name.ill_fated_recovery","Noodlottig herstel"
"specials.name.imaginary_increments","Denkbeeldige toename"
"specials.name.immortal_annihilator","Onsterfelijke vernietiger"
"specials.name.immortal_annihilator_deadly","Onsterfelijke vernietiger"
"specials.name.immortal_punisher","Onsterfelijke straffer"
"specials.name.impairing_strike","Hinderlijke aanval"
"specials.name.impale_and_devour","Spietsen en verslinden"
"specials.name.impeccable_charge","Onberispelijke aanval"
"specials.name.impeding_bolts","Belemmerende flitsen"
"specials.name.impervious_formation","Ondoordringbare formatie"
"specials.name.impossible_groove","Onmogelijke routine"
"specials.name.impossible_riddle","Onmogelijk raadsel"
"specials.name.incite_ki","Ki opstoken"
"specials.name.incite_ki2","Ki opstoken"
"specials.name.indestructible_claw","Onverwoestbare klauw"
"specials.name.indifferent_blade","Onverschillig zwaard"
"specials.name.inevitable_demise","Onvermijdelijk overlijden"
"specials.name.infernal_chops","Helse houwen"
"specials.name.infernal_drumstorm","Helse drumstorm"
"specials.name.infernal_flames","Helse vlammen"
"specials.name.infernal_jaws","Helse kaken"
"specials.name.ink_bomb","Inktbom"
"specials.name.innovative_lunge","Innovatieve aanval"
"specials.name.insidious_goo","Verraderlijk slijm"
"specials.name.inspiring_fencing","Geïnspireerd zwaardvechten"
"specials.name.insurmountable_flux","Onoverwinnelijke stroom"
"specials.name.intimidating_stance","Intimiderende houding"
"specials.name.invigorating_pollen","Opwindende pollen"
"specials.name.invigorating_soup","Inspirerende soep"
"specials.name.invisible_strike","Onzichtbare aanval"
"specials.name.iron_discipline_cut","IJzeren discipline"
"specials.name.iron_rocket_fist","IJzeren raketvuist"
"specials.name.ironbound_fury","IJzeren razernij"
"specials.name.jab_and_hook","Directe en Hoek"
"specials.name.jack_of_owl_trades","Manusje van uilen"
"specials.name.jackal_strike","Jakhalsaanval"
"specials.name.jade_blades","Jaden zwaarden"
"specials.name.jaw_clamp","Verspreidende vallen"
"specials.name.jaws_of_the_river","Kaken van de rivier"
"specials.name.jewel_of_the_deep","Juweel van de diepte"
"specials.name.join_in_joyful_song","Gezamenlijk vreugdevol lied"
"specials.name.joyful_noise","Vreugdevol geluid"
"specials.name.joyful_palette","Vreugdevol palet"
"specials.name.judgement_of_goo","Oordeel van slijm"
"specials.name.judgment_and_penance","Oordeel en boetedoening"
"specials.name.judgment_of_sun","Oordeel van de zon"
"specials.name.juggling_trials","Jongleerbeproevingen"
"specials.name.jungle_fury","Oerwoudwoede"
"specials.name.jungle_riposte","Jungleriposte"
"specials.name.jungle_slash","Moerasslag"
"specials.name.just_a_flesh_wound","Het is maar een schrammetje"
"specials.name.karnov","Aframmeling"
"specials.name.katana_rain","Katanaregen"
"specials.name.katana_rain_pve","Katanaregen"
"specials.name.keep_the_peace","Bewaar de vrede"
"specials.name.keyknife_typhoon","Sleutelmes-tyfoon"
"specials.name.khans_order","Khans bevel"
"specials.name.kindled_carpet","Ontvlamd tapijt"
"specials.name.kings_blood_poisoning","Ellendige nacht"
"specials.name.kings_curse","Zandstorm"
"specials.name.kings_curse_pve","Zandstorm"
"specials.name.kings_feast","Feestmaal voor de koning"
"specials.name.kite_of_endurance","Vlieger van weerstand"
"specials.name.kitten_stampede","Kittenstormloop"
"specials.name.knights_armor","Ridderpantser"
"specials.name.knights_fury","Ridderwoede"
"specials.name.knights_parry","Ridderafweer"
"specials.name.kong_smash","Kong-dreun"
"specials.name.kunai_assault","Kunai-aanval"
"specials.name.lacerating_leap","Kwellende sprong"
"specials.name.lacerating_letters","Kwellende letters"
"specials.name.lacerating_whip","Kwellende zweep"
"specials.name.ladys_charm","Vrouwelijke charme"
"specials.name.ladys_flowers","Damesbloemen"
"specials.name.lament_of_the_hunt","Klaagzang van de jacht"
"specials.name.lance_of_avarice","Lans van hebzucht"
"specials.name.lance_of_torment","Lans van kwelling"
"specials.name.lance_thrust","Lansstoot"
"specials.name.landslide","Steenlawine"
"specials.name.lantern_of_insanity","Lantaarn van waanzin"
"specials.name.larva_prescription","Larvenrecept"
"specials.name.lash_of_the_whip","Klappen van de zweep"
"specials.name.lasso_of_love","Lasso van liefde"
"specials.name.last_words","Laatste woorden"
"specials.name.laundry_day","Wasdag"
"specials.name.lava_blast","Lavaexplosie"
"specials.name.lava_spit","Lavaspuug"
"specials.name.lava_splash_dragon_pve","Geestesvuurplons"
"specials.name.lavablow","Vlammenaanval"
"specials.name.lavablow_pve","Vlammenaanval"
"specials.name.lavaslash","Lavaslag"
"specials.name.leaf_blast","Bladknaller"
"specials.name.leafglow_bloom","Bladergloedbloei"
"specials.name.leaping_attack","Sprongaanval"
"specials.name.leeching_saw","Uitzuigende zaag"
"specials.name.leeching_stars","Uitzuigende Sterren"
"specials.name.leeching_worms","Zuigende wormen"
"specials.name.legacy_of_darkness","Erfenis van het duister"
"specials.name.legerdemain","Gekonkel"
"specials.name.legerdemain_heart","Kruis"
"specials.name.legerdemain_joker","Sterren"
"specials.name.legerdemain_skull","Schedel"
"specials.name.legions_of_darkness","Legioenen van het duister"
"specials.name.legions_of_tyrant","Legioenen van de tiran"
"specials.name.lesson_in_clear_focus_pve","Les in heldere focus"
"specials.name.lesson_in_expecting_the_unexpected_pve","Les in het verwachten van het onverwachte"
"specials.name.lesson_in_fire_safety_pve","Les in brandveiligheid"
"specials.name.lesson_in_remaining_hydrated_pve","Les in gehydrateerd blijven"
"specials.name.lesson_in_staying_cool_pve","Les in koel blijven"
"specials.name.lethal_needles","Dodelijke naalden"
"specials.name.lethal_needles2","Dodelijke naalden"
"specials.name.levitating_lunchbox_deluxe","Oppeppende lunchbox deluxe"
"specials.name.lifeforce_leech","Levenskracht uitzuigen"
"specials.name.light_barrier_dragon_pve","Lichtbarrière"
"specials.name.light_grenades","Lichtgranaten"
"specials.name.light_grenades2","Lichtgranaten"
"specials.name.light_my_fire","Verlicht me"
"specials.name.lightning_charge","Bliksemontlading"
"specials.name.lightning_stream","Bliksemstroom"
"specials.name.lightning_stream2","Bliksemstroom"
"specials.name.lightning_ultimatum","Bliksemultimatum"
"specials.name.lightning_ultimatum_pve","Bliksemultimatum"
"specials.name.litter_of_kittens","Nestje kittens"
"specials.name.liturgy_of_the_fallen","Liturgie van de gevallenen"
"specials.name.looking_for_love","Op zoek naar liefde"
"specials.name.lookouts_refreshment","Versnapering van de uitkijk"
"specials.name.loom_of_destruction","Weefgetouw van verwoesting"
"specials.name.lord_of_the_jungle","Heer van de Jungle"
"specials.name.lords_blood_poisoning","Ellendige zonsopkomst"
"specials.name.love_at_first_sight","Liefde op het eerste gezicht"
"specials.name.love_conquers_all","Liefde kan alles verslaan"
"specials.name.love_conquers_all_pve","Liefde kan alles verslaan"
"specials.name.loving_queen","Liefhebbende koningin"
"specials.name.lucky_coin","Geluksmunt"
"specials.name.lucky_fu_jow_pai","Gelukkige Fu Jow Pai"
"specials.name.lucky_nine","Negen brengt geluk"
"specials.name.luminescent_electrocution","Lichtgevende elektrocutie"
"specials.name.luminous_lance","Lichtgevende lans"
"specials.name.lunar_blessing","Maanzegening"
"specials.name.lunar_blessing_moon_beam","Maanstraal"
"specials.name.lunar_bloom","Maanbloem"
"specials.name.lunar_locket","Maanmedaillon"
"specials.name.lunar_shield","Maanschild"
"specials.name.lunar_spear","Maanspeer"
"specials.name.luring_song","Lokkend lied"
"specials.name.machinists_cutlass","Kortelas van de machinist"
"specials.name.mad_as_a_hatter","Zo gek als de Maartse Haas"
"specials.name.mad_rat_mania","Rattenmanie"
"specials.name.mad_tea_party","Knotsgek theefeest"
"specials.name.madrigal_of_mayhem","Madrigaal van herrie"
"specials.name.mageball_blast","Toverbolknal"
"specials.name.mageball_blast_pve","Toverbolknal"
"specials.name.magic_mirror_of_power","Magische spiegel van kracht"
"specials.name.magical_balan","Betoverende balan"
"specials.name.magical_sword","Magisch zwaard"
"specials.name.magma_boulders","Blokken magma"
"specials.name.magma_smash","Magmaklap"
"specials.name.magmatic_burns","Magmatische brandwonden"
"specials.name.magmatic_tempest","Magmatische oproer"
"specials.name.magnificent_meal","Magnifieke maaltijd"
"specials.name.maidens_command","Commando van jonkvrouwe"
"specials.name.maidens_orders","Order van de jonkvrouwe"
"specials.name.make_them_harmless","Maak ze ongevaarlijk"
"specials.name.malevolent_toys","Kwaadaardig speelgoed"
"specials.name.malison_of_the_wildlands","Vloek van de wildernis"
"specials.name.mallet_swing_of_the_beast","Hamerzwaai van het beest"
"specials.name.mana_immolation","Opoffering van mana"
"specials.name.mana_manipulation","Manamanipulatie"
"specials.name.mana_scavange","Manaschraap"
"specials.name.mana_stealer","Oog van de profeet"
"specials.name.mantis_strike","Bidsprinkhaan-slag"
"specials.name.marble_frenzy","Marmergekte"
"specials.name.marc","Gestoorde uitval"
"specials.name.mark_of_anubis","Teken van Anubis"
"specials.name.mark_of_fire","Teken van vuur"
"specials.name.mark_of_ivy","Netelvloek"
"specials.name.mark_of_nature","Teken van natuur"
"specials.name.mark_of_the_jackal","Teken van de jakhals"
"specials.name.mark_the_prey","Markeer de prooi"
"specials.name.marked_aim","Gemarkeerd doelwit"
"specials.name.martial_dance","Kane-vermogen"
"specials.name.martial_masterstroke","Oosterse meesterslag"
"specials.name.martial_prowess","Krijgskunsten"
"specials.name.masons_rage","Metselaarswoede"
"specials.name.massive_bite","Massieve beet"
"specials.name.massive_chop","Massieve Houw"
"specials.name.massive_cleave","Massieve kliefaanval"
"specials.name.massive_swing","Reusachtige zwaai"
"specials.name.master_of_ailments","Meester van aandoeningen"
"specials.name.master_plan","Masterplan"
"specials.name.masterful_balance","Meesterlijke balans"
"specials.name.masterful_manipulation","Meesterlijke manipulatie"
"specials.name.mauling_tusk","Verscheurende slagtand"
"specials.name.mean_jab_dragon_pve","Gemene stoot"
"specials.name.mechanical_augmentations","Mechanische verbeteringen"
"specials.name.medicinal_drool","Medicinale kwijl"
"specials.name.medicinal_fumes","Medicinale dampen"
"specials.name.melody_harvest","Melodie-oogst"
"specials.name.melody_of_mana_control","Melodie van manabeheersing"
"specials.name.melody_of_misery","Melodie van miserie"
"specials.name.memory_manipulation","Geheugenmanipulatie"
"specials.name.memory_of_the_queen","Herinnering aan de keizerin"
"specials.name.mending_bronze_axe","Herstellende bronzen bijl"
"specials.name.mending_mantra","Herstellend mantra"
"specials.name.mending_stitches","Herstellende steken"
"specials.name.merciless_bite","Genadeloze Beet"
"specials.name.merciless_execution","Genadeloze executie"
"specials.name.merciless_pulverizer","Genadeloze verpletteraar"
"specials.name.merriest_misery","Vrolijk verdriet"
"specials.name.mesmerizing_mirror","Betoverende spiegel"
"specials.name.miasma_mace","Walmende knots"
"specials.name.midnight_magic","Magie om middernacht"
"specials.name.midnight_moon","Middernachtsmaan"
"specials.name.midnight_smite","Middernachtsdreun"
"specials.name.midnight_strike","Nachtelijke aanval"
"specials.name.midsummers_dream","Midzomernachtsdroom"
"specials.name.midsummers_reverie","Midzomerdroom"
"specials.name.might_of_ares","Kracht van Ares"
"specials.name.might_of_excalibroom","Macht van Excalibezem"
"specials.name.might_of_the_ice_giants","Macht van de IJsreuzen"
"specials.name.might_of_the_ice_giants_final","Macht van de IJsreuzen"
"specials.name.mimic_bite","Nabootserbeet"
"specials.name.mimic_bite_burn","Corrosieve beet"
"specials.name.mimic_bite2","Woeste nabootserbeet"
"specials.name.mimic_bite3","Nabootsershebzucht"
"specials.name.mimic_bite4","Nabootsersirritatie"
"specials.name.mimic_special","Geslepen monster"
"specials.name.mimic_special2","Geslepen monster"
"specials.name.mimic_training_hero_blue_bite","Hebzuchtige verslinding"
"specials.name.mimic_training_hero_green_bite","Hebzuchtige verslinding"
"specials.name.mimic_training_hero_purple_bite","Hebzuchtige verslinding"
"specials.name.mimic_training_hero_red_bite","Hebzuchtige verslinding"
"specials.name.mimic_training_hero_yellow_bite","Hebzuchtige verslinding"
"specials.name.mind_blast","Hersenknal"
"specials.name.mindless_attack","Hersenloze aanval"
"specials.name.minion_scrutiny","Volgelingentoezicht"
"specials.name.mischievous_flourish","Ondeugend opbloeien"
"specials.name.mischievous_flourish_pve_advanced","Ondeugend opbloeien"
"specials.name.mischievous_flourish_pve_normal","Ondeugend opbloeien"
"specials.name.mischievous_tiein","Ondeugende connectie"
"specials.name.missile_mania","Rakettenmanie"
"specials.name.mist_of_the_fallen","Nevel der gevallenen"
"specials.name.mistletoe_medley","Maretakmedley"
"specials.name.misty_punches","Mistige stoten"
"specials.name.mixed_green_herbs","Gemengde groene kruiden"
"specials.name.moldavite_wings","Vleugels van moldaviet"
"specials.name.molten_wax","Gesmolten was"
"specials.name.monastic_restraint","Kloosterachtige zelfbeheersing"
"specials.name.monstrous_bite","Monsterlijke beet"
"specials.name.moody_jab_dragon_pve","Humeurige stoot"
"specials.name.mooing_for_a_fight","Loeien voor een gevecht"
"specials.name.moon_boomerang","Maanboemerang"
"specials.name.moon_crush_beam","Maanpletstraal"
"specials.name.moonlight_crescendo","Maanlicht crescendo"
"specials.name.moonlight_serenade","Maanlicht Serenade"
"specials.name.moonlight_sonata","Maanlichtsonate"
"specials.name.moonstone_glare_dragon_pve","Glitter van de maansteen"
"specials.name.moreau_phase1_special","Verblindend venijn"
"specials.name.moreau_phase2_special1","Verblindend venijn"
"specials.name.moreau_phase2_special2","Verblindend venijn"
"specials.name.morning_catch","Ochtendvangst"
"specials.name.mother_dragons_love","Drakenmoederliefde"
"specials.name.motherly_care","Moederlijke zorg"
"specials.name.motherly_care_pve","Moederlijke zorg"
"specials.name.motherly_love","Moederliefde"
"specials.name.muffin_poisoning","Vergiftigde muffin"
"specials.name.multi_elemental_mark","Teken van multi-element"
"specials.name.multi_throw","Multiworp"
"specials.name.mummy_slash","Mummiehouw"
"specials.name.mummy_strike","Mummieslag"
"specials.name.musketeers_deal","Musketiersdeal"
"specials.name.musketeers_mead","Musketiersmede"
"specials.name.mutated_specimen","Gemuteerd specimen"
"specials.name.mutating_mixture","Muterende mix"
"specials.name.mystery_potions","Verrassingsdrankjes"
"specials.name.mystic_chop","Mystieke Houw"
"specials.name.mystical_concerto","Mystiek concert"
"specials.name.mystics_virtue","Mystieke deugd"
"specials.name.mythic_lightning","Mythische bliksem"
"specials.name.nasty_hammer","Gemene hamer"
"specials.name.natures_blessing","Berserkerwoede"
"specials.name.natures_connection","Verbond met de natuur"
"specials.name.natures_fury","Woede van de natuur"
"specials.name.natures_payback","Wraak van de natuur"
"specials.name.nebula_orb","Nevelbol"
"specials.name.nebula_orb_ultimate_boss","Nevelbol"
"specials.name.necronomicon_page_13","Necronomicon blz. 13"
"specials.name.nephrite_blade","Zwaard van nefriet"
"specials.name.nethershield","Schild uit de Onderwereld"
"specials.name.never_ending_winter","Nooit-eindigende winter"
"specials.name.night_falls","De avond valt"
"specials.name.night_of_crimes","Nacht van de misdaden"
"specials.name.nightbloom_dust","Nachtbloeistof"
"specials.name.nightglade_pollen","Pollen uit de nachtvallei"
"specials.name.nights_whisper","Nachtelijke fluister"
"specials.name.nimble_bite","Behendige beet"
"specials.name.nine_dragon_strike","Negen draken-aanval"
"specials.name.nobles_empathy","Adellijke empathie"
"specials.name.nobles_empathy_costume_artisan","Compassie van de kalligraaf"
"specials.name.nomadic_hymn","Nomadische hymne"
"specials.name.northern_wanderer","Vrolijke vervanging"
"specials.name.noxious_blossom","Ziekelijke bloesem"
"specials.name.noxious_chord","Verstikkend akkoord"
"specials.name.noxious_cleave","Ziekelijke houw"
"specials.name.noxious_cleave_pve","Ziekelijke houw"
"specials.name.nuts_of_yggdrasil","Noten van Yggdrasil"
"specials.name.oath_of_templar","Eed van de tempelier"
"specials.name.obliterating_surge","Verpulverende vlaag"
"specials.name.ocarina_windsong","Ocarina-windlied"
"specials.name.occult_redemption","Occulte bevrijding"
"specials.name.ocean_vortex","Oceaankolk"
"specials.name.oceanic_offensive","Oceaanoffensief"
"specials.name.oceanic_slayer","Getijdendoder"
"specials.name.oceanic_suffering","Oceanisch lijden"
"specials.name.oceanic_torrent","Oceanische stroom"
"specials.name.oceans_decay","Verval van de oceaan"
"specials.name.oceans_embrace","Omhelzing van de oceaan"
"specials.name.oceans_ruin","Ruïne van de oceaan"
"specials.name.odd_drum_roll","Vreemd tromgeroffel"
"specials.name.oji_waza","Oji-Waza"
"specials.name.old_curse","Oude vloek"
"specials.name.omega_flame","Omega-aanval"
"specials.name.omega_strike_dark","Omega-aanval"
"specials.name.omega_strike_fire","Omega-aanval"
"specials.name.omega_strike_holy","Omega-aanval"
"specials.name.omega_strike_ice","Omega-aanval"
"specials.name.omega_strike_nature","Omega-aanval"
"specials.name.omen_of_retribution","Voorbode van vergelding"
"specials.name.omnicure","Omnicure"
"specials.name.omniheal","Omnigenezing"
"specials.name.omnimend","Omniherstel"
"specials.name.one_hit_wonder","Eénklapper"
"specials.name.one_jump_ahead","Eén sprong voorwaarts"
"specials.name.one_spell_ahead","Eén spreuk voorsprong"
"specials.name.opposing_raid","Tegenaanval"
"specials.name.orchestra_of_candles","Orkest van kaarsen"
"specials.name.orchids_and_roses","Orchideeën en rozen"
"specials.name.order_ambush","Ordelijke hinderlaag"
"specials.name.order_ambush_pve","Ordelijke hinderlaag"
"specials.name.order_from_the_depths","Orders van de Diepten"
"specials.name.order_to_overwhelm","Bevel om te overweldigen"
"specials.name.orsoldoon","Örsöldöön"
"specials.name.overpowering_grip_dragon_pve","Overweldigende grip"
"specials.name.overvlowing_whirlwind","Overstromende wervelwind"
"specials.name.overwhelming_raid","Overweldigende overval"
"specials.name.owls_blessing","Uilenzegening"
"specials.name.pacifying_presence_dragon_pve","Kalmerende kracht"
"specials.name.pain_harvest","Pijnoogst"
"specials.name.paragon_of_constellations","Toonbeeld van constellaties"
"specials.name.paralyzing_spore","Verlammende spore"
"specials.name.parcel_of_the_dragon_familiar","Pakket van de beruchte draak"
"specials.name.passion_conquers_all","Passie overwint alles"
"specials.name.pathfinders_compass","Padvinderskompas"
"specials.name.paw_in_every_pie","Tengels in iedere taart"
"specials.name.pawns_of_divinity","Pionnen van goddelijkheid"
"specials.name.paws_or_claws","Poten of klauwen"
"specials.name.peach_of_immortality","Perzik der onsterfelijkheid"
"specials.name.pearls_of_rejuvenation","Parels van verjonging"
"specials.name.perfect_riposte","Perfecte Riposte"
"specials.name.perfect_shot","Perfect Schot"
"specials.name.perfect_teamwork","Perfect teamwerk"
"specials.name.perfume_cloud","Wolk van parfum"
"specials.name.perilous_gift","Gevaarlijk geschenk"
"specials.name.perilous_present_pve","Gevaarlijk geschenk"
"specials.name.perilous_waters","Gevaarlijke wateren"
"specials.name.perplexing_riddle","Hoofdbrekend raadsel"
"specials.name.pest_control","Ongediertebestrijding"
"specials.name.pet_larva","Tamme larve"
"specials.name.petals_of_nourishment","Bloemblaadjes van voeding"
"specials.name.petrifying_knuckles","Verstenende knokkels"
"specials.name.petrifying_performance","Verstenende prestatie"
"specials.name.picnic_in_the_sky","Picknick in de lucht"
"specials.name.pie_of_protection","Taart van bescherming"
"specials.name.piercing_falcon","Doorborende valk"
"specials.name.piercing_hit","Doorborende Klap"
"specials.name.piercing_practice_slash","Doorborende oefenslag"
"specials.name.piercing_sabre","Doorborend sabel"
"specials.name.piercing_scream_dragon_pve","Doordringende schreeuw"
"specials.name.piercing_shot","Doorborend schot"
"specials.name.piercing_strike","Doorborende Stoot"
"specials.name.piercing_tusk","Doorborende Slagtand"
"specials.name.pincer_claw","Scharenhouw"
"specials.name.pincer_claw_deadly","Scharenhouw"
"specials.name.pineapple_alchemist","Ananasalchemist"
"specials.name.pineapple_barbeque","Ananasbarbecue"
"specials.name.pirate_shot","Piratenschot"
"specials.name.pirates_vengeance","Piratenwraak"
"specials.name.pixie_dust","Pixiestof"
"specials.name.plague_bite","Plaagbeet"
"specials.name.plague_blade","Plaagzwaard"
"specials.name.planar_time_widget","Planar-tijdwidget"
"specials.name.planetary_charge","Planetaire aanval"
"specials.name.plantipede_sting","Plantenpotensteek"
"specials.name.plentiful_harvest","Rijke Oogst"
"specials.name.plentiful_minerals","Mineralen in overvloed"
"specials.name.plume_flash","Pluimflits"
"specials.name.poem_of_the_centaurs","Gedicht van de Centaurs"
"specials.name.poem_of_the_morass","Gedicht van het moeras"
"specials.name.poetic_justice","Poëtische rechtvaardigheid"
"specials.name.poets_protection","Dichtersbescherming"
"specials.name.pointy_darts","Puntige pijlen"
"specials.name.poison_bite","Giftige Beet"
"specials.name.poison_bite_dragon_pve","Giftige Beet"
"specials.name.poison_bolt_zidane","Gifstraal"
"specials.name.poison_claw","Giftige Klauw"
"specials.name.poison_jolt","Gifstoot"
"specials.name.poison_strike","Gifaanval"
"specials.name.poison_tipped_arrow","Pijl met gifpunt"
"specials.name.poison_web","Giftig web"
"specials.name.poisoned_blade","Giftig Lemmet"
"specials.name.poisoning_blade","Giftig lemmet"
"specials.name.poisonous_mist","Giftige mist"
"specials.name.poisonous_saliva","Giftig spuug"
"specials.name.polar_bash","IJsbeerslag"
"specials.name.polar_night_blizzard","Sneeuwstorm in de arctische nacht"
"specials.name.poleaxe_of_the_law","Hellebaard van de wet"
"specials.name.polestar_expedition","Poolsterexpeditie"
"specials.name.pompous_flex","Pompeuze samentrekking"
"specials.name.portents_of_future","Voortekenen van de toekomst"
"specials.name.possessed_strike","Bezeten aanval"
"specials.name.possessor_of_penance","Bezitter van boetedoening"
"specials.name.postal_pulverizer","Gestoorde vergruizer"
"specials.name.potion_cocktail","Cocktail van drankjes"
"specials.name.potions_of_covetous_desire","Toverdranken van begerig verlangen"
"specials.name.potions_of_covetous_desire_pve","Toverdranken van begerig verlangen"
"specials.name.potions_of_havoc_and_healing","Toverdranken van chaos en genezing"
"specials.name.pounce_of_the_lioness","Uitval van de leeuwin"
"specials.name.pounding_attack","Beukende aanval"
"specials.name.power_of_ajna","Kracht van Ajna"
"specials.name.power_of_flora","Kracht van Flora"
"specials.name.power_of_mjolnir","Kracht van Mjölnir"
"specials.name.power_of_the_forest","Kracht van het Woud"
"specials.name.power_of_the_void","Kracht van de leegte"
"specials.name.power_punch","Krachtstoot"
"specials.name.power_slam","Krachtige klap"
"specials.name.power_wave","Krachtgolf"
"specials.name.prayer_of_the_desert","Woestijngebed"
"specials.name.precious_pets","Waardevolle huisdieren"
"specials.name.precious_pets_pve_advanced","Waardevolle huisdieren"
"specials.name.precious_pets_pve_normal","Waardevolle huisdieren"
"specials.name.precise_chop","Precieze houw"
"specials.name.precise_riposte","Nauwkeurige riposte"
"specials.name.preserve_and_freeze","Behouden en bevriezen"
"specials.name.prestidigitation","Goochelarij"
"specials.name.prestidigitation_cross","Kruis"
"specials.name.prestidigitation_skull","Schedel"
"specials.name.prestidigitation_stars","Sterren"
"specials.name.primeval_glaive","Oerhellebaard"
"specials.name.princess_unleashed","Prinses ontketend"
"specials.name.prosperity_for_domain","Voorspoed voor het domein"
"specials.name.protective_aura","Beschermende aura"
"specials.name.protective_stance","Beschermende houding"
"specials.name.protector_of_the_blue_river","Beschermer van de Blauwe Rivier"
"specials.name.protein_corruption","Proteïnecorruptie"
"specials.name.protein_eater","Proteïne-eter"
"specials.name.pulsar_blast","Pulsarstoot"
"specials.name.pulsarstrike","Pulsaraanval"
"specials.name.pulverizing_ham","Vergruizende ham"
"specials.name.pummeling","Afranseling"
"specials.name.punishing_shot","Vernietigend schot"
"specials.name.punishing_shot_pve","Vernietigend schot"
"specials.name.punishing_strike","Afstraffende aanval"
"specials.name.puppy_tales","Puppyverhalen"
"specials.name.pure_shot","Zuiverend Schot"
"specials.name.purification","Reiniging"
"specials.name.purifying_flame","Zuiverende vlam"
"specials.name.purifying_flame_pve","Zuiverende vlam"
"specials.name.purifying_hit","Zuiverende Aanval"
"specials.name.purifying_ki","Zuiverende Ki"
"specials.name.purifying_light","Zuiverend licht"
"specials.name.purifying_strike","Zuiverende Slag"
"specials.name.purple_beetloid_bite","Paarse keveroïdenbeet"
"specials.name.pursuing_shot","Jagend schot"
"specials.name.putrid_perfume","Verrot parfum"
"specials.name.puzzling_paint","Raadselachtige beschildering"
"specials.name.puzzling_riddle","Verwarrend raadsel"
"specials.name.qilin_blade","Qilin-zwaard"
"specials.name.queen_of_cards","Kaartenkoningin"
"specials.name.queen_of_the_depths","Keizerin uit de diepte"
"specials.name.queen_of_the_depths_final","Keizerin uit de diepte"
"specials.name.queens_blood_poisoning","Ellendige zonsondergang"
"specials.name.queens_curse","Zandstorm"
"specials.name.queens_curse_pve","Zandstorm"
"specials.name.quick_and_nimble","Snel en wendbaar"
"specials.name.rabbits_watch","Horloge van Wit konijn"
"specials.name.raccoon_bite","Wasbeerbeet"
"specials.name.radiant_comeback","Stralende comeback"
"specials.name.radiant_rapid_fire","Stralend snelvuur"
"specials.name.radiant_shackles","Stralende schakels"
"specials.name.radiant_sweep_dragon_pve","Stralende veeg"
"specials.name.radiating_frost","Stralende vorst"
"specials.name.rage_of_grimnir","Woede van Grimnir"
"specials.name.raging_tempest","Razende oproer"
"specials.name.rain_of_arrows","Pijlenregen"
"specials.name.rain_of_fire","Vuurregen"
"specials.name.rain_of_fire_ultimate_boss","Vuurregen"
"specials.name.raising_morale","Verbeterd moreel"
"specials.name.rally_of_the_deep","Verzameling uit de Diepte"
"specials.name.ramming_pulverizer","Rammende Verpletteraar"
"specials.name.ramming_rush","Stormloop"
"specials.name.rapid_shots","Snelle Schoten"
"specials.name.rattle_of_confusion","Rammeling van verwarring"
"specials.name.ravaging_talons","Verwoestende klauwen"
"specials.name.ravening_blade","Roofzuchtig zwaard"
"specials.name.ravenous_pounce","Roofzuchtige uitval"
"specials.name.ravens_vigil","Waakzame raaf"
"specials.name.ravens_watch","Horloge van de raaf"
"specials.name.ray_strike","Straalaanval"
