"heroes.name_fancy.astral_cosmicspeaker","아스트랄 엘프 천문학자"
"heroes.name_fancy.masquerade_jove","가면을 쓴 하늘의 신"
"heroes.name_fancy.masquerade_umbria","가면을 쓴 그림자 여신"
"heroes.name_fancy.mighty_pet_barkley","퍼그 전쟁"
"heroes.name_fancy.mighty_pet_bubbles","환술 모방꾼"
"heroes.name_fancy.mighty_pet_chomper","햄스터 격투 챔피언"
"heroes.name_fancy.mighty_pet_cinnamon","북극권의 기사"
"heroes.name_fancy.mighty_pet_cupcake","굉장한 도적"
"heroes.name_fancy.mighty_pet_furdinand","송곳니 원정대의 악당"
"heroes.name_fancy.mighty_pet_hachiko","충성스런 강아지"
"heroes.name_fancy.mighty_pet_luna","초승달 부엉이"
"heroes.name_fancy.mighty_pet_ribbit","개구리 왕국의 검투사"
"heroes.name_fancy.mighty_pet_rufus","털복숭이 나무꾼"
"heroes.name_fancy.mighty_pet_snowball","앙큼한 길고양이"
"heroes.name_fancy.mighty_pet_toto","이야기꾼 개"
"heroes.name_fancy.mighty_pet_waddles","오리 근위대장"
"heroes.name_fancy.mimic_aether_blue","텅 빈 지팡이 보관함"
"heroes.name_fancy.mimic_aether_green","텅 빈 지팡이 보관함"
"heroes.name_fancy.mimic_aether_purple","텅 빈 지팡이 보관함"
"heroes.name_fancy.mimic_aether_red","텅 빈 지팡이 보관함"
"heroes.name_fancy.mimic_aether_yellow","텅 빈 지팡이 보관함"
"heroes.name_fancy.mimic_ascension_epic_yellow","작은 악마의 즐거운 은신처"
"heroes.name_fancy.mimic_ascension_item_blue","미소짓는 악마의 은신처"
"heroes.name_fancy.mimic_ascension_item_green","미소짓는 악마의 은신처"
"heroes.name_fancy.mimic_ascension_item_purple","미소짓는 악마의 은신처"
"heroes.name_fancy.mimic_ascension_item_red","미소짓는 악마의 은신처"
"heroes.name_fancy.mimic_ascension_item_yellow","미소짓는 악마의 은신처"
"heroes.name_fancy.mimic_emblem_blue","공포의 외눈 잠금상자"
"heroes.name_fancy.mimic_emblem_green","공포의 외눈 잠금상자"
"heroes.name_fancy.mimic_emblem_purple","공포의 외눈 잠금상자"
"heroes.name_fancy.mimic_emblem_red","공포의 외눈 잠금상자"
"heroes.name_fancy.mimic_emblem_yellow","공포의 외눈 잠금상자"
"heroes.name_fancy.mimic_experience_rare_red","작은 이빨의 보물창고"
"heroes.name_fancy.mimic_training_hero_blue","천 개 이빨의 보물 상자"
"heroes.name_fancy.mimic_training_hero_green","천 개 이빨의 보물 상자"
"heroes.name_fancy.mimic_training_hero_purple","천 개 이빨의 보물 상자"
"heroes.name_fancy.mimic_training_hero_red","천 개 이빨의 보물 상자"
"heroes.name_fancy.mimic_training_hero_yellow","천 개 이빨의 보물 상자"
"heroes.name_fancy.monster_hunter_adalinda","사냥꾼 공주"
"heroes.name_fancy.monster_hunter_amund","끈질긴 추적자"
"heroes.name_fancy.monster_hunter_basil","사냥의 쥐"
"heroes.name_fancy.monster_hunter_berit","베릴린 브루저"
"heroes.name_fancy.monster_hunter_bogart","습지 사냥꾼"
"heroes.name_fancy.monster_hunter_bonecrusher","실버백 족장"
"heroes.name_fancy.monster_hunter_cedar","침팬지 체인 챔피언"
"heroes.name_fancy.monster_hunter_cleaver","사냥꾼 족장"
"heroes.name_fancy.monster_hunter_dabria","사냥꾼 주술사"
"heroes.name_fancy.monster_hunter_dawn","사냥꾼 음유 시인"
"heroes.name_fancy.monster_hunter_dubhain","폭풍 신이 선택한 자"
"heroes.name_fancy.monster_hunter_ebba","사양꾼 용병"
"heroes.name_fancy.monster_hunter_edelaide","야생의 유목민"
"heroes.name_fancy.monster_hunter_fianna","숲 속의 덫사냥꾼"
"heroes.name_fancy.monster_hunter_goretooth","야만 사냥꾼"
"heroes.name_fancy.monster_hunter_greel","떠돌이 허풍쟁이"
"heroes.name_fancy.monster_hunter_hammertusk","건장하고 활동적인 야만전사"
"heroes.name_fancy.monster_hunter_hawthorn","사냥꾼 장인"
"heroes.name_fancy.monster_hunter_hurricane","원숭이 암살자"
"heroes.name_fancy.monster_hunter_kai","사냥꾼 기사"
"heroes.name_fancy.monster_hunter_knuckles","마카크 보초병"
"heroes.name_fancy.monster_hunter_maheegan","늑대 추적자"
"heroes.name_fancy.monster_hunter_malin","타이탄본 전사"
"heroes.name_fancy.monster_hunter_meadow","부족의 여자 사냥꾼"
"heroes.name_fancy.monster_hunter_mistweaver","오랑우탄 싸움꾼"
"heroes.name_fancy.monster_hunter_njal","북풍의 사냥꾼"
"heroes.name_fancy.monster_hunter_numbskull","비실비실 해골"
"heroes.name_fancy.monster_hunter_otis","헌터 블레이드마스터"
"heroes.name_fancy.monster_hunter_revna","카넬리안 사냥꾼"
"heroes.name_fancy.monster_hunter_ruadh","심연의 헌츠맨"
"heroes.name_fancy.monster_hunter_sigyn","전갈 조련사"
"heroes.name_fancy.monster_hunter_sorcha","집요한 사냥꾼"
"heroes.name_fancy.monster_hunter_sorrow","얼음 귀신"
"heroes.name_fancy.monster_hunter_staintongue","지치지 않는 사냥꾼"
"heroes.name_fancy.monster_hunter_sune","말라카이트 사냥꾼"
"heroes.name_fancy.monster_hunter_thunderclap","분노한 고릴라"
"heroes.name_fancy.monster_hunter_thura","별의 은총이 내린 사냥꾼"
"heroes.name_fancy.monster_hunter_tremor","비비 소드마스터"
"heroes.name_fancy.monster_hunter_waterpipe","작살 기술자"
"heroes.name_fancy.moth_auricarc","마스터 마크스모스"
"heroes.name_fancy.moth_chimister","랩모스"
"heroes.name_fancy.moth_chunkyroi","마르퀴스 나방"
"heroes.name_fancy.moth_furgeant","저거모스"
"heroes.name_fancy.moth_gardered","데어모스"
"heroes.name_fancy.moth_grovevert","나방 사육사"
"heroes.name_fancy.moth_joyvert","음악 모스우오소"
"heroes.name_fancy.moth_lilareine","마르키스 모스"
"heroes.name_fancy.moth_limeboire","나방 술집주인"
"heroes.name_fancy.moth_mortewitch","나방술사"
"heroes.name_fancy.moth_pepperbleu","나방법사"
"heroes.name_fancy.moth_rosepetite","젊은 나방 화가"
"heroes.name_fancy.moth_satinpimenter","클러기모스"
"heroes.name_fancy.moth_shyombre","그림자 나방"
"heroes.name_fancy.moth_tealmoine","안개의 나방"
"heroes.name_fancy.musketeer_aramis","로맨틱한 총사"
"heroes.name_fancy.musketeer_aramis_costume_boulanger","불랑제 총사"
"heroes.name_fancy.musketeer_athos","베테랑 총사"
"heroes.name_fancy.musketeer_athos_costume_farrier","대장장이 총사"
"heroes.name_fancy.musketeer_cardinal_richelieu","사기꾼 공작"
"heroes.name_fancy.musketeer_constance","용감한 총사"
"heroes.name_fancy.musketeer_dartagnan","열정적인 총사"
"heroes.name_fancy.musketeer_felton","타락한 어쌔신"
"heroes.name_fancy.musketeer_felton_costume_pirate","무정한 해적"
"heroes.name_fancy.musketeer_kitty","친절한 플로리스트"
"heroes.name_fancy.musketeer_milady_de_winter","음흉한 악녀"
"heroes.name_fancy.musketeer_planchet","용맹한 하인"
"heroes.name_fancy.musketeer_porthos","흥겨운 총사"
"heroes.name_fancy.musketeer_porthos_costume_merchant","상인 총사"
"heroes.name_fancy.musketeer_queen_anne","우아한 군주"
"heroes.name_fancy.musketeer_rochefort","무자비한 범죄자"
"heroes.name_fancy.musketeer_villiers","거만한 공작"
"heroes.name_fancy.musketeer_villiers_costume_jester","거만한 광대"
"heroes.name_fancy.mystery_enigmo","난제 소환"
"heroes.name_fancy.nature_god_balbar","식물학 은둔자"
"heroes.name_fancy.nature_god_bertila","녹색 기사"
"heroes.name_fancy.nature_god_bo_and_runt","무리의 우두머리"
"heroes.name_fancy.nature_god_chloris","꽃의 영혼"
"heroes.name_fancy.nature_god_cinisia","멜리아이  전쟁 마법사"
"heroes.name_fancy.nature_god_florenna","우아한 엘라포켄타우로스"
"heroes.name_fancy.nature_god_leadria","영원한 봄의 여왕"
"heroes.name_fancy.nature_god_liora","자비로운 도적"
"heroes.name_fancy.nature_god_mystia","매혹적인 마법사"
"heroes.name_fancy.nature_god_silvaria","숲의 신"
"heroes.name_fancy.nature_god_viselus","블라이트워커 드루이드"
"heroes.name_fancy.ninja_amethyst","은밀한 암살자"
"heroes.name_fancy.ninja_ametrine","숨은 날의 닌자"
"heroes.name_fancy.ninja_aurum","핏빛 쿠노이치"
"heroes.name_fancy.ninja_azurite","진정한 닌자"
"heroes.name_fancy.ninja_chikao","소리없는 습격자"
"heroes.name_fancy.ninja_cobalt","속삭이는 바다의 닌자"
"heroes.name_fancy.ninja_ekanite","시노비 부대 리더"
"heroes.name_fancy.ninja_garnet","솟구치는 활력의 닌자"
"heroes.name_fancy.ninja_iga","쿠나이 투척 마스터"
"heroes.name_fancy.ninja_ito","승부욕이 강한 시노비"
"heroes.name_fancy.ninja_jade","춤추는 별의 닌자"
"heroes.name_fancy.ninja_kinsaishi","천둥의 닌자 수도승"
"heroes.name_fancy.ninja_kushanku","속임수 전문가"
"heroes.name_fancy.ninja_malum","무자비한 시노비"
"heroes.name_fancy.ninja_mica","조용한 비명의 닌자"
"heroes.name_fancy.ninja_morganite","흩어지는 그림자의 닌자"
"heroes.name_fancy.ninja_myoinni","강력한 군주"
"heroes.name_fancy.ninja_nomad","침묵의 사형 집행인"
"heroes.name_fancy.ninja_oniwakamaru","999자루 검의 그림자 수도승"
"heroes.name_fancy.ninja_onyx","교묘한 바람의 닌자"
"heroes.name_fancy.ninja_osamu","엄격한 닌자"
"heroes.name_fancy.ninja_peridot","치명적인 독의 닌자"
"heroes.name_fancy.ninja_quartz","조용한 무덤의 닌자"
"heroes.name_fancy.ninja_ruby","붉은 귀신 닌자"
"heroes.name_fancy.ninja_sapphire","도약하는 그림자의 닌자"
"heroes.name_fancy.ninja_satsui","어둠 속 쿠노이치"
"heroes.name_fancy.ninja_sawano","충직한 쿠노이치"
"heroes.name_fancy.ninja_serandite","꿰뚫는 화염의 닌자"
"heroes.name_fancy.ninja_shale","하늘을 나는 활력의 닌자"
"heroes.name_fancy.ninja_tametomo","그레이트보우 사보투어"
"heroes.name_fancy.ninja_topaz","완벽한 정밀의 닌자"
"heroes.name_fancy.ninja_tora","조용한 사냥꾼"
"heroes.name_fancy.ninja_umeko","독화 닌자"
"heroes.name_fancy.ninja_zircon","조용한 파도의 닌자"
"heroes.name_fancy.nomad_axe_adventurer","용감한 현상금 사냥꾼"
"heroes.name_fancy.nomad_axe_adventurer_costume_cute","툰 바운티 헌터"
"heroes.name_fancy.nomad_axe_adventurer_costume_glass","유리 현상금 사냥꾼"
"heroes.name_fancy.nomad_axe_adventurer_costume_magma","맹렬한 현상금 사냥꾼"
"heroes.name_fancy.nomad_axe_adventurer_costume_tracker","용감한 추적자"
"heroes.name_fancy.nomad_female_archer","유능한 덫사냥꾼"
"heroes.name_fancy.nomad_female_assassin","모래바다 강도단"
"heroes.name_fancy.nomad_female_assassin_costume_cute","툰 바다의 침략자"
"heroes.name_fancy.nomad_female_assassin_costume_dancer","모래바다 무희"
"heroes.name_fancy.nomad_female_assassin_costume_glass","유리 바다의 약탈자"
"heroes.name_fancy.nomad_female_assassin_costume_poison","모래바다 암살자"
"heroes.name_fancy.nomad_female_berserker","드래고니아의 여사제"
"heroes.name_fancy.nomad_female_berserker_costume_cute","드래고니아의 툰"
"heroes.name_fancy.nomad_female_berserker_costume_glass","드라고니아의 비트레일"
"heroes.name_fancy.nomad_female_berserker_costume_shaman","드래고니아의 주술사"
"heroes.name_fancy.nomad_female_berserker_costume_sorceress","드래고니아의 마녀"
"heroes.name_fancy.nomad_female_captain","윈데머의 여군주"
"heroes.name_fancy.nomad_female_captain_costume_cute","윈데머의 툰"
"heroes.name_fancy.nomad_female_captain_costume_glass","윈데머의 비트레일"
"heroes.name_fancy.nomad_female_captain_costume_pirate","윈데머의 공포"
"heroes.name_fancy.nomad_female_captain_costume_thief","윈데머의 도둑 마스터"
"heroes.name_fancy.nomad_female_lord","근위대장"
"heroes.name_fancy.nomad_female_lord_costume_cute","왕실의 캡틴 툰"
"heroes.name_fancy.nomad_female_lord_costume_flame","불의 대장"
"heroes.name_fancy.nomad_female_lord_costume_glass","유리 경비대 대장"
"heroes.name_fancy.nomad_female_lord_costume_wicked","마녀 우두머리"
"heroes.name_fancy.nomad_female_shaman","승천의 주술사"
"heroes.name_fancy.nomad_female_shaman_costume_cute","떠오르는 툰"
"heroes.name_fancy.nomad_female_shaman_costume_glass","떠오르는 비트랄리"
"heroes.name_fancy.nomad_female_shaman_costume_native","승천의 치유술사"
"heroes.name_fancy.nomad_female_swordmaster","왕좌 탐색자"
"heroes.name_fancy.nomad_female_swordmaster_costume_cute","툰 시커"
"heroes.name_fancy.nomad_female_swordmaster_costume_glass","유리의 탐구자"
"heroes.name_fancy.nomad_female_swordmaster_costume_native","신 탐색자"
"heroes.name_fancy.nomad_female_thief","젊은 여행자"
"heroes.name_fancy.nomad_fighter","다부진 싸움꾼"
"heroes.name_fancy.nomad_mage","모래바다 마법사"
"heroes.name_fancy.nomad_mage_costume_cute","툰 바다 마법사"
"heroes.name_fancy.nomad_mage_costume_glass","유리 바다의 유목민"
"heroes.name_fancy.nomad_mage_costume_goggles","모래바다 마법학자"
"heroes.name_fancy.nomad_mage_costume_stylish","세련된 마법사"
"heroes.name_fancy.nomad_scout","교활한 용병 검사"
"heroes.name_fancy.nomad_shaman","고대신의 하수인"
"heroes.name_fancy.nordic_ancestral_warrior","어둠의 고아"
"heroes.name_fancy.nordic_ancestral_warrior_costume_corrupted","악의 계승자"
"heroes.name_fancy.nordic_ancestral_warrior_costume_cute","암흑 툰"
"heroes.name_fancy.nordic_ancestral_warrior_costume_glass","어둠의 비트레일"
"heroes.name_fancy.nordic_ancestral_warrior_costume_messenger","어둠의 전령"
"heroes.name_fancy.nordic_ancestral_warrior_costume_stylish","사악한 스타일의 후계자"
"heroes.name_fancy.nordic_chained_werewolf","흉포한 자"
"heroes.name_fancy.nordic_chained_werewolf_costume_cute","난폭한 툰"
"heroes.name_fancy.nordic_chained_werewolf_costume_glass","난폭한 유리"
"heroes.name_fancy.nordic_chained_werewolf_costume_raccoon","마늘 도둑"
"heroes.name_fancy.nordic_female_scout","매서운 여인"
"heroes.name_fancy.nordic_female_warrior","추방된 전사"
"heroes.name_fancy.nordic_ice_enchantress","글레이스홀름의 수호자"
"heroes.name_fancy.nordic_ice_enchantress_costume_aqua","글레이스홀름의 얼음 마녀"
"heroes.name_fancy.nordic_ice_enchantress_costume_cute","툰의 수호자"
"heroes.name_fancy.nordic_ice_enchantress_costume_glass","글레이스홀름의 비트랄리"
"heroes.name_fancy.nordic_ice_enchantress_costume_ruler","글레이스홀름의 군주"
"heroes.name_fancy.nordic_mage","글레이스홀름의 마법사"
"heroes.name_fancy.nordic_mage_costume_cute","글레이스홀름의 툰"
"heroes.name_fancy.nordic_mage_costume_glass","글레이스홀름의 비트랄리"
"heroes.name_fancy.nordic_mage_costume_hermit","글레이스홀름의 은둔자"
"heroes.name_fancy.nordic_male_lord","정의의 망치"
"heroes.name_fancy.nordic_male_lord_costume_cute","툰 파워의 망치"
"heroes.name_fancy.nordic_male_lord_costume_glass","유리 망치"
"heroes.name_fancy.nordic_male_lord_costume_injustice","불의의 망치"
"heroes.name_fancy.nordic_male_lord_costume_senior","정의의 도끼"
"heroes.name_fancy.nordic_male_lord_costume_stylish","세련된 성전사"
"heroes.name_fancy.nordic_swordman","질주하는 결투사"
"heroes.name_fancy.nordic_swordman_costume_climber","말쑥한 등반가"
"heroes.name_fancy.nordic_swordman_costume_cute","유능한 툰"
"heroes.name_fancy.nordic_swordman_costume_glass","유리 검투사"
"heroes.name_fancy.nordic_swordman_costume_stylish","세련된 검투사"
"heroes.name_fancy.nordic_warrior","태평한 모험가"
"heroes.name_fancy.orc_gladiator","단호한 검투사"
"heroes.name_fancy.orc_gladiator_costume_chef","주철 쉐프"
"heroes.name_fancy.orc_gladiator_costume_cute","단호한 툰"
"heroes.name_fancy.orc_gladiator_costume_glass","리플렉팅"
"heroes.name_fancy.orc_gladiator_costume_sage","떠돌이 현자"
"heroes.name_fancy.orc_gladiator_costume_stylish","팬시"
"heroes.name_fancy.orc_skirmisher","혼혈족 전사"
"heroes.name_fancy.orc_troopmaster","굶주린 자"
"heroes.name_fancy.orc_troopmaster_costume_cute","굶주린 툰"
"heroes.name_fancy.orc_troopmaster_costume_glass","굶주린 비트랄리"
"heroes.name_fancy.orc_troopmaster_costume_gourmet","쾌락주의자"
"heroes.name_fancy.orc_troopmaster_costume_merchant","탐욕스러운 자"
"heroes.name_fancy.orc_warrior","선봉장"
"heroes.name_fancy.orc_warrior_costume_cute","전투하는 최초의 툰"
"heroes.name_fancy.orc_warrior_costume_glass","최후의 산산조각"
"heroes.name_fancy.orc_warrior_costume_urukhai","불굴의 전사"
"heroes.name_fancy.oriental_brawler","고결한 파수꾼"
"heroes.name_fancy.oriental_brawler_costume_cute","툰 싸움꾼"
"heroes.name_fancy.oriental_brawler_costume_egypt","고결한 싸움꾼"
"heroes.name_fancy.oriental_brawler_costume_glass","유리 싸움꾼"
"heroes.name_fancy.oriental_enchanted_monk","태양의 불길"
"heroes.name_fancy.oriental_enchanted_monk_costume_cute","태양의 툰"
"heroes.name_fancy.oriental_enchanted_monk_costume_glass","태양의 비트레일"
"heroes.name_fancy.oriental_enchanted_monk_costume_stoneguard","태양의 수호자"
"heroes.name_fancy.oriental_enchanted_monk_costume_tiger","태양의 분노"
"heroes.name_fancy.oriental_falconer","전술의 대가"
"heroes.name_fancy.oriental_falconer_costume_cub","호랑이 대가"
"heroes.name_fancy.oriental_falconer_costume_cute","전략가 툰"
"heroes.name_fancy.oriental_falconer_costume_dodo","관리의 대가"
"heroes.name_fancy.oriental_falconer_costume_glass","유리 전술가"
"heroes.name_fancy.oriental_female_guard","샤구아드의 레인저"
"heroes.name_fancy.oriental_female_guard_costume_cute","샤구아드의 툰"
"heroes.name_fancy.oriental_female_guard_costume_glass","샤구아드의 비트레일"
"heroes.name_fancy.oriental_female_guard_costume_soldier","샤구아드 수호자"
"heroes.name_fancy.oriental_female_mage","헌신적인 치유사"
"heroes.name_fancy.oriental_female_mage_costume_cute","툰 힐러"
"heroes.name_fancy.oriental_female_mage_costume_glass","유리 치유사"
"heroes.name_fancy.oriental_female_mage_costume_mender","관대한 치유술사"
"heroes.name_fancy.oriental_female_mystic","대현자"
"heroes.name_fancy.oriental_female_mystic_costume_cute","툰 현자"
"heroes.name_fancy.oriental_female_mystic_costume_glass","유리 학자"
"heroes.name_fancy.oriental_female_mystic_costume_magician","최강 마법사"
"heroes.name_fancy.oriental_female_mystic_costume_scribe","최고 필경사"
"heroes.name_fancy.oriental_female_mystic_costume_stylish","세련된 학자"
"heroes.name_fancy.oriental_female_ninja","견습 닌자"
"heroes.name_fancy.oriental_female_templar","지혜로운 사령관"
"heroes.name_fancy.oriental_female_templar_costume_cute","툰 사령관"
"heroes.name_fancy.oriental_female_templar_costume_fireworks","불꽃놀이 장군"
"heroes.name_fancy.oriental_female_templar_costume_glass","유리 장군"
"heroes.name_fancy.oriental_female_templar_costume_kimono","의식 암살자"
"heroes.name_fancy.oriental_monkey_captain","원숭이 왕"
"heroes.name_fancy.oriental_monkey_captain_costume_cute","원숭이 툰"
"heroes.name_fancy.oriental_monkey_captain_costume_glass","유리 원숭이"
"heroes.name_fancy.oriental_monkey_captain_costume_reveller","원숭이 향연자"
"heroes.name_fancy.oriental_monkey_captain_costume_warrior","원숭이 낭인"
"heroes.name_fancy.oriental_monkey_warrior","원숭이 전사"
"heroes.name_fancy.oriental_panda_berserker","대나무 가지"
"heroes.name_fancy.oriental_panda_berserker_costume_cute","툰의 가지"
"heroes.name_fancy.oriental_panda_berserker_costume_farmer","대나무 뿌리"
"heroes.name_fancy.oriental_panda_berserker_costume_glass","유리 가지"
"heroes.name_fancy.oriental_panda_berserker_costume_stylish","생기 넘치는 대나무"
"heroes.name_fancy.oriental_panda_scout","대나무 잎"
"heroes.name_fancy.oriental_panda_warrior","대나무 줄기"
"heroes.name_fancy.oriental_panda_warrior_costume_armor","대나무 껍질"
"heroes.name_fancy.oriental_panda_warrior_costume_cute","대나무 툰"
"heroes.name_fancy.oriental_panda_warrior_costume_dueller","대나무 결투사"
"heroes.name_fancy.oriental_panda_warrior_costume_glass","유리 칼날"
"heroes.name_fancy.oriental_squire","대장장이의 조수"
"heroes.name_fancy.oriental_warrior","보병"
"heroes.name_fancy.oriental_warrior_king","고집불통 왕"
"heroes.name_fancy.oriental_warrior_king_costume_cute","불굴의 툰"
"heroes.name_fancy.oriental_warrior_king_costume_glass","불굴의 비트레일"
"heroes.name_fancy.oriental_warrior_king_costume_mage","고집 센 마법사"
"heroes.name_fancy.oriental_warrior_king_costume_roman","스파르타의 왕"
"heroes.name_fancy.outlaw_chao_gai","수호전의 탁탑천왕"
"heroes.name_fancy.outlaw_gu_dasao","수호전의 암호랑이"
"heroes.name_fancy.outlaw_hu_sanniang","수호전의 빛나는 별"
"heroes.name_fancy.outlaw_li_kui","수호전의 철우"
"heroes.name_fancy.outlaw_lin_chong","수호전의 표자두"
"heroes.name_fancy.outlaw_liu_tang","수호전의 적발귀"
"heroes.name_fancy.outlaw_lu_zhishen","수호전의 화화상"
"heroes.name_fancy.outlaw_ruan_xiaoqi","수호전의 천패성"
"heroes.name_fancy.outlaw_shi_jin","수호전의 구문룡"
"heroes.name_fancy.outlaw_song_jiang","수호전의 급시우"
"heroes.name_fancy.outlaw_sun_erniang","수호전의 지장성"
"heroes.name_fancy.outlaw_wu_song","수호전의 호랑이를 때려잡은 행자"
"heroes.name_fancy.outlaw_wu_yong","수호전의 지다성"
"heroes.name_fancy.outlaw_xiang_chong","수호전의 지비성"
"heroes.name_fancy.outlaw_zheng_tianshou","수호전의 백면낭군"
"heroes.name_fancy.owl_cennius","올빼미 탑의 숨겨진 발톱"
"heroes.name_fancy.owl_eron","올빼미 탑의 음유 시인"
"heroes.name_fancy.owl_featherino","올빼미 탑의 불안한 랩스컬리언"
"heroes.name_fancy.owl_fulvia","올빼미 탑의 여왕"
"heroes.name_fancy.owl_juliani","올빼미 탑의 판사"
"heroes.name_fancy.owl_livia","올빼미 탑의 여사제"
"heroes.name_fancy.owl_lodius","올빼미 탑의 광전사"
"heroes.name_fancy.owl_mariol","올빼미 탑의 조신"
"heroes.name_fancy.owl_olbec","올빼미 탑의 연금술사"
"heroes.name_fancy.owl_ommodus","올빼미 탑의 법률가"
"heroes.name_fancy.owl_paeia","올빼미 탑의 공주"
"heroes.name_fancy.owl_pertinax","올빼미 탑의 수호 기사"
"heroes.name_fancy.owl_relius","올빼미 탑의 약초꾼"
"heroes.name_fancy.owl_timius","올빼미 탑의 왕실 선봉대"
"heroes.name_fancy.owl_verus","올빼미 탑의 정찰대장"
"heroes.name_fancy.pirate_anne","코렐리아의 지도자"
"heroes.name_fancy.pirate_boatswain","코렐리아의 뱃사공"
"heroes.name_fancy.pirate_cabin_boy","코렐리아의 사환"
"heroes.name_fancy.pirate_cabin_boy_costume_paper","해안의 종이 소년"
"heroes.name_fancy.pirate_commodore_finley","코렐리아 준장"
"heroes.name_fancy.pirate_commodore_finley_costume_bleak","음산한 준장"
"heroes.name_fancy.pirate_dread_captain","코렐리아 공포 선장"
"heroes.name_fancy.pirate_dread_captain_costume_rotten","코렐리아의 부패한 선장"
"heroes.name_fancy.pirate_finley","코렐리아의 앙심 품은 키잡이"
"heroes.name_fancy.pirate_first_mate","코렐리아의 1등 항해사"
"heroes.name_fancy.pirate_lady","코렐리아의 여인"
"heroes.name_fancy.pirate_lady_costume_queen","반란군 여왕"
"heroes.name_fancy.pirate_marie_therese","코렐리아의 부두 여왕"
"heroes.name_fancy.pirate_marie_therese_costume_priestess","영혼을 훔치는 여사제"
"heroes.name_fancy.pirate_sally","코렐리아의 마스코트"
"heroes.name_fancy.pirate_swashbuckler","코렐리아의 해적 선장"
"heroes.name_fancy.pirate_vodnik","코렐리아의 어부"
"heroes.name_fancy.rabbit_blue","스프링베일의 수호자"
"heroes.name_fancy.rabbit_blue_costume_riftbreaker","균열 파괴자"
"heroes.name_fancy.rabbit_green","스프링베일의 챔피언"
"heroes.name_fancy.rabbit_green_costume_egg_hunter","스프링베일의 달걀 사냥꾼"
"heroes.name_fancy.rabbit_red","스프링베일의 견습기사"
"heroes.name_fancy.royal_female_knight","결연한 챔피언"
"heroes.name_fancy.royal_female_knight_costume_cute","챔피언 툰"
"heroes.name_fancy.royal_female_knight_costume_glass","유리 챔피언"
"heroes.name_fancy.royal_female_knight_costume_prospector","불굴의 탐사자"
"heroes.name_fancy.royal_female_knight_costume_winter","바이킹 투사"
"heroes.name_fancy.royal_knight","수호기사"
"heroes.name_fancy.royal_knight_commander","프로스트모로의 주인"
"heroes.name_fancy.royal_knight_commander_costume_cute","툰 프로스트모로우"
"heroes.name_fancy.royal_knight_commander_costume_glass","프로스트모로우의 비트레일"
"heroes.name_fancy.royal_knight_commander_costume_gryphon","프로스트모로우 사령관"
"heroes.name_fancy.royal_knight_commander_costume_king","프로스트모로 왕"
"heroes.name_fancy.royal_knight_costume_blacksmith","용감한 대장장이"
"heroes.name_fancy.royal_knight_costume_cute","툰 기사"
"heroes.name_fancy.royal_knight_costume_glass","유리 기사"
"heroes.name_fancy.royal_pikeman","근엄한 파수병"
"heroes.name_fancy.s2_ariel","아틀란티스의 공주"
"heroes.name_fancy.s2_ariel_costume_cute","툰 아틀란티스의 공주"
"heroes.name_fancy.s2_ariel_costume_enchanter","아틀란티스의 마법사"
"heroes.name_fancy.s2_atlantean_robot","아틀란티스의 감시자"
"heroes.name_fancy.s2_atlantean_robot_costume_cute","아틀란티스인 감시자 툰"
"heroes.name_fancy.s2_atlantean_robot_costume_sentinel","아틀란티스의 센티널"
"heroes.name_fancy.s2_chameleon_bruiser","카멜레온 전사"
"heroes.name_fancy.s2_chameleon_chief","카멜레온 사령관"
"heroes.name_fancy.s2_chameleon_chief_costume_heavyweight","월드 헤비급 챔피언"
"heroes.name_fancy.s2_chameleon_mage","카멜레온 주술사"
"heroes.name_fancy.s2_chameleon_mage_costume_alchemist","카멜레온 연금술사"
"heroes.name_fancy.s2_chameleon_mage_costume_cute","툰 카멜레온 주술사"
"heroes.name_fancy.s2_croc_man","늪지 건달"
"heroes.name_fancy.s2_cursed_samurai","저주받은 전투대장"
"heroes.name_fancy.s2_cursed_samurai_costume_beetle","딱정벌레 사무라이"
"heroes.name_fancy.s2_cursed_samurai_costume_cute","저주받은 툰로드"
"heroes.name_fancy.s2_demon_master","기만적인 다이묘"
"heroes.name_fancy.s2_demon_master_costume_cute","기만의 툰"
"heroes.name_fancy.s2_demon_master_costume_steppe","교활한 케프투울"
"heroes.name_fancy.s2_fiji_mermaid","얄팍한 사냥꾼"
"heroes.name_fancy.s2_fiji_mermaid_costume_cute","툰 헌터"
"heroes.name_fancy.s2_fiji_mermaid_costume_hunter","얄팍한 추격자"
"heroes.name_fancy.s2_fox_girl","구미호 유령"
"heroes.name_fancy.s2_fox_girl_costume_cute","구미 툰"
"heroes.name_fancy.s2_fox_girl_costume_white_kitsune","백여우 유령"
"heroes.name_fancy.s2_ghost_woman","외로운 유령"
"heroes.name_fancy.s2_ghost_woman_costume_yurei","외톨이 유령"
"heroes.name_fancy.s2_hammerhead_hulk","야만적인 도살자"
"heroes.name_fancy.s2_hammerhead_hulk_costume_emerald","야만 검투사"
"heroes.name_fancy.s2_junglehunter","정글의 왕자"
"heroes.name_fancy.s2_junglehunter_costume_cute","정글의 툰"
"heroes.name_fancy.s2_junglehunter_costume_party","루아우의 왕자"
"heroes.name_fancy.s2_lantern_ghost","등불 요괴"
"heroes.name_fancy.s2_mercenary_woman","당당한 용병"
"heroes.name_fancy.s2_mercenary_woman_costume_dancer","눈부신 훌라 댄서"
