"heroes.name_fancy.astral_cosmicspeaker","アストラルエルフの天文学者"
"heroes.name_fancy.magic_carpet_lando","魔法の絨毯の術師"
"heroes.name_fancy.magic_carpet_lilli","魔法の絨毯のキャットレディ"
"heroes.name_fancy.magic_carpet_manpip","不安な魔法の絨毯の乗り手"
"heroes.name_fancy.magic_carpet_naeem","魔法の絨毯で彷徨う者"
"heroes.name_fancy.magic_carpet_ragrim","魔法のカーペットの植物学者"
"heroes.name_fancy.magic_carpet_shareef","止まることなきウィザード"
"heroes.name_fancy.magic_carpet_zazha","魔法の絨毯の修繕師"
"heroes.name_fancy.magic_cristobal","魅惑の教授"
"heroes.name_fancy.magic_cristobal_costume_emerald","魔法の教授"
"heroes.name_fancy.magic_dolgoon","博学な司書"
"heroes.name_fancy.magic_jett","生贄の使者"
"heroes.name_fancy.magic_jett_costume_eyes","裁きの使者"
"heroes.name_fancy.magic_kornel","ベテランの世話役"
"heroes.name_fancy.magic_lucy","魔球の天才"
"heroes.name_fancy.magic_milena","奥義の教師"
"heroes.name_fancy.magic_milena_costume_ice","極寒魔術の教師"
"heroes.name_fancy.magic_motega","庭師の親方"
"heroes.name_fancy.magic_nadezhda","タワー寮長"
"heroes.name_fancy.magic_nadezhda_costume_postmaster","タワー郵政局長"
"heroes.name_fancy.magic_ray","法廷の王者"
"heroes.name_fancy.magic_ray_costume_spiky","ベリーの王者"
"heroes.name_fancy.magic_roxia","古代の落書きマニア"
"heroes.name_fancy.magic_sergei","奥義の生徒"
"heroes.name_fancy.magic_telonius","森のケンタウルス"
"heroes.name_fancy.magic_telonius_costume_brew","酒場のケンタウルス"
"heroes.name_fancy.magic_ulius","風変わりなウィザードの発明家"
"heroes.name_fancy.magic_ulius_costume_buccaneer","風変わりな謎の海賊"
"heroes.name_fancy.magic_vaishali","神秘的なチェス・マスター"
"heroes.name_fancy.magic_vaishali_costume_chef","神秘のパイ職人"
"heroes.name_fancy.magic_willow","空中浮遊師"
"heroes.name_fancy.magitech_sniper","魔導スナイパー"
"heroes.name_fancy.magitech_sniper_costume_cute","アニメ風のスナイパー"
"heroes.name_fancy.magitech_sniper_costume_glass","ガラスのスナイパー"
"heroes.name_fancy.magitech_sniper_costume_steampunk","スチームパンク スナイパー"
"heroes.name_fancy.magitech_sniper_costume_stylish","スタイリッシュなスナイパー"
"heroes.name_fancy.magitech_sniper_costume_undead","アンデッド・スナイパー"
"heroes.name_fancy.mahayoddha_ajay","ウルミの戦士"
"heroes.name_fancy.mahayoddha_ali","才能ある小間使いの少年"
"heroes.name_fancy.mahayoddha_bhairavi_devi","ひょうきんな女戦士"
"heroes.name_fancy.mahayoddha_bhima","ヴァーユの子"
"heroes.name_fancy.mahayoddha_bonga","カゴの作り手"
"heroes.name_fancy.mahayoddha_chitrangada","マニプラの戦姫"
"heroes.name_fancy.mahayoddha_devyani","獰猛なる戦姫"
"heroes.name_fancy.mahayoddha_jyoti","チャリの踊り手"
"heroes.name_fancy.mahayoddha_meenakshi","ヤシの実売りの女"
"heroes.name_fancy.mahayoddha_rafeeq","抜け目ない政治家"
"heroes.name_fancy.mahayoddha_ustad_anand","王宮のパフォーマー"
"heroes.name_fancy.mahayoddha_veer","誇りにあふれた暗殺者"
"heroes.name_fancy.masquerade_alessia","アラディアの支持者"
"heroes.name_fancy.masquerade_aradia","仮面を付けた魔女の女神"
"heroes.name_fancy.masquerade_carmenta","仮面を付けた魔法の女神"
"heroes.name_fancy.masquerade_cel","仮面を付けた地球の女神"
"heroes.name_fancy.masquerade_februus","仮面を付けた浄化の神"
"heroes.name_fancy.masquerade_fortuna","仮面を付けた運命の女神"
"heroes.name_fancy.masquerade_fosco","フェブルウスの支持者"
"heroes.name_fancy.masquerade_jana","仮面を付けた月の女神"
"heroes.name_fancy.masquerade_jove","仮面を付けた空の神"
"heroes.name_fancy.masquerade_umbria","仮面を付けた影の女神"
"heroes.name_fancy.mighty_pet_barkley","パグの戦士"
"heroes.name_fancy.mighty_pet_bubbles","幻術のコピーキャット"
"heroes.name_fancy.mighty_pet_chomper","喧嘩自慢のハムスター"
"heroes.name_fancy.mighty_pet_cinnamon","北極圏の騎士"
"heroes.name_fancy.mighty_pet_cupcake","鋭い爪を持つ盗賊"
"heroes.name_fancy.mighty_pet_furdinand","犬の遠征隊のごろつき"
"heroes.name_fancy.mighty_pet_hachiko","忠実な子犬"
"heroes.name_fancy.mighty_pet_luna","三日月のフクロウ"
"heroes.name_fancy.mighty_pet_ribbit","フロッグ王国の剣闘士"
"heroes.name_fancy.mighty_pet_rufus","毛深い木こり"
"heroes.name_fancy.mighty_pet_snowball","鋭い爪を持つ野良猫"
"heroes.name_fancy.mighty_pet_toto","犬の語り手"
"heroes.name_fancy.mighty_pet_waddles","アヒル騎兵隊隊長"
"heroes.name_fancy.mimic_aether_blue","飢えた錫杖の宝箱"
"heroes.name_fancy.mimic_aether_green","飢えた錫杖の宝箱"
"heroes.name_fancy.mimic_aether_purple","飢えた錫杖の宝箱"
"heroes.name_fancy.mimic_aether_red","飢えた錫杖の宝箱"
"heroes.name_fancy.mimic_aether_yellow","飢えた錫杖の宝箱"
"heroes.name_fancy.mimic_ascension_epic_yellow","不敵に笑う小悪の宝箱"
"heroes.name_fancy.mimic_ascension_item_blue","不敵に笑う悪の宝箱"
"heroes.name_fancy.mimic_ascension_item_green","不敵に笑う悪の宝箱"
"heroes.name_fancy.mimic_ascension_item_purple","不敵に笑う悪の宝箱"
"heroes.name_fancy.mimic_ascension_item_red","不敵に笑う悪の宝箱"
"heroes.name_fancy.mimic_ascension_item_yellow","不敵に笑う悪の宝箱"
"heroes.name_fancy.mimic_emblem_blue","恐ろしげな一つ目の鍵付き宝箱"
"heroes.name_fancy.mimic_emblem_green","恐ろしげな一つ目の鍵付き宝箱"
"heroes.name_fancy.mimic_emblem_purple","恐ろしげな一つ目の鍵付き宝箱"
"heroes.name_fancy.mimic_emblem_red","恐ろしげな一つ目の鍵付き宝箱"
"heroes.name_fancy.mimic_emblem_yellow","恐ろしげな一つ目の鍵付き宝箱"
"heroes.name_fancy.mimic_experience_rare_red","小さな歯の宝庫"
"heroes.name_fancy.mimic_training_hero_blue","サウザンド・ティースの宝庫"
"heroes.name_fancy.mimic_training_hero_green","サウザンド・ティースの宝庫"
"heroes.name_fancy.mimic_training_hero_purple","サウザンド・ティースの宝庫"
"heroes.name_fancy.mimic_training_hero_red","サウザンド・ティースの宝庫"
"heroes.name_fancy.mimic_training_hero_yellow","サウザンド・ティースの宝庫"
"heroes.name_fancy.mimic_troop_blue","恐怖の武器の褒賞"
"heroes.name_fancy.mimic_troop_green","恐怖の武器の褒賞"
"heroes.name_fancy.mimic_troop_purple","恐怖の武器の褒賞"
"heroes.name_fancy.mimic_troop_red","恐怖の武器の褒賞"
"heroes.name_fancy.mimic_troop_yellow","恐怖の武器の褒賞"
"heroes.name_fancy.monster_hunter_adalinda","ハンターの王女"
"heroes.name_fancy.monster_hunter_amund","粘り強い追跡者"
"heroes.name_fancy.monster_hunter_basil","マウスハンター"
"heroes.name_fancy.monster_hunter_berit","緑柱石の乱暴者"
"heroes.name_fancy.monster_hunter_bogart","沼地のハンター"
"heroes.name_fancy.monster_hunter_bonecrusher","シルバーバックのリーダー"
"heroes.name_fancy.monster_hunter_cedar","チンパンジーの鎖使い"
"heroes.name_fancy.monster_hunter_cleaver","ハンターの首長"
"heroes.name_fancy.monster_hunter_dabria","オカルトハンター"
"heroes.name_fancy.monster_hunter_dawn","ハンターの吟遊詩人"
"heroes.name_fancy.monster_hunter_dubhain","嵐神に選ばれし者"
"heroes.name_fancy.monster_hunter_ebba","ハンターの傭兵"
"heroes.name_fancy.monster_hunter_edelaide","荒野の放浪者"
"heroes.name_fancy.monster_hunter_fianna","森の罠師"
"heroes.name_fancy.monster_hunter_goretooth","野蛮なハンター"
"heroes.name_fancy.monster_hunter_greel","野生の荒くれ者"
"heroes.name_fancy.monster_hunter_hammertusk","頑健で怪力のバーバリアン"
"heroes.name_fancy.monster_hunter_hawthorn","ハンターの職工"
"heroes.name_fancy.monster_hunter_hurricane","猿の暗殺者"
"heroes.name_fancy.monster_hunter_kai","ハンターの騎士"
"heroes.name_fancy.monster_hunter_knuckles","マカクザルの兵士"
"heroes.name_fancy.monster_hunter_maheegan","オオカミの追跡者"
"heroes.name_fancy.monster_hunter_malin","巨体の戦士"
"heroes.name_fancy.monster_hunter_meadow","部族の女ハンター"
"heroes.name_fancy.monster_hunter_mistweaver","オラウータンの格闘家"
"heroes.name_fancy.monster_hunter_njal","北風の狩人"
"heroes.name_fancy.monster_hunter_numbskull","不器用な骸骨"
"heroes.name_fancy.monster_hunter_otis","ハンターのブレードマスター"
"heroes.name_fancy.monster_hunter_revna","カーネリアンの狩人"
"heroes.name_fancy.monster_hunter_ruadh","深淵の狩人"
"heroes.name_fancy.monster_hunter_sigyn","サソリ使い"
"heroes.name_fancy.monster_hunter_sorcha","頑固な狩人"
"heroes.name_fancy.monster_hunter_sorrow","氷の亡霊"
"heroes.name_fancy.monster_hunter_staintongue","無慈悲なハンター"
"heroes.name_fancy.monster_hunter_sune","孔雀石の狩人"
"heroes.name_fancy.monster_hunter_thunderclap","憤怒したゴリラ"
"heroes.name_fancy.monster_hunter_thura","星に祝福されし狩人"
"heroes.name_fancy.monster_hunter_tremor","ヒヒの剣豪"
"heroes.name_fancy.monster_hunter_waterpipe","ハープーン使い"
"heroes.name_fancy.moth_auricarc","マスター・マークスモス"
"heroes.name_fancy.moth_chimister","蛾の科学者"
"heroes.name_fancy.moth_chunkyroi","侯爵蛾"
"heroes.name_fancy.moth_furgeant","蛾のジャガーノート"
"heroes.name_fancy.moth_gardered","勇敢な蛾"
"heroes.name_fancy.moth_grovevert","小蛾の飼育者"
"heroes.name_fancy.moth_joyvert","蛾の名音楽家"
"heroes.name_fancy.moth_lilareine","蛾の侯爵夫人"
"heroes.name_fancy.moth_limeboire","蛾のバーテンダー"
"heroes.name_fancy.moth_mortewitch","蛾遣い"
"heroes.name_fancy.moth_pepperbleu","蛾法使い"
"heroes.name_fancy.moth_rosepetite","若き蛾の絵描き"
"heroes.name_fancy.moth_satinpimenter","蛾神官"
"heroes.name_fancy.moth_shyombre","影の蛾"
"heroes.name_fancy.moth_tealmoine","霧の蛾"
"heroes.name_fancy.musketeer_aramis","ロマンチストの銃士"
"heroes.name_fancy.musketeer_aramis_costume_boulanger","パン作りの銃士"
"heroes.name_fancy.musketeer_athos","熟練の銃士"
"heroes.name_fancy.musketeer_athos_costume_farrier","蹄鉄作りの銃士"
"heroes.name_fancy.musketeer_cardinal_richelieu","狡猾なる公爵"
"heroes.name_fancy.musketeer_constance","勇敢な銃士"
"heroes.name_fancy.musketeer_constance_costume_fusilier","勇敢な小銃兵"
"heroes.name_fancy.musketeer_dartagnan","情熱の銃士"
"heroes.name_fancy.musketeer_dartagnan_costume_chimney_sweeper","熱心な煙突掃除"
"heroes.name_fancy.musketeer_felton","下劣な暗殺者"
"heroes.name_fancy.musketeer_felton_costume_pirate","無慈悲な海賊"
"heroes.name_fancy.musketeer_kitty","フレンドリーな花屋"
"heroes.name_fancy.musketeer_kitty_costume_harvester","親切な果物収穫者"
"heroes.name_fancy.musketeer_milady_de_winter","策謀家の悪女"
"heroes.name_fancy.musketeer_milady_de_winter_costume_herbalist","策略家の薬草学者"
"heroes.name_fancy.musketeer_planchet","勇敢な従者"
"heroes.name_fancy.musketeer_planchet_costume_adventurer","勇猛な冒険家"
"heroes.name_fancy.musketeer_porthos","陽気な銃士"
"heroes.name_fancy.musketeer_porthos_costume_merchant","商売人の銃士"
"heroes.name_fancy.musketeer_queen_anne","優雅な君主"
"heroes.name_fancy.musketeer_rochefort","無慈悲な悪漢"
"heroes.name_fancy.musketeer_rochefort_costume_ratcatcher","無慈悲なネズミ捕り"
"heroes.name_fancy.musketeer_villiers","尊大なる公爵"
"heroes.name_fancy.musketeer_villiers_costume_jester","尊大なる道化師"
"heroes.name_fancy.mystery_enigmo","謎かけ師"
"heroes.name_fancy.nature_god_balbar","植物学者の世捨て人"
"heroes.name_fancy.nature_god_bertila","緑の騎士"
"heroes.name_fancy.nature_god_bo_and_runt","群れのリーダー"
"heroes.name_fancy.nature_god_chloris","花の精霊"
"heroes.name_fancy.nature_god_cinisia","メリアイの戦闘魔導士"
"heroes.name_fancy.nature_god_coleston","阻止不能のハーフリング"
"heroes.name_fancy.nature_god_florenna","優美なるシカのケンタウロス"
"heroes.name_fancy.nature_god_leadria","永遠の春の女王"
"heroes.name_fancy.nature_god_liora","慈悲深い盗賊"
"heroes.name_fancy.nature_god_mystia","魅惑の女魔法使い"
"heroes.name_fancy.nature_god_silvaria","森の神"
"heroes.name_fancy.nature_god_viselus","身体の不自由なドルイド僧"
"heroes.name_fancy.ninja_amethyst","闇の暗殺者"
"heroes.name_fancy.ninja_ametrine","隠し刃のニンジャ"
"heroes.name_fancy.ninja_aurum","紅の女忍者"
"heroes.name_fancy.ninja_azurite","監視役の忍者"
"heroes.name_fancy.ninja_chikao","沈黙の攻撃者"
"heroes.name_fancy.ninja_cobalt","ささやく海のニンジャ"
"heroes.name_fancy.ninja_ekanite","忍の部隊長"
"heroes.name_fancy.ninja_garnet","高まる活力のニンジャ"
"heroes.name_fancy.ninja_iga","クナイの嵐の達人"
"heroes.name_fancy.ninja_ito","征伐の忍"
"heroes.name_fancy.ninja_jade","踊る星のニンジャ"
"heroes.name_fancy.ninja_kinsaishi","電光石火のニンジャ僧"
"heroes.name_fancy.ninja_kushanku","プロの詐欺師"
"heroes.name_fancy.ninja_malum","冷酷なる忍"
"heroes.name_fancy.ninja_mica","沈黙の叫びのニンジャ"
"heroes.name_fancy.ninja_morganite","消えゆく影のニンジャ"
"heroes.name_fancy.ninja_myoinni","最強の旗本"
"heroes.name_fancy.ninja_nomad","沈黙の処刑人"
"heroes.name_fancy.ninja_oniwakamaru","九百九十九振の影の僧"
"heroes.name_fancy.ninja_onyx","突風のニンジャ"
"heroes.name_fancy.ninja_osamu","鉄の掟の忍者"
"heroes.name_fancy.ninja_peridot","猛毒のニンジャ"
"heroes.name_fancy.ninja_quartz","静かな墓場のニンジャ"
"heroes.name_fancy.ninja_ruby","赤鬼のニンジャ"
"heroes.name_fancy.ninja_sapphire","跳躍する影のニンジャ"
"heroes.name_fancy.ninja_satsui","影の女忍者"
"heroes.name_fancy.ninja_sawano","信義に厚い女忍者"
"heroes.name_fancy.ninja_serandite","突き刺しの炎のニンジャ"
"heroes.name_fancy.ninja_shale","活力のニンジャ"
"heroes.name_fancy.ninja_tametomo","大弓の破壊者"
"heroes.name_fancy.ninja_topaz","完全無欠のニンジャ"
"heroes.name_fancy.ninja_tora","沈黙の女狩人"
"heroes.name_fancy.ninja_umeko","毒花の忍者"
"heroes.name_fancy.ninja_zircon","沈黙の波のニンジャ"
"heroes.name_fancy.nomad_axe_adventurer","勇猛なる賞金稼ぎ"
"heroes.name_fancy.nomad_axe_adventurer_costume_cute","アニメ風の賞金稼ぎ"
"heroes.name_fancy.nomad_axe_adventurer_costume_glass","ガラスの賞金稼ぎ"
"heroes.name_fancy.nomad_axe_adventurer_costume_magma","炎の賞金稼ぎ"
"heroes.name_fancy.nomad_axe_adventurer_costume_stylish","スタイリッシュな賞金稼ぎ"
"heroes.name_fancy.nomad_axe_adventurer_costume_tracker","勇敢な狩猟ハンター"
"heroes.name_fancy.nomad_female_archer","熟練の罠師"
"heroes.name_fancy.nomad_female_assassin","砂海の旅団"
"heroes.name_fancy.nomad_female_assassin_costume_cute","アニメ風の砂海の旅団"
"heroes.name_fancy.nomad_female_assassin_costume_dancer","砂海の踊り手"
"heroes.name_fancy.nomad_female_assassin_costume_glass","ガラスの海の略奪者"
"heroes.name_fancy.nomad_female_assassin_costume_poison","砂海の暗殺者"
"heroes.name_fancy.nomad_female_berserker","ドラゴニアの女祭司"
"heroes.name_fancy.nomad_female_berserker_costume_cute","アニメ風のドラゴニア"
"heroes.name_fancy.nomad_female_berserker_costume_glass","ドラゴニアのヴィトレイル"
"heroes.name_fancy.nomad_female_berserker_costume_shaman","ドラゴニアのシャーマン"
"heroes.name_fancy.nomad_female_berserker_costume_sorceress","ドラゴニアの女術士"
"heroes.name_fancy.nomad_female_berserker_costume_stylish","スタイリッシュな女祭司"
"heroes.name_fancy.nomad_female_captain","ウィンデメルの女史"
"heroes.name_fancy.nomad_female_captain_costume_cute","アニメ風のウィンデメルの女史"
"heroes.name_fancy.nomad_female_captain_costume_glass","ウィンデメルのヴィトレイル"
"heroes.name_fancy.nomad_female_captain_costume_pirate","ウィンデメルの恐怖"
"heroes.name_fancy.nomad_female_captain_costume_stylish","お洒落なウィンデメルの女史"
"heroes.name_fancy.nomad_female_captain_costume_thief","ウィンデメルの大泥棒"
"heroes.name_fancy.nomad_female_lord","王国騎兵隊隊長"
"heroes.name_fancy.nomad_female_lord_costume_cute","アニメ風の王国騎兵隊長"
"heroes.name_fancy.nomad_female_lord_costume_flame","炎の隊長"
"heroes.name_fancy.nomad_female_lord_costume_glass","ガラス騎兵隊隊長"
"heroes.name_fancy.nomad_female_lord_costume_wicked","悪人のリーダー"
"heroes.name_fancy.nomad_female_shaman","上位のシャーマン"
"heroes.name_fancy.nomad_female_shaman_costume_cute","アニメ風の先祖"
"heroes.name_fancy.nomad_female_shaman_costume_glass","先祖のヴィトレイル"
"heroes.name_fancy.nomad_female_shaman_costume_native","上位の修繕師"
"heroes.name_fancy.nomad_female_swordmaster","王座を求めし者"
"heroes.name_fancy.nomad_female_swordmaster_costume_cute","アニメ風の探求者"
"heroes.name_fancy.nomad_female_swordmaster_costume_glass","ガラスの探求者"
"heroes.name_fancy.nomad_female_swordmaster_costume_native","神々を求めし者"
"heroes.name_fancy.nomad_female_swordmaster_costume_stylish","スタイルの探究者"
"heroes.name_fancy.nomad_female_thief","若き旅人"
"heroes.name_fancy.nomad_fighter","荒くれ者"
"heroes.name_fancy.nomad_mage","砂海の魔術師"
"heroes.name_fancy.nomad_mage_costume_cute","アニメ風の砂海の魔術師"
"heroes.name_fancy.nomad_mage_costume_glass","ガラスの海の遊牧民"
"heroes.name_fancy.nomad_mage_costume_goggles","砂海のウィザード"
"heroes.name_fancy.nomad_mage_costume_stylish","スタイリッシュな魔術師"
"heroes.name_fancy.nomad_scout","狡猾なる傭兵"
"heroes.name_fancy.nomad_shaman","いにしえの者の下僕"
"heroes.name_fancy.nordic_ancestral_warrior","闇の孤児"
"heroes.name_fancy.nordic_ancestral_warrior_costume_corrupted","イビルの継承者"
"heroes.name_fancy.nordic_ancestral_warrior_costume_cute","アニメ風の闇の使者"
"heroes.name_fancy.nordic_ancestral_warrior_costume_glass","闇のヴィトレイル"
"heroes.name_fancy.nordic_ancestral_warrior_costume_messenger","闇の使者"
"heroes.name_fancy.nordic_ancestral_warrior_costume_stylish","スタイリッシュな悪魔の後継者"
"heroes.name_fancy.nordic_chained_werewolf","猛る者"
"heroes.name_fancy.nordic_chained_werewolf_costume_cute","アニメ風の猛者"
"heroes.name_fancy.nordic_chained_werewolf_costume_glass","猛りのガラス"
"heroes.name_fancy.nordic_chained_werewolf_costume_raccoon","ニンニク泥棒"
"heroes.name_fancy.nordic_female_scout","残忍なる乙女"
"heroes.name_fancy.nordic_female_warrior","流浪の戦士"
"heroes.name_fancy.nordic_ice_enchantress","グレイスホルムの守護者"
"heroes.name_fancy.nordic_ice_enchantress_costume_aqua","グレイスホルムの氷魔女"
"heroes.name_fancy.nordic_ice_enchantress_costume_cute","アニメ風の守護者"
"heroes.name_fancy.nordic_ice_enchantress_costume_glass","グレイスホルムのヴィトレイル"
"heroes.name_fancy.nordic_ice_enchantress_costume_ruler","グレイスホルムの支配者"
"heroes.name_fancy.nordic_mage","グレイスホルムの魔術師"
"heroes.name_fancy.nordic_mage_costume_cute","アニメ風グレイスホルム"
"heroes.name_fancy.nordic_mage_costume_glass","グレイスホルムのヴィトレイル"
"heroes.name_fancy.nordic_mage_costume_hermit","グレイスホルムの世捨て人"
"heroes.name_fancy.nordic_male_lord","正義の鉄槌"
"heroes.name_fancy.nordic_male_lord_costume_cute","アニメ風のハンマー使い"
"heroes.name_fancy.nordic_male_lord_costume_glass","ガラスの鉄槌"
"heroes.name_fancy.nordic_male_lord_costume_injustice","邪悪な鉄槌"
"heroes.name_fancy.nordic_male_lord_costume_senior","正義の斧"
"heroes.name_fancy.nordic_male_lord_costume_stylish","スタイリッシュなパラディン"
"heroes.name_fancy.nordic_swordman","勇ましき決闘者"
"heroes.name_fancy.nordic_swordman_costume_climber","爽やかな登山者"
"heroes.name_fancy.nordic_swordman_costume_cute","アニメ風の才ある剣士"
"heroes.name_fancy.nordic_swordman_costume_glass","ガラスの決闘者"
"heroes.name_fancy.nordic_swordman_costume_stylish","スタイリッシュな決闘者"
"heroes.name_fancy.nordic_warrior","気ままな冒険者"
"heroes.name_fancy.orc_gladiator","揺るぎなき者"
"heroes.name_fancy.orc_gladiator_costume_chef","鋳鉄のシェフ"
"heroes.name_fancy.orc_gladiator_costume_cute","アニメ風の揺るぎなき剣闘士"
"heroes.name_fancy.orc_gladiator_costume_glass","反射ガラス"
"heroes.name_fancy.orc_gladiator_costume_sage","凶暴な賢人"
"heroes.name_fancy.orc_gladiator_costume_stylish","空想の存在"
"heroes.name_fancy.orc_skirmisher","ハーフブラッドの戦士"
"heroes.name_fancy.orc_troopmaster","飢者"
"heroes.name_fancy.orc_troopmaster_costume_cute","アニメ風の飢えし者"
"heroes.name_fancy.orc_troopmaster_costume_glass","空腹のヴィトレイル"
"heroes.name_fancy.orc_troopmaster_costume_gourmet","美食家"
"heroes.name_fancy.orc_troopmaster_costume_merchant","貪欲者"
"heroes.name_fancy.orc_warrior","先陣者"
"heroes.name_fancy.orc_warrior_costume_cute","アニメ風の一番乗り"
"heroes.name_fancy.orc_warrior_costume_glass","最後に散る者"
"heroes.name_fancy.orc_warrior_costume_urukhai","最後まで奮闘する者"
"heroes.name_fancy.oriental_brawler","高貴なる守護者"
"heroes.name_fancy.oriental_brawler_costume_cute","アニメ風の荒くれ者"
"heroes.name_fancy.oriental_brawler_costume_egypt","高貴なる荒くれ者"
"heroes.name_fancy.oriental_brawler_costume_glass","ガラスの荒くれ者"
"heroes.name_fancy.oriental_enchanted_monk","太陽光炎"
"heroes.name_fancy.oriental_enchanted_monk_costume_cute","アニメ風のサン"
"heroes.name_fancy.oriental_enchanted_monk_costume_glass","太陽のヴィトレイル"
"heroes.name_fancy.oriental_enchanted_monk_costume_stoneguard","太陽のつわもの"
"heroes.name_fancy.oriental_enchanted_monk_costume_stylish","スタイリッシュな太陽僧"
"heroes.name_fancy.oriental_enchanted_monk_costume_tiger","太陽の憤怒"
"heroes.name_fancy.oriental_falconer","戦略家"
"heroes.name_fancy.oriental_falconer_costume_cub","タイガーマスター"
"heroes.name_fancy.oriental_falconer_costume_cute","アニメ風の戦術家"
"heroes.name_fancy.oriental_falconer_costume_dodo","マスター保存修復士"
"heroes.name_fancy.oriental_falconer_costume_glass","ガラスの戦術家"
"heroes.name_fancy.oriental_female_guard","シャガドのレンジャー"
"heroes.name_fancy.oriental_female_guard_costume_cute","アニメ風のシャガド"
"heroes.name_fancy.oriental_female_guard_costume_glass","シャガドのヴィトレイル"
"heroes.name_fancy.oriental_female_guard_costume_soldier","シャグアのガーディアン"
"heroes.name_fancy.oriental_female_mage","無私の治療師"
"heroes.name_fancy.oriental_female_mage_costume_cute","アニメ風の治療師"
"heroes.name_fancy.oriental_female_mage_costume_glass","ガラスの治療師"
"heroes.name_fancy.oriental_female_mage_costume_mender","壮大な修繕師"
"heroes.name_fancy.oriental_female_mage_costume_stylish","お洒落な治療師"
"heroes.name_fancy.oriental_female_mystic","最高学位者"
"heroes.name_fancy.oriental_female_mystic_costume_cute","アニメ風の学者"
"heroes.name_fancy.oriental_female_mystic_costume_glass","ガラスの学者"
"heroes.name_fancy.oriental_female_mystic_costume_magician","最高位魔術師"
"heroes.name_fancy.oriental_female_mystic_costume_scribe","偉大なる書記"
"heroes.name_fancy.oriental_female_mystic_costume_stylish","スタイリッシュな学者"
"heroes.name_fancy.oriental_female_ninja","ニンジャ見習い"
"heroes.name_fancy.oriental_female_templar","賢将軍"
"heroes.name_fancy.oriental_female_templar_costume_cute","アニメ風の将軍"
"heroes.name_fancy.oriental_female_templar_costume_fireworks","花火の将軍"
"heroes.name_fancy.oriental_female_templar_costume_glass","ガラスの将軍"
"heroes.name_fancy.oriental_female_templar_costume_kimono","儀礼のアサシン"
"heroes.name_fancy.oriental_female_templar_costume_stylish","お洒落な将軍"
"heroes.name_fancy.oriental_monkey_captain","猿王"
"heroes.name_fancy.oriental_monkey_captain_costume_cute","アニメ風猿"
"heroes.name_fancy.oriental_monkey_captain_costume_glass","ガラスの猿"
"heroes.name_fancy.oriental_monkey_captain_costume_reveller","猿の大酒飲み"
"heroes.name_fancy.oriental_monkey_captain_costume_warrior","猿の浪人"
"heroes.name_fancy.oriental_monkey_warrior","猿戦士"
"heroes.name_fancy.oriental_panda_berserker","竹の枝"
"heroes.name_fancy.oriental_panda_berserker_costume_cute","アニメ風のパンダの戦士"
"heroes.name_fancy.oriental_panda_berserker_costume_farmer","竹の根"
"heroes.name_fancy.oriental_panda_berserker_costume_glass","ガラスの枝"
"heroes.name_fancy.oriental_panda_berserker_costume_stylish","活力に満ちた竹"
"heroes.name_fancy.oriental_panda_scout","竹の葉"
"heroes.name_fancy.oriental_panda_warrior","竹の刃"
"heroes.name_fancy.oriental_panda_warrior_costume_armor","竹の樹皮"
"heroes.name_fancy.oriental_panda_warrior_costume_cute","アニメ風の竹戦士"
"heroes.name_fancy.oriental_panda_warrior_costume_dueller","竹使い"
"heroes.name_fancy.oriental_panda_warrior_costume_glass","ガラスの刃"
"heroes.name_fancy.oriental_squire","鍛冶屋見習い"
"heroes.name_fancy.oriental_warrior","歩兵"
"heroes.name_fancy.oriental_warrior_king","不屈王"
"heroes.name_fancy.oriental_warrior_king_costume_cute","アニメ風の不屈の戦士"
"heroes.name_fancy.oriental_warrior_king_costume_glass","不屈のヴィトレイル"
"heroes.name_fancy.oriental_warrior_king_costume_mage","不屈の魔術師"
"heroes.name_fancy.oriental_warrior_king_costume_roman","スパルタの王"
"heroes.name_fancy.oriental_warrior_king_costume_stylish","スタイルキング"
"heroes.name_fancy.outlaw_chao_gai","『水滸伝』の晁天王"
"heroes.name_fancy.outlaw_gu_dasao","『水滸伝』の母大虫"
"heroes.name_fancy.outlaw_hu_sanniang","『水滸伝』の一丈青"
"heroes.name_fancy.outlaw_li_kui","『水滸伝』の鉄牛"
"heroes.name_fancy.outlaw_lin_chong","『水滸伝』の豹子頭"
"heroes.name_fancy.outlaw_liu_tang","『水滸伝』の赤髮鬼"
"heroes.name_fancy.outlaw_lu_zhishen","『水滸伝』の花和尚"
"heroes.name_fancy.outlaw_ruan_xiaoqi","『水滸伝』の活閻羅"
"heroes.name_fancy.outlaw_shi_jin","『水滸伝』の九紋龍"
"heroes.name_fancy.outlaw_song_jiang","『水滸伝』の呼保義"
"heroes.name_fancy.outlaw_sun_erniang","『水滸伝』の母夜叉"
"heroes.name_fancy.outlaw_wu_song","『水滸伝』の打虎英雄"
"heroes.name_fancy.outlaw_wu_yong","『水滸伝』の智多星"
"heroes.name_fancy.outlaw_xiang_chong","『水滸伝』の八臂哪吒"
"heroes.name_fancy.outlaw_zheng_tianshou","『水滸伝』の白面郎君"
"heroes.name_fancy.owl_cennius","オウルタワーの秘密の爪"
"heroes.name_fancy.owl_eron","オウルタワーの吟遊詩人"
"heroes.name_fancy.owl_featherino","オウルタワーの臆病者の悪党"
"heroes.name_fancy.owl_fulvia","オウルタワーの女王"
"heroes.name_fancy.owl_juliani","オウルタワーの大司法官"
