"heroes.name_fancy.astral_cosmicspeaker","Astral-elvernes astronom"
"heroes.name_fancy.mahayoddha_ali","Begavet stikirenddreng"
"heroes.name_fancy.mahayoddha_bhima","Søn af Vayu"
"heroes.name_fancy.mahayoddha_bonga","Kurvefletter"
"heroes.name_fancy.mahayoddha_chitrangada","Krigerprinsesse fra Manipura"
"heroes.name_fancy.mahayoddha_devyani","Skrap krigerprinsesse"
"heroes.name_fancy.mahayoddha_jyoti","Chari-danser"
"heroes.name_fancy.mahayoddha_meenakshi","Coconut Chechi"
"heroes.name_fancy.mahayoddha_rafeeq","Dreven politiker"
"heroes.name_fancy.mahayoddha_ustad_anand","Kongelig artist"
"heroes.name_fancy.mahayoddha_veer","Stolt snigmorder"
"heroes.name_fancy.masquerade_alessia","Tilhænger af Aradia"
"heroes.name_fancy.masquerade_aradia","Heksekunstens maskerede gudinde"
"heroes.name_fancy.masquerade_carmenta","Besværgelsernes maskerede gudinde"
"heroes.name_fancy.masquerade_cel","Maskeret jordgudinde"
"heroes.name_fancy.masquerade_februus","Renselsens maskerede gud"
"heroes.name_fancy.masquerade_fortuna","Maskeret skæbnegudinde"
"heroes.name_fancy.masquerade_fosco","Tilhænger af Februus"
"heroes.name_fancy.masquerade_jana","Maskeret månegudinde"
"heroes.name_fancy.masquerade_jove","Maskeret himmelgud"
"heroes.name_fancy.masquerade_umbria","Maskeret skyggegudinde"
"heroes.name_fancy.mighty_pet_barkley","Krigens mops"
"heroes.name_fancy.mighty_pet_bubbles","Illusionernes kunsts efteraber"
"heroes.name_fancy.mighty_pet_chomper","Hamster-kampmester"
"heroes.name_fancy.mighty_pet_cinnamon","Polarkredsens ridder"
"heroes.name_fancy.mighty_pet_cupcake","Klodyl bandit"
"heroes.name_fancy.mighty_pet_furdinand","Hundeekspeditionens bølle"
"heroes.name_fancy.mighty_pet_hachiko","Hengiven hundehvalp"
"heroes.name_fancy.mighty_pet_luna","Halvmåneugle"
"heroes.name_fancy.mighty_pet_ribbit","Frøkongerigets gladiator"
"heroes.name_fancy.mighty_pet_rufus","Pelset skovhugger"
"heroes.name_fancy.mighty_pet_snowball","Klodyl strejferkat"
"heroes.name_fancy.mighty_pet_toto","Historiefortællende hund"
"heroes.name_fancy.mighty_pet_waddles","Kaptajn for Andevagten"
"heroes.name_fancy.mimic_aether_blue","Tomme stavlagre"
"heroes.name_fancy.mimic_aether_green","Tomme stavlagre"
"heroes.name_fancy.mimic_aether_purple","Tomme stavlagre"
"heroes.name_fancy.mimic_aether_red","Tomme stavlagre"
"heroes.name_fancy.mimic_aether_yellow","Tomme stavlagre"
"heroes.name_fancy.mimic_ascension_epic_yellow","Smilende lager af mindre ondskab"
"heroes.name_fancy.mimic_ascension_item_blue","Smilende lager af ondskab"
"heroes.name_fancy.mimic_ascension_item_green","Smilende lager af ondskab"
"heroes.name_fancy.mimic_ascension_item_purple","Smilende lager af ondskab"
"heroes.name_fancy.mimic_ascension_item_red","Smilende lager af ondskab"
"heroes.name_fancy.mimic_ascension_item_yellow","Smilende lager af ondskab"
"heroes.name_fancy.mimic_emblem_blue","Rædselsvækkende enøjet pengeskrin"
"heroes.name_fancy.mimic_emblem_green","Rædselsvækkende enøjet pengeskrin"
"heroes.name_fancy.mimic_emblem_purple","Rædselsvækkende enøjet pengeskrin"
"heroes.name_fancy.mimic_emblem_red","Rædselsvækkende enøjet pengeskrin"
"heroes.name_fancy.mimic_emblem_yellow","Rædselsvækkende enøjet pengeskrin"
"heroes.name_fancy.mimic_experience_rare_red","Samling af småbitte tænder"
"heroes.name_fancy.mimic_training_hero_blue","De tusind tænders skat"
"heroes.name_fancy.mimic_training_hero_green","De tusind tænders skat"
"heroes.name_fancy.mimic_training_hero_purple","De tusind tænders skat"
"heroes.name_fancy.mimic_training_hero_red","De tusind tænders skat"
"heroes.name_fancy.mimic_training_hero_yellow","De tusind tænders skat"
"heroes.name_fancy.monster_hunter_adalinda","Jægerprinsesse"
"heroes.name_fancy.monster_hunter_amund","Stædig spejder"
"heroes.name_fancy.monster_hunter_basil","Jagtmus"
"heroes.name_fancy.monster_hunter_berit","Beryllisk slagsbror"
"heroes.name_fancy.monster_hunter_bogart","Marskjæger"
"heroes.name_fancy.monster_hunter_bonecrusher","Sølvrygshøvding"
"heroes.name_fancy.monster_hunter_cedar","Chimpansernes kædemester"
"heroes.name_fancy.monster_hunter_cleaver","Jægerhøvding"
"heroes.name_fancy.monster_hunter_dabria","Jæger-okkultist"
"heroes.name_fancy.monster_hunter_dawn","Jægerskjald"
"heroes.name_fancy.monster_hunter_dubhain","Stormgudens udvalgte"
"heroes.name_fancy.monster_hunter_ebba","Jægerlejesoldat"
"heroes.name_fancy.monster_hunter_edelaide","Vildmarkens nomade"
"heroes.name_fancy.monster_hunter_fianna","Fældeopsætter fra skoven"
"heroes.name_fancy.monster_hunter_goretooth","Vild jæger"
"heroes.name_fancy.monster_hunter_greel","Vild vovehals"
"heroes.name_fancy.monster_hunter_hammertusk","Berserkerbarbar"
"heroes.name_fancy.monster_hunter_hawthorn","Rejsende jæger"
"heroes.name_fancy.monster_hunter_hurricane","Abesnigmorder"
"heroes.name_fancy.monster_hunter_kai","Jægerridder"
"heroes.name_fancy.monster_hunter_knuckles","Makak-skildvagt"
"heroes.name_fancy.monster_hunter_maheegan","Ulvesporer"
"heroes.name_fancy.monster_hunter_malin","Kriger med titanknogler"
"heroes.name_fancy.monster_hunter_meadow","Stammejægerinde"
"heroes.name_fancy.monster_hunter_mistweaver","Orangutan-bølle"
"heroes.name_fancy.monster_hunter_njal","Nordenvindens jæger"
"heroes.name_fancy.monster_hunter_numbskull","Klodset skelet"
"heroes.name_fancy.monster_hunter_otis","Jagtivrig klingemester"
"heroes.name_fancy.monster_hunter_revna","Karneoljæger"
"heroes.name_fancy.monster_hunter_ruadh","Dybets jæger"
"heroes.name_fancy.monster_hunter_sigyn","Skorpiontræner"
"heroes.name_fancy.monster_hunter_sorcha","Vedholdende jæger"
"heroes.name_fancy.monster_hunter_sorrow","Frossen ånd"
"heroes.name_fancy.monster_hunter_staintongue","Ubønhørlig jæger"
"heroes.name_fancy.monster_hunter_sune","Malakitjæger"
"heroes.name_fancy.monster_hunter_thunderclap","Rasende gorilla"
"heroes.name_fancy.monster_hunter_thura","Stjernesignet jæger"
"heroes.name_fancy.monster_hunter_tremor","Bavian-sværdmester"
"heroes.name_fancy.monster_hunter_waterpipe","Harpunsmed"
"heroes.name_fancy.moth_auricarc","Møl-mesterskytten"
"heroes.name_fancy.moth_chimister","Laboratorienatsværmeren"
"heroes.name_fancy.moth_chunkyroi","Mølmarquis"
"heroes.name_fancy.moth_furgeant","Mastosværmeren"
"heroes.name_fancy.moth_gardered","Vovesværmeren"
"heroes.name_fancy.moth_grovevert","Mølavler"
"heroes.name_fancy.moth_joyvert","Musikmøl"
"heroes.name_fancy.moth_lilareine","Markisesværmeren"
"heroes.name_fancy.moth_limeboire","Møl-krovært"
"heroes.name_fancy.moth_mortewitch","Møl-romancer"
"heroes.name_fancy.moth_pepperbleu","Mølmatiker"
"heroes.name_fancy.moth_rosepetite","Ung mølmaler"
"heroes.name_fancy.moth_satinpimenter","Møl-akademiker"
"heroes.name_fancy.moth_shyombre","Skyggemøl"
"heroes.name_fancy.moth_tealmoine","Tågens møl"
"heroes.name_fancy.musketeer_aramis","Romantisk musketer"
"heroes.name_fancy.musketeer_aramis_costume_boulanger","Boulanger-musketer"
"heroes.name_fancy.musketeer_athos","Veteran-musketer"
"heroes.name_fancy.musketeer_athos_costume_farrier","Beslagsmedsmusketer"
"heroes.name_fancy.musketeer_cardinal_richelieu","Tvetydig hertug"
"heroes.name_fancy.musketeer_constance","Modig musketer"
"heroes.name_fancy.musketeer_dartagnan","Lidenskabelig musketer"
"heroes.name_fancy.musketeer_felton","Lastefuld snigmorder"
"heroes.name_fancy.musketeer_felton_costume_pirate","Barket pirat"
"heroes.name_fancy.musketeer_kitty","Venlig blomsterhandler"
"heroes.name_fancy.musketeer_milady_de_winter","Ondskabsfuld skurkinde"
"heroes.name_fancy.musketeer_planchet","Modig tjener"
"heroes.name_fancy.musketeer_porthos","Lykkelig musketer"
"heroes.name_fancy.musketeer_porthos_costume_merchant","Handelsmusketer"
"heroes.name_fancy.musketeer_queen_anne","Elegant monark"
"heroes.name_fancy.musketeer_rochefort","Nådesløs skurk"
"heroes.name_fancy.musketeer_villiers","Hoven hertug"
"heroes.name_fancy.musketeer_villiers_costume_jester","Pompøs hofnar"
"heroes.name_fancy.mystery_enigmo","Hidkalder gåde"
"heroes.name_fancy.nature_god_balbar","Botaniker og eneboer"
"heroes.name_fancy.nature_god_bertila","Den grønne ridder"
"heroes.name_fancy.nature_god_bo_and_runt","Flokkens ledere"
"heroes.name_fancy.nature_god_chloris","Floral Spirit"
"heroes.name_fancy.nature_god_cinisia","Meliai Warmage"
"heroes.name_fancy.nature_god_florenna","Yndefuld hjortekentaur"
"heroes.name_fancy.nature_god_leadria","Dronning af den evige kilde"
"heroes.name_fancy.nature_god_liora","Den godmodige bandit"
"heroes.name_fancy.nature_god_mystia","Fascinerende fortryller"
"heroes.name_fancy.nature_god_silvaria","Skovguld"
"heroes.name_fancy.nature_god_viselus","Pestgænger-druide"
"heroes.name_fancy.ninja_amethyst","Skjult snigmorder"
"heroes.name_fancy.ninja_ametrine","Ninjaen med de skjulte klinger"
"heroes.name_fancy.ninja_aurum","Sanguine Kunoichi"
"heroes.name_fancy.ninja_azurite","Ninjapost"
"heroes.name_fancy.ninja_chikao","Lydløs angriber"
"heroes.name_fancy.ninja_cobalt","Ninjaen fra det hviskende hav"
"heroes.name_fancy.ninja_ekanite","Shinobi-trupfører"
"heroes.name_fancy.ninja_garnet","Livskraftens ninja"
"heroes.name_fancy.ninja_iga","Mester af kunaistorme"
"heroes.name_fancy.ninja_ito","Subjugating Shinobi"
"heroes.name_fancy.ninja_jade","Ninjamester i stjernedans"
"heroes.name_fancy.ninja_kinsaishi","Tordnende ninjamunk"
"heroes.name_fancy.ninja_kushanku","Næver af bedrag"
"heroes.name_fancy.ninja_malum","Ruthless Shinobi"
"heroes.name_fancy.ninja_mica","De tavse skrigs ninja"
"heroes.name_fancy.ninja_morganite","Ninja fra de svundne skygger"
"heroes.name_fancy.ninja_myoinni","Den stærkeste bannerfører"
"heroes.name_fancy.ninja_nomad","Lydløs bøddel"
"heroes.name_fancy.ninja_oniwakamaru","Skyggemunken med 999 sværd"
"heroes.name_fancy.ninja_onyx","De flygtige vindes ninja"
"heroes.name_fancy.ninja_osamu","Iron Discipline Ninja"
"heroes.name_fancy.ninja_peridot","De dødbringende giftes ninja"
"heroes.name_fancy.ninja_quartz","De stille graves ninja"
"heroes.name_fancy.ninja_ruby","Den røde oni-ninja"
"heroes.name_fancy.ninja_sapphire","Ninjaen med de springende skygger"
"heroes.name_fancy.ninja_satsui","Shadowy Kunoichi"
"heroes.name_fancy.ninja_sawano","Faithful Kunoichi"
"heroes.name_fancy.ninja_serandite","Ninja fra de bidende flammer"
"heroes.name_fancy.ninja_shale","Fugleflugtens ninja"
"heroes.name_fancy.ninja_tametomo","Storbue-sabotør"
"heroes.name_fancy.ninja_topaz","Den perfekte præcisions ninja"
"heroes.name_fancy.ninja_tora","Lydløs jægerinde"
"heroes.name_fancy.ninja_umeko","Poison Flower Ninja"
"heroes.name_fancy.ninja_zircon","De stille bølgers ninja"
"heroes.name_fancy.nomad_axe_adventurer","Tapper dusørjæger"
"heroes.name_fancy.nomad_axe_adventurer_costume_cute","Tegneseriedusørjæger"
"heroes.name_fancy.nomad_axe_adventurer_costume_glass","Glasdusørjæger"
"heroes.name_fancy.nomad_axe_adventurer_costume_magma","Flammende dusørjæger"
"heroes.name_fancy.nomad_axe_adventurer_costume_tracker","Modig spejder"
"heroes.name_fancy.nomad_female_archer","Talentfuld fanger"
"heroes.name_fancy.nomad_female_assassin","Angriber fra Sandsea"
"heroes.name_fancy.nomad_female_assassin_costume_cute","Ransmand fra Tegneseriehavet"
"heroes.name_fancy.nomad_female_assassin_costume_dancer","Danser fra Sandsea"
"heroes.name_fancy.nomad_female_assassin_costume_glass","Røver fra Glashavet"
"heroes.name_fancy.nomad_female_assassin_costume_poison","Snigmorder fra Sandsea"
"heroes.name_fancy.nomad_female_berserker","Præstinde af Dragonia"
"heroes.name_fancy.nomad_female_berserker_costume_cute","Tegneseriefigur fra Dragonia"
"heroes.name_fancy.nomad_female_berserker_costume_glass","Vitrail fra Dragonia"
"heroes.name_fancy.nomad_female_berserker_costume_shaman","Shaman af Dragonia"
"heroes.name_fancy.nomad_female_berserker_costume_sorceress","Troldkvinde af Dragonia"
"heroes.name_fancy.nomad_female_captain","Lady af Windemer"
"heroes.name_fancy.nomad_female_captain_costume_cute","Vindmars tegneseriefigur"
"heroes.name_fancy.nomad_female_captain_costume_glass","Vindmars vitrail"
"heroes.name_fancy.nomad_female_captain_costume_pirate","Vindmars skræk"
"heroes.name_fancy.nomad_female_captain_costume_thief","Vindmars mestertyv"
"heroes.name_fancy.nomad_female_lord","Kaptajn for den kongelige garde"
"heroes.name_fancy.nomad_female_lord_costume_cute","Kaptajn af de royale tegneseriefigurer"
"heroes.name_fancy.nomad_female_lord_costume_flame","Ildkaptajn"
"heroes.name_fancy.nomad_female_lord_costume_glass","Kaptajn for Glasvagten"
"heroes.name_fancy.nomad_female_lord_costume_wicked","De ondes kaptajn"
"heroes.name_fancy.nomad_female_shaman","Opstigende shaman"
"heroes.name_fancy.nomad_female_shaman_costume_cute","Herskende tegneseriefigur"
"heroes.name_fancy.nomad_female_shaman_costume_glass","Ophøjet vitrail"
"heroes.name_fancy.nomad_female_shaman_costume_native","Opstigende reparatør"
"heroes.name_fancy.nomad_female_swordmaster","Tronsøger"
"heroes.name_fancy.nomad_female_swordmaster_costume_cute","Tegneseriesøger"
"heroes.name_fancy.nomad_female_swordmaster_costume_glass","Glassøger"
"heroes.name_fancy.nomad_female_swordmaster_costume_native","Gudesøger"
"heroes.name_fancy.nomad_female_thief","Ungdommelig rejsende"
"heroes.name_fancy.nomad_fighter","Barsk slagsbror"
"heroes.name_fancy.nomad_mage","Mager fra Sandsea"
"heroes.name_fancy.nomad_mage_costume_cute","Troldmanden fra Tegneseriehavet"
"heroes.name_fancy.nomad_mage_costume_glass","Nomade fra Glashavet"
"heroes.name_fancy.nomad_mage_costume_goggles","Troldmand fra Sandsea"
"heroes.name_fancy.nomad_mage_costume_stylish","Stilfuld magiker"
"heroes.name_fancy.nomad_scout","Snu lejesoldat"
"heroes.name_fancy.nomad_shaman","Tjener af de ældste"
"heroes.name_fancy.nordic_ancestral_warrior","Mørk forældreløs"
"heroes.name_fancy.nordic_ancestral_warrior_costume_corrupted","Ondskabens arving"
"heroes.name_fancy.nordic_ancestral_warrior_costume_cute","Mørk tegneseriefigur"
"heroes.name_fancy.nordic_ancestral_warrior_costume_glass","Mørk vitrail"
"heroes.name_fancy.nordic_ancestral_warrior_costume_messenger","Mørkets meddeler"
"heroes.name_fancy.nordic_ancestral_warrior_costume_stylish","Arving til ondskabens stil"
"heroes.name_fancy.nordic_chained_werewolf","De blodtørstige"
"heroes.name_fancy.nordic_chained_werewolf_costume_cute","Den blodtørstige tegneseriefigur"
"heroes.name_fancy.nordic_chained_werewolf_costume_glass","Blodtørstigt glas"
"heroes.name_fancy.nordic_chained_werewolf_costume_raccoon","Hvidløgstyv"
"heroes.name_fancy.nordic_female_scout","Vild jomfru"
"heroes.name_fancy.nordic_female_warrior","Eksileret kriger"
"heroes.name_fancy.nordic_ice_enchantress","Beskytter af Glaceholm"
"heroes.name_fancy.nordic_ice_enchantress_costume_aqua","Isheks af Glaceholm"
"heroes.name_fancy.nordic_ice_enchantress_costume_cute","Tegneseriefigurernes beskytter"
"heroes.name_fancy.nordic_ice_enchantress_costume_glass","Glaceholm-vitrail"
"heroes.name_fancy.nordic_ice_enchantress_costume_ruler","Hersker af Glaceholm"
"heroes.name_fancy.nordic_mage","Mager af Glaceholm"
"heroes.name_fancy.nordic_mage_costume_cute","Glaceholms tegneseriefigur"
"heroes.name_fancy.nordic_mage_costume_glass","Glaceholm-vitrail"
"heroes.name_fancy.nordic_mage_costume_hermit","Glaceholms eneboer"
"heroes.name_fancy.nordic_male_lord","Retfærdighedens hammer"
"heroes.name_fancy.nordic_male_lord_costume_cute","Hammer med tegneseriekræfter"
"heroes.name_fancy.nordic_male_lord_costume_glass","Hammer af glas"
"heroes.name_fancy.nordic_male_lord_costume_injustice","Uretfærdighedens hammer"
"heroes.name_fancy.nordic_male_lord_costume_senior","Retfærdighedens økse"
"heroes.name_fancy.nordic_male_lord_costume_stylish","Stilens paladin"
"heroes.name_fancy.nordic_swordman","Flot duellant"
"heroes.name_fancy.nordic_swordman_costume_climber","Velplejet bjergbestiger"
"heroes.name_fancy.nordic_swordman_costume_cute","Talentfuld tegneseriefigur"
"heroes.name_fancy.nordic_swordman_costume_glass","Glasduellant"
"heroes.name_fancy.nordic_swordman_costume_stylish","Stilfuld duelist"
"heroes.name_fancy.nordic_warrior","Ubekymret eventyrer"
"heroes.name_fancy.orc_gladiator","Den urokkelige"
"heroes.name_fancy.orc_gladiator_costume_chef","Støbejernschef"
"heroes.name_fancy.orc_gladiator_costume_cute","Den urokkelige tegneseriefigur"
"heroes.name_fancy.orc_gladiator_costume_glass","Refleksionen"
"heroes.name_fancy.orc_gladiator_costume_sage","Den vilde vise"
"heroes.name_fancy.orc_gladiator_costume_stylish","De fine og fornemme"
"heroes.name_fancy.orc_skirmisher","Halvblodskriger"
"heroes.name_fancy.orc_troopmaster","Den sultne"
"heroes.name_fancy.orc_troopmaster_costume_cute","Den sultne tegneseriefigur"
"heroes.name_fancy.orc_troopmaster_costume_glass","Sulten vitrail"
"heroes.name_fancy.orc_troopmaster_costume_gourmet","Epikuræeren"
"heroes.name_fancy.orc_troopmaster_costume_merchant","Den begærlige"
"heroes.name_fancy.orc_warrior","Først i slaget"
"heroes.name_fancy.orc_warrior_costume_cute","Første tegneseriefigur i kamp"
"heroes.name_fancy.orc_warrior_costume_glass","Den sidste til at splintres"
"heroes.name_fancy.orc_warrior_costume_urukhai","Sidst til at flygte"
"heroes.name_fancy.oriental_brawler","Ædel forsvarer"
"heroes.name_fancy.oriental_brawler_costume_cute","Tegneserieslagsbror"
"heroes.name_fancy.oriental_brawler_costume_egypt","Adelig slagsbror"
"heroes.name_fancy.oriental_brawler_costume_glass","Glasslagsbror"
"heroes.name_fancy.oriental_enchanted_monk","Solens flamme"
"heroes.name_fancy.oriental_enchanted_monk_costume_cute","Solens tegneseriefigur"
"heroes.name_fancy.oriental_enchanted_monk_costume_glass","Sol-vitrail"
"heroes.name_fancy.oriental_enchanted_monk_costume_stoneguard","Solens magt"
"heroes.name_fancy.oriental_enchanted_monk_costume_tiger","Solens vrede"
"heroes.name_fancy.oriental_falconer","Mester-taktiker"
"heroes.name_fancy.oriental_falconer_costume_cub","Tigermester"
"heroes.name_fancy.oriental_falconer_costume_cute","Taktisk tegneseriefigur"
"heroes.name_fancy.oriental_falconer_costume_dodo","Mesterkonservator"
"heroes.name_fancy.oriental_falconer_costume_glass","Glastaktiker"
"heroes.name_fancy.oriental_female_guard","Vandringsmand fra Shaguad"
"heroes.name_fancy.oriental_female_guard_costume_cute","Tegneseriefigur fra Shaguad"
"heroes.name_fancy.oriental_female_guard_costume_glass","Vitrail fra Shaguad"
"heroes.name_fancy.oriental_female_guard_costume_soldier","Shaguadisk vogter"
"heroes.name_fancy.oriental_female_mage","Uselvisk healer"
"heroes.name_fancy.oriental_female_mage_costume_cute","Tegneseriehelbreder"
"heroes.name_fancy.oriental_female_mage_costume_glass","Glashelbreder"
"heroes.name_fancy.oriental_female_mage_costume_mender","Ædelmodig helbreder"
"heroes.name_fancy.oriental_female_mystic","Overlegen lærd"
"heroes.name_fancy.oriental_female_mystic_costume_cute","Tegneserie-lærd"
"heroes.name_fancy.oriental_female_mystic_costume_glass","Den glaslærde"
"heroes.name_fancy.oriental_female_mystic_costume_magician","Overlegen magiker"
"heroes.name_fancy.oriental_female_mystic_costume_scribe","Overlegen skriverske"
"heroes.name_fancy.oriental_female_mystic_costume_stylish","Stilfuld lærd"
"heroes.name_fancy.oriental_female_ninja","Ninja-lærling"
"heroes.name_fancy.oriental_female_templar","Klog general"
"heroes.name_fancy.oriental_female_templar_costume_cute","Tegneseriegeneral"
"heroes.name_fancy.oriental_female_templar_costume_fireworks","Fyrværkerigeneral"
"heroes.name_fancy.oriental_female_templar_costume_glass","Glasgeneral"
"heroes.name_fancy.oriental_female_templar_costume_kimono","Ceremoniel snigmorder"
"heroes.name_fancy.oriental_monkey_captain","Abeherre"
"heroes.name_fancy.oriental_monkey_captain_costume_cute","Tegneserieabe"
"heroes.name_fancy.oriental_monkey_captain_costume_glass","Glasabe"
"heroes.name_fancy.oriental_monkey_captain_costume_reveller","Abespektakelmager"
"heroes.name_fancy.oriental_monkey_captain_costume_warrior","Aberonin"
"heroes.name_fancy.oriental_monkey_warrior","Abekriger"
"heroes.name_fancy.oriental_panda_berserker","Bambusgren"
"heroes.name_fancy.oriental_panda_berserker_costume_cute","Tegneseriegren"
"heroes.name_fancy.oriental_panda_berserker_costume_farmer","Bambusrod"
"heroes.name_fancy.oriental_panda_berserker_costume_glass","Glasgren"
"heroes.name_fancy.oriental_panda_berserker_costume_stylish","Farverig bambus"
"heroes.name_fancy.oriental_panda_scout","Bambusblad"
"heroes.name_fancy.oriental_panda_warrior","Bambusklinge"
"heroes.name_fancy.oriental_panda_warrior_costume_armor","Bambusbark"
"heroes.name_fancy.oriental_panda_warrior_costume_cute","Bambus-tegneseriefigur"
"heroes.name_fancy.oriental_panda_warrior_costume_dueller","Bambusduellant"
"heroes.name_fancy.oriental_panda_warrior_costume_glass","Glasklinge"
"heroes.name_fancy.oriental_squire","Smiths lærling"
"heroes.name_fancy.oriental_warrior","Fodsoldat"
"heroes.name_fancy.oriental_warrior_king","Ubøjelig konge"
"heroes.name_fancy.oriental_warrior_king_costume_cute","Ubøjelig tegneseriefigur"
"heroes.name_fancy.oriental_warrior_king_costume_glass","Urokkelig vitrail"
"heroes.name_fancy.oriental_warrior_king_costume_mage","Ubøjelig magiker"
"heroes.name_fancy.oriental_warrior_king_costume_roman","Konge af Sparta"
"heroes.name_fancy.outlaw_chao_gai","Marsk og mose: Pagodeskiftende himmelsk konge"
"heroes.name_fancy.outlaw_gu_dasao","Marsk og mose: Kvindelig tiger"
"heroes.name_fancy.outlaw_hu_sanniang","Marsk og mose: Lysende stjerne"
"heroes.name_fancy.outlaw_li_kui","Marsk og mose: Jernokse"
"heroes.name_fancy.outlaw_lin_chong","Marsk og mose: Panterhoved"
"heroes.name_fancy.outlaw_liu_tang","Marsk og mose: Rødhåret djævel"
"heroes.name_fancy.outlaw_lu_zhishen","Marsk og mose: Blomstermunk"
"heroes.name_fancy.outlaw_ruan_xiaoqi","Marsk og mose: Destruktiv stjerne"
"heroes.name_fancy.outlaw_shi_jin","Marsk og mose: Ni dragetatoveringer"
"heroes.name_fancy.outlaw_song_jiang","Marsk og mose: Tidslig regn"
"heroes.name_fancy.outlaw_sun_erniang","Marsk og mose: Stærk stjerne"
"heroes.name_fancy.outlaw_wu_song","Marsk og mose: Tigerbekæmpende helt"
"heroes.name_fancy.outlaw_wu_yong","Marsk og mose: Vidensstjerne"
"heroes.name_fancy.outlaw_xiang_chong","Marsk og mose: Flyvende stjerne"
"heroes.name_fancy.outlaw_zheng_tianshou","Marsk og mose: Pæn gentleman"
"heroes.name_fancy.owl_cennius","Ugletårnets skjulte klo"
"heroes.name_fancy.owl_eron","Ugletårnets troubadour"
"heroes.name_fancy.owl_featherino","Ugletårnets ængstelige slubbert"
"heroes.name_fancy.owl_fulvia","Ugletårnets dronning"
"heroes.name_fancy.owl_juliani","Ugletårnets justitiarius"
"heroes.name_fancy.owl_livia","Ugletårnets ypperstepræst"
"heroes.name_fancy.owl_lodius","Ugletårnets berserker"
"heroes.name_fancy.owl_mariol","Hofdeltager i Ugletårnet"
"heroes.name_fancy.owl_olbec","Ugletårnets alkymist"
"heroes.name_fancy.owl_ommodus","Ugletårnets lovgiver"
"heroes.name_fancy.owl_paeia","Ugletårnets prinsesse"
"heroes.name_fancy.owl_pertinax","Ugletårnets ridder"
"heroes.name_fancy.owl_relius","Ugletårnets urteblander"
"heroes.name_fancy.owl_timius","Ugletårnets royale skildvagt"
"heroes.name_fancy.owl_verus","Ugletårnets spejderkommandør"
"heroes.name_fancy.pirate_anne","Corellias frontfigur"
"heroes.name_fancy.pirate_boatswain","Bådsmand fra Corellia"
"heroes.name_fancy.pirate_cabin_boy","Kahytsdreng fra Corellia"
"heroes.name_fancy.pirate_cabin_boy_costume_paper","Avisdreng ved kysten"
"heroes.name_fancy.pirate_commodore_finley","Kommandør af Corellia"
"heroes.name_fancy.pirate_commodore_finley_costume_bleak","Dyster admiral"
"heroes.name_fancy.pirate_dread_captain","Frygtet kaptajn fra Corellia"
"heroes.name_fancy.pirate_dread_captain_costume_rotten","Rådden kaptajn af Corellia"
"heroes.name_fancy.pirate_finley","Hævngerrig styrmand af Corellia"
"heroes.name_fancy.pirate_first_mate","Førstestyrmand fra Corellia"
"heroes.name_fancy.pirate_lady","Lady af Corellia"
"heroes.name_fancy.pirate_lady_costume_queen","Rebeldronning"
"heroes.name_fancy.pirate_marie_therese","Voodoodronning af Corellia"
"heroes.name_fancy.pirate_marie_therese_costume_priestess","Sjælefortærer"
"heroes.name_fancy.pirate_sally","Corellias maskot"
"heroes.name_fancy.pirate_swashbuckler","Sørøverkaptajn fra Corellia"
"heroes.name_fancy.pirate_vodnik","Fisker af Corellia"
"heroes.name_fancy.rabbit_blue","Vogter af Springvale"
"heroes.name_fancy.rabbit_blue_costume_riftbreaker","Revnebryder"
"heroes.name_fancy.rabbit_green","Mester fra Springvale"
"heroes.name_fancy.rabbit_green_costume_egg_hunter","Æggejæger fra Springvale"
"heroes.name_fancy.rabbit_red","Ridder af Springvale"
"heroes.name_fancy.royal_female_knight","Egenrådig mester"
"heroes.name_fancy.royal_female_knight_costume_cute","Tegneseriemester"
"heroes.name_fancy.royal_female_knight_costume_glass","Glasmester"
"heroes.name_fancy.royal_female_knight_costume_prospector","Egenrådig prospektor"
"heroes.name_fancy.royal_female_knight_costume_winter","Vikingemester"
"heroes.name_fancy.royal_knight","Beskyttende ridder"
"heroes.name_fancy.royal_knight_commander","Bruger af Frostmorrow"
"heroes.name_fancy.royal_knight_commander_costume_cute","Frostmorgen-tegneseriefigur"
"heroes.name_fancy.royal_knight_commander_costume_glass","Vitrail fra Frostmorgen"
"heroes.name_fancy.royal_knight_commander_costume_gryphon","Kaptajn Frostmorgen"
"heroes.name_fancy.royal_knight_commander_costume_king","Kong Frostmarv"
"heroes.name_fancy.royal_knight_costume_blacksmith","Modig smed"
"heroes.name_fancy.royal_knight_costume_cute","Tegneserieridder"
"heroes.name_fancy.royal_knight_costume_glass","Glasridder"
"heroes.name_fancy.royal_pikeman","Alvorlig vagtpost"
"heroes.name_fancy.s2_ariel","Prinsesse af Atlantis"
"heroes.name_fancy.s2_ariel_costume_cute","Atlantis' tegneserieprinsesse"
"heroes.name_fancy.s2_ariel_costume_enchanter","Fortryller fra Atlantis"
"heroes.name_fancy.s2_atlantean_robot","Vogter af Atlantis"
"heroes.name_fancy.s2_atlantean_robot_costume_cute","Atlantisk tegneserieobservatør"
"heroes.name_fancy.s2_atlantean_robot_costume_sentinel","Atlantisk vagt"
"heroes.name_fancy.s2_chameleon_bruiser","Kamæleonkriger"
"heroes.name_fancy.s2_chameleon_chief","Kamæleon-general"
"heroes.name_fancy.s2_chameleon_chief_costume_heavyweight","Sværvægtsmester"
