"heroes.name_fancy.astral_cosmicspeaker","Astrônomo dos Elfos Astrais"
"heroes.name_fancy.magic_motega","Zelador-Mestre"
"heroes.name_fancy.magic_nadezhda","Diretora da Torre"
"heroes.name_fancy.magic_nadezhda_costume_postmaster","Carteira da Torre"
"heroes.name_fancy.magic_ray","Campeão da Corte"
"heroes.name_fancy.magic_ray_costume_spiky","Campeão do Espinheiro"
"heroes.name_fancy.magic_roxia","Entusiasta de Rabiscos Antigos"
"heroes.name_fancy.magic_sergei","Estudante Arcano"
"heroes.name_fancy.magic_telonius","Centauro da Floresta"
"heroes.name_fancy.magic_telonius_costume_brew","Centauro da cervejaria"
"heroes.name_fancy.magic_ulius","Mago Inventor"
"heroes.name_fancy.magic_ulius_costume_buccaneer","Bucaneiro arcano peculiar"
"heroes.name_fancy.magic_vaishali","Mestra do Xadrez Místico"
"heroes.name_fancy.magic_vaishali_costume_chef","Rainha das Tortas"
"heroes.name_fancy.magic_willow","Mestra da Levitação"
"heroes.name_fancy.magitech_sniper","Franco atiradora Magitech"
"heroes.name_fancy.magitech_sniper_costume_cute","Atiradora Fofa"
"heroes.name_fancy.magitech_sniper_costume_glass","Atirador de Vidro"
"heroes.name_fancy.magitech_sniper_costume_steampunk","Franco atirador Steampunk"
"heroes.name_fancy.magitech_sniper_costume_undead","Atirador Morto-Vivo"
"heroes.name_fancy.mahayoddha_ali","Garoto de recados talentoso"
"heroes.name_fancy.mahayoddha_bhima","Filho de Vayu"
"heroes.name_fancy.mahayoddha_bonga","Cesteiro"
"heroes.name_fancy.mahayoddha_chitrangada","Princesa Guerreira de Manipura"
"heroes.name_fancy.mahayoddha_devyani","Princesa guerreira feroz"
"heroes.name_fancy.mahayoddha_jyoti","Dançarina de Chari"
"heroes.name_fancy.mahayoddha_meenakshi","Chechi dos cocos"
"heroes.name_fancy.mahayoddha_rafeeq","Político sagaz"
"heroes.name_fancy.mahayoddha_ustad_anand","Artista da corte"
"heroes.name_fancy.mahayoddha_veer","Assassino orgulhoso"
"heroes.name_fancy.masquerade_alessia","Seguidora de Arádia"
"heroes.name_fancy.masquerade_aradia","Deusa Mascarada da Bruxaria"
"heroes.name_fancy.masquerade_carmenta","Deusa Mascarada dos Feitiços"
"heroes.name_fancy.masquerade_cel","Deusa Mascarada da Terra"
"heroes.name_fancy.masquerade_februus","Deus Mascarado da Purificação"
"heroes.name_fancy.masquerade_fortuna","Deusa Mascarada do Destino"
"heroes.name_fancy.masquerade_fosco","Seguidor de Februus"
"heroes.name_fancy.masquerade_jana","Deusa Mascarada da Lua"
"heroes.name_fancy.masquerade_jove","Deus Mascarado do Céu"
"heroes.name_fancy.masquerade_umbria","Deusa Mascarada das Sombras"
"heroes.name_fancy.mighty_pet_barkley","Pug de Guerra"
"heroes.name_fancy.mighty_pet_bubbles","Imitador das Artes Ilusórias"
"heroes.name_fancy.mighty_pet_chomper","Campeão dos Hamsters"
"heroes.name_fancy.mighty_pet_cinnamon","Cavaleiro do Círculo Ártico"
"heroes.name_fancy.mighty_pet_cupcake","Bandido com Garras"
"heroes.name_fancy.mighty_pet_furdinand","Rufião da Expedição Canina"
"heroes.name_fancy.mighty_pet_hachiko","Filhote da Lealdade"
"heroes.name_fancy.mighty_pet_luna","Coruja de Crista"
"heroes.name_fancy.mighty_pet_ribbit","Gladiador do Reino dos Sapos"
"heroes.name_fancy.mighty_pet_rufus","Lenhador Peludo"
"heroes.name_fancy.mighty_pet_snowball","Gato Vadio"
"heroes.name_fancy.mighty_pet_toto","Contador de Histórias Canino"
"heroes.name_fancy.mighty_pet_waddles","Capitão da Guarda dos Patos"
"heroes.name_fancy.mimic_aether_blue","Depósito de Bastões Esfomeado"
"heroes.name_fancy.mimic_aether_green","Depósito de Bastões Esfomeado"
"heroes.name_fancy.mimic_aether_purple","Depósito de Bastões Esfomeado"
"heroes.name_fancy.mimic_aether_red","Depósito de Bastões Esfomeado"
"heroes.name_fancy.mimic_aether_yellow","Depósito de Bastões Esfomeado"
"heroes.name_fancy.mimic_ascension_epic_yellow","Depósito Menos Maligno"
"heroes.name_fancy.mimic_ascension_item_blue","Depósito Maligno"
"heroes.name_fancy.mimic_ascension_item_green","Depósito Maligno"
"heroes.name_fancy.mimic_ascension_item_purple","Depósito Maligno"
"heroes.name_fancy.mimic_ascension_item_red","Depósito Maligno"
"heroes.name_fancy.mimic_ascension_item_yellow","Depósito Maligno"
"heroes.name_fancy.mimic_emblem_blue","Cofre Caolho Horripilante"
"heroes.name_fancy.mimic_emblem_green","Cofre Caolho Horripilante"
"heroes.name_fancy.mimic_emblem_purple","Cofre Caolho Horripilante"
"heroes.name_fancy.mimic_emblem_red","Cofre Caolho Horripilante"
"heroes.name_fancy.mimic_emblem_yellow","Cofre Caolho Horripilante"
"heroes.name_fancy.mimic_experience_rare_red","Tesouro das Pequenas Presas"
"heroes.name_fancy.mimic_training_hero_blue","Tesouro das Mil Presas"
"heroes.name_fancy.mimic_training_hero_green","Tesouro das Mil Presas"
"heroes.name_fancy.mimic_training_hero_purple","Tesouro das Mil Presas"
"heroes.name_fancy.mimic_training_hero_red","Tesouro das Mil Presas"
"heroes.name_fancy.mimic_training_hero_yellow","Tesouro das Mil Presas"
"heroes.name_fancy.monster_hunter_adalinda","Princesa da Caça"
"heroes.name_fancy.monster_hunter_amund","Rastreador Tenaz"
"heroes.name_fancy.monster_hunter_basil","Rato de Caça"
"heroes.name_fancy.monster_hunter_berit","Brutamontes Berilo"
"heroes.name_fancy.monster_hunter_bogart","Caçador do Pântano"
"heroes.name_fancy.monster_hunter_bonecrusher","Chefe dos Gorilas"
"heroes.name_fancy.monster_hunter_cedar","Chimpanzé Campeão das Correntes"
"heroes.name_fancy.monster_hunter_cleaver","Chefe Caçador"
"heroes.name_fancy.monster_hunter_dabria","Caçadora Ocultista"
"heroes.name_fancy.monster_hunter_dawn","Trovadora Caçadora"
"heroes.name_fancy.monster_hunter_dubhain","Escolhido do Deus da Tempestade"
"heroes.name_fancy.monster_hunter_ebba","Mercenária Caçadora"
"heroes.name_fancy.monster_hunter_edelaide","Nômade da Floresta"
"heroes.name_fancy.monster_hunter_fianna","Armadilheira da Floresta"
"heroes.name_fancy.monster_hunter_goretooth","Caçador Selvagem"
"heroes.name_fancy.monster_hunter_greel","Aventureiro Feroz"
"heroes.name_fancy.monster_hunter_hammertusk","Bárbaro Corpulento"
"heroes.name_fancy.monster_hunter_hawthorn","Artífice Caçador"
"heroes.name_fancy.monster_hunter_hurricane","Assassino Símio"
"heroes.name_fancy.monster_hunter_kai","Cavaleiro Caçador"
"heroes.name_fancy.monster_hunter_knuckles","Macaco Sentinela"
"heroes.name_fancy.monster_hunter_maheegan","Rastreador de Lobos"
"heroes.name_fancy.monster_hunter_malin","Guerreira Titânica"
"heroes.name_fancy.monster_hunter_meadow","Caçadora Tribal"
"heroes.name_fancy.monster_hunter_mistweaver","Orangotango Arruaceiro"
"heroes.name_fancy.monster_hunter_njal","Caçadora do Vento do Norte"
"heroes.name_fancy.monster_hunter_numbskull","Esqueleto Desastrado"
"heroes.name_fancy.monster_hunter_otis","Espadachim Caçador"
"heroes.name_fancy.monster_hunter_revna","Caçadora Carneliana"
"heroes.name_fancy.monster_hunter_ruadh","Caçador Abissal"
"heroes.name_fancy.monster_hunter_sigyn","Domadora de Escorpiões"
"heroes.name_fancy.monster_hunter_sorcha","Caçadora Persistente"
"heroes.name_fancy.monster_hunter_sorrow","Espectro do Gelo"
"heroes.name_fancy.monster_hunter_staintongue","Caçador Incansável"
"heroes.name_fancy.monster_hunter_sune","Caçador de Malaquita"
"heroes.name_fancy.monster_hunter_thunderclap","Gorila Enfurecido"
"heroes.name_fancy.monster_hunter_thura","Caçadora Abençoada"
"heroes.name_fancy.monster_hunter_tremor","Babuíno Espadachim"
"heroes.name_fancy.monster_hunter_waterpipe","Engenheiro de Arpão"
"heroes.name_fancy.moth_auricarc","Miraposa"
"heroes.name_fancy.moth_chimister","Mariposa de Laboratório"
"heroes.name_fancy.moth_chunkyroi","Mariposa Marquês"
"heroes.name_fancy.moth_furgeant","Mariposa Colossal"
"heroes.name_fancy.moth_gardered","Mariposa Ousada"
"heroes.name_fancy.moth_grovevert","Criador de Mariposas"
"heroes.name_fancy.moth_joyvert","Mariposo Musical"
"heroes.name_fancy.moth_lilareine","Mariposa Marquesa"
"heroes.name_fancy.moth_limeboire","Taverneiro Mariposo"
"heroes.name_fancy.moth_mortewitch","Maripomante"
"heroes.name_fancy.moth_pepperbleu","Mariposa Coveiro"
"heroes.name_fancy.moth_rosepetite","Mariposa Pintor"
"heroes.name_fancy.moth_satinpimenter","Mariposa do Clero"
"heroes.name_fancy.moth_shyombre","Mariposa das Sombras"
"heroes.name_fancy.moth_tealmoine","Mariposa da Neblina"
"heroes.name_fancy.musketeer_aramis","Mosqueteiro Romântico"
"heroes.name_fancy.musketeer_aramis_costume_boulanger","Mosqueteiro Padeiro"
"heroes.name_fancy.musketeer_athos","Mosqueteiro Veterano"
"heroes.name_fancy.musketeer_athos_costume_farrier","Mosqueteiro Ferrador"
"heroes.name_fancy.musketeer_cardinal_richelieu","Duque Dissimulado"
"heroes.name_fancy.musketeer_constance","Mosqueteira Corajosa"
"heroes.name_fancy.musketeer_dartagnan","Mosqueteiro Ardoroso"
"heroes.name_fancy.musketeer_felton","Assassino Depravado"
"heroes.name_fancy.musketeer_felton_costume_pirate","Pirata insensível"
"heroes.name_fancy.musketeer_kitty","Florista Amistosa"
"heroes.name_fancy.musketeer_milady_de_winter","Vilã Maquiavélica"
"heroes.name_fancy.musketeer_planchet","Valete Valoroso"
"heroes.name_fancy.musketeer_porthos","Mosqueteiro Alegre"
"heroes.name_fancy.musketeer_porthos_costume_merchant","Mosqueteiro Comerciante"
"heroes.name_fancy.musketeer_queen_anne","Monarca Elegante"
"heroes.name_fancy.musketeer_rochefort","Patife Impiedoso"
"heroes.name_fancy.musketeer_villiers","Duque Pomposo"
"heroes.name_fancy.musketeer_villiers_costume_jester","Bobo da corte pomposo"
"heroes.name_fancy.mystery_enigmo","Dilema da Convocação"
"heroes.name_fancy.nature_god_balbar","Botânico Eremita"
"heroes.name_fancy.nature_god_bertila","Cavaleiro Verde"
"heroes.name_fancy.nature_god_bo_and_runt","Líderes da Matilha"
"heroes.name_fancy.nature_god_chloris","Espírito Floral"
"heroes.name_fancy.nature_god_cinisia","Maga Meliai"
"heroes.name_fancy.nature_god_florenna","Elafocentauro Gracioso"
"heroes.name_fancy.nature_god_leadria","Rainha da Fonte Eterna"
"heroes.name_fancy.nature_god_liora","Bandido Benevolente"
"heroes.name_fancy.nature_god_mystia","Feiticeira Hipnotizante"
"heroes.name_fancy.nature_god_silvaria","Deus da Floresta"
"heroes.name_fancy.nature_god_viselus","Druida do Flagelo"
"heroes.name_fancy.ninja_amethyst","Assassino Oculto"
"heroes.name_fancy.ninja_ametrine","Ninja das Lâminas Ocultas"
"heroes.name_fancy.ninja_aurum","Kunoichi Sanguinária"
"heroes.name_fancy.ninja_azurite","Visão de Ninja"
"heroes.name_fancy.ninja_chikao","Atacante Silencioso"
"heroes.name_fancy.ninja_cobalt","Ninja dos Mares Sussurrantes"
"heroes.name_fancy.ninja_ekanite","Líder do Esquadrão Shinobi"
"heroes.name_fancy.ninja_garnet","Ninja da Vitalidade Vertiginosa"
"heroes.name_fancy.ninja_iga","Mestre da Tempestade Kunai"
"heroes.name_fancy.ninja_ito","Shinobi Subjugador"
"heroes.name_fancy.ninja_jade","Ninja das Estrelas Dançantes"
"heroes.name_fancy.ninja_kinsaishi","Monge Ninja Trovejante"
"heroes.name_fancy.ninja_kushanku","Punho do Engodo"
"heroes.name_fancy.ninja_malum","Shinobi Impiedoso"
"heroes.name_fancy.ninja_mica","Ninja dos Gritos Silenciosos"
"heroes.name_fancy.ninja_morganite","Ninja das Sombras Fugazes"
"heroes.name_fancy.ninja_myoinni","Senhor dos Fortes"
"heroes.name_fancy.ninja_nomad","Algoz Silencioso"
"heroes.name_fancy.ninja_oniwakamaru","Monge das 999 Espadas"
"heroes.name_fancy.ninja_onyx","Ninja dos Ventos Evasivos"
"heroes.name_fancy.ninja_osamu","Ninja Disciplinado"
"heroes.name_fancy.ninja_peridot","Ninja das Toxinas Mortais"
"heroes.name_fancy.ninja_quartz","Ninja das Tumbas Silenciosas"
"heroes.name_fancy.ninja_ruby","Ninja do Oni Vermelho"
"heroes.name_fancy.ninja_sapphire","Ninja das Sombras Velozes"
"heroes.name_fancy.ninja_satsui","Kunoichi das Sombras"
"heroes.name_fancy.ninja_sawano","Kunoichi Fiel"
"heroes.name_fancy.ninja_serandite","Ninja das Chamas Perfurantes"
"heroes.name_fancy.ninja_shale","Ninja do Vigor Voador"
"heroes.name_fancy.ninja_tametomo","Sabotador com Arco"
"heroes.name_fancy.ninja_topaz","Ninja da Precisão Perfeita"
"heroes.name_fancy.ninja_tora","Caçadora Silenciosa"
"heroes.name_fancy.ninja_umeko","Ninja da Flor Venenosa"
"heroes.name_fancy.ninja_zircon","Ninja das Ondas Silenciosas"
"heroes.name_fancy.nomad_axe_adventurer","Caçador de Recompensas Valente"
"heroes.name_fancy.nomad_axe_adventurer_costume_cute","Caçador de Recompensas Fofo"
"heroes.name_fancy.nomad_axe_adventurer_costume_glass","Caçador de Recompensas de Vidro"
"heroes.name_fancy.nomad_axe_adventurer_costume_magma","Caçador de Recompensas Exaltado"
"heroes.name_fancy.nomad_axe_adventurer_costume_tracker","Rastreador Valente"
"heroes.name_fancy.nomad_female_archer","Caçadora Talentosa"
"heroes.name_fancy.nomad_female_assassin","Invasora do Mar de Areia"
"heroes.name_fancy.nomad_female_assassin_costume_cute","Invasora do Mar Fofo"
"heroes.name_fancy.nomad_female_assassin_costume_dancer","Dançarina do Mar de Areia"
"heroes.name_fancy.nomad_female_assassin_costume_glass","Invasora do Mar de Vidro"
"heroes.name_fancy.nomad_female_assassin_costume_poison","Assassina do Mar de Areia"
"heroes.name_fancy.nomad_female_berserker","Sacerdotisa de Dragonia"
"heroes.name_fancy.nomad_female_berserker_costume_cute","Fofura de Dragonia"
"heroes.name_fancy.nomad_female_berserker_costume_glass","Vitral de Dragonia"
"heroes.name_fancy.nomad_female_berserker_costume_shaman","Xamã de Dragonia"
"heroes.name_fancy.nomad_female_berserker_costume_sorceress","Maga de Dragonia"
"heroes.name_fancy.nomad_female_captain","Senhora de Windemer"
"heroes.name_fancy.nomad_female_captain_costume_cute","Fofura de Windemer"
"heroes.name_fancy.nomad_female_captain_costume_glass","Vitral de Windemer"
"heroes.name_fancy.nomad_female_captain_costume_pirate","Terror de Windemer"
"heroes.name_fancy.nomad_female_captain_costume_thief","Ladra de Windemer"
"heroes.name_fancy.nomad_female_lord","Capitã da Guarda Real"
"heroes.name_fancy.nomad_female_lord_costume_cute","Capitã das Fofuras Reais"
"heroes.name_fancy.nomad_female_lord_costume_flame","Capitão do fogo"
"heroes.name_fancy.nomad_female_lord_costume_glass","Capitã da Guarda de Vidro"
"heroes.name_fancy.nomad_female_lord_costume_wicked","Capitã dos Maus"
"heroes.name_fancy.nomad_female_shaman","Xamã Ascendente"
"heroes.name_fancy.nomad_female_shaman_costume_cute","Fofura Ascendente"
"heroes.name_fancy.nomad_female_shaman_costume_glass","Vitral Ascendente"
"heroes.name_fancy.nomad_female_shaman_costume_native","Reparador Ascendente"
"heroes.name_fancy.nomad_female_swordmaster","Perseguidora do trono"
"heroes.name_fancy.nomad_female_swordmaster_costume_cute","Buscadora de Fofuras"
"heroes.name_fancy.nomad_female_swordmaster_costume_glass","Perseguidor de Vidro"
"heroes.name_fancy.nomad_female_swordmaster_costume_native","Perseguidor de Deuses"
"heroes.name_fancy.nomad_female_thief","Viajante juvenil"
"heroes.name_fancy.nomad_fighter","Briguento rude"
"heroes.name_fancy.nomad_mage","Mago do Mar de Areia"
"heroes.name_fancy.nomad_mage_costume_cute","Mago do Mar Fofo"
"heroes.name_fancy.nomad_mage_costume_glass","Nômade do Mar de Vidro"
"heroes.name_fancy.nomad_mage_costume_goggles","Feiticeiro do Mar de Areia"
"heroes.name_fancy.nomad_mage_costume_stylish","Mago estiloso"
"heroes.name_fancy.nomad_scout","Mercenário Clandestino"
"heroes.name_fancy.nomad_shaman","Servo dos antigos"
"heroes.name_fancy.nordic_ancestral_warrior","Órfão das Trevas"
"heroes.name_fancy.nordic_ancestral_warrior_costume_corrupted","Herdeiro do Mal"
"heroes.name_fancy.nordic_ancestral_warrior_costume_cute","Fofura Sombria"
"heroes.name_fancy.nordic_ancestral_warrior_costume_glass","Vitral Escuro"
"heroes.name_fancy.nordic_ancestral_warrior_costume_messenger","Mensageiro Sombrio"
"heroes.name_fancy.nordic_ancestral_warrior_costume_stylish","Herdeiro de estilo maldoso"
"heroes.name_fancy.nordic_chained_werewolf","O Feroz"
"heroes.name_fancy.nordic_chained_werewolf_costume_cute","Fofura Feroz"
"heroes.name_fancy.nordic_chained_werewolf_costume_glass","Vidro Feroz"
"heroes.name_fancy.nordic_chained_werewolf_costume_raccoon","Ladrão de Alho"
"heroes.name_fancy.nordic_female_scout","Donzela feroz"
"heroes.name_fancy.nordic_female_warrior","Guerreira exilada"
"heroes.name_fancy.nordic_ice_enchantress","Protetora de Glaceholm"
"heroes.name_fancy.nordic_ice_enchantress_costume_aqua","Bruxa do gelo de Glaceholm"
"heroes.name_fancy.nordic_ice_enchantress_costume_cute","Protetora de Fofuras"
"heroes.name_fancy.nordic_ice_enchantress_costume_glass","Vitral de Glaceholm"
"heroes.name_fancy.nordic_ice_enchantress_costume_ruler","Governante de Glaceholm"
"heroes.name_fancy.nordic_mage","Mago de Glaceholm"
"heroes.name_fancy.nordic_mage_costume_cute","Fofura de Glaceholm"
"heroes.name_fancy.nordic_mage_costume_glass","Vitral de Glaceholm"
"heroes.name_fancy.nordic_mage_costume_hermit","Eremita de Glaceholm"
"heroes.name_fancy.nordic_male_lord","Martelo da justiça"
"heroes.name_fancy.nordic_male_lord_costume_cute","Martelo Fofo"
"heroes.name_fancy.nordic_male_lord_costume_glass","Martelo de Vidro"
"heroes.name_fancy.nordic_male_lord_costume_injustice","Martelo da Injustiça"
"heroes.name_fancy.nordic_male_lord_costume_senior","Machado da justiça"
"heroes.name_fancy.nordic_male_lord_costume_stylish","Paladino do estilo"
"heroes.name_fancy.nordic_swordman","Duelista ousado"
"heroes.name_fancy.nordic_swordman_costume_climber","Escalador Alinhado"
"heroes.name_fancy.nordic_swordman_costume_cute","Fofura Talentosa"
"heroes.name_fancy.nordic_swordman_costume_glass","Duelista de Vidro"
"heroes.name_fancy.nordic_swordman_costume_stylish","Duelista estiloso"
"heroes.name_fancy.nordic_warrior","Aventureiro despreocupado"
"heroes.name_fancy.orc_gladiator","O Destemido"
"heroes.name_fancy.orc_gladiator_costume_chef","Chef de ferro fundido"
"heroes.name_fancy.orc_gladiator_costume_cute","Fofura Destemida"
"heroes.name_fancy.orc_gladiator_costume_glass","Refletor"
"heroes.name_fancy.orc_gladiator_costume_sage","Sábio Selvagem"
"heroes.name_fancy.orc_gladiator_costume_stylish","Pura elegância"
"heroes.name_fancy.orc_skirmisher","Lutador mestiço"
"heroes.name_fancy.orc_troopmaster","O Faminto"
"heroes.name_fancy.orc_troopmaster_costume_cute","Fofura Faminta"
"heroes.name_fancy.orc_troopmaster_costume_glass","Vitral Faminto"
"heroes.name_fancy.orc_troopmaster_costume_gourmet","Epicureu"
"heroes.name_fancy.orc_troopmaster_costume_merchant","Coveteus"
"heroes.name_fancy.orc_warrior","Primeiro na Batalha"
"heroes.name_fancy.orc_warrior_costume_cute","Fofura Apressada"
"heroes.name_fancy.orc_warrior_costume_glass","Último a Despedaçar"
"heroes.name_fancy.orc_warrior_costume_urukhai","Último a Recuar"
"heroes.name_fancy.oriental_brawler","Defensor Nobre"
"heroes.name_fancy.oriental_brawler_costume_cute","Arruaceiro Fofo"
"heroes.name_fancy.oriental_brawler_costume_egypt","Nobre Combatente"
"heroes.name_fancy.oriental_brawler_costume_glass","Arruaceiro de Vidro"
"heroes.name_fancy.oriental_enchanted_monk","Chama do Sol"
"heroes.name_fancy.oriental_enchanted_monk_costume_cute","Fofura do Sol"
"heroes.name_fancy.oriental_enchanted_monk_costume_glass","Vitral do Sol"
"heroes.name_fancy.oriental_enchanted_monk_costume_stoneguard","Poder do Sol"
"heroes.name_fancy.oriental_enchanted_monk_costume_tiger","Fúria do sol"
"heroes.name_fancy.oriental_falconer","Mestre estrategista"
"heroes.name_fancy.oriental_falconer_costume_cub","Mestre dos Tigres"
"heroes.name_fancy.oriental_falconer_costume_cute","Estrategista Fofo"
"heroes.name_fancy.oriental_falconer_costume_dodo","Mestre Preservador"
"heroes.name_fancy.oriental_falconer_costume_glass","Estrategista de Vidro"
"heroes.name_fancy.oriental_female_guard","Guarda de Shaguad"
"heroes.name_fancy.oriental_female_guard_costume_cute","Fofura de Shaguad"
"heroes.name_fancy.oriental_female_guard_costume_glass","Vitral de Shaguad"
"heroes.name_fancy.oriental_female_guard_costume_soldier","Guardião de Shaguad"
"heroes.name_fancy.oriental_female_mage","Curandeira abnegada"
"heroes.name_fancy.oriental_female_mage_costume_cute","Curandeira Fofa"
"heroes.name_fancy.oriental_female_mage_costume_glass","Curandeira de Vidro"
"heroes.name_fancy.oriental_female_mage_costume_mender","Cerzidora Magnânima"
"heroes.name_fancy.oriental_female_mystic","Erudita Suprema"
"heroes.name_fancy.oriental_female_mystic_costume_cute","Erudita Fofa"
"heroes.name_fancy.oriental_female_mystic_costume_glass","Erudita de Vidro"
"heroes.name_fancy.oriental_female_mystic_costume_magician","Mago supremo"
"heroes.name_fancy.oriental_female_mystic_costume_scribe","Escrivã Suprema"
"heroes.name_fancy.oriental_female_mystic_costume_stylish","Estudiosa estilosa"
"heroes.name_fancy.oriental_female_ninja","Aprendiz de Ninja"
"heroes.name_fancy.oriental_female_templar","General Sábia"
"heroes.name_fancy.oriental_female_templar_costume_cute","General Fofa"
"heroes.name_fancy.oriental_female_templar_costume_fireworks","General dos Fogos"
"heroes.name_fancy.oriental_female_templar_costume_glass","General de Vidro"
"heroes.name_fancy.oriental_female_templar_costume_kimono","Assassino cerimonial"
"heroes.name_fancy.oriental_monkey_captain","Senhor macaco"
"heroes.name_fancy.oriental_monkey_captain_costume_cute","Macaco Fofo"
"heroes.name_fancy.oriental_monkey_captain_costume_glass","Macaco de Vidro"
"heroes.name_fancy.oriental_monkey_captain_costume_reveller","Macaco Folião"
"heroes.name_fancy.oriental_monkey_captain_costume_warrior","Ronin Macaco"
"heroes.name_fancy.oriental_monkey_warrior","Guerreiro macaco"
"heroes.name_fancy.oriental_panda_berserker","Ramo de bambu"
"heroes.name_fancy.oriental_panda_berserker_costume_cute","Galho de Fofuras"
"heroes.name_fancy.oriental_panda_berserker_costume_farmer","Raiz de Bambu"
"heroes.name_fancy.oriental_panda_berserker_costume_glass","Galho de Vidro"
"heroes.name_fancy.oriental_panda_berserker_costume_stylish","Bambu vibrante"
"heroes.name_fancy.oriental_panda_scout","Folha de Bambu"
"heroes.name_fancy.oriental_panda_warrior","Lâmina de bambu"
"heroes.name_fancy.oriental_panda_warrior_costume_armor","Casca de Bambu"
"heroes.name_fancy.oriental_panda_warrior_costume_cute","Fofura de Bambu"
"heroes.name_fancy.oriental_panda_warrior_costume_dueller","Duelista de Bambu"
"heroes.name_fancy.oriental_panda_warrior_costume_glass","Lâmina de Vidro"
"heroes.name_fancy.oriental_squire","Aprendiz de forja"
"heroes.name_fancy.oriental_warrior","Soldado raso"
"heroes.name_fancy.oriental_warrior_king","Rei inflexível"
"heroes.name_fancy.oriental_warrior_king_costume_cute","Fofura Irredutível"
"heroes.name_fancy.oriental_warrior_king_costume_glass","Vitral Irredutível"
"heroes.name_fancy.oriental_warrior_king_costume_mage","Mago Implacável"
"heroes.name_fancy.oriental_warrior_king_costume_roman","Rei de Esparta"
"heroes.name_fancy.outlaw_chao_gai","Rei Celestial de Margem da Água"
"heroes.name_fancy.outlaw_gu_dasao","Tigresa de Margem da Água"
"heroes.name_fancy.outlaw_hu_sanniang","Estrela Brilhante de Margem da Água"
"heroes.name_fancy.outlaw_li_kui","Touro de Ferro de Margem da Água"
"heroes.name_fancy.outlaw_lin_chong","Cabeça de Pantera de Margem da Água"
"heroes.name_fancy.outlaw_liu_tang","Demônio Ruivo de Margem da Água"
"heroes.name_fancy.outlaw_lu_zhishen","Monge Floreado de Margem da Água"
"heroes.name_fancy.outlaw_ruan_xiaoqi","Estrela Destrutiva de Margem da Água"
"heroes.name_fancy.outlaw_shi_jin","Tatuagens de Nove Dragões de Margem da Água"
"heroes.name_fancy.outlaw_song_jiang","Chuva de Margem da Água"
"heroes.name_fancy.outlaw_sun_erniang","Estrela Forte de Margem da Água"
"heroes.name_fancy.outlaw_wu_song","Herói de Margem da Água"
"heroes.name_fancy.outlaw_wu_yong","Estrela do Conhecimento de Margem da Água"
"heroes.name_fancy.outlaw_xiang_chong","Estrela Voadora de Margem da Água"
"heroes.name_fancy.outlaw_zheng_tianshou","Homem Belo de Margem da Água"
"heroes.name_fancy.owl_cennius","Garra da Torre da Coruja"
"heroes.name_fancy.owl_eron","Trocador da Torre da Coruja"
"heroes.name_fancy.owl_featherino","Patife da Torre da Coruja"
"heroes.name_fancy.owl_fulvia","Rainha da Torre da Coruja"
"heroes.name_fancy.owl_juliani","Justiceiro da Torre da Coruja"
"heroes.name_fancy.owl_livia","Sacerdotisa da Torre da Coruja"
"heroes.name_fancy.owl_lodius","Berserker da Torre da Coruja"
"heroes.name_fancy.owl_mariol","Cortesã da Torre da Coruja"
"heroes.name_fancy.owl_olbec","Alquimista da Torre da Coruja"
"heroes.name_fancy.owl_ommodus","Justiceiro da Torre da Coruja"
"heroes.name_fancy.owl_paeia","Princesa da Torre da Coruja"
"heroes.name_fancy.owl_pertinax","Cavaleiro da Torre da Coruja"
"heroes.name_fancy.owl_relius","Herborista da Torre da Coruja"
"heroes.name_fancy.owl_timius","Vanguarda Real da Torre da Coruja"
"heroes.name_fancy.owl_verus","Comandante da Torre da Coruja"
"heroes.name_fancy.pirate_anne","Senhora de Corélia"
"heroes.name_fancy.pirate_boatswain","Contramestre de Corélia"
"heroes.name_fancy.pirate_cabin_boy","Rapaz da Cabana de Corélia"
"heroes.name_fancy.pirate_cabin_boy_costume_paper","Entregador do Litoral"
"heroes.name_fancy.pirate_commodore_finley","Comodoro de Corélia"
"heroes.name_fancy.pirate_commodore_finley_costume_bleak","Comodoro Sombrio"
"heroes.name_fancy.pirate_dread_captain","Capitão Apavorante de Corélia"
"heroes.name_fancy.pirate_dread_captain_costume_rotten","Capitão Podre de Corélia"
"heroes.name_fancy.pirate_finley","Timoneiro Vingativo de Corélia"
"heroes.name_fancy.pirate_first_mate","Imediato de Corélia"
"heroes.name_fancy.pirate_lady","Senhora de Corélia"
"heroes.name_fancy.pirate_lady_costume_queen","Rainha Rebelde"
"heroes.name_fancy.pirate_marie_therese","Rainha Vodu de Corélia"
"heroes.name_fancy.pirate_marie_therese_costume_priestess","Sacerdotiza Rouba-Almas"
"heroes.name_fancy.pirate_sally","Mascote de Corélia"
"heroes.name_fancy.pirate_swashbuckler","Capitão Bucaneiro de Corélia"
"heroes.name_fancy.pirate_vodnik","Pescador de Corélia"
"heroes.name_fancy.rabbit_blue","Guardião de Springvale"
"heroes.name_fancy.rabbit_blue_costume_riftbreaker","Destruidor de Fendas"
"heroes.name_fancy.rabbit_green","Campeão de Springvale"
"heroes.name_fancy.rabbit_green_costume_egg_hunter","Caçador de Ovos de Springvale"
"heroes.name_fancy.rabbit_red","Escudeiro de Springvale"
"heroes.name_fancy.royal_female_knight","Campeã teimosa"
"heroes.name_fancy.royal_female_knight_costume_cute","Campeã Fofa"
