"herocard.passive_skill.description.addmana.all.allies","Tous les alliés reçoivent une petite quantité de mana."
"herocard.passive_skill.description.summononownerdeath.slime_big_minion_purple.neartotargetexceptcaster.allies","Lorsque ce personnage est vaincu, des méga sbires gluants sont invoqués sur les alliés proches avec {FAMILIARHEALTHPERCENT} % de PV et {FAMILIARATTACK} % d'attaque hérités de ce personnage."
"herocard.passive_skill.description.summononownerdeath.slime_big_minion_red.neartotargetexceptcaster.allies","Lorsque ce personnage est vaincu, des méga sbires gluants sont invoqués sur les alliés proches avec {FAMILIARHEALTHPERCENT} % de PV et {FAMILIARATTACK} % d'attaque hérités de ce personnage."
"herocard.passive_skill.description.summononownerdeath.slime_big_minion_yellow.neartotargetexceptcaster.allies","Lorsque ce personnage est vaincu, des méga sbires gluants sont invoqués sur les alliés proches avec {FAMILIARHEALTHPERCENT} % de PV et {FAMILIARATTACK} % d'attaque hérités de ce personnage."
"herocard.passive_skill.description.summononreceiveddamagewiththreshold.slime_big_minion_blue","Si ce personnage perd plus {DAMAGETHRESHOLD} % de sa santé maximale en une seule fois, il invoque un méga sbire gluant pour lui-même avec {FAMILIARHEALTHPERCENT} % de PV et {FAMILIARATTACK} % d'attaque."
"herocard.passive_skill.description.summononreceiveddamagewiththreshold.slime_big_minion_green","Si ce personnage perd plus {DAMAGETHRESHOLD} % de sa santé maximale en une seule fois, il invoque un méga sbire gluant pour lui-même avec {FAMILIARHEALTHPERCENT} % de PV et {FAMILIARATTACK} % d'attaque."
"herocard.passive_skill.description.summononreceiveddamagewiththreshold.slime_big_minion_purple","Si ce personnage perd plus {DAMAGETHRESHOLD} % de sa santé maximale en une seule fois, il invoque un méga sbire gluant pour lui-même avec {FAMILIARHEALTHPERCENT} % de PV et {FAMILIARATTACK} % d'attaque."
"herocard.passive_skill.description.summononreceiveddamagewiththreshold.slime_big_minion_red","Si ce personnage perd plus {DAMAGETHRESHOLD} % de sa santé maximale en une seule fois, il invoque un méga sbire gluant pour lui-même avec {FAMILIARHEALTHPERCENT} % de PV et {FAMILIARATTACK} % d'attaque."
"herocard.passive_skill.description.summononreceiveddamagewiththreshold.slime_big_minion_yellow","Si ce personnage perd plus {DAMAGETHRESHOLD} % de sa santé maximale en une seule fois, il invoque un méga sbire gluant pour lui-même avec {FAMILIARHEALTHPERCENT} % de PV et {FAMILIARATTACK} % d'attaque."
"herocard.passive_skill.description.summononstatuseffectaddition.burn.forest_guardian.statuseffectdebuffs","À chaque fois que ce personnage subit une brûlure, il invoque un sbire gardien de la forêt pour lui-même. Le sbire hérite de {FAMILIARHEALTHPERCENT} % des PV et {FAMILIARATTACK} % de l'attaque du personnage."
"herocard.passive_skill.description.summononstatuseffectaddition.damageovertime.card_soldier_no_taunt.statuseffectdebuffs","À chaque fois que ce personnage subit un effet négatif de dégâts sur la durée, il invoque un sbire carte soldate pour lui-même. Le sbire hérite de {FAMILIARHEALTHPERCENT} % des PV et {FAMILIARATTACK} % de l'attaque du personnage."
"herocard.passive_skill.description.summononstatuseffectaddition.defensemodifier.bull.none","À chaque fois que ce personnage subit un effet négatif qui affecte sa défense, il invoque un sbire taureau pour lui-même. Le sbire hérite de {FAMILIARHEALTHPERCENT} % des PV et {FAMILIARATTACK} % de l'attaque du personnage."
"herocard.passive_skill.description.summononsummon.activates_on_enemy_action.allies.owl.minion","Invoque un sbire moineau pour vous lorsqu'un ennemi invoque un sbire par compétence spéciale."
"herocard.passive_skill.description.summononsummon.activates_on_enemy_action.enemies.cursed_sapling_parasite.minion","Quand un ennemi invoque des sbires avec sa compétence spéciale, ce personnage invoque un démon jeune pousse maudite contre cet ennemi."
"herocard.passive_skill.description.summononsummon.activates_on_enemy_action.enemies.seedling_parasite.minion","Quand un ennemi invoque des sbires avec sa compétence spéciale, ce personnage invoque un démon plantule contre cet ennemi."
"herocard.passive_skill.description.targetstatedependenteffectonspecial.healthboost.all.allies.fixedpower.always.checkstate.all.allies.dance","Si des alliés sont en train de danser lorsque ce personnage utilise sa compétence spéciale, la santé de tous les alliés est boostée de {HEALTHBOOST}. Le maximum de PV peut être dépassé."
"herocard.passive_skill.description.taunt","La compétence spéciale de ce personnage n'est pas affectée par la provocation."
"herocard.passive_skill.description.tileenhancementonspecial.accuracymodifier.blue","Les boucliers de glace sont affaiblis à hauteur de {MODIFIER} % de précision lorsque ce personnage utilise sa compétence spéciale."
"herocard.passive_skill.description.tileenhancementonspecial.accuracymodifier.green","Les boucliers de nature sont affaiblis à hauteur de {MODIFIER} % de précision lorsque ce personnage utilise sa compétence spéciale."
"herocard.passive_skill.description.tileenhancementonspecial.accuracymodifier.purple","Les boucliers sombres sont affaiblis à hauteur de {MODIFIER} % de précision lorsque ce personnage utilise sa compétence spéciale."
"herocard.passive_skill.description.tileenhancementonspecial.accuracymodifier.red","Les boucliers de feu sont affaiblis à hauteur de {MODIFIER} % de précision lorsque ce personnage utilise sa compétence spéciale."
"herocard.passive_skill.description.tileenhancementonspecial.accuracymodifier.yellow","Les boucliers sacrés sont affaiblis à hauteur de {MODIFIER} % de précision lorsque ce personnage utilise sa compétence spéciale."
"herocard.passive_skill.description.tileenhancementonspecial.criticalchancemultiplier.blue","Les boucliers de glace sont renforcés à hauteur de {MODIFIER} % de chances de coup critique lorsque ce personnage utilise sa compétence spéciale."
"herocard.passive_skill.description.tileenhancementonspecial.criticalchancemultiplier.green","Les boucliers de nature sont renforcés à hauteur de {MODIFIER} % de chances de coup critique lorsque ce personnage utilise sa compétence spéciale."
"herocard.passive_skill.description.tileenhancementonspecial.criticalchancemultiplier.purple","Les boucliers sombres sont renforcés à hauteur de {MODIFIER} % de chances de coup critique lorsque ce personnage utilise sa compétence spéciale."
"herocard.passive_skill.description.tileenhancementonspecial.criticalchancemultiplier.red","Les boucliers de feu sont renforcés à hauteur de {MODIFIER} % de chances de coup critique lorsque ce personnage utilise sa compétence spéciale."
"herocard.passive_skill.description.tileenhancementonspecial.criticalchancemultiplier.yellow","Les boucliers sacrés sont renforcés à hauteur de {MODIFIER} % de chances de coup critique lorsque ce personnage utilise sa compétence spéciale."
"herocard.passive_skill.description.transformstatuseffectonspecialcast.minorbuff.enemies.all.transform_attackmodifier_into_attackmodifier.transform_defensemodifier_into_defensemodifier.transform_managenerationmodifier_into_managenerationmodifier","À chaque fois que ce personnage utilise sa compétence spéciale, tous les bonus dissipables affectant l'attaque, la défense et la génération de mana des ennemis sont transformés en effets négatifs non dissipables équivalents."
"herocard.passive_skill.description.transformstatuseffectonspecialcast.minordebuff.allies.all.transform_attackmodifier_into_attackmodifier.transform_defensemodifier_into_defensemodifier.transform_managenerationmodifier_into_managenerationmodifier","À chaque fois que ce personnage utilise sa compétence spéciale, tous les effets négatifs purifiables affectant l'attaque, la défense et la génération de mana des alliés sont transformés en bonus non dissipables équivalents."
"herocard.passive_skill.description.wither.all.enemies","L'attaque et la défense de base de tous les ennemis diminuent de {STATINCREASE} à chaque tour pendant {MAXACTIVATIONCOUNT} tours."
"herocard.passive_skill.inactive","EFFET INACTIF : atteignez le niveau maximal et l'évolution complète pour l'activer."
"herocard.passive_skill.replace.minordebuff.attackmodifier.to.minorbuff.attackmodifier","Les malus d'attaque deviennent des bonus de {ATTACK} % pendant {TURNS} tours."
"herocard.passive_skill.replace.minordebuff.buffimmunity.to.minorbuff.debuffshield","Les immunités aux bonus deviennent des immunités aux malus pendant {TURNS} tours."
"herocard.passive_skill.replace.minordebuff.defensemodifier.to.minorbuff.defensemodifier","Les malus de défense deviennent des bonus de {DEFENSE} % pendant {TURNS} tours."
"herocard.passive_skill.replace.minordebuff.healingmodifier.to.minorbuff.healmultiplier","Les réductions de soins deviennent des bonus de {HEALING} % pendant {TURNS} tours."
"herocard.passive_skill.replace.minordebuff.manaeffect.to.minorbuff.managenerationmodifier","Les malus de mana deviennent des bonus de {MANAREGEN} % pendant {TURNS} tours."
"herocard.passive_skill.replace.minordebuff.receiveddamagemodifier.to.minorbuff.receiveddamagemodifier","Les augmentations des dégâts subis deviennent des réductions de {DAMAGEREDUCTION} % pendant {TURNS} tours."
"herocard.passive_skill.replace.minordebuff.statuseffectreflect.to.minorbuff.reflectminordebuffs","Les renvois de bonus deviennent des renvois de malus pendant {TURNS} tours."
"herocard.passive_skill.replace_direct_effect.attackwither","Les effets de flétrissement d'attaque deviennent des effets de croissance de {FIXEDPOWER} points."
"herocard.passive_skill.replace_direct_effect.defensewither","Les effets de flétrissement de défense deviennent des effets de croissance de {FIXEDPOWER} points."
"herocard.passive_skill.replace_direct_effect.dispel","Les dissipations de bonus deviennent des purifications de malus."
"herocard.passive_skill.replace_direct_effect.fiend.stylish_minion","Les démons deviennent des sbires élégants ({FAMILIARHEALTHPERCENT} % de PV, {FAMILIARATTACK} % d'attaque)."
"herocard.passive_skill.replace_direct_effect.manareduction","Les réductions de mana deviennent des bonus de {POWER} %."
"herocard.passive_skill.sidedependent.sideinfo.heroside","Compétence passive en attaque :"
"herocard.passive_skill.sidedependent.sideinfo.opponentside","Compétence passive en défense :"
"herocard.passive_skill.title.addstatuseffectsonenemyattackbuff","Effet appliqué lors de gain d'attaque ennemi"
"herocard.passive_skill.title.addstatuseffectsonenemydefensebuff","Effet appliqué lors de gain de défense ennemi"
"herocard.passive_skill.title.addstatuseffectsonmanareduction","Effet de statut lors de réduction de mana"
"herocard.passive_skill.title.bleed.effectondamageovertime.activates_on_enemy_action.addmana","Mana sur saignement"
"herocard.passive_skill.title.bleed.effectondamageovertime.activates_on_enemy_action.heal","Soin lors du saignement"
"herocard.passive_skill.title.burn.effectondamageovertime.activates_on_enemy_action.addmana","Mana après brûlure"
"herocard.passive_skill.title.bypassfamiliars.minion","Contournement des sbires"
"herocard.passive_skill.title.bypassfamiliars.minion.bigminion","Contournement de sbires supérieur"
"herocard.passive_skill.title.caststatuseffectdurationmodifier","Augmentation de la durée des effets"
"herocard.passive_skill.title.chargebasedmodifier.managenerationmodifier.dodgemodifier","Élan aérien"
"herocard.passive_skill.title.conditionaleffectovertime.addmana.everyturn.while.all.allies.haswither","Mana lors du flétrissement"
"herocard.passive_skill.title.conditionaleffectovertime.revival.while.single.allies.hasdeadallies","Résurrection au fil du temps"
"herocard.passive_skill.title.conditionaleffectovertime.usable_once.heal.addmana.everyturn.while.single.allies.lowhealth","Pouvoir de Sisu"
"herocard.passive_skill.title.convertincomingdamagetoheal.all.statuseffect","Beauté intérieure"
"herocard.passive_skill.title.convertincomingdamagetoheal.statuseffect","Beauté intérieure"
"herocard.passive_skill.title.corrosiveburncoreintrinsicchargeeffectonspecial.activates_on_ally_action.statuseffects.corrosiveburn","Noyau en fusion"
"herocard.passive_skill.title.corrosiveburncoreintrinsicchargeeffectonspecial.statuseffects.corrosiveburn","Noyau en fusion"
"herocard.passive_skill.title.corrosivecoreintrinsicchargeeffectonspecial.statuseffects.corrosivepoison","Noyau corrosif"
"herocard.passive_skill.title.corrosivefrostcoreintrinsicchargeeffectonspecial.statuseffects.corrosivefrost","Noyau arctique"
"herocard.passive_skill.title.criticalmodifier","Modificateur critique"
"herocard.passive_skill.title.criticalmodifiersupportcharacter.troop","Modificateur critique"
"herocard.passive_skill.title.critmodifier","Modificateur de chances de critique"
"herocard.passive_skill.title.damageincreasebyinsanity.troop.specialskill.npcnormalattack","Marque des anciens"
"herocard.passive_skill.title.dealtdamagemodifieronownedstatuseffect.bloodlily.stacks.enemies.single","Marque sanguine"
"herocard.passive_skill.title.dealtdamagemodifieronownedstatuseffect.dance.allstatuseffects.allies.all","Danse féroce"
"herocard.passive_skill.title.dealtstrongelementtroopdamage","Maîtrise des troupes"
"herocard.passive_skill.title.debuffdamagereduction","Réduction des dégâts des effets négatifs"
"herocard.passive_skill.title.debuffdamagereductionsupportcharacter.troop","Réduction des dégâts des effets négatifs"
"herocard.passive_skill.title.destructivecoreintrinsicchargeeffectonspecial.damage","Noyau destructeur"
"herocard.passive_skill.title.dispelonownfamiliardeath.minion.minordebuff","Purification lors de la mort d'un sbire"
"herocard.passive_skill.title.dodgespecialdamage","Esquive les dégâts spéciaux"
"herocard.passive_skill.title.doubleeffectonchargedspecial.statuseffects.stackingmanagenerationmodifier.stacks","Cumul lors de la compétence spéciale"
"herocard.passive_skill.title.eatfamiliarsonspecialcast.parasite.allies.single","Démons détruits par la compétence spéciale"
"herocard.passive_skill.title.eatfamiliarswitheffectpereatenfamiliarovertime.addmana","Consomme des sbires et obtient du mana au fil du temps"
"herocard.passive_skill.title.effectondamagedone.bufftoremove.minordebuff.latest.safe.specialskill.only_criticals.once","Purification lors des coups critiques offensifs"
"herocard.passive_skill.title.effectondamagedone.healthboost.specialskill.only_criticals.once","Santé boostée lors des attaques spéciales critiques"
"herocard.passive_skill.title.effectondamagedonetohealthiertarget.healthboost.specialskill.once.effectondamagereceivedfromhealthierattacker.addmana.specialskill","Rébellion justifiée"
"herocard.passive_skill.title.effectondamagereceived.addmana.specialskill","Mana sur dégâts spéciaux"
"herocard.passive_skill.title.effectondamagereceived.addmana.troop.npcnormalattack.specialskill","Mana sur dégâts reçus"
"herocard.passive_skill.title.effectondamagereceived.damage.specialskill.statuseffectskill.cover","Dégâts lors des compétences spéciales subies et des protections à couvert"
"herocard.passive_skill.title.effectondamagereceived.none.specialskill.exclude.statuseffect.stacking_attack_on_damage_received_passive","Charge d'attaque lors des dégâts reçus"
"herocard.passive_skill.title.effectondamagereceived.none.specialskill.exclude.statuseffect.stacking_attack_on_damage_received_passive_pve","Charge d'attaque lors des dégâts reçus"
"herocard.passive_skill.title.effectondispel.activates_on_ally_action.healthboost.minordebuff.removalreason.dispel.activates_on_dispel_cast.valid_caster_side.allies","Santé boostée sur tentative de purification alliée"
"herocard.passive_skill.title.effectondispel.activates_on_enemy_action.damage.minordebuff.removalreason.dispel.activates_on_dispel_cast.valid_caster_side.enemies","Dégâts sur tentative de purification ennemie"
"herocard.passive_skill.title.effectondispel.addmana.minorbuff","Mana après dissipation"
"herocard.passive_skill.title.effectondispel.addmana.minorbuff.removalreason.dispel","Mana après dissipation de bonus"
"herocard.passive_skill.title.effectondispel.heal.statuseffectdebuffs.removalreason.dispel.removal.reallocation.expiration","Soin de lors de l'expiration ou la suppression d'un effet négatif"
"herocard.passive_skill.title.effectondispel.healthboost.minorbuff.removalreason.dispel","Santé boostée lors des dissipations de bonus"
"herocard.passive_skill.title.effectonfamiliardamagedone.minion.frost","Givre sur coups des sbires"
"herocard.passive_skill.title.effectonheal.addmana","Mana lors de la récupération de santé"
"herocard.passive_skill.title.effectonheal.heal","Santé en plus lors de la récupération de santé"
"herocard.passive_skill.title.effectonhealsupportcharacter.troop.heal","Soins supplémentaires"
"herocard.passive_skill.title.effectonmanareduction.statuseffects.attackmodifier","Effet de statut lors de réduction de mana"
"herocard.passive_skill.title.effectonmanareduction.statuseffects.yellowdefensemodifier","Effet de statut lors de réduction de mana"
"herocard.passive_skill.title.effectonresist.activates_on_enemy_action.healthboost.addmana.once","Santé boostée et mana sur résistance"
"herocard.passive_skill.title.effectonspecialcastwitheffecttype.activates_on_enemy_action.addmana.on_healthboost_cast","Mana lors de compétences spéciales boostant la santé"
"herocard.passive_skill.title.effectonspecialcastwitheffecttype.activates_on_enemy_action.healthboost.on_healthboost_cast","Santé boostée lors de boost de santé ennemi"
"herocard.passive_skill.title.effectonspecialchancepermanaspeed","Effets lors de la compétence spéciale"
"herocard.passive_skill.title.effectonspecialskilldamagedone.bufftoremove.minordebuff.safe.only_criticals","Purification lors des coups critiques offensifs"
"herocard.passive_skill.title.effectonspecialskilldamagedone.healthboost.only_criticals","Santé boostée lors des attaques spéciales critiques"
"herocard.passive_skill.title.effectonspecialskilldamagereceived.healthboost.only_criticals","Santé boostée lors des attaques spéciales critiques"
"herocard.passive_skill.title.effectonspecialwithchance.activates_on_enemy_action.healthboost","Boost de santé lors des compétences spéciales ennemies"
"herocard.passive_skill.title.effectonspecialwithchance.addmana","Mana lors de la compétence spéciale"
"herocard.passive_skill.title.effectonspecialwithchance.bufftoremove.minorbuff.latest","Dissipation lors des compétences spéciales"
"herocard.passive_skill.title.effectonspecialwithchance.bufftoremove.minordebuff.latest","Purification lors des compétences spéciales"
"herocard.passive_skill.title.effectonspecialwithchance.damage","Dégâts lors de la compétence spéciale"
"herocard.passive_skill.title.effectonspecialwithchance.heal","Récupération de santé lors de la compétence spéciale"
"herocard.passive_skill.title.effectonspecialwithchance.healthboost","Santé boostée lors des compétences spéciales"
"herocard.passive_skill.title.effectonspecialwithchance.statuseffects","Effet appliqué lors de la compétence spéciale"
"herocard.passive_skill.title.effectonspecialwithchance.statuseffects.bleeding","Saignement lors des compétences spéciales"
"herocard.passive_skill.title.effectonspecialwithchance.statuseffects.curseofdoom","Malédiction lors des compétences spéciales"
"herocard.passive_skill.title.effectonspecialwithchance.statuseffects.damageovertime","Dégâts sur le temps lors des compétences spéciales"
"herocard.passive_skill.title.effectonspecialwithchance.statuseffects.extradamageagainstboostedhealth","Dégâts augmentés contre santé boostée"
"herocard.passive_skill.title.effectonspecialwithchance.statuseffects.huntersmark","Dégâts sur le temps lors des compétences spéciales"
"herocard.passive_skill.title.effectonspecialwithchance.statuseffects.managenerationmodifier","Effet appliqué lors de la compétence spéciale"
"herocard.passive_skill.title.effectonspecialwithchance.statuseffects.poison","Poison lors des compétences spéciales"
"herocard.passive_skill.title.effectonspecialwithchance.statuseffects.possession","Attaque irréfléchie lors de la compétence spéciale"
"herocard.passive_skill.title.effectonspecialwithchance.statuseffects.underwater","Dégâts sur le temps lors des compétences spéciales"
"herocard.passive_skill.title.effectonspecialwithmanaspeedthreshold.activates_on_enemy_action.damage.faster.average.once","Dégâts lors de compétence spéciale ennemie"
"herocard.passive_skill.title.effectonstatuseffectaddition.activates_on_enemy_action.addmana.allbuffs.taunt","Mana sur provocation"
"herocard.passive_skill.title.effectonstatuseffectaddition.activates_on_enemy_action.addmana.statuseffectbuffs.defensemodifier.once","Mana après bonus de défense ennemi"
"herocard.passive_skill.title.effectonstatuseffectaddition.activates_on_enemy_action.statuseffects.ubertitanstackingattackmodifier.allbuffs.defensemodifier","Effet appliqué lors de gain de défense ennemi"
"herocard.passive_skill.title.effectonstatuseffectaddition.activates_on_enemy_action.statuseffects.ubertitanstackingreceiveddamagemodifier.allbuffs.attackmodifier","Effet appliqué lors de gain d'attaque ennemi"
"herocard.passive_skill.title.effectonstatuseffectaddition.addmana.allbuffs","Mana lors de bonus"
"herocard.passive_skill.title.effectonstatuseffectaddition.addmana.alldebuffs","Mana lors d'effet négatif"
"herocard.passive_skill.title.effectonstatuseffectaddition.heal.allbuffs","Récupération de santé lors de bonus"
"herocard.passive_skill.title.effectonstatuseffectaddition.heal.alldebuffs","Récupération de santé lors d'effet négatif"
"herocard.passive_skill.title.effectonstatuseffectaddition.statuseffects.managenerationmodifier.alldebuffs","Bonus de mana lors d'effet négatif"
"herocard.passive_skill.title.effectonstatuseffectadditionwithchance.addmana.allbuffs","Mana lors de bonus"
"herocard.passive_skill.title.effectonstatuseffectadditionwithchance.heal.allbuffs","Récupération de santé lors de bonus"
"herocard.passive_skill.title.effectonstatuseffectremovalbyspecial.activates_on_ally_action.healthboost","Boost de santé sur suppression d'effet"
"herocard.passive_skill.title.effectonstatuseffectremovalbyspecial.activates_on_enemy_action.damage","Dégâts sur suppression d'effet"
"herocard.passive_skill.title.effectovertime.revival","Résurrection au fil du temps"
"herocard.passive_skill.title.effectovertimeperstatuseffect.addmana.everyturn.per.statuseffectbuffs.enemies","Mana pour chaque bonus ennemi"
"herocard.passive_skill.title.effectovertimeperstatuseffect.healthboost.everyturn.per.poison.statuseffectdebuffs.enemies","Boost de santé lors de poison"
"herocard.passive_skill.title.effectsonminionreceived.activates_on_ally_action.addmana.allies.minion","Mana lors de l'invocation de sbire"
"herocard.passive_skill.title.effectsonminionreceived.activates_on_ally_action.heal.addmana.allies.minion","Familiers amicaux"
"herocard.passive_skill.title.effectsonparasitereceived.activates_on_enemy_action.addmana.enemies.parasite","Mana lors d'invocation de démon"
"herocard.passive_skill.title.effectsonparasitereceived.activates_on_enemy_action.damage.enemies.parasite","Colère des familiers"
"herocard.passive_skill.title.effectsonparasitereceived.activates_on_enemy_action.healthboost.enemies.parasite","Santé boostée lors d'invocation de démon"
"herocard.passive_skill.title.familiaraccuracymodifier.all.enemies.minion.bigminion","Aveuglement de sbires"
"herocard.passive_skill.title.familiarcoreintrinsicchargeeffectonspecial.summonfamiliar.construct_minion_core","Noyau sbire"
"herocard.passive_skill.title.familiarhealthmodifier.all.enemies.bigminion.decrease","Méga sbires affaiblis"
"herocard.passive_skill.title.familiarhealthmodifier.all.enemies.minion.decrease","Méga affaiblis"
"herocard.passive_skill.title.familiarsilencer.all.enemies.bigminion","Méga sbires arrêtés"
"herocard.passive_skill.title.familiarsilencer.all.enemies.minion.follower","Sbires arrêtés"
"herocard.passive_skill.title.frost.effectondamageovertime.activates_on_enemy_action.addmana","Mana après gel"
"herocard.passive_skill.title.glass_reflect_debuffs","Verre"
"herocard.passive_skill.title.growth","Croissance"
"herocard.passive_skill.title.guaranteedeffectonspecial","Effet garanti lors de la compétence spéciale"
"herocard.passive_skill.title.healmodifier.all.enemies.decrease","Soins réduits"
"herocard.passive_skill.title.healonheal.heal","Soins supplémentaires"
"herocard.passive_skill.title.healonownfamiliardeath.minion","PV lors de la mort d'un sbire"
"herocard.passive_skill.title.healonownfamiliardeath.minion.healthboost","Santé boostée lors de la mort d'un sbire"
"herocard.passive_skill.title.increasedattackperelement.enemies.not.green","Attaque augmentée pour chaque ennemi autre que nature"
"herocard.passive_skill.title.increasedattackperelement.enemies.not.red","Attaque augmentée pour chaque ennemi autre que feu"
"herocard.passive_skill.title.increaseddamageagainstfamiliars.minion.bigminion","Dégâts supplémentaires contre les sbires et méga sbires"
"herocard.passive_skill.title.increaseddamageagainstminions","Dégâts supplémentaires contres les sbires"
"herocard.passive_skill.title.increasedspecialdamageagainsttaunt.taunt","Dégâts supplémentaires après provocation"
"herocard.passive_skill.title.increasespecialdamage","Augmentation des dégâts des compétences spéciales"
"herocard.passive_skill.title.increasespecialdamage.usable_once","Augmentation des dégâts des compétences spéciales"
"herocard.passive_skill.title.increasespecialdamagesupportcharacter.troop","Augmentation des dégâts des compétences spéciales"
"herocard.passive_skill.title.insanitydamagereduction","Marque des anciens"
"herocard.passive_skill.title.iterateeffectonspecial","Chances d'effet améliorées lors de la compétence spéciale"
"herocard.passive_skill.title.league_accuracy_modifier_against_family","Désavantage de ligue"
"herocard.passive_skill.title.league_featured_family_resist","Désavantage de ligue"
"herocard.passive_skill.title.league_heal_modifier_against_family","Désavantage de ligue"
"herocard.passive_skill.title.league_heal_modifier_for_family","Désavantage de ligue"
"herocard.passive_skill.title.league_received_damage_modifier_against_non_featured_family","Désavantage de ligue"
"herocard.passive_skill.title.managenerationmodifier.all.enemies","Malus de mana"
"herocard.passive_skill.title.manaonownfamiliardeath.minion","Mana lors de mort de sbire"
"herocard.passive_skill.title.manaonstatuseffect.debuff","Mana grâce aux effets négatifs"
"herocard.passive_skill.title.memorizefamiliars.activates_on_enemy_action","Mémorisation des sbires et démons ennemis"
"herocard.passive_skill.title.memorizestatuseffects","Mémorisation des effets négatifs"
"herocard.passive_skill.title.mimic_dread_damage_minions","Terreur"
"herocard.passive_skill.title.mimiclootonlevelcompleted","Butin d'imposteur"
"herocard.passive_skill.title.nevermissspecial","Précision parfaite"
"herocard.passive_skill.title.ransack","Opportunité du voleur"
"herocard.passive_skill.title.reallocatestatuseffectonspecialcast.damage.minorbuff.newest","Vol de bonus"
"herocard.passive_skill.title.reallocatestatuseffectonspecialcast.heal.minordebuff.newest","Sens de chasseur"
"herocard.passive_skill.title.received_strong_troop_damage_pve","Réduction des dégâts des troupes"
"herocard.passive_skill.title.receivedstrongelementsupportcharacterdamage","Maîtrise des troupes"
"herocard.passive_skill.title.receivedstrongelementsupportcharacterdamage.increase.dragon","Grande augmentation des dégâts des boules de feu"
"herocard.passive_skill.title.redirectlethaldamage.enemies.single","Trompe-la-mort"
"herocard.passive_skill.title.remove_growth_from_enemies","Ralliement de la garde"
"herocard.passive_skill.title.remove_wither_from_allies","Ralliement de la garde"
"herocard.passive_skill.title.repaircoreintrinsicchargeeffectonspecial.healthboost","Noyau réparateur"
"herocard.passive_skill.title.repeat_special_once","Coup de chance"
"herocard.passive_skill.title.resist.accuracymodifiers","Résistance à l'aveuglement"
"herocard.passive_skill.title.resist.alldebuffs","Résistance aux effets négatifs"
"herocard.passive_skill.title.resist.alldebuffs.alldebuffs","Résistance à tous les effets négatifs"
"herocard.passive_skill.title.resist.alldebuffs.manareduction.buffdispels","Résistance suprême"
"herocard.passive_skill.title.resist.alldefensemodifiers.alldebuffs","Résistance aux effets négatifs de défense"
"herocard.passive_skill.title.resist.alldefensemodifiers.defensewither.alldebuffs","Résistance à la réduction de défense"
"herocard.passive_skill.title.resist.allmanaeffects.alldebuffs","Résistance aux effets négatifs de mana"
"herocard.passive_skill.title.resist.allmanaeffects.manareduction.alldebuffs","Résistance aux malus de mana"
"herocard.passive_skill.title.resist.allstatuseffectdamage.none","Résistance aux dégâts des effets"
"herocard.passive_skill.title.resist.attackdelay","Résistance au retardement d'attaque"
"herocard.passive_skill.title.resist.attackmodifiers","Résistance aux effets négatifs d'attaque"
"herocard.passive_skill.title.resist.attackmodifiers.allstatuseffectsandstacks","Résistance aux effets touchant l'attaque"
"herocard.passive_skill.title.resist.attackmodifiers.attackwither.alldebuffs","Résistance à la réduction d'attaque"
"herocard.passive_skill.title.resist.bleed","Résistance au saignement"
"herocard.passive_skill.title.resist.bleed.with_effect.healthboost.addmana","Résistance au saignement surpuissante"
"herocard.passive_skill.title.resist.buffdispels","Résistance aux retraits"
"herocard.passive_skill.title.resist.buffimmunity","Résistance au blocage de bonus"
"herocard.passive_skill.title.resist.burn","Résistance aux brûlures"
"herocard.passive_skill.title.resist.burn.with_effect.healthboost.addmana","Résistance à la brûlure surpuissante"
"herocard.passive_skill.title.resist.criticalhits.none","Résistance aux coups critiques"
"herocard.passive_skill.title.resist.defensemodifiers.alldebuffs","Résistance aux effets négatifs de défense"
"herocard.passive_skill.title.resist.familiarremoval.familiarsilence.familiarreceivingblocking.minion","Sbires inarrêtables"
"herocard.passive_skill.title.resist.frost","Résistance au givre"
"herocard.passive_skill.title.resist.frost.with_effect.healthboost.addmana","Résistance au givre surpuissante"
"herocard.passive_skill.title.resist.healeffects","Résistance aux effets négatifs affectant les soins"
"herocard.passive_skill.title.resist.healthsteal","Résistance aux effets de vol de santé"
"herocard.passive_skill.title.resist.insanity.permanentstatuseffects","Résistance à la folie"
"herocard.passive_skill.title.resist.manadebuffs","Résistance aux effets négatifs de mana"
"herocard.passive_skill.title.resist.manaeffectsandspecialblocking","Résistance aux effets négatifs de mana et au blocage des compétences spéciales"
"herocard.passive_skill.title.resist.managenerationmodifiers.alldebuffs","Résistance aux effets négatifs de génération de mana"
"herocard.passive_skill.title.resist.manareduction","Résistance à la réduction de mana directe"
"herocard.passive_skill.title.resist.manareduction.none.with_effect.healthboost.addmana","Résistance à la réduction de mana directe surpuissante"
"herocard.passive_skill.title.resist.maxhealthreduction","Résistance à la réduction de maximum de mana"
"herocard.passive_skill.title.resist.poison","Résistance au poison"
"herocard.passive_skill.title.resist.poison.burn.bleed","Résiste à poison, brûlure et saignement"
"herocard.passive_skill.title.resist.possession.allstatuseffects","Résistance à la possession"
"herocard.passive_skill.title.resist.sand","Résistance au sable"
"herocard.passive_skill.title.resist.specialblocking","Résistance au blocage des compétences spéciales"
"herocard.passive_skill.title.resist.specialblocking.with_effect.healthboost.addmana","Résistance renforcée au blocage des compétences spéciales"
"herocard.passive_skill.title.resist.stopmanageneration","Résistance à l'arrêt de génération de mana"
