"herocard.passive_skill.description.addmana.all.allies","Alle allierte får en liten mengde mana."
"herocard.passive_skill.description.summonfamiliarperturn.evolving_seedling_parasite_with_delay_rare.enemies.sharedonceperturn","Fremkaller en frøplante-djevel hver runde til en tilfeldig fiende. Denne passive ferdigheten aktiveres kun én gang per runde for hvert lag.
Frøplante-djevelen utvikler seg til en knopp-djevel etter {EVOLVINGFAMILIAR1EVOLVETURNS} runder.
Knopp-djevelen utvikler seg til en blomst-megadjevel etter {EVOLVINGFAMILIAR2EVOLVETURNS} runder.
Utviklingen til djevelen er forsinket med {EVOLVINGFAMILIAR1EVOLVETURNSDELAY} runde hver gang de absorberer helbredelse.

Frøplante-djevel:
{EVOLVINGFAMILIAR1FAMILIARATTACK} % angrep, {EVOLVINGFAMILIAR1FAMILIARHEALTHPERCENT} % helse.

Knopp-djevel:
{EVOLVINGFAMILIAR2FAMILIARATTACK} % angrep, {EVOLVINGFAMILIAR2FAMILIARHEALTHPERCENT} % helse.

Blomst-megadjevel:
{EVOLVINGFAMILIAR3FAMILIARATTACK} % angrep, {EVOLVINGFAMILIAR3FAMILIARHEALTHPERCENT} % helse."
"herocard.passive_skill.description.summononownerdeath.slime_big_minion_blue.neartotargetexceptcaster.allies","Når denne figuren beseires, tilkaller den slim-megaundersåtter til allierte i nærheten med {FAMILIARHEALTHPERCENT} % HP og {FAMILIARATTACK} % arvet fra denne figuren."
"herocard.passive_skill.description.summononownerdeath.slime_big_minion_green.neartotargetexceptcaster.allies","Når denne figuren beseires, tilkaller den slim-megaundersåtter til allierte i nærheten med {FAMILIARHEALTHPERCENT} % HP og {FAMILIARATTACK} % arvet fra denne figuren."
"herocard.passive_skill.description.summononownerdeath.slime_big_minion_purple.neartotargetexceptcaster.allies","Når denne figuren beseires, tilkaller den slim-megaundersåtter til allierte i nærheten med {FAMILIARHEALTHPERCENT} % HP og {FAMILIARATTACK} % arvet fra denne figuren."
"herocard.passive_skill.description.summononownerdeath.slime_big_minion_red.neartotargetexceptcaster.allies","Når denne figuren beseires, tilkaller den slim-megaundersåtter til allierte i nærheten med {FAMILIARHEALTHPERCENT} % HP og {FAMILIARATTACK} % arvet fra denne figuren."
"herocard.passive_skill.description.summononownerdeath.slime_big_minion_yellow.neartotargetexceptcaster.allies","Når denne figuren beseires, tilkaller den slim-megaundersåtter til allierte i nærheten med {FAMILIARHEALTHPERCENT} % HP og {FAMILIARATTACK} % arvet fra denne figuren."
"herocard.passive_skill.description.summononreceiveddamagewiththreshold.slime_big_minion_blue","Hvis denne figuren mister mer enn {DAMAGETHRESHOLD} % av maksimal helse samtidig, tilkaller den en slim-megaundersått til seg selv med {FAMILIARHEALTHPERCENT} % helse og {FAMILIARATTACK} % angrep."
"herocard.passive_skill.description.summononreceiveddamagewiththreshold.slime_big_minion_green","Hvis denne figuren mister mer enn {DAMAGETHRESHOLD} % av maksimal helse samtidig, tilkaller den en slim-megaundersått til seg selv med {FAMILIARHEALTHPERCENT} % helse og {FAMILIARATTACK} % angrep."
"herocard.passive_skill.description.summononreceiveddamagewiththreshold.slime_big_minion_purple","Hvis denne figuren mister mer enn {DAMAGETHRESHOLD} % av maksimal helse samtidig, tilkaller den en slim-megaundersått til seg selv med {FAMILIARHEALTHPERCENT} % helse og {FAMILIARATTACK} % angrep."
"herocard.passive_skill.description.summononreceiveddamagewiththreshold.slime_big_minion_red","Hvis denne figuren mister mer enn {DAMAGETHRESHOLD} % av maksimal helse samtidig, tilkaller den en slim-megaundersått til seg selv med {FAMILIARHEALTHPERCENT} % helse og {FAMILIARATTACK} % angrep."
"herocard.passive_skill.description.summononreceiveddamagewiththreshold.slime_big_minion_yellow","Hvis denne figuren mister mer enn {DAMAGETHRESHOLD} % av maksimal helse samtidig, tilkaller den en slim-megaundersått til seg selv med {FAMILIARHEALTHPERCENT} % helse og {FAMILIARATTACK} % angrep."
"herocard.passive_skill.description.summononstatuseffectaddition.burn.forest_guardian.statuseffectdebuffs","Hver gang denne figuren mottar en brann-statuslidelse, påkaller den en skogsvokter-undersått til seg selv. Skogsvokter-undersåtter nedarver {FAMILIARHEALTHPERCENT} % HP og {FAMILIARATTACK} % angrep fra denne figuren."
"herocard.passive_skill.description.summononstatuseffectaddition.damageovertime.card_soldier_no_taunt.statuseffectdebuffs","Hver gang denne figuren mottar en skade over tid-statuslidelse, påkaller den en kortsoldat-undersått til seg selv. Kortsoldat-undersåtter nedarver {FAMILIARHEALTHPERCENT} % HP og {FAMILIARATTACK} % angrep fra denne figuren."
"herocard.passive_skill.description.summononstatuseffectaddition.defensemodifier.bull.none","Hver gang denne figuren mottar en statuslidelse som påvirker forsvaret dens, påkaller den en okseundersått til seg selv. Okseundersåtter nedarver {FAMILIARHEALTHPERCENT} % HP og {FAMILIARATTACK} % angrep fra denne figuren."
"herocard.passive_skill.description.summononsummon.activates_on_enemy_action.allies.owl.minion","Fremkaller en spurv-undersått til seg selv når en fiende fremkaller en undersått med en spesialferdighet."
"herocard.passive_skill.description.summononsummon.activates_on_enemy_action.enemies.cursed_sapling_parasite.minion","Når en fiende påkaller en undersått med en spesialferdighet, påkaller denne figuren en forbannet ungtre-djevel for den fienden."
"herocard.passive_skill.description.summononsummon.activates_on_enemy_action.enemies.seedling_parasite.minion","Når en fiende påkaller en undersått med en spesialferdighet, påkaller denne figuren en frøplante-djevel for den fienden."
"herocard.passive_skill.description.targetstatedependenteffectonspecial.healthboost.all.allies.fixedpower.always.checkstate.all.allies.dance","Hvis noen allierte danser når denne figuren bruker spesialferdigheten sin, øker helsen til alle allierte med {HEALTHBOOST}. Økt helse kan overskride maksimal HP."
"herocard.passive_skill.description.taunt","Denne figurens spesialferdighet påvirkes ikke av Provoser."
"herocard.passive_skill.description.tileenhancementonspecial.accuracymodifier.blue","Is-skjold på brettet svekkes med {MODIFIER} % treffsikkerhet når denne figuren bruker spesialferdigheten sin."
"herocard.passive_skill.description.tileenhancementonspecial.accuracymodifier.green","Natur-skjold på brettet svekkes med {MODIFIER} % treffsikkerhet når denne figuren bruker spesialferdigheten sin."
"herocard.passive_skill.description.tileenhancementonspecial.accuracymodifier.purple","Mørke-skjold på brettet svekkes med {MODIFIER} % treffsikkerhet når denne figuren bruker spesialferdigheten sin."
"herocard.passive_skill.description.tileenhancementonspecial.accuracymodifier.red","Ild-skjold på brettet svekkes med {MODIFIER} % treffsikkerhet når denne figuren bruker spesialferdigheten sin."
"herocard.passive_skill.description.tileenhancementonspecial.accuracymodifier.yellow","Hellig-skjold på brettet svekkes med {MODIFIER} % treffsikkerhet når denne figuren bruker spesialferdigheten sin."
"herocard.passive_skill.description.tileenhancementonspecial.criticalchancemultiplier.blue","Is-skjold på brettet forbedres med {MODIFIER} % kritisk treff når denne figuren bruker spesialferdigheten sin."
"herocard.passive_skill.description.tileenhancementonspecial.criticalchancemultiplier.green","Natur-skjold på brettet forbedres med {MODIFIER} % kritisk treff når denne figuren bruker spesialferdigheten sin."
"herocard.passive_skill.description.tileenhancementonspecial.criticalchancemultiplier.purple","Mørke-skjold på brettet forbedres med {MODIFIER} % kritisk treff når denne figuren bruker spesialferdigheten sin."
"herocard.passive_skill.description.tileenhancementonspecial.criticalchancemultiplier.red","Ild-skjold på brettet forbedres med {MODIFIER} % kritisk treff når denne figuren bruker spesialferdigheten sin."
"herocard.passive_skill.description.tileenhancementonspecial.criticalchancemultiplier.yellow","Hellig-skjold på brettet forbedres med {MODIFIER} % kritisk treff når denne figuren bruker spesialferdigheten sin."
"herocard.passive_skill.description.transformstatuseffectonspecialcast.minorbuff.enemies.all.transform_attackmodifier_into_attackmodifier.transform_defensemodifier_into_defensemodifier.transform_managenerationmodifier_into_managenerationmodifier","Hver gang denne figuren bruker spesialferdigheten sin, vil alle økninger som kan fjernes som påvirker angrep, forsvar og mana-generering for alle fiender, forvandles til matchende statuslidelser som ikke kan fjernes."
"herocard.passive_skill.description.transformstatuseffectonspecialcast.minordebuff.allies.all.transform_attackmodifier_into_attackmodifier.transform_defensemodifier_into_defensemodifier.transform_managenerationmodifier_into_managenerationmodifier","Hver gang denne figuren bruker spesialferdigheten sin, vil alle statuslidelser som kan renses som påvirker angrep, forsvar og mana-generering for alle allierte, forvandles til matchende økninger som ikke kan fjernes."
"herocard.passive_skill.description.wither.all.enemies","Grunnangrep og grunnforsvar til alle fiender reduseres med {STATINCREASE} hver runde i {MAXACTIVATIONCOUNT} runder."
"herocard.passive_skill.inactive","INAKTIV: Nå maksimalt nivå og full forbedring for å aktivere."
"herocard.passive_skill.replace.minordebuff.attackmodifier.to.minorbuff.attackmodifier","Angrepslidelser til {ATTACK} % angrep i {TURNS} runder."
"herocard.passive_skill.replace.minordebuff.buffimmunity.to.minorbuff.debuffshield","Økning-lidelseimmunitet til lidelseimmunitet i {TURNS} runder."
"herocard.passive_skill.replace.minordebuff.damageovertime.to.minorbuff.fixedhealthrecovery","Statuslidelser med skade over tid til {TOTAL} HP regenerert over {TURNS} runder."
"herocard.passive_skill.replace.minordebuff.defensemodifier.to.minorbuff.defensemodifier","Forsvarslidelser til {DEFENSE} % forsvar i {TURNS} runder."
"herocard.passive_skill.replace.minordebuff.healingmodifier.to.minorbuff.healmultiplier","Reduksjoner av helbredelse til {HEALING} % økt helbredelse i {TURNS} runder."
"herocard.passive_skill.replace.minordebuff.manaeffect.to.minorbuff.managenerationmodifier","Manalidelser konverteres til {MANAREGEN} % managenerering i {TURNS} runder."
"herocard.passive_skill.replace.minordebuff.receiveddamagemodifier.to.minorbuff.receiveddamagemodifier","Skadeøkning-lidelser til {DAMAGEREDUCTION} % skadereduksjon i {TURNS} runder."
"herocard.passive_skill.replace.minordebuff.statuseffectreflect.to.minorbuff.reflectminordebuffs","Økning reflekterer lidelser til lidelse reflekterer økninger i {TURNS} runder."
"herocard.passive_skill.replace_direct_effect.attackwither","Angrep-visning til angrep-vekst: {FIXEDPOWER} angrep."
"herocard.passive_skill.replace_direct_effect.defensewither","Forsvar-visning til forsvar-vekst: {FIXEDPOWER} forsvar."
"herocard.passive_skill.replace_direct_effect.dispel","Økningfjerninger til lidelsesrensinger."
"herocard.passive_skill.replace_direct_effect.fiend.stylish_minion","Djevler til stilige undersåtter ({FAMILIARHEALTHPERCENT} % HP, {FAMILIARATTACK} % angrep)."
"herocard.passive_skill.replace_direct_effect.manareduction","Manareduksjon til en {POWER} % manaøkning."
"herocard.passive_skill.sidedependent.sideinfo.heroside","Passiv ferdighet som angripende figur:"
"herocard.passive_skill.sidedependent.sideinfo.opponentside","Passiv ferdighet som forsvarende figur:"
"herocard.passive_skill.title.addstatuseffectsonenemyattackbuff","Statuseffekt på fiendens angrepsøkning"
"herocard.passive_skill.title.addstatuseffectsonenemydefensebuff","Statuseffekt på fiendens forsvarsøkning"
"herocard.passive_skill.title.addstatuseffectsonmanareduction","Statuseffekt på manareduksjon"
"herocard.passive_skill.title.bleed.effectondamageovertime.activates_on_enemy_action.addmana","Mana ved blødning"
"herocard.passive_skill.title.bleed.effectondamageovertime.activates_on_enemy_action.heal","Helbred ved blødning"
"herocard.passive_skill.title.burn.effectondamageovertime.activates_on_enemy_action.addmana","Mana ved brann"
"herocard.passive_skill.title.bypassfamiliars.minion","Forbigå undersåtter"
"herocard.passive_skill.title.bypassfamiliars.minion.bigminion","Forbigå undersåtter (overlegen)"
"herocard.passive_skill.title.caststatuseffectdurationmodifier","Økt varighet på statuseffekt"
"herocard.passive_skill.title.chargebasedmodifier.managenerationmodifier.dodgemodifier","Flymomentum"
"herocard.passive_skill.title.conditionaleffectovertime.addmana.everyturn.while.all.allies.haswither","Mana under visning"
"herocard.passive_skill.title.conditionaleffectovertime.revival.while.single.allies.hasdeadallies","Gjenopplev over tid"
"herocard.passive_skill.title.conditionaleffectovertime.usable_once.heal.addmana.everyturn.while.single.allies.lowhealth","Sisus kraft"
"herocard.passive_skill.title.convertincomingdamagetoheal.all.statuseffect","Vakker på innsiden"
"herocard.passive_skill.title.convertincomingdamagetoheal.statuseffect","Vakker på innsiden"
"herocard.passive_skill.title.corrosiveburncoreintrinsicchargeeffectonspecial.activates_on_ally_action.statuseffects.corrosiveburn","Moltenkjerne"
"herocard.passive_skill.title.corrosiveburncoreintrinsicchargeeffectonspecial.statuseffects.corrosiveburn","Moltenkjerne"
"herocard.passive_skill.title.corrosivecoreintrinsicchargeeffectonspecial.statuseffects.corrosivepoison","Etsekjerne"
"herocard.passive_skill.title.corrosivefrostcoreintrinsicchargeeffectonspecial.statuseffects.corrosivefrost","Arktisk kjerne"
"herocard.passive_skill.title.criticalmodifier","Fulltreffer-modifikator"
"herocard.passive_skill.title.criticalmodifiersupportcharacter.troop","Fulltreffer-modifikator"
"herocard.passive_skill.title.critmodifier","Fulltreffersjanse-modifikator"
"herocard.passive_skill.title.damageincreasebyinsanity.troop.specialskill.npcnormalattack","Merket av de gamle"
"herocard.passive_skill.title.dealtdamagemodifieronownedstatuseffect.bloodlily.stacks.enemies.single","Optimistisk merke"
"herocard.passive_skill.title.dealtdamagemodifieronownedstatuseffect.dance.allstatuseffects.allies.all","Vill danser"
"herocard.passive_skill.title.dealtstrongelementtroopdamage","Troppmestring"
"herocard.passive_skill.title.debuffdamagereduction","Skadereduskjon fra statustilstand"
"herocard.passive_skill.title.debuffdamagereductionsupportcharacter.troop","Skadereduskjon fra statustilstand"
"herocard.passive_skill.title.destructivecoreintrinsicchargeeffectonspecial.damage","Ødeleggelseskjerne"
"herocard.passive_skill.title.dispelonownfamiliardeath.minion.minordebuff","Fjern når undersått dør"
"herocard.passive_skill.title.dodgespecialdamage","Unnvik spesialskade"
"herocard.passive_skill.title.doubleeffectonchargedspecial.statuseffects.stackingmanagenerationmodifier.stacks","Stable ved spesial"
"herocard.passive_skill.title.eatfamiliarsonspecialcast.parasite.allies.single","Ødelegg djevler ved spesial"
"herocard.passive_skill.title.eatfamiliarswitheffectpereatenfamiliarovertime.addmana","Spis undersåtter og få mana over tid"
"herocard.passive_skill.title.effectondamagedone.bufftoremove.minordebuff.latest.safe.specialskill.only_criticals.once","Rens ved kritisk spesialangrep"
"herocard.passive_skill.title.effectondamagedone.healthboost.specialskill.only_criticals.once","Helseøkning ved kritisk spesialangrep"
"herocard.passive_skill.title.effectondamagedonetohealthiertarget.healthboost.specialskill.once.effectondamagereceivedfromhealthierattacker.addmana.specialskill","Rettferdig opprør"
"herocard.passive_skill.title.effectondamagereceived.addmana.specialskill","Mana ved spesialskade"
"herocard.passive_skill.title.effectondamagereceived.addmana.troop.npcnormalattack.specialskill","Mana ved skade tatt"
"herocard.passive_skill.title.effectondamagereceived.damage.specialskill.statuseffectskill.cover","Skade ved spesialferdighet og dekkskade"
"herocard.passive_skill.title.effectondamagereceived.none.specialskill.exclude.statuseffect.stacking_attack_on_damage_received_passive","Stabling av angrep ved skade mottatt"
"herocard.passive_skill.title.effectondamagereceived.none.specialskill.exclude.statuseffect.stacking_attack_on_damage_received_passive_pve","Stabling av angrep ved skade mottatt"
"herocard.passive_skill.title.effectondispel.activates_on_ally_action.healthboost.minordebuff.removalreason.dispel.activates_on_dispel_cast.valid_caster_side.allies","Økt helse når alliert prøver rensing"
"herocard.passive_skill.title.effectondispel.activates_on_enemy_action.damage.minordebuff.removalreason.dispel.activates_on_dispel_cast.valid_caster_side.enemies","Skade når fiende prøver rensing"
"herocard.passive_skill.title.effectondispel.addmana.minorbuff","Mana ved fjerning"
"herocard.passive_skill.title.effectondispel.addmana.minorbuff.removalreason.dispel","Mana ved fjerning av økning"
"herocard.passive_skill.title.effectondispel.heal.statuseffectdebuffs.removalreason.dispel.removal.reallocation.expiration","Helbred når statuslidelse utløper eller forsvinner"
"herocard.passive_skill.title.effectondispel.healthboost.minorbuff.removalreason.dispel","Helseøkning ved fjerning av økning"
"herocard.passive_skill.title.effectonfamiliardamagedone.minion.frost","Frost når undersått treffer"
"herocard.passive_skill.title.effectonheal.addmana","Mana når helse tilbake"
"herocard.passive_skill.title.effectonheal.heal","Ekstra helse ved helse tilbake"
"herocard.passive_skill.title.effectonhealsupportcharacter.troop.heal","Ekstra HELBREDELSE"
"herocard.passive_skill.title.effectonmanareduction.statuseffects.attackmodifier","Statuseffekt på manareduksjon"
"herocard.passive_skill.title.effectonmanareduction.statuseffects.yellowdefensemodifier","Statuseffekt på manareduksjon"
"herocard.passive_skill.title.effectonownerdeath.damage.statuseffects.bleeding","Æreløst nederlag"
"herocard.passive_skill.title.effectonresist.activates_on_enemy_action.healthboost.addmana.once","Helseøkning og mana ved motstand"
"herocard.passive_skill.title.effectonspecialcastwitheffecttype.activates_on_enemy_action.addmana.on_healthboost_cast","Mana ved bruk av spesialferdighet som øker helse"
"herocard.passive_skill.title.effectonspecialcastwitheffecttype.activates_on_enemy_action.healthboost.on_healthboost_cast","Økt helse ved fiendtlig helseøkning"
"herocard.passive_skill.title.effectonspecialchancepermanaspeed","Effekter på spesialferdighet"
"herocard.passive_skill.title.effectonspecialskilldamagedone.bufftoremove.minordebuff.safe.only_criticals","Rens ved kritisk spesialangrep"
"herocard.passive_skill.title.effectonspecialskilldamagedone.healthboost.only_criticals","Helseøkning ved kritisk spesialangrep"
"herocard.passive_skill.title.effectonspecialskilldamagereceived.healthboost.only_criticals","Helseøkning ved kritisk spesialangrep"
"herocard.passive_skill.title.effectonspecialwithchance.activates_on_ally_action.does_not_activate_on_owner_action.damage.directeffect1_statuseffects.defensemodifier","Gnage"
"herocard.passive_skill.title.effectonspecialwithchance.activates_on_enemy_action.healthboost","Booster helse når fienden bruker spesial"
"herocard.passive_skill.title.effectonspecialwithchance.addmana","Mana ved spesial"
"herocard.passive_skill.title.effectonspecialwithchance.bufftoremove.minorbuff.latest","Fjerning på spesialferdighet"
"herocard.passive_skill.title.effectonspecialwithchance.bufftoremove.minordebuff.latest","Rens på spesialferdighet"
"herocard.passive_skill.title.effectonspecialwithchance.damage","Skade ved spesial"
"herocard.passive_skill.title.effectonspecialwithchance.heal","Helse tilbake ved spesial"
"herocard.passive_skill.title.effectonspecialwithchance.healthboost","Helseøkning på spesialferdighet"
"herocard.passive_skill.title.effectonspecialwithchance.statuseffects","Statustilstand ved spesial"
"herocard.passive_skill.title.effectonspecialwithchance.statuseffects.bleeding","Blødning ved spesialferdighet"
"herocard.passive_skill.title.effectonspecialwithchance.statuseffects.curseofdoom","Forbannelse på spesialferdighet"
"herocard.passive_skill.title.effectonspecialwithchance.statuseffects.damageovertime","Skade over tid på spesial"
"herocard.passive_skill.title.effectonspecialwithchance.statuseffects.extradamageagainstboostedhealth","Økt skade mot økt helse"
"herocard.passive_skill.title.effectonspecialwithchance.statuseffects.huntersmark","Skade over tid på spesial"
"herocard.passive_skill.title.effectonspecialwithchance.statuseffects.managenerationmodifier","Statustilstand ved spesial"
"herocard.passive_skill.title.effectonspecialwithchance.statuseffects.poison","Gift på spesialferdighet"
"herocard.passive_skill.title.effectonspecialwithchance.statuseffects.possession","Tankeløst angrep ved spesialferdighet"
"herocard.passive_skill.title.effectonspecialwithchance.statuseffects.stackingdefensemodifier","Stable ved spesial"
"herocard.passive_skill.title.effectonspecialwithchance.statuseffects.stackinghealthgeneration","Stable ved spesial"
"herocard.passive_skill.title.effectonspecialwithchance.statuseffects.underwater","Skade over tid på spesial"
"herocard.passive_skill.title.effectonspecialwithmanaspeedthreshold.activates_on_enemy_action.damage.faster.average.once","Skade ved fiendes spesial"
"herocard.passive_skill.title.effectonstatuseffectaddition.activates_on_enemy_action.addmana.allbuffs.taunt","Mana ved provosering"
"herocard.passive_skill.title.effectonstatuseffectaddition.activates_on_enemy_action.addmana.statuseffectbuffs.defensemodifier.once","Mana når fiende får defensiv økning"
"herocard.passive_skill.title.effectonstatuseffectaddition.activates_on_enemy_action.statuseffects.ubertitanstackingattackmodifier.allbuffs.defensemodifier","Statuseffekt på fiendens forsvarsøkning"
"herocard.passive_skill.title.effectonstatuseffectaddition.activates_on_enemy_action.statuseffects.ubertitanstackingreceiveddamagemodifier.allbuffs.attackmodifier","Statuseffekt på fiendens angrepsøkning"
"herocard.passive_skill.title.effectonstatuseffectaddition.addmana.allbuffs","Mana ved økning mottatt"
"herocard.passive_skill.title.effectonstatuseffectaddition.addmana.alldebuffs","Mana når statuseffekt mottatt"
"herocard.passive_skill.title.effectonstatuseffectaddition.heal.allbuffs","Helse tilbake når økning mottatt"
"herocard.passive_skill.title.effectonstatuseffectaddition.heal.alldebuffs","Helse tilbake når statuseffekt mottatt"
"herocard.passive_skill.title.effectonstatuseffectaddition.statuseffects.managenerationmodifier.alldebuffs","Manaøkning når statuseffekt mottatt"
"herocard.passive_skill.title.effectonstatuseffectadditionwithchance.addmana.allbuffs","Mana ved økning mottatt"
"herocard.passive_skill.title.effectonstatuseffectadditionwithchance.heal.allbuffs","Helse tilbake når økning mottatt"
"herocard.passive_skill.title.effectonstatuseffectremovalbyspecial.activates_on_ally_action.healthboost","Økt helse når statuseffekt fjernes"
"herocard.passive_skill.title.effectonstatuseffectremovalbyspecial.activates_on_enemy_action.damage","Skade når statuseffekt fjernes"
"herocard.passive_skill.title.effectovertime.revival","Gjenopplev over tid"
"herocard.passive_skill.title.effectovertimeperstatuseffect.addmana.everyturn.per.statuseffectbuffs.enemies","Mana per fiendeøkning"
"herocard.passive_skill.title.effectovertimeperstatuseffect.healthboost.everyturn.per.poison.statuseffectdebuffs.enemies","Helseøkning ved gift"
"herocard.passive_skill.title.effectsonminionreceived.activates_on_ally_action.addmana.allies.minion","Mana når undersått fremkalles"
"herocard.passive_skill.title.effectsonminionreceived.activates_on_ally_action.heal.addmana.allies.minion","Venn av kjenninger"
"herocard.passive_skill.title.effectsonparasitereceived.activates_on_enemy_action.addmana.enemies.parasite","Mana når djevel fremkalles"
"herocard.passive_skill.title.effectsonparasitereceived.activates_on_enemy_action.damage.enemies.parasite","Kjæledyrs vrede"
"herocard.passive_skill.title.effectsonparasitereceived.activates_on_enemy_action.healthboost.enemies.parasite","Helseøkning når djevel fremkalles"
"herocard.passive_skill.title.empowered_toon_resist_manareduction_dispels","Styrkende toon"
"herocard.passive_skill.title.familiaraccuracymodifier.all.enemies.minion.bigminion","Blending av undersått"
"herocard.passive_skill.title.familiarcoreintrinsicchargeeffectonspecial.summonfamiliar.construct_minion_core","Undersåttkjerne"
"herocard.passive_skill.title.familiarhealthmodifier.all.enemies.bigminion.decrease","Svakere megaundersåtter"
"herocard.passive_skill.title.familiarhealthmodifier.all.enemies.minion.decrease","Svakere undersåtter"
"herocard.passive_skill.title.familiarsilencer.all.enemies.bigminion","Stopp megaundersåtter"
"herocard.passive_skill.title.familiarsilencer.all.enemies.minion.follower","Stopp undersåtter"
"herocard.passive_skill.title.frost.effectondamageovertime.activates_on_enemy_action.addmana","Mana ved frost"
"herocard.passive_skill.title.glass_reflect_debuffs","Glass"
"herocard.passive_skill.title.growth","Vekst"
"herocard.passive_skill.title.guaranteedeffectonspecial","Garanerte effekter på spesialferdigheter"
"herocard.passive_skill.title.healmodifier.all.enemies.decrease","Redusert helbredelse"
"herocard.passive_skill.title.healonheal.heal","Ekstra HELBREDELSE"
"herocard.passive_skill.title.healonownfamiliardeath.minion","Helse dra død undersått"
"herocard.passive_skill.title.healonownfamiliardeath.minion.healthboost","Økt helse dra død undersått"
"herocard.passive_skill.title.increasedattackperelement.enemies.not.green","Økt angrep per fiende som ikke er natur-element."
"herocard.passive_skill.title.increasedattackperelement.enemies.not.red","Økt angrep per fiende som ikke er ild-element."
"herocard.passive_skill.title.increaseddamageagainstfamiliars.minion.bigminion","Ekstra skade mot undersåtter og megaundersåtter"
"herocard.passive_skill.title.increaseddamageagainstminions","Økt skade mot undersåtter"
"herocard.passive_skill.title.increasedspecialdamageagainsttaunt.taunt","Økt skade mot Provoser"
"herocard.passive_skill.title.increasespecialdamage","Økt spesialferdighetsskade"
"herocard.passive_skill.title.increasespecialdamage.usable_once","Økt spesialferdighetsskade"
"herocard.passive_skill.title.increasespecialdamagesupportcharacter.troop","Økt spesialferdighetsskade"
"herocard.passive_skill.title.insanitydamagereduction","Merket av De gamle"
"herocard.passive_skill.title.iterateeffectonspecial","Ekstra sjanse for effekter på spesialferdigheter"
"herocard.passive_skill.title.league_accuracy_modifier_against_family","Ligaulempe"
"herocard.passive_skill.title.league_featured_family_resist","Ligafordel"
"herocard.passive_skill.title.league_heal_modifier_against_family","Ligaulempe"
"herocard.passive_skill.title.league_heal_modifier_for_family","Ligafordel"
"herocard.passive_skill.title.league_received_damage_modifier_against_non_featured_family","Ligafordel"
"herocard.passive_skill.title.managenerationmodifier.all.enemies","Hindre mana"
"herocard.passive_skill.title.manaonownfamiliardeath.minion","Mana ved undersåtts død"
"herocard.passive_skill.title.manaonstatuseffect.debuff","Mana fra lidelser"
"herocard.passive_skill.title.memorizefamiliars.activates_on_enemy_action","Husk fiendens undersåtter og djevler"
"herocard.passive_skill.title.memorizestatuseffects","Husk statuslidelser"
"herocard.passive_skill.title.mimic_dread_damage_minions","Frykt"
"herocard.passive_skill.title.mimiclootonlevelcompleted","Etterlign bytte"
"herocard.passive_skill.title.minioncorruption.all.enemies","Undersått-fordervelse"
"herocard.passive_skill.title.nevermissspecial","Perfekt treffsikkerhet"
"herocard.passive_skill.title.preventboostedhealth.all.enemies","Hindre økt helbredelse"
"herocard.passive_skill.title.ransack","Tyvs mulighet"
"herocard.passive_skill.title.reallocatestatuseffectonspecialcast.damage.minorbuff.newest","Stjel økning"
"herocard.passive_skill.title.reallocatestatuseffectonspecialcast.heal.minordebuff.newest","Jegerens sans"
"herocard.passive_skill.title.received_strong_troop_damage_pve","Troppskadereduksjon"
"herocard.passive_skill.title.receivedstrongelementsupportcharacterdamage","Troppmestring"
"herocard.passive_skill.title.receivedstrongelementsupportcharacterdamage.increase.dragon","Kraftig økning av ildkuleskade"
"herocard.passive_skill.title.redirectlethaldamage.enemies.single","Lure døden"
"herocard.passive_skill.title.remove_growth_from_enemies","Voktersamling"
"herocard.passive_skill.title.remove_wither_from_allies","Voktersamling"
"herocard.passive_skill.title.repaircoreintrinsicchargeeffectonspecial.healthboost","Reparasjonskjerne"
"herocard.passive_skill.title.repeat_special_once","Heldig"
"herocard.passive_skill.title.resist.accuracymodifiers","Motstå blind"
"herocard.passive_skill.title.resist.alldebuffs","Motstå statuslidelser"
"herocard.passive_skill.title.resist.alldebuffs.alldebuffs","Motstå alle lidelser"
"herocard.passive_skill.title.resist.alldebuffs.manareduction.buffdispels","Toppmotstand"
"herocard.passive_skill.title.resist.alldefensemodifiers.alldebuffs","Motstå forsvarslidelser"
"herocard.passive_skill.title.resist.alldefensemodifiers.defensewither.alldebuffs","Motstå forsvar-reduksjon"
"herocard.passive_skill.title.resist.allmanaeffects.alldebuffs","Motstå manalidelser"
"herocard.passive_skill.title.resist.allmanaeffects.manareduction.alldebuffs","Motstå negative manaeffekter"
"herocard.passive_skill.title.resist.allstatuseffectdamage.none","Motstå skade fra statuseffekter"
"herocard.passive_skill.title.resist.attackdelay","Motstå angrepsforsinkelse"
"herocard.passive_skill.title.resist.attackmodifiers","Motstå angrepslidelser"
"herocard.passive_skill.title.resist.attackmodifiers.allstatuseffectsandstacks","Motstå statuseffekter på angrep"
"herocard.passive_skill.title.resist.attackmodifiers.attackwither.alldebuffs","Motstå angrepsreduksjon"
"herocard.passive_skill.title.resist.bleed","Motstå blødning"
"herocard.passive_skill.title.resist.bleed.with_effect.healthboost.addmana","Styrket motstand mot blødning"
"herocard.passive_skill.title.resist.buffdispels","Motstå fjerning"
"herocard.passive_skill.title.resist.buffimmunity","Motstå økningsblokkering"
"herocard.passive_skill.title.resist.burn","Motstå brann"
"herocard.passive_skill.title.resist.burn.with_effect.healthboost.addmana","Styrket motstand mot ild"
"herocard.passive_skill.title.resist.criticalhits.none","Motstå kritiske treff"
