"heroes.name_fancy.astral_cosmicspeaker","Astralalv-astronom"
"heroes.name_fancy.mighty_pet_cinnamon","Ridder av den arktiske sirkel"
"heroes.name_fancy.mighty_pet_cupcake","Klobanditt"
"heroes.name_fancy.mighty_pet_furdinand","Banditt fra hundeekspedisjonen"
"heroes.name_fancy.mighty_pet_hachiko","Trofasthetens valp"
"heroes.name_fancy.mighty_pet_luna","Måneugle"
"heroes.name_fancy.mighty_pet_ribbit","Froskerikets gladiator"
"heroes.name_fancy.mighty_pet_rufus","Pelskledd tømmerkutter"
"heroes.name_fancy.mighty_pet_snowball","Villkatt"
"heroes.name_fancy.mighty_pet_toto","Hundehistorieforteller"
"heroes.name_fancy.mighty_pet_waddles","Kaptein av endenes vakt"
"heroes.name_fancy.mimic_aether_blue","Utsultet lager av staver"
"heroes.name_fancy.mimic_aether_green","Utsultet lager av staver"
"heroes.name_fancy.mimic_aether_purple","Utsultet lager av staver"
"heroes.name_fancy.mimic_aether_red","Utsultet lager av staver"
"heroes.name_fancy.mimic_aether_yellow","Utsultet lager av staver"
"heroes.name_fancy.mimic_ascension_epic_yellow","Glisende mindre ondskap"
"heroes.name_fancy.mimic_ascension_item_blue","Glisende ondskap"
"heroes.name_fancy.mimic_ascension_item_green","Glisende ondskap"
"heroes.name_fancy.mimic_ascension_item_purple","Glisende ondskap"
"heroes.name_fancy.mimic_ascension_item_red","Glisende ondskap"
"heroes.name_fancy.mimic_ascension_item_yellow","Glisende ondskap"
"heroes.name_fancy.mimic_emblem_blue","Skremmende enøyd låseboks"
"heroes.name_fancy.mimic_emblem_green","Skremmende enøyd låseboks"
"heroes.name_fancy.mimic_emblem_purple","Skremmende enøyd låseboks"
"heroes.name_fancy.mimic_emblem_red","Skremmende enøyd låseboks"
"heroes.name_fancy.mimic_emblem_yellow","Skremmende enøyd låseboks"
"heroes.name_fancy.mimic_experience_rare_red","Skattkammer for små tenner"
"heroes.name_fancy.mimic_training_hero_blue","Kammeret med tusen tenner"
"heroes.name_fancy.mimic_training_hero_green","Kammeret med tusen tenner"
"heroes.name_fancy.mimic_training_hero_purple","Kammeret med tusen tenner"
"heroes.name_fancy.mimic_training_hero_red","Kammeret med tusen tenner"
"heroes.name_fancy.mimic_training_hero_yellow","Kammeret med tusen tenner"
"heroes.name_fancy.monster_hunter_adalinda","Jaktens prinsesse"
"heroes.name_fancy.monster_hunter_amund","Fast forfølger"
"heroes.name_fancy.monster_hunter_basil","Jaktens mus"
"heroes.name_fancy.monster_hunter_berit","Berylline-knuser"
"heroes.name_fancy.monster_hunter_bogart","Sumpjeger"
"heroes.name_fancy.monster_hunter_bonecrusher","Sølvrygghøvding"
"heroes.name_fancy.monster_hunter_cedar","Sjimpansemester"
"heroes.name_fancy.monster_hunter_cleaver","Jakthøvding"
"heroes.name_fancy.monster_hunter_dabria","Jegerokkulist"
"heroes.name_fancy.monster_hunter_dawn","Jegertrubadur"
"heroes.name_fancy.monster_hunter_dubhain","Stormgudens utvalgte"
"heroes.name_fancy.monster_hunter_ebba","Jegerleiesoldat"
"heroes.name_fancy.monster_hunter_edelaide","Nomade av villmarken"
"heroes.name_fancy.monster_hunter_fianna","Skogspelsjeger"
"heroes.name_fancy.monster_hunter_goretooth","Villjeger"
"heroes.name_fancy.monster_hunter_greel","Vill våghals"
"heroes.name_fancy.monster_hunter_hammertusk","Barsk barbar"
"heroes.name_fancy.monster_hunter_hawthorn","Jegersvenn"
"heroes.name_fancy.monster_hunter_hurricane","Apesnikmoder"
"heroes.name_fancy.monster_hunter_kai","Jegerridder"
"heroes.name_fancy.monster_hunter_knuckles","Macaque-vakt"
"heroes.name_fancy.monster_hunter_maheegan","Ulvesporer"
"heroes.name_fancy.monster_hunter_malin","Titanbeinkriger"
"heroes.name_fancy.monster_hunter_meadow","Stammejegerinne"
"heroes.name_fancy.monster_hunter_mistweaver","Orangutanbråkmaker"
"heroes.name_fancy.monster_hunter_njal","Nordvindens jeger"
"heroes.name_fancy.monster_hunter_numbskull","Klosset skjelett"
"heroes.name_fancy.monster_hunter_otis","Knivmeter"
"heroes.name_fancy.monster_hunter_revna","Karnelisk jeger"
"heroes.name_fancy.monster_hunter_ruadh","Avgrunnsjeger"
"heroes.name_fancy.monster_hunter_sigyn","Skorpionmester"
"heroes.name_fancy.monster_hunter_sorcha","Iherdig jeger"
"heroes.name_fancy.monster_hunter_sorrow","Forfrosset gjenferd"
"heroes.name_fancy.monster_hunter_staintongue","Nådeløs jeger"
"heroes.name_fancy.monster_hunter_sune","Malachite-jeger"
"heroes.name_fancy.monster_hunter_thunderclap","Rasende gorilla"
"heroes.name_fancy.monster_hunter_thura","Stjernevelsignet jeger"
"heroes.name_fancy.monster_hunter_tremor","Bavian-sverdmester"
"heroes.name_fancy.monster_hunter_waterpipe","Harpuningeniør"
"heroes.name_fancy.moth_auricarc","Mester-Marksmoth"
"heroes.name_fancy.moth_chimister","Labmøllen"
"heroes.name_fancy.moth_chunkyroi","Markimøll"
"heroes.name_fancy.moth_furgeant","Jaggermøll"
"heroes.name_fancy.moth_gardered","Daremøll"
"heroes.name_fancy.moth_grovevert","Mølloppdretter"
"heroes.name_fancy.moth_joyvert","Musikk-Mothuoso"
"heroes.name_fancy.moth_lilareine","Markimøll"
"heroes.name_fancy.moth_limeboire","Møllbartender"
"heroes.name_fancy.moth_mortewitch","Møllmaner"
"heroes.name_fancy.moth_pepperbleu","Møllmagikeren"
"heroes.name_fancy.moth_rosepetite","Ung møllmaler"
"heroes.name_fancy.moth_satinpimenter","Prestmøllen"
"heroes.name_fancy.moth_shyombre","Skyggemøll"
"heroes.name_fancy.moth_tealmoine","Dismøll"
"heroes.name_fancy.musketeer_aramis","Romantisk musketer"
"heroes.name_fancy.musketeer_aramis_costume_boulanger","Boulanger-musketer"
"heroes.name_fancy.musketeer_athos","Veteranmusketer"
"heroes.name_fancy.musketeer_athos_costume_farrier","Hovslagermusketer"
"heroes.name_fancy.musketeer_cardinal_richelieu","Falsk hertug"
"heroes.name_fancy.musketeer_constance","Modig musketer"
"heroes.name_fancy.musketeer_dartagnan","Ivrig musketer"
"heroes.name_fancy.musketeer_felton","Syndig snikmorder"
"heroes.name_fancy.musketeer_felton_costume_pirate","Kynisk pirat"
"heroes.name_fancy.musketeer_kitty","Vennlig florist"
"heroes.name_fancy.musketeer_milady_de_winter","Machiavellisk skurk"
"heroes.name_fancy.musketeer_planchet","Tapper kammertjener"
"heroes.name_fancy.musketeer_porthos","Munter musketer"
"heroes.name_fancy.musketeer_porthos_costume_merchant","Kjøpmannsmusketer"
"heroes.name_fancy.musketeer_queen_anne","Elegant monark"
"heroes.name_fancy.musketeer_rochefort","Nådeløs skurk"
"heroes.name_fancy.musketeer_villiers","Pompøs hertug"
"heroes.name_fancy.musketeer_villiers_costume_jester","Pompøs skøyer"
"heroes.name_fancy.mystery_enigmo","Fremkallende gåte"
"heroes.name_fancy.nature_god_balbar","Botanikeren Hermit"
"heroes.name_fancy.nature_god_bertila","Den grønne ridder"
"heroes.name_fancy.nature_god_bo_and_runt","Flokkens leder"
"heroes.name_fancy.nature_god_chloris","Blomsterånd"
"heroes.name_fancy.nature_god_cinisia","Meliai Warmage"
"heroes.name_fancy.nature_god_florenna","Grasiøs elaphocentaur"
"heroes.name_fancy.nature_god_leadria","Dronning over evighetskilden"
"heroes.name_fancy.nature_god_liora","Den velvillige banditten"
"heroes.name_fancy.nature_god_mystia","Trollbindende trollkvinne"
"heroes.name_fancy.nature_god_silvaria","Skogsgud"
"heroes.name_fancy.nature_god_viselus","Trusseldruide"
"heroes.name_fancy.ninja_amethyst","Skjult snikmorder"
"heroes.name_fancy.ninja_ametrine","De skjulte klingers ninja"
"heroes.name_fancy.ninja_aurum","Optimistisk kunoichi"
"heroes.name_fancy.ninja_azurite","Ninjautkikker"
"heroes.name_fancy.ninja_chikao","Lydløs angriper"
"heroes.name_fancy.ninja_cobalt","De hviskende havs ninja"
"heroes.name_fancy.ninja_ekanite","Shinobi-troppleder"
"heroes.name_fancy.ninja_garnet","Den høye vitalitetens ninja"
"heroes.name_fancy.ninja_iga","Kunai-stormens mester"
"heroes.name_fancy.ninja_ito","Underkastende shinobi"
"heroes.name_fancy.ninja_jade","De dansende stjerners ninja"
"heroes.name_fancy.ninja_kinsaishi","Tordnende ninjamunk"
"heroes.name_fancy.ninja_kushanku","Bedragets knyttneve"
"heroes.name_fancy.ninja_malum","Ubarmhjertig shinobi"
"heroes.name_fancy.ninja_mica","De stille skriks ninja"
"heroes.name_fancy.ninja_morganite","De svinnende skyggers ninja"
"heroes.name_fancy.ninja_myoinni","Den sterkeste bannerlorden"
"heroes.name_fancy.ninja_nomad","Lydløs henretter"
"heroes.name_fancy.ninja_oniwakamaru","Skyggemunk av 999 sverd"
"heroes.name_fancy.ninja_onyx","De unnvikende vinders ninja"
"heroes.name_fancy.ninja_osamu","Jernvilje-ninja"
"heroes.name_fancy.ninja_peridot","Ninja med dødelige gifter"
"heroes.name_fancy.ninja_quartz","Ninja med stille graver"
"heroes.name_fancy.ninja_ruby","Den røde Oni-ninjaen"
"heroes.name_fancy.ninja_sapphire","De hoppende skyggers ninja"
"heroes.name_fancy.ninja_satsui","Skyggefull kunoichi"
"heroes.name_fancy.ninja_sawano","Trofast kunoichi"
"heroes.name_fancy.ninja_serandite","Gjennomtrengende flammers ninja"
"heroes.name_fancy.ninja_shale","Den store kraftens ninja"
"heroes.name_fancy.ninja_tametomo","Storbue-sabotør"
"heroes.name_fancy.ninja_topaz","Ninja med perfekt presisjon"
"heroes.name_fancy.ninja_tora","Lydløs jegerinne"
"heroes.name_fancy.ninja_umeko","Giftblomst-ninja"
"heroes.name_fancy.ninja_zircon","Ninja med stille bølger"
"heroes.name_fancy.nomad_axe_adventurer","Tapper byttejeger"
"heroes.name_fancy.nomad_axe_adventurer_costume_cute","Toon-dusørjeger"
"heroes.name_fancy.nomad_axe_adventurer_costume_glass","Glasspremiejeger"
"heroes.name_fancy.nomad_axe_adventurer_costume_magma","Flammende dusørjeger"
"heroes.name_fancy.nomad_axe_adventurer_costume_tracker","Tapper stifinner"
"heroes.name_fancy.nomad_female_archer","Talentfull fanger"
"heroes.name_fancy.nomad_female_assassin","Raideren fra Sandsea"
"heroes.name_fancy.nomad_female_assassin_costume_cute","Raider fra Toon-havet"
"heroes.name_fancy.nomad_female_assassin_costume_dancer","Danser fra Sandsea"
"heroes.name_fancy.nomad_female_assassin_costume_glass","Raider fra glasshavet"
"heroes.name_fancy.nomad_female_assassin_costume_poison","Snikmorder fra Sandsea"
"heroes.name_fancy.nomad_female_berserker","Prestinne av Dragonia"
"heroes.name_fancy.nomad_female_berserker_costume_cute","Toon fra Dragonia"
"heroes.name_fancy.nomad_female_berserker_costume_glass","Vitrail fra Dragonia"
"heroes.name_fancy.nomad_female_berserker_costume_shaman","Sjaman fra Dragonia"
"heroes.name_fancy.nomad_female_berserker_costume_sorceress","Trollkvinne av Dragonia"
"heroes.name_fancy.nomad_female_captain","Lady av Winderner"
"heroes.name_fancy.nomad_female_captain_costume_cute","Winderner-toon"
"heroes.name_fancy.nomad_female_captain_costume_glass","Vitrail fra Windemer"
"heroes.name_fancy.nomad_female_captain_costume_pirate","Vindemers skrekk"
"heroes.name_fancy.nomad_female_captain_costume_thief","Mestertyv fra Windemer"
"heroes.name_fancy.nomad_female_lord","Kaptein av den kongelig vakt"
"heroes.name_fancy.nomad_female_lord_costume_cute","Kaptein av de kongelige Toons"
"heroes.name_fancy.nomad_female_lord_costume_flame","Ildens kaptein"
"heroes.name_fancy.nomad_female_lord_costume_glass","Kaptein i glassgarden"
"heroes.name_fancy.nomad_female_lord_costume_wicked","De ondsinnedes kaptein"
"heroes.name_fancy.nomad_female_shaman","Opphevet sjaman"
"heroes.name_fancy.nomad_female_shaman_costume_cute","Toon på vei opp"
"heroes.name_fancy.nomad_female_shaman_costume_glass","Dominernede vitrail"
"heroes.name_fancy.nomad_female_shaman_costume_native","Opphevet helbreder"
"heroes.name_fancy.nomad_female_swordmaster","Tronesøker"
"heroes.name_fancy.nomad_female_swordmaster_costume_cute","Leter etter Toons"
"heroes.name_fancy.nomad_female_swordmaster_costume_glass","Søker av glass"
"heroes.name_fancy.nomad_female_swordmaster_costume_native","Gudesøker"
"heroes.name_fancy.nomad_female_thief","Ungdommelig reisende"
"heroes.name_fancy.nomad_fighter","Robust bråkmaker"
"heroes.name_fancy.nomad_mage","Mage fra Sandsea"
"heroes.name_fancy.nomad_mage_costume_cute","Magiker fra Toon-havet"
"heroes.name_fancy.nomad_mage_costume_glass","Nomade fra glasshavet"
"heroes.name_fancy.nomad_mage_costume_goggles","Trollmann fra Sandsjøen"
"heroes.name_fancy.nomad_scout","Listig Sellsword"
"heroes.name_fancy.nomad_shaman","Tjener av de gamle"
"heroes.name_fancy.nordic_ancestral_warrior","Mørk foreldreløs"
"heroes.name_fancy.nordic_ancestral_warrior_costume_corrupted","Ondskapens arvtaker"
"heroes.name_fancy.nordic_ancestral_warrior_costume_cute","Mørk toon"
"heroes.name_fancy.nordic_ancestral_warrior_costume_glass","Mørk vitrail"
"heroes.name_fancy.nordic_ancestral_warrior_costume_messenger","Dyster budbringer"
"heroes.name_fancy.nordic_chained_werewolf","Den glupske"
"heroes.name_fancy.nordic_chained_werewolf_costume_cute","Den glupske Toon"
"heroes.name_fancy.nordic_chained_werewolf_costume_glass","Det glupske glasset"
"heroes.name_fancy.nordic_chained_werewolf_costume_raccoon","Hvitløkstyv"
"heroes.name_fancy.nordic_female_scout","Voldsom jomfru"
"heroes.name_fancy.nordic_female_warrior","Eksilkriger"
"heroes.name_fancy.nordic_ice_enchantress","Beskytter av Glaceholm"
"heroes.name_fancy.nordic_ice_enchantress_costume_aqua","Isheks av Glaceholm"
"heroes.name_fancy.nordic_ice_enchantress_costume_cute","Beskytter av Toons"
"heroes.name_fancy.nordic_ice_enchantress_costume_glass","Vitrail fra Glaceholm"
"heroes.name_fancy.nordic_ice_enchantress_costume_ruler","Hersker av Glaceholm"
"heroes.name_fancy.nordic_mage","Trollmann av Glaceholm"
"heroes.name_fancy.nordic_mage_costume_cute","Toon av Glaceholm"
"heroes.name_fancy.nordic_mage_costume_glass","Vitrail fra Glaceholm"
"heroes.name_fancy.nordic_mage_costume_hermit","Eremitt fra Glaceholm"
"heroes.name_fancy.nordic_male_lord","Rettferdighetens hammer"
"heroes.name_fancy.nordic_male_lord_costume_cute","Hammer av Toon-kraft"
"heroes.name_fancy.nordic_male_lord_costume_glass","Hammer av glass"
"heroes.name_fancy.nordic_male_lord_costume_injustice","Urettferdighetens hammer"
"heroes.name_fancy.nordic_male_lord_costume_senior","Rettferdighetens øks"
"heroes.name_fancy.nordic_swordman","Feiende duelist"
"heroes.name_fancy.nordic_swordman_costume_climber","Real klatrer"
"heroes.name_fancy.nordic_swordman_costume_cute","Talentfull toon"
"heroes.name_fancy.nordic_swordman_costume_glass","Glassduelist"
"heroes.name_fancy.nordic_warrior","Bekymringsløs eventyrer"
"heroes.name_fancy.orc_gladiator","Den urokkelige"
"heroes.name_fancy.orc_gladiator_costume_chef","Høvding av støpejern"
"heroes.name_fancy.orc_gladiator_costume_cute","Den urokkelige toon"
"heroes.name_fancy.orc_gladiator_costume_glass","Den reflekterende"
"heroes.name_fancy.orc_gladiator_costume_sage","Den ville vismann"
"heroes.name_fancy.orc_skirmisher","Halvblodskjemper"
"heroes.name_fancy.orc_troopmaster","Den sultne"
"heroes.name_fancy.orc_troopmaster_costume_cute","Den sultne Toon"
"heroes.name_fancy.orc_troopmaster_costume_glass","Sen sultne vitrail"
"heroes.name_fancy.orc_troopmaster_costume_gourmet","Epikureeren"
"heroes.name_fancy.orc_troopmaster_costume_merchant","Begjærius"
"heroes.name_fancy.orc_warrior","Først i kamp"
"heroes.name_fancy.orc_warrior_costume_cute","Første Toon i kamp"
"heroes.name_fancy.orc_warrior_costume_glass","Siste til å knuses"
"heroes.name_fancy.orc_warrior_costume_urukhai","Den siste til å slå retrett"
"heroes.name_fancy.oriental_brawler","Edel forsvarer"
"heroes.name_fancy.oriental_brawler_costume_cute","Toon-bråkmaker"
"heroes.name_fancy.oriental_brawler_costume_egypt","Edel bråkmaker"
"heroes.name_fancy.oriental_brawler_costume_glass","Glasskjemper"
"heroes.name_fancy.oriental_enchanted_monk","Solens flamme"
"heroes.name_fancy.oriental_enchanted_monk_costume_cute","Sol-toon"
"heroes.name_fancy.oriental_enchanted_monk_costume_glass","Solvitrail"
"heroes.name_fancy.oriental_enchanted_monk_costume_stoneguard","Solens makt"
"heroes.name_fancy.oriental_enchanted_monk_costume_tiger","Solens vrede"
"heroes.name_fancy.oriental_falconer","Mester taktikker"
"heroes.name_fancy.oriental_falconer_costume_cub","Tigermester"
"heroes.name_fancy.oriental_falconer_costume_cute","Toon-taktiker"
"heroes.name_fancy.oriental_falconer_costume_dodo","Mesterkonservator"
"heroes.name_fancy.oriental_falconer_costume_glass","Glasstaktiker"
"heroes.name_fancy.oriental_female_guard","Skogvokter av Shaguad"
"heroes.name_fancy.oriental_female_guard_costume_cute","Toon fra Shaguad"
"heroes.name_fancy.oriental_female_guard_costume_glass","Vitrail fra Shaguad"
"heroes.name_fancy.oriental_female_guard_costume_soldier","Shaguadiansk vokter"
"heroes.name_fancy.oriental_female_mage","Uselvisk healder"
"heroes.name_fancy.oriental_female_mage_costume_cute","Toon-helbreder"
"heroes.name_fancy.oriental_female_mage_costume_glass","Glasshelbreder"
"heroes.name_fancy.oriental_female_mage_costume_mender","Rundhåndet helbreder"
"heroes.name_fancy.oriental_female_mystic","Suveren vitenskapsmann"
"heroes.name_fancy.oriental_female_mystic_costume_cute","Toon-lærd"
"heroes.name_fancy.oriental_female_mystic_costume_glass","Glasslærling"
"heroes.name_fancy.oriental_female_mystic_costume_magician","Suveren magiker"
"heroes.name_fancy.oriental_female_mystic_costume_scribe","Suveren avskriver"
"heroes.name_fancy.oriental_female_ninja","Ninjastudent"
"heroes.name_fancy.oriental_female_templar","Vis general"
"heroes.name_fancy.oriental_female_templar_costume_cute","Toon-general"
"heroes.name_fancy.oriental_female_templar_costume_fireworks","Fyrverkerigeneral"
"heroes.name_fancy.oriental_female_templar_costume_glass","Glassgeneral"
"heroes.name_fancy.oriental_female_templar_costume_kimono","Seremoniell snikmorder"
"heroes.name_fancy.oriental_monkey_captain","Apelord"
"heroes.name_fancy.oriental_monkey_captain_costume_cute","Apekatt-Toon"
"heroes.name_fancy.oriental_monkey_captain_costume_glass","Glassape"
"heroes.name_fancy.oriental_monkey_captain_costume_reveller","Aperangler"
"heroes.name_fancy.oriental_monkey_captain_costume_warrior","Ape-ronin"
"heroes.name_fancy.oriental_monkey_warrior","Apekriger"
"heroes.name_fancy.oriental_panda_berserker","Grein av bambus"
"heroes.name_fancy.oriental_panda_berserker_costume_cute","Avdeling av toons"
"heroes.name_fancy.oriental_panda_berserker_costume_farmer","Bambusrot"
"heroes.name_fancy.oriental_panda_berserker_costume_glass","Gren av glass"
"heroes.name_fancy.oriental_panda_scout","Løv av bambus"
"heroes.name_fancy.oriental_panda_warrior","Løv av bambus"
"heroes.name_fancy.oriental_panda_warrior_costume_armor","Bambusbark"
"heroes.name_fancy.oriental_panda_warrior_costume_cute","Toon av bambus"
"heroes.name_fancy.oriental_panda_warrior_costume_dueller","Bambusduellant"
"heroes.name_fancy.oriental_panda_warrior_costume_glass","Sverd av glass"
"heroes.name_fancy.oriental_squire","Smiths lærling"
"heroes.name_fancy.oriental_warrior","Fotsoldat"
"heroes.name_fancy.oriental_warrior_king","Urokkelig konge"
"heroes.name_fancy.oriental_warrior_king_costume_cute","Urokkelig toon"
"heroes.name_fancy.oriental_warrior_king_costume_glass","Urokkelig Vitrail"
"heroes.name_fancy.oriental_warrior_king_costume_mage","Urokkelig magiker"
"heroes.name_fancy.oriental_warrior_king_costume_roman","Kongen av Sparta"
"heroes.name_fancy.outlaw_chao_gai","Pagoda-skiftende himmelsk konge fra Vannmargin"
"heroes.name_fancy.outlaw_gu_dasao","Kvinnelig tiger fra Vannmargin"
"heroes.name_fancy.outlaw_hu_sanniang","Lys stjerne fra Vannmargin"
"heroes.name_fancy.outlaw_li_kui","Jernokse fra Vannmargin"
"heroes.name_fancy.outlaw_lin_chong","Panterhode fra Vannmargin"
"heroes.name_fancy.outlaw_liu_tang","Rødhåret djevel fra Vannmargin"
"heroes.name_fancy.outlaw_lu_zhishen","Blomstermunk fra Vannmargin"
"heroes.name_fancy.outlaw_ruan_xiaoqi","Ødeleggende stjerne fra Vannmargin"
"heroes.name_fancy.outlaw_shi_jin","Ni dragetatoveringer fra Vannmargin"
"heroes.name_fancy.outlaw_song_jiang","Betimelig regn fra Vannmargin"
"heroes.name_fancy.outlaw_sun_erniang","Sterk stjerne fra Vannmargin"
"heroes.name_fancy.outlaw_wu_song","Tigerkamphelt fra Vannmargin"
"heroes.name_fancy.outlaw_wu_yong","Kunnskapsstjerne fra Vannmargin"
"heroes.name_fancy.outlaw_xiang_chong","Flyvende stjerne fra Vannmargin"
"heroes.name_fancy.outlaw_zheng_tianshou","Gentleman fra Vannmargin"
"heroes.name_fancy.owl_cennius","Skjulte klør av ugletårn"
"heroes.name_fancy.owl_eron","Ugletårn-trubadur"
"heroes.name_fancy.owl_featherino","Engstlig slyngen fra ugletårn"
"heroes.name_fancy.owl_fulvia","Dronning fra ugletårn"
"heroes.name_fancy.owl_juliani","Høyeste dommer i ugletårnet"
"heroes.name_fancy.owl_livia","Overprest fra ugletårn"
"heroes.name_fancy.owl_lodius","Berserker i ugletårnet"
"heroes.name_fancy.owl_mariol","Hoffmann i ugletårnet"
"heroes.name_fancy.owl_olbec","Alkymist fra ugletårn"
"heroes.name_fancy.owl_ommodus","Ugletårnets lovbringer"
"heroes.name_fancy.owl_paeia","Prinsesse fra ugletårn"
"heroes.name_fancy.owl_pertinax","Riddervakt i ugletårnet"
"heroes.name_fancy.owl_relius","Ugletårnets botaniker"
"heroes.name_fancy.owl_timius","Ugletårnets kongelige avantgarde"
"heroes.name_fancy.owl_verus","Ugletårnets speiderkommandant"
"heroes.name_fancy.pirate_anne","Corellias gallionsfigur"
"heroes.name_fancy.pirate_boatswain","Båtsmann i Corellia"
"heroes.name_fancy.pirate_cabin_boy","Hyttegutt av Corellia"
"heroes.name_fancy.pirate_cabin_boy_costume_paper","Avisgutt i Shore"
"heroes.name_fancy.pirate_commodore_finley","Commodore av Corellia"
"heroes.name_fancy.pirate_commodore_finley_costume_bleak","Blek flaggkommandør"
"heroes.name_fancy.pirate_dread_captain","Fryktkaptein av Corellia"
"heroes.name_fancy.pirate_dread_captain_costume_rotten","Rotten Corellia-kaptein"
"heroes.name_fancy.pirate_finley","Hevngjerrig styrmann av Corellia"
"heroes.name_fancy.pirate_first_mate","Førstestyrmann av Corellia"
"heroes.name_fancy.pirate_lady","Lady av Corellia"
"heroes.name_fancy.pirate_lady_costume_queen","Rebelldronning"
"heroes.name_fancy.pirate_marie_therese","Voodoodronning av Corellia"
"heroes.name_fancy.pirate_marie_therese_costume_priestess","Sjelestjelende prinsesse"
"heroes.name_fancy.pirate_sally","Corellias maskot"
"heroes.name_fancy.pirate_swashbuckler","Buccaneer kaptein av Corellia"
"heroes.name_fancy.pirate_vodnik","Fisker av Corellia"
"heroes.name_fancy.rabbit_blue","Vokter av Springvale"
"heroes.name_fancy.rabbit_blue_costume_riftbreaker","Riftbryter"
"heroes.name_fancy.rabbit_green","Mester av Springvale"
"heroes.name_fancy.rabbit_green_costume_egg_hunter","Eggjeger fra Springvale"
"heroes.name_fancy.rabbit_red","Væpner av Springvale"
"heroes.name_fancy.royal_female_knight","Egenrådig mester"
"heroes.name_fancy.royal_female_knight_costume_cute","Toon-mester"
"heroes.name_fancy.royal_female_knight_costume_glass","Glassmester"
"heroes.name_fancy.royal_female_knight_costume_prospector","Egenrådig gullgraver"
"heroes.name_fancy.royal_female_knight_costume_winter","Vikingmester"
"heroes.name_fancy.royal_knight","Beskyttelsesridder"
"heroes.name_fancy.royal_knight_commander","Utøver av Frostmorrow"
"heroes.name_fancy.royal_knight_commander_costume_cute","Toon-frostmorgen"
"heroes.name_fancy.royal_knight_commander_costume_glass","Vitrail fra Frostmorrow"
"heroes.name_fancy.royal_knight_commander_costume_gryphon","Kommandant Frostmorgen"
"heroes.name_fancy.royal_knight_commander_costume_king","Kong Frostmorrow"
"heroes.name_fancy.royal_knight_costume_blacksmith","Modig smed"
"heroes.name_fancy.royal_knight_costume_cute","Toon-ridder"
"heroes.name_fancy.royal_knight_costume_glass","Glassridder"
"heroes.name_fancy.royal_pikeman","Seriøs vokter"
"heroes.name_fancy.s2_ariel","Atlantis-prinsesse"
"heroes.name_fancy.s2_ariel_costume_cute","Toon-Atlantis-prinsesse"
"heroes.name_fancy.s2_ariel_costume_enchanter","Atlantis-magiker"
"heroes.name_fancy.s2_atlantean_robot","Atlantis-vakt"
"heroes.name_fancy.s2_atlantean_robot_costume_cute","Atlantisk toon-observatør"
"heroes.name_fancy.s2_atlantean_robot_costume_sentinel","Atlantervokter"
"heroes.name_fancy.s2_chameleon_bruiser","Kameleon-kriger"
"heroes.name_fancy.s2_chameleon_chief","Kameleon-general"
"heroes.name_fancy.s2_chameleon_chief_costume_heavyweight","Verdensmester i tungvekt"
"heroes.name_fancy.s2_chameleon_mage","Kameleon-sjaman"
"heroes.name_fancy.s2_chameleon_mage_costume_alchemist","Kameleon-alkymisten"
"heroes.name_fancy.s2_chameleon_mage_costume_cute","Toon-kameleon-sjaman"
"heroes.name_fancy.s2_croc_man","Myrbanditt"
"heroes.name_fancy.s2_cursed_samurai","Forhekset krigsherre"
"heroes.name_fancy.s2_cursed_samurai_costume_beetle","Billesamurai"
"heroes.name_fancy.s2_cursed_samurai_costume_cute","Forhekset toonlord"
"heroes.name_fancy.s2_demon_master","Daimyo Bedrageren"
"heroes.name_fancy.s2_demon_master_costume_cute","Toon av bedrag"
"heroes.name_fancy.s2_demon_master_costume_steppe","Khevtuul av svik"
"heroes.name_fancy.s2_fiji_mermaid","Jeger i det grunne"
"heroes.name_fancy.s2_fiji_mermaid_costume_cute","Toon-jeger"
"heroes.name_fancy.s2_fiji_mermaid_costume_hunter","Vadeforfølger"
"heroes.name_fancy.s2_fox_girl","Ånd med ni haler"
"heroes.name_fancy.s2_fox_girl_costume_cute","Toon med ni haler"
"heroes.name_fancy.s2_fox_girl_costume_white_kitsune","Hvit Kitsune-ånd"
"heroes.name_fancy.s2_ghost_woman","Ensomt spøkelse"
"heroes.name_fancy.s2_ghost_woman_costume_yurei","Ensomme Yurei"
"heroes.name_fancy.s2_hammerhead_hulk","Brutal slakter"
"heroes.name_fancy.s2_hammerhead_hulk_costume_emerald","Vill sverdsvinger"
"heroes.name_fancy.s2_junglehunter","Jungelprins"
"heroes.name_fancy.s2_junglehunter_costume_cute","Toon av jungelen"
"heroes.name_fancy.s2_junglehunter_costume_party","Prins av Lūʻau"
"heroes.name_fancy.s2_lantern_ghost","Lantern Yokai"
"heroes.name_fancy.s2_mercenary_woman","Glimrende leiesoldat"
"heroes.name_fancy.s2_mercenary_woman_costume_dancer","Storslått huladanser"
"heroes.name_fancy.s2_merman","Atlantis-havgud"
"heroes.name_fancy.s2_merman_costume_cute","Toon-havmann"
"heroes.name_fancy.s2_merman_costume_leutenant","Løytnant av Atlantis"
"heroes.name_fancy.s2_merwoman","Atlantis-havfrue"
"heroes.name_fancy.s2_merwoman_costume_cute","Toon-havfrue"
"heroes.name_fancy.s2_merwoman_costume_emissary","Utsending fra Atlantis"
"heroes.name_fancy.s2_noble_lady","Fatal skjønnhet"
"heroes.name_fancy.s2_noble_lady_costume_cute","Toon-skjønnhet"
