"specials.name.a_cozy_break","Sıcak Bir Mola"
"specials.name.harrow_the_heart","Parçalanan Kalp"
"specials.name.hasty_gift_wrapper","Hızlı Hediye Paketleyicisi"
"specials.name.hasty_trigger_finger","İvedi Tetik Parmağı"
"specials.name.have_curiosity","Umut Kazan"
"specials.name.have_faith","İnançlı ol"
"specials.name.haze_of_the_deceased","Düşmüşlerin Sisi"
"specials.name.head_hurl","Baş Savurma"
"specials.name.healing_chant","Şifa İlahisi"
"specials.name.healing_fire_spirits","İyileştiren Ateş Ruhları"
"specials.name.healing_gift","Akılsız Şifa"
"specials.name.healing_gift_anteros","Akılsız Şifa"
"specials.name.healing_gift_kabeiroi","Akılsız Şifa"
"specials.name.healing_mirror","Şifa Aynası"
"specials.name.healthiest_catch","En Sağlıklı Av"
"specials.name.hearty_stew","Sağlıklı Yahni"
"specials.name.heatstinger","Yakıcı İğne"
"specials.name.heavy_fragrance","Ağır Koku"
"specials.name.heedless_hammer_flurry","Dikkatsiz Çekiç Telaşı"
"specials.name.heirloom_dagger","Ata Yadigarı Hançer"
"specials.name.helping_hands","Yardımcı Eller"
"specials.name.hemlock_tea","Baldıran Çayı"
"specials.name.herbal_remedies","Bitkisel Tedaviler"
"specials.name.herculean_throw","Herkül Fırlatışı"
"specials.name.herd_stampede","Sürü Paniklemesi"
"specials.name.here_catch","Al! Yakala!"
"specials.name.heretic_slayer","Kafir Katil"
"specials.name.heroic_noble","Üçlü Mızrak Atışı"
"specials.name.heroic_noble_deadly","Üçlü Mızrak Atışı"
"specials.name.herring_blaster","Ringa Ateşleyici"
"specials.name.herring_surprise","Ringa Sürprizi"
"specials.name.hide_in_shadows","Gölgede Gizlen"
"specials.name.high_altitude_ambush","Yüksek Rakım Pususu"
"specials.name.high_energy_field","Yüksek Enerji Alanı"
"specials.name.high_noon_sun","Yüksek Öğlen Güneşi"
"specials.name.holding_down_the_fort","Kaleyi Tut"
"specials.name.hollow_boast","Kof Övünme"
"specials.name.holy_aura","Kutsal Aura"
"specials.name.holy_guard","Kutsal Muhafız"
"specials.name.holy_hibiscus_ale","Kutsal Gülhatmi Birası"
"specials.name.holy_mark","Kutsal İz"
"specials.name.holy_splash","Kutsal Sıçratma"
"specials.name.home_run","Home Run"
"specials.name.horn_attack","Boynuz Saldırısı"
"specials.name.horrifying_wail","Korkunç Çığlık"
"specials.name.horses_curse","Kum Meltemi"
"specials.name.hoverboard_crash","Kaykay Kazası"
"specials.name.hoverboard_slam","Uçan Kaykay Çarpması"
"specials.name.howling_sword","Uluyan Kılıç"
"specials.name.hues_of_love","Aşkın Tonları"
"specials.name.hungering_grave","Açlık Çeken Mezar"
"specials.name.hunt_for_prey","Av Peşinde"
"specials.name.hunters_instinct","Avcı İçgüdüsü"
"specials.name.hunters_mark","Avcının İzi"
"specials.name.hunters_true_shot","Avcının Gerçek Vuruşu"
"specials.name.hunting_ballad","Av Baladı"
"specials.name.hunting_charge","Av Hücumu"
"specials.name.hydra_bite","Hidra Isırığı"
"specials.name.hymn_of_enrichment","Zenginleşme İlahisi"
"specials.name.hyper_porridge","Hiper Lapa"
"specials.name.hyperborean_hook","Hyperboreios Kancası"
"specials.name.hypersonic_tackle","Hipersonik Yakalama"
"specials.name.hypnosis_dragon_pve","Hipnoz"
"specials.name.ice_and_slice","Buz ve Kesik"
"specials.name.ice_boom","Buz Patlaması"
"specials.name.ice_cold_order","Buz Gibi Sipariş"
"specials.name.ice_cream_smash","Dondurma Çarpışması"
"specials.name.ice_treatment","Buz Tedavisi"
"specials.name.iceberg_aura","Buz Dağı"
"specials.name.iceberg_crush","Buz Dağı Çarpması"
"specials.name.iceberg_havoc","Buz Dağı Yıkımı"
"specials.name.icebound_howl","Buz Kaplı Uluma"
"specials.name.icebound_ritual","Buz Tutmuş Ritüel"
"specials.name.icecold_finisher","Soğuk Sonlandırıcı"
"specials.name.icehammer_smash","Buz Çekici Darbesi"
"specials.name.iceshatter","Buzkıran"
"specials.name.icy_axes","Buzlu Baltalar"
"specials.name.icy_mandibles","Buzlu Çene Kemikleri"
"specials.name.icy_resilience","Buzlu Esneklik"
"specials.name.ill_bring_you_back","Seni Geri Getireceğim"
"specials.name.ill_fated_experiment","Talihsiz Deney"
"specials.name.imaginary_increments","Hayali Artışlar"
"specials.name.immortal_annihilator","Ölümsüz Yok Edici"
"specials.name.immortal_annihilator_deadly","Ölümsüz Yok Edici"
"specials.name.immortal_punisher","Ölümsüz Cezalandırıcı"
"specials.name.impairing_strike","Zarar Verici Vuruş"
"specials.name.impale_and_devour","Kazıkla ve Mahvet"
"specials.name.impeccable_charge","Hatasız Hücum"
"specials.name.impeding_bolts","Engelleyici Oklar"
"specials.name.impervious_formation","Dayanıklı Oluşum"
"specials.name.impossible_groove","İmkansız Yarık"
"specials.name.impossible_riddle","İmkansız Bulmaca"
"specials.name.incite_ki","Kışkırtılmış Ki"
"specials.name.incite_ki2","Kışkırtılmış Ki"
"specials.name.indestructible_claw","Yok Edilmez Pençe"
"specials.name.indifferent_blade","Umursamaz Bıçak"
"specials.name.inevitable_demise","Kaçınılmaz Çöküş"
"specials.name.infernal_chops","Cehennemi Yarıklar"
"specials.name.infernal_drumstorm","Cehennem Davul Fırtınası"
"specials.name.infernal_flames","Cehennem Alevleri"
"specials.name.infernal_jaws","Cehennem Çeneleri"
"specials.name.ink_bomb","Mürekkep Bombası"
"specials.name.innovative_lunge","Yenilikçi Saldırı"
"specials.name.insidious_goo","Sinsi Sıvı"
"specials.name.inspiring_fencing","İlham Verici Eskrim"
"specials.name.insurmountable_flux","Yenilmez Akış"
"specials.name.intimidating_stance","Göz Korkutucu Duruş"
"specials.name.invigorating_pollen","Canlandırıcı Polen"
"specials.name.invigorating_soup","Canlandırıcı Çorba"
"specials.name.invisible_strike","Görünmez Vuruş"
"specials.name.iron_discipline_cut","Demir Disiplin Kesiği"
"specials.name.iron_rocket_fist","Demir Roket Yumruğu"
"specials.name.ironbound_fury","Demir Bağlı Öfke"
"specials.name.jab_and_hook","Yumruk ve Kanca"
"specials.name.jack_of_owl_trades","On Parmağında On Baykuş"
"specials.name.jackal_strike","Çakal Vuruşu"
"specials.name.jade_blades","Yeşim Kılıçlar"
"specials.name.jaw_clamp","Tuzak Yayma"
"specials.name.jaws_of_the_river","Nehrin Çeneleri"
"specials.name.jewel_of_the_deep","Derinliklerin Mücevheri"
"specials.name.join_in_joyful_song","Neşeli Şarkıya Katıl"
"specials.name.joyful_noise","Neşeli Ses"
"specials.name.joyful_palette","Neşeli Palet"
"specials.name.judgement_of_goo","Sıvının Yargısı"
"specials.name.judgment_and_penance","Yargı ve Kefaret"
"specials.name.judgment_of_sun","Güneşin Yargısı"
"specials.name.juggling_trials","Hokkabazlık Sınavları"
"specials.name.jungle_fury","Orman Öfkesi"
"specials.name.jungle_riposte","Orman Hamlesi"
"specials.name.jungle_slash","Bataklık Kesiği"
"specials.name.just_a_flesh_wound","Küçük bir Sıyrık!"
"specials.name.karnov","Eksiksiz Dayak"
"specials.name.katana_rain","Katana Kılıcı Yağmuru"
"specials.name.katana_rain_pve","Katana Kılıcı Yağmuru"
"specials.name.keep_the_peace","Barışı Koru"
"specials.name.keyknife_typhoon","Anahtar Kılıcı Tayfunu"
"specials.name.khans_order","Kağan'ın Emri"
"specials.name.kindled_carpet","Tutuşmuş Halı"
"specials.name.kings_blood_poisoning","Matem Gecesi"
"specials.name.kings_curse","Kum Fırtınası"
"specials.name.kings_curse_pve","Kum Fırtınası"
"specials.name.kings_feast","Kralın Ziyafeti"
"specials.name.kite_of_endurance","Mukavemet Uçurtması"
"specials.name.kitten_stampede","Kedicik İzdihamı"
"specials.name.knights_armor","Şövalyenin Zırhı"
"specials.name.knights_fury","Şövalyenin Öfkesi"
"specials.name.knights_parry","Şövalyenin Siperi"
"specials.name.kong_smash","Kong Darbesi"
"specials.name.kunai_assault","Kunai Saldırısı"
"specials.name.lacerating_leap","Parçalayan Sıçrayış"
"specials.name.lacerating_letters","Parçalayan Mektuplar"
"specials.name.lacerating_whip","Parçalayan Kırbaç"
"specials.name.ladys_charm","Leydinin Büyüsü"
"specials.name.ladys_flowers","Leydinin Çiçekleri"
"specials.name.lament_of_the_hunt","Av Ağıdı"
"specials.name.lance_of_avarice","Cimrilik Mızrağı"
"specials.name.lance_of_torment","İşkence Mızrağı"
"specials.name.lance_thrust","Zıpkın Saldırısı"
"specials.name.landslide","Heyelan"
"specials.name.lantern_of_insanity","Delilik Feneri"
"specials.name.larva_prescription","Larva Reçetesi"
"specials.name.lash_of_the_whip","Kırbaç Darbesi"
"specials.name.lasso_of_love","Aşk Kementi"
"specials.name.last_words","Son Sözler"
"specials.name.laundry_day","Çamaşır Günü"
"specials.name.lava_blast","Lav Patlaması"
"specials.name.lava_spit","Lav Tükürüğü"
"specials.name.lava_splash_dragon_pve","Ruh Ateşi Sıçraması"
"specials.name.lavablow","Alev Saldırısı"
"specials.name.lavablow_pve","Alev Saldırısı"
"specials.name.lavaslash","Lav Kesişi"
"specials.name.leaf_blast","Yaprak Patlaması"
"specials.name.leafglow_bloom","Parıldayan Yaprak Çiçeği"
"specials.name.leaping_attack","Sıçrama Saldırısı"
"specials.name.leeching_saw","Sülük Bıçkısı"
"specials.name.leeching_stars","Sülük Yıldızları"
"specials.name.leeching_worms","Sülük Kurtçuklar"
"specials.name.legacy_of_darkness","Karanlığın Mirası"
"specials.name.legerdemain","Aldatmaca"
"specials.name.legerdemain_heart","Haç"
"specials.name.legerdemain_joker","Yıldız"
"specials.name.legerdemain_skull","Kurukafa"
"specials.name.legions_of_darkness","Karanlığın Lejyonları"
"specials.name.legions_of_tyrant","Tiranın Lejyonları"
"specials.name.lethal_needles","Ölümcül İğneler"
"specials.name.lethal_needles2","Ölümcül İğneler"
"specials.name.levitating_lunchbox_deluxe","Uçan Beslenme Çantası Deluxe"
"specials.name.lifeforce_leech","Yaşam Gücü Sülüğü"
"specials.name.light_barrier_dragon_pve","Işık Bariyeri"
"specials.name.light_grenades","Işık Bombası"
"specials.name.light_grenades2","Işık Bombası"
"specials.name.light_my_fire","Ateşimi Yak"
"specials.name.lightning_charge","Şimşek Hücumu"
"specials.name.lightning_stream","Yıldırım Nehri"
"specials.name.lightning_stream2","Yıldırım Nehri"
"specials.name.lightning_ultimatum","Şimşek Ültimatomu"
"specials.name.lightning_ultimatum_pve","Şimşek Ültimatomu"
"specials.name.litter_of_kittens","Kedi Kumu"
"specials.name.liturgy_of_the_fallen","Düşmüşlerin Ayini"
"specials.name.looking_for_love","Aşk Arayışı"
"specials.name.lookouts_refreshment","Nöbetçi Kulesi Yenilenmesi"
"specials.name.loom_of_destruction","Yıkım Tezgahı"
"specials.name.lord_of_the_jungle","Orman Lordu"
"specials.name.lords_blood_poisoning","Matem Şafağı"
"specials.name.love_at_first_sight","İlk Görüşte Aşk"
"specials.name.love_conquers_all","Aşk Her Şeyin Üstesinden Gelir"
"specials.name.love_conquers_all_pve","Aşk Her Şeyin Üstesinden Gelir"
"specials.name.loving_queen","Sevgi Dolu Kraliçe"
"specials.name.lucky_coin","Şanslı Para"
"specials.name.lucky_nine","Şanslı Dokuz"
"specials.name.luminescent_electrocution","Işıldak Elektrikli Ölüm"
"specials.name.luminous_lance","Parlak Zıpkın"
"specials.name.lunar_blessing","Ay Kutsaması"
"specials.name.lunar_blessing_moon_beam","Ay Işını"
"specials.name.lunar_bloom","Ay Çiçeklenmesi"
"specials.name.lunar_locket","Ay Madalyonu"
"specials.name.lunar_shield","Ay Kalkanı"
"specials.name.lunar_spear","Ay Mızrağı"
"specials.name.luring_song","Çekici Şarkı"
"specials.name.machinists_cutlass","Makinistin Palası"
"specials.name.mad_as_a_hatter","Şapkacı Gibi Deli"
"specials.name.mad_rat_mania","Deli Fare Cinneti"
"specials.name.mad_tea_party","Çılgın Çay Partisi"
"specials.name.madrigal_of_mayhem","Kargaşa Madrigali"
"specials.name.mageball_blast","Büyücü Topu Patlaması"
"specials.name.mageball_blast_pve","Büyücü Topu Patlaması"
"specials.name.magic_mirror_of_power","Büyülü Güç Aynası"
"specials.name.magical_balan","Büyülü Balan"
"specials.name.magical_sword","Büyülü Kılıç"
"specials.name.magma_boulders","Magma Kayaları"
"specials.name.magma_smash","Magma Çarpması"
"specials.name.magmatic_burns","Magmatik Yakımlar"
"specials.name.magmatic_tempest","Magma Fırtınası"
"specials.name.magnificent_meal","Muhteşem Yemek"
"specials.name.maidens_command","Kız Komutu"
"specials.name.maidens_orders","Genç Kızın Emirleri"
"specials.name.make_them_harmless","Zararsızlaştırma"
"specials.name.malevolent_toys","Kötücül Oyuncaklar"
"specials.name.malison_of_the_wildlands","Yabani Arazilerin Laneti"
"specials.name.mallet_swing_of_the_beast","Canavarın Tokmak Savurması"
"specials.name.mana_immolation","Mana Kurbanı"
"specials.name.mana_manipulation","Mana Manipülasyonu"
"specials.name.mana_scavange","Mana Avı"
"specials.name.mana_stealer","Kahinin Gözü"
"specials.name.mantis_strike","Peygamberdevesi Vuruşu"
"specials.name.marble_frenzy","Bilye Çılgınlığı"
"specials.name.marc","Çılgın Hamle"
"specials.name.mark_of_anubis","Anubis'in İşareti"
"specials.name.mark_of_fire","Ateş İzi"
"specials.name.mark_of_ivy","Sarmaşık İzi"
"specials.name.mark_of_nature","Doğa İzi"
"specials.name.mark_of_the_jackal","Çakalın İşareti"
"specials.name.mark_the_prey","Avı İşaretle"
"specials.name.marked_aim","Damgalı Hedef"
"specials.name.martial_dance","Kane Hüneri"
"specials.name.martial_masterstroke","Usta Dövüş Vuruşu"
"specials.name.martial_prowess","Dövüş Ustalığı"
"specials.name.masons_rage","Duvarcının Öfkesi"
"specials.name.massive_bite","Büyük Isırık"
"specials.name.massive_chop","Ağır Vuruş"
"specials.name.massive_cleave","Büyük Yarık"
"specials.name.massive_swing","Muazzam Savurma"
"specials.name.master_of_ailments","Engellerin Ustası"
"specials.name.master_plan","Ana Plan"
"specials.name.masterful_balance","Ustaca Denge"
"specials.name.masterful_manipulation","Ustaca Manipülasyon"
"specials.name.mauling_tusk","Yaralayan Fildişi"
"specials.name.mean_jab_dragon_pve","Kaba Yumruk"
"specials.name.mechanical_augmentations","Mekanik Artırmalar"
"specials.name.medicinal_drool","Tıbbi Salya"
"specials.name.medicinal_fumes","İlaç Dumanları"
"specials.name.melody_harvest","Melodi Hasadı"
"specials.name.melody_of_mana_control","Mana Kontrolü Melodisi"
"specials.name.melody_of_misery","Sefalet Melodisi"
"specials.name.memory_manipulation","Anı Manipülasyonu"
"specials.name.memory_of_the_queen","İmparatoriçenin Anısı"
"specials.name.mending_bronze_axe","Onaran Bronz Balta"
"specials.name.mending_mantra","Onarıcı Mantra"
"specials.name.mending_stitches","Onarıcı Dikişler"
"specials.name.merciless_bite","Acımasız Isırık"
"specials.name.merciless_execution","Acımasız İnfaz"
"specials.name.merciless_pulverizer","Acımasız Öğütücü"
"specials.name.merriest_misery","En Keyifli Bedbahtlık"
"specials.name.mesmerizing_mirror","Büyüleyici Ayna"
"specials.name.miasma_mace","Miyasma Gürzü"
"specials.name.midnight_magic","Gece Yarısı Büyüsü"
"specials.name.midnight_moon","Gece Yarısı Beliren Ay"
"specials.name.midnight_smite","Gece Yarısı Çarpılması"
"specials.name.midnight_strike","Gece Yarısı Vuruşu"
"specials.name.midsummers_dream","Yaz Dönümü Rüyası"
"specials.name.midsummers_reverie","Yaz Ortası Düşü"
"specials.name.might_of_ares","Ares'in Gücü"
"specials.name.might_of_excalibroom","Ekskalibur Süpürgesinin Kudreti"
"specials.name.might_of_the_ice_giants","Buz Devlerinin Gücü"
"specials.name.might_of_the_ice_giants_final","Buz Devlerinin Gücü"
"specials.name.mimic_bite","Isırık Taklidi"
"specials.name.mimic_bite_burn","Aşındıran Isırık"
"specials.name.mimic_bite2","Acımasız Isırık Taklidi"
"specials.name.mimic_bite3","Taklit Açgözlülüğü"
"specials.name.mimic_bite4","Taklit Kışkırtması"
"specials.name.mimic_special","Kurnaz Canavar"
"specials.name.mimic_special2","Kurnaz Canavar"
"specials.name.mimic_training_hero_blue_bite","Açgözlü Yutma"
"specials.name.mimic_training_hero_green_bite","Açgözlü Yutma"
"specials.name.mimic_training_hero_purple_bite","Açgözlü Yutma"
"specials.name.mimic_training_hero_red_bite","Açgözlü Yutma"
"specials.name.mimic_training_hero_yellow_bite","Açgözlü Yutma"
"specials.name.mind_blast","Zihin Patlaması"
"specials.name.mindless_attack","Akılsız Saldırı"
"specials.name.minion_scrutiny","Hizmetkar Tetkiki"
"specials.name.mischievous_flourish","Yaramaz Gelişim"
"specials.name.mischievous_flourish_pve_advanced","Yaramaz Gelişim"
"specials.name.mischievous_flourish_pve_normal","Yaramaz Gelişim"
"specials.name.mischievous_tiein","Sinsi Bağlantı"
"specials.name.missile_mania","Füze Çılgınlığı"
"specials.name.mist_of_the_fallen","Düşmüşlerin Pusu"
"specials.name.mistletoe_medley","Ökse Otu Karışımı"
"specials.name.misty_punches","Sisli Yumruklar"
"specials.name.mixed_green_herbs","Karışık Yeşil Otlar"
"specials.name.molten_wax","Eriyik Bal Mumu"
"specials.name.monastic_restraint","Keşiş Dizginlemesi"
"specials.name.monstrous_bite","Canavarca Isırık"
"specials.name.moody_jab_dragon_pve","Kaprisli Yumruk"
"specials.name.mooing_for_a_fight","Savaş Mölemesi"
"specials.name.moon_boomerang","Ay Bumerangı"
"specials.name.moon_crush_beam","Ezici Ay Işını"
"specials.name.moonlight_crescendo","Ay Işığı Kreşendosu"
"specials.name.moonlight_serenade","Ayışığı Serenatı"
"specials.name.moonlight_sonata","Ay Işığı Sonatı"
"specials.name.moonstone_glare_dragon_pve","Ay Taşı Bakışı"
"specials.name.moreau_phase1_special","Kör Eden Haset"
"specials.name.moreau_phase2_special1","Kör Eden Haset"
"specials.name.moreau_phase2_special2","Kör Eden Haset"
"specials.name.morning_catch","Sabah Avı"
"specials.name.mother_dragons_love","Anne Ejderhanın Sevgisi"
"specials.name.motherly_care","Anne İlgisi"
"specials.name.motherly_care_pve","Anne İlgisi"
"specials.name.motherly_love","Ana Sevgisi"
"specials.name.muffin_poisoning","Kek Zehirlenmesi"
"specials.name.multi_elemental_mark","Çoklu Element İzi"
"specials.name.multi_throw","Çoklu Fırlatma"
"specials.name.mummy_slash","Mumya Kesiği"
"specials.name.mummy_strike","Mumya Saldırısı"
"specials.name.musketeers_deal","Silahşorun Anlaşması"
"specials.name.musketeers_mead","Silahşor Şarabı"
"specials.name.mutated_specimen","Mutasyonlu Canlı"
"specials.name.mutating_mixture","Mutasyon Karışımı"
"specials.name.mystery_potions","Gizemli İksirler"
"specials.name.mystic_chop","Mistik Doğrama"
"specials.name.mystical_concerto","Mistik Konçerto"
"specials.name.mystics_virtue","Sufinin Erdemi"
"specials.name.mythic_lightning","Mitsi Şimşek"
"specials.name.nasty_hammer","Ağır Çekiç"
"specials.name.natures_blessing","Vahşi Öfke"
"specials.name.natures_connection","Doğanın Bağlantısı"
"specials.name.natures_fury","Doğanın Öfkesi"
"specials.name.natures_payback","Doğanın İntikamı"
"specials.name.nebula_orb","Bulutsu Küresi"
"specials.name.nebula_orb_ultimate_boss","Bulutsu Küresi"
"specials.name.necronomicon_page_13","Necronomicon'un 13. Sayfası"
"specials.name.nephrite_blade","Yeşim Bıçak"
"specials.name.nethershield","Cehennem Kalkanı"
"specials.name.never_ending_winter","Hiç Bitmeyen Kış"
"specials.name.night_falls","Gece Vakti"
"specials.name.night_of_crimes","Suçlar Gecesi"
"specials.name.nightbloom_dust","Gece Açan Toz"
"specials.name.nightglade_pollen","Gece Kayranı Poleni"
"specials.name.nights_whisper","Gecenin Fısıltısı"
"specials.name.nimble_bite","Çevik Isırık"
"specials.name.nine_dragon_strike","Dokuz Ejderha Vuruşu"
"specials.name.nobles_empathy","Asil Empatisi"
"specials.name.nobles_empathy_costume_artisan","Kaligrafın Empatisi"
"specials.name.nomadic_hymn","Göçebe İlahisi"
"specials.name.northern_wanderer","Neşeli Yardım"
"specials.name.noxious_blossom","Zehirleyici Çiçek"
"specials.name.noxious_chord","Zehirleyici Tel"
"specials.name.noxious_cleave","Zararlı Yarık"
"specials.name.noxious_cleave_pve","Zararlı Yarık"
"specials.name.nuts_of_yggdrasil","Yggdrasil'in Fındıkları"
"specials.name.oath_of_templar","Tapınak Şövalyesinin Yemini"
"specials.name.obliterating_surge","Yok Edici Dalga"
"specials.name.ocarina_windsong","Okarina Rüzgar Şarkısı"
"specials.name.occult_redemption","Okült Kefareti"
"specials.name.ocean_vortex","Okyanus Girdabı"
"specials.name.oceanic_offensive","Okyanus Saldırısı"
"specials.name.oceanic_slayer","Gelgit Katili"
"specials.name.oceanic_suffering","Okyanus Izdırabı"
"specials.name.oceans_decay","Okyanusun Çürümesi"
"specials.name.oceans_embrace","Okyanusun Kucağı"
"specials.name.oceans_ruin","Okyanusun Yıkımı"
"specials.name.odd_drum_roll","Tuhaf Davul Sesi"
"specials.name.oji_waza","Oji-Waza"
"specials.name.old_curse","Eski Lanet"
"specials.name.omega_flame","Omega Vuruşu"
"specials.name.omega_strike_dark","Omega Vuruşu"
"specials.name.omega_strike_fire","Omega Vuruşu"
"specials.name.omega_strike_holy","Omega Vuruşu"
"specials.name.omega_strike_ice","Omega Vuruşu"
"specials.name.omega_strike_nature","Omega Vuruşu"
"specials.name.omen_of_retribution","İntikam Alameti"
"specials.name.omnicure","Omni tedavi"
"specials.name.omniheal","Omni şifa"
"specials.name.omnimend","Omnimend"
"specials.name.one_hit_wonder","Tek Kullanımlık Yetenek"
"specials.name.one_jump_ahead","Öne Sıçrayış"
"specials.name.one_spell_ahead","Bir Büyü Önde"
"specials.name.opposing_raid","Karşı Baskın"
"specials.name.orchestra_of_candles","Mum Orkestrası"
"specials.name.orchids_and_roses","Orkideler ve Güller"
"specials.name.order_ambush","Düzen Pususu"
"specials.name.order_ambush_pve","Düzen Pususu"
"specials.name.order_from_the_depths","Derinliklerden Gelen Emir"
"specials.name.order_to_overwhelm","Bunaltma Emri"
"specials.name.orsoldoon","Örsöldöön"
"specials.name.overpowering_grip_dragon_pve","Bayıltıcı Pençe"
"specials.name.overvlowing_whirlwind","Coşkun Kasırga"
"specials.name.overwhelming_raid","Ezici Baskın"
"specials.name.owls_blessing","Baykuş Kutsaması"
"specials.name.pacifying_presence_dragon_pve","Sakinleştirici Kuvvet"
"specials.name.pain_harvest","Acı Hasadı"
"specials.name.paragon_of_constellations","Takımyıldız Mükemmelliği"
"specials.name.paralyzing_spore","Felç Eden Spor"
"specials.name.parcel_of_the_dragon_familiar","Ejderha Dost Parseli"
"specials.name.passion_conquers_all","Tutku Her Şeyi Aşar"
"specials.name.pathfinders_compass","Kaşifin Pusulası"
"specials.name.paw_in_every_pie","Her Tarakta Patisi Var"
"specials.name.pawns_of_divinity","İlahi Piyonlar"
"specials.name.paws_or_claws","Patiler ya da Pençeler"
"specials.name.peach_of_immortality","Ölümsüzlük Şeftalisi"
"specials.name.pearls_of_rejuvenation","Canlandıran İnciler"
"specials.name.perfect_riposte","Mükemmel Replik"
"specials.name.perfect_shot","Mükemmel Atış"
"specials.name.perfect_teamwork","Mükemmel Takım Çalışması"
"specials.name.perfume_cloud","Parfüm Bulutu"
"specials.name.perilous_gift","Riskli Hediye"
"specials.name.perilous_present_pve","Riskli Hediye"
"specials.name.perilous_waters","Tehlikeli Sular"
"specials.name.perplexing_riddle","Şaşırtıcı Bilmece"
"specials.name.pest_control","Veba Kontrolü"
"specials.name.pet_larva","Evcil Larva"
"specials.name.petals_of_nourishment","Besleme Yaprakları"
"specials.name.petrifying_knuckles","Taşlaştıran Yumruklar"
"specials.name.petrifying_performance","Taşlaştıran Gösteri"
"specials.name.picnic_in_the_sky","Gökyüzünde Piknik"
"specials.name.pie_of_protection","Koruma Turtası"
"specials.name.piercing_falcon","Delici Şahin"
"specials.name.piercing_hit","Delici Darbe"
"specials.name.piercing_practice_slash","Delen Alıştırma Kesiği"
"specials.name.piercing_sabre","Delici Kılıç"
"specials.name.piercing_scream_dragon_pve","Delen Çığlık"
"specials.name.piercing_shot","Delen Darbe"
"specials.name.piercing_strike","Delici Vuruş"
"specials.name.piercing_tusk","Delici Diş"
"specials.name.pincer_claw","Kıskaçlı Pençe"
"specials.name.pincer_claw_deadly","Kıskaçlı Pençe"
"specials.name.pineapple_alchemist","Ananas Simyacısı"
"specials.name.pineapple_barbeque","Ananas Barbeküsü"
"specials.name.pirate_shot","Korsan Atışı"
"specials.name.pirates_vengeance","Korsanın İntikamı"
"specials.name.pixie_dust","Peri Tozu"
"specials.name.plague_bite","Veba Isırığı"
"specials.name.plague_blade","Veba Bıçağı"
"specials.name.planar_time_widget","Düzlem-zaman aygıtı"
"specials.name.planetary_charge","Gezegen Hücumu"
"specials.name.plantipede_sting","Bitki Çıyanı Sokması"
"specials.name.plentiful_harvest","Bereketli Hasat"
"specials.name.plentiful_minerals","Verimli Mineraller"
"specials.name.plume_flash","Tüy Işıltısı"
"specials.name.poem_of_the_centaurs","Sentorların Şiiri"
"specials.name.poem_of_the_morass","Bataklık Şiiri"
"specials.name.poetic_justice","İlahi Adalet"
"specials.name.poets_protection","Şairin Koruması"
"specials.name.pointy_darts","Sivri Dartlar"
"specials.name.poison_bite","Zehirli Isırık"
"specials.name.poison_bite_dragon_pve","Zehirli Isırık"
"specials.name.poison_bolt_zidane","Zehirli Ok"
"specials.name.poison_claw","Zehirli Pençe"
"specials.name.poison_jolt","Zehirli Sarsıntı"
"specials.name.poison_strike","Zehirli Vuruş"
"specials.name.poison_tipped_arrow","Ucu Zehirli Ok"
"specials.name.poison_web","Zehirli Ağ"
"specials.name.poisoned_blade","Zehirli Bıçak"
"specials.name.poisoning_blade","Zehirleyici Kılıç"
"specials.name.poisonous_mist","Zehirli Sis"
"specials.name.poisonous_saliva","Zehirli Salya"
"specials.name.polar_bash","Kutup Darbesi"
"specials.name.polar_night_blizzard","Kutup Gecesi Kar Fırtınası"
"specials.name.poleaxe_of_the_law","Kanun Baltası"
"specials.name.polestar_expedition","Kutup Yıldızı Keşfi"
"specials.name.pompous_flex","Şatafatlı Gösteriş"
"specials.name.portents_of_future","Geleceğin Habercileri"
"specials.name.possessed_strike","Ele Geçirilmiş Vuruş"
"specials.name.possessor_of_penance","Kefaret Sahibi"
"specials.name.postal_pulverizer","Vahşi Öğütücü"
"specials.name.potion_cocktail","İksir Kokteyli"
"specials.name.potions_of_covetous_desire","Hırslı Arzu İksirleri"
"specials.name.potions_of_covetous_desire_pve","Hırslı Arzu İksirleri"
"specials.name.potions_of_havoc_and_healing","Yıkım ve Şifa İksirleri"
"specials.name.pounce_of_the_lioness","Dişi Aslanın Pençesi"
"specials.name.pounding_attack","Darp Saldırısı"
"specials.name.power_of_ajna","Ajna'nın Gücü"
"specials.name.power_of_flora","Flora'nın Gücü"
"specials.name.power_of_mjolnir","Mjölnir Gücü"
"specials.name.power_of_the_forest","Ormanın Gücü"
"specials.name.power_of_the_void","Boşluğun Gücü"
"specials.name.power_punch","Güçlü Yumruk"
"specials.name.power_slam","Güçlü Patlama"
"specials.name.power_wave","Güç Dalgası"
"specials.name.prayer_of_the_desert","Çöl Duası"
"specials.name.precious_pets","Değerli Evcil Hayvanlar"
"specials.name.precious_pets_pve_advanced","Değerli Evcil Hayvanlar"
"specials.name.precious_pets_pve_normal","Değerli Evcil Hayvanlar"
"specials.name.precise_chop","Kusursuz Doğrama"
"specials.name.precise_riposte","Kusursuz Karşılık"
"specials.name.preserve_and_freeze","Koru ve Dondur"
"specials.name.prestidigitation","Hokkabazlık"
"specials.name.prestidigitation_cross","Haç"
"specials.name.prestidigitation_skull","Kurukafa"
"specials.name.prestidigitation_stars","Yıldız"
"specials.name.primeval_glaive","İlkel Kılıç"
