"herocard.passive_skill.description.addmana.all.allies","Alle Verbündeten erhalten eine geringe Menge Mana."
"herocard.passive_skill.description.statuseffectdurationmodifier.decrease.minordebuff.majordebuff","Die Dauer der ersten {MAXACTIVATIONCOUNT} negativen Statusänderungen, die dieser Charakter durch Spezialfähigkeiten erhält, wird um {DURATIONMODIFIER} Zug verkürzt."
"herocard.passive_skill.description.statuseffectdurationmodifier.decrease.minordebuff.majordebuff.defensemodifier.no_limit","Die Dauer der negativen Statusänderungen für die Verteidigung, die dieser Charakter durch Spezialfähigkeiten erhält, wird um {DURATIONMODIFIER} Züge verkürzt."
"herocard.passive_skill.description.statuseffectdurationmodifier.increase.minorbuff.majorbuff","Die Dauer der ersten {MAXACTIVATIONCOUNT} Boni, die dieser Charakter durch Spezialfähigkeiten erhält, wird um {DURATIONMODIFIER} Zug verlängert."
"herocard.passive_skill.description.statuseffectoncleanse.single.enemies","Wenn eine negative Statusänderung von diesem Helden entfernt wird, wird eine Kopie des entfernten Leidens auf einen zufälligen Gegner übertragen."
"herocard.passive_skill.description.statuseffectonspecialcast.major.all.allies.softskin","Immer wenn dieser Gargoyle eine Spezialfähigkeit wirkt, erhalten alle Verbündeten Weichhaut. Die nächsten {MAXACTIVATIONS} Male, wenn sie Schaden erleiden, wird er um {DAMAGEREDUCTION} % verringert. Die Verbündeten erleiden keine negativen Statusänderungen, Manaverringerungen und Widerstand. Dieser Effekt kann nicht entfernt werden."
"herocard.passive_skill.description.statuseffectonspecialcast.major.single.allies.softskin","Immer wenn dieser Gargoyle eine Spezialfähigkeit wirkt, wird seine Weichhaut aktiviert. Die nächsten {MAXACTIVATIONS} Male, wenn er Schaden erleidet, wird sie um {DAMAGEREDUCTION} % verringert. Die Verbündeten erleiden keine negativen Statusänderungen, Manaverringerungen und Wahnsinn. Dieser Effekt kann nicht entfernt werden."
"herocard.passive_skill.description.statuseffectonspecialcast.major.single.allies.stone","Jedes Mal, wenn dieser Gargoyle eine Spezialfähigkeit wirkt, wird seine Steinhaut härter. Die nächsten {MAXHITS}-mal, die er Schaden erleidet, wird dieser auf 1 gesenkt. Dieser Effekt kann nicht entfernt werden."
"herocard.passive_skill.description.statuseffectonspecialcast.minor.random.enemies.damageonhitreceived","Setzt dieser Charakter seine Spezialfähigkeit ein, markiert er einen zufälligen Gegner für {TURNS} Züge mit  Jägerleuchten.
 Ein mit Jägerleuchten markiertes Ziel erleidet durch kritische Treffer zusätzlich {FIXEDPOWER} Schaden."
"herocard.passive_skill.description.statuseffectonspecialcast.minor.single.allies.attackmodifierfrompassiveskill","Wenn dieser Charakter seine Spezialfähigkeit einsetzt, erhält er {ATTACK} % Angriff für {TURNS} Runden. Dieser Effekt kann zusätzlich zu anderen Effekten, die den Angriff verändern, aktiv sein."
"herocard.passive_skill.description.statuseffectselection.usable_once.select_element_status_effect","Einmal im Kampf kann das Element dieses Helden zu einem Element deiner Wahl für {TURNS} Runden geändert werden. Du kannst das Element ändern, indem du diesen Helden antippst, wenn sein Mana nicht voll ist."
"herocard.passive_skill.description.summonfamiliarperturn.evolving_seedling_parasite.enemies","Beschwört jede Runde einen Setzling-Feind für einen zufälligen Gegner.
Der Setzling-Feind entwickelt sich zu einem Spross-Feind nach {EVOLVINGFAMILIAR1EVOLVETURNS} Runden.
Der Spross-Feind entwickelt sich zu einem Blüten-Mega-Feind nach {EVOLVINGFAMILIAR2EVOLVETURNS} Runden.

Setzling-Feind: 
{EVOLVINGFAMILIAR1FAMILIARATTACK} % Angriff, {EVOLVINGFAMILIAR1FAMILIARHEALTHPERCENT} % Leben.

Spross-Feind: 
{EVOLVINGFAMILIAR2FAMILIARATTACK} % Angriff, {EVOLVINGFAMILIAR2FAMILIARHEALTHPERCENT} % Leben.

Blüten-Mega-Feind: 
{EVOLVINGFAMILIAR3FAMILIARATTACK} % Angriff, {EVOLVINGFAMILIAR3FAMILIARHEALTHPERCENT} % Leben."
"herocard.passive_skill.description.summonfamiliarperturn.evolving_seedling_parasite.enemies.sharedonceperturn","Beschwört jede Runde einen Setzling-Feind für einen zufälligen Gegner. Diese passive Fähigkeit wird für jedes Team nur einmal pro Runde aktiviert.
Der Setzling-Feind entwickelt sich zu einem Spross-Feind nach {EVOLVINGFAMILIAR1EVOLVETURNS} Runden.
Der Spross-Feind entwickelt sich zu einem Blüten-Mega-Feind nach {EVOLVINGFAMILIAR2EVOLVETURNS} Runden.

Setzling-Feind: 
{EVOLVINGFAMILIAR1FAMILIARATTACK} % Angriff, {EVOLVINGFAMILIAR1FAMILIARHEALTHPERCENT} % Leben.

Spross-Feind: 
{EVOLVINGFAMILIAR2FAMILIARATTACK} % Angriff, {EVOLVINGFAMILIAR2FAMILIARHEALTHPERCENT} % Leben.

Blüten-Mega-Feind: 
{EVOLVINGFAMILIAR3FAMILIARATTACK} % Angriff, {EVOLVINGFAMILIAR3FAMILIARHEALTHPERCENT} % Leben."
"herocard.passive_skill.description.summonfamiliarperturn.evolving_seedling_parasite_with_delay.enemies","Beschwört jede Runde einen Setzling-Feind für einen zufälligen Gegner.
Der Setzling-Feind entwickelt sich zu einem Spross-Feind nach {EVOLVINGFAMILIAR1EVOLVETURNS} Runden.
Der Spross-Feind entwickelt sich zu einem Blüten-Mega-Feind nach {EVOLVINGFAMILIAR2EVOLVETURNS} Runden.
Jedes Mal, wenn der Feind Heilung absorbiert, wird seine Entwicklung um {EVOLVINGFAMILIAR1EVOLVETURNSDELAY} verzögert.

Setzling-Feind: 
{EVOLVINGFAMILIAR1FAMILIARATTACK} % Angriff, {EVOLVINGFAMILIAR1FAMILIARHEALTHPERCENT} % Leben.

Spross-Feind: 
{EVOLVINGFAMILIAR2FAMILIARATTACK} % Angriff, {EVOLVINGFAMILIAR2FAMILIARHEALTHPERCENT} % Leben.

Blüten-Mega-Feind: 
{EVOLVINGFAMILIAR3FAMILIARATTACK} % Angriff, {EVOLVINGFAMILIAR3FAMILIARHEALTHPERCENT} % Leben."
"herocard.passive_skill.description.summonfamiliarperturn.evolving_seedling_parasite_with_delay.enemies.sharedonceperturn","Beschwört jede Runde einen Setzling-Feind für einen zufälligen Gegner. Diese passive Fähigkeit wird für jedes Team nur einmal pro Runde aktiviert.
Der Setzling-Feind entwickelt sich zu einem Spross-Feind nach {EVOLVINGFAMILIAR1EVOLVETURNS} Runden.
Der Spross-Feind entwickelt sich zu einem Blüten-Mega-Feind nach {EVOLVINGFAMILIAR2EVOLVETURNS} Runden.
Jedes Mal, wenn der Feind Heilung absorbiert, wird seine Entwicklung um {EVOLVINGFAMILIAR1EVOLVETURNSDELAY} verzögert.

Setzling-Feind: 
{EVOLVINGFAMILIAR1FAMILIARATTACK} % Angriff, {EVOLVINGFAMILIAR1FAMILIARHEALTHPERCENT} % Leben.

Spross-Feind: 
{EVOLVINGFAMILIAR2FAMILIARATTACK} % Angriff, {EVOLVINGFAMILIAR2FAMILIARHEALTHPERCENT} % Leben.

Blüten-Mega-Feind: 
{EVOLVINGFAMILIAR3FAMILIARATTACK} % Angriff, {EVOLVINGFAMILIAR3FAMILIARHEALTHPERCENT} % Leben."
"herocard.passive_skill.description.summonfamiliarperturn.evolving_seedling_parasite_with_delay_epic.enemies.sharedonceperturn","Beschwört jede Runde einen Setzling-Feind für einen zufälligen Gegner. Diese passive Fähigkeit wird für jedes Team nur einmal pro Runde aktiviert.
Der Setzling-Feind entwickelt sich zu einem Spross-Feind nach {EVOLVINGFAMILIAR1EVOLVETURNS} Runden.
Der Spross-Feind entwickelt sich zu einem Blüten-Mega-Feind nach {EVOLVINGFAMILIAR2EVOLVETURNS} Runden.
Jedes Mal, wenn der Feind Heilung absorbiert, wird seine Entwicklung um {EVOLVINGFAMILIAR1EVOLVETURNSDELAY} verzögert.

Setzling-Feind: 
{EVOLVINGFAMILIAR1FAMILIARATTACK} % Angriff, {EVOLVINGFAMILIAR1FAMILIARHEALTHPERCENT} % Leben.

Spross-Feind: 
{EVOLVINGFAMILIAR2FAMILIARATTACK} % Angriff, {EVOLVINGFAMILIAR2FAMILIARHEALTHPERCENT} % Leben.

Blüten-Mega-Feind: 
{EVOLVINGFAMILIAR3FAMILIARATTACK} % Angriff, {EVOLVINGFAMILIAR3FAMILIARHEALTHPERCENT} % Leben."
"herocard.passive_skill.description.summonfamiliarperturn.evolving_seedling_parasite_with_delay_rare.enemies.sharedonceperturn","Beschwört jede Runde einen Setzling-Feind für einen zufälligen Gegner. Diese passive Fähigkeit wird für jedes Team nur einmal pro Runde aktiviert.
Der Setzling-Feind entwickelt sich zu einem Spross-Feind nach {EVOLVINGFAMILIAR1EVOLVETURNS} Runden.
Der Spross-Feind entwickelt sich zu einem Blüten-Mega-Feind nach {EVOLVINGFAMILIAR2EVOLVETURNS} Runden.
Jedes Mal, wenn der Feind Heilung absorbiert, wird seine Entwicklung um {EVOLVINGFAMILIAR1EVOLVETURNSDELAY} verzögert.

Setzling-Feind: 
{EVOLVINGFAMILIAR1FAMILIARATTACK} % Angriff, {EVOLVINGFAMILIAR1FAMILIARHEALTHPERCENT} % Leben.

Spross-Feind: 
{EVOLVINGFAMILIAR2FAMILIARATTACK} % Angriff, {EVOLVINGFAMILIAR2FAMILIARHEALTHPERCENT} % Leben.

Blüten-Mega-Feind: 
{EVOLVINGFAMILIAR3FAMILIARATTACK} % Angriff, {EVOLVINGFAMILIAR3FAMILIARHEALTHPERCENT} % Leben."
"herocard.passive_skill.description.summononownerdeath.slime_big_minion_blue.neartotargetexceptcaster.allies","Wenn dieser Charakter besiegt wird, beschwört er einen Schleim-Megalakaien zu Verbündeten in der Nähe mit {FAMILIARHEALTHPERCENT} % LP und {FAMILIARATTACK} % Angriff, die von diesem Charakter geerbt wurden."
"herocard.passive_skill.description.summononownerdeath.slime_big_minion_green.neartotargetexceptcaster.allies","Wenn dieser Charakter besiegt wird, beschwört er einen Schleim-Megalakaien zu Verbündeten in der Nähe mit {FAMILIARHEALTHPERCENT} % LP und {FAMILIARATTACK} % Angriff, die von diesem Charakter geerbt wurden."
"herocard.passive_skill.description.summononownerdeath.slime_big_minion_purple.neartotargetexceptcaster.allies","Wenn dieser Charakter besiegt wird, beschwört er einen Schleim-Megalakaien zu Verbündeten in der Nähe mit {FAMILIARHEALTHPERCENT} % LP und {FAMILIARATTACK} % Angriff, die von diesem Charakter geerbt wurden."
"herocard.passive_skill.description.summononownerdeath.slime_big_minion_red.neartotargetexceptcaster.allies","Wenn dieser Charakter besiegt wird, beschwört er einen Schleim-Megalakaien zu Verbündeten in der Nähe mit {FAMILIARHEALTHPERCENT} % LP und {FAMILIARATTACK} % Angriff, die von diesem Charakter geerbt wurden."
"herocard.passive_skill.description.summononownerdeath.slime_big_minion_yellow.neartotargetexceptcaster.allies","Wenn dieser Charakter besiegt wird, beschwört er einen Schleim-Megalakaien zu Verbündeten in der Nähe mit {FAMILIARHEALTHPERCENT} % LP und {FAMILIARATTACK} % Angriff, die von diesem Charakter geerbt wurden."
"herocard.passive_skill.description.summononreceiveddamagewiththreshold.slime_big_minion_blue","Wenn dieser Charakter mehr als {DAMAGETHRESHOLD} % seines maximalen Lebens auf einmal verliert, beschwört er einen  Schleim-Megalakaien mit {FAMILIARHEALTHPERCENT} % LP und {FAMILIARATTACK} % Angriff."
"herocard.passive_skill.description.summononreceiveddamagewiththreshold.slime_big_minion_green","Wenn dieser Charakter mehr als {DAMAGETHRESHOLD} % seines maximalen Lebens auf einmal verliert, beschwört er einen  Schleim-Megalakaien mit {FAMILIARHEALTHPERCENT} % LP und {FAMILIARATTACK} % Angriff."
"herocard.passive_skill.description.summononreceiveddamagewiththreshold.slime_big_minion_purple","Wenn dieser Charakter mehr als {DAMAGETHRESHOLD} % seines maximalen Lebens auf einmal verliert, beschwört er einen  Schleim-Megalakaien mit {FAMILIARHEALTHPERCENT} % LP und {FAMILIARATTACK} % Angriff."
"herocard.passive_skill.description.summononreceiveddamagewiththreshold.slime_big_minion_red","Wenn dieser Charakter mehr als {DAMAGETHRESHOLD} % seines maximalen Lebens auf einmal verliert, beschwört er einen  Schleim-Megalakaien mit {FAMILIARHEALTHPERCENT} % LP und {FAMILIARATTACK} % Angriff."
"herocard.passive_skill.description.summononreceiveddamagewiththreshold.slime_big_minion_yellow","Wenn dieser Charakter mehr als {DAMAGETHRESHOLD} % seines maximalen Lebens auf einmal verliert, beschwört er einen  Schleim-Megalakaien mit {FAMILIARHEALTHPERCENT} % LP und {FAMILIARATTACK} % Angriff."
"herocard.passive_skill.description.summononstatuseffectaddition.burn.forest_guardian.statuseffectdebuffs","Jedes Mal, wenn dieser Charakter die negative Statusänderung „Brand“ erhält, beschwört er einen Wald-Wächterlakaien für sich. Der Wald-Wächterlakai erbt {FAMILIARHEALTHPERCENT} % LP und {FAMILIARATTACK} % Angriff von diesem Charakter."
"herocard.passive_skill.description.summononstatuseffectaddition.damageovertime.card_soldier_no_taunt.statuseffectdebuffs","Jedes Mal, wenn dieser Charakter die negative Statusänderung Schaden über Zeit erhält, beschwört er einen Karten-Soldatenlakaien für sich. Der Karten-Soldatenlakai erbt {FAMILIARHEALTHPERCENT} % LP und {FAMILIARATTACK} % Angriff von diesem Charakter."
"herocard.passive_skill.description.summononstatuseffectaddition.defensemodifier.bull.none","Jedes Mal, wenn dieser Charakter eine negative Statusänderung mit Auswirkungen auf seine Verteidigung erhält, beschwört er einen Stierlakaien für sich. Der Stierlakai erbt {FAMILIARHEALTHPERCENT} % LP und {FAMILIARATTACK} % Angriff von diesem Charakter."
"herocard.passive_skill.description.summononsummon.activates_on_enemy_action.allies.owl.minion","Beschwört einen Spatzlakaien für sich selbst, wenn ein Feind mithilfe einer Spezialfähigkeit Lakaien beschwört."
"herocard.passive_skill.description.summononsummon.activates_on_enemy_action.enemies.cursed_sapling_parasite.minion","Wenn ein Feind einen beliebigen Lakaien mit einer Spezialfähigkeit beschwört, beschwört dieser Charakter einen verfluchten Setzling auf diesen Feind."
"herocard.passive_skill.description.summononsummon.activates_on_enemy_action.enemies.seedling_parasite.minion","Wenn ein Gegner beliebige Lakaien mit einer Spezialfähigkeit beschwört, beschwört dieser Charakter einen Setzling-Feind für diesen Gegner."
"herocard.passive_skill.description.targetstatedependenteffectonspecial.healthboost.all.allies.fixedpower.always.checkstate.all.allies.dance","Wenn Verbündete Tanzen, wenn dieser Charakter seine Spezialfähigkeit wirkt, wird das Leben aller Verbündeter um {HEALTHBOOST} verstärkt. Verstärktes Leben kann die max. LP übersteigen."
"herocard.passive_skill.description.taunt","Die Spezialfähigkeit dieses Charakters wird von Verspotten nicht beeinflusst."
"herocard.passive_skill.description.tileenhancementonspecial.accuracymodifier.blue","Wenn dieser Charakter seine Spezialfähigkeit einsetzt, werden Eisschilde auf dem Feld mit einer Genauigkeit von {MODIFIER} % geschwächt."
"herocard.passive_skill.description.tileenhancementonspecial.accuracymodifier.green","Wenn dieser Charakter seine Spezialfähigkeit einsetzt, werden Naturschilde auf dem Feld mit einer Genauigkeit von {MODIFIER} % geschwächt."
"herocard.passive_skill.description.tileenhancementonspecial.accuracymodifier.purple","Wenn dieser Charakter seine Spezialfähigkeit einsetzt, werden Schattenschilde auf dem Feld mit einer Genauigkeit von {MODIFIER} % geschwächt."
"herocard.passive_skill.description.tileenhancementonspecial.accuracymodifier.red","Wenn dieser Charakter seine Spezialfähigkeit einsetzt, werden Feuerschilde auf dem Feld mit einer Genauigkeit von {MODIFIER} % geschwächt."
"herocard.passive_skill.description.tileenhancementonspecial.accuracymodifier.yellow","Wenn dieser Charakter seine Spezialfähigkeit einsetzt, werden Lichtschilde auf dem Feld mit einer Genauigkeit von {MODIFIER} % geschwächt."
"herocard.passive_skill.description.tileenhancementonspecial.criticalchancemultiplier.blue","Wenn dieser Charakter seine Spezialfähigkeit einsetzt, werden Eisschilde auf dem Feld mit einer Chance auf kritische Treffer von {MODIFIER} % verstärkt."
"herocard.passive_skill.description.tileenhancementonspecial.criticalchancemultiplier.green","Wenn dieser Charakter seine Spezialfähigkeit einsetzt, werden Naturschilde auf dem Feld mit einer Chance auf kritische Treffer von {MODIFIER} % verstärkt."
"herocard.passive_skill.description.tileenhancementonspecial.criticalchancemultiplier.purple","Wenn dieser Charakter seine Spezialfähigkeit einsetzt, werden Schattenschilde auf dem Feld mit einer Chance auf kritische Treffer von {MODIFIER} % verstärkt."
"herocard.passive_skill.description.tileenhancementonspecial.criticalchancemultiplier.red","Wenn dieser Charakter seine Spezialfähigkeit einsetzt, werden Feuerschilde auf dem Feld mit einer Chance auf kritische Treffer von {MODIFIER} % verstärkt."
"herocard.passive_skill.description.tileenhancementonspecial.criticalchancemultiplier.yellow","Wenn dieser Charakter seine Spezialfähigkeit einsetzt, werden Lichtschilde auf dem Feld mit einer Chance auf kritische Treffer von {MODIFIER} % verstärkt."
"herocard.passive_skill.description.transformstatuseffectonspecialcast.minorbuff.enemies.all.transform_attackmodifier_into_attackmodifier.transform_defensemodifier_into_defensemodifier.transform_managenerationmodifier_into_managenerationmodifier","Immer wenn dieser Charakter seine Spezialfähigkeit wirkt, werden alle bannbaren Boni, die den Angriff, die Verteidigung und die Manaregeneration für alle Gegner betreffen, in passende, nicht bannbare negative Statusänderungen verwandelt."
"herocard.passive_skill.description.transformstatuseffectonspecialcast.minordebuff.allies.all.transform_attackmodifier_into_attackmodifier.transform_defensemodifier_into_defensemodifier.transform_managenerationmodifier_into_managenerationmodifier","Immer wenn dieser Charakter seine Spezialfähigkeit wirkt, werden alle säuberbaren Statusänderungen, die den Angriff, die Verteidigung und die Manaregeneration für alle Verbündeten betreffen, in passende, nicht bannbare Boni verwandelt."
"herocard.passive_skill.description.wither.all.enemies","Basisangriff und Basisverteidigung aller Gegner werden für max. {MAXACTIVATIONCOUNT} Runden jede Runde um {STATINCREASE} verringert."
"herocard.passive_skill.inactive","INAKTIV: Erreiche die maximale Stufe und den vollen Aufstieg, um zu aktivieren."
"herocard.passive_skill.replace.minordebuff.attackmodifier.to.minorbuff.attackmodifier","Angriffsverschlechterungen zu {ATTACK} % Angriff für {TURNS} Züge."
"herocard.passive_skill.replace.minordebuff.buffimmunity.to.minorbuff.debuffshield","Bonusimmunitätsverschlechterungen zu Bonusimmunität für {TURNS} Züge."
"herocard.passive_skill.replace.minordebuff.damageovertime.to.minorbuff.fixedhealthrecovery","Negative Statusänderungen, die Schaden über Zeit verursachen, zu über {TURNS} Züge {TOTAL} Leben wiederherstellen"
"herocard.passive_skill.replace.minordebuff.defensemodifier.to.minorbuff.defensemodifier","Verteidigungsverschlechterungen zu {DEFENSE} % Verteidigung für {TURNS} Züge."
"herocard.passive_skill.replace.minordebuff.healingmodifier.to.minorbuff.healmultiplier","Heilungsverringerung zu {HEALING} % erhöhter Heilung für {TURNS} Züge."
"herocard.passive_skill.replace.minordebuff.manaeffect.to.minorbuff.managenerationmodifier","Manaverschlechterungen zu {MANAREGEN} % Manaregeneration für {TURNS} Züge."
"herocard.passive_skill.replace.minordebuff.receiveddamagemodifier.to.minorbuff.receiveddamagemodifier","Schadenserhöhungs-Statuseffekte zu {DAMAGEREDUCTION} % Schadensreduzierung für {TURNS} Züge."
"herocard.passive_skill.replace.minordebuff.statuseffectreflect.to.minorbuff.reflectminordebuffs","Bonus-Reflektor-Effekte zu Statusleiden-Reflektor für {TURNS} Züge."
"herocard.passive_skill.replace_direct_effect.attackwither","Angriffsverwelken zu Angriffswachstum: {FIXEDPOWER} Angriff."
"herocard.passive_skill.replace_direct_effect.defensewither","Verteidigungsverwelken zu Verteidigungswachstum: {FIXEDPOWER} Verteidigung."
"herocard.passive_skill.replace_direct_effect.dispel","Bonus-Entfernen zu Statusleiden-Säuberungen."
"herocard.passive_skill.replace_direct_effect.fiend.stylish_minion","Feinde zu Feschen Lakaien ({FAMILIARHEALTHPERCENT} % LP, {FAMILIARATTACK} % Angriff)."
"herocard.passive_skill.replace_direct_effect.manareduction","Manareduzierung zu {POWER} % Manaerhöhung."
"herocard.passive_skill.sidedependent.sideinfo.heroside","Passive Fähigkeit als angreifender Charakter:"
"herocard.passive_skill.sidedependent.sideinfo.opponentside","Passive Fähigkeit als verteidigender Charakter:"
"herocard.passive_skill.title.addstatuseffectsonenemyattackbuff","Statuseffekt bei feindlichem Angriffsbonus"
"herocard.passive_skill.title.addstatuseffectsonenemydefensebuff","Statuseffekt bei feindlichem Verteidigungsbonus"
"herocard.passive_skill.title.addstatuseffectsonmanareduction","Statuseffekt für Manaverringerung"
"herocard.passive_skill.title.bleed.effectondamageovertime.activates_on_enemy_action.addmana","Mana bei Blutung"
"herocard.passive_skill.title.bleed.effectondamageovertime.activates_on_enemy_action.heal","Heilung bei Blutung"
"herocard.passive_skill.title.burn.effectondamageovertime.activates_on_enemy_action.addmana","Mana bei Brand"
"herocard.passive_skill.title.bypassfamiliars.minion","Lakaien umgehen"
"herocard.passive_skill.title.bypassfamiliars.minion.bigminion","Überlegenes Umgehen von Lakaien"
"herocard.passive_skill.title.caststatuseffectdurationmodifier","Verlängerte Statuseffekt-Dauer"
"herocard.passive_skill.title.chargebasedmodifier.managenerationmodifier.dodgemodifier","Flugmoment"
"herocard.passive_skill.title.conditionaleffectovertime.addmana.everyturn.while.all.allies.haswither","Mana während Verwelken"
"herocard.passive_skill.title.conditionaleffectovertime.revival.while.single.allies.hasdeadallies","Über Zeit wiederbeleben"
"herocard.passive_skill.title.conditionaleffectovertime.usable_once.heal.addmana.everyturn.while.single.allies.lowhealth","Macht der Sisu"
"herocard.passive_skill.title.convertincomingdamagetoheal.all.statuseffect","Schönes Inneres"
"herocard.passive_skill.title.convertincomingdamagetoheal.statuseffect","Schönes Inneres"
"herocard.passive_skill.title.corrosiveburncoreintrinsicchargeeffectonspecial.activates_on_ally_action.statuseffects.corrosiveburn","Geschmolzener Kern"
"herocard.passive_skill.title.corrosiveburncoreintrinsicchargeeffectonspecial.statuseffects.corrosiveburn","Geschmolzener Kern"
"herocard.passive_skill.title.corrosivecoreintrinsicchargeeffectonspecial.statuseffects.corrosivepoison","Zersetzungskern"
"herocard.passive_skill.title.corrosivefrostcoreintrinsicchargeeffectonspecial.statuseffects.corrosivefrost","Arktischer Kern"
"herocard.passive_skill.title.criticalmodifier","Krit.-Modifikator"
"herocard.passive_skill.title.criticalmodifiersupportcharacter.troop","Krit.-Modifikator"
"herocard.passive_skill.title.critmodifier","Krit.-Chance-Modifikator"
"herocard.passive_skill.title.damageincreasebyinsanity.troop.specialskill.npcnormalattack","Von den Alten markiert"
"herocard.passive_skill.title.dealtdamagemodifieronownedstatuseffect.bloodlily.stacks.enemies.single","Blutmarkierung"
"herocard.passive_skill.title.dealtdamagemodifieronownedstatuseffect.dance.allstatuseffects.allies.all","Wilder Tänzer"
"herocard.passive_skill.title.dealtstrongelementtroopdamage","Truppenmeisterung"
"herocard.passive_skill.title.debuffdamagereduction","Schadensverringerung bei negativen Statusänderungen"
"herocard.passive_skill.title.debuffdamagereductionsupportcharacter.troop","Schadensverringerung bei negativen Statusänderungen"
"herocard.passive_skill.title.destructivecoreintrinsicchargeeffectonspecial.damage","Zerstörungskern"
"herocard.passive_skill.title.dispelonownfamiliardeath.minion.minordebuff","Reinigung bei Tod des Lakaien"
"herocard.passive_skill.title.dodgespecialdamage","Spezialschaden ausweichen"
"herocard.passive_skill.title.doubleeffectonchargedspecial.statuseffects.stackingmanagenerationmodifier.stacks","Stapel bei Spezialfähigkeit"
"herocard.passive_skill.title.eatfamiliarsonspecialcast.parasite.allies.single","Feinde mit Spezialfähigkeit zerstören"
"herocard.passive_skill.title.eatfamiliarswitheffectpereatenfamiliarovertime.addmana","Friss Schergen und gewinne mit der Zeit Mana"
"herocard.passive_skill.title.effectondamagedone.bufftoremove.minordebuff.latest.safe.specialskill.only_criticals.once","Reinigung bei kritischem Spezialangriff"
"herocard.passive_skill.title.effectondamagedone.healthboost.specialskill.only_criticals.once","Lebensverstärkung bei kritischem Spezialangriff"
"herocard.passive_skill.title.effectondamagedonetohealthiertarget.healthboost.specialskill.once.effectondamagereceivedfromhealthierattacker.addmana.specialskill","Gerechte Rebellion"
"herocard.passive_skill.title.effectondamagereceived.addmana.specialskill","Mana bei Schaden durch Spezialfähigkeiten"
"herocard.passive_skill.title.effectondamagereceived.addmana.troop.npcnormalattack.specialskill","Mana auf erhaltenen Schaden"
"herocard.passive_skill.title.effectondamagereceived.damage.specialskill.statuseffectskill.cover","Schaden bei besonderer Fähigkeit und Deckungsschaden"
"herocard.passive_skill.title.effectondamagereceived.none.specialskill.exclude.statuseffect.stacking_attack_on_damage_received_passive","Angriffsstapel für erlittenen Schaden"
"herocard.passive_skill.title.effectondamagereceived.none.specialskill.exclude.statuseffect.stacking_attack_on_damage_received_passive_pve","Angriffsstapel für erlittenen Schaden"
"herocard.passive_skill.title.effectondispel.activates_on_ally_action.healthboost.minordebuff.removalreason.dispel.activates_on_dispel_cast.valid_caster_side.allies","Gesundheitsschub bei versuchter Reinigung von Verbündeten"
"herocard.passive_skill.title.effectondispel.activates_on_enemy_action.damage.minordebuff.removalreason.dispel.activates_on_dispel_cast.valid_caster_side.enemies","Schaden bei versuchter Reinigung von Gegnern"
"herocard.passive_skill.title.effectondispel.addmana.minorbuff","Mana beim Entfernen"
"herocard.passive_skill.title.effectondispel.addmana.minorbuff.removalreason.dispel","Mana beim Bonus-Entfernen"
"herocard.passive_skill.title.effectondispel.heal.statuseffectdebuffs.removalreason.dispel.removal.reallocation.expiration","Heilen, wenn negative Statusänderung abläuft oder entfernt wird"
"herocard.passive_skill.title.effectondispel.healthboost.minorbuff.removalreason.dispel","Verstärktes Leben bei Entfernen von Bonus"
"herocard.passive_skill.title.effectonfamiliardamagedone.minion.frost","Frost bei Lakaitreffer"
"herocard.passive_skill.title.effectonheal.addmana","Mana auf Gesundheitswiederherstellung"
"herocard.passive_skill.title.effectonheal.heal","Zusätzliches Leben bei Gesundheitswiederherstellung"
"herocard.passive_skill.title.effectonhealsupportcharacter.troop.heal","Zusätzliche Heilung"
"herocard.passive_skill.title.effectonmanareduction.statuseffects.attackmodifier","Statuseffekt für Manaverringerung"
"herocard.passive_skill.title.effectonmanareduction.statuseffects.yellowdefensemodifier","Statuseffekt für Manaverringerung"
"herocard.passive_skill.title.effectonownerdeath.damage.statuseffects.bleeding","Ehrlose Niederlage"
"herocard.passive_skill.title.effectonresist.activates_on_enemy_action.healthboost.addmana.once","Lebensbonus und Mana bei Widerstand"
"herocard.passive_skill.title.effectonspecialcastwitheffecttype.activates_on_enemy_action.addmana.on_healthboost_cast","Mana bei lebensverstärkender Spezialfähigkeit"
"herocard.passive_skill.title.effectonspecialcastwitheffecttype.activates_on_enemy_action.healthboost.on_healthboost_cast","Mehr Leben bei gegnerischer Lebensverstärkung"
"herocard.passive_skill.title.effectonspecialchancepermanaspeed","Effekte bei Spezialfähigkeit"
"herocard.passive_skill.title.effectonspecialskilldamagedone.bufftoremove.minordebuff.safe.only_criticals","Reinigung bei kritischem Spezialangriff"
"herocard.passive_skill.title.effectonspecialskilldamagedone.healthboost.only_criticals","Lebensverstärkung bei kritischem Spezialangriff"
"herocard.passive_skill.title.effectonspecialskilldamagereceived.healthboost.only_criticals","Lebensverstärkung bei kritischem Spezialangriff"
"herocard.passive_skill.title.effectonspecialwithchance.activates_on_ally_action.does_not_activate_on_owner_action.damage.directeffect1_statuseffects.defensemodifier","Knabbern"
"herocard.passive_skill.title.effectonspecialwithchance.activates_on_enemy_action.healthboost","Leben bei gegnerischer Spezialfähigkeit verstärken"
"herocard.passive_skill.title.effectonspecialwithchance.addmana","Mana bei voller Aufladung"
"herocard.passive_skill.title.effectonspecialwithchance.bufftoremove.minorbuff.latest","Entfernen bei Spezialfähigkeit"
