"heroes.name_fancy.astral_cosmicspeaker","Астральный эльф-астроном"
"heroes.name_fancy.mighty_pet_furdinand","Сорвиголова Песьей экспедиции"
"heroes.name_fancy.mighty_pet_hachiko","Верный щенок"
"heroes.name_fancy.mighty_pet_luna","Полумесячный филин"
"heroes.name_fancy.mighty_pet_ribbit","Гладиатор Лягушачьего королевства"
"heroes.name_fancy.mighty_pet_rufus","Мохнатый дровосек"
"heroes.name_fancy.mighty_pet_snowball","Царапучая бродячая кошка"
"heroes.name_fancy.mighty_pet_toto","Пес-сказитель"
"heroes.name_fancy.mighty_pet_waddles","Капитан утиной стражи"
"heroes.name_fancy.mimic_aether_blue","Голодное хранилище скипетров"
"heroes.name_fancy.mimic_aether_green","Голодное хранилище скипетров"
"heroes.name_fancy.mimic_aether_purple","Голодное хранилище скипетров"
"heroes.name_fancy.mimic_aether_red","Голодное хранилище скипетров"
"heroes.name_fancy.mimic_aether_yellow","Голодное хранилище скипетров"
"heroes.name_fancy.mimic_ascension_epic_yellow","Ухмыляющийся тайник меньшего зла"
"heroes.name_fancy.mimic_ascension_item_blue","Ухмыляющийся тайник зла"
"heroes.name_fancy.mimic_ascension_item_green","Ухмыляющийся тайник зла"
"heroes.name_fancy.mimic_ascension_item_purple","Ухмыляющийся тайник зла"
"heroes.name_fancy.mimic_ascension_item_red","Ухмыляющийся тайник зла"
"heroes.name_fancy.mimic_ascension_item_yellow","Ухмыляющийся тайник зла"
"heroes.name_fancy.mimic_emblem_blue","Ужасающий одноглазый сундук"
"heroes.name_fancy.mimic_emblem_green","Ужасающий одноглазый сундук"
"heroes.name_fancy.mimic_emblem_purple","Ужасающий одноглазый сундук"
"heroes.name_fancy.mimic_emblem_red","Ужасающий одноглазый сундук"
"heroes.name_fancy.mimic_emblem_yellow","Ужасающий одноглазый сундук"
"heroes.name_fancy.mimic_experience_rare_red","Кладовка с крошечными клыками"
"heroes.name_fancy.mimic_training_hero_blue","Клад из тысячи зубов"
"heroes.name_fancy.mimic_training_hero_green","Клад из тысячи зубов"
"heroes.name_fancy.mimic_training_hero_purple","Клад из тысячи зубов"
"heroes.name_fancy.mimic_training_hero_red","Клад из тысячи зубов"
"heroes.name_fancy.mimic_training_hero_yellow","Клад из тысячи зубов"
"heroes.name_fancy.monster_hunter_adalinda","Принцесса охоты"
"heroes.name_fancy.monster_hunter_amund","Неутомимый следопыт"
"heroes.name_fancy.monster_hunter_basil","Охотничья мышь"
"heroes.name_fancy.monster_hunter_berit","Бериллиновый громила"
"heroes.name_fancy.monster_hunter_bogart","Болотный охотник"
"heroes.name_fancy.monster_hunter_bonecrusher","Вождь-доминант"
"heroes.name_fancy.monster_hunter_cedar","Чемпион-шимпанзе"
"heroes.name_fancy.monster_hunter_cleaver","Вождь охотников"
"heroes.name_fancy.monster_hunter_dabria","Охотник-оккультист"
"heroes.name_fancy.monster_hunter_dawn","Певец охотников"
"heroes.name_fancy.monster_hunter_dubhain","Избранник бога шторма"
"heroes.name_fancy.monster_hunter_ebba","Наемник-охотник"
"heroes.name_fancy.monster_hunter_edelaide","Дикий скиталец"
"heroes.name_fancy.monster_hunter_fianna","Лесной зверолов"
"heroes.name_fancy.monster_hunter_goretooth","Дикий охотник"
"heroes.name_fancy.monster_hunter_greel","Дикий головорез"
"heroes.name_fancy.monster_hunter_hammertusk","Мускулистый варвар-крушитель"
"heroes.name_fancy.monster_hunter_hawthorn","Подмастерье-охотник"
"heroes.name_fancy.monster_hunter_hurricane","Примат-убийца"
"heroes.name_fancy.monster_hunter_kai","Рыцарь-охотник"
"heroes.name_fancy.monster_hunter_knuckles","Макака-страж"
"heroes.name_fancy.monster_hunter_maheegan","Волчий следопыт"
"heroes.name_fancy.monster_hunter_malin","Воин с титановыми костями"
"heroes.name_fancy.monster_hunter_meadow","Родовая охотница"
"heroes.name_fancy.monster_hunter_mistweaver","Драчун-орангутан"
"heroes.name_fancy.monster_hunter_njal","Охотник Северного ветра"
"heroes.name_fancy.monster_hunter_numbskull","Неуклюжий скелет"
"heroes.name_fancy.monster_hunter_otis","Охотник-мастер клинка"
"heroes.name_fancy.monster_hunter_revna","Сердоликовая охотница"
"heroes.name_fancy.monster_hunter_ruadh","Охотник Бездны"
"heroes.name_fancy.monster_hunter_sigyn","Укротительница скорпионов"
"heroes.name_fancy.monster_hunter_sorcha","Настойчивая охотница"
"heroes.name_fancy.monster_hunter_sorrow","Скованное льдом привидение"
"heroes.name_fancy.monster_hunter_staintongue","Беспощадный охотник"
"heroes.name_fancy.monster_hunter_sune","Малахитовый охотник"
"heroes.name_fancy.monster_hunter_thunderclap","Разъяренная горилла"
"heroes.name_fancy.monster_hunter_thura","Благословенная звездами охотница"
"heroes.name_fancy.monster_hunter_tremor","Бабуин-мастер меча"
"heroes.name_fancy.monster_hunter_waterpipe","Создатель гарпуна"
"heroes.name_fancy.moth_auricarc","Меткий Мотылек"
"heroes.name_fancy.moth_chimister","Лабораторная моль"
"heroes.name_fancy.moth_chunkyroi","Мотылек-маркиз"
"heroes.name_fancy.moth_furgeant","Гига-моль"
"heroes.name_fancy.moth_gardered","Смелая моль"
"heroes.name_fancy.moth_grovevert","Заводчик мотыльков"
"heroes.name_fancy.moth_joyvert","Музыкальный мотыль-виртуоз"
"heroes.name_fancy.moth_lilareine","Маркиза мотыльков"
"heroes.name_fancy.moth_limeboire","Мотылек-кабатчик"
"heroes.name_fancy.moth_mortewitch","Мотыльмант"
"heroes.name_fancy.moth_pepperbleu","Мотыльмаг"
"heroes.name_fancy.moth_rosepetite","Юный мотылек-художник"
"heroes.name_fancy.moth_satinpimenter","Мотылек-священник"
"heroes.name_fancy.moth_shyombre","Теневой мотылек"
"heroes.name_fancy.moth_tealmoine","Мотылек тумана"
"heroes.name_fancy.musketeer_aramis","Романтичный мушкетер"
"heroes.name_fancy.musketeer_aramis_costume_boulanger","Мушкетер-пекарь"
"heroes.name_fancy.musketeer_athos","Мушкетер-ветеран"
"heroes.name_fancy.musketeer_athos_costume_farrier","Мушкетер-конюх"
"heroes.name_fancy.musketeer_cardinal_richelieu","Лукавый герцог"
"heroes.name_fancy.musketeer_constance","Смелый мушкетер"
"heroes.name_fancy.musketeer_dartagnan","Пылкий мушкетер"
"heroes.name_fancy.musketeer_felton","Соблазненный убийца"
"heroes.name_fancy.musketeer_felton_costume_pirate","Черствый пират"
"heroes.name_fancy.musketeer_kitty","Приветливая цветочница"
"heroes.name_fancy.musketeer_milady_de_winter","Беспринципная злодейка"
"heroes.name_fancy.musketeer_planchet","Доблестный слуга"
"heroes.name_fancy.musketeer_porthos","Шумный мушкетер"
"heroes.name_fancy.musketeer_porthos_costume_merchant","Мукетер-торговец"
"heroes.name_fancy.musketeer_queen_anne","Элегантная правительница"
"heroes.name_fancy.musketeer_rochefort","Безжалостный злодей"
"heroes.name_fancy.musketeer_villiers","Напыщенный герцог"
"heroes.name_fancy.musketeer_villiers_costume_jester","Напыщенный шут"
"heroes.name_fancy.mystery_enigmo","Парадокс призыва"
"heroes.name_fancy.nature_god_balbar","Травник"
"heroes.name_fancy.nature_god_bertila","Зеленый рыцарь"
"heroes.name_fancy.nature_god_bo_and_runt","Вожаки стаи"
"heroes.name_fancy.nature_god_chloris","Цветочный дух"
"heroes.name_fancy.nature_god_cinisia","Боевой маг Мелии"
"heroes.name_fancy.nature_god_florenna","Изящный элафокентавр"
"heroes.name_fancy.nature_god_leadria","Королева Вечной весны"
"heroes.name_fancy.nature_god_liora","Благожелательный бандит"
"heroes.name_fancy.nature_god_mystia","Завораживающая чародейка"
"heroes.name_fancy.nature_god_silvaria","Бог леса"
"heroes.name_fancy.nature_god_viselus","Непагубный друид"
"heroes.name_fancy.ninja_amethyst","Тайная убийца"
"heroes.name_fancy.ninja_ametrine","Ниндзя скрытых клинков"
"heroes.name_fancy.ninja_aurum","Кровавая куноити"
"heroes.name_fancy.ninja_azurite","Ниндзя-наблюдатель"
"heroes.name_fancy.ninja_chikao","Молчаливый каратель"
"heroes.name_fancy.ninja_cobalt","Ниндзя шепчущих морей"
"heroes.name_fancy.ninja_ekanite","Глава отряда синоби"
"heroes.name_fancy.ninja_garnet","Ниндзя ревущей крови"
"heroes.name_fancy.ninja_iga","Мастер шторма куная"
"heroes.name_fancy.ninja_ito","Покоряющий синоби"
"heroes.name_fancy.ninja_jade","Ниндзя танцующих звезд"
"heroes.name_fancy.ninja_kinsaishi","Громовой монах ниндзя"
"heroes.name_fancy.ninja_kushanku","Кулак обмана"
"heroes.name_fancy.ninja_malum","Безжалостный синоби"
"heroes.name_fancy.ninja_mica","Ниндзя немых воплей"
"heroes.name_fancy.ninja_morganite","Ниндзя исчезающих теней"
"heroes.name_fancy.ninja_myoinni","Сильнейшая из знаменосцев"
"heroes.name_fancy.ninja_nomad","Молчаливый палач"
"heroes.name_fancy.ninja_oniwakamaru","Темный монах 999 мечей"
"heroes.name_fancy.ninja_onyx","Ниндзя легких ветерков"
"heroes.name_fancy.ninja_osamu","Ниндзя железной дисциплины"
"heroes.name_fancy.ninja_peridot","Ниндзя смертоносных ядов"
"heroes.name_fancy.ninja_quartz","Ниндзя тихих могил"
"heroes.name_fancy.ninja_ruby","Ниндзя красных они"
"heroes.name_fancy.ninja_sapphire","Ниндзя ловких теней"
"heroes.name_fancy.ninja_satsui","Теневая куноити"
"heroes.name_fancy.ninja_sawano","Верная куноити"
"heroes.name_fancy.ninja_serandite","Ниндзя пронзающего пламени"
"heroes.name_fancy.ninja_shale","Ниндзя летящей ярости"
"heroes.name_fancy.ninja_tametomo","Лучник-саботажник"
"heroes.name_fancy.ninja_topaz","Ниндзя идеальной точности"
"heroes.name_fancy.ninja_tora","Молчаливая охотница"
"heroes.name_fancy.ninja_umeko","Ниндзя ядовитого цветка"
"heroes.name_fancy.ninja_zircon","Ниндзя бесшумных волн"
"heroes.name_fancy.nomad_axe_adventurer","Отважный охотник за головами"
"heroes.name_fancy.nomad_axe_adventurer_costume_cute","Мультяшный джентльмен удачи"
"heroes.name_fancy.nomad_axe_adventurer_costume_glass","Стеклянный джентльмен удачи"
"heroes.name_fancy.nomad_axe_adventurer_costume_magma","Яростный джентльмен удачи"
"heroes.name_fancy.nomad_axe_adventurer_costume_tracker","Храбрый следопыт"
"heroes.name_fancy.nomad_female_archer","Талантливая охотница на зверей"
"heroes.name_fancy.nomad_female_assassin","Рейдерша из Песчаного Моря"
"heroes.name_fancy.nomad_female_assassin_costume_cute","Налетчица из Мультяшного моря"
"heroes.name_fancy.nomad_female_assassin_costume_dancer","Танцовщица из Песчаного моря"
"heroes.name_fancy.nomad_female_assassin_costume_glass","Налетчица из Стеклянного моря"
"heroes.name_fancy.nomad_female_assassin_costume_poison","Убийца из Песчаного Моря"
"heroes.name_fancy.nomad_female_berserker","Жрица Драгонии"
"heroes.name_fancy.nomad_female_berserker_costume_cute","Мультяшка Драконии"
"heroes.name_fancy.nomad_female_berserker_costume_glass","Витраж Драконии"
"heroes.name_fancy.nomad_female_berserker_costume_shaman","Ведунья из Драгонии"
"heroes.name_fancy.nomad_female_berserker_costume_sorceress","Колдунья из Драгонии"
"heroes.name_fancy.nomad_female_captain","Леди из Уиндемера"
"heroes.name_fancy.nomad_female_captain_costume_cute","Мультяшка из Уиндемера"
"heroes.name_fancy.nomad_female_captain_costume_glass","Витраж Уиндемера"
"heroes.name_fancy.nomad_female_captain_costume_pirate","Гроза Уиндемера"
"heroes.name_fancy.nomad_female_captain_costume_thief","Воровка из Уиндемера"
"heroes.name_fancy.nomad_female_lord","Капитан королевской стражи"
"heroes.name_fancy.nomad_female_lord_costume_cute","Капитан королевских мультяшек"
"heroes.name_fancy.nomad_female_lord_costume_flame","Владычица огня"
"heroes.name_fancy.nomad_female_lord_costume_glass","Капитан стеклянной стражи"
"heroes.name_fancy.nomad_female_lord_costume_wicked","Повелительница дикарей"
"heroes.name_fancy.nomad_female_shaman","Вознесенный шаман"
"heroes.name_fancy.nomad_female_shaman_costume_cute","Восходящая мультяшка"
"heroes.name_fancy.nomad_female_shaman_costume_glass","Перерожденный витраж"
"heroes.name_fancy.nomad_female_shaman_costume_native","Потомок мастеров"
"heroes.name_fancy.nomad_female_swordmaster","Претендент на трон"
"heroes.name_fancy.nomad_female_swordmaster_costume_cute","Искательница мультяшек"
"heroes.name_fancy.nomad_female_swordmaster_costume_glass","Искатель стекла"
"heroes.name_fancy.nomad_female_swordmaster_costume_native","Искатель богов"
"heroes.name_fancy.nomad_female_thief","Молодая путешественница"
"heroes.name_fancy.nomad_fighter","Грубый драчун"
"heroes.name_fancy.nomad_mage","Маг из Песчаного Моря"
"heroes.name_fancy.nomad_mage_costume_cute","Маг из Мультяшного моря"
"heroes.name_fancy.nomad_mage_costume_glass","Кочевник из стеклянного моря"
"heroes.name_fancy.nomad_mage_costume_goggles","Волшебник из Песчаного Моря"
"heroes.name_fancy.nomad_scout","Хитрый наемник"
"heroes.name_fancy.nomad_shaman","Слуга Старейших"
"heroes.name_fancy.nordic_ancestral_warrior","Темный сирота"
"heroes.name_fancy.nordic_ancestral_warrior_costume_corrupted","Наследник Зла"
"heroes.name_fancy.nordic_ancestral_warrior_costume_cute","Темный мультяшка"
"heroes.name_fancy.nordic_ancestral_warrior_costume_glass","Темный витраж"
"heroes.name_fancy.nordic_ancestral_warrior_costume_messenger","Темный посланник"
"heroes.name_fancy.nordic_chained_werewolf","Свирепый зверь"
"heroes.name_fancy.nordic_chained_werewolf_costume_cute","Свирепый мультяшка"
"heroes.name_fancy.nordic_chained_werewolf_costume_glass","Свирепое стекло"
"heroes.name_fancy.nordic_chained_werewolf_costume_raccoon","Чесночный вор"
"heroes.name_fancy.nordic_female_scout","Яростная дева"
"heroes.name_fancy.nordic_female_warrior","Изгнанная воительница"
"heroes.name_fancy.nordic_ice_enchantress","Защитница Глейсхольма"
"heroes.name_fancy.nordic_ice_enchantress_costume_aqua","Ледяная ведьма Глейсхольма"
"heroes.name_fancy.nordic_ice_enchantress_costume_cute","Защитница мультяшек"
"heroes.name_fancy.nordic_ice_enchantress_costume_glass","Витраж Глейсхольма"
"heroes.name_fancy.nordic_ice_enchantress_costume_ruler","Правительница Глейсхольма"
"heroes.name_fancy.nordic_mage","Маг из Глейсхольма"
"heroes.name_fancy.nordic_mage_costume_cute","Мультяшка Глейсхольма"
"heroes.name_fancy.nordic_mage_costume_glass","Витраж Глейсхольма"
"heroes.name_fancy.nordic_mage_costume_hermit","Отшельник Глейсхольма"
"heroes.name_fancy.nordic_male_lord","Молот правосудия"
"heroes.name_fancy.nordic_male_lord_costume_cute","Молот мультяшной мощи"
"heroes.name_fancy.nordic_male_lord_costume_glass","Стеклянный молот"
"heroes.name_fancy.nordic_male_lord_costume_injustice","Молот несправедливости"
"heroes.name_fancy.nordic_male_lord_costume_senior","Топор справедливости"
"heroes.name_fancy.nordic_swordman","Лихой дуэлянт"
"heroes.name_fancy.nordic_swordman_costume_climber","Горный воин"
"heroes.name_fancy.nordic_swordman_costume_cute","Талантливый мультяшка"
"heroes.name_fancy.nordic_swordman_costume_glass","Стеклянный дуэлист"
"heroes.name_fancy.nordic_warrior","Беззаботный авантюрист"
"heroes.name_fancy.orc_gladiator","Незыблемый"
"heroes.name_fancy.orc_gladiator_costume_chef","Чугунный владыка"
"heroes.name_fancy.orc_gladiator_costume_cute","Непоколебимый мультяшка"
"heroes.name_fancy.orc_gladiator_costume_glass","Отражатель"
"heroes.name_fancy.orc_gladiator_costume_sage","Дикий мудрец"
"heroes.name_fancy.orc_skirmisher","Воин-полукровка"
"heroes.name_fancy.orc_troopmaster","Прожорливый"
"heroes.name_fancy.orc_troopmaster_costume_cute","Голодный мультяшка"
"heroes.name_fancy.orc_troopmaster_costume_glass","Голодный витраж"
"heroes.name_fancy.orc_troopmaster_costume_gourmet","Эпикуреец"
"heroes.name_fancy.orc_troopmaster_costume_merchant","Скупой торговец"
"heroes.name_fancy.orc_warrior","Первый на поле брани"
"heroes.name_fancy.orc_warrior_costume_cute","Первый боец-мультяшка"
"heroes.name_fancy.orc_warrior_costume_glass","Последний, кто расколется"
"heroes.name_fancy.orc_warrior_costume_urukhai","Непобежденный"
"heroes.name_fancy.oriental_brawler","Благородный защитник"
"heroes.name_fancy.oriental_brawler_costume_cute","Мультяшный драчун"
"heroes.name_fancy.oriental_brawler_costume_egypt","Доблестный драчун"
"heroes.name_fancy.oriental_brawler_costume_glass","Стеклянный драчун"
"heroes.name_fancy.oriental_enchanted_monk","Пламя солнца"
"heroes.name_fancy.oriental_enchanted_monk_costume_cute","Мультяшка солнца"
"heroes.name_fancy.oriental_enchanted_monk_costume_glass","Витраж солнца"
"heroes.name_fancy.oriental_enchanted_monk_costume_stoneguard","Мощь Солнца"
"heroes.name_fancy.oriental_enchanted_monk_costume_tiger","Ярость солнца"
"heroes.name_fancy.oriental_falconer","Мастер-стратег"
"heroes.name_fancy.oriental_falconer_costume_cub","Мастер-тигр"
"heroes.name_fancy.oriental_falconer_costume_cute","Тактик-мультяшка"
"heroes.name_fancy.oriental_falconer_costume_dodo","Мастер Хранитель"
"heroes.name_fancy.oriental_falconer_costume_glass","Стеклянный стратег"
"heroes.name_fancy.oriental_female_guard","Рейнджер Шаугада"
"heroes.name_fancy.oriental_female_guard_costume_cute","Мультяшка из Шаугада"
"heroes.name_fancy.oriental_female_guard_costume_glass","Витраж Шаугада"
"heroes.name_fancy.oriental_female_guard_costume_soldier","Шагуадский страж"
"heroes.name_fancy.oriental_female_mage","Бескорыстная целительница"
"heroes.name_fancy.oriental_female_mage_costume_cute","Мультяшный целитель"
"heroes.name_fancy.oriental_female_mage_costume_glass","Стеклянная целительница"
"heroes.name_fancy.oriental_female_mage_costume_mender","Мудрая ведунья"
"heroes.name_fancy.oriental_female_mystic","Верховный ученый"
"heroes.name_fancy.oriental_female_mystic_costume_cute","Мультяшная ученица"
"heroes.name_fancy.oriental_female_mystic_costume_glass","Стеклянная ученая"
"heroes.name_fancy.oriental_female_mystic_costume_magician","Могущественная волшебница"
"heroes.name_fancy.oriental_female_mystic_costume_scribe","Верховная переписчица"
"heroes.name_fancy.oriental_female_ninja","Ниндзя-ученик"
"heroes.name_fancy.oriental_female_templar","Мудрый генерал"
"heroes.name_fancy.oriental_female_templar_costume_cute","Мультяшный генерал"
"heroes.name_fancy.oriental_female_templar_costume_fireworks","Генерал фейерверков"
"heroes.name_fancy.oriental_female_templar_costume_glass","Стеклянный генерал"
"heroes.name_fancy.oriental_female_templar_costume_kimono","Убийца в кимоно"
"heroes.name_fancy.oriental_monkey_captain","Повелитель обезьян"
"heroes.name_fancy.oriental_monkey_captain_costume_cute","Мультяшная обезьяна"
"heroes.name_fancy.oriental_monkey_captain_costume_glass","Стеклянная обезьяна"
"heroes.name_fancy.oriental_monkey_captain_costume_reveller","Гуляка обезьян"
"heroes.name_fancy.oriental_monkey_captain_costume_warrior","Ронин обезьян"
"heroes.name_fancy.oriental_monkey_warrior","Воин обезьян"
"heroes.name_fancy.oriental_panda_berserker","Ветка бамбука"
"heroes.name_fancy.oriental_panda_berserker_costume_cute","Ветвь мультяшек"
"heroes.name_fancy.oriental_panda_berserker_costume_farmer","Бамбуковый воин"
"heroes.name_fancy.oriental_panda_berserker_costume_glass","Стеклянная ветвь"
"heroes.name_fancy.oriental_panda_scout","Листа бамбука"
"heroes.name_fancy.oriental_panda_warrior","Лезвие бамбука"
"heroes.name_fancy.oriental_panda_warrior_costume_armor","Удар бамбука"
"heroes.name_fancy.oriental_panda_warrior_costume_cute","Бамбуковый мультяшка"
"heroes.name_fancy.oriental_panda_warrior_costume_dueller","Бамбуковый дуэлянт"
"heroes.name_fancy.oriental_panda_warrior_costume_glass","Стеклянный клинок"
"heroes.name_fancy.oriental_squire","Ученик кузнеца"
"heroes.name_fancy.oriental_warrior","Пехотинец"
"heroes.name_fancy.oriental_warrior_king","Непреклонный король"
"heroes.name_fancy.oriental_warrior_king_costume_cute","Непреклонный мультяшка"
"heroes.name_fancy.oriental_warrior_king_costume_glass","Непокорный витраж"
"heroes.name_fancy.oriental_warrior_king_costume_mage","Непреклонный маг"
"heroes.name_fancy.oriental_warrior_king_costume_roman","Спартанский царь"
"heroes.name_fancy.outlaw_chao_gai","Небесный король речных заводей, сдвигающий пагоды"
"heroes.name_fancy.outlaw_gu_dasao","Тигрица речных заводей"
"heroes.name_fancy.outlaw_hu_sanniang","Яркая звезда речных заводей"
"heroes.name_fancy.outlaw_li_kui","Железный бык речных заводей"
"heroes.name_fancy.outlaw_lin_chong","Голова пантеры речных заводей"
"heroes.name_fancy.outlaw_liu_tang","Рыжеволосый дьявол речных заводей"
"heroes.name_fancy.outlaw_lu_zhishen","Цветочный монах речных заводей"
"heroes.name_fancy.outlaw_ruan_xiaoqi","Звезда разрушения речных заводей"
"heroes.name_fancy.outlaw_shi_jin","Девять драконьих татуировок речных заводей"
"heroes.name_fancy.outlaw_song_jiang","Своевременный дождь речных заводей"
"heroes.name_fancy.outlaw_sun_erniang","Сильная звезда речных заводей"
"heroes.name_fancy.outlaw_wu_song","Герой речных заводей, сражающийся с тиграми"
"heroes.name_fancy.outlaw_wu_yong","Звезда знаний речных заводей"
"heroes.name_fancy.outlaw_xiang_chong","Летающая звезда речных заводей"
"heroes.name_fancy.outlaw_zheng_tianshou","Красивый джентльмен речных заводей"
"heroes.name_fancy.owl_cennius","Тайный коготь совиной башни"
"heroes.name_fancy.owl_eron","Менестрель совиной башни"
"heroes.name_fancy.owl_featherino","Беспокойный плут совиной башни"
"heroes.name_fancy.owl_fulvia","Королева совиной башни"
"heroes.name_fancy.owl_juliani","Верховный судья Совиной башни"
"heroes.name_fancy.owl_livia","Верховная жрица совиной башни"
"heroes.name_fancy.owl_lodius","Берсерк Совиной башни"
"heroes.name_fancy.owl_mariol","Курьер Совиной башни"
"heroes.name_fancy.owl_olbec","Алхимик совиной башни"
"heroes.name_fancy.owl_ommodus","Законник совиной башни"
"heroes.name_fancy.owl_paeia","Принцесса совиной башни"
"heroes.name_fancy.owl_pertinax","Рыцарь-страж Совиной башни"
"heroes.name_fancy.owl_relius","Знаток трав совиной башни"
"heroes.name_fancy.owl_timius","Королевский страж совиной башни"
"heroes.name_fancy.owl_verus","Командир скаутов совиной башни"
"heroes.name_fancy.pirate_anne","Номинальный лидер Кореллии"
"heroes.name_fancy.pirate_boatswain","Боцман Кореллии"
"heroes.name_fancy.pirate_cabin_boy","Юнга из Кореллии"
"heroes.name_fancy.pirate_cabin_boy_costume_paper","Газетчик на берегу"
"heroes.name_fancy.pirate_commodore_finley","Коммодор из Кореллии"
"heroes.name_fancy.pirate_commodore_finley_costume_bleak","Мрачный командор"
"heroes.name_fancy.pirate_dread_captain","Страшный капитан из Кореллии"
"heroes.name_fancy.pirate_dread_captain_costume_rotten","Подлый капитан Кореллии"
"heroes.name_fancy.pirate_finley","Мстительный рулевой из Кореллии"
"heroes.name_fancy.pirate_first_mate","Старпом из Кореллии"
"heroes.name_fancy.pirate_lady","Леди из Кореллии"
"heroes.name_fancy.pirate_lady_costume_queen","Королева повстанцев"
"heroes.name_fancy.pirate_marie_therese","Королева вуду из Кореллии"
"heroes.name_fancy.pirate_marie_therese_costume_priestess","Пожирательница душ"
"heroes.name_fancy.pirate_sally","Талисман Кореллии"
"heroes.name_fancy.pirate_swashbuckler","Флибустьер из Кореллии"
"heroes.name_fancy.pirate_vodnik","Рыбак из Кореллии"
"heroes.name_fancy.rabbit_blue","Хранитель Спрингвейла"
"heroes.name_fancy.rabbit_blue_costume_riftbreaker","Крушитель"
"heroes.name_fancy.rabbit_green","Защитник Спрингвейла"
"heroes.name_fancy.rabbit_green_costume_egg_hunter","Охотник за яйцами в Спрингвейле"
"heroes.name_fancy.rabbit_red","Кавалер Спрингвейла"
"heroes.name_fancy.royal_female_knight","Своенравная защитница"
"heroes.name_fancy.royal_female_knight_costume_cute","Мультяшная чемпионка"
"heroes.name_fancy.royal_female_knight_costume_glass","Стеклянный чемпион"
"heroes.name_fancy.royal_female_knight_costume_prospector","Своевольная изыскательница"
"heroes.name_fancy.royal_female_knight_costume_winter","Чемпион викингов"
"heroes.name_fancy.royal_knight","Рыцарь-защитник"
"heroes.name_fancy.royal_knight_commander","Рыцарь из Фростморроу"
"heroes.name_fancy.royal_knight_commander_costume_cute","Мультяшка завтрашнего мороза"
"heroes.name_fancy.royal_knight_commander_costume_glass","Витраж завтрашнего мороза"
"heroes.name_fancy.royal_knight_commander_costume_gryphon","Командир Фростморроу"
"heroes.name_fancy.royal_knight_commander_costume_king","Заиндевелый король"
"heroes.name_fancy.royal_knight_costume_blacksmith","Бравый кузнец"
"heroes.name_fancy.royal_knight_costume_cute","Мультяшный рыцарь"
"heroes.name_fancy.royal_knight_costume_glass","Стеклянный рыцарь"
"heroes.name_fancy.royal_pikeman","Серьезный охранник"
"heroes.name_fancy.s2_ariel","Принцесса Атлантиды"
"heroes.name_fancy.s2_ariel_costume_cute","Мультяшка-принцесса Атлантиды"
"heroes.name_fancy.s2_ariel_costume_enchanter","Жрица Атлантиды"
"heroes.name_fancy.s2_atlantean_robot","Смотритель Атлантиды"
"heroes.name_fancy.s2_atlantean_robot_costume_cute","Мультяшка-смотритель Атлантиды"
"heroes.name_fancy.s2_atlantean_robot_costume_sentinel","Страж океана"
"heroes.name_fancy.s2_chameleon_bruiser","Воин Хамелеон"
"heroes.name_fancy.s2_chameleon_chief","Хамелеон-генерал"
"heroes.name_fancy.s2_chameleon_chief_costume_heavyweight","Чемпион мира в тяжелом весе"
"heroes.name_fancy.s2_chameleon_mage","Хамелеон-шаман"
"heroes.name_fancy.s2_chameleon_mage_costume_alchemist","Хамелеон-алхимик"
"heroes.name_fancy.s2_chameleon_mage_costume_cute","Мультяшный хамелеон-шаман"
"heroes.name_fancy.s2_croc_man","Гроза болот"
"heroes.name_fancy.s2_cursed_samurai","Проклятый полководец"
"heroes.name_fancy.s2_cursed_samurai_costume_beetle","Жук-самурай"
"heroes.name_fancy.s2_cursed_samurai_costume_cute","Мультяшка-проклятый лорд"
"heroes.name_fancy.s2_demon_master","Хитрый даймё"
"heroes.name_fancy.s2_demon_master_costume_cute","Мультяшка-хитрец"
"heroes.name_fancy.s2_demon_master_costume_steppe","Хевтуул-обманщик"
"heroes.name_fancy.s2_fiji_mermaid","Мелководная охотница"
"heroes.name_fancy.s2_fiji_mermaid_costume_cute","Мультяшка-охотница"
"heroes.name_fancy.s2_fiji_mermaid_costume_hunter","Охотник на мелководье"
"heroes.name_fancy.s2_fox_girl","Дух с девятью хвостами"
"heroes.name_fancy.s2_fox_girl_costume_cute","Девятихвостая мультяшка"
"heroes.name_fancy.s2_fox_girl_costume_white_kitsune","Дух белой лисицы"
"heroes.name_fancy.s2_ghost_woman","Одинокий призрак"
"heroes.name_fancy.s2_ghost_woman_costume_yurei","Одинокая юрэй"
"heroes.name_fancy.s2_hammerhead_hulk","Дикий мясник"
"heroes.name_fancy.s2_hammerhead_hulk_costume_emerald","Дикий мастер клинков"
"heroes.name_fancy.s2_junglehunter","Принц джунглей"
"heroes.name_fancy.s2_junglehunter_costume_cute","Мультяшка из джунглей"
"heroes.name_fancy.s2_junglehunter_costume_party","Принц луау"
"heroes.name_fancy.s2_lantern_ghost","Фонарь-ёкай"
"heroes.name_fancy.s2_mercenary_woman","Великолепная наёмница"
"heroes.name_fancy.s2_mercenary_woman_costume_dancer","Великолепная танцовщица хула"
"heroes.name_fancy.s2_merman","Тритон Атлантиды"
"heroes.name_fancy.s2_merman_costume_cute","Мультяшка-тритон"
"heroes.name_fancy.s2_merman_costume_leutenant","Лейтенант Атлантиды"
"heroes.name_fancy.s2_merwoman","Русалка Атлантиды"
"heroes.name_fancy.s2_merwoman_costume_cute","Мультяшка-русалка"
