"herocard.passive_skill.description.addmana.all.allies","所有盟友获得少量法力。"
"herocard.passive_skill.title.league_accuracy_modifier_against_family","锦标赛劣势"
"herocard.passive_skill.title.league_heal_modifier_against_family","锦标赛劣势"
"herocard.passive_skill.title.league_heal_modifier_for_family","锦标赛优势"
"herocard.passive_skill.title.league_received_damage_modifier_against_non_featured_family","锦标赛优势"
"herocard.passive_skill.title.league_resist_debuffs_manareduction_dispels","锦标赛优势"
"herocard.passive_skill.title.manadebuffprotection","法力生成异常防护"
"herocard.passive_skill.title.managenerationmodifier.all.enemies","减少特殊技能获得的法力"
"herocard.passive_skill.title.manaonownfamiliardeath.minion","小兵死亡时获得法力"
"herocard.passive_skill.title.manaonstatuseffect.debuff","源自状态异常的法力"
"herocard.passive_skill.title.memorizefamiliars.activates_on_enemy_action","回溯敌方小兵和恶魔"
"herocard.passive_skill.title.memorizestatuseffects","回溯状态异常"
"herocard.passive_skill.title.mimiclootonlevelcompleted","拟态兽战利品"
"herocard.passive_skill.title.nevermissspecial","完美精准度"
"herocard.passive_skill.title.reallocatestatuseffectonspecialcast.damage.minorbuff.newest","窃取增益"
"herocard.passive_skill.title.reallocatestatuseffectonspecialcast.heal.minordebuff.newest","猎手的感官"
"herocard.passive_skill.title.receivedstrongelementsupportcharacterdamage","队伍大师"
"herocard.passive_skill.title.remove_growth_from_enemies","守卫集结"
"herocard.passive_skill.title.remove_wither_from_allies","守卫集结"
"herocard.passive_skill.title.repaircorechargeeffectonspecial.healthboost","修复核心"
"herocard.passive_skill.title.repeat_special_once","好运"
"herocard.passive_skill.title.resist.accuracymodifiers","抵抗致盲"
"herocard.passive_skill.title.resist.allattackmodifiersincludingwither.alldebuffs","抵抗攻击力削减"
"herocard.passive_skill.title.resist.alldebuffs","抵抗状态异常"
"herocard.passive_skill.title.resist.alldebuffs.alldebuffs","抵抗所有异常"
"herocard.passive_skill.title.resist.alldebuffs.manareduction.buffdispels","顶级抗性"
"herocard.passive_skill.title.resist.alldefensemodifiers.alldebuffs","抵抗防御异常"
"herocard.passive_skill.title.resist.alldefensemodifiersincludingwither.alldebuffs","抵抗防御削减"
"herocard.passive_skill.title.resist.allmanaeffects.alldebuffs","抵抗法力异常"
"herocard.passive_skill.title.resist.allstatuseffectdamage.none","抵抗状态效果造成的伤害"
"herocard.passive_skill.title.resist.attackdelay","抵抗攻击延缓"
"herocard.passive_skill.title.resist.attackmodifiers","抵抗攻击异常"
"herocard.passive_skill.title.resist.attackmodifiers.allstatuseffectsandstacks","抵抗攻击状态效果"
"herocard.passive_skill.title.resist.bleed","抵抗流血伤害"
"herocard.passive_skill.title.resist.buffdispels","抵抗驱散"
"herocard.passive_skill.title.resist.buffimmunity","抵抗增益免疫"
"herocard.passive_skill.title.resist.burn","抵抗烧伤"
"herocard.passive_skill.title.resist.burn.with_effect.healthboost.addmana","强化抵抗燃烧"
"herocard.passive_skill.title.resist.defensemodifiers.alldebuffs","抵抗防御异常"
"herocard.passive_skill.title.resist.familiarremoval.familiarsilence.familiarreceivingblocking.minion","无法阻止的小兵"
"herocard.passive_skill.title.resist.frost","抵抗冰霜"
"herocard.passive_skill.title.resist.frost.with_effect.healthboost.addmana","强化抵抗冰冻"
"herocard.passive_skill.title.resist.healeffects","抵抗治疗异常"
"herocard.passive_skill.title.resist.healthsteal","抵抗生命偷取异常"
"herocard.passive_skill.title.resist.insanity.permanentstatuseffects","抵抗狂乱"
"herocard.passive_skill.title.resist.manadebuffs","抵抗法力异常"
"herocard.passive_skill.title.resist.manaeffectsandspecialblocking","抵抗法力异常和特殊格挡"
"herocard.passive_skill.title.resist.managenerationmodifiers.alldebuffs","抵抗法力生成异常"
"herocard.passive_skill.title.resist.manareduction","抵抗法力减损"
"herocard.passive_skill.title.resist.manareduction.none.with_effect.healthboost.addmana","强化抵抗法力减损"
"herocard.passive_skill.title.resist.maxhealthreduction","抵抗最大生命值减损"
"herocard.passive_skill.title.resist.poison","抵抗剧毒"
"herocard.passive_skill.title.resist.poison.burn.bleed","抵抗剧毒、燃烧与流血"
"herocard.passive_skill.title.resist.possession.allstatuseffects","抵抗疯魔"
"herocard.passive_skill.title.resist.sand","抵抗沙系伤害"
"herocard.passive_skill.title.resist.specialblocking","抵抗特殊技能格挡"
"herocard.passive_skill.title.resist.stopmanageneration","抵抗法力生成停止"
"herocard.passive_skill.title.resist.water","抵抗水系伤害"
"herocard.passive_skill.title.resist_all_defense_effects","特质：
韧性体格"
"herocard.passive_skill.title.resistdebuffsfromfamiliars.minion","抵抗小兵导致的状态异常"
"herocard.passive_skill.title.resistfamiliarremoval.minion.bigminion","抵抗小兵移除"
"herocard.passive_skill.title.resistnegativefamiliareffects.minion","抵抗负面小兵效果"
"herocard.passive_skill.title.resistnegativefamiliareffects.minion.bigminion","进阶抵抗负面小兵效果"
"herocard.passive_skill.title.resistnewfamiliars.parasite","抵抗恶魔"
"herocard.passive_skill.title.resistsupportcharacter.troop.alldebuffs","抵抗状态异常"
"herocard.passive_skill.title.revivalchancemodifier.all.enemies","降低复活几率"
"herocard.passive_skill.title.revive_chance_nine_lives","九条命"
"herocard.passive_skill.title.revivewithchance","复活"
"herocard.passive_skill.title.setstatuseffectdurationonaddition.all.allies.activates_on_ally_action.alldebuffs.dance","快节奏：民谣"
"herocard.passive_skill.title.setstatuseffectdurationonaddition.single.enemies.activates_on_enemy_action.allbuffs.dance","快节奏：舞蹈"
"herocard.passive_skill.title.sharereceiveddamage","平摊所受伤害"
"herocard.passive_skill.title.short.generic","被动"
"herocard.passive_skill.title.short.league","优势"
"herocard.passive_skill.title.short.league.non_featured","劣势"
"herocard.passive_skill.title.short.trait","特质"
"herocard.passive_skill.title.sidedependentpassiveskill.side_dependent_elemental_mask","元素人面具"
"herocard.passive_skill.title.sidedependentpassiveskill.strong_troop_damage_modifier","队伍大师"
"herocard.passive_skill.title.sidedependentpassiveskill.strong_troop_damage_modifier_costume","队伍大师"
"herocard.passive_skill.title.specialdamagereduction","降低特殊技能伤害"
"herocard.passive_skill.title.specialdamagereductionsupportcharacter.troop","降低特殊技能伤害"
"herocard.passive_skill.title.startbattlewitheffect.addmana","战斗开始时获得法力"
"herocard.passive_skill.title.statuseffectattackmodifier.addition","增强攻击力状态效果"
"herocard.passive_skill.title.statuseffectattackmodifier.all.allies.reduction","减轻攻击力异常"
"herocard.passive_skill.title.statuseffectattackmodifier.reduction","减轻攻击力异常"
"herocard.passive_skill.title.statuseffectattackmodifiersupportcharacter.troop.addition","增强攻击力状态效果"
"herocard.passive_skill.title.statuseffectattackmodifiersupportcharacter.troop.reduction","减轻攻击力异常"
"herocard.passive_skill.title.statuseffectdefensemodifier.addition","提升防御状态效果"
"herocard.passive_skill.title.statuseffectdefensemodifier.all.allies.reduction","减轻防御异常"
"herocard.passive_skill.title.statuseffectdefensemodifier.reduction","减轻防御异常"
"herocard.passive_skill.title.statuseffectdefensemodifiersupportcharacter.troop.addition","提升防御状态效果"
"herocard.passive_skill.title.statuseffectdefensemodifiersupportcharacter.troop.reduction","减轻防御异常"
"herocard.passive_skill.title.statuseffectdurationmodifier","延长增益持续时间"
"herocard.passive_skill.title.statuseffectdurationmodifier.decrease.minordebuff.majordebuff","减少异常持续时间"
"herocard.passive_skill.title.statuseffectdurationmodifier.decrease.minordebuff.majordebuff.defensemodifier.no_limit","减少防御异常持续时间"
"herocard.passive_skill.title.statuseffectdurationmodifier.increase.minorbuff.majorbuff","延长增益持续时间"
"herocard.passive_skill.title.statuseffectoncleanse.single.enemies","复制净化状态异常"
"herocard.passive_skill.title.statuseffectonspecialcast.attackmodifierfrompassiveskill","猎人之毅"
"herocard.passive_skill.title.statuseffectonspecialcast.softskin","石像鬼的软化皮肤"
"herocard.passive_skill.title.statuseffectonspecialcast.stone","石像鬼之肤"
"herocard.passive_skill.title.statuseffectonstatuseffectaddition.debuff","受到异常时获得法力生成增益"
"herocard.passive_skill.title.statuseffectselection.usable_once.select_element_status_effect","元素人面具"
"herocard.passive_skill.title.summononownerdeath.slime_big_minion_blue.neartotargetexceptcaster.allies","被击败时召唤史莱姆小兵"
"herocard.passive_skill.title.summononownerdeath.slime_big_minion_green.neartotargetexceptcaster.allies","被击败时召唤史莱姆小兵"
"herocard.passive_skill.title.summononownerdeath.slime_big_minion_purple.neartotargetexceptcaster.allies","被击败时召唤史莱姆小兵"
"herocard.passive_skill.title.summononownerdeath.slime_big_minion_red.neartotargetexceptcaster.allies","被击败时召唤史莱姆小兵"
"herocard.passive_skill.title.summononownerdeath.slime_big_minion_yellow.neartotargetexceptcaster.allies","被击败时召唤史莱姆小兵"
"herocard.passive_skill.title.summononreceiveddamagewiththreshold.slime_big_minion_blue","史莱姆小兵分裂"
"herocard.passive_skill.title.summononreceiveddamagewiththreshold.slime_big_minion_green","史莱姆小兵分裂"
"herocard.passive_skill.title.summononreceiveddamagewiththreshold.slime_big_minion_purple","史莱姆小兵分裂"
"herocard.passive_skill.title.summononreceiveddamagewiththreshold.slime_big_minion_red","史莱姆小兵分裂"
"herocard.passive_skill.title.summononreceiveddamagewiththreshold.slime_big_minion_yellow","史莱姆小兵分裂"
"herocard.passive_skill.title.summononstatuseffectaddition.burn","燃烧时召唤小兵"
"herocard.passive_skill.title.summononstatuseffectaddition.damageovertime","受到持续伤害时召唤"
"herocard.passive_skill.title.summononstatuseffectaddition.defensemodifier","获得防御异常状态时召唤小兵"
"herocard.passive_skill.title.summononsummon.activates_on_enemy_action.allies.owl.minion","麻雀召唤师"
"herocard.passive_skill.title.summononsummon.activates_on_enemy_action.enemies.cursed_sapling_parasite.minion","厄运树苗召唤师"
"herocard.passive_skill.title.summononsummon.activates_on_enemy_action.enemies.seedling_parasite.minion","幼苗召唤师"
"herocard.passive_skill.title.taunt","无视嘲讽"
"herocard.passive_skill.title.titan_dread_damage_minions","恐惧"
"herocard.passive_skill.title.titan_dread_damage_minions_15","恐惧"
"herocard.passive_skill.title.titan_dread_damage_minions_16","恐惧"
"herocard.passive_skill.title.titan_dread_damage_minions_17","恐惧"
"herocard.passive_skill.title.titan_resist_15","泰坦"
"herocard.passive_skill.title.titan_resist_16","泰坦"
"herocard.passive_skill.title.titan_resist_17","泰坦"
"herocard.passive_skill.title.toon_resist_debuffs_manareduction_dispels","卡通"
"herocard.passive_skill.title.wither.all.enemies","衰退"
