"heroes.name_fancy.astral_cosmicspeaker","星体精灵天文学家"
"heroes.name_fancy.nomad_female_captain_costume_pirate","温德米尔噩梦"
"heroes.name_fancy.nomad_female_captain_costume_thief","温德米尔大盗"
"heroes.name_fancy.nomad_female_lord","皇家卫队队长"
"heroes.name_fancy.nomad_female_lord_costume_cute","皇家队长卡通"
"heroes.name_fancy.nomad_female_lord_costume_flame","烈火上尉"
"heroes.name_fancy.nomad_female_lord_costume_glass","玻璃卫队队长"
"heroes.name_fancy.nomad_female_lord_costume_wicked","邪恶上尉"
"heroes.name_fancy.nomad_female_shaman","星位萨满"
"heroes.name_fancy.nomad_female_shaman_costume_cute","星位卡通"
"heroes.name_fancy.nomad_female_shaman_costume_glass","进阶彩绘"
"heroes.name_fancy.nomad_female_shaman_costume_native","星位修缮者"
"heroes.name_fancy.nomad_female_swordmaster","宫殿探索者"
"heroes.name_fancy.nomad_female_swordmaster_costume_cute","卡通探索者"
"heroes.name_fancy.nomad_female_swordmaster_costume_glass","玻璃探索者"
"heroes.name_fancy.nomad_female_swordmaster_costume_native","众神探索者"
"heroes.name_fancy.nomad_female_thief","年轻旅行者"
"heroes.name_fancy.nomad_fighter","顽强斗士"
"heroes.name_fancy.nomad_mage","沙海法师"
"heroes.name_fancy.nomad_mage_costume_cute","卡通之海法师"
"heroes.name_fancy.nomad_mage_costume_glass","玻璃之海游牧民"
"heroes.name_fancy.nomad_mage_costume_goggles","来自沙海的巫师"
"heroes.name_fancy.nomad_scout","狡猾佣兵"
"heroes.name_fancy.nomad_shaman","古圣仆从"
"heroes.name_fancy.nordic_ancestral_warrior","暗黑孤儿"
"heroes.name_fancy.nordic_ancestral_warrior_costume_corrupted","邪恶后裔"
"heroes.name_fancy.nordic_ancestral_warrior_costume_cute","暗黑卡通"
"heroes.name_fancy.nordic_ancestral_warrior_costume_glass","暗黑彩绘"
"heroes.name_fancy.nordic_ancestral_warrior_costume_messenger","暗黑使者"
"heroes.name_fancy.nordic_chained_werewolf","狰狞怪兽"
"heroes.name_fancy.nordic_chained_werewolf_costume_cute","卡通狰狞怪兽"
"heroes.name_fancy.nordic_chained_werewolf_costume_glass","碎影狂怒"
"heroes.name_fancy.nordic_chained_werewolf_costume_raccoon","盗蒜者"
"heroes.name_fancy.nordic_female_scout","残暴少女"
"heroes.name_fancy.nordic_female_warrior","流亡战士"
"heroes.name_fancy.nordic_ice_enchantress","格雷斯尔摩保护者"
"heroes.name_fancy.nordic_ice_enchantress_costume_aqua","格雷斯尔摩冰雪女巫"
"heroes.name_fancy.nordic_ice_enchantress_costume_cute","卡通守护者"
"heroes.name_fancy.nordic_ice_enchantress_costume_glass","格雷斯尔摩彩绘"
"heroes.name_fancy.nordic_ice_enchantress_costume_ruler","格雷斯尔摩统治者"
"heroes.name_fancy.nordic_mage","格雷斯尔摩法师"
"heroes.name_fancy.nordic_mage_costume_cute","格雷斯尔摩卡通"
"heroes.name_fancy.nordic_mage_costume_hermit","蜜岛隐士"
"heroes.name_fancy.nordic_male_lord","正义之锤"
"heroes.name_fancy.nordic_male_lord_costume_cute","卡通力量之锤"
"heroes.name_fancy.nordic_male_lord_costume_glass","玻璃之锤"
"heroes.name_fancy.nordic_male_lord_costume_injustice","不公之锤"
"heroes.name_fancy.nordic_male_lord_costume_senior","正义之斧"
"heroes.name_fancy.nordic_swordman","风度决斗者"
"heroes.name_fancy.nordic_swordman_costume_climber","俊朗登山者"
"heroes.name_fancy.nordic_swordman_costume_cute","天才卡通"
"heroes.name_fancy.nordic_swordman_costume_glass","玻璃决斗者"
"heroes.name_fancy.nordic_warrior","无忧冒险家"
"heroes.name_fancy.ommodus","猫头鹰高塔的执法使"
"heroes.name_fancy.orc_gladiator","不屈勇者"
"heroes.name_fancy.orc_gladiator_costume_chef","铸铁大厨"
"heroes.name_fancy.orc_gladiator_costume_cute","不屈勇者卡通"
"heroes.name_fancy.orc_gladiator_costume_glass","反射战士"
"heroes.name_fancy.orc_gladiator_costume_sage","野生智者"
"heroes.name_fancy.orc_skirmisher","混血战士"
"heroes.name_fancy.orc_troopmaster","饥饿战士"
"heroes.name_fancy.orc_troopmaster_costume_cute","饥饿战士卡通"
"heroes.name_fancy.orc_troopmaster_costume_glass","饥饿彩绘"
"heroes.name_fancy.orc_troopmaster_costume_gourmet","美食家"
"heroes.name_fancy.orc_troopmaster_costume_merchant","贪婪者"
"heroes.name_fancy.orc_warrior","领头冲锋"
"heroes.name_fancy.orc_warrior_costume_cute","领头卡通"
"heroes.name_fancy.orc_warrior_costume_urukhai","殿后者"
"heroes.name_fancy.oriental_brawler","贵族守卫"
"heroes.name_fancy.oriental_brawler_costume_cute","卡通斗士"
"heroes.name_fancy.oriental_brawler_costume_egypt","贵族斗士"
"heroes.name_fancy.oriental_brawler_costume_glass","玻璃斗士"
"heroes.name_fancy.oriental_enchanted_monk","太阳之焰"
"heroes.name_fancy.oriental_enchanted_monk_costume_cute","炽阳卡通"
"heroes.name_fancy.oriental_enchanted_monk_costume_glass","太阳彩绘"
"heroes.name_fancy.oriental_enchanted_monk_costume_stoneguard","太阳之力"
"heroes.name_fancy.oriental_enchanted_monk_costume_tiger","太阳之怒"
"heroes.name_fancy.oriental_falconer","战术大师"
"heroes.name_fancy.oriental_falconer_costume_cub","训虎大师"
"heroes.name_fancy.oriental_falconer_costume_cute","卡通战术家"
"heroes.name_fancy.oriental_falconer_costume_dodo","守卫者大师"
"heroes.name_fancy.oriental_falconer_costume_glass","玻璃战术家"
"heroes.name_fancy.oriental_female_guard","沙戈游侠"
"heroes.name_fancy.oriental_female_guard_costume_cute","沙戈卡通"
"heroes.name_fancy.oriental_female_guard_costume_soldier","沙戈守护者"
"heroes.name_fancy.oriental_female_mage","无私医者"
"heroes.name_fancy.oriental_female_mage_costume_cute","卡通治疗师"
"heroes.name_fancy.oriental_female_mage_costume_glass","玻璃医者"
"heroes.name_fancy.oriental_female_mage_costume_mender","宽宏的修理者"
"heroes.name_fancy.oriental_female_mystic","至高学者"
"heroes.name_fancy.oriental_female_mystic_costume_cute","卡通学者"
"heroes.name_fancy.oriental_female_mystic_costume_glass","玻璃学者"
"heroes.name_fancy.oriental_female_mystic_costume_magician","至尊法师"
"heroes.name_fancy.oriental_female_mystic_costume_scribe","至尊抄书吏"
"heroes.name_fancy.oriental_female_ninja","忍者学徒"
"heroes.name_fancy.oriental_female_templar","智慧将军"
"heroes.name_fancy.oriental_female_templar_costume_cute","卡通将军"
"heroes.name_fancy.oriental_female_templar_costume_fireworks","烟火将军"
"heroes.name_fancy.oriental_female_templar_costume_glass","玻璃将军"
"heroes.name_fancy.oriental_female_templar_costume_kimono","礼仪刺客"
"heroes.name_fancy.oriental_monkey_captain","猴子领主"
"heroes.name_fancy.oriental_monkey_captain_costume_cute","猴子卡通"
"heroes.name_fancy.oriental_monkey_captain_costume_reveller","醉猴"
"heroes.name_fancy.oriental_monkey_captain_costume_warrior","猴子浪人"
"heroes.name_fancy.oriental_monkey_warrior","猴子战士"
"heroes.name_fancy.oriental_panda_berserker","翠竹树枝"
"heroes.name_fancy.oriental_panda_berserker_costume_cute","卡通树枝"
"heroes.name_fancy.oriental_panda_berserker_costume_farmer","翠竹之根"
"heroes.name_fancy.oriental_panda_berserker_costume_glass","玻璃树枝"
"heroes.name_fancy.oriental_panda_scout","翠竹之叶"
"heroes.name_fancy.oriental_panda_warrior","翠竹之刃"
"heroes.name_fancy.oriental_panda_warrior_costume_armor","翠竹之皮"
"heroes.name_fancy.oriental_panda_warrior_costume_cute","翠竹卡通"
"heroes.name_fancy.oriental_panda_warrior_costume_dueller","竹林斗士"
"heroes.name_fancy.oriental_panda_warrior_costume_glass","玻璃之刃"
"heroes.name_fancy.oriental_squire","铁匠学徒"
"heroes.name_fancy.oriental_warrior","步兵"
"heroes.name_fancy.oriental_warrior_king","不屈王者"
"heroes.name_fancy.oriental_warrior_king_costume_cute","不屈卡通"
"heroes.name_fancy.oriental_warrior_king_costume_glass","不屈彩绘"
"heroes.name_fancy.oriental_warrior_king_costume_mage","不屈法师"
"heroes.name_fancy.oriental_warrior_king_costume_roman","斯巴达之王"
"heroes.name_fancy.outlaw_chao_gai","水浒传：托塔天王"
"heroes.name_fancy.outlaw_gu_dasao","水浒传：母大虫"
"heroes.name_fancy.outlaw_hu_sanniang","水浒传：地慧星"
"heroes.name_fancy.outlaw_li_kui","水浒传：黑旋风"
"heroes.name_fancy.outlaw_lin_chong","水浒传：豹子头"
"heroes.name_fancy.outlaw_liu_tang","水浒传：赤发鬼"
"heroes.name_fancy.outlaw_lu_zhishen","水浒传：花和尚"
"heroes.name_fancy.outlaw_ruan_xiaoqi","水浒传：天败星"
"heroes.name_fancy.outlaw_shi_jin","水浒传：九纹龙"
"heroes.name_fancy.outlaw_song_jiang","水浒传：及时雨"
"heroes.name_fancy.outlaw_sun_erniang","水浒传：地壮星"
"heroes.name_fancy.outlaw_wu_song","水浒传：打虎英雄"
"heroes.name_fancy.outlaw_wu_yong","水浒传：智多星"
"heroes.name_fancy.outlaw_xiang_chong","水浒传：地飞星"
"heroes.name_fancy.outlaw_zheng_tianshou","水浒传：白面郎君"
"heroes.name_fancy.owl_cennius","猫头鹰高塔的隐秘利爪"
"heroes.name_fancy.owl_eron","猫头鹰高塔的吟游诗人"
"heroes.name_fancy.owl_featherino","猫头鹰高塔的焦虑流氓"
"heroes.name_fancy.owl_fulvia","猫头鹰高塔的女王"
"heroes.name_fancy.owl_juliani","猫头鹰高塔的司法官"
"heroes.name_fancy.owl_livia","猫头鹰高塔的首席女祭司"
"heroes.name_fancy.owl_lodius","猫头鹰高塔的狂战士"
"heroes.name_fancy.owl_mariol","猫头鹰高塔的朝臣"
"heroes.name_fancy.owl_olbec","猫头鹰高塔的炼金术师"
"heroes.name_fancy.owl_ommodus","猫头鹰高塔的执法使"
"heroes.name_fancy.owl_paeia","猫头鹰高塔的公主"
"heroes.name_fancy.owl_pertinax","猫头鹰高塔的骑士守卫"
"heroes.name_fancy.owl_relius","猫头鹰高塔的草药师"
"heroes.name_fancy.owl_timius","猫头鹰高塔的皇家先锋"
"heroes.name_fancy.owl_verus","猫头鹰高塔的侦察指挥官"
"heroes.name_fancy.pirate_anne","科雷利亚的象征"
"heroes.name_fancy.pirate_boatswain","科雷利亚水手长"
"heroes.name_fancy.pirate_cabin_boy","科雷利亚船员"
"heroes.name_fancy.pirate_cabin_boy_costume_paper","海边的送报童"
"heroes.name_fancy.pirate_commodore_finley","科雷利亚海军"
"heroes.name_fancy.pirate_commodore_finley_costume_bleak","凄凉海军"
"heroes.name_fancy.pirate_dread_captain","科雷利亚恐惧船长"
"heroes.name_fancy.pirate_dread_captain_costume_rotten","科雷利亚腐尸船长"
"heroes.name_fancy.pirate_finley","科雷利亚复仇舵手"
"heroes.name_fancy.pirate_first_mate","科雷利亚大副"
"heroes.name_fancy.pirate_lady","科雷利亚小姐"
"heroes.name_fancy.pirate_lady_costume_queen","叛军女王"
"heroes.name_fancy.pirate_marie_therese","科雷利亚巫毒皇后"
"heroes.name_fancy.pirate_marie_therese_costume_priestess","窃魂女祭司"
"heroes.name_fancy.pirate_sally","科雷利亚吉祥物"
"heroes.name_fancy.pirate_swashbuckler","科雷利亚海盗船长"
"heroes.name_fancy.pirate_vodnik","科雷利亚渔夫"
"heroes.name_fancy.rabbit_blue","春谷守护者"
"heroes.name_fancy.rabbit_blue_costume_riftbreaker","裂缝破坏者"
"heroes.name_fancy.rabbit_green","春谷战士"
"heroes.name_fancy.rabbit_green_costume_egg_hunter","春谷捕蛋者"
"heroes.name_fancy.rabbit_red","春谷侍从"
"heroes.name_fancy.royal_female_knight","率性战士"
"heroes.name_fancy.royal_female_knight_costume_cute","卡通战士"
"heroes.name_fancy.royal_female_knight_costume_prospector","率性勘探员"
"heroes.name_fancy.royal_female_knight_costume_winter","维京战士"
"heroes.name_fancy.royal_knight","守护骑士"
"heroes.name_fancy.royal_knight_commander","霜晨使徒"
"heroes.name_fancy.royal_knight_commander_costume_cute","霜晨卡通"
"heroes.name_fancy.royal_knight_commander_costume_gryphon","霜晨司令"
"heroes.name_fancy.royal_knight_commander_costume_king","霜晨之王"
"heroes.name_fancy.royal_knight_costume_blacksmith","勇敢铁匠"
"heroes.name_fancy.royal_knight_costume_cute","卡通骑士"
"heroes.name_fancy.royal_pikeman","严肃守卫"
"heroes.name_fancy.s2_ariel","亚特兰蒂斯公主"
"heroes.name_fancy.s2_ariel_costume_enchanter","亚特兰蒂斯巫师"
"heroes.name_fancy.s2_atlantean_robot","亚特兰蒂斯守卫"
"heroes.name_fancy.s2_atlantean_robot_costume_sentinel","亚特兰蒂斯哨兵"
"heroes.name_fancy.s2_chameleon_bruiser","变色龙战士"
"heroes.name_fancy.s2_chameleon_chief","变色龙将军"
"heroes.name_fancy.s2_chameleon_chief_costume_heavyweight","世界重量级冠军"
"heroes.name_fancy.s2_chameleon_mage","变色龙萨满"
"heroes.name_fancy.s2_chameleon_mage_costume_alchemist","变色龙炼金术师"
"heroes.name_fancy.s2_croc_man","沼泽暴徒"
"heroes.name_fancy.s2_cursed_samurai","诅咒军阀"
"heroes.name_fancy.s2_cursed_samurai_costume_beetle","甲虫武士"
"heroes.name_fancy.s2_demon_master","谎言大名主"
"heroes.name_fancy.s2_demon_master_costume_steppe","狡诈游牧民"
"heroes.name_fancy.s2_fiji_mermaid","浅滩猎手"
"heroes.name_fancy.s2_fiji_mermaid_costume_hunter","浅滩追逐者"
"heroes.name_fancy.s2_fox_girl","九尾英灵"
"heroes.name_fancy.s2_fox_girl_costume_white_kitsune","白狐英灵"
"heroes.name_fancy.s2_ghost_woman","孤独幽灵"
"heroes.name_fancy.s2_ghost_woman_costume_yurei","寂寞幽灵"
"heroes.name_fancy.s2_hammerhead_hulk","野蛮屠夫"
"heroes.name_fancy.s2_hammerhead_hulk_costume_emerald","野蛮剑圣"
"heroes.name_fancy.s2_junglehunter","丛林王子"
"heroes.name_fancy.s2_junglehunter_costume_party","卢奥王子"
"heroes.name_fancy.s2_lantern_ghost","妖怪提灯"
"heroes.name_fancy.s2_mercenary_woman","伟大佣兵"
"heroes.name_fancy.s2_mercenary_woman_costume_dancer","靓丽草裙舞者"
"heroes.name_fancy.s2_merman","亚特兰蒂斯人鱼"
"heroes.name_fancy.s2_merman_costume_leutenant","亚特兰蒂斯中尉"
"heroes.name_fancy.s2_merwoman","亚特兰蒂斯美人鱼"
"heroes.name_fancy.s2_merwoman_costume_emissary","亚特兰蒂斯使者"
"heroes.name_fancy.s2_noble_lady","绝命美人"
"heroes.name_fancy.s2_noble_lady_costume_warrior","炽焰美人"
"heroes.name_fancy.s2_oceanus","海之泰坦"
"heroes.name_fancy.s2_poseidon","亚特兰蒂斯统治者"
"heroes.name_fancy.s2_poseidon_costume_slayer","亚特兰蒂斯杀手"
"heroes.name_fancy.s2_proteus","亚特兰蒂斯法师"
"heroes.name_fancy.s2_proteus_costume_farseer","亚特兰蒂斯先知"
"heroes.name_fancy.s2_rugged_fisherman","英勇渔夫"
"heroes.name_fancy.s2_rugged_fisherman_costume_sake_master","无畏酒仙"
"heroes.name_fancy.s2_skyllaros","亚特兰蒂斯守护者"
"heroes.name_fancy.s2_skyllaros_costume_reef","暗礁守护者"
"heroes.name_fancy.s2_straw_demon","稻草恶魔"
"heroes.name_fancy.s2_tanuki_raccoon","无畏骗子"
"heroes.name_fancy.s2_tanuki_raccoon_costume_merchant","无畏商人"
"heroes.name_fancy.s2_tethys","诸河女神"
"heroes.name_fancy.s2_triton","亚特兰蒂斯上尉"
"heroes.name_fancy.s2_triton_costume_champion","亚特兰蒂斯卫士"
"heroes.name_fancy.s2_ursena","深渊女王"
"heroes.name_fancy.s2_ursena_costume_reef","夺命暗礁女王"
"heroes.name_fancy.s3_agnes","英勇村民"
"heroes.name_fancy.s3_alfrike","瓦特海姆女王"
"heroes.name_fancy.s3_alfrike_costume_hatter","瓦特海姆帽匠"
"heroes.name_fancy.s3_almur","瓦特海姆的暗影之刃"
"heroes.name_fancy.s3_almur_costume_lord","瓦特海姆之王"
"heroes.name_fancy.s3_anwindr","受诅维京悍夫"
"heroes.name_fancy.s3_baldur","光明之神"
"heroes.name_fancy.s3_baldur_costume_fiery","火神"
"heroes.name_fancy.s3_bera","狄希尔公主"
"heroes.name_fancy.s3_bera_costume_conjurer","狄希尔魔术师"
"heroes.name_fancy.s3_bjorn","勇敢村民"
"heroes.name_fancy.s3_bjorn_costume_viking","英勇战士"
"heroes.name_fancy.s3_brynhild","瓦尔基里护盾圣女"
"heroes.name_fancy.s3_by_ulf","受诅维京斗士"
"heroes.name_fancy.s3_ei_dunn","受诅维京战士"
"heroes.name_fancy.s3_ei_dunn_costume_shield","残忍维京战士"
"heroes.name_fancy.s3_fenrir","尼福尔海姆之主"
"heroes.name_fancy.s3_fenrir_costume_guardian","尼福尔海姆守护者"
"heroes.name_fancy.s3_freya","战神"
"heroes.name_fancy.s3_freya_costume_witch","堕落女巫"
"heroes.name_fancy.s3_frigg","洞察女神"
"heroes.name_fancy.s3_frigg_costume_clairvoyance","未卜先知女神"
"heroes.name_fancy.s3_fura","瓦特海姆囚徒"
"heroes.name_fancy.s3_fura_costume_herbalist","瓦特海姆草药师"
"heroes.name_fancy.s3_gefjon","丰获女神"
"heroes.name_fancy.s3_gefjon_costume_wilderness","荒野女神"
"heroes.name_fancy.s3_grevle","狡猾獾"
"heroes.name_fancy.s3_gullinbursti","黄金野猪"
"heroes.name_fancy.s3_gullinbursti_costume_toxic","奔放野猪"
"heroes.name_fancy.s3_heimdall","机警守卫"
"heroes.name_fancy.s3_heimdall_costume_dreaded","煞影守卫"
"heroes.name_fancy.s3_jarvur","金刚狼拳击手"
"heroes.name_fancy.s3_jott","原始冰雪巨人"
"heroes.name_fancy.s3_kvasir","艾尔夫海姆养蜂人"
"heroes.name_fancy.s3_kvasir_costume_captain","艾尔夫海姆狂蜂队长"
"heroes.name_fancy.s3_loki_female","戏法师女神"
"heroes.name_fancy.s3_loki_female_costume_mother","戏法师之母"
"heroes.name_fancy.s3_loki_fish","戏法师鱼"
"heroes.name_fancy.s3_loki_fish_costume_dapper","正襟之鱼"
"heroes.name_fancy.s3_loki_male","戏法师之神"
"heroes.name_fancy.s3_loki_male_costume_shapeshifter","变形之神"
"heroes.name_fancy.s3_mireweave","敏捷达古尔"
"heroes.name_fancy.s3_mist","瓦尔基里司令"
"heroes.name_fancy.s3_nordri","约顿海姆冰雪矮人"
"heroes.name_fancy.s3_nordri_costume_explorer","约顿海姆探险家矮人"
"heroes.name_fancy.s3_norns","命运编织者"
"heroes.name_fancy.s3_norns_costume_puppeteers","命运傀儡师"
"heroes.name_fancy.s3_odin","全知众神之父"
"heroes.name_fancy.s3_odin_costume_champion","英勇众神之父"
"heroes.name_fancy.s3_ratatoskr","世界树信使"
"heroes.name_fancy.s3_ratatoskr_costume_architect","世界树设计师"
"heroes.name_fancy.s3_shadereave","野兽达古尔"
"heroes.name_fancy.s3_sif","金发战神"
"heroes.name_fancy.s3_sif_costume_golden","黄金女神"
"heroes.name_fancy.s3_skadi","约顿海姆女神"
"heroes.name_fancy.s3_skadi_costume_ravager","约顿海姆守护者"
"heroes.name_fancy.s3_stonecleave","无情达古尔"
"heroes.name_fancy.s3_sudri","穆斯贝尔海姆烈火矮人"
"heroes.name_fancy.s3_sumle","魁伟烈火巨人"
"heroes.name_fancy.s3_sumle_costume_unhallowed","邪恶烈火巨人"
"heroes.name_fancy.s3_thor","雷神"
"heroes.name_fancy.s3_thor_costume_conduit","雷之媒介"
"heroes.name_fancy.s3_tyr","无情正义"
"heroes.name_fancy.s3_tyr_costume_savage","野蛮正义"
"heroes.name_fancy.s4_akkorog","莫洛克首领"
"heroes.name_fancy.s4_akkorog_costume_football","莫洛克跑卫"
"heroes.name_fancy.s4_aouda","心地善良的公主"
"heroes.name_fancy.s4_aouda_costume_lotus","莲花公主"
"heroes.name_fancy.s4_captain_nemo","神秘探险家"
"heroes.name_fancy.s4_captain_nemo_costume_machinist","神秘机械师"
"heroes.name_fancy.s4_congalach","深渊战士"
"heroes.name_fancy.s4_congalach_costume_kelp","巨藻战士"
"heroes.name_fancy.s4_doctor_moreau","阴险科学家"
"heroes.name_fancy.s4_doctor_moreau_costume_scribe","阴险抄书吏"
"heroes.name_fancy.s4_elizabeth","蛛形贵族"
"heroes.name_fancy.s4_elizabeth_costume_bride","新婚贵族"
"heroes.name_fancy.s4_exeera","八足牧师"
"heroes.name_fancy.s4_exeera_costume_hierophant","八足圣者"
"heroes.name_fancy.s4_garjammal","莫洛克战斗专家"
"heroes.name_fancy.s4_garjammal_costume_kite","莫洛克风筝专家"
"heroes.name_fancy.s4_gramps","半身人长老"
"heroes.name_fancy.s4_gramps_costume_gardener","半身人园丁"
"heroes.name_fancy.s4_griffin","隐形人"
"heroes.name_fancy.s4_griffin_costume_priest","隐形祭司"
"heroes.name_fancy.s4_hannah","爱冒险的考古学家"
"heroes.name_fancy.s4_hannah_costume_drover","爱冒险的赶畜者"
"heroes.name_fancy.s4_helo","艾洛伊渔夫"
"heroes.name_fancy.s4_helo_costume_baker","艾洛伊烘焙师"
"heroes.name_fancy.s4_hulda","鼹鼠首领"
"heroes.name_fancy.s4_hulda_costume_nurse","女仆首领"
"heroes.name_fancy.s4_kravekrush","双头巨人统帅"
"heroes.name_fancy.s4_kravekrush_costume_grillmaster","双头巨人烧烤大师"
"heroes.name_fancy.s4_lepiota","艾洛伊领袖"
"heroes.name_fancy.s4_lepiota_costume_undying","不死者领袖"
"heroes.name_fancy.s4_lughaidh","深渊之王"
"heroes.name_fancy.s4_lughaidh_costume_deathless","不死之王"
"heroes.name_fancy.s4_mack","半身人冒险家"
"heroes.name_fancy.s4_mack_costume_novelist","半身人小说家"
"heroes.name_fancy.s4_morel","艾洛伊猎人"
"heroes.name_fancy.s4_morel_costume_sage","艾洛伊智者"
"heroes.name_fancy.s4_morris","勇猛摩尔曼"
"heroes.name_fancy.s4_morris_costume_potter","摩尔曼陶工"
"heroes.name_fancy.s4_octros","八足战士"
"heroes.name_fancy.s4_octros_costume_suitor","软体动物追求者"
"heroes.name_fancy.s4_passepartout","英明航海家"
"heroes.name_fancy.s4_passepartout_costume_artist","优雅画家"
"heroes.name_fancy.s4_phileas_fogg","英勇航海家"
"heroes.name_fancy.s4_phileas_fogg_costume_engineer","精湛工程师"
"heroes.name_fancy.s4_poppy","半身人弩兵"
"heroes.name_fancy.s4_poppy_costume_lodger","半身人房客"
"heroes.name_fancy.s4_professor_lidenbrock","聪慧科学家"
"heroes.name_fancy.s4_professor_lidenbrock_costume_jeweler","聪慧珠宝商"
"heroes.name_fancy.s4_rokkamush","双头巨人打手"
"heroes.name_fancy.s4_rokkamush_costume_mason","双头巨人石匠"
"heroes.name_fancy.s4_russula","艾洛伊盗贼"
"heroes.name_fancy.s4_russula_costume_painter","艾洛伊画家"
"heroes.name_fancy.s4_tettukh","莫洛克暴君"
"heroes.name_fancy.s4_tettukh_costume_cheerleader","莫洛克啦啦队员"
"heroes.name_fancy.s4_vollermork","莫洛克囤积狂人"
"heroes.name_fancy.s4_vollermork_costume_bartender","莫洛克调酒师"
"heroes.name_fancy.s4_xenda","冥界嗣女"
"heroes.name_fancy.s4_xenda_costume_flame","火焰嗣女"
"heroes.name_fancy.s4_xnolphod","八足术士"
"heroes.name_fancy.s4_xnolphod_costume_jailer","八足狱卒"
"heroes.name_fancy.s4_zekena","多足王子"
"heroes.name_fancy.s4_zekena_costume_vines","夹竹桃王子"
"heroes.name_fancy.s4_zenobia","多足女王"
"heroes.name_fancy.s4_zenobia_costume_floral","夹竹桃皇后"
"heroes.name_fancy.s4_zila_lei","八足刺客"
"heroes.name_fancy.s4_zila_lei_costume_dancer","八足舞者"
"heroes.name_fancy.s5_ahhotep","木乃伊战士"
"heroes.name_fancy.s5_ahhotep_costume_champion","木乃伊勇士"
"heroes.name_fancy.s5_ahmose","木乃伊法老"
"heroes.name_fancy.s5_ahmose_costume_reborn","法老重生"
"heroes.name_fancy.s5_anubis","冥界之神"
"heroes.name_fancy.s5_anubis_costume_dancefloor","舞池仲裁者"
"heroes.name_fancy.s5_aqeela","机灵顽童"
"heroes.name_fancy.s5_aqeela_costume_sorcerer","机灵术士"
"heroes.name_fancy.s5_azmia","冷血掌柜"
"heroes.name_fancy.s5_azmia_costume_dancing","舞姬掌柜"
"heroes.name_fancy.s5_bastet","月亮之眼"
"heroes.name_fancy.s5_bastet_costume_forest","森林之眼"
"heroes.name_fancy.s5_bennu","创造之灵"
"heroes.name_fancy.s5_bennu_costume_heron","创造之鹭"
"heroes.name_fancy.s5_cleopatra","神圣法老"
"heroes.name_fancy.s5_cleopatra_costume_feline","猫法老"
"heroes.name_fancy.s5_el_naddaha","河之女妖"
"heroes.name_fancy.s5_el_naddaha_costume_sea","海之女妖"
"heroes.name_fancy.s5_eset","万众女神"
"heroes.name_fancy.s5_eset_costume_goldensun","金日女神"
"heroes.name_fancy.s5_faiez","幸运农夫"
"heroes.name_fancy.s5_faiez_costume_miner","幸运矿工"
"heroes.name_fancy.s5_hathor","母性女神"
"heroes.name_fancy.s5_hathor_costume_starlit","星光之母"
"heroes.name_fancy.s5_hetepheres","狡猾的斯芬克斯"
"heroes.name_fancy.s5_hetepheres_costume_spa","水疗的斯芬克斯"
"heroes.name_fancy.s5_horus","狩猎之神"
"heroes.name_fancy.s5_horus_costume_golden","黄金猎人"
"heroes.name_fancy.s5_jarif","倍感压力的抄书吏"
"heroes.name_fancy.s5_jarif_costume_curator","倍感压力的馆长"
"heroes.name_fancy.s5_junaid","守誓士兵"
"heroes.name_fancy.s5_junaid_costume_champion","守誓勇士"
"heroes.name_fancy.s5_khafre","敏锐的斯芬克斯"
"heroes.name_fancy.s5_khafre_costume_aquatic","水生斯芬克斯"
"heroes.name_fancy.s5_khepri","圣甲虫之神"
"heroes.name_fancy.s5_khepri_costume_overlord","圣甲虫霸主"
"heroes.name_fancy.s5_khonshu","月神"
"heroes.name_fancy.s5_khonshu_costume_knight","月光骑士"
"heroes.name_fancy.s5_maat","和谐女神"
"heroes.name_fancy.s5_maat_costume_river","伊特鲁女神"
"heroes.name_fancy.s5_meresankh","日之斯芬克斯"
"heroes.name_fancy.s5_meresankh_costume_disco","迪斯科斯芬克斯"
"heroes.name_fancy.s5_papyros","纸莎魔像"
"heroes.name_fancy.s5_papyros_costume_colossus","纸莎巨人"
"heroes.name_fancy.s5_ptolemy","长老法老"
"heroes.name_fancy.s5_ptolemy_costume_log","长老之木"
"heroes.name_fancy.s5_rekhetre","年少斯芬克斯"
"heroes.name_fancy.s5_rekhetre_costume_artist","年少艺术家"
"heroes.name_fancy.s5_scoratek","圣甲虫护卫"
"heroes.name_fancy.s5_scoratek_costume_sentinel","圣甲虫哨兵"
"heroes.name_fancy.s5_sekhmet","太阳之眼"
"heroes.name_fancy.s5_sekhmet_costume_warden","太阳看守人"
"heroes.name_fancy.s5_set","暗黑篡位者"
"heroes.name_fancy.s5_set_costume_tyrant","暗黑暴君"
"heroes.name_fancy.s5_sneferu","月之斯芬克斯"
"heroes.name_fancy.s5_sneferu_costume_vanquisher","月之征服者"
"heroes.name_fancy.s5_sobek","河神"
"heroes.name_fancy.s5_sobek_costume_guardian","河流守护者"
"heroes.name_fancy.s5_tetisheri","木乃伊皇后"
"heroes.name_fancy.s5_tetisheri_costume_molten","熔岩皇后"
"heroes.name_fancy.s5_waqas","法老之盾"
"heroes.name_fancy.s5_waqas_costume_blade","法老之刃"
"heroes.name_fancy.sand_horse","飞沙帝国神驹"
"heroes.name_fancy.sand_king","飞沙帝国国王"
"heroes.name_fancy.sand_king_costume_lifeguard","护卫之王"
