"specials.name.a_cozy_break","Уютный перерыв"
"specials.name.lucky_nine","Везучая девятка"
"specials.name.luminescent_electrocution","Люминисцентная электроказнь"
"specials.name.luminous_lance","Светящееся копье"
"specials.name.lunar_blessing","Лунное благословение"
"specials.name.lunar_blessing_moon_beam","Лунный луч"
"specials.name.lunar_bloom","Лунное цветение"
"specials.name.lunar_locket","Лунный медальон"
"specials.name.lunar_shield","Лунный щит"
"specials.name.lunar_spear","Лунное копье"
"specials.name.luring_song","Манящая песнь"
"specials.name.machinists_cutlass","Кортик механика"
"specials.name.mad_as_a_hatter","Безумный как Шляпочник"
"specials.name.mad_rat_mania","Крысиное бешенство"
"specials.name.mad_tea_party","Безумное чаепитие"
"specials.name.madrigal_of_mayhem","Мадригал безумия"
"specials.name.mageball_blast","Колдовской взрыв"
"specials.name.mageball_blast_pve","Колдовской взрыв"
"specials.name.magic_mirror_of_power","Волшебное зеркало силы"
"specials.name.magical_balan","Магический балан"
"specials.name.magical_sword","Волшебный меч"
"specials.name.magma_boulders","Валуны из магмы"
"specials.name.magma_smash","Столкновение с магмой"
"specials.name.magnificent_meal","Ошеломительный обед"
"specials.name.maidens_command","Приказ девы"
"specials.name.maidens_orders","Веление девы"
"specials.name.make_them_harmless","Создание безобидности"
"specials.name.malevolent_toys","Дьявольские игрушки"
"specials.name.malison_of_the_wildlands","Проклятие природы"
"specials.name.mallet_swing_of_the_beast","Чудовищный удар молота"
"specials.name.mana_immolation","Испепеление маны"
"specials.name.mana_manipulation","Манипуляции маной"
"specials.name.mana_scavange","Откачка маны"
"specials.name.mana_stealer","Глаз пророка"
"specials.name.mantis_strike","Удар богомола"
"specials.name.marc","Безумный бросок"
"specials.name.mark_of_anubis","Метка Анубиса"
"specials.name.mark_of_fire","Знак огня"
"specials.name.mark_of_ivy","Метка плюща"
"specials.name.mark_of_nature","Знак природы"
"specials.name.mark_of_the_jackal","Метка шакала"
"specials.name.mark_the_prey","Метка жертвы"
"specials.name.marked_aim","Меченая цель"
"specials.name.martial_dance","Мастерство Кейна"
"specials.name.martial_masterstroke","Искусство точного удара"
"specials.name.martial_prowess","Боевая доблесть"
"specials.name.masons_rage","Ярость масона"
"specials.name.massive_bite","Мощный укус"
"specials.name.massive_chop","Массивный удар"
"specials.name.massive_cleave","Огромный тесак"
"specials.name.massive_swing","Грандиозный удар"
"specials.name.master_of_ailments","Мастер недугов"
"specials.name.master_plan","Всеобъемлющий план"
"specials.name.masterful_balance","Мастерский баланс"
"specials.name.masterful_manipulation","Мастерские манипуляции"
"specials.name.mauling_tusk","Терзающий клык"
"specials.name.mean_jab_dragon_pve","Злобный тычок"
"specials.name.mechanical_augmentations","Механический рост"
"specials.name.medicinal_drool","Лечебная слюна"
"specials.name.medicinal_fumes","Лечебные пары"
"specials.name.melody_of_mana_control","Мелодия управления маной"
"specials.name.melody_of_misery","Мелодия мучения"
"specials.name.memory_manipulation","Манипуляции с памятью"
"specials.name.memory_of_the_queen","Память императрицы"
"specials.name.mending_bronze_axe","Восстанавливающийся бронзовый топор"
"specials.name.mending_mantra","Исцеляющая мантра"
"specials.name.mending_stitches","Исцеляющие стежки"
"specials.name.merciless_bite","Безжалостный укус"
"specials.name.merciless_execution","Безжалостное уничтожение"
"specials.name.merciless_pulverizer","Беспощадный распылитель"
"specials.name.merriest_misery","Счастливое несчастье"
"specials.name.mesmerizing_mirror","Завораживающее зеркало"
"specials.name.miasma_mace","Зловонная булава"
"specials.name.midnight_magic","Полночная магия"
"specials.name.midnight_moon","Полночная луна"
"specials.name.midnight_smite","Полночный удар"
"specials.name.midnight_strike","Полночный удар"
"specials.name.midsummers_dream","Сон солнцестояния"
"specials.name.midsummers_reverie","Мечта в летнюю ночь"
"specials.name.might_of_ares","Могущество Ареса"
"specials.name.might_of_excalibroom","Мощь Экскалибрум"
"specials.name.might_of_the_ice_giants","Мощь ледяных великанов"
"specials.name.might_of_the_ice_giants_final","Мощь ледяных великанов"
"specials.name.mimic_bite","Укус имитатора"
"specials.name.mimic_bite_burn","Разъедающий укус"
"specials.name.mimic_bite2","Яростный укус имитатора"
"specials.name.mimic_special","Коварное чудовище"
"specials.name.mimic_training_hero_blue_bite","Жадное поглощение"
"specials.name.mimic_training_hero_green_bite","Жадное поглощение"
"specials.name.mimic_training_hero_purple_bite","Жадное поглощение"
"specials.name.mimic_training_hero_red_bite","Жадное поглощение"
"specials.name.mimic_training_hero_yellow_bite","Жадное поглощение"
"specials.name.mind_blast","Ментальный взрыв"
"specials.name.mindless_attack","Безумная атака"
"specials.name.minion_scrutiny","Проверка прислужника"
"specials.name.mischievous_tiein","Озорная врезка"
"specials.name.missile_mania","Снарядное сумасшествие"
"specials.name.mist_of_the_fallen","Дымка павших"
"specials.name.mistletoe_medley","Попурри омелы"
"specials.name.misty_punches","Туманные удары"
"specials.name.mixed_green_herbs","Смесь зеленых трав"
"specials.name.molten_wax","Оплавленный воск"
"specials.name.monastic_restraint","Монашеская сдержанность"
"specials.name.monstrous_bite","Чудовищный укус"
"specials.name.moody_jab_dragon_pve","Мрачный тычок"
"specials.name.mooing_for_a_fight","Боевое мычание"
"specials.name.moon_boomerang","Лунный бумеранг"
"specials.name.moon_crush_beam","Сокрушительный лунный луч"
"specials.name.moonlight_crescendo","Крещендо лунного света"
"specials.name.moonlight_serenade","Лунная серенада"
"specials.name.moonlight_sonata","Лунная соната"
"specials.name.moonstone_glare_dragon_pve","Переливающийся лунный камень"
"specials.name.moreau_phase1_special","Ослепляющее безумие"
"specials.name.moreau_phase2_special1","Ослепляющее безумие"
"specials.name.moreau_phase2_special2","Ослепляющее безумие"
"specials.name.morning_catch","Утренний улов"
"specials.name.mother_dragons_love","Любовь матери-драконши"
"specials.name.motherly_care","Материнская забота"
"specials.name.motherly_care_pve","Материнская забота"
"specials.name.motherly_love","Материнская любовь"
"specials.name.muffin_poisoning","Отравление кекса"
"specials.name.multi_elemental_mark","Знак всех стихий"
"specials.name.multi_throw","Мультибросок"
"specials.name.mummy_slash","Атака мумии"
"specials.name.mummy_strike","Удар мумии"
"specials.name.musketeers_mead","Мушкетерский мед"
"specials.name.mutating_mixture","Мутирующая субстанция"
"specials.name.mystery_potions","Таинственные зелья"
"specials.name.mystic_chop","Мистический удар"
"specials.name.mystical_concerto","Мистический концерт"
"specials.name.mystics_virtue","Добродетель мистики"
"specials.name.nasty_hammer","Злой молот"
"specials.name.natures_blessing","Ярость берсеркера"
"specials.name.natures_connection","Подключение к природе"
"specials.name.natures_fury","Ярость природы"
"specials.name.natures_payback","Ответ природы"
"specials.name.nebula_orb","Шар туманности"
"specials.name.nebula_orb_ultimate_boss","Шар туманности"
"specials.name.necronomicon_page_13","Страница 13 Некрономикона"
"specials.name.nethershield","Щит преисподней"
"specials.name.never_ending_winter","Бесконечная зима"
"specials.name.night_falls","Наступление ночи"
"specials.name.night_of_crimes","Ночные преступления"
"specials.name.nightbloom_dust","Пыльца ночноцвета"
"specials.name.nightglade_pollen","Пыльца ночной полыньи"
"specials.name.nights_whisper","Шёпот в ночи"
"specials.name.nimble_bite","Ловкий укус"
"specials.name.nine_dragon_strike","Удар девяти драконов"
"specials.name.nobles_empathy","Благородное сочувствие"
"specials.name.nobles_empathy_costume_artisan","Сочувствие калиграфа"
"specials.name.nomadic_hymn","Гимн бродяг"
"specials.name.northern_wanderer","Радостная поддержка"
"specials.name.noxious_blossom","Пагубный цвет"
"specials.name.noxious_chord","Пагубный аккорд"
"specials.name.noxious_cleave","Отравляющий раскол"
"specials.name.noxious_cleave_pve","Отравляющий раскол"
"specials.name.nuts_of_yggdrasil","Орехи Иггдрасиля"
"specials.name.ocarina_windsong","Песнь окарины ветра"
"specials.name.occult_redemption","Оккультное перерождение"
"specials.name.ocean_vortex","Океаническая воронка"
"specials.name.oceanic_slayer","Волна убийств"
"specials.name.oceanic_suffering","Океанские страдания"
"specials.name.oceans_decay","Океанская порча"
"specials.name.oceans_embrace","Объятья океана"
"specials.name.oceans_ruin","Океанские руины"
"specials.name.odd_drum_roll","Странная барабанная дробь"
"specials.name.oji_waza","Оджи-Ваза"
"specials.name.old_curse","Старое проклятие"
"specials.name.omega_flame","Удар Омеги"
"specials.name.omega_strike_dark","Удар Омеги"
"specials.name.omega_strike_fire","Удар Омеги"
"specials.name.omega_strike_holy","Удар Омеги"
"specials.name.omega_strike_ice","Удар Омеги"
"specials.name.omega_strike_nature","Удар Омеги"
"specials.name.omen_of_retribution","Предвестие мести"
"specials.name.omnicure","Всеисцеление"
"specials.name.omniheal","Всеисцеление"
"specials.name.omnimend","Всеремонт"
"specials.name.one_hit_wonder","Мгновенное чудо"
"specials.name.one_jump_ahead","На прыжок впереди"
"specials.name.one_spell_ahead","Опережающее заклинание"
"specials.name.opposing_raid","Встречный набег"
"specials.name.orchids_and_roses","Орхидеи и розы"
"specials.name.order_ambush","Порядок засады"
"specials.name.order_ambush_pve","Порядок засады"
"specials.name.order_from_the_depths","Повеление глубин"
"specials.name.order_to_overwhelm","Приказ победить"
"specials.name.orsoldoon","Борьба"
"specials.name.overpowering_grip_dragon_pve","Непреодолимый захват"
"specials.name.overwhelming_raid","Ошеломляющий набег"
"specials.name.owls_blessing","Благословение совы"
"specials.name.pacifying_presence_dragon_pve","Умиротворяющий отряд"
"specials.name.pain_harvest","Урожай боли"
"specials.name.paragon_of_constellations","Образец созвездий"
"specials.name.paralyzing_spore","Парализующие споры"
"specials.name.parcel_of_the_dragon_familiar","Посылка призванного дракона"
"specials.name.pathfinders_compass","Указатель первопроходца"
"specials.name.paw_in_every_pie","Во всех пирогах затычка"
"specials.name.pawns_of_divinity","Божественные пешки"
"specials.name.paws_or_claws","Лапы и когти"
"specials.name.peach_of_immortality","Персик бессмертия"
"specials.name.pearls_of_rejuvenation","Жемчуга обновления"
"specials.name.perfect_riposte","Идеальный ответный удар"
"specials.name.perfect_shot","Идеальный выстрел"
"specials.name.perfect_teamwork","Командная работа"
"specials.name.perfume_cloud","Облако духов"
"specials.name.perilous_gift","Опасный подарок"
"specials.name.perilous_present_pve","Опасный подарок"
"specials.name.perilous_waters","Опасные воды"
"specials.name.perplexing_riddle","Озадачивающая загадка"
"specials.name.pest_control","Борьба с вредителями"
"specials.name.pet_larva","Ручная личинка"
"specials.name.petals_of_nourishment","Питательные лепестки"
"specials.name.petrifying_knuckles","Оглушающие кулаки"
"specials.name.petrifying_performance","Ужасающее представление"
"specials.name.picnic_in_the_sky","Пикник в небе"
"specials.name.pie_of_protection","Пирог защиты"
"specials.name.piercing_falcon","Впивающийся сокол"
"specials.name.piercing_hit","Проникающее ранение"
"specials.name.piercing_practice_slash","Пронзающий удар"
"specials.name.piercing_sabre","Пронзающая сабля"
"specials.name.piercing_scream_dragon_pve","Пронизывающий вопль"
"specials.name.piercing_shot","Пронзающий выстрел"
"specials.name.piercing_strike","Пронзающий удар"
"specials.name.piercing_tusk","Пронзающий клык"
"specials.name.pincer_claw","Клешни"
"specials.name.pincer_claw_deadly","Клешни"
"specials.name.pineapple_barbeque","Ананасовое барбекю"
"specials.name.pirate_shot","Пиратский выстрел"
"specials.name.pirates_vengeance","Месть пирата"
"specials.name.pixie_dust","Волшебная пыль"
"specials.name.plague_bite","Чумной укус"
"specials.name.plague_blade","Чумной клинок"
"specials.name.planar_time_widget","Планарное время"
"specials.name.planetary_charge","Планетарный рывок"
"specials.name.plentiful_harvest","Богатый урожай"
"specials.name.plentiful_minerals","Множество минералов"
"specials.name.plume_flash","Контурное перо"
"specials.name.poem_of_the_centaurs","Песнь кентавров"
"specials.name.poem_of_the_morass","Поэма болота"
"specials.name.poetic_justice","Поэтическое правосудие"
"specials.name.poets_protection","Покровительство поэта"
"specials.name.pointy_darts","Острые дротики"
"specials.name.poison_bite","Ядовитый укус"
"specials.name.poison_bite_dragon_pve","Ядовитый укус"
"specials.name.poison_bolt_zidane","Ядовитая стрела"
"specials.name.poison_claw","Ядовитый коготь"
"specials.name.poison_jolt","Ядовитый разряд"
"specials.name.poison_strike","Ядовитый удар"
"specials.name.poison_tipped_arrow","Отравленная стрела"
"specials.name.poison_web","Ядовитая паутина"
"specials.name.poisoned_blade","Отравленный клинок"
"specials.name.poisoning_blade","Травящий клинок"
"specials.name.poisonous_mist","Ядовитый туман"
"specials.name.poisonous_saliva","Ядовитая слюна"
"specials.name.polar_bash","Полярный громила"
"specials.name.polar_night_blizzard","Полярная метель"
"specials.name.poleaxe_of_the_law","Секира закона"
"specials.name.polestar_expedition","Экспедиция за путеводной звездой"
"specials.name.pompous_flex","Издевательская ловкость"
"specials.name.portents_of_future","Предзнаменования будущего"
"specials.name.possessed_strike","Порабощающий удар"
"specials.name.possessor_of_penance","Искупление грехов"
"specials.name.postal_pulverizer","Безбашенный распылитель"
"specials.name.potion_cocktail","Смесь зелий"
"specials.name.potions_of_covetous_desire","Зелья жадной страсти"
"specials.name.potions_of_covetous_desire_pve","Зелья жадной страсти"
"specials.name.potions_of_havoc_and_healing","Зелья хаоса и исцеления"
"specials.name.pounce_of_the_lioness","Удар львицы"
"specials.name.pounding_attack","Молотящий натиск"
"specials.name.power_of_ajna","Сила Аджны"
"specials.name.power_of_flora","Сила Флоры"
"specials.name.power_of_mjolnir","Сила Мьельнира"
"specials.name.power_of_the_forest","Мощь лесов"
"specials.name.power_of_the_void","Сила пустоты"
"specials.name.power_punch","Мощный удар"
"specials.name.power_slam","Мощный удар"
"specials.name.power_wave","Волна мощи"
"specials.name.prayer_of_the_desert","Молитва пустыни"
"specials.name.precise_chop","Точечный удар"
"specials.name.precise_riposte","Точный ответный удар"
"specials.name.preserve_and_freeze","Сохрани и заморозь"
"specials.name.prestidigitation","Ловкость рук"
"specials.name.prestidigitation_cross","Крест"
"specials.name.prestidigitation_skull","Череп"
"specials.name.prestidigitation_stars","Звезды"
"specials.name.primeval_glaive","Древняя глефа"
"specials.name.prosperity_for_domain","Процветание царства"
"specials.name.protective_stance","Защитная стойка"
"specials.name.protector_of_the_blue_river","Защитник голубой реки"
"specials.name.protein_eater","Пожиратель протеина"
"specials.name.pulsar_blast","Взрыв пульсара"
"specials.name.pulsarstrike","Удар пульсара"
"specials.name.pulverizing_ham","Распыляющее сообщение"
"specials.name.pummeling","Избиение"
"specials.name.punishing_shot","Карающий выстрел"
"specials.name.punishing_shot_pve","Карающий выстрел"
"specials.name.punishing_strike","Карающий удар"
"specials.name.puppy_tales","Щенячьи истории"
"specials.name.pure_shot","Чистый выстрел"
"specials.name.purification","Очищение"
"specials.name.purifying_flame","Очищающее пламя"
"specials.name.purifying_flame_pve","Очищающее пламя"
"specials.name.purifying_hit","Очищающий удар"
"specials.name.purifying_ki","Очищающая ци"
"specials.name.purifying_light","Очищающий свет"
"specials.name.purifying_strike","Очищающая атака"
"specials.name.pursuing_shot","Преследующий выстрел"
"specials.name.putrid_perfume","Гнилостный аромат"
"specials.name.puzzling_paint","Конфузящая краска"
"specials.name.puzzling_riddle","Странная загадка"
"specials.name.qilin_blade","Клинок цилиня"
"specials.name.queen_of_cards","Королева карт"
"specials.name.queen_of_the_depths","Императрица Пучин"
"specials.name.queen_of_the_depths_final","Императрица Пучин"
"specials.name.queens_blood_poisoning","Закат скорби"
"specials.name.queens_curse","Песчаная буря"
"specials.name.queens_curse_pve","Песчаная буря"
"specials.name.quick_and_nimble","Быстрота и ловкость"
"specials.name.rabbits_watch","Часы кролика"
"specials.name.raccoon_bite","Укус енота"
"specials.name.radiant_comeback","Яркое возвращение"
"specials.name.radiant_rapid_fire","Стремительная стрельба"
"specials.name.radiant_shackles","Сверкающие оковы"
"specials.name.radiant_sweep_dragon_pve","Сияющий взмах"
"specials.name.radiating_frost","Излучение мороза"
"specials.name.rage_of_grimnir","Ярость Гримнира"
"specials.name.raging_tempest","Бушующая буря"
"specials.name.rain_of_arrows","Дождь стрел"
"specials.name.rain_of_fire","Огненный дождь"
"specials.name.rain_of_fire_ultimate_boss","Огненный дождь"
"specials.name.raising_morale","Подъем морали"
"specials.name.rally_of_the_deep","Гонки глубин"
"specials.name.ramming_pulverizer","Таранящий пульверизатор"
"specials.name.ramming_rush","Таранящий натиск"
"specials.name.rapid_shots","Быстрые выстрелы"
"specials.name.rattle_of_confusion","Сбивающий с толку стук"
"specials.name.ravaging_talons","Терзающие когти"
"specials.name.ravens_vigil","Бдение воронов"
"specials.name.ravens_watch","Воронья стража"
"specials.name.ray_strike","Роковой удар"
"specials.name.razor_smile","Острая улыбка"
"specials.name.reanimated_spite","Воскрешенное зло"
"specials.name.reanimated_spite_pve","Воскрешенное зло"
"specials.name.reckless_charge","Беззаботный заряд"
"specials.name.reckless_finisher","Решающий удар"
"specials.name.reckless_slash","Отчаянный разруб"
"specials.name.reckless_stab","Безрассудный удар кинжалом"
"specials.name.reckless_swing","Безрассудный замах"
"specials.name.reckless_sword_swings","Безрассудный замах мечом"
"specials.name.red_shoes","Красные туфельки"
"specials.name.red_sparks_dragon_pve","Красные искры"
"specials.name.reef_blast","Коралловый взрыв"
"specials.name.reflecting_stance","Отражающая стойка"
"specials.name.regeneration","Регенерация"
"specials.name.rejuvenating_elixir","Живительный эликсир"
"specials.name.rejuvenating_leap","Живительный прыжок"
"specials.name.relaxing_riddle","Расслабляющая загадка"
"specials.name.relentless_brawler","Неутомимый задира"
"specials.name.remedies_and_diseases","Лекарства и расстройства"
"specials.name.rending_dagger","Разящий кинжал"
"specials.name.reporting_for_duty","Выход на дежурство"
"specials.name.resolute_spirit","Решительный дух"
"specials.name.resolute_spirit2","Решительный дух"
"specials.name.restoration_and_annihilation","Восстановление и уничтожение"
"specials.name.resurrection_of_the_fallen","Воскресение павших"
"specials.name.resurrection_of_the_fallen_kemeny","Воскресение павшего"
"specials.name.revengeful_smite","Удар отмщения"
"specials.name.reverse_recovery","Обратное восстановление"
"specials.name.reversed_lifeforce","Обратное высасывание жизни"
"specials.name.revitalizing_melody","Живительная мелодия"
"specials.name.revitalizing_orb","Живительная сфера"
"specials.name.revitalizing_sludge","Живительная жижа"
"specials.name.reviving_touch","Воскрешающее касание"
"specials.name.rhythm_of_havoc","Ритм хаоса"
"specials.name.riches_to_poor","От богатства к бедности"
"specials.name.ricochet_bolt","Рикошет"
"specials.name.riddle_of_the_moon","Загадка Луны"
"specials.name.riddle_of_the_sun","Загадка Солнца"
"specials.name.riders_arrow","Стрела всадника"
"specials.name.riders_lance","Копье всадника"
"specials.name.rift_blade","Скользящий клинок"
"specials.name.righteous_pulverizer","Праведный распылитель"
"specials.name.righteous_strike","Праведный удар"
"specials.name.ring_around_the_rosie","Хоровод вокруг Рози"
"specials.name.rite_of_cuteness","Судный мультяшка"
"specials.name.rite_of_glass","Стеклянное правосудие"
"specials.name.rite_of_judgement","Карающий обряд"
"specials.name.rites_of_inner_knowledge","Обряд внутреннего знания"
"specials.name.ritual_of_judgement","Карающий ритуал"
"specials.name.ritual_of_the_deep","Ритуал глубин"
"specials.name.roar_of_the_panther","Рык пантеры"
"specials.name.rockfall_bash","Смертоносный камнепад"
"specials.name.rod_of_freedom","Скипетр свободы"
"specials.name.rod_of_torment","Жезл пытки"
"specials.name.roman_cleave","Спартанский заряд"
"specials.name.roots_of_wrath","Корни гнева"
"specials.name.roots_of_yggdrasil","Корни Иггдрасиля"
"specials.name.rose_bouquet_blast","Взрыв букета роз"
"specials.name.rotting_wound_dragon_pve","Гниющая рана"
"specials.name.rottman","Крысиное бешенство"
"specials.name.rough_and_tumble","Неразбериха"
"specials.name.royal_assault","Королевское убийство"
"specials.name.royal_blades","Королевские клинки"
"specials.name.royal_meatball_buffet","Королевский тефтельный буфет"
"specials.name.royal_poisoner","Королевский отравитель"
"specials.name.ruby_rush","Рубиновый рывок"
"specials.name.rude_awakening","Грубое пробуждение"
"specials.name.ruler_of_seas","Повелитель морей"
"specials.name.ruler_of_seas_deadly","Повелитель морей"
"specials.name.rural_chop","Грубый удар"
"specials.name.rush_of_flame","Порыв огня"
"specials.name.rushed_melody","Поспешная мелодия"
"specials.name.rusty_blade","Ржавый клинок"
"specials.name.sable_slasher","Темный удар"
"specials.name.sacrament_of_salvation","Таинство спасения"
"specials.name.sacred_horns","Священные рога"
"specials.name.sacred_reflection","Священное отражение"
"specials.name.saga_of_deliverance","Сага о спасении"
"specials.name.saga_of_protection","Защитная сага"
"specials.name.salty_splash_dragon_pve","Соленый всплеск"
"specials.name.sanction_for_heresy","Наказание еретика"
"specials.name.sanctuary_of_light","Святилище света"
"specials.name.sand_cyclone","Песчаный циклон"
"specials.name.sand_cyclone_pve","Песчаный циклон"
"specials.name.sand_wave_rana","Взлет на волну"
"specials.name.sand_wave_yunan","Сбивание с доски"
"specials.name.sandstorm_strike","Удар смерча"
"specials.name.sandworm_strike","Удар песчаного червя"
"specials.name.sapphire_eyes","Сапфировые глаза"
"specials.name.saturated_suffering","Затаенное дыхание"
"specials.name.savage_talons","Бешеные когти"
"specials.name.scale_of_the_newt","Чешуя тритона"
"specials.name.scaly_skin","Чешуйчатая кожа"
"specials.name.scar_of_the_depths","Шрам пучины"
"specials.name.scar_of_the_depths_deadly","Шрам пучины"
"specials.name.scarab_barrage","Атака скарабеев"
"specials.name.scarab_blitz","Натиск скарабеев"
"specials.name.scarab_bombardment","Скарабей-бомбардир"
"specials.name.scarab_rush","Скорость скарабея"
"specials.name.scarab_throw","Бросок скарабея"
"specials.name.scavenging_dash","Рывок падальщика"
"specials.name.scepter_of_bundelkhand","Бунделкхандский скипетр"
"specials.name.scepter_of_constellations","Скипетр созвездий"
"specials.name.scion_sword","Меч ветви"
"specials.name.scion_sword_costume_white_raven","Меч наследника"
"specials.name.scorching_orb","Обжигающий шар"
"specials.name.scoundrel_swing","Плутовской размах"
"specials.name.scourge_of_joy","Хлыст радости"
"specials.name.scourge_of_the_strong","Бич сильных"
"specials.name.scouts_spyglass","Подзорная труба разведчика"
"specials.name.scroll_of_equations","Свиток уравнений"
"specials.name.scroll_of_fellowship","Свиток братства"
"specials.name.scroll_of_new_beginnings","Свиток новых начал"
"specials.name.scroll_of_spite","Свиток зловредности"
"specials.name.scythe_of_sorceries","Магическая коса"
"specials.name.seabed_pirouette","Пируэт на морском дне"
"specials.name.seabed_sissonne","Морское дно Сиссонна"
"specials.name.seal_of_ares","Печать Ареса"
"specials.name.seal_of_fire","Печать огня"
"specials.name.searing_frost","Обжигающий мороз"
"specials.name.searing_strike","Обжигающая атака"
"specials.name.seastar_burst","Взрыв морской звезды"
"specials.name.seaweed_flail","Водорослевый цеп"
"specials.name.second_skin","Вторая кожа"
"specials.name.self_preservation","Самосохранение"
"specials.name.sense_of_wonder","Ощущение чуда"
"specials.name.serenade_of_sedition","Мелодичный призыв к мятежу"
"specials.name.servants_aid","Помощь слуги"
"specials.name.set_phase2","Освобождение тьмы"
"specials.name.set_phase3","Последнее усилие"
"specials.name.severing_strike","Разрывающий натиск"
"specials.name.sewing_back_together","Вновь сшитый ковер"
"specials.name.shackles_of_the_sea","Морские оковы"
"specials.name.shade_cloak","Покров теней"
"specials.name.shadow_link","Стальная связь"
"specials.name.shadow_lunge","Бросок тени"
"specials.name.shadow_monster_form","Зловещий удар"
"specials.name.shadow_sidestep","Теневой обход"
"specials.name.shadow_strike","Удар тени"
"specials.name.shadow_sweep","Взмах теней"
"specials.name.shady_concerto","Кошачий концерт"
"specials.name.shapeshifters_deception","Обман оборотня"
"specials.name.shards_of_sun","Осколки солнца"
"specials.name.shared_visage","Одно лицо"
"specials.name.shark_bite","Укус акулы"
"specials.name.sharp_cut","Острый порез"
"specials.name.sharp_knife","Острый нож"
"specials.name.sharp_stingers","Острые жала"
"specials.name.shatter_psyche","Расколотая душа"
"specials.name.shatter_soul","Разбитая душа"
"specials.name.shattering_shriek","Разрушительный вопль"
"specials.name.shattering_warcry","Разрушительный боевой клич"
"specials.name.shed_skin","Сброшенная шкура"
"specials.name.shieldmaidens_protection","Защита воительницы"
"specials.name.shifting_mindless_attack","Безумие оборотня"
"specials.name.shimmering_shield","Мерцающий щит"
"specials.name.shock_bolt","Ударный болт"
"specials.name.shock_ultimatum","Шоковый ультиматум"
"specials.name.shocking_news","Убийственные новости"
"specials.name.shrill_announcement","Пронзительное объявление"
"specials.name.shy_jab_dragon_pve","Застенчивый тычок"
"specials.name.sickening_glow","Тошнотворное сияние"
"specials.name.sickle_of_eradication","Серп искоренения"
"specials.name.sickle_of_wu","Серп У"
"specials.name.sideswipe","Удар сбоку"
"specials.name.sigil_of_the_sun","Печать солнца"
"specials.name.silencing_stick_up","Ограбление безмолвия"
"specials.name.silent_takedown","Немой бросок"
"specials.name.sinister_enlace","Зловещие силки"
"specials.name.sinister_enlace_deadly","Зловещие силки"
"specials.name.sinister_siphon","Зловещее перекачивание"
"specials.name.sir_agony","Иссушающий клинок"
"specials.name.sir_pain","Серп мести"
"specials.name.situational_awareness","Знание обстановки"
"specials.name.sky_attack","Небесная атака"
"specials.name.slash_and_support","Удар и поддержка"
"specials.name.slash_of_four_blades","Удар четырех клинков"
"specials.name.slash_of_glass_blades","Удар стеклянных клинков"
"specials.name.slash_of_seven_blades","Удар семи клинков"
"specials.name.slash_of_seven_daggers","Удар семи кинжалов"
"specials.name.slash_of_seven_toons","Удар семи мультяшек"
"specials.name.slash_of_the_seven_stilettos","Удар семи когтей"
"specials.name.slaying_stake","Смертоносный кол"
"specials.name.slice_and_dice","Срезы и вырезы"
"specials.name.slice_and_dice_pve","Срезы и вырезы"
"specials.name.slime_coated_sword","Слизь на мече"
"specials.name.slime_serving","Порция слизи"
"specials.name.slime_slap","Удар слизи"
"specials.name.slimy_balls","Слизистые шары"
"specials.name.slumber_spores","Споры сна"
"specials.name.slumbering_beatdown","Спящие побои"
"specials.name.smoldering_tear_dragon_pve","Дымящаяся слеза"
"specials.name.smooth_treatment","Ловкое исцеление"
"specials.name.snapping_jaws","Щелкающая пасть"
"specials.name.snowlit_slices","Разрез снежного света"
"specials.name.soaring_blast","Парящий взрыв"
"specials.name.sock_and_block","Удар и блок"
"specials.name.solar_beam","Солнечный луч"
"specials.name.solar_strike","Солнечный удар"
"specials.name.soldiers_curse","Песчаный бриз"
"specials.name.solid_frozen_fist","Ледяной кулак"
"specials.name.song_of_calamity","Песня гибели"
"specials.name.song_of_hoot_and_holler","Песнь уханья и воплей"
"specials.name.song_of_regression","Плач отчаяния"
"specials.name.song_of_the_morass","Песнь болота"
"specials.name.songs_of_the_cherry_tree","Песни вишневого дерева"
"specials.name.sonic_infusion_arrow","Стрела сверхзвукового смешения"
"specials.name.sonic_wall","Звуковая стена"
"specials.name.sonorous_spear","Звучащее копье"
"specials.name.soothing_melody","Успокаивающий мотив"
"specials.name.soothing_song","Успокаивающая песня"
"specials.name.soul_cage","Призыв скелета"
"specials.name.sour_berry_blast_dragon_pve","Взрыв кислоты"
"specials.name.sparrow_fury","Воробьиная ярость"
"specials.name.spartan_cleave","Спартанский скол"
"specials.name.spartan_slash","Спартанский разрез"
"specials.name.spear_of_blood_pact","Копье кровавого союза"
"specials.name.spear_of_loyalty","Копье верности"
"specials.name.spear_of_shu","Копье Шу"
"specials.name.spearwand_gale","Буря копья-палочки"
"specials.name.spectacular_bite","Дивный укус"
"specials.name.spectral_visions","Призрачное видение"
"specials.name.spectral_wings","Призрачные крылья"
"specials.name.spectres_flail","Призрачный цеп"
"specials.name.spell_lock","Фиксация заклинания"
"specials.name.spicy_berry_blast_dragon_pve","Взрыв пряности"
"specials.name.spike_burst","Взрыв шипов"
"specials.name.spilled_decoctions","Пролитые отвары"
"specials.name.spirit_arrow","Стрела духов"
"specials.name.spirit_drain","Истощение духа"
"specials.name.spirit_of_spring","Дух весны"
"specials.name.spirit_of_winter","Дух зимы"
"specials.name.spirit_rally","Скорость духа"
"specials.name.spirits_of_the_mountain","Горные духи"
