"herocard.passive_skill.description.addmana.all.allies","全部盟友獲得少量法力。"
"herocard.passive_skill.title.insanitydamagereduction","受古老存在標記"
"herocard.passive_skill.title.iterateeffectonspecial","施放特殊技能時效果的額外機率"
"herocard.passive_skill.title.league_accuracy_modifier_against_family","聯盟劣勢"
"herocard.passive_skill.title.league_heal_modifier_against_family","聯盟劣勢"
"herocard.passive_skill.title.league_heal_modifier_for_family","聯盟優勢"
"herocard.passive_skill.title.league_received_damage_modifier_against_non_featured_family","聯盟優勢"
"herocard.passive_skill.title.league_resist_debuffs_manareduction_dispels","聯盟優勢"
"herocard.passive_skill.title.manadebuffprotection","法力產出異常保護"
"herocard.passive_skill.title.managenerationmodifier.all.enemies","減少使用特殊技能時獲取的法力"
"herocard.passive_skill.title.manaonownfamiliardeath.minion","小兵死亡時所得法力"
"herocard.passive_skill.title.manaonstatuseffect.debuff","狀態異常所得法力"
"herocard.passive_skill.title.memorizefamiliars.activates_on_enemy_action","記住敵方小兵與惡魔"
"herocard.passive_skill.title.memorizestatuseffects","記住狀態異常"
"herocard.passive_skill.title.mimiclootonlevelcompleted","模仿怪戰利品"
"herocard.passive_skill.title.nevermissspecial","完美精準度"
"herocard.passive_skill.title.reallocatestatuseffectonspecialcast.damage.minorbuff.newest","偷取增益"
"herocard.passive_skill.title.reallocatestatuseffectonspecialcast.heal.minordebuff.newest","獵手感知"
"herocard.passive_skill.title.receivedstrongelementsupportcharacterdamage","部隊精通"
"herocard.passive_skill.title.remove_growth_from_enemies","守衛集結"
"herocard.passive_skill.title.remove_wither_from_allies","守衛集結"
"herocard.passive_skill.title.repaircorechargeeffectonspecial.healthboost","修復核心"
"herocard.passive_skill.title.repeat_special_once","幸運"
"herocard.passive_skill.title.resist.accuracymodifiers","抵禦致盲"
"herocard.passive_skill.title.resist.allattackmodifiersincludingwither.alldebuffs","抵抗攻擊減少"
"herocard.passive_skill.title.resist.alldebuffs","抵抗狀態異常"
"herocard.passive_skill.title.resist.alldebuffs.alldebuffs","抵禦所有異常"
"herocard.passive_skill.title.resist.alldebuffs.manareduction.buffdispels","頭號抗性"
"herocard.passive_skill.title.resist.alldefensemodifiers.alldebuffs","抵禦防禦異常"
"herocard.passive_skill.title.resist.alldefensemodifiersincludingwither.alldebuffs","抵抗防禦減少"
"herocard.passive_skill.title.resist.allmanaeffects.alldebuffs","抵禦法力異常"
"herocard.passive_skill.title.resist.allstatuseffectdamage.none","抵禦來自狀態效果的傷害"
"herocard.passive_skill.title.resist.attackdelay","抵禦攻擊延遲"
"herocard.passive_skill.title.resist.attackmodifiers","抵禦攻擊異常"
"herocard.passive_skill.title.resist.attackmodifiers.allstatuseffectsandstacks","抵禦攻擊狀態效果"
"herocard.passive_skill.title.resist.bleed","抵禦流血傷害"
"herocard.passive_skill.title.resist.buffdispels","抵禦驅散"
"herocard.passive_skill.title.resist.buffimmunity","抵禦增益免疫"
"herocard.passive_skill.title.resist.burn","抵禦燃燒"
"herocard.passive_skill.title.resist.burn.with_effect.healthboost.addmana","賦能抵禦燃燒"
"herocard.passive_skill.title.resist.defensemodifiers.alldebuffs","抵禦防禦異常"
"herocard.passive_skill.title.resist.familiarremoval.familiarsilence.familiarreceivingblocking.minion","勢不可擋的小兵"
"herocard.passive_skill.title.resist.frost","抵禦寒冷"
"herocard.passive_skill.title.resist.frost.with_effect.healthboost.addmana","賦能抵禦冰霜"
"herocard.passive_skill.title.resist.healeffects","抵禦治療異常"
"herocard.passive_skill.title.resist.healthsteal","抵禦生命偷取異常"
"herocard.passive_skill.title.resist.insanity.permanentstatuseffects","抵禦瘋狂"
"herocard.passive_skill.title.resist.manadebuffs","抵禦法力異常"
"herocard.passive_skill.title.resist.manaeffectsandspecialblocking","抵禦法力異常和特殊封鎖"
"herocard.passive_skill.title.resist.managenerationmodifiers.alldebuffs","抵禦法力產出異常"
"herocard.passive_skill.title.resist.manareduction","抵禦法力減損"
"herocard.passive_skill.title.resist.manareduction.none.with_effect.healthboost.addmana","賦能抵禦法力減損"
"herocard.passive_skill.title.resist.maxhealthreduction","抵禦最大生命值降低"
"herocard.passive_skill.title.resist.poison","抵禦劇毒"
"herocard.passive_skill.title.resist.poison.burn.bleed","抵禦劇毒、燃燒與流血"
"herocard.passive_skill.title.resist.possession.allstatuseffects","抵禦瘋狂"
"herocard.passive_skill.title.resist.sand","抵禦飛沙傷害"
"herocard.passive_skill.title.resist.specialblocking","抵禦特殊技能封鎖"
"herocard.passive_skill.title.resist.stopmanageneration","抵禦法力產出受阻"
"herocard.passive_skill.title.resist.water","抵禦水系傷害"
"herocard.passive_skill.title.resist_all_defense_effects","特性：
輕巧自如的身姿"
"herocard.passive_skill.title.resistdebuffsfromfamiliars.minion","抵抗小兵所施加的狀態異常"
"herocard.passive_skill.title.resistfamiliarremoval.minion.bigminion","抵禦小兵移除"
"herocard.passive_skill.title.resistnegativefamiliareffects.minion","抵禦負面小兵效果"
"herocard.passive_skill.title.resistnegativefamiliareffects.minion.bigminion","強化抵禦負面小兵效果"
"herocard.passive_skill.title.resistnewfamiliars.parasite","抵禦惡魔"
"herocard.passive_skill.title.resistsupportcharacter.troop.alldebuffs","抵抗狀態異常"
"herocard.passive_skill.title.revivalchancemodifier.all.enemies","復活機率降低"
"herocard.passive_skill.title.revive_chance_nine_lives","九條命"
"herocard.passive_skill.title.revivewithchance","復活"
"herocard.passive_skill.title.setstatuseffectdurationonaddition.all.allies.activates_on_ally_action.alldebuffs.dance","快節奏：民謠"
"herocard.passive_skill.title.setstatuseffectdurationonaddition.single.enemies.activates_on_enemy_action.allbuffs.dance","快節奏：跳舞"
"herocard.passive_skill.title.sharereceiveddamage","分享承受的傷害"
"herocard.passive_skill.title.short.generic","被動"
"herocard.passive_skill.title.short.league","優勢"
"herocard.passive_skill.title.short.league.non_featured","劣勢"
"herocard.passive_skill.title.short.trait","特性"
"herocard.passive_skill.title.sidedependentpassiveskill.side_dependent_elemental_mask","元素面具"
"herocard.passive_skill.title.sidedependentpassiveskill.strong_troop_damage_modifier","部隊精通"
"herocard.passive_skill.title.sidedependentpassiveskill.strong_troop_damage_modifier_costume","部隊精通"
"herocard.passive_skill.title.specialdamagereduction","特殊技能傷害減少"
"herocard.passive_skill.title.specialdamagereductionsupportcharacter.troop","特殊技能傷害減少"
"herocard.passive_skill.title.startbattlewitheffect.addmana","用法力開始戰鬥"
"herocard.passive_skill.title.statuseffectattackmodifier.addition","提升狀態效果攻擊"
"herocard.passive_skill.title.statuseffectattackmodifier.all.allies.reduction","攻擊異常降低"
"herocard.passive_skill.title.statuseffectattackmodifier.reduction","攻擊異常降低"
"herocard.passive_skill.title.statuseffectattackmodifiersupportcharacter.troop.addition","提升狀態效果攻擊"
"herocard.passive_skill.title.statuseffectattackmodifiersupportcharacter.troop.reduction","攻擊異常降低"
"herocard.passive_skill.title.statuseffectdefensemodifier.addition","提升狀態效果防禦"
"herocard.passive_skill.title.statuseffectdefensemodifier.all.allies.reduction","防禦異常降低"
"herocard.passive_skill.title.statuseffectdefensemodifier.reduction","防禦異常降低"
"herocard.passive_skill.title.statuseffectdefensemodifiersupportcharacter.troop.addition","提升狀態效果防禦"
"herocard.passive_skill.title.statuseffectdefensemodifiersupportcharacter.troop.reduction","防禦異常降低"
"herocard.passive_skill.title.statuseffectdurationmodifier","增加增益持續時間"
"herocard.passive_skill.title.statuseffectdurationmodifier.decrease.minordebuff.majordebuff","減少異常持續時間"
"herocard.passive_skill.title.statuseffectdurationmodifier.decrease.minordebuff.majordebuff.defensemodifier.no_limit","減少防禦異常持續時間"
"herocard.passive_skill.title.statuseffectdurationmodifier.increase.minorbuff.majorbuff","增加增益持續時間"
"herocard.passive_skill.title.statuseffectoncleanse.single.enemies","淨化時複製異常"
"herocard.passive_skill.title.statuseffectonspecialcast.attackmodifierfrompassiveskill","獵人的威猛"
"herocard.passive_skill.title.statuseffectonspecialcast.softskin","石像鬼的柔軟膚"
"herocard.passive_skill.title.statuseffectonspecialcast.stone","石像鬼石膚"
"herocard.passive_skill.title.statuseffectonstatuseffectaddition.debuff","從異常效果中獲得的法力產出增益"
"herocard.passive_skill.title.statuseffectselection.usable_once.select_element_status_effect","元素面具"
"herocard.passive_skill.title.summononownerdeath.slime_big_minion_blue.neartotargetexceptcaster.allies","被擊敗時召喚史萊姆小兵"
"herocard.passive_skill.title.summononownerdeath.slime_big_minion_green.neartotargetexceptcaster.allies","被擊敗時召喚史萊姆小兵"
"herocard.passive_skill.title.summononownerdeath.slime_big_minion_purple.neartotargetexceptcaster.allies","被擊敗時召喚史萊姆小兵"
"herocard.passive_skill.title.summononownerdeath.slime_big_minion_red.neartotargetexceptcaster.allies","被擊敗時召喚史萊姆小兵"
"herocard.passive_skill.title.summononownerdeath.slime_big_minion_yellow.neartotargetexceptcaster.allies","被擊敗時召喚史萊姆小兵"
"herocard.passive_skill.title.summononreceiveddamagewiththreshold.slime_big_minion_blue","史萊姆小兵分裂"
"herocard.passive_skill.title.summononreceiveddamagewiththreshold.slime_big_minion_green","史萊姆小兵分裂"
"herocard.passive_skill.title.summononreceiveddamagewiththreshold.slime_big_minion_purple","史萊姆小兵分裂"
"herocard.passive_skill.title.summononreceiveddamagewiththreshold.slime_big_minion_red","史萊姆小兵分裂"
"herocard.passive_skill.title.summononreceiveddamagewiththreshold.slime_big_minion_yellow","史萊姆小兵分裂"
"herocard.passive_skill.title.summononstatuseffectaddition.burn","燃燒時召喚"
"herocard.passive_skill.title.summononstatuseffectaddition.damageovertime","持續傷害時召喚"
"herocard.passive_skill.title.summononstatuseffectaddition.defensemodifier","防禦異常時召喚小兵"
"herocard.passive_skill.title.summononsummon.activates_on_enemy_action.allies.owl.minion","麻雀召喚"
"herocard.passive_skill.title.summononsummon.activates_on_enemy_action.enemies.cursed_sapling_parasite.minion","詛咒樹苗召喚"
"herocard.passive_skill.title.summononsummon.activates_on_enemy_action.enemies.seedling_parasite.minion","樹苗召喚"
"herocard.passive_skill.title.taunt","無視嘲諷"
"herocard.passive_skill.title.titan_dread_damage_minions","恐懼"
"herocard.passive_skill.title.titan_dread_damage_minions_15","恐懼"
"herocard.passive_skill.title.titan_dread_damage_minions_16","恐懼"
"herocard.passive_skill.title.titan_dread_damage_minions_17","恐懼"
"herocard.passive_skill.title.titan_resist_15","泰坦"
"herocard.passive_skill.title.titan_resist_16","泰坦"
"herocard.passive_skill.title.titan_resist_17","泰坦"
"herocard.passive_skill.title.toon_resist_debuffs_manareduction_dispels","公仔"
"herocard.passive_skill.title.wither.all.enemies","枯萎"
